
[00:00:00.040 --> 00:00:09.480]   ち
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence is not a minority in my desire for those things.
[00:02:22.300 --> 00:02:24.140]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:24.140 --> 00:02:24.720]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:24.720 --> 00:02:24.860]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:24.860 --> 00:02:29.420]   is at the foundation of much of finance and much of financial planning.
[00:02:29.420 --> 00:02:30.880]   It's expressed in different ways.
[00:02:30.880 --> 00:02:35.280]   The country singer sings it in the terms of "Take this job and shove it."
[00:02:35.280 --> 00:02:36.760]   "I ain't a-workin' here no more."
[00:02:36.760 --> 00:02:39.400]   Well, that's one way of expressing financial independence.
[00:02:39.400 --> 00:02:44.360]   The retirement planner talks about it in terms of "What would you like to do when you retire at 65 years old,
[00:02:44.360 --> 00:02:48.760]   and what would you live and people dream about how they would live out their golden years?"
[00:02:48.760 --> 00:02:50.600]   That's one way to express it.
[00:02:50.600 --> 00:02:50.600]   The fire community talks about this in terms of
[00:02:50.600 --> 00:02:50.600]   The fire community talks about this in terms of
[00:02:50.760 --> 00:03:20.600]  , "In 10 years I'm going to get independent so I can do what I really want to do."
[00:03:20.600 --> 00:03:20.600]   That's one way to express it.
[00:03:20.600 --> 00:03:20.600]   The teenager expresses it, "I can't wait to move out of my parents' household until I'm not under their rules."
[00:03:20.600 --> 00:03:20.600]   That's another way of expressing it.
[00:03:20.600 --> 00:03:20.600]   But the theme that's common to all of these things is independence and liberty.
[00:03:20.600 --> 00:03:20.600]   And I believe that the desire for liberty and independence beat deeply in the heart of every human breast.
[00:03:20.600 --> 00:03:20.600]   I believe that there's a whole lot of fat covering up that beating heart.
[00:03:20.600 --> 00:03:20.600]   I believe that's a lot of fat covering up that beating heart.
[00:03:20.600 --> 00:03:20.600]   I believe that's heart that heart that's heart is a lot of every human heart.
[00:03:20.640 --> 00:03:30.180]   0
[00:03:30.180 --> 00:03:47.260]   built. I go,,,,
[00:03:49.060 --> 00:04:17.480]   the fancier car show. You're listening to the radical personal finance show. If you were looking for how to take millions of dollars by oppressing other people, by staging a government coup and taking all their money away and taxing them, you'd be listening to other shows. Just turn on the TV and you can see that all the time, but you're not there. You're here. And so I'm convinced that financial
[00:04:17.480 --> 00:04:17.480]   the
[00:04:17.480 --> 00:04:17.480]   financial freedom and financial independence are a fundamental part of the way we live in the world.
[00:04:17.500 --> 00:04:45.920]  , are here. They're important to you.
[00:04:45.920 --> 00:04:45.920]   Now in honor of Independence Day, how could we not begin with that quote from the U.S. Declaration of Independence? The framers and writers of the Declaration of Independence wrote these words. They said this:
[00:04:45.960 --> 00:04:52.720]  觀眾
[00:04:52.720 --> 00:05:12.220]   in the
[00:05:12.220 --> 00:05:15.940]   as'd conốiarded do pursue the high, and, and, and, and, and, and, and, and, knead, W. I. BAR -C -G -C -G -그 - perm -asz - Så - coated - staircase - -わ - here - Mand - word- the - buy - think - Muchas - call - weigh - them - roz - ay - is - gun - the - in -fr - lights - trick- под - awesome - in - chicken -bol -德-� - in - 청- 신� - a- Außerdem- erklären- 부�- i'm- like- told- decent-
[00:05:15.980 --> 00:05:19.980]   cent
[00:05:19.980 --> 00:05:23.800]   isn see en
[00:05:23.800 --> 00:05:26.060]   support the is "
[00:05:26.060 --> 00:05:26.160]   Live, but, ,,,,,,.
[00:05:44.220 --> 00:06:12.400]   curses. To whatever extent that you can, advocate for life for others, because all men have the right to live. No matter who they are, no matter what they look like, no matter how old they are, how young they are, how ugly they are, how beautiful they are, whether they hold the same political convictions that are currently in vogue, or the same religious ideology that's currently in vogue, all men have the right to life. So I beg you to please defend others' rights.
[00:06:12.460 --> 00:06:23.140]  �P
[00:06:23.140 --> 00:06:39.380]   in the New I I el web the hard hemp tela adjust the,,, , ,,,,,,,,, over the Men And Allin Like hasla bar tw realize attend the way. S. I. I'm el. I'm r. I. I. cur.험. slave. of., AND.,рим.,
[00:06:39.380 --> 00:06:40.460]  ,.,.,,.,,,,,.,,,,,,,,,,,,,,,,,,, women't, té зн sham February Lee but청 fix LEDs Merνο這 thank to 23あり circuit extraapp channel очень macht in part of connection andereस wanted來視GA評바 перед another w acceptable
[00:06:40.480 --> 00:06:50.500]   transfer and I'm a little right is a right that is flat out fundamentally incapable of being surrendered a bridge change revoked in any way.
[00:06:50.500 --> 00:06:56.500]   Now is that true that means that you today have the right to liberty.
[00:06:56.500 --> 00:06:59.500]   So here's my question if you have the right to Liberty.
[00:06:59.500 --> 00:07:05.500]   If you are fundamentally free because that right cannot be a lien.
[00:07:05.500 --> 00:07:08.500]   Then why.
[00:07:08.500 --> 00:07:10.500]   Have you sold yourself and the flavor.
[00:07:10.640 --> 00:07:40.540]   in a way that's not a right.
[00:07:40.540 --> 00:07:40.540]   So you have the right to liberty.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:07:40.540]   So you have the right to liberty.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:07:40.540]   And if that right is truly on a leanable.
[00:07:40.540 --> 00:08:03.580]   and if that right is truly on a leanable.
[00:08:03.580 --> 00:08:04.580]   And if that right is truly on a leanable.
[00:08:04.580 --> 00:08:04.580]   And if that right is truly on a leanable.
[00:08:04.580 --> 00:08:05.580]   And if that right is truly on a leanable.
[00:08:05.580 --> 00:08:06.580]   And if that right is truly on a leanable.
[00:08:06.580 --> 00:08:07.580]   And if that right is truly on a leanable.
[00:08:07.580 --> 00:08:08.580]   And if that right is truly on a leanable.
[00:08:08.580 --> 00:08:09.580]   And if that right is truly on a leanable.
[00:08:09.580 --> 00:08:10.580]   And if that right is truly on a leanable.
[00:08:10.580 --> 00:08:10.580]   and if that right is truly on a leanable.
[00:08:10.620 --> 00:08:21.740]   like
[00:08:21.740 --> 00:08:39.740]   , I represented with�這 aquest Mouse, bond, Gill,�, notification, digitally,τα, ci, 70, spice,PER,P,P.You,P.U,B,P.N,G,P,P,na, Levi,What the right, buy the right?IRE? the right the right? the right? the r stones are the Dr. cuent the masculine way of the boss is a so the book the sound the exc Вид the say theizers the be theHome the square the 교 therez theiya� Ha "'the and at the colour the have the دrot the
[00:08:39.740 --> 00:08:40.340]  ầu the gotta of the
[00:08:40.500 --> 00:08:43.580]   also
[00:08:43.580 --> 00:08:49.180]   heard,
[00:08:49.180 --> 00:08:52.420]   was why I I Z D L
[00:08:52.420 --> 00:08:59.060]  ,
[00:09:10.500 --> 00:09:40.500]  .
[00:09:40.500 --> 00:09:40.500]   The American English Language Association, and I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:10.540 --> 00:10:40.540]  ,
[00:10:40.540 --> 00:10:40.540]   and I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.540 --> 00:10:40.540]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:10:40.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.560 --> 00:11:10.560]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:10.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.580 --> 00:11:40.580]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:11:40.620 --> 00:12:10.600]   a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.600 --> 00:12:10.600]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:10.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.620 --> 00:12:40.620]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:12:40.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.640 --> 00:13:10.640]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:10.680 --> 00:13:40.660]  ,
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.660 --> 00:13:40.660]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:13:40.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.680 --> 00:14:10.680]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:10.720 --> 00:14:40.700]  ,
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.700 --> 00:14:40.700]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:14:40.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.720 --> 00:15:10.720]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:10.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.740 --> 00:15:40.740]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:15:40.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.760 --> 00:16:10.760]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:10.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.780 --> 00:16:40.780]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:16:40.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.800 --> 00:17:10.800]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:10.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.820 --> 00:17:40.820]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:17:40.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.840 --> 00:18:10.840]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:10.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.860 --> 00:18:40.860]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:18:40.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.880 --> 00:19:10.880]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:10.920 --> 00:19:40.900]  ,
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.900 --> 00:19:40.900]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:19:40.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.920 --> 00:20:10.920]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:10.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
[00:20:40.940 --> 00:20:40.940]   I'm a graduate student at the University of Michigan, and I'm a graduate student at the University of Michigan.
