
[00:00:00.040 --> 00:00:07.660]   Reporting up this
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
[00:03:56.740 --> 00:04:26.720]  ,
[00:04:26.720 --> 00:04:26.720]   He enjoyed working there.
[00:04:26.720 --> 00:04:26.720]   He was a real expert especially in numismatic coins and I would go in and chat with him and we'd talk about different things and he provided great customer service on the job. He had a really rewarding type of work that he did. He enjoyed the industry. He liked selling coins. But on the side he would spend all his time buying rare coins and putting together collections and then selling them as collections.
[00:04:26.740 --> 00:04:56.740]   For a guy like that, it would be crazy for him to make a primary source of his investment in stocks or even in real estate.
[00:04:56.740 --> 00:04:56.740]   He was not suitable for a real estate kind of approach but he was very suitable for buying and investing in rare coins. He knew what he was doing.
[00:04:56.740 --> 00:04:56.740]   So if you want to invest and you have an interest in rare coins or whatever the appropriate version of that is, go for it.
[00:04:56.740 --> 00:04:56.740]   It's not a bad thing to invest in rare coins. It's not a bad thing to invest in rare coins. It's not a bad thing to invest in rare coins.
[00:04:56.740 --> 00:04:56.740]   It's not a bad thing to invest in rare coins. It's not a bad thing to invest in rare coins. It's not a bad thing to invest in rare coins.
[00:04:56.740 --> 00:04:56.740]   It's not a bad thing to invest in rare coins. It's not a bad thing to invest in rare coins.
[00:04:56.740 --> 00:05:26.760]   the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:26.760 --> 00:05:26.760]   And I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:26.760 --> 00:05:26.760]   And I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:26.780 --> 00:05:56.780]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:56.780 --> 00:05:56.780]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:56.780 --> 00:05:56.780]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:56.780 --> 00:05:56.780]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:56.780 --> 00:05:56.780]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:05:56.820 --> 00:06:26.800]  ,
[00:06:26.800 --> 00:06:26.800]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:26.800 --> 00:06:26.800]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:26.800 --> 00:06:26.800]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:26.800 --> 00:06:26.800]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:26.800 --> 00:06:26.800]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:26.820 --> 00:06:56.820]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:56.820 --> 00:06:56.820]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:56.820 --> 00:06:56.820]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:56.820 --> 00:06:56.820]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:56.820 --> 00:06:56.820]   I sat with him as a financial advisor and he expected me to say the same thing that every other financial advisor said you gotta put your money in a little bit of money.
[00:06:56.860 --> 00:07:26.840]  ,
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.840 --> 00:07:26.840]   He was doing it anyway and he couldn't hold it back.
[00:07:26.860 --> 00:07:56.860]   and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:07:56.860]   He was doing it anyway and he couldn't hold it back.
[00:07:56.860 --> 00:08:26.880]   the money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.880 --> 00:08:26.880]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:26.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.900 --> 00:08:56.900]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:08:56.940 --> 00:09:26.920]  ,
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.920 --> 00:09:26.920]   The money to pay for it but you can optimize these things and the cool thing about optimization is it frequently leads to greater success.
[00:09:26.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.940 --> 00:09:56.940]   You don't have to actually be all that smart to become a successful investor.
[00:09:56.980 --> 00:10:26.960]  , but you can't be stupid.
[00:10:26.960 --> 00:10:26.960]   I hope this series has been helpful to you. I hope that when I dig into weird stuff, I hope you just listen to it and say, if it's right for you, it's fine to be weird, but just say, how can I apply that a little bit? And recognize that I don't think everybody needs to go to the hardcore extreme, but you can still become financially independent. If you'll take a few strategies and you'll be able to do it.
[00:10:26.960 --> 00:10:26.960]   If you'll take a few strategies and you'll be able to do it.
[00:10:26.960 --> 00:10:26.960]   If you'll take a few strategies and you'll be able to do it.
[00:10:26.960 --> 00:10:26.960]   If you'll take a few strategies and you'll be able to do it.
[00:10:27.000 --> 00:10:36.440]   Muhammad still
[00:10:36.440 --> 00:10:37.780]   Bolsonaro earns
[00:10:37.780 --> 00:10:40.380]   Cham Sh loudly
[00:10:40.380 --> 00:10:53.940]   although show to go to go to all Mu Soviet guess AF B 100 X 22 aspect not 1000玩�� 2022, the Ai, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,網 I'm, the, her. He. I'm. I'm. He. I'm. versa. Air.ivol Porque é. fragile. Gra takes. across. scary. out. outside. round. Mak След. got.wy.ion.elet. die. can't. be. for the.視. Я,
[00:12:15.160 --> 00:12:42.160]  berger.com/patreon. I'd be grateful for your financial support at radical personal finance.com/patron. Do more together this holiday in the new Chevy take on more adventure in the strong and capable Chevy Silverado more confident in the Chevy Equinox winner of the JD Power Award for initial quality among compact SUVs two years and more value in the all new Chevy tracks with an available 11 inch diagonal touch screen bring the holidays together in the new Chevy click to learn more.
[00:12:42.160 --> 00:12:42.160]   Bring the holidays together in the new Chevy click to learn more.
[00:12:42.160 --> 00:12:43.160]   Bring the holidays together in the new Chevy click to learn more.
[00:12:43.160 --> 00:12:44.160]   Bring the holidays together in the new Chevy click to learn more.
[00:12:44.160 --> 00:12:45.140]   Bring the holidays together in the new Chevy click to learn more.
[00:12:45.180 --> 00:13:14.180]   ,, ,, ,, ,, ,, ,, ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., .;. ., ., ., ., ., .: .: .: 0: the first year in the Chevy, the Chevy is the first car in the U. That's the best car. The other is the best car in the Chevy's career. The car is the best car in the Chevy and the JVs are the best car in the Chevy.

