
[00:00:00.000 --> 00:00:08.000]   The CEO of OpenAI said just two days ago that AI models have reached the level of human reasoning,
[00:03:09.020 --> 00:03:17.980]   Being totally honest, the next two key quotes I might previously have dismissed as being pure hype, but after the O1 preview release, I'm less inclined to do so.
[00:03:17.980 --> 00:03:22.860]   First is the commitment that the next two years are going to see very steep progress.
[00:03:22.860 --> 00:03:29.900]   If you go from my O1 on a hard problem back to, like, Ford Turbo that we launched 11 months ago, you'll be like, wow, this is happening pretty fast.
[00:03:29.900 --> 00:03:37.100]   Um, and I think the next year will be very steep progress. The next two years will be very steep progress. Harder than that. Hard to see a lot of certainty.
[00:03:37.100 --> 00:03:49.980]   And next, and he didn't have to go this far, is the claim that this time next year there will be as big a gap from that model to O1 as from O1 to GPT-4 Turbo.
[00:03:49.980 --> 00:04:02.860]   The model is going to get so much better so fast. Like, we are so early, this is like, you know, maybe it's the GPT-2 scale moment, but like, we know how to get to GPT-4. We have the fundamental stuff in place now to get to GPT-4.
[00:04:02.860 --> 00:04:19.740]   And in addition to planning for us to build all of those things, plan for the model to just get, like, rapidly smarter. Like, you know, hope you all come back next year and plan for it to feel like way more of a year of improvement than from Ford Turbo.
[00:04:19.740 --> 00:04:34.620]   I'll save the last key quote for later on in the video, but in case you're skeptical of his or even my analysis, a plethora of professors and scientists have described an incipient form of reasoning within O1.
[00:04:34.620 --> 00:04:41.420]   One top researcher said, "In my field of quantum physics, it gives significantly more detailed and coherent responses."
[00:04:41.420 --> 00:04:49.260]   Another molecular biologist said that O1 breaks the plateau that the public feared LLMs were heading into.
[00:04:49.260 --> 00:04:55.580]   Then we have the creator of the graduate-level Google-proof Q&A benchmark test that's become famous.
[00:04:55.580 --> 00:05:00.220]   It's targeted at PhD-level scholars who score an average of around 60%.
[00:05:00.220 --> 00:05:11.020]   One of the authors of that benchmark said, "It seems plausible to me that the O1 family represents a significant and fundamental improvement in the model's core reasoning capabilities."
[00:05:11.020 --> 00:05:18.780]   Just yesterday, a professor of mathematics described a moving frontier between what can and cannot be done with LLMs.
[00:05:18.780 --> 00:05:22.380]   And that that boundary has just shifted a little.
[00:05:22.380 --> 00:05:29.100]   And here was his aha moment using GPT-01 mini and 43 seconds of thought.
[00:05:29.100 --> 00:05:36.140]   It came up with an entirely new, clever and correct proof that he described as being more elegant than the human proof.
[00:05:36.140 --> 00:05:43.740]   It must be said that most of this is anecdotal, but it at least shows that the claim isn't completely outrageous from Sam Altman.
[00:05:43.740 --> 00:05:49.020]   Yes, there are plenty of benchmarks where O1 Preview is still not scoring top marks.
[00:05:49.020 --> 00:05:55.340]   To give one example, here's a new one called Psycode where O1 Preview scores just 7.7%.
[00:05:55.340 --> 00:05:59.340]   A noticeable step up from other models, but what is this benchmark testing?
[00:05:59.340 --> 00:06:11.660]   Well, it includes several research problems that are built upon or reproduce methods used in Nobel Prize winning studies, including things like the Haldane model for the anomalous quantum Hall effect.
[00:06:11.660 --> 00:06:18.940]   To get questions right, you would need abundant high quality data not usually made available to current language models.
[00:06:18.940 --> 00:06:23.340]   The language models have to generate code for solving real scientific research problems.
[00:06:23.340 --> 00:06:25.580]   And it's not enough just to get these sub problems right.
[00:06:25.580 --> 00:06:27.100]   There's 338 of those.
[00:06:27.100 --> 00:06:33.340]   The models have to compose solutions from those sub problems to get the 80 challenging main problems correct.
[00:06:33.340 --> 00:06:39.820]   It's an amazing and useful benchmark, but seems more opposite for a level 4 model than a level 2 one.
[00:06:39.820 --> 00:06:43.260]   This is certainly not average human level problem solving.
[00:06:43.260 --> 00:06:45.100]   So I return to that question.
[00:06:45.100 --> 00:06:54.380]   Is it not now easier to come up with a reasoning challenge that O1 passes and an educated adult fails than to find one where it's the other way round?
[00:06:54.380 --> 00:07:04.140]   I say this as the author of Simple Bench where it is the other way round and models underperform humans, but it seems harder to create such a benchmark than the other way round.
[00:07:04.140 --> 00:07:11.340]   As Sam Altman said of the Turing test, I don't want everyone just to ignore the fact that we have passed average human level reasoning.
[00:07:11.340 --> 00:07:18.540]   Then we could throw in the fact that Mensa permits the law school admissions test as an admissions criteria to Mensa.
[00:07:18.540 --> 00:07:27.500]   Because O1 can crush the LSAT, it now qualifies for Mensa, 18 years early according to 2020 Metaculous predictions.
[00:07:27.500 --> 00:07:30.860]   Do you remember what comes next in that levels of AGI chart?
[00:07:30.860 --> 00:07:33.100]   What is level 3? Agents.
[00:07:33.100 --> 00:07:38.940]   Just a couple of days ago in the Financial Times, the Chief Product Officer at OpenAI claimed this:
[00:07:38.940 --> 00:07:44.940]   "We want to make it possible to interact with AI in all of the ways that you interact with another human being."
[00:07:44.940 --> 00:07:48.700]   These more agentic systems are going to become possible.
[00:07:48.700 --> 00:07:56.140]   And it is why I think 2025 is going to be the year that agentic systems finally hit the mainstream.
[00:07:56.140 --> 00:08:03.260]   I can see that taking a little bit longer though, because unless it had 99.99% accuracy,
[00:08:03.260 --> 00:08:06.460]   I wouldn't trust an O1 agent with my credit card.
[00:08:06.460 --> 00:08:12.620]   One ability that will be absolutely crucial if agents are to work, obviously, is self-correction.
[00:08:12.620 --> 00:08:16.060]   As I described recently on AI Insiders on Patreon.
[00:08:16.060 --> 00:08:21.420]   Speaking of which, a very quick shout out if anyone's in California, Sweden, India or Japan
[00:08:21.420 --> 00:08:24.620]   for the regional networking that's going on on Discord.
[00:08:24.620 --> 00:08:30.220]   What I will say though, is that if OpenAI can turn reasoning into agency,
[00:08:30.220 --> 00:08:35.100]   I can see why they had a $157 billion valuation.
[00:08:35.100 --> 00:08:41.500]   That's great timing given their imminent switch from being a capped profit entity to a for-profit entity.
[00:08:41.500 --> 00:08:45.420]   As we learned today in the information, it actually gets more serious than that.
[00:08:45.420 --> 00:08:52.540]   OpenAI has proposed letting investors claw their money back within two years if it fails to convert
[00:08:52.540 --> 00:08:54.780]   itself into a for-profit entity.
[00:08:54.780 --> 00:08:59.420]   Now for some of you, I might have buried the lead because just 18 hours ago,
[00:08:59.420 --> 00:09:02.860]   we learned this of the fundraising of OpenAI.
[00:09:02.860 --> 00:09:08.860]   Reuters reports that one of the clauses in joining in that funding round was that the investors don't
[00:09:08.860 --> 00:09:13.820]   also fund rival outfits. That includes Ilya Sutskova's safe superintelligence,
[00:09:13.820 --> 00:09:16.780]   Anthropic, Perplexity, XAI and others.
[00:09:16.780 --> 00:09:21.740]   Now I don't think that will be a problem for the likes of XAI funded by Elon Musk,
[00:09:21.740 --> 00:09:26.700]   but Ilya Sutskova's safe superintelligence might face a bit more of a funding struggle.
[00:09:26.700 --> 00:09:31.740]   According to the New York Times, revenues are expected to balloon to almost $12 billion next
[00:09:31.740 --> 00:09:36.860]   year, though OpenAI are expected to lose $5 billion this year. Why? Well,
[00:09:36.860 --> 00:09:43.180]   the costs related to running its services and other expenses like employee salaries and office rent.
[00:09:43.180 --> 00:09:47.900]   Setting aside short-term revenue and costs, one key question for OpenAI's future
[00:09:47.900 --> 00:09:51.580]   is whether this fifth clause from their charter still applies.
[00:09:51.580 --> 00:09:58.540]   their board will determine when they've achieved AGI. By AGI they mean a highly autonomous system
[00:09:58.540 --> 00:10:04.860]   that outperforms humans at most economically valuable work. Such a system is excluded from
[00:10:04.860 --> 00:10:10.780]   intellectual property licenses and other commercial terms with Microsoft. Those terms only apply to
[00:10:10.780 --> 00:10:17.020]   pre-AGI technology. Now you don't need me to point out that that sets up an incentive to push the
[00:10:17.020 --> 00:10:23.260]   definition of AGI as far away as possible. Is that clause what prompted these five generous
[00:10:23.260 --> 00:10:30.060]   levels of AGI? Notice if so, we're drifting away from concepts of intelligence and reasoning to other
[00:10:30.060 --> 00:10:36.220]   more nebulous attributes. Human level reasoning isn't AGI and even agents that take actions aren't AGI.
[00:10:36.220 --> 00:10:41.180]   These systems have to do the work of entire organizations. You can let me know what you think
[00:10:41.180 --> 00:10:47.020]   in the comments but many people would say a more reasonable definition of AGI would have arrived
[00:10:47.020 --> 00:10:54.140]   well before this point. As a quick fun experiment I looked up Microsoft's definition of AGI and we got
[00:10:54.140 --> 00:11:01.020]   far into sci-fi. AGI apparently may even take us beyond our planet by unlocking the doors to space
[00:11:01.020 --> 00:11:07.420]   exploration. It could help us develop interstellar technology and identify and terraform potentially
[00:11:07.420 --> 00:11:15.100]   habitable exoplanets. It may even shed light on the origins of life and the universe. If this ever becomes
[00:11:15.100 --> 00:11:21.900]   the definition of AGI, Microsoft will be minting money to almost the end of time. Speaking of Microsoft,
[00:11:21.900 --> 00:11:27.100]   I wanted to show you guys this and I think it's fair to say that potentially after seeing O1,
[00:11:27.100 --> 00:11:33.580]   Bill Gates has somewhat shifted his timeline. I reported on an interview in Handelsblatt where Bill Gates
[00:11:33.580 --> 00:11:40.060]   said he didn't expect GPT-5 to be much better than GPT-4. He was super impressed of course with GPT-4 but
[00:11:40.060 --> 00:11:46.540]   just saw some limits to where scaling could take us. Contrast that with this clip from this week.
[00:11:46.540 --> 00:11:52.780]   It's the first technology that has no limit. I mean when you invent a tractor or even a cell phone you
[00:11:52.780 --> 00:11:58.860]   kind of figure out okay that's we can figure out how that's going to change life. Here where the AI
[00:11:59.580 --> 00:12:05.260]   is very intelligent and when you put it in robotic form it can do a lot of both blue collar and white
[00:12:05.260 --> 00:12:12.860]   collar jobs. The fact that's happening over the next decade. The idea of do we really trust government
[00:12:12.860 --> 00:12:18.940]   to adjust the tax policies and make sure that okay we're shortening the work week. So it's happening
[00:12:18.940 --> 00:12:28.460]   very fast and it's unlimited. A lot of it is super good like you know inner city, personal tutors for
[00:12:28.460 --> 00:12:36.380]   all the kids, great health care even in the poor countries. So the good stuff which maybe gets crowded
[00:12:36.380 --> 00:12:44.940]   out by these fears that's so exciting. We're going to end the video with the final Sam Altman quote but
[00:12:44.940 --> 00:12:51.020]   just before then I want to highlight yet again Notebook LM from Google. If you didn't catch it in
[00:12:51.020 --> 00:12:58.140]   the last video it's an amazing new tool powered by Gemini 1.5 Pro. As most of you might already be aware
[00:12:58.140 --> 00:13:06.700]   you can turn any PDF, audio file or now any YouTube URL into a podcast. And it's not just PDFs, documents,
[00:13:06.700 --> 00:13:12.060]   YouTube videos or audio files that you can add either. I can imagine millions of students taking
[00:13:12.060 --> 00:13:18.300]   class materials and their own handwritten notes feeding it into Notebook LM for free by the way
[00:13:18.300 --> 00:13:23.100]   and getting amazing podcasts out. And in case you missed it last time it's literally as easy as
[00:13:23.100 --> 00:13:30.140]   clicking try Notebook LM and then new notebook upload one or multiple sources now including YouTube URLs
[00:13:30.140 --> 00:13:34.940]   then the option will spring up to generate the audio click that and it takes two or three minutes.
[00:13:34.940 --> 00:13:40.940]   I've seen people take literally anything including absolutely absurd sources and turning them into
[00:13:40.940 --> 00:13:47.340]   engaging podcasts. I will say that if you want the transcription that the podcast hosts use to be
[00:13:47.340 --> 00:13:53.420]   extra accurate do check out Assembly AI's Universal One. I'm super proud they're sponsoring this video
[00:13:53.420 --> 00:14:00.380]   because their Universal One model has amazing speech to text accuracy. Yes it does handle my rather
[00:14:00.380 --> 00:14:06.140]   rough around the edges London accent. You can see some of the comparisons to other models down below
[00:14:06.140 --> 00:14:12.060]   and the link will be in the description to check them out. Here though is the Sam Altman quote from Devday
[00:14:12.060 --> 00:14:18.140]   that I found somewhat intriguing. He speaks almost optimistically about a model one day
[00:14:18.140 --> 00:14:23.340]   automatically automating OpenAI itself. Even the Charing test which I thought always was like this very
[00:14:23.340 --> 00:14:29.980]   clear milestone you know there was this like fuzzy period it kind of like went Wuxing Bai and no one cared
[00:14:32.380 --> 00:14:41.180]   but but I think the right framework is to this one exponential. That said if we can make an AI system
[00:14:41.180 --> 00:14:48.060]   that is like materially better at all of OpenAI than doing at doing AI research that does feel to me like
[00:14:48.060 --> 00:14:52.860]   some sort of important discontinuity. It's probably still wrong to think about it that way it probably
[00:14:52.860 --> 00:15:00.620]   still is the smooth exponential curve but that feels like a good milestone. We are almost certainly nowhere
[00:15:00.620 --> 00:15:06.140]   close to that level now but there is one caveat I wanted to give. Sam Altman describes automating
[00:15:06.140 --> 00:15:12.700]   OpenAI itself but in OpenAI's own preparedness framework that would be a critical threshold. They
[00:15:12.700 --> 00:15:18.860]   say if the model is able to conduct AI research fully autonomously it could set off an intelligence explosion.
[00:15:18.860 --> 00:15:25.500]   Moreover they say we will not deploy AI systems that pose a risk level of high or critical and we will
[00:15:25.500 --> 00:15:31.980]   not even train critical ones given their level of risk. It almost seemed like Sam Altman was speculating
[00:15:31.980 --> 00:15:38.060]   about a model that OpenAI itself promised to never train. As always though I'm curious what you
[00:15:38.060 --> 00:15:42.940]   think so thank you so much for watching to the end and please do have a wonderful day.

