
[00:00:00.000 --> 00:00:02.000]   Let us pray.
[00:12:04.000 --> 00:12:08.000]   But they'd witnessed the crucifixion and the burial.
[00:12:09.000 --> 00:12:13.000]   They were living witnesses of the physical resurrection.
[00:12:13.000 --> 00:12:15.000]   You would have thought these men
[00:12:15.000 --> 00:12:19.000]   were now in a perfect position to go out and preach.
[00:12:19.000 --> 00:12:22.000]   But according to our Lord's teaching, they were not.
[00:12:22.000 --> 00:12:25.000]   They seem to have all the knowledge.
[00:12:25.000 --> 00:12:27.000]   But the knowledge isn't sufficient.
[00:12:27.000 --> 00:12:29.000]   He wants something on top of the knowledge.
[00:12:29.000 --> 00:12:32.000]   You need the knowledge. You can't be a witness without it.
[00:12:32.000 --> 00:12:36.000]   But you need the power and the action and the demonstration
[00:12:36.000 --> 00:12:38.000]   on top of this.
[00:12:38.000 --> 00:12:41.000]   Now, if this was necessary for these men,
[00:12:41.000 --> 00:12:44.000]   how much more is it necessary for all others
[00:12:44.000 --> 00:12:47.000]   who try to preach about these things?
[00:12:47.000 --> 00:12:52.000]   To me, this is a very striking and a very powerful argument.
[00:12:52.000 --> 00:12:56.000]   And so we read of the Spirit coming upon
[00:12:56.000 --> 00:13:01.000]   these assembled men on the day of Pentecost at Jerusalem.
[00:13:01.000 --> 00:13:04.000]   And at once you see the difference that it made to them.
[00:13:05.000 --> 00:13:09.000]   The Peter, who in a craven spirit had denied his Lord
[00:13:09.000 --> 00:13:11.000]   in order to save his own life,
[00:13:11.000 --> 00:13:15.000]   is now filled with boldness and with great assurance.
[00:13:15.000 --> 00:13:17.000]   He's able to expound the Scriptures
[00:13:17.000 --> 00:13:20.000]   and speaks with mighty effect.
[00:13:20.000 --> 00:13:25.000]   So the 3,000 people were converted under his preaching.
[00:13:25.000 --> 00:13:28.000]   This is the inauguration, as it were,
[00:13:28.000 --> 00:13:30.000]   of the Christian Church as we know her
[00:13:30.000 --> 00:13:33.000]   in this dispensation of the Spirit.
[00:13:34.000 --> 00:13:37.000]   And there we are given this graphic picture of it.
[00:13:37.000 --> 00:13:40.000]   But I want to call attention to something else.
[00:13:40.000 --> 00:13:44.000]   Again, I feel a point that we often tend to miss.
[00:13:44.000 --> 00:13:49.000]   This accession of power, or if you prefer it,
[00:13:49.000 --> 00:13:53.000]   this effusion of power upon Christian preachers
[00:13:53.000 --> 00:13:56.000]   is not something once and for all.
[00:13:56.000 --> 00:14:01.000]   It is something that is repeated and repeated many, many times.
[00:14:01.000 --> 00:14:03.000]   Now let me give you some examples of this.
[00:14:03.000 --> 00:14:08.000]   There we've seen these apostles filled with this power.
[00:14:08.000 --> 00:14:10.000]   And the whole object of the baptism of the Spirit
[00:14:10.000 --> 00:14:13.000]   is to enable men to witness with power.
[00:14:13.000 --> 00:14:15.000]   I hope we're all clear about this.
[00:14:15.000 --> 00:14:17.000]   I mustn't go into this too much in detail.
[00:14:17.000 --> 00:14:19.000]   It's got nothing to do with sanctification.
[00:14:19.000 --> 00:14:21.000]   The baptism of the Spirit is a baptism of power,
[00:14:21.000 --> 00:14:24.000]   or a baptism of fire.
[00:14:24.000 --> 00:14:27.000]   Now the old preachers used to make a great deal of this.
[00:14:27.000 --> 00:14:29.000]   They used to ask about a man,
[00:14:29.000 --> 00:14:32.000]   "Has he received his baptism of fire?"
[00:14:32.000 --> 00:14:33.000]   That was the great question.
[00:14:33.000 --> 00:14:35.000]   So it's not sanctification.
[00:14:35.000 --> 00:14:37.000]   This is power, power to witness.
[00:14:37.000 --> 00:14:40.000]   Now, very well, they've had this on the day of Pentecost,
[00:14:40.000 --> 00:14:42.000]   and Peter has witnessed.
[00:14:42.000 --> 00:14:45.000]   In Acts 3 we are told, "He and John again witnessed
[00:14:45.000 --> 00:14:47.000]   after the healing of that impotent man,
[00:14:47.000 --> 00:14:49.000]   and did so in preaching in the temple."
[00:14:49.000 --> 00:14:51.000]   But look again at Acts 4, 8.
[00:14:51.000 --> 00:14:56.000]   Here are Peter and John on trial before the Sanhedrin.
[00:14:56.000 --> 00:15:00.000]   And the charges are brought against them.
[00:15:01.000 --> 00:15:02.000]   "And when God had set them in the midst, they asked,
[00:15:02.000 --> 00:15:06.000]   'By what power or by what name have ye done this?'"
[00:15:06.000 --> 00:15:08.000]   And notice what it goes on to say,
[00:15:08.000 --> 00:15:13.000]   "Then Peter, filled with the Holy Ghost,
[00:15:13.000 --> 00:15:16.000]   said unto them, 'Ye rulers of the people,'" and so on.
[00:15:16.000 --> 00:15:18.000]   Now how do you interpret that?
[00:15:18.000 --> 00:15:23.000]   Why does it say, "Then Peter, filled with the Holy Ghost"?
[00:15:23.000 --> 00:15:26.000]   You might say, "But wasn't he filled with the Holy Ghost
[00:15:26.000 --> 00:15:29.000]   on the day of Pentecost, as the other men were?"
[00:15:30.000 --> 00:15:32.000]   Well, what's the point of repeating it here then?
[00:15:32.000 --> 00:15:35.000]   Well, there's only one adequate explanation of this.
[00:15:35.000 --> 00:15:39.000]   There's no purpose in saying this, unless it means this,
[00:15:39.000 --> 00:15:42.000]   that he received a fresh accession of power.
[00:15:42.000 --> 00:15:44.000]   He was in a critical position.
[00:15:44.000 --> 00:15:48.000]   Here he was on trial, he and John,
[00:15:48.000 --> 00:15:52.000]   and he needed some new, fresh power, and it's given him.
[00:15:52.000 --> 00:15:56.000]   So the expression is used, "Peter, filled with the Holy Ghost."
[00:15:57.000 --> 00:16:00.000]   This was another filling for this special task.
[00:16:00.000 --> 00:16:04.000]   And then you've got another one in that same chapter.
[00:16:04.000 --> 00:16:11.000]   Chapter 4, Acts 31, "When they were all praying now,
[00:16:11.000 --> 00:16:14.000]   in fear and trembling of the authorities
[00:16:14.000 --> 00:16:16.000]   who were trying to exterminate the church.
[00:16:16.000 --> 00:16:18.000]   And when they had prayed, the place was shaken
[00:16:18.000 --> 00:16:20.000]   where they were assembled together,
[00:16:20.000 --> 00:16:23.000]   and they were all filled with the Holy Ghost."
[00:16:23.000 --> 00:16:25.000]   The same people again.
[00:16:26.000 --> 00:16:27.000]   You see, they've been filled on the day of Pentecost.
[00:16:27.000 --> 00:16:30.000]   These two, Peter and John, filled again,
[00:16:30.000 --> 00:16:34.000]   but here the company is now filled with the Holy Ghost.
[00:16:34.000 --> 00:16:36.000]   So it's obvious that this is something
[00:16:36.000 --> 00:16:39.000]   that can be repeated many times.
[00:16:39.000 --> 00:16:42.000]   Then when you go to Acts 6, which we refer to
[00:16:42.000 --> 00:16:44.000]   at the very beginning of these lectures,
[00:16:44.000 --> 00:16:47.000]   a very important chapter, where you have the deacons appointed.
[00:16:47.000 --> 00:16:49.000]   And you notice the qualifications that are stressed
[00:16:49.000 --> 00:16:51.000]   in verses 3 and 5.
[00:16:51.000 --> 00:16:54.000]   "Wherefore, brethren, look ye out among you
[00:16:55.000 --> 00:16:56.000]   seven men of honest report,
[00:16:56.000 --> 00:16:59.000]   full of the Holy Ghost and wisdom."
[00:16:59.000 --> 00:17:03.000]   This isn't true of everybody,
[00:17:03.000 --> 00:17:05.000]   but it's true of some
[00:17:05.000 --> 00:17:08.000]   whom we may appoint over this business.
[00:17:08.000 --> 00:17:10.000]   And then in verse 5, "And the saying pleased
[00:17:10.000 --> 00:17:13.000]   the whole multitude, and they chose Stephen,
[00:17:13.000 --> 00:17:16.000]   a man full of faith and of the Holy Ghost."
[00:17:16.000 --> 00:17:18.000]   But you say, "Weren't they all filled with the Holy Ghost?"
[00:17:18.000 --> 00:17:20.000]   Not in this sense.
[00:17:20.000 --> 00:17:22.000]   There's something special here.
[00:17:22.000 --> 00:17:24.000]   There's something peculiar.
[00:17:24.000 --> 00:17:25.000]   There's something additional.
[00:17:25.000 --> 00:17:27.000]   And they're told to look out for this.
[00:17:27.000 --> 00:17:30.000]   You see, it's exactly the same point.
[00:17:30.000 --> 00:17:33.000]   And then another one in Acts 7, 55.
[00:17:33.000 --> 00:17:37.000]   Stephen, just before he was stoned to death.
[00:17:37.000 --> 00:17:39.000]   It's a wonderful thing, this.
[00:17:39.000 --> 00:17:41.000]   Verse 54, "When they heard these things,
[00:17:41.000 --> 00:17:44.000]   these were his accusers, the members of the Zenedrine,
[00:17:44.000 --> 00:17:46.000]   they were cut to the heart,
[00:17:46.000 --> 00:17:48.000]   and they gnashed on him with their teeth.
[00:17:48.000 --> 00:17:51.000]   But he, being full of the Holy Ghost,
[00:17:52.000 --> 00:17:54.000]   looked up steadfastly into heaven
[00:17:54.000 --> 00:17:56.000]   and saw the glory of God and Jesus
[00:17:56.000 --> 00:17:58.000]   standing on the right hand of God."
[00:17:58.000 --> 00:18:01.000]   This is, again, obviously a special imbuement.
[00:18:01.000 --> 00:18:04.000]   Again, a man in a great crisis.
[00:18:04.000 --> 00:18:07.000]   And the Spirit comes upon him
[00:18:07.000 --> 00:18:09.000]   in an exceptional manner again,
[00:18:09.000 --> 00:18:11.000]   a new way again,
[00:18:11.000 --> 00:18:14.000]   and enables him to face the crisis.
[00:18:14.000 --> 00:18:16.000]   And I'll just give you one other,
[00:18:16.000 --> 00:18:18.000]   because this is about the Apostle Paul,
[00:18:18.000 --> 00:18:21.000]   who came later into these things.
[00:18:21.000 --> 00:18:23.000]   Acts 13, 9.
[00:18:23.000 --> 00:18:27.000]   The Apostle Paul, you remember,
[00:18:27.000 --> 00:18:32.000]   with Barnabas, had arrived
[00:18:32.000 --> 00:18:34.000]   at this country
[00:18:34.000 --> 00:18:36.000]   where there was a deputy
[00:18:36.000 --> 00:18:38.000]   of the name of Sergius Paulus.
[00:18:38.000 --> 00:18:43.000]   And this man desired to hear the word of God,
[00:18:43.000 --> 00:18:45.000]   but Elemus, the sorcerer,
[00:18:45.000 --> 00:18:47.000]   withstood them,
[00:18:47.000 --> 00:18:49.000]   seeking to turn away the deputy from the faith.
[00:18:50.000 --> 00:18:51.000]   Then, verse 9,
[00:18:51.000 --> 00:18:55.000]   "Then Saul, who is also called Paul,
[00:18:55.000 --> 00:18:57.000]   filled with the Holy Ghost,
[00:18:57.000 --> 00:18:59.000]   set his eyes on him."
[00:18:59.000 --> 00:19:01.000]   Now, when it says they're filled with the Holy Ghost,
[00:19:01.000 --> 00:19:03.000]   it is not referring back to the fact
[00:19:03.000 --> 00:19:05.000]   that he was filled with the Holy Ghost
[00:19:05.000 --> 00:19:08.000]   as the result of his meeting with Ananias before.
[00:19:08.000 --> 00:19:11.000]   You see, it's ridiculous to repeat this
[00:19:11.000 --> 00:19:13.000]   if it's happened once and for all.
[00:19:13.000 --> 00:19:15.000]   This is, again, a special imbuement of power,
[00:19:15.000 --> 00:19:18.000]   a special crisis, a special occasion.
[00:19:19.000 --> 00:19:21.000]   And they were given this special power
[00:19:21.000 --> 00:19:23.000]   for this special occasion.
[00:19:23.000 --> 00:19:26.000]   I would go further and suggest this,
[00:19:26.000 --> 00:19:29.000]   that this always happened to these apostles
[00:19:29.000 --> 00:19:32.000]   whenever they worked a miracle
[00:19:32.000 --> 00:19:35.000]   or whenever they had some very special situation
[00:19:35.000 --> 00:19:37.000]   to deal with,
[00:19:37.000 --> 00:19:40.000]   which I think is a very important point in this way.
[00:19:40.000 --> 00:19:43.000]   There's a great difference
[00:19:43.000 --> 00:19:45.000]   between the miracles worked by the apostles
[00:19:46.000 --> 00:19:49.000]   and the miracles, it is claimed,
[00:19:49.000 --> 00:19:51.000]   that certain men perform today.
[00:19:51.000 --> 00:19:53.000]   And the big difference is this.
[00:19:53.000 --> 00:19:56.000]   You never find the apostles announcing
[00:19:56.000 --> 00:19:58.000]   that they're going to have a healing service
[00:19:58.000 --> 00:20:00.000]   in a few days' time.
[00:20:00.000 --> 00:20:02.000]   Why not? Because they never knew
[00:20:02.000 --> 00:20:04.000]   when it was going to happen.
[00:20:04.000 --> 00:20:07.000]   I suggest to you that what happened invariably was this.
[00:20:07.000 --> 00:20:10.000]   There was Paul dealing with those men.
[00:20:10.000 --> 00:20:12.000]   You'll find the same thing with the men at Lystra
[00:20:12.000 --> 00:20:14.000]   in the next chapter.
[00:20:15.000 --> 00:20:17.000]   He was contained that he was suddenly given a commission.
[00:20:17.000 --> 00:20:19.000]   He knew nothing about this until he was given the commission
[00:20:19.000 --> 00:20:21.000]   and the power.
[00:20:21.000 --> 00:20:23.000]   And he did it.
[00:20:23.000 --> 00:20:25.000]   So the first difference is between
[00:20:25.000 --> 00:20:28.000]   so-called miracle workers and the apostles
[00:20:28.000 --> 00:20:31.000]   that the apostles could never predict it
[00:20:31.000 --> 00:20:33.000]   or foretell it or announce it.
[00:20:33.000 --> 00:20:35.000]   But there's a second difference also.
[00:20:35.000 --> 00:20:38.000]   The apostles, you notice in the book of Acts, never failed.
[00:20:38.000 --> 00:20:40.000]   It wasn't an experiment.
[00:20:40.000 --> 00:20:42.000]   They were not trying an experiment.
[00:20:43.000 --> 00:20:44.000]   They knew they were given a commission
[00:20:44.000 --> 00:20:47.000]   so they could speak with authority.
[00:20:47.000 --> 00:20:49.000]   And they did.
[00:20:49.000 --> 00:20:51.000]   And there was no failure.
[00:20:51.000 --> 00:20:53.000]   There can be no failure when this is the position.
[00:20:53.000 --> 00:20:55.000]   Well, now, then, there is the general picture
[00:20:55.000 --> 00:20:57.000]   in the book of Acts of the apostles.
[00:20:57.000 --> 00:20:59.000]   But come to something more direct and specific
[00:20:59.000 --> 00:21:01.000]   even than all this.
[00:21:01.000 --> 00:21:03.000]   The great statement, of course, of the apostle Paul
[00:21:03.000 --> 00:21:05.000]   in 1 Corinthians 2,
[00:21:05.000 --> 00:21:08.000]   which is crucial in this whole matter
[00:21:08.000 --> 00:21:11.000]   where he describes his own preaching at Corinth.
[00:21:12.000 --> 00:21:13.000]   "And I was with you in weakness and in fear
[00:21:13.000 --> 00:21:15.000]   and in much trembling.
[00:21:15.000 --> 00:21:17.000]   And my speech and my preaching
[00:21:17.000 --> 00:21:21.000]   was not with enticing words of men's wisdom
[00:21:21.000 --> 00:21:25.000]   but in demonstration of the spirit and of power
[00:21:25.000 --> 00:21:28.000]   that your faith should not stand in the wisdom of men
[00:21:28.000 --> 00:21:30.000]   but in the power of God."
[00:21:30.000 --> 00:21:32.000]   That's absolutely crucial.
[00:21:32.000 --> 00:21:34.000]   Here, as a man was greatly gifted,
[00:21:34.000 --> 00:21:36.000]   had great natural powers,
[00:21:36.000 --> 00:21:39.000]   he deliberately doesn't use them
[00:21:39.000 --> 00:21:41.000]   in that carnal sense.
[00:21:41.000 --> 00:21:42.000]   He determines to start
[00:21:42.000 --> 00:21:44.000]   not to know anything among themselves
[00:21:44.000 --> 00:21:46.000]   Jesus Christ and Him crucified.
[00:21:46.000 --> 00:21:48.000]   And then he deliberately eschews
[00:21:48.000 --> 00:21:51.000]   the manner of the Greek rhetoricians
