
[00:00:00.000 --> 00:00:02.000]   It's a real picture
[00:03:38.740 --> 00:03:40.740]   Everything seems to be aligning here. What do you think? I
[00:03:40.740 --> 00:03:46.020]   Think the important thing to note is that Tesla put out a pretty
[00:03:46.020 --> 00:03:48.460]   important
[00:03:48.460 --> 00:03:52.260]   Missive at the end of market close yesterday, which essentially said that
[00:03:52.260 --> 00:03:57.260]   Expect a very different demand curve in q1. Hmm and
[00:03:57.260 --> 00:04:00.700]   You have to understand that Tesla has done
[00:04:00.700 --> 00:04:03.660]   the best job of
[00:04:05.540 --> 00:04:10.980]   Understanding supply demand and their pricing power and the pricing elasticity of their cars
[00:04:10.980 --> 00:04:14.260]   And so the fact that they put this out
[00:04:14.260 --> 00:04:21.460]   To me says that we are now really in the belt-tightening phase
[00:04:21.460 --> 00:04:30.820]   Of this kind of like economic process, so I think that the next probably six to nine months are
[00:04:31.940 --> 00:04:38.740]   More of these kinds of things where folks realize that the amount of discretionary income that people had is less
[00:04:38.740 --> 00:04:45.220]   They will either lower prices or lower expectations and
[00:04:45.220 --> 00:04:50.420]   So the the thing is then what happens to the market? This is sort of why?
[00:04:50.420 --> 00:04:53.940]   About a month ago when we on the pot
[00:04:53.940 --> 00:04:59.580]   I was kind of like we're gonna be in a melt-up and it's because the economy will cool demand will cool
[00:05:00.460 --> 00:05:01.900]   inflation cools
[00:05:01.900 --> 00:05:06.300]   Rate cuts come in again. It's not really worth debating whether it happens in six months or nine months
[00:05:06.300 --> 00:05:09.340]   But when we look back 18 to 24 months from now
[00:05:09.340 --> 00:05:12.620]   The market will probably be materially higher
[00:05:12.620 --> 00:05:20.060]   Because there's just so much money on the sidelines and that just continues to grow and grow and grow so trillions of dollars on the sidelines
[00:05:20.060 --> 00:05:22.940]   cooling economic consumption
[00:05:22.940 --> 00:05:25.260]   actually on the ground meets
[00:05:26.100 --> 00:05:29.220]   Reasonable to resetting to lower expectations for some of these companies
[00:05:29.220 --> 00:05:33.820]   I think that all roads lead to a continued melt-up
[00:05:33.820 --> 00:05:38.500]   It's actually were just at the prediction show saying hey, maybe it's gonna be a little bumpy
[00:05:38.500 --> 00:05:43.540]   So and again, this isn't none of this is investment advice with four dudes talking
[00:05:43.540 --> 00:05:46.620]   but what are your thoughts on the the economic data and the
[00:05:46.620 --> 00:05:53.620]   Melt-up scenario versus the soft landing versus the rocky landing. Well, Jason, we're only three weeks into the new year
[00:05:53.620 --> 00:05:59.620]   So there's plenty of time for bumps here. But this report was good. I mean the GDP growth was good inflation continues to come down
[00:05:59.620 --> 00:06:03.540]   So, you know, we are on track here for a soft landing. It seems like
[00:06:03.540 --> 00:06:09.100]   But yeah, there's definitely potential storm clouds on the horizon like Chamath mentioned. There's some
[00:06:09.100 --> 00:06:16.420]   Data points out there suggesting that the consumer may not stay as strong as the consumer has over the past year
[00:06:16.420 --> 00:06:21.260]   There's a few other things so that are kind of going on the Fed has announced that they're gonna end
[00:06:22.060 --> 00:06:24.780]   BTFP that bank term funding program on March 11th
[00:06:24.780 --> 00:06:30.500]   That could reveal weakness in the regional banking system. Remember we had a banking crisis in
[00:06:30.500 --> 00:06:36.620]   March of last year that BTFP sort of papered over you also have
[00:06:36.620 --> 00:06:43.740]   What looks like a crash happening in China the Chinese government took some actions to prop up the stock market there
[00:06:43.740 --> 00:06:48.100]   Which is a pretty negative signal that mainly impacts the Chinese economy
[00:06:48.100 --> 00:06:52.980]   Not us, but it will have an impact on the global economy if China has, you know a big crash
[00:06:52.980 --> 00:06:55.780]   And then we still have a lot of geopolitical risks
[00:06:55.780 --> 00:06:58.540]   I mean, I still think we get an oil shock in the Middle East if this
[00:06:58.540 --> 00:07:03.220]   Situation broadens into a larger regional war maybe with Iran
[00:07:03.220 --> 00:07:08.060]   You could get you know a shock in the price of oil and then that could have a big impact on the economy
[00:07:08.060 --> 00:07:12.940]   So look, I think the baseline is that the economic outlook is good
[00:07:12.940 --> 00:07:16.380]   But there's definitely potential for things to still go wrong
[00:07:17.660 --> 00:07:19.660]   free break we've talked about the
[00:07:19.660 --> 00:07:26.540]   debt here in this country 35 trillion now or so, what are your thoughts in terms of
[00:07:26.540 --> 00:07:31.540]   how politicians are going to look at the future now and spending when
[00:07:31.540 --> 00:07:34.780]   they keep spending and markets keep going up and
[00:07:34.780 --> 00:07:37.420]   Maybe it's good for
[00:07:37.420 --> 00:07:39.780]   Elections and getting votes as well. I put a
[00:07:39.780 --> 00:07:47.020]   Chart from Paul Krugman here. He put out this tweet analyzing unemployment against inflation
[00:07:47.620 --> 00:07:50.260]   over the last 20 years and plotted
[00:07:50.260 --> 00:07:55.860]   On a graph how they're related and as you can see, there's a pretty linear relationship
[00:07:55.860 --> 00:07:58.860]   between unemployment and inflation except
[00:07:58.860 --> 00:08:03.340]   for the last couple of years since Kovac where inflation has
[00:08:03.340 --> 00:08:09.540]   Spiked completely off the charts while unemployment has remained low and I think if you look at what's happened
[00:08:09.540 --> 00:08:12.940]   From a federal debt perspective over this period of time
[00:08:14.020 --> 00:08:20.540]   We've seen US federal debt climb from 22 trillion dollars at the end of 2019
[00:08:20.540 --> 00:08:22.500]   to 34 trillion dollars
[00:08:22.500 --> 00:08:28.420]   Which is where it sits today an extraordinary increase in in federal debt in the last couple of years
[00:08:28.420 --> 00:08:30.900]   Which largely explains what happened?
[00:08:30.900 --> 00:08:36.260]   we effectively took this massive hole in the economy that arose from the pandemic and
[00:08:36.260 --> 00:08:43.380]   The shutdowns around the pandemic and we filled that hole with money and we took on debt to fill that hole
[00:08:43.380 --> 00:08:46.540]   And as we filled that hole assets inflated
[00:08:46.540 --> 00:08:49.860]   Financial assets inflated so the stock market went up
[00:08:49.860 --> 00:08:52.860]   even as you know core
[00:08:52.860 --> 00:08:57.860]   Inflation and economic growth meant that we were paying more for less
[00:08:57.860 --> 00:09:04.420]   So things look good the stock market as an indicator looks good, but it's largely been filled
[00:09:04.420 --> 00:09:07.460]   By the capital that we've now taken on
[00:09:08.060 --> 00:09:11.340]   Into the economy through fiscal and monetary policy over the last couple of years
[00:09:11.340 --> 00:09:15.060]   Which has driven up inflation over this period of time and now at some point?
[00:09:15.060 --> 00:09:18.660]   We're gonna have to pay the cost for the hole in the economy over the last couple of years
[00:09:18.660 --> 00:09:25.180]   So we bridge the gap, but we've got a bigger problem looming on the horizon if rates don't decline fast enough
[00:09:25.180 --> 00:09:29.600]   I think I tried to do the math on this every day that interest rates are off are
[00:09:29.600 --> 00:09:36.460]   1% higher based on the current federal debt level. We're paying an incremental billion dollars in interest payments per day
[00:09:37.460 --> 00:09:41.260]   The u.s. Is that makes sense? I mean actually let's pull up this chart real quick
[00:09:41.260 --> 00:09:48.860]   I think the average interest rate on our debt is now around 3% that's up from about one and a half percent in
[00:09:48.860 --> 00:09:53.300]   2020 so during the the ZURP period and
[00:09:53.300 --> 00:09:57.140]   The tenure is still at what for four point one percent
[00:09:57.140 --> 00:09:59.940]   So there's still room for that number to move up
[00:09:59.940 --> 00:10:06.620]   even with rate cuts on the front end of the curve and you can see that if you annualize the q4 interest that we paid and
[00:10:07.220 --> 00:10:09.220]   It's around a trillion dollars
[00:10:09.220 --> 00:10:16.700]   Which makes sense right you got about 34 trillion of debt about to be 35 trillion 3% is 1 trillion and
[00:10:16.700 --> 00:10:24.980]   So free bird to your point 1 billion a day 365 billion a year. Yeah, that's basically 1% of a 35 trillion dollar debt number
[00:10:24.980 --> 00:10:26.380]   So yeah, that makes sense
[00:10:26.380 --> 00:10:28.380]   you know, it's pretty scary because
[00:10:28.380 --> 00:10:35.140]   It's already consuming a large chunk of the federal outlay and we're still running two trillion dollar deficits and not a single person
[00:10:35.140 --> 00:10:37.100]   Is talking about how we end that why is it important?
[00:10:37.100 --> 00:10:38.740]   We have to keep the stock market up
[00:10:38.740 --> 00:10:43.700]   We have to keep financial asset prices up because we're so heavily levered and if they fell down
[00:10:43.700 --> 00:10:45.420]   pensions
[00:10:45.420 --> 00:10:50.340]   Retirement funds everyone's housing value where most people have most of their net worth tied up
[00:10:50.340 --> 00:10:53.260]   Collapses it creates a cataclysmic effect
[00:10:53.260 --> 00:10:56.140]   So we had to inflate all these assets and that's what happened
[00:10:56.140 --> 00:10:57.700]   We filled that hole over the last couple of years
[00:10:57.700 --> 00:11:02.060]   Now we've got the quandary of how do we get out of the hole that we're gonna have to pay back over time
[00:11:02.580 --> 00:11:06.380]   Yeah, and we cut these rates to lower our interest payments
[00:11:06.380 --> 00:11:08.220]   What's gonna happen?
[00:11:08.220 --> 00:11:13.220]   People will take money that's sitting in cash as you've pointed to Chamath is trillions of dollars sitting in cash
[00:11:13.220 --> 00:11:18.180]   And they want to look for some returns some alpha they're gonna put it into
[00:11:18.180 --> 00:11:25.340]   Markets and so then we have a rush into the magnificent seven and maybe even you know, the next year of stocks
[00:11:25.340 --> 00:11:28.320]   yeah, I think that's what's gonna exacerbate all of this because
[00:11:29.980 --> 00:11:34.420]   You can't correlate stock market returns with
[00:11:34.420 --> 00:11:40.940]   The number of people that are actually making money. So even though the top seven stocks are going up
[00:11:40.940 --> 00:11:46.100]   Those holdings may actually be concentrated enough
[00:11:46.100 --> 00:11:52.660]   That it's not the case that the millions of market participants are actually seeing those gains
[00:11:52.660 --> 00:11:55.460]   It's just that a smaller percentage that's going to further exacerbate
[00:11:56.180 --> 00:12:00.620]   The sense of FOMO that everybody has because they own all of these other stocks
[00:12:00.620 --> 00:12:05.660]   Let's just take the top 500. So even if you own the S&P 500 or some component of it
[00:12:05.660 --> 00:12:10.860]   There are 493 other companies that people just don't care about right now
[00:12:10.860 --> 00:12:15.820]   And that's crazy. So all of that pressure is just going to create a lot of psychological
[00:12:15.820 --> 00:12:20.940]   Necessity in people's minds at some point where they just see these things going up
[00:12:20.940 --> 00:12:25.020]   Where they say I need to be a part of this and I think that's what unlocks a lot of this
[00:12:25.980 --> 00:12:32.540]   Money on the sidelines and then as long as you have rate cuts and a reasonable inflation and reasonable growth
[00:12:32.540 --> 00:12:37.500]   There's no reason to think that the that people will not reinflate risk assets
[00:12:37.500 --> 00:12:43.700]   And just so people know about 60% of Americans own equities. It always goes between 50 and 60%
[00:12:43.700 --> 00:12:50.100]   Interestingly, it kind of parallels the home ownership in the country, which is also low 60%
[00:12:50.620 --> 00:12:58.140]   It went as high as I think 67 68% home ownership right before the Great Recession. So 2006 2007, it kind of peaked
[00:12:58.140 --> 00:13:13.820]   So now everybody Chamath runs into equities, those go up, and then consumers maybe some percentage of them feel affluent, they feel rich again, and they start spending again, and then the inflation might kick back up. Is that the cycle we might see here?
[00:13:13.820 --> 00:13:17.060]   I don't think so. I think that rates are probably
[00:13:18.460 --> 00:13:21.020]   I think that we're in a much more interesting
[00:13:21.020 --> 00:13:32.100]   And non obvious trend that I think is worth talking about, which is that for most of us forget boomers for a second. So take people that are 50 years and down
[00:13:32.100 --> 00:13:38.180]   We've spent 20 years of our productive economic lives. So for us, Jason, that's
[00:13:39.380 --> 00:13:52.220]   Two thirds of our productive economic life as workers for younger people. It's 100% of their productive economic life as a worker in a zero rate environment. And we adjusted, and we made decisions
[00:13:52.220 --> 00:14:04.620]   Because of some variables that were true that may fundamentally no longer be true. And one of the things that I think we've never really understood is how to build a business in the face of sustained rates that are not zero
[00:14:05.340 --> 00:14:13.940]   That are not always getting cut that don't have trillions of dollars of stimulus because of government stepping in as Friedberg well said to fill these holes
[00:14:13.940 --> 00:14:22.380]   If that doesn't happen over the next 10 or 15 years, we're in a different phase, which we've not really seen for our generation
[00:14:22.380 --> 00:14:30.580]   And I think that's really what is worth debating is are we at this inflection point where rates will always be between two and 4% for a very long time
[00:14:31.180 --> 00:14:38.700]   And then, you know, we said this last week. This is why there will be gross margin decay. This is why governments will step in to
[00:14:38.700 --> 00:14:48.300]   Make sure that winners don't get much, much bigger. All of these things are about using the tools of capitalism to basically reallocate who the winners and losers are and to reallocate
[00:14:48.300 --> 00:14:57.340]   What the risk free rate of return will be in a world where it's just very different than what it was. And I thought that's, that's the really big question that I have in my mind.
[00:14:57.740 --> 00:15:15.140]   Yeah, and if we were to look at the Fed funds rate, we've lived since 2010 with almost no Yes, 0% interest rates essentially. But if you go back to the 80s and 90s, when we were first starting our careers, it was a much different situation for mortgages and for this is the Fed funds rate
[00:15:15.740 --> 00:15:33.820]   mortgages, you can add a couple points to this to get the equivalent. So what do you think that'll be sacks, if we're going to be operating businesses differently in this environment? What is the new discipline going to be here? Or do you think we're going to get right back to, you know, when interest rates come down to 3%, or 2%, or whatever, we're gonna just get back to the party?
[00:15:33.980 --> 00:15:56.820]   I don't think it's ever going to be quite the party that it was in 2020. And 2021, where both the Fed and the federal government were just airdropping money into the economy, that that beginning of COVID, the economy was contracting an annual rate of about 30%. And we ended up adding what, 7 trillion or so to the national debt to basically paper over that problem that we largely created through the lockdowns.
[00:15:57.980 --> 00:16:27.420]   So in any event, it's never going to be like that, again, because we're never gonna have that magnitude of money airdropped on the economy. But will things get a little bit frothier if rates go down? Absolutely. Yeah. But I think that just because short rates come down, meaning the Fed drops the Fed funds rate, from where's it now, like five and a half to, I guess, expect to come down to four doesn't mean that the long term rates called the 10 year will come down much. I mean, normally, the yield curve is
[00:16:27.460 --> 00:16:53.420]   upward sloping. So, you know, in a normal economy, it's not clear that the 10 years going to be going to be going back down to two, 3%, where it was during the ZURP period, it probably will be around 4%, plus or minus. So just capital will be a little bit scarcer, and valuations will be lower, more normal. But things could pick up for sure, relative to where they've been the last couple of years.
[00:16:53.980 --> 00:17:23.740]   Last couple years been brutal. But yeah, I'm with the rest of the panel here. I don't think we're gonna see I don't think in our lifetime, we're gonna see that 2020 2021. Again, I don't think that's happening for 20 years or so. All right, listen, speaking of like the economy, layoffs have continued, not just at tech companies. But I wanted to point out just how brutal this has been for media companies recently. In 2023 20,000 job cuts. That's on top of 30,000 during the COVID era. And it's not stopping Business Insider just announced
[00:17:23.740 --> 00:17:44.740]   8% cuts, LA Times cut over 100 people, the billionaire owner of the LA Times says he's getting close to a billion lost owning that asset, use air quotes on the term asset. Condé Nast cutting 300 people. And all of this is happening while unions are hosting what I'll just
[00:17:44.740 --> 00:18:14.100]   call meaningless protests. Sports Illustrated and Pitchfork to really well respected brands. Obviously, they're done. Basically, they're cutting 100 severs Sports Illustrated box cut another 4% Jezebel shut down. Vice went bankrupt last year. It's just absolute complete chaos. And Bill Ackman is loving it. Business Insider is a sleazy, unethical defamer of some of our greatest heroes. It's a worthless peel has rag run by the lowest of the low in journalism. It is a stain upon humanity
[00:18:14.420 --> 00:18:17.420]   was his quote today, his commentary on the press,
[00:18:17.420 --> 00:18:35.100]   Jason, you've run like these media businesses before, like, what's the underlying economic condition here? That's changed in the last couple of years that's causing all these layoffs to happen? Like what? What do you think's actually? Yeah, going on? Like financially with these businesses? Is it
[00:18:35.140 --> 00:18:37.940]   advertisers running away? Or what is it
[00:18:37.940 --> 00:19:04.540]   advertising and classified businesses got gutted? And obviously print got gutted over the last 20 years, Google and Facebook, all the gains in advertising have gone to those two firms and now tick tock, obviously, and Amazon, Uber building respectable ad businesses as well. So all of that takes ads out of publications and puts it closer to the point of purchase, right? You're on Amazon, you're right there with the buy button. So would you advertise in the New York Times are there?
[00:19:05.140 --> 00:19:32.940]   So if you were to look at, like, say, a journalist salary, pick 100,000 all in fully baked, most journalists are at 50 60k in the United States, you know, get up to 80 90 100k would not be abnormal. Well, your overhead is going to typically be two or three times that. So you can put that journalist at two or $300,000 in cost. You look at that, what can a journalist do in terms of the number of stories a week, if you had them as a beat reporter, maybe two stories a week, you do two stories a week.
[00:19:34.020 --> 00:19:34.740]   If you're
[00:19:34.740 --> 00:20:02.540]   you know, 100k salary, and you have like, maybe two or 300, fully baked with overhead and managers and salespeople. That means each story is costing about 1000 bucks. If you were to do a $10 CPM or RPM on that, that means every story to break even. In today's market, we need 100,000 people 150,000 people to read it, obviously, that's not happening. So these publications are just hemorrhaging hemorrhaging cash. If you were to put that same journalist on a subscriber platform,
[00:20:03.180 --> 00:20:33.100]   that means they got to get like 1520 subscribers per story for a year to hit their just their salary. So the economics are just hugely broken except for subscription businesses, a ton of other nuance, but I could drone on and on about it. But the the math basically does not work at the same time sacks, you have experts right, who are now going direct. So if you want Draymond green and JJ erratic to tell you about basketball, you can watch them talk about it. Yeah, I did a tweet on this the other day. Or if you want, this is just not to toot our own horn here.
[00:20:33.100 --> 00:21:01.140]   But we're the number one business and tech podcast. And we do this as experts in the field. We're not journalists, obviously. So that's probably I would say experts encroaching and people going direct to sources, that's probably taking 20 to 30% of an already crippled business. So it's gonna get worse and worse. And of course, having unions and going on strike freeberg at the same time, is like literally the kitchen staff on the Titanic, you know, like, I just think doing a walkout after the Titanic's hit an iceberg, like it's completely meaningless.
[00:21:01.180 --> 00:21:02.540]   I think that there's this like,
[00:21:02.540 --> 00:21:29.540]   slow attrition over time away from centralized sourcing of data, and centralized analysis of that data to a more decentralized sourcing of data and then distributed analysis of the data, which is the evolution of the internet is enabled that to compete. Traditional media has largely had to create sensationalist approaches to taking the data that's out there and creating stories around it that are more sensational that bring emotion and bring emotion to the data that's out there.
[00:21:29.540 --> 00:21:59.060]   And creating stories around it that are more sensational that bring emotion that make people upset that make people happy, that drive an emotional reaction. If you look at the New York Times, and you can look at these archives online from the 1960s. The articles are so damn boring. Like you read them, it's like literally just reading a ticker tape of information. There's nothing that we see today, represented in the media of old, which was really the source of data. It was now it's had to have become a narrative, it's had to have become a storytelling
[00:21:59.060 --> 00:22:28.900]   operation, in order to keep people's attention and to drive clicks. The problem with that is that over time, the media businesses have lost the trust and faith of the viewership and the readership, because they see how much of this is biased and opinionated. And they don't just get pure analysis and pure data. So in the current model, which you've described, well, I think it's more about the fact that you've got all these crowdsourced citizen journalism type systems, whether it's Wikipedia, or WikiLeaks, or Twitter, where people are, or YouTube, people are putting direct video
[00:22:28.900 --> 00:22:58.340]   direct evidence, direct data, direct documents on the internet. And then analysts, like we're a good example of four people on a friggin podcast that just talk about stuff that we're reading, and data that we're picking up. And we analyze it in a way that people then choose which analysts do they want to go to, for which understanding of data that's out there. And that model totally breaks the old media model, which unfortunately, is evolved into this like untrustworthy, biased and opinionated source to keep the business alive. So it's definitely a breaking that's happening. I think it's very hard for that model of
[00:22:58.340 --> 00:23:06.260]   centralized sourcing of data, and centralized analysis of data to happen in one place to continue in that old form. And this is definitely the breaking of the old
[00:23:06.260 --> 00:23:36.180]   I went to trends.google.com. And I just compared wsj.com to bi.com to twitter.com to New York Times calm. And what's incredible is two takeaways. The first is that media is really the least relevant it's ever been. And they really are on a lifeline. That's number one. And second is if you just scroll down a little bit, Nick, Twitter is really like a universally relied upon resource in the United States. The WSJ actually also does a pretty good job. But if you
[00:23:36.180 --> 00:24:06.100]   look at, for example, Business Insider, it's really three states, Texas, California and New York. And if you look at the New York Times a little bit further down, it's a bunch of the traditional democratic states. So what you have is this regional kind of segregation that's happening in terms of information. But for the most part, nobody cares about these print outlets. And I think that that explains why you're forced to lie.
[00:24:06.100 --> 00:24:36.020]   If telling the truth, which is basically a commodity, it's weird, but it actually is a commodity. It's just there. The truth is there. And you can't build the business by telling the truth. You have two choices. One is to opine on the truth opinion, but that then is a function of, frankly, to be honest, your intellect and how interesting you are as a person and how you relay that information. And you see the people that do that. Well, you can
[00:24:36.020 --> 00:25:05.860]   debate the truthfulness of all of these people, but the Rachel Maddow's and the Ben Shapiro's of the world, Tucker, Tucker, they're just extremely eloquent, interesting arbiters of information. They may take spicy takes on the truth. Yeah, but they don't outright lie. And then you have everybody else who's frankly, not nearly as good as them. And the choice is to lie. And that's why Ackman can say this about Business Insider, because Business Insider doesn't have a Rachel Maddow, nor do they have a
[00:25:05.860 --> 00:25:33.620]   Tucker Carlson, or a Ben Shapiro. And so what choice do they have, except to lie. And so for all of us, it's a very simple litmus test. You're better off trusting a really opinionated, articulate person. Why? Because the thing that they probably don't want to lose is their fame. But the anonymous person at Business Insider has gone into a totally different direction. They've decided to lie as a service.
[00:25:35.140 --> 00:25:43.900]   And so you just have to ignore it all. Yeah, because you can't rely on. That's my simple takeaway. Looking. Yeah, I like it. It's good tech hot take spicy.
[00:25:43.900 --> 00:26:00.500]   Yeah, I mean, look, I think there's several things going on here. One is that outlets like Business Insider have an incentive to be sensational and to either lie or to cherry pick in the way that your mouth is saying and basically they put out a lot of clickbait defamation. I mean, that's basically what Ackman is saying.
[00:26:01.580 --> 00:26:31.260]   Second, I think there's a glut of a lot of mainstream media publications all putting out the same thing. And it's not the truth. It's the official narrative. So you know, how many political reporters do we need just being stenographers for the White House kind of party line? And if you're not going to actually dig deeper to expose how the official narrative they're telling you is not the truth, if you're simply going to print whatever they tell you to print, then why do we need so
[00:26:31.260 --> 00:26:59.960]   many of you? So I think that there's a glut of publications is all putting out the same official narrative. I think the third thing is there is a go woke go broke dynamic going on. I mean, you talk about like the LA Times. The reason why they're losing so much money is that family that bought it. They put their woke daughter in charge of it. And this is basically like a woke nepo baby on steroids, basically an Alexander Soros type who's made the LA Times the most radical woke
[00:26:59.960 --> 00:27:18.400]   publication, you know, within the range of the mainstream media. Remember, they're the ones who put out that ridiculous story on Larry Elder called the face of white supremacy or something. Yeah. In the case of Sports Illustrated, they they basically pulled a Bud Light and they lost a lot of subscribers when they put a trans person on the cover. I mean, look,
[00:27:18.400 --> 00:27:48.320]   they had a formula that worked there. What their audience wants is Christie Brinkley on the cover, not Dylan Mulvaney. Okay. I'm not mean to offend anyone by saying that is just the truth. And then I think the last thing is, Jason, what you're saying about the experts, I do think that the gel man amnesia effect may be wearing off. Remember what Michael Crichton said about the gel man amnesia effect, where you read one part of the paper where you actually know something about the subject matter, and you realize it's all
[00:27:48.320 --> 00:28:17.960]   just lies or lazy reporting. But then you turn the page to some other part of the paper, you don't know as much about you just assume it's true. I think because experts are able to go direct for every section of the paper. Now people are realizing that the whole thing is bogus. And I think gel man amnesia is starting to wear off and people are realizing that they should just go around these official channels and get their news direct. So it's not because these publications are telling us the truth in a boring way that they're losing readership. I think they're losing
[00:28:17.960 --> 00:28:24.160]   readership because they're just not telling us the truth at all. And I think a boring version of the truth would sell better than what they're doing right now.
[00:28:24.160 --> 00:28:47.360]   This is why I think subscriptions are starting to work. People are doing subscription, podcast subscription, newsletters, you know, it's a little bit of back to the future. But you can lower your overhead, have one person doing real journalism, and there you could actually thread the needle, you could get 1000 people to give you 100 bucks, you can get to 3000 people to give you 100 bucks or 200 bucks. And that's enough to cover a couple of solid legit
[00:28:47.360 --> 00:28:49.200]   journalists doing legit journalism.
[00:28:49.200 --> 00:29:07.320]   I have a question for you, Doug, you think there's a business opportunity to actually build like an AP news, which is just basically like, there's no byline. And they just write the truth. And they make it super cost effective for anybody else to just license the truth so that they
[00:29:07.320 --> 00:29:08.960]   know it. Why do you need an arbitrator?
[00:29:08.960 --> 00:29:13.160]   Well, somebody got to be boots on the ground to go somebody on the ground to just tell the truth.
[00:29:13.440 --> 00:29:16.280]   Doesn't the distributed model work for that people just post?
[00:29:16.280 --> 00:29:32.720]   You don't know. I mean, listen, we all the time have this when we're building the docket, like Kane Cola, you know, random Twitter account, or, you know, Tyler Durden, you know, zero hedge, like, who are these people? What are their motivation, you don't even know their names, that doesn't mean they don't get stuff
[00:29:32.720 --> 00:29:41.600]   right. But you may want to have somebody actually go check that this person exists in the real world. So to your answer your question, you know, you would need people to subscribe to that service.
[00:29:42.320 --> 00:29:59.920]   An economist, AP news, and Reuters are the closest to what you described, the economist doesn't use people's bylines, they have people work on the story together. And the economist is the brand AP and Reuters obviously do typically have the journalist names on it. But she's describing news wires. They're, they're not great businesses.
[00:29:59.920 --> 00:30:07.000]   I think AP and Reuters are just as bad as everything else. I think what I'm saying is like, you know, maybe Twitter should have like a news service, which is just like, here's the truth.
[00:30:07.280 --> 00:30:36.480]   I'll argue that page rank, which is Google's algorithm for determining which sites to rank higher or lower. And the protocol for Bitcoin, and other systems that operate on the internet, have all kind of followed the same model where there's some system for scoring or for voting, the quality of the site in page ranks case, it's how many links come in, in Bitcoin, there's a voting system that determines whether or not the transaction
[00:30:36.480 --> 00:31:02.000]   should be approved. And I think in Twitter, the number of followers seems to be a proxy for the quality of the account. There's some version of that chamath that I think just naturally evolves on the internet versus saying, let's pick the arbiter of the data, and let that state be static versus let it be dynamic, and let the system of consumers dynamically vote on what is the arbiter of the data, which seems to be working with Wikipedia seems to be working with page rank, and other systems
