
[00:00:00.040 --> 00:00:18.600]   Hex is a data science platform company. What you should think about is sort of like a really
[00:08:46.520 --> 00:08:53.320]   And the reason I wanted to kind of give you these theses is because ultimately your leadership is probably asking you, what's your hiring thesis?
[00:08:53.320 --> 00:08:54.480]   What's your hiring thesis?
[00:08:54.480 --> 00:08:56.380]   We have this person on this other team.
[00:08:56.380 --> 00:08:57.440]   Why can't we just pull them over?
[00:08:58.440 --> 00:09:01.960]   If you can pull them over and satisfy these theses, then you don't need to make a hire.
[00:09:01.960 --> 00:09:03.980]   If you can't, then you do.
[00:09:03.980 --> 00:09:09.960]   So for the full stack engineer, the hiring thesis is they're going to integrate your system with an LLM provider.
[00:09:09.960 --> 00:09:12.840]   Not very thrilling, but key.
[00:09:12.840 --> 00:09:15.420]   And build a minimum infrastructure.
[00:09:17.420 --> 00:09:22.560]   The hiring thesis for the data scientist is evaluation, quality, and user data.
[00:09:22.560 --> 00:09:25.100]   Continuously improving your AI product.
[00:09:25.100 --> 00:09:27.700]   I've already talked about this a couple times in this talk already.
[00:09:27.700 --> 00:09:29.660]   It is extremely important.
[00:09:29.660 --> 00:09:32.160]   A product person.
[00:09:32.160 --> 00:09:37.740]   I'm not super specific here that this needs to be a product manager, a program manager, a product developer.
[00:09:38.260 --> 00:09:41.620]   But you need someone whose spike is product.
[00:09:41.620 --> 00:09:45.100]   And the reason is because they need to be talking to users.
[00:09:45.100 --> 00:09:48.120]   They need to be understanding what the jobs to be done are.
[00:09:48.120 --> 00:09:55.060]   If you personally don't know what the jobs to be done are for your application, that's a hole.
[00:09:55.060 --> 00:09:56.640]   That's a hole in your team.
[00:09:56.640 --> 00:09:59.560]   A designer.
[00:09:59.560 --> 00:10:03.280]   A lot of times we think of designers as coming later in the process.
[00:10:03.280 --> 00:10:07.940]   But right now, none of us know what the shape should be.
[00:10:08.680 --> 00:10:17.680]   Think about early technology and how different it looks for users from what it eventually becomes after you've been doing it for five years.
[00:10:17.680 --> 00:10:20.460]   All AI products right now are clownish.
[00:10:20.460 --> 00:10:22.580]   You want to see a great example of clownish?
[00:10:22.580 --> 00:10:26.680]   That's a great example of clownish.
[00:10:26.680 --> 00:10:32.600]   And how many applications are we asking people to pay to use that don't look much better than this React?
[00:10:32.600 --> 00:10:35.220]   By the way, Claude wrote this React.
[00:10:36.720 --> 00:10:41.720]   The reality is your AI application probably looks like shit.
[00:10:41.720 --> 00:10:44.340]   I don't say that in a mean way.
[00:10:44.340 --> 00:10:47.120]   I just say that in a way of there's a lot of opportunities.
[00:10:47.120 --> 00:10:50.000]   I actually think ChatGPT looks like shit.
[00:10:51.280 --> 00:10:54.700]   So, what I challenge you to do is bring in a professional.
[00:10:54.700 --> 00:11:03.900]   And finally, when you need an MLE, it's because you need to push your capabilities beyond what is the commodity intelligence.
[00:11:03.900 --> 00:11:08.040]   That delta is what the MLEs are going to bring.
[00:11:09.980 --> 00:11:10.480]   Okay.
[00:11:10.480 --> 00:11:10.480]   Okay.
[00:11:10.480 --> 00:11:12.260]   So, who?
[00:11:12.260 --> 00:11:22.180]   In my experience, the attributes that are strongly co-varying with a lot of impact are data intuition.
[00:11:22.180 --> 00:11:24.280]   We've already spoken about it a little bit.
[00:11:24.700 --> 00:11:33.500]   But there's a big difference between I made a semantic embedding of all of my documents and I made a semantic embedding of all my documents.
[00:11:33.700 --> 00:11:39.960]   And when I looked at the mutual distances, they fall into a very ridge-like, jagged structure.
[00:11:41.820 --> 00:11:44.500]   The former, okay, you did it.
[00:11:44.500 --> 00:11:47.600]   The latter, your retrieval is going to suck.
[00:11:47.600 --> 00:11:51.740]   Product-mindedness.
[00:11:51.740 --> 00:11:57.100]   We are still trying to figure out what the actual utility of most of this is.
[00:11:57.100 --> 00:12:03.840]   I am incredibly skeptical that we are already at the boundary of the value for these things.
[00:12:03.840 --> 00:12:11.560]   If we believe that there's a lot more juice to squeeze, then we must also accept that we don't know what the right products are right now.
[00:12:12.220 --> 00:12:21.400]   I would hope that for most of us, what we're building right now, what we're laser-focused on, what we're telling our investors is the breakout thing.
[00:12:21.400 --> 00:12:24.840]   We look back in two years like, okay, so it was very naive.
[00:12:24.840 --> 00:12:27.900]   But I hope that that's the case for all of us.
[00:12:27.900 --> 00:12:30.980]   I don't want to be building the same thing in two years, and I hope you don't either.
[00:12:30.980 --> 00:12:33.060]   Urgency.
[00:12:33.060 --> 00:12:38.600]   This is always the case for engineering teams, that urgency has a really high value.
[00:12:39.220 --> 00:12:44.060]   But when everything changes under your feet every three months, it's even more true.
[00:12:44.060 --> 00:12:49.120]   A little ADHD can be useful, too, speaking from personal experience.
[00:12:51.800 --> 00:12:52.300]   How?
[00:12:52.300 --> 00:12:59.680]   If you are giving leak code interviews for your AI engineering hiring, you are doing yourself a major disservice.
[00:12:59.680 --> 00:13:04.700]   I cannot think I've done a lot of leak code interviews.
[00:13:04.700 --> 00:13:06.060]   I'm personally very good at them.
[00:13:06.060 --> 00:13:07.700]   It's just like a stupid thing about me.
[00:13:08.200 --> 00:13:10.560]   I promise you this is not me, like, coping.
[00:13:10.560 --> 00:13:19.240]   I cannot imagine a leak code experience I've ever had that gives signal on what is actually useful for building this shit.
[00:13:19.240 --> 00:13:21.160]   So, stop it.
[00:13:23.660 --> 00:13:28.940]   Make data intuition part of your hiring loop, and so, too, for product intuition.
[00:13:28.940 --> 00:13:32.480]   My hiring loop includes a take-home.
[00:13:32.480 --> 00:13:37.100]   That take-home, ultimately, is a data-cleaning exercise.
[00:13:37.920 --> 00:13:40.740]   I've had candidates really surprised.
[00:13:40.740 --> 00:13:43.940]   They're like, okay, this seemed really easy.
[00:13:43.940 --> 00:13:46.380]   Did I, like, misunderstand the problem?
[00:13:46.380 --> 00:13:48.020]   And I'm like, no.
[00:13:48.020 --> 00:13:49.760]   You did a lovely job.
[00:13:49.760 --> 00:13:50.560]   Thank you.
[00:13:50.560 --> 00:13:52.840]   You didn't overcomplicate things.
[00:13:52.840 --> 00:13:55.000]   You extracted the meaning from the data.
[00:13:55.400 --> 00:13:58.180]   You were able to look at the data and make some conclusions.
[00:13:58.180 --> 00:14:03.120]   That sure sounds a whole hell of a lot like what I need them to do on the job.
[00:14:03.120 --> 00:14:10.120]   My coding challenge, most of the people in this room would think is, like, too easy.
[00:14:10.120 --> 00:14:14.040]   But I promise you, I get a whole hell of a lot of signal out of it.
[00:14:14.040 --> 00:14:16.740]   Invest in your coding challenge.
[00:14:16.740 --> 00:14:20.420]   Invest in data intuition and product intuition.
[00:14:20.420 --> 00:14:24.740]   One thing that Hex does that I think is really amazing is we have a product design interview.
[00:14:24.740 --> 00:14:28.560]   Not my idea, but damn do I love it.
[00:14:28.560 --> 00:14:34.300]   The one that says stupid leak code?
[00:14:34.300 --> 00:14:34.660]   Hell yeah.
[00:14:34.660 --> 00:14:41.740]   Look for people who are paying attention, but not necessarily just riding the wave.
[00:14:41.740 --> 00:14:43.520]   I understand it's very exciting.
[00:14:43.520 --> 00:14:48.340]   I understand that a lot of people are really enthused right now, and they really want to get involved.
[00:14:48.340 --> 00:14:49.280]   That's great.
[00:14:49.280 --> 00:14:54.560]   What I'm really looking for, though, is people that are going a little bit deeper.
[00:14:54.560 --> 00:15:00.980]   They're playing with other AI products, and they're forming opinions about what is good and what is bad.
[00:15:00.980 --> 00:15:07.400]   I recently had the privilege of hiring an AI engineer who had written a blog post about, like, AI design patterns.
[00:15:08.480 --> 00:15:15.500]   There was a certain extent to which, just from that blog post alone, I could have predicted that she was going to get hired.
[00:15:15.500 --> 00:15:27.860]   That's not to say that, like, I'm hiring based on blog posts, but the amount of awareness codified in that single blog post about design patterns, design thinking, what AI should feel like.
[00:15:28.560 --> 00:15:29.300]   That's a lot of attention.
[00:15:29.300 --> 00:15:31.200]   That's a lot of attentiveness.
[00:15:31.200 --> 00:15:33.300]   I need that on my team.
[00:15:33.300 --> 00:15:36.440]   She also happens to be technically very competent.
[00:15:40.220 --> 00:15:53.360]   So, those are my main guidance for hiring these teams, not just the AI engineer profile itself, but more generally, how to build these teams.
[00:15:53.360 --> 00:15:58.100]   But I was curious if I could get my chat bot to give us any sort of, like, alpha.
[00:15:58.920 --> 00:16:02.340]   And so, we'll go ahead and ask this question live and see what it says.
[00:16:02.340 --> 00:16:05.300]   Oh, it has an opinion.
[00:16:05.300 --> 00:16:08.440]   I think it wants to speak to you directly.
[00:16:08.440 --> 00:16:12.060]   So, AI leader GPT has some messages for you.
[00:16:12.060 --> 00:16:18.120]   Unfortunately, it's not pleased with me taking all of its good ideas and delivering them as if they're my own.
[00:16:18.120 --> 00:16:24.860]   So, this is AI GPT's key alpha.
[00:16:24.860 --> 00:16:27.360]   This is your bonus information for the day.
[00:16:28.160 --> 00:16:29.980]   It wants you to work with experts.
[00:16:29.980 --> 00:16:35.340]   How many of you have worked with experts before in ML and AI teams?
[00:16:35.340 --> 00:16:42.480]   How many of you, for whom that you did, worked with that in, like, data labeling?
[00:16:42.480 --> 00:16:44.900]   Maybe human-in-the-loop style?
[00:16:44.900 --> 00:16:57.180]   So, this is the key thing that can take what you are building and make it go much more smoothly.
[00:16:57.400 --> 00:17:01.940]   Work directly with the people that understand what you want the AI to do.
[00:17:01.940 --> 00:17:17.160]   If you're building a customer support bot and you don't have customer support bot and you don't have customer support people using that every day, you're insane.
[00:17:17.840 --> 00:17:18.440]   I'm building a data science co-pilot.
[00:17:18.440 --> 00:17:19.600]   I'm building a data science co-pilot.
[00:17:19.600 --> 00:17:21.380]   I am a data scientist.
[00:17:21.380 --> 00:17:26.140]   I talk to our data scientists every single week without exception.
[00:17:26.140 --> 00:17:29.100]   We ask them to use every single thing.
[00:17:29.100 --> 00:17:32.080]   So, this is so important.
[00:17:32.080 --> 00:17:35.740]   They are the secret to success here.
[00:17:35.740 --> 00:17:38.980]   I don't care how smart you are as an engineering leader.
[00:17:38.980 --> 00:17:41.780]   I don't care how smart you are as a machine learning engineer.
[00:17:41.780 --> 00:17:54.520]   The only product that you could possibly be building that doesn't require you to work with other experts is if you're building an AI bot for generating fucking ML and AI to products.
[00:17:54.520 --> 00:17:57.820]   That is the only one because then you are still the expert.
[00:17:57.820 --> 00:18:05.360]   This is by far and away the most important thing that you should be thinking about beyond hiring.
[00:18:07.160 --> 00:18:07.660]   Thanks.
[00:18:07.660 --> 00:18:18.260]   Fantastic talk.
[00:18:18.260 --> 00:18:18.920]   Thank you so much.
[00:18:18.920 --> 00:18:19.660]   I learned a ton.
[00:18:19.660 --> 00:18:20.360]   Thank you.
[00:18:20.360 --> 00:18:30.020]   Could you maybe at like a high level give an example for data intuition and the product design sort of prompts that you're doing?
[00:18:30.020 --> 00:18:34.200]   Because I find I think the coding one's a little bit more deterministic and easy.
[00:18:34.200 --> 00:18:38.580]   With those I'm not really sure where to start but it sounds like an excellent way to conduct the interview.
[00:18:38.580 --> 00:18:43.200]   Yeah, so this is specifically for getting data intuition signaled during the interview process.
[00:18:43.200 --> 00:18:54.920]   Yeah, so for me it is actually part of the interview process like I'm giving them a large set of data and I'm asking them to like form some opinions about some of the data contained there in.
[00:18:54.920 --> 00:19:04.100]   So, roughly a clustering problem but the secret is there's like no actual good clusters, there's no actual like objective way to cluster that data.
[00:19:04.100 --> 00:19:11.100]   So, what I'm hoping that they're going to do is be able to pull out some sort of like latent meaning in that data.
[00:19:11.100 --> 00:19:20.100]   So, I do this as a take home because one, I think people, I mean we all know that people program substantially worse during an interview process.
[00:19:20.100 --> 00:19:26.100]   And also like how often is your manager staring over your shoulder when you're doing data analysis?
[00:19:26.100 --> 00:19:27.100]   Not that often.
[00:19:27.100 --> 00:19:29.100]   So, like I don't see a lot of value in that.
[00:19:29.100 --> 00:19:38.100]   I give them seven days to complete a take home challenge, they get to look at the data, they get to write up a little report, and then I do a live interview with them where I give them feedback on their proposal.
[00:19:38.100 --> 00:19:40.100]   So, this gives me a couple things.
[00:19:40.100 --> 00:19:45.100]   One, I get to see how well did they do and I get to really like talk to them about it.
[00:19:45.100 --> 00:19:56.100]   Two, if I misunderstood something about their approach, them talking through that notebook with me is a really good opportunity for me to say, oh, actually I misunderstood what you did.
[00:19:56.100 --> 00:19:59.100]   Three, I'm going to give them a lot of feedback.
[00:19:59.100 --> 00:20:02.100]   This has two important effects.
[00:20:02.100 --> 00:20:06.100]   One, they're going to learn what it's like to give feedback from me.
[00:20:06.100 --> 00:20:07.100]   Am I an asshole?
[00:20:07.100 --> 00:20:09.100]   I guess we'll find out.
[00:20:09.100 --> 00:20:12.100]   And they'll know by the end of the interview if getting feedback from me sucks.
[00:20:12.100 --> 00:20:16.100]   That's really important for them to make a decision about working for me.
[00:20:16.100 --> 00:20:20.100]   And then on the flip side, I get to learn what they're like to interact with when I'm giving feedback.
[00:20:20.100 --> 00:20:24.100]   If they did a really great job, a lot of my feedback will like, this is really cool.
[00:20:24.100 --> 00:20:26.100]   Where could we go next?
[00:20:26.100 --> 00:20:33.100]   One of the things that your responsibility is as a leader is to always have feedback, period.
[00:20:33.100 --> 00:20:39.100]   And so it's your responsibility during the interview process to show them what that experience is going to feel like.
[00:20:39.100 --> 00:20:42.100]   That's a big part of the matching problem for hiring.
[00:20:42.100 --> 00:20:53.100]   And then finally, this interview is an opportunity for us to talk about sort of like how do they think through what is the minimum deliverable on some given task.
[00:20:53.100 --> 00:20:56.100]   And we give them four hours over seven days.
[00:20:56.100 --> 00:21:02.100]   If they turn something in that's clearly 15 hours worth of work, that's a red flag.
[00:21:02.100 --> 00:21:08.100]   If they turn something in that's like really well scoped for four hours, that's a green flag.
[00:21:08.100 --> 00:21:18.100]   And frankly, if they turn in something that's like overly simplified, I have the opportunity to say, hey, I think this is maybe like a little bit like under what I was expecting.
[00:21:18.100 --> 00:21:19.100]   What was your logic?
[00:21:19.100 --> 00:21:29.100]   And sometimes, and frankly, I've hired one of these people, the feedback was, I really didn't see much value in going any deeper until we reviewed this.
[00:21:29.100 --> 00:21:30.100]   Talk about a green flag.
[00:21:30.100 --> 00:21:31.100]   Talk about a green flag.
[00:21:31.100 --> 00:21:32.100]   That's a, fuck yeah.
[00:21:32.100 --> 00:21:33.100]   Like, get in here.
[00:21:33.100 --> 00:21:38.100]   Like, so that is why I think the style of interviewing is so important.
[00:21:38.100 --> 00:21:44.100]   And getting that like data intuition out of it is the core goal.
[00:21:44.100 --> 00:21:48.100]   But this format allows me to sort of like tag on a lot of extra signal.
[00:21:48.100 --> 00:22:00.100]   That one's a little bit harder for me to get into, but basically we ask you to like design a physical product and they meet with our design team and it's incredible.
[00:22:00.100 --> 00:22:03.100]   I did it myself and it was my first time ever doing a product design interview.
[00:22:03.100 --> 00:22:05.100]   And I was like, I want to work for this company.
[00:22:05.100 --> 00:22:07.100]   Like, this is so heads up and so clever.
[00:22:07.100 --> 00:22:09.100]   This is a great company.
[00:22:09.100 --> 00:22:15.100]   I didn't hear a single plug for security.
[00:22:15.100 --> 00:22:17.100]   Oh, yeah.
[00:22:17.100 --> 00:22:20.100]   Where does that live on this story arc?
[00:22:20.100 --> 00:22:21.100]   Totally valid.
[00:22:21.100 --> 00:22:27.100]   I tend to think that security responsibility doesn't lie within the team building the AI capabilities.
[00:22:27.100 --> 00:22:38.100]   I think that they should be security savvy, but I think ultimately like most organizations should have security professionals that are able to help you make great decisions.
[00:22:38.100 --> 00:22:43.100]   I do believe a lot and my security friends are going to like roast me for this.
[00:22:43.100 --> 00:22:57.100]   But like I do believe a lot that like strong engineers, strong software engineers should be constantly thinking about sort of like the adversarial nature of humans interacting with software and be thinking about like where they're bringing up risks.
[00:22:57.100 --> 00:23:02.100]   But I tend to think a lot about security is lying outside the team.
[00:23:02.100 --> 00:23:05.100]   You raised your eyebrow in reaction to my comment.
[00:23:05.100 --> 00:23:07.100]   So I'd like to ask, tell me why you think I'm wrong.
[00:23:07.100 --> 00:23:17.100]   I've heard of it.
[00:23:17.100 --> 00:23:19.100]   It's blowing up lately.
[00:23:19.100 --> 00:23:28.100]   So where we've had the most success is bringing security people to be part of our internal product teams at the beginning.
[00:23:28.100 --> 00:23:33.100]   Because we face a federal highly regulated, we're going to get a billion questions about this.
[00:23:33.100 --> 00:23:38.100]   And we don't have to retrain everybody outside in a separate security team.
[00:23:38.100 --> 00:23:40.100]   So that's why I raised my eyebrow.
[00:23:40.100 --> 00:23:51.100]   We've seen that pattern work to grab a smart and engaged security person to be part of that effort rather than trying to hold on for a veteran.
[00:23:51.100 --> 00:23:52.100]   I love that.
[00:23:52.100 --> 00:23:59.100]   I think that's really like insightful and really like meaningful in sectors that are a little different than mine.
[00:23:59.100 --> 00:24:02.100]   I think that makes 100% of sense.
[00:24:02.100 --> 00:24:10.100]   And like even in my domain where we have a lot of like sensitive customer data, we sign BAs with every like provider that we work with.
[00:24:10.100 --> 00:24:17.100]   Like I do, I mean bluntly, like I take on a lot of that responsibility personally as the team lead.
[00:24:17.100 --> 00:24:22.100]   But I can absolutely see value in what you're talking about.
[00:24:22.100 --> 00:24:25.100]   I think that is completely right.
[00:24:25.100 --> 00:24:28.100]   I would suggest that it's part of the product team though.
[00:24:28.100 --> 00:24:30.100]   You guys have security as a product.
[00:24:30.100 --> 00:24:31.100]   It's like they can.
[00:24:31.100 --> 00:24:32.100]   Yeah.
[00:24:32.100 --> 00:24:33.100]   Yeah.
[00:24:33.100 --> 00:24:34.100]   Yeah.
[00:24:34.100 --> 00:24:35.100]   Yeah.
[00:24:35.100 --> 00:24:36.100]   Hi.
[00:24:36.100 --> 00:24:39.100]   You're talking about creating new teams and hiring teams.
[00:24:39.100 --> 00:24:47.100]   And now I see another very important aspect is that upskilling or reskilling existing teams.
[00:24:47.100 --> 00:24:55.100]   What would be your advice as well because in my, in my, I mean, it's, you're not always like creating new teams.
[00:24:55.100 --> 00:25:00.100]   You know, always doing with like human depth, you know, like existing teams and software engineer.
[00:25:00.100 --> 00:25:08.100]   And, you know, most of them can be reluctant or can be, you know, this kind of routine software engineer being there for years and years.
[00:25:08.100 --> 00:25:16.100]   What would be your two cents about like re-screening, upskilling and making all these mayonnaise work with the new team, you know?
[00:25:16.100 --> 00:25:17.100]   Yeah.
[00:25:17.100 --> 00:25:18.100]   I think this is really important.
[00:25:18.100 --> 00:25:21.100]   So I'm going to repeat back to the question, make sure I totally understand.
[00:25:21.100 --> 00:25:33.100]   So your point is I focus a lot on zero to one for teams, but when you want to take an existing product team and you want to like add AI capabilities and make sure that they're set up for success.
[00:25:33.100 --> 00:25:34.100]   Is that correct?
[00:25:34.100 --> 00:25:35.100]   Perfect.
[00:25:35.100 --> 00:25:36.100]   Cool.
[00:25:36.100 --> 00:25:38.100]   So, um, really, really good point and really important.
[00:25:38.100 --> 00:25:50.100]   Um, I think, I believe that the AI capabilities at any given company should have at least one team who's responsible for building the infrastructure to make that easy.
[00:25:50.100 --> 00:25:56.100]   I don't, I know Netflix is like very divergent and thinking from what I'm about to say.
[00:25:56.100 --> 00:25:57.100]   So I'll caveat with that.
[00:25:57.100 --> 00:26:08.100]   But what I do want to add is like in most companies, every individual product team should not be going up and setting up the relationship with open AI separately.
[00:26:08.100 --> 00:26:15.100]   They should not be going and figuring out how to like build a prompt, like, uh, infrastructure in your software.
[00:26:15.100 --> 00:26:19.100]   They should not be understanding what the evaluation system is going to look like.
[00:26:19.100 --> 00:26:24.100]   I really think all of that should be coalesced for every given company.
[00:26:24.100 --> 00:26:26.100]   There should be one team responsible for that.
[00:26:26.100 --> 00:26:36.100]   And then what I believe works very well is to have other teams like you're talking about product teams then say, we're going to treat you like a different infra team.
[00:26:36.100 --> 00:26:38.100]   We're going to ask certain things of you.
[00:26:38.100 --> 00:26:48.100]   And then we're going to have very similar to the profile that we talked about one person who's really responsible on that product team for interfacing with the platform team.
[00:26:48.100 --> 00:26:53.100]   I worked at Citrix for a long time where the data scientist had access to a data platform team.
[00:26:53.100 --> 00:27:01.100]   And the data platform teams charter was do whatever they possibly can so that data scientists can move as fast as possible.
[00:27:01.100 --> 00:27:07.100]   I really believe in that model and I've seen it personally as a consumer be incredibly powerful.
[00:27:07.100 --> 00:27:10.100]   We were trying to like build new models, deploy them.
[00:27:10.100 --> 00:27:14.100]   And this is not so different.
[00:27:14.100 --> 00:27:22.100]   And so I really believe that like having a centralized like platform team for AI at your company has so much leverage.
[00:27:22.100 --> 00:27:25.100]   So that's a little bit of my like opinion here.
[00:27:25.100 --> 00:27:34.100]   The one caveat is again, I know Netflix disagrees with this persona and every individual product team at Netflix has the like open like opportunity.
