
[00:00:00.040 --> 00:00:09.340]  胡
[00:07:25.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:07:55.740]   It brings comfort in a place where there are no hotels.
[00:07:55.740 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.760 --> 00:08:25.760]   It brings comfort in a place where there are no hotels.
[00:08:25.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:08:55.780]   It brings comfort in a place where there are no hotels.
[00:08:55.780 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.800 --> 00:09:25.800]   It brings comfort in a place where there are no hotels.
[00:09:25.820 --> 00:09:55.820]   There are so many places available that you can stay,
[00:09:55.820 --> 00:09:55.820]   That you can travel for a very long time, years,
[00:09:55.820 --> 00:09:55.820]   Without ever buying an RV.
[00:09:55.820 --> 00:09:55.820]   It might be the case that in your family situation,
[00:09:55.820 --> 00:09:55.820]   That's your best move.
[00:09:55.820 --> 00:09:55.820]   I went through this conversation with a friend of mine,
[00:09:55.820 --> 00:09:55.820]   He and his wife are snowbirds.
[00:09:55.820 --> 00:09:55.820]   They don't enjoy being in the snow in the winter, so they like to fly south.
[00:09:55.820 --> 00:09:55.820]   They thought about buying an RV and traveling in an RV,
[00:09:55.820 --> 00:09:55.820]   But ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:09:55.820]   Ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:09:55.820]   But ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:09:55.820]   But ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:09:55.820]   But ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:09:55.820]   But ultimately their decision was simply to travel in an RV.
[00:09:55.820 --> 00:10:25.840]   I think that's the most important thing.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.840 --> 00:10:25.840]   But ultimately their decision was simply to travel in an RV.
[00:10:25.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:10:55.860]   But ultimately their decision was simply to travel in an RV.
[00:10:55.860 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.880 --> 00:11:25.880]   But ultimately their decision was simply to travel in an RV.
[00:11:25.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:11:55.900]   But ultimately their decision was simply to travel in an RV.
[00:11:55.900 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.920 --> 00:12:25.920]   But ultimately their decision was simply to travel in an RV.
[00:12:25.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:12:55.940]   But ultimately their decision was simply to travel in an RV.
[00:12:55.940 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.960 --> 00:13:25.960]   But ultimately their decision was simply to travel in an RV.
[00:13:25.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:13:55.980]   But ultimately their decision was simply to travel in an RV.
[00:13:55.980 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.000 --> 00:14:26.000]   But ultimately their decision was simply to travel in an RV.
[00:14:26.020 --> 00:14:56.020]   Because ultimately they decided to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   But ultimately their decision was simply to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   But ultimately their decision was simply to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   But ultimately their decision was simply to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   But ultimately their decision was simply to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   But ultimately their decision was simply to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:14:56.020]   It's not a good thing to travel in an RV.
[00:14:56.020 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.040 --> 00:15:26.040]   It's not a good thing to travel in an RV.
[00:15:26.060 --> 00:15:56.060]   I'm going to spend it on hotel stays.
[00:15:56.060 --> 00:15:56.060]   I'm going to spend it on hotel stays.
[00:15:56.060 --> 00:15:56.060]   I'm going to spend it on hotel stays.
[00:15:56.060 --> 00:15:56.060]   I'm going to spend it on hotel stays.
[00:15:56.060 --> 00:15:56.060]   Now, I'm understating the expenses of traveling around with an RV,
[00:15:56.060 --> 00:15:56.060]   Now, I'm understating the expenses of traveling around with an RV,
[00:15:56.060 --> 00:15:56.060]   and I'm specifically ignoring so far RV systems maintenance.
[00:15:56.060 --> 00:15:56.060]   All I'm saying is fuel.
[00:15:56.060 --> 00:15:56.060]   That ignores the fact that a diesel pickup truck will usually use somewhere between 12 and 15 quarts of oil
[00:15:56.060 --> 00:15:56.060]   that ignores the fact that a diesel pickup truck will usually use somewhere between 12 and 15 quarts of oil
[00:15:56.060 --> 00:15:56.060]   that ignores the fact that a diesel pickup truck will usually use somewhere between 12 and 15 quarts of oil
[00:15:56.100 --> 00:16:26.080]  ,
[00:16:26.080 --> 00:16:26.080]   I'm ignoring the cost of tires.
[00:16:26.080 --> 00:16:26.080]   I'm ignoring other repairs.
[00:16:26.080 --> 00:16:26.080]   When you're pulling heavy stuff, you're making your vehicle work.
[00:16:26.080 --> 00:16:26.080]   You're going to have more repairs on the systems of your vehicle than driving around in a Toyota Prius or an SUV or whatever it is that you choose to drive.
[00:16:26.080 --> 00:16:26.080]   So with my friend who travels as a snowbird,
[00:16:26.080 --> 00:16:26.080]   So with my friend who travels as a snowbird,
[00:16:26.080 --> 00:16:26.080]   So with my friend who travels as a snowbird,
[00:16:26.080 --> 00:16:26.080]   I'm ignoring the cost of tires.
[00:16:26.080 --> 00:16:26.080]   So with my friend who travels as a snowbird,
[00:16:26.080 --> 00:16:26.080]   as a snowbird,
[00:16:26.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   If you want to travel for an extended period of time,
[00:16:56.100 --> 00:16:56.100]   If you want to travel for an extended period of time,
[00:16:56.100 --> 00:16:56.100]   months, and if you want to have your things settled with you,
