
[00:00:00.000 --> 00:00:21.500]   I have before me the ominous task of making this presentation really
[00:02:35.740 --> 00:02:42.840]   Further along, we got onto the rag, um, and, you know, prompt engineering world pretty quickly.
[00:02:42.840 --> 00:02:55.840]   We looked at, um, automating various knowledge-driven tasks with the use of RAG, and very soon, we were answering questions, um, at the enterprise level on what is the ROI.
[00:02:55.840 --> 00:03:05.400]   Further along, in 2024, we started to play with tools and frameworks, and we heralded the rise of the agents.
[00:03:05.400 --> 00:03:17.400]   We are now here where we are looking at automating entire workflows with the use of AI slash agents, and not just one task at a time, right?
[00:03:17.400 --> 00:03:30.400]   We are looking at a future where we want to reimagine business processes because just automating a task seems redundant.
[00:03:30.400 --> 00:03:36.400]   Okay, so what do we mean by workflow automation?
[00:03:36.400 --> 00:03:44.400]   And what I've got here is a very typical workflow for almost any company that's putting software out there.
[00:03:44.400 --> 00:03:53.400]   Customer calls you, calls your service desk, report a billing issue, an invoice issue, or a product feature not working as expected.
[00:03:53.400 --> 00:03:56.400]   Your customer support, um, is going to take the call.
[00:03:56.400 --> 00:04:11.400]   They are probably using RAG to sort of answer that question already, or they may be looking at, you know, internal tickets or connecting with, um, you know, uh, their, uh, hierarchy to see if the answer can, if the answer can be given.
[00:04:11.400 --> 00:04:18.400]   And if no answers are found, they then, you know, report a ticket to the IT ops teams, right?
[00:04:18.400 --> 00:04:26.400]   The internal IT ops teams do the level two support, and they're looking at, you know, launching investigations to support this.
[00:04:26.400 --> 00:04:38.400]   Further along, if this doesn't work, you've got your engineering teams doing the L3, L4 support, and a fix is likely going to be identified with the use of various observability tools.
[00:04:38.400 --> 00:04:43.400]   Scripts are launched to, you know, create that new build.
[00:04:43.400 --> 00:04:46.400]   Tests, regression tests, integration tests are launched.
[00:04:46.400 --> 00:04:51.400]   And finally, you've got either the bug fixed or the billing question answered.
[00:04:51.400 --> 00:04:54.400]   Your tickets are updated and SLA is met.
[00:04:54.400 --> 00:05:01.400]   Needless to say, all of you can spot so many of these tasks that can be automated with the use of agents.
[00:05:01.400 --> 00:05:06.400]   But, you know, is automating each task the way we want to do this?
[00:05:06.400 --> 00:05:10.400]   Is there something that can be done differently in reimagining this workflow?
[00:05:10.400 --> 00:05:11.400]   We are there.
[00:05:11.400 --> 00:05:14.400]   We're trying to reimagine this workflow.
[00:05:14.400 --> 00:05:18.400]   Here's a slightly different take.
[00:05:18.400 --> 00:05:25.400]   Let's look at a workflow where content is getting created, right?
[00:05:25.400 --> 00:05:37.400]   It starts off with authors or content specialists perhaps identifying an alert or a trigger that's going to launch that content workflow.
[00:05:37.400 --> 00:05:44.400]   You then have maybe approvals to say, yes, go ahead, do your research, find out what we want to write about this.
[00:05:44.400 --> 00:05:49.400]   And then you've got, you know, content getting created with research being done.
[00:05:49.400 --> 00:05:57.400]   And subsequently your editors and your associate editors and reviewers reviewing that content.
[00:05:57.400 --> 00:06:03.400]   If it's, you know, very critical content, you will probably have several rounds of this reviews.
[00:06:03.400 --> 00:06:14.400]   And eventually the finalized content goes to the publisher, which then, you know, the publishing teams then launch their own formatting, styling related workflows.
[00:06:14.400 --> 00:06:18.400]   And eventually the content is published.
[00:06:18.400 --> 00:06:28.400]   Here too, you will realize that so many of these tasks can be done by AI, can be done by agents, and of course, humans being in the approval flow.
[00:06:28.400 --> 00:06:32.400]   But here again, something seems amiss.
[00:06:32.400 --> 00:06:35.400]   Should we stick to the same design of the workflow?
[00:06:35.400 --> 00:06:37.400]   Or should we be doing this a little differently?
[00:06:37.400 --> 00:06:42.400]   Okay.
[00:06:42.400 --> 00:06:44.400]   So that's where we are.
[00:06:44.400 --> 00:06:51.400]   We want to be able to reimagine these workflows because it's a new world, because we have new capabilities with these technologies.
[00:06:51.400 --> 00:06:57.400]   Um, and not just plug in capabilities into an existing business process.
[00:06:57.400 --> 00:06:58.400]   Right?
[00:06:58.400 --> 00:06:59.400]   But we're stuck.
[00:06:59.400 --> 00:07:02.400]   We're stuck.
[00:07:02.400 --> 00:07:09.400]   We are, um, missing certain parts of that reimagination.
[00:07:09.400 --> 00:07:12.400]   So what are we missing?
[00:07:20.400 --> 00:07:24.400]   The first thing that we're missing is connectors.
[00:07:24.400 --> 00:07:42.400]   Um, I spoke to a few of the, um, you know, the stalls, uh, yesterday, and a common theme was how around providing a good AI agentic solution, you always needed that layer which connected to your current IT systems, right?
[00:07:42.400 --> 00:07:49.400]   And connectors are a very, very much a missing part of reimagining these business processes.
[00:07:49.400 --> 00:07:57.400]   Um, I also want to say that, you know, I come from a world where, uh, you know, technology is not altogether new.
[00:07:57.400 --> 00:08:04.400]   We've been, you know, we've been doing AI, we've been doing NLP for several decades as Thomson Reuters.
[00:08:04.400 --> 00:08:13.400]   And even in the different companies that, um, uh, uh, that developers come from in the different meetups and communities that I attend.
[00:08:13.400 --> 00:08:20.400]   They are also supporting IT systems of some of the, you know, different technology companies of our world.
[00:08:20.400 --> 00:08:30.400]   Believe it or not, 71% of Fortune 500 companies still use mainframe.
[00:08:30.400 --> 00:08:38.400]   Uh, 68% of the world's IT production workloads still run on mainframe, right?
[00:08:38.400 --> 00:08:45.400]   And some of your major credit card, uh, transactions still happen on the mainframe.
[00:08:45.400 --> 00:08:49.400]   Which means we are that distant, right?
[00:08:49.400 --> 00:08:55.400]   Like that technology spectrum, if you were to measure from the mainframe to an agentic workflow,
[00:08:55.400 --> 00:08:57.400]   how do we connect these worlds, right?
[00:08:57.400 --> 00:09:02.400]   And so that's one of, one of our major stumbling blocks, I believe.
[00:09:02.400 --> 00:09:13.400]   where, you know, how do you connect the worlds of the technology, um, stable technology stacks that exists with, um, with, with, with the power of AI agentic workflows.
[00:09:13.400 --> 00:09:22.400]   The second thing is something that, um, I struggle with as I take new ideas to different stakeholders.
[00:09:22.400 --> 00:09:29.400]   And I see, you know, several startups whom I meet on a regular basis, them struggling as well.
[00:09:29.400 --> 00:09:37.400]   So it comes back to the question of ROI, it comes to the question of, you know, um, reliability, right?
[00:09:37.400 --> 00:09:42.400]   How will I be sure that my agent will be able to perform?
[00:09:42.400 --> 00:09:51.400]   And often with stakeholders and, you know, from, from a business impact standpoint, it's a zero or one call, right?
[00:09:51.400 --> 00:09:56.400]   Am I going to continue to need to have to pay manual hours?
[00:09:56.400 --> 00:10:03.400]   Or can I consider that not needed anymore if I'm going to pay for the agent, AI agent, right?
[00:10:03.400 --> 00:10:08.400]   And so reliability becomes a big factor and a stumbling block for us.
[00:10:08.400 --> 00:10:19.400]   The third thing that we're finding missing as practitioners is to have visionaries who are able to reimagine this world with us.
[00:10:19.400 --> 00:10:29.400]   It's, um, you know, as a practitioner, as somebody who's deeply entrenched in AI, you can only go that far in reimagining this world.
[00:10:29.400 --> 00:10:31.400]   You need the subject matter experts.
[00:10:31.400 --> 00:10:40.400]   You need the specialists from that specific domain to sort of do this together with them to be able to, you know, reimagine your business processes.
[00:10:40.400 --> 00:10:52.400]   The fourth thing that, you know, we need and I'm sure many of you will agree based on conversations that I've had is we need a certain level of standardization, right?
[00:10:52.400 --> 00:10:56.400]   We need to be able to say this is how agents will be built.
[00:10:56.400 --> 00:10:58.400]   This is how they are packaged.
[00:10:58.400 --> 00:11:00.400]   This is how they are deployed.
[00:11:00.400 --> 00:11:11.400]   It's too nascent yet, um, you know, in a, you know, established tech ecosystem to say, um, this, we're going to replace these, these bits with agents.
[00:11:11.400 --> 00:11:14.400]   Data and systems.
[00:11:14.400 --> 00:11:15.400]   Data and systems.
[00:11:15.400 --> 00:11:24.400]   For an agent to truly, you know, um, get its full power, we need to give it access to context.
[00:11:24.400 --> 00:11:30.400]   The context is today distributed across different IT systems, business systems.
[00:11:30.400 --> 00:11:34.400]   It is probably, um, partially located in logs.
[00:11:34.400 --> 00:11:46.400]   It is probably there in, um, chat messages or, you know, IT tickets and, you know, different, um, you know, different siloed systems, right?
[00:11:46.400 --> 00:11:50.400]   Sometimes which are spread across different parts of the organization.
[00:11:50.400 --> 00:12:00.400]   And so bringing them together and even identifying which of these systems will have what and how do you correlate a single transaction across these systems?
[00:12:00.400 --> 00:12:05.400]   It becomes often a stumbling part of, you know, getting the AI in.
[00:12:05.400 --> 00:12:13.400]   The sixth thing is one that, you know, I've, I personally feel very strongly about is creating a collaborative UX.
[00:12:13.400 --> 00:12:16.400]   Agents are going to be assistants.
[00:12:16.400 --> 00:12:25.400]   So what is the role of the human defining that and creating systems in which humans can support the work of the agents and vice versa?
[00:12:25.400 --> 00:12:31.400]   Is, I think, a very important part of, um, creating, um, creating those workflows.
[00:12:31.400 --> 00:12:40.400]   And so what makes sense from a collaborative UX is something that, you know, I'm waiting to hear from, from any of you fresh ideas on, right?
[00:12:40.400 --> 00:12:42.400]   AI governance.
[00:12:42.400 --> 00:12:54.400]   We, we saw, um, in one of the talks about how different parts of, different aspects of security testing go down into parts of your agentic workflows.
[00:12:54.400 --> 00:13:11.400]   And so, you know, aspects of your AI governance, which we established all this while around ethics and responsibility, how do you translate that into different levels of your agent architecture, right?
[00:13:11.400 --> 00:13:13.400]   So, the next thing is control.
[00:13:13.400 --> 00:13:16.400]   We still want to give the human control.
[00:13:16.400 --> 00:13:25.400]   We want to have certain steps which are deterministic and certain steps which the agent can control on its own.
[00:13:25.400 --> 00:13:36.400]   Or, you know, how, how do you balance that, um, need for control, uh, between, between the agent and the human and give the human the right, um, you know, right time to act.
[00:13:36.400 --> 00:13:39.400]   And finally, what is the life cycle for the agent?
[00:13:39.400 --> 00:13:45.400]   All of you've, you know, spoken about that exponential growth of, um, evolution in our space.
[00:13:45.400 --> 00:13:53.400]   How do we bring the capability, the latest capability into what we've already got deployed and that one that's ever changing?
[00:13:53.400 --> 00:13:58.400]   So, that, that's what I had to share.
[00:13:58.400 --> 00:14:00.400]   Um, we are just at the start.
[00:14:00.400 --> 00:14:02.400]   A lot of good work from all of you.
[00:14:02.400 --> 00:14:08.400]   I'm waiting to bridge from the world that I'm seeing around me to the world that I come from.
[00:14:08.400 --> 00:14:12.400]   And so, happy to have your questions and ideas, suggestions, feedback.
[00:14:12.400 --> 00:14:13.400]   Thank you.
[00:14:13.400 --> 00:14:14.400]   Thank you.
[00:14:14.400 --> 00:14:15.400]   Thank you so much.
[00:14:15.400 --> 00:14:15.400]   Thank you.
[00:14:15.400 --> 00:14:16.400]   Thank you.
[00:14:16.400 --> 00:14:16.400]   Thank you.
[00:14:16.400 --> 00:14:17.400]   Thank you.
[00:14:17.400 --> 00:14:17.400]   Thank you.
[00:14:17.400 --> 00:14:18.400]   Thank you.
[00:14:18.400 --> 00:14:18.400]   Thank you.
[00:14:18.400 --> 00:14:19.400]   Thank you.
[00:14:19.400 --> 00:14:20.400]   Thank you.
[00:14:20.400 --> 00:14:21.400]   Thank you.
[00:14:21.400 --> 00:14:22.400]   Thank you.
[00:14:22.400 --> 00:14:23.400]   Thank you.
[00:14:23.400 --> 00:14:24.400]   Thank you.
[00:14:24.400 --> 00:14:25.400]   Thank you.
[00:14:25.400 --> 00:14:26.400]   Thank you.
[00:14:26.400 --> 00:14:27.400]   Thank you.
[00:14:27.400 --> 00:14:28.400]   Thank you.
[00:14:28.400 --> 00:14:29.400]   Thank you.
[00:14:29.400 --> 00:14:30.400]   Thank you.
[00:14:30.400 --> 00:14:31.400]   Thank you.
[00:14:31.400 --> 00:14:31.900]   you
[00:14:31.900 --> 00:14:33.960]   you
[00:14:33.960 --> 00:14:36.020]   you

