
[00:00:00.000 --> 00:00:03.000]   ♪ Bless him in the mornings ♪
[00:08:51.000 --> 00:08:56.000]   ♪
[00:08:56.000 --> 00:09:01.000]   ♪
[00:09:01.000 --> 00:09:06.000]   ♪
[00:09:06.000 --> 00:09:11.000]   ♪
[00:09:11.000 --> 00:09:16.000]   ♪
[00:09:16.000 --> 00:09:21.000]   ♪
[00:09:21.000 --> 00:09:26.000]   ♪
[00:09:26.000 --> 00:09:31.000]   ♪
[00:09:31.000 --> 00:09:36.000]   ♪
[00:09:36.000 --> 00:09:41.000]   ♪
[00:09:41.000 --> 00:09:46.000]   ♪
[00:09:46.000 --> 00:09:51.000]   ♪
[00:09:51.000 --> 00:09:56.000]   ♪
[00:09:56.000 --> 00:10:01.000]   ♪
[00:10:01.000 --> 00:10:06.000]   ♪
[00:10:06.000 --> 00:10:11.000]   ♪
[00:10:11.000 --> 00:10:16.000]   ♪
[00:10:16.000 --> 00:10:21.000]   ♪
[00:10:21.000 --> 00:10:26.000]   ♪
[00:10:26.000 --> 00:10:31.000]   ♪
[00:10:31.000 --> 00:10:36.000]   ♪
[00:10:36.000 --> 00:10:41.000]   ♪
[00:10:41.000 --> 00:10:46.000]   ♪
[00:10:46.000 --> 00:10:51.000]   ♪
[00:10:51.000 --> 00:10:56.000]   ♪
[00:10:56.000 --> 00:11:01.000]   ♪
[00:11:01.000 --> 00:11:06.000]   ♪
[00:11:06.000 --> 00:11:11.000]   ♪
[00:11:11.000 --> 00:11:16.000]   ♪
[00:11:16.000 --> 00:11:21.000]   ♪
[00:11:21.000 --> 00:11:26.000]   ♪
[00:11:26.000 --> 00:11:31.000]   ♪
[00:11:31.000 --> 00:11:36.000]   ♪
[00:11:36.000 --> 00:11:41.000]   ♪
[00:11:41.000 --> 00:11:46.000]   ♪
[00:11:46.000 --> 00:11:51.000]   ♪
[00:11:51.000 --> 00:11:56.000]   ♪
[00:11:56.000 --> 00:12:01.000]   ♪
[00:12:01.000 --> 00:12:06.000]   ♪
[00:12:06.000 --> 00:12:11.000]   ♪
[00:12:11.000 --> 00:12:16.000]   ♪
[00:12:16.000 --> 00:12:21.000]   ♪
[00:12:21.000 --> 00:12:26.000]   ♪
[00:12:26.000 --> 00:12:31.000]   ♪
[00:12:31.000 --> 00:12:36.000]   ♪
[00:12:36.000 --> 00:12:41.000]   ♪
[00:12:41.000 --> 00:12:46.000]   ♪
[00:12:46.000 --> 00:12:51.000]   ♪
[00:12:51.000 --> 00:12:56.000]   ♪
[00:12:56.000 --> 00:13:01.000]   ♪
[00:13:01.000 --> 00:13:06.000]   ♪
[00:13:06.000 --> 00:13:11.000]   ♪
[00:13:11.000 --> 00:13:16.000]   ♪
[00:13:16.000 --> 00:13:21.000]   ♪
[00:13:21.000 --> 00:13:26.000]   ♪
[00:13:26.000 --> 00:13:31.000]   ♪
[00:13:31.000 --> 00:13:36.000]   ♪
[00:13:36.000 --> 00:13:41.000]   ♪
[00:13:41.000 --> 00:13:46.000]   ♪
[00:13:46.000 --> 00:13:51.000]   ♪
[00:13:51.000 --> 00:13:56.000]   ♪
[00:13:56.000 --> 00:14:01.000]   ♪
[00:14:01.000 --> 00:14:06.000]   ♪
[00:14:06.000 --> 00:14:11.000]   ♪
[00:14:11.000 --> 00:14:16.000]   ♪
[00:14:16.000 --> 00:14:21.000]   ♪
[00:14:21.000 --> 00:14:26.000]   ♪
[00:14:26.000 --> 00:14:31.000]   ♪
[00:14:31.000 --> 00:14:36.000]   ♪
[00:14:36.000 --> 00:14:41.000]   ♪
[00:14:41.000 --> 00:14:46.000]   ♪
[00:14:46.000 --> 00:14:51.000]   ♪
[00:14:51.000 --> 00:14:56.000]   ♪
[00:14:56.000 --> 00:15:01.000]   ♪
[00:15:01.000 --> 00:15:06.000]   ♪
[00:15:06.000 --> 00:15:11.000]   ♪
[00:15:11.000 --> 00:15:16.000]   ♪
[00:15:16.000 --> 00:15:21.000]   ♪
[00:15:21.000 --> 00:15:26.000]   ♪
[00:15:26.000 --> 00:15:31.000]   ♪
[00:15:31.000 --> 00:15:36.000]   ♪
[00:15:36.000 --> 00:15:41.000]   ♪
[00:15:41.000 --> 00:15:46.000]   ♪
[00:15:46.000 --> 00:15:51.000]   ♪
[00:15:51.000 --> 00:15:56.000]   ♪
[00:15:56.000 --> 00:16:01.000]   ♪
[00:16:01.000 --> 00:16:06.000]   ♪
[00:16:06.000 --> 00:16:11.000]   ♪
[00:16:11.000 --> 00:16:16.000]   ♪
[00:16:16.000 --> 00:16:21.000]   ♪
[00:16:21.000 --> 00:16:26.000]   ♪
[00:16:26.000 --> 00:16:31.000]   ♪
[00:16:31.000 --> 00:16:36.000]   ♪
[00:16:36.000 --> 00:16:41.000]   ♪
[00:16:41.000 --> 00:16:46.000]   ♪
[00:16:46.000 --> 00:16:51.000]   ♪
[00:16:51.000 --> 00:16:56.000]   ♪
[00:16:56.000 --> 00:17:01.000]   ♪
[00:17:01.000 --> 00:17:06.000]   ♪
[00:17:06.000 --> 00:17:11.000]   ♪
[00:17:11.000 --> 00:17:16.000]   ♪
[00:17:16.000 --> 00:17:21.000]   ♪
[00:17:21.000 --> 00:17:26.000]   ♪
[00:17:26.000 --> 00:17:31.000]   ♪
[00:17:31.000 --> 00:17:36.000]   ♪
[00:17:36.000 --> 00:17:41.000]   ♪
[00:17:41.000 --> 00:17:46.000]   ♪
[00:17:46.000 --> 00:17:51.000]   ♪
[00:17:51.000 --> 00:17:56.000]   ♪
[00:17:56.000 --> 00:18:01.000]   ♪
[00:18:01.000 --> 00:18:06.000]   ♪
[00:18:06.000 --> 00:18:11.000]   ♪
[00:18:11.000 --> 00:18:16.000]   ♪
[00:18:16.000 --> 00:18:21.000]   ♪
[00:18:21.000 --> 00:18:26.000]   ♪
[00:18:26.000 --> 00:18:31.000]   ♪
[00:18:31.000 --> 00:18:36.000]   ♪
[00:18:36.000 --> 00:18:41.000]   ♪
[00:18:41.000 --> 00:18:46.000]   ♪
[00:18:46.000 --> 00:18:51.000]   ♪
[00:18:51.000 --> 00:18:56.000]   ♪
[00:18:56.000 --> 00:19:01.000]   ♪
[00:19:01.000 --> 00:19:06.000]   ♪
[00:19:06.000 --> 00:19:11.000]   ♪
[00:19:11.000 --> 00:19:16.000]   ♪
[00:19:16.000 --> 00:19:21.000]   ♪
[00:19:21.000 --> 00:19:26.000]   ♪
[00:19:26.000 --> 00:19:31.000]   ♪
[00:19:31.000 --> 00:19:36.000]   ♪
[00:19:36.000 --> 00:19:41.000]   ♪
[00:19:41.000 --> 00:19:46.000]   ♪
[00:19:46.000 --> 00:19:51.000]   ♪
[00:19:51.000 --> 00:19:56.000]   ♪
[00:19:56.000 --> 00:20:01.000]   ♪
[00:20:01.000 --> 00:20:06.000]   ♪
[00:20:06.000 --> 00:20:11.000]   ♪
[00:20:11.000 --> 00:20:16.000]   ♪
[00:20:16.000 --> 00:20:21.000]   ♪
[00:20:21.000 --> 00:20:26.000]   ♪
[00:20:26.000 --> 00:20:31.000]   ♪
[00:20:31.000 --> 00:20:36.000]   ♪
[00:20:36.000 --> 00:20:41.000]   ♪
[00:20:41.000 --> 00:20:46.000]   ♪
[00:20:46.000 --> 00:20:51.000]   ♪
[00:20:51.000 --> 00:20:56.000]   ♪
[00:20:56.000 --> 00:21:01.000]   ♪
[00:21:01.000 --> 00:21:06.000]   ♪
[00:21:06.000 --> 00:21:11.000]   ♪
[00:21:11.000 --> 00:21:16.000]   ♪
[00:21:16.000 --> 00:21:21.000]   ♪
[00:21:21.000 --> 00:21:26.000]   ♪
[00:21:26.000 --> 00:21:31.000]   ♪
[00:21:31.000 --> 00:21:36.000]   ♪
[00:21:36.000 --> 00:21:41.000]   ♪
[00:21:41.000 --> 00:21:46.000]   ♪
[00:21:46.000 --> 00:21:51.000]   ♪
[00:21:51.000 --> 00:21:56.000]   ♪
[00:21:56.000 --> 00:22:01.000]   ♪
[00:22:01.000 --> 00:22:06.000]   ♪
[00:22:06.000 --> 00:22:11.000]   ♪
[00:22:11.000 --> 00:22:16.000]   ♪
[00:22:16.000 --> 00:22:21.000]   ♪
[00:22:21.000 --> 00:22:26.000]   ♪
[00:22:26.000 --> 00:22:31.000]   ♪
[00:22:31.000 --> 00:22:36.000]   ♪
[00:22:36.000 --> 00:22:41.000]   ♪
[00:22:41.000 --> 00:22:46.000]   ♪
[00:22:46.000 --> 00:22:51.000]   ♪
[00:22:51.000 --> 00:22:56.000]   ♪
[00:22:56.000 --> 00:23:01.000]   ♪
[00:23:01.000 --> 00:23:06.000]   ♪
[00:23:06.000 --> 00:23:11.000]   ♪
[00:23:11.000 --> 00:23:16.000]   ♪
[00:23:16.000 --> 00:23:21.000]   ♪
[00:23:21.000 --> 00:23:26.000]   ♪
[00:23:26.000 --> 00:23:31.000]   ♪
[00:23:31.000 --> 00:23:36.000]   ♪
[00:23:36.000 --> 00:23:41.000]   ♪
[00:23:41.000 --> 00:23:46.000]   ♪
[00:23:46.000 --> 00:23:51.000]   ♪
[00:23:51.000 --> 00:23:56.000]   ♪
[00:23:56.000 --> 00:24:01.000]   ♪
[00:24:01.000 --> 00:24:06.000]   ♪
[00:24:06.000 --> 00:24:11.000]   ♪
[00:24:11.000 --> 00:24:16.000]   ♪
[00:24:16.000 --> 00:24:21.000]   ♪
[00:24:21.000 --> 00:24:26.000]   ♪
[00:24:26.000 --> 00:24:31.000]   ♪
[00:24:31.000 --> 00:24:36.000]   ♪
[00:24:36.000 --> 00:24:41.000]   ♪
[00:24:41.000 --> 00:24:46.000]   ♪
[00:24:46.000 --> 00:24:51.000]   ♪
[00:24:51.000 --> 00:24:56.000]   ♪
[00:24:56.000 --> 00:25:01.000]   ♪
[00:25:01.000 --> 00:25:06.000]   ♪
[00:25:06.000 --> 00:25:11.000]   ♪
[00:25:11.000 --> 00:25:16.000]   ♪
[00:25:16.000 --> 00:25:21.000]   ♪
[00:25:21.000 --> 00:25:26.000]   ♪
[00:25:26.000 --> 00:25:31.000]   ♪
[00:25:31.000 --> 00:25:36.000]   ♪
[00:25:36.000 --> 00:25:41.000]   ♪
[00:25:41.000 --> 00:25:46.000]   ♪
[00:25:46.000 --> 00:25:51.000]   ♪
[00:25:51.000 --> 00:25:56.000]   ♪
[00:25:56.000 --> 00:26:01.000]   ♪
[00:26:01.000 --> 00:26:06.000]   ♪
[00:26:06.000 --> 00:26:11.000]   ♪
[00:26:11.000 --> 00:26:16.000]   ♪
[00:26:16.000 --> 00:26:21.000]   ♪
[00:26:21.000 --> 00:26:26.000]   ♪
[00:26:26.000 --> 00:26:31.000]   ♪
[00:26:31.000 --> 00:26:36.000]   ♪
[00:26:36.000 --> 00:26:41.000]   ♪
[00:26:41.000 --> 00:26:46.000]   ♪
[00:26:46.000 --> 00:26:51.000]   ♪
[00:26:51.000 --> 00:26:56.000]   ♪
[00:26:56.000 --> 00:27:01.000]   ♪
[00:27:01.000 --> 00:27:06.000]   ♪
[00:27:06.000 --> 00:27:11.000]   ♪
[00:27:11.000 --> 00:27:16.000]   ♪
[00:27:16.000 --> 00:27:21.000]   ♪
[00:27:21.000 --> 00:27:26.000]   ♪
[00:27:26.000 --> 00:27:31.000]   ♪
[00:27:31.000 --> 00:27:36.000]   ♪
[00:27:36.000 --> 00:27:41.000]   ♪
[00:27:41.000 --> 00:27:46.000]   ♪
[00:27:46.000 --> 00:27:51.000]   ♪
[00:27:51.000 --> 00:27:56.000]   ♪
[00:27:56.000 --> 00:28:01.000]   ♪
[00:28:01.000 --> 00:28:06.000]   ♪
[00:28:06.000 --> 00:28:11.000]   ♪
[00:28:11.000 --> 00:28:16.000]   ♪
[00:28:16.000 --> 00:28:21.000]   ♪
[00:28:21.000 --> 00:28:26.000]   ♪
[00:28:26.000 --> 00:28:31.000]   ♪
[00:28:31.000 --> 00:28:36.000]   ♪
[00:28:36.000 --> 00:28:41.000]   ♪
[00:28:41.000 --> 00:28:46.000]   ♪
[00:28:46.000 --> 00:28:51.000]   ♪
[00:28:51.000 --> 00:28:56.000]   ♪
[00:28:56.000 --> 00:29:01.000]   ♪
[00:29:01.000 --> 00:29:06.000]   ♪
[00:29:06.000 --> 00:29:11.000]   ♪
[00:29:11.000 --> 00:29:16.000]   ♪
[00:29:16.000 --> 00:29:21.000]   ♪
[00:29:21.000 --> 00:29:26.000]   ♪
[00:29:26.000 --> 00:29:31.000]   ♪
[00:29:31.000 --> 00:29:36.000]   ♪
[00:29:36.000 --> 00:29:41.000]   ♪
[00:29:41.000 --> 00:29:46.000]   ♪
[00:29:46.000 --> 00:29:51.000]   ♪
[00:29:51.000 --> 00:29:56.000]   ♪
[00:29:56.000 --> 00:30:01.000]   ♪
[00:30:01.000 --> 00:30:06.000]   ♪
[00:30:06.000 --> 00:30:11.000]   ♪
[00:30:11.000 --> 00:30:16.000]   ♪
[00:30:16.000 --> 00:30:21.000]   ♪
[00:30:21.000 --> 00:30:26.000]   ♪
[00:30:26.000 --> 00:30:31.000]   ♪
[00:30:31.000 --> 00:30:36.000]   ♪
[00:30:36.000 --> 00:30:41.000]   ♪
[00:30:41.000 --> 00:30:46.000]   ♪
[00:30:46.000 --> 00:30:51.000]   ♪
[00:30:51.000 --> 00:30:56.000]   ♪
[00:30:56.000 --> 00:31:01.000]   ♪
[00:31:01.000 --> 00:31:06.000]   ♪
[00:31:06.000 --> 00:31:11.000]   ♪
[00:31:11.000 --> 00:31:16.000]   ♪
[00:31:16.000 --> 00:31:21.000]   ♪
[00:31:21.000 --> 00:31:26.000]   ♪
[00:31:26.000 --> 00:31:31.000]   ♪
[00:31:31.000 --> 00:31:36.000]   ♪
[00:31:36.000 --> 00:31:41.000]   ♪
[00:31:41.000 --> 00:31:46.000]   ♪
[00:31:46.000 --> 00:31:51.000]   ♪
[00:31:51.000 --> 00:31:56.000]   ♪
[00:31:56.000 --> 00:32:01.000]   ♪
[00:32:01.000 --> 00:32:06.000]   ♪
[00:32:06.000 --> 00:32:11.000]   ♪
[00:32:11.000 --> 00:32:16.000]   ♪
[00:32:16.000 --> 00:32:21.000]   ♪
[00:32:21.000 --> 00:32:26.000]   ♪
[00:32:26.000 --> 00:32:31.000]   ♪
[00:32:31.000 --> 00:32:36.000]   ♪
[00:32:36.000 --> 00:32:41.000]   ♪
[00:32:41.000 --> 00:32:46.000]   ♪
[00:32:46.000 --> 00:32:51.000]   ♪
[00:32:51.000 --> 00:32:56.000]   ♪
[00:32:56.000 --> 00:33:01.000]   ♪
[00:33:01.000 --> 00:33:06.000]   ♪
[00:33:06.000 --> 00:33:11.000]   ♪
[00:33:11.000 --> 00:33:16.000]   ♪
[00:33:16.000 --> 00:33:21.000]   ♪
[00:33:21.000 --> 00:33:26.000]   ♪
[00:33:26.000 --> 00:33:31.000]   ♪
[00:33:31.000 --> 00:33:36.000]   ♪
[00:33:36.000 --> 00:33:41.000]   ♪
[00:33:41.000 --> 00:33:46.000]   ♪
[00:33:46.000 --> 00:33:51.000]   ♪
[00:33:51.000 --> 00:33:56.000]   ♪
[00:33:56.000 --> 00:34:01.000]   ♪
[00:34:01.000 --> 00:34:06.000]   ♪
[00:34:06.000 --> 00:34:11.000]   ♪
[00:34:11.000 --> 00:34:16.000]   ♪
[00:34:16.000 --> 00:34:21.000]   ♪
[00:34:21.000 --> 00:34:26.000]   ♪
[00:34:26.000 --> 00:34:31.000]   ♪
[00:34:31.000 --> 00:34:36.000]   ♪
[00:34:36.000 --> 00:34:41.000]   ♪
[00:34:41.000 --> 00:34:46.000]   ♪
[00:34:46.000 --> 00:34:51.000]   ♪
[00:34:51.000 --> 00:34:56.000]   ♪
[00:34:56.000 --> 00:35:01.000]   ♪
[00:35:01.000 --> 00:35:06.000]   ♪
[00:35:06.000 --> 00:35:11.000]   ♪
[00:35:11.000 --> 00:35:16.000]   ♪
[00:35:16.000 --> 00:35:21.000]   ♪
[00:35:21.000 --> 00:35:26.000]   ♪
[00:35:26.000 --> 00:35:31.000]   ♪
[00:35:31.000 --> 00:35:36.000]   ♪
[00:35:36.000 --> 00:35:41.000]   ♪
[00:35:41.000 --> 00:35:46.000]   ♪
[00:35:46.000 --> 00:35:51.000]   ♪
[00:35:51.000 --> 00:35:56.000]   ♪
[00:35:56.000 --> 00:36:01.000]   ♪
[00:36:01.000 --> 00:36:06.000]   ♪
[00:36:06.000 --> 00:36:11.000]   ♪
[00:36:11.000 --> 00:36:16.000]   ♪
[00:36:16.000 --> 00:36:21.000]   ♪
[00:36:21.000 --> 00:36:26.000]   ♪
[00:36:26.000 --> 00:36:31.000]   ♪
[00:36:31.000 --> 00:36:36.000]   ♪
[00:36:36.000 --> 00:36:41.000]   ♪
[00:36:41.000 --> 00:36:46.000]   ♪
[00:36:46.000 --> 00:36:51.000]   ♪
[00:36:51.000 --> 00:36:56.000]   ♪
[00:36:56.000 --> 00:37:01.000]   ♪
[00:37:01.000 --> 00:37:06.000]   ♪
[00:37:06.000 --> 00:37:11.000]   ♪
[00:37:11.000 --> 00:37:16.000]   ♪
[00:37:16.000 --> 00:37:21.000]   ♪
[00:37:21.000 --> 00:37:26.000]   ♪
[00:37:26.000 --> 00:37:31.000]   ♪
[00:37:31.000 --> 00:37:36.000]   ♪
[00:37:36.000 --> 00:37:41.000]   ♪
[00:37:41.000 --> 00:37:46.000]   ♪
[00:37:46.000 --> 00:37:51.000]   ♪
[00:37:51.000 --> 00:37:56.000]   ♪
[00:37:56.000 --> 00:38:01.000]   ♪
[00:38:01.000 --> 00:38:06.000]   ♪
[00:38:06.000 --> 00:38:11.000]   ♪
[00:38:11.000 --> 00:38:16.000]   ♪
[00:38:16.000 --> 00:38:21.000]   ♪
[00:38:21.000 --> 00:38:26.000]   ♪
[00:38:26.000 --> 00:38:31.000]   ♪
[00:38:31.000 --> 00:38:36.000]   ♪
[00:38:36.000 --> 00:38:41.000]   ♪
[00:38:41.000 --> 00:38:46.000]   ♪
[00:38:46.000 --> 00:38:51.000]   ♪
[00:38:51.000 --> 00:38:56.000]   ♪
[00:38:56.000 --> 00:39:01.000]   ♪
[00:39:01.000 --> 00:39:06.000]   ♪
[00:39:06.000 --> 00:39:11.000]   ♪
[00:39:11.000 --> 00:39:16.000]   ♪
[00:39:16.000 --> 00:39:21.000]   ♪
[00:39:21.000 --> 00:39:26.000]   ♪
[00:39:26.000 --> 00:39:31.000]   ♪
[00:39:31.000 --> 00:39:36.000]   ♪
[00:39:36.000 --> 00:39:41.000]   ♪
[00:39:41.000 --> 00:39:46.000]   ♪
[00:39:46.000 --> 00:39:51.000]   ♪
[00:39:51.000 --> 00:39:56.000]   ♪
[00:39:56.000 --> 00:40:01.000]   ♪
[00:40:01.000 --> 00:40:06.000]   ♪
[00:40:06.000 --> 00:40:11.000]   ♪
[00:40:11.000 --> 00:40:16.000]   ♪
[00:40:16.000 --> 00:40:21.000]   ♪
[00:40:21.000 --> 00:40:26.000]   ♪
[00:40:26.000 --> 00:40:31.000]   ♪
[00:40:31.000 --> 00:40:36.000]   ♪
[00:40:36.000 --> 00:40:41.000]   ♪
[00:40:41.000 --> 00:40:46.000]   ♪
[00:40:46.000 --> 00:40:51.000]   ♪
[00:40:51.000 --> 00:40:56.000]   ♪
[00:40:56.000 --> 00:41:01.000]   ♪
[00:41:01.000 --> 00:41:06.000]   ♪
[00:41:06.000 --> 00:41:11.000]   ♪
[00:41:11.000 --> 00:41:16.000]   ♪
[00:41:16.000 --> 00:41:21.000]   ♪
[00:41:21.000 --> 00:41:26.000]   ♪
[00:41:26.000 --> 00:41:31.000]   ♪
[00:41:31.000 --> 00:41:36.000]   ♪
[00:41:36.000 --> 00:41:41.000]   ♪
[00:41:41.000 --> 00:41:46.000]   ♪
[00:41:46.000 --> 00:41:51.000]   ♪
[00:41:51.000 --> 00:41:56.000]   ♪
[00:41:56.000 --> 00:42:01.000]   ♪
[00:42:01.000 --> 00:42:06.000]   ♪
[00:42:06.000 --> 00:42:11.000]   ♪
[00:42:11.000 --> 00:42:16.000]   ♪
[00:42:16.000 --> 00:42:21.000]   ♪
[00:42:21.000 --> 00:42:26.000]   ♪
[00:42:26.000 --> 00:42:31.000]   ♪
[00:42:31.000 --> 00:42:36.000]   ♪
[00:42:36.000 --> 00:42:41.000]   ♪
[00:42:41.000 --> 00:42:46.000]   ♪
[00:42:46.000 --> 00:42:51.000]   ♪
[00:42:51.000 --> 00:42:56.000]   ♪
[00:42:56.000 --> 00:43:01.000]   ♪
[00:43:01.000 --> 00:43:06.000]   ♪
[00:43:06.000 --> 00:43:11.000]   ♪
[00:43:11.000 --> 00:43:16.000]   ♪
[00:43:16.000 --> 00:43:21.000]   ♪
[00:43:21.000 --> 00:43:26.000]   ♪
[00:43:26.000 --> 00:43:31.000]   ♪
[00:43:31.000 --> 00:43:36.000]   ♪
[00:43:36.000 --> 00:43:41.000]   ♪
[00:43:41.000 --> 00:43:46.000]   ♪
[00:43:46.000 --> 00:43:51.000]   ♪
[00:43:51.000 --> 00:43:56.000]   ♪
[00:43:56.000 --> 00:44:01.000]   ♪
[00:44:01.000 --> 00:44:06.000]   ♪
[00:44:06.000 --> 00:44:11.000]   ♪
[00:44:11.000 --> 00:44:16.000]   ♪
[00:44:16.000 --> 00:44:21.000]   ♪
[00:44:21.000 --> 00:44:26.000]   ♪
[00:44:26.000 --> 00:44:31.000]   ♪
[00:44:31.000 --> 00:44:36.000]   ♪
[00:44:36.000 --> 00:44:41.000]   ♪
[00:44:41.000 --> 00:44:46.000]   ♪
[00:44:46.000 --> 00:44:51.000]   ♪
[00:44:51.000 --> 00:44:56.000]   ♪
[00:44:56.000 --> 00:45:01.000]   ♪
[00:45:01.000 --> 00:45:06.000]   ♪
[00:45:06.000 --> 00:45:11.000]   ♪
[00:45:11.000 --> 00:45:16.000]   ♪
[00:45:16.000 --> 00:45:21.000]   ♪
[00:45:21.000 --> 00:45:26.000]   ♪
[00:45:26.000 --> 00:45:31.000]   ♪
[00:45:31.000 --> 00:45:36.000]   ♪
[00:45:36.000 --> 00:45:41.000]   ♪
