
[00:00:00.040 --> 00:00:10.520]   case
[00:07:17.620 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
[00:07:18.500 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.640 --> 00:07:47.640]   I'm not going to make my bets based on something that has to happen
[00:07:47.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.660 --> 00:08:17.660]   I'm not going to make my bets based on something that has to happen
[00:08:17.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.680 --> 00:08:47.680]   I'm not going to make my bets based on something that has to happen
[00:08:47.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.700 --> 00:09:17.700]   I'm not going to make my bets based on something that has to happen
[00:09:17.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.720 --> 00:09:47.720]   I'm not going to make my bets based on something that has to happen
[00:09:47.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.740 --> 00:10:17.740]   I'm not going to make my bets based on something that has to happen
[00:10:17.760 --> 00:10:47.760]  ,
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:10:47.760]   I'm not going to make my bets based on something that has to happen
[00:10:47.760 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.780 --> 00:11:17.780]   I'm not going to make my bets based on something that has to happen
[00:11:17.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:11:47.800]   I'm not going to make my bets based on something that has to happen
[00:11:47.800 --> 00:12:17.820]  ,
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.820 --> 00:12:17.820]   I'm not going to make my bets based on something that has to happen
[00:12:17.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.840 --> 00:12:47.840]   I'm not going to make my bets based on something that has to happen
[00:12:47.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.860 --> 00:13:17.860]   I'm not going to make my bets based on something that has to happen
[00:13:17.900 --> 00:13:47.880]  ,
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.880 --> 00:13:47.880]   I'm not going to make my bets based on something that has to happen
[00:13:47.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.900 --> 00:14:17.900]   I'm not going to make my bets based on something that has to happen
[00:14:17.940 --> 00:14:47.920]  ,
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.920 --> 00:14:47.920]   I'm not going to make my bets based on something that has to happen
[00:14:47.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:17.940]   I'm not going to make my bets based on something that has to happen
[00:15:17.940 --> 00:15:47.960]  ,
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.960 --> 00:15:47.960]   I'm not going to make my bets based on something that has to happen
[00:15:47.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:17.980 --> 00:16:17.980]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:16:48.000 --> 00:16:48.000]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:18.020]   I'm not going to make my bets based on something that has to happen
[00:17:18.020 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.040 --> 00:17:48.040]   I'm not going to make my bets based on something that has to happen
[00:17:48.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.060 --> 00:18:18.060]   I'm not going to make my bets based on something that has to happen
[00:18:18.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:18:48.080]   I'm not going to make my bets based on something that has to happen
[00:18:48.080 --> 00:19:18.100]  ,
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.100 --> 00:19:18.100]   I'm not going to make my bets based on something that has to happen
[00:19:18.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.120 --> 00:19:48.120]   I'm not going to make my bets based on something that has to happen
[00:19:48.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:18.140]   I'm not going to make my bets based on something that has to happen
[00:20:18.140 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.160 --> 00:20:48.160]   I'm not going to make my bets based on something that has to happen
[00:20:48.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
