
[00:00:00.000 --> 00:00:06.760]   Well, hello, Everyday Educators.
[00:05:39.140 --> 00:05:45.020]   when I did pre-K at home, it was like, okay, 8 o'clock this, 8.30 this, 9 o'clock this.
[00:05:45.020 --> 00:05:46.680]   It was just, I had this schedule, right?
[00:05:46.680 --> 00:05:48.200]   Because I had this teacher mentality.
[00:05:48.200 --> 00:05:53.040]   And I think I thought at first, it's supposed to be just school at home.
[00:05:53.040 --> 00:05:56.060]   And I didn't really grasp the homeschool aspect.
[00:05:56.060 --> 00:06:02.560]   And so when she explained, listen, we do CC, we review it for like 10, 20 minutes a day,
[00:06:02.560 --> 00:06:07.920]   and then do a math curriculum, do a reading and writing and language curriculum, and you're
[00:06:07.920 --> 00:06:08.520]   good to go.
[00:06:08.520 --> 00:06:09.460]   And I was like, really?
[00:06:09.460 --> 00:06:10.740]   That's it?
[00:06:10.740 --> 00:06:13.020]   It streamlined it for me.
[00:06:13.240 --> 00:06:17.920]   And I found the beauty of just starting our mornings around the table with the Bible.
[00:06:17.920 --> 00:06:19.880]   And then we go into CC review.
[00:06:19.880 --> 00:06:22.780]   And it was just, it was eye-opening to me.
[00:06:22.780 --> 00:06:30.360]   And I've been so encouraged with CC and just how it's impacted my children, that we're classically
[00:06:30.360 --> 00:06:33.520]   learning, but it's Christian-based, and we're doing it as a family.
[00:06:33.520 --> 00:06:35.500]   It's just been so rich.
[00:06:35.620 --> 00:06:38.040]   So that's kind of our CC story.
[00:06:38.040 --> 00:06:39.440]   I love that.
[00:06:39.440 --> 00:06:46.080]   I hear just remnants of our family's CC story or echoes of our story and yours too, because
[00:06:46.080 --> 00:06:52.380]   I was a, I am a former public school teacher, and I subjected our firstborn to much of the
[00:06:52.380 --> 00:06:57.900]   unnecessary rigor that I think I attached to the idea of what education needed to be.
[00:06:57.980 --> 00:07:04.140]   And I also had a gracious friend who helped open my eyes, not to what schooling is, but
[00:07:04.140 --> 00:07:05.980]   what education can be.
[00:07:05.980 --> 00:07:07.940]   And so I love that.
[00:07:07.940 --> 00:07:08.600]   I love that.
[00:07:08.600 --> 00:07:14.040]   And I hope that your story is an encouragement to perhaps other families who, you know, are
[00:07:14.040 --> 00:07:17.340]   coming into this and wondering what is Classical Conversations?
[00:07:17.340 --> 00:07:18.700]   What can it be?
[00:07:18.700 --> 00:07:21.340]   And what can I expect for my family?
[00:07:21.340 --> 00:07:27.960]   So Evangeline, you're going to be headed from the familiar world of foundations into
[00:07:27.960 --> 00:07:30.420]   Challenge A in the fall.
[00:07:30.420 --> 00:07:34.380]   And I'm curious, how old were you when you started foundations?
[00:07:34.380 --> 00:07:40.860]   And then could you tell me, were you a national memory master, a national, were you a memory
[00:07:40.860 --> 00:07:45.820]   master from the very beginning or was it something you decided later to do?
[00:07:45.820 --> 00:07:54.940]   So I started foundations when I was five, almost six, and I didn't want to do memory master until
[00:07:54.940 --> 00:07:57.680]   like my first year of essentials.
[00:07:57.680 --> 00:08:00.340]   And so I've only done memory master three times.
[00:08:00.340 --> 00:08:01.400]   Okay.
[00:08:01.400 --> 00:08:02.280]   Okay.
[00:08:02.280 --> 00:08:03.460]   You know, it's funny.
[00:08:03.460 --> 00:08:10.160]   Every year we have a broad spectrum of students who enter the competition and we have some memory
[00:08:10.160 --> 00:08:12.320]   masters who've done this eight times.
[00:08:12.400 --> 00:08:16.440]   And I love that you've been a memory master three times.
[00:08:16.440 --> 00:08:22.140]   You mastered each cycle, I'm guessing, because it gave you the skills that you needed to succeed
[00:08:22.140 --> 00:08:23.080]   in the competition.
[00:08:23.080 --> 00:08:27.920]   And I know it will give you the skills you need to succeed and challenge A in the fall.
[00:08:28.180 --> 00:08:34.560]   So I'm curious, what made you decide to send in an entry to national memory master this year?
[00:08:34.560 --> 00:08:43.200]   Well, I mean, we knew about it from a friend and we heard about it and I was like, that sounds
[00:08:43.200 --> 00:08:44.200]   like an interesting thing to do.
[00:08:44.300 --> 00:08:45.580]   Like, that would be cool to try for.
[00:08:45.580 --> 00:08:50.480]   And so about a year ago, we were like, I should try for this.
[00:08:50.480 --> 00:08:52.720]   And so I started like memorizing this year's cycle.
[00:08:52.720 --> 00:08:58.480]   And then in like either January or February, we started making my video and I was excited.
[00:08:58.480 --> 00:09:01.400]   I was nervous and I didn't really know what it was about, but I was excited to see what
[00:09:01.400 --> 00:09:01.840]   it was like.
[00:09:01.840 --> 00:09:02.740]   Wonderful.
[00:09:02.740 --> 00:09:08.300]   Well, it sounds like your spirit of curiosity paid off literally and figuratively because
[00:09:08.300 --> 00:09:11.600]   you walked home with a $10,000 check as your prize.
[00:09:11.600 --> 00:09:18.820]   You know, I think your story is really encouraging because I've heard of families who decide not
[00:09:18.820 --> 00:09:24.080]   to do this because they are intimidated by the process or they think, you know, we've only
[00:09:24.080 --> 00:09:29.600]   been involved in foundations for maybe three or four years and we've not done this or at least
[00:09:29.600 --> 00:09:34.460]   memory mastered from the time that, you know, the student was four years old.
[00:09:34.460 --> 00:09:40.560]   And so I think you are living proof that, you know, when you commit the memory work to memory,
[00:09:40.560 --> 00:09:42.900]   that three years is enough.
[00:09:42.900 --> 00:09:45.700]   So congratulations and well done to you.
[00:09:45.700 --> 00:09:46.920]   Okay.
[00:09:46.920 --> 00:09:53.080]   So this is a question for you, Tricia, as the mom, was pursuing National Memory Master something
[00:09:53.080 --> 00:09:57.720]   you encouraged Evangeline to do or was it her idea?
[00:09:57.720 --> 00:09:59.280]   Tell us a little bit about that.
[00:09:59.700 --> 00:10:04.280]   So like she said, we had actually heard about it because a friend in our community,
[00:10:04.280 --> 00:10:08.360]   her son actually made it as a finalist.
[00:10:08.360 --> 00:10:11.460]   So that's where we first heard about the National Memory Master part.
[00:10:11.460 --> 00:10:13.880]   And I think it was in the back of our mind.
[00:10:13.880 --> 00:10:15.520]   And then I just presented it to her.
[00:10:15.520 --> 00:10:17.340]   Hey, is this something you want to do?
[00:10:17.340 --> 00:10:21.460]   Like she said, over the summer and she's like, yeah, I want to try for that.
[00:10:21.460 --> 00:10:24.200]   So that's kind of led into it.
[00:10:24.200 --> 00:10:31.580]   And it was, I feel like it was a very wonderful process of just trying to break things down and
[00:10:31.580 --> 00:10:36.320]   figuring out when to study things and for it not to be overwhelming and just to refresh
[00:10:36.320 --> 00:10:37.280]   her mind on things.
[00:10:37.280 --> 00:10:46.240]   So a lot of families that become involved in National Memory Master at the very beginning
[00:10:46.240 --> 00:10:50.360]   have a lot of questions about the entry submission process.
[00:10:51.000 --> 00:10:55.620]   And I know that, you know, when, when you think about submitting an entry for National Memory
[00:10:55.620 --> 00:11:01.620]   Master, it's, it's really intimidating for one parent and the student to do alone.
[00:11:01.620 --> 00:11:06.760]   And you need someone behind the camera and you need someone who can introduce the student
[00:11:06.760 --> 00:11:08.620]   on the entry video.
[00:11:08.620 --> 00:11:14.500]   So Jason, I know all three of you were involved in crafting Evangeline's entry video.
[00:11:14.500 --> 00:11:17.420]   What was that process like for your family?
[00:11:17.420 --> 00:11:23.440]   It, it was actually a lot better experience than it, than we were thinking it might be.
[00:11:23.440 --> 00:11:27.980]   We knew, okay, this might take a lot of takes.
[00:11:27.980 --> 00:11:33.420]   And so we were really blessed.
[00:11:33.420 --> 00:11:38.300]   Like she made, she, we, the first couple of times, you know, she worked on scripting it
[00:11:38.300 --> 00:11:40.420]   out memorizing and was ready to go.
[00:11:40.420 --> 00:11:45.180]   Trisha asked me, she goes, can you be the one who gets like, I'll run the camera, you
[00:11:45.180 --> 00:11:45.780]   get in front.
[00:11:45.780 --> 00:11:51.020]   I have to confess, I chickened out and I was so scared of messing it up.
[00:11:51.020 --> 00:11:54.400]   Cause I was like, what is she, what if she does it and I mess up my part.
[00:11:54.400 --> 00:11:59.560]   So I wrote it up on a piece of paper, like behind the camera, which leads to another funny
[00:11:59.560 --> 00:12:00.320]   story down the road.
[00:12:00.320 --> 00:12:04.280]   But she, she got it her third try.
[00:12:04.280 --> 00:12:05.540]   Way to go.
[00:12:07.980 --> 00:12:10.220]   Make sure that that's not discouraging for other people.
[00:12:10.220 --> 00:12:13.700]   Like apparently if you want to win, you've got to have your, your entry done by the third
[00:12:13.700 --> 00:12:14.040]   try.
[00:12:14.040 --> 00:12:19.760]   No, we went back and watched the video and, and Trisha was like, they cannot have anything
[00:12:19.760 --> 00:12:21.660]   written and they can be disqualified.
[00:12:21.660 --> 00:12:24.880]   The entry can be disqualified if it's like, they think, oh, she's reading something.
[00:12:24.880 --> 00:12:27.500]   They're like, and you can clearly see I'm reading something.
[00:12:27.500 --> 00:12:29.300]   So we're like, oh no.
[00:12:29.300 --> 00:12:31.000]   What have I ruined?
[00:12:31.140 --> 00:12:38.040]   And so she tried it a bunch more times and about five times in, we were like, okay, never
[00:12:38.040 --> 00:12:38.320]   mind.
[00:12:38.320 --> 00:12:40.320]   We're, we're going to work.
[00:12:40.320 --> 00:12:44.300]   And so that was actually, honestly, that was the most stressful part of the entire process
[00:12:44.300 --> 00:12:44.880]   was waiting.
[00:12:44.880 --> 00:12:51.860]   She got, got accepted because I was literally living deep down inside going, what if I just
[00:12:51.860 --> 00:12:52.580]   ruined this?
[00:12:52.580 --> 00:12:58.180]   Because I wasn't able to memorize three sentences when my daughter just memorized, you know, everything.
[00:12:58.180 --> 00:13:04.220]   So that, that was, that was definitely not my finest moment, but it was, it was definitely
[00:13:04.220 --> 00:13:10.180]   the three of us working together, obviously Evangeline doing 98% of the work, 99% of the
[00:13:10.180 --> 00:13:15.140]   work, but Trisha just set her up for success, helped her practice, got a little scene set
[00:13:15.140 --> 00:13:16.260]   up so she could be happy with it.
[00:13:16.260 --> 00:13:23.200]   And yeah, apparently don't be afraid, like take a little bit of time, dad, to like memorize
[00:13:23.200 --> 00:13:24.440]   what you're supposed to say.
[00:13:24.440 --> 00:13:26.740]   Because it didn't take me long once I decided to do that.
[00:13:27.300 --> 00:13:27.660]   Absolutely.
[00:13:27.660 --> 00:13:33.680]   I will say it is very humbling to serve as the MC each year and to see them, you know,
[00:13:33.680 --> 00:13:38.760]   reciting the timeline backwards and, you know, doing all these incredible things.
[00:13:38.760 --> 00:13:43.220]   And there quite often are times when I can't remember the four items that I need to pick
[00:13:43.220 --> 00:13:44.640]   up at the grocery store.
[00:13:44.640 --> 00:13:51.780]   And so it's really humbling for me as an adult to see, to observe in real time, the beauty
[00:13:51.780 --> 00:13:57.280]   of how God has designed our minds at different ages to be able to capture that information.
[00:13:57.280 --> 00:13:59.580]   So that is, that is hilarious.
[00:13:59.580 --> 00:14:05.660]   So dads, you know, you hear Jason here, make sure you just take dominion over memorizing
[00:14:05.660 --> 00:14:08.740]   those three sentences that you need to, to be able to support your family.
[00:14:08.740 --> 00:14:09.960]   I'm like, well, excellent.
[00:14:09.960 --> 00:14:11.200]   All right.
[00:14:11.200 --> 00:14:16.000]   Evangeline, I know, you know, your dad has just alluded to the hard work that it is for
[00:14:16.000 --> 00:14:19.300]   us to be able to help support those entry videos.
[00:14:19.300 --> 00:14:24.480]   But I know it takes a lot of hard work to become a national memory master.
[00:14:24.480 --> 00:14:31.000]   When you found out that you had been selected as a finalist, tell us what types of things you
[00:14:31.000 --> 00:14:33.380]   did to be able to prepare to compete?
[00:14:33.380 --> 00:14:39.820]   Well, I, we split up the work, the memory work, like between the days of the week.
[00:14:39.820 --> 00:14:44.100]   And so like Monday, I would do two subjects Tuesday, I would do two subjects and so on.
[00:14:44.100 --> 00:14:47.560]   And then we took timeline cards and we put them all around our house.
[00:14:47.560 --> 00:14:51.160]   That was like, that was the winning factor for me.
[00:14:51.160 --> 00:14:54.340]   That was the only way I was probably going to be able to do the timeline backwards.
[00:14:54.880 --> 00:14:59.480]   And so that helped extremely with the visual picture, because I would just like tap each
[00:14:59.480 --> 00:15:01.460]   one and like go forward around our house and then go backwards.
[00:15:01.460 --> 00:15:03.720]   And like, I would like point to where each ones were.
[00:15:03.720 --> 00:15:08.120]   And then eventually I started going backwards with it, like from memory saying it.
[00:15:08.120 --> 00:15:09.320]   And so that helped a lot.
[00:15:09.320 --> 00:15:17.800]   And then about maybe a month before the competition, I started working on maps.
[00:15:17.800 --> 00:15:21.300]   And so I would like trace a certain continent until I can memorize it.
[00:15:21.640 --> 00:15:25.700]   And then I would eventually, I got a bunch of poster boards and then I would like draw the
[00:15:25.700 --> 00:15:26.840]   whole world on it from memory.
[00:15:26.840 --> 00:15:29.160]   And mommy would time me and each time I got better.
[00:15:29.160 --> 00:15:30.120]   So that helped a lot.
[00:15:30.120 --> 00:15:31.960]   Nice, nice.
[00:15:31.960 --> 00:15:37.060]   I think you hit on one of the things that is most fascinating for families when they consider
[00:15:37.060 --> 00:15:38.620]   entering National Memory Master.
[00:15:38.620 --> 00:15:43.040]   It's how do you commit some of these things to memory in new ways?
[00:15:43.040 --> 00:15:50.000]   And I love the fact that you used location as a memory peg for you with the timeline cards.
[00:15:50.100 --> 00:15:55.080]   And you're bringing back to my mind, a winner that we had a few years ago who actually took
[00:15:55.080 --> 00:15:59.480]   the timeline cards and put them all up the stairwell in their home.
[00:15:59.480 --> 00:16:03.340]   And so he would go up the stairs and he would recite the timeline forwards.
[00:16:03.340 --> 00:16:07.120]   And then he would go down the stairs and he would recite the timeline backwards.
[00:16:07.120 --> 00:16:11.940]   So I think it's really what you're saying is encouraging for families to just be creative
[00:16:11.940 --> 00:16:16.580]   and think about committing that information to their minds in new ways.
[00:16:16.580 --> 00:16:23.620]   And I love the fact that you practiced drawing the maps and drawing portions of the map until
[00:16:23.620 --> 00:16:24.860]   you had mastered it.
[00:16:24.860 --> 00:16:29.640]   And then you kind of were mapping the mastery of the map as you move from place to place.
[00:16:29.640 --> 00:16:32.020]   That is a really great tip.
[00:16:32.020 --> 00:16:39.960]   So as we've already said, you know, preparing for National Memory Master is not something a student
[00:16:39.960 --> 00:16:45.560]   does all alone from the beginning of the entry video until the time that they step on the
[00:16:45.560 --> 00:16:47.560]   platform at competition.
[00:16:47.560 --> 00:16:55.200]   So, Tricia, I'm curious, in what ways did your family and your community surround you guys and
[00:16:55.200 --> 00:16:57.120]   show support for you and Evangeline?
[00:16:58.160 --> 00:17:05.480]   Well, one thing we had her do, so we knew she knew the knowledge and she is an actress.
[00:17:05.480 --> 00:17:12.540]   So she loves being on stage in front of people, but she loves playing a part in being on stage
[00:17:12.540 --> 00:17:13.360]   in front of people.
[00:17:13.360 --> 00:17:16.900]   When it is her on display, it's different.
[00:17:16.900 --> 00:17:20.760]   So I knew that was one of the things that she would struggle with.
[00:17:21.000 --> 00:17:27.040]   So at first I would pretend to be a judge and I would say, okay, I'm a judge and I'm going
[00:17:27.040 --> 00:17:27.680]   to ask you a question.
[00:17:27.680 --> 00:17:32.380]   And I would purposely give her a look on my face like she had gotten it wrong to try to
[00:17:32.380 --> 00:17:39.580]   throw her because she's so in tune to my expressions that I knew that that could kind of throw her
[00:17:39.580 --> 00:17:39.800]   off.
[00:17:39.800 --> 00:17:42.860]   And then I feel like the Lord just kind of like, hey, try this.
[00:17:42.860 --> 00:17:49.420]   And so we actually, the last four weeks, I believe, of our CC community this year, I would
[00:17:49.420 --> 00:17:54.120]   pass out questions and I would word it just the way that you guys word it in the championship
[00:17:54.120 --> 00:17:56.640]   out to other tutors and parents.
[00:17:56.640 --> 00:18:02.420]   And during our assembly time, like at the end with assembly filled with the students and tutors,
[00:18:02.420 --> 00:18:08.540]   she would stand on the stage with a mic and have these other parents ask her some of the
[00:18:08.540 --> 00:18:09.000]   questions.
[00:18:09.000 --> 00:18:12.300]   And I think the first time she did it, she got it all right.
[00:18:12.300 --> 00:18:14.680]   But the first time she did it, she was shaking.
[00:18:14.680 --> 00:18:17.760]   It was like, you could see her knees like knocking.
[00:18:17.760 --> 00:18:18.700]   Every time.
[00:18:18.700 --> 00:18:24.660]   So it was great practice because it really put her like on the spot.
[00:18:24.660 --> 00:18:26.880]   It's like, oh, wow, they're all looking at me.
[00:18:26.880 --> 00:18:28.600]   I'm not pretending to be someone else.
[00:18:28.600 --> 00:18:30.560]   And I'm having to answer this question.
[00:18:30.560 --> 00:18:31.500]   So that was huge.
[00:18:31.500 --> 00:18:36.520]   And I love it too, because I feel like it encouraged the other kids in assembly.
[00:18:36.520 --> 00:18:41.020]   Like, look, you can do this and you're having a part of it right now because you're helping
[00:18:41.020 --> 00:18:44.340]   fill out the crowd to put her in this circumstance.
[00:18:44.340 --> 00:18:45.840]   And so it was just really neat.
[00:18:45.900 --> 00:18:51.140]   And then the other thing, our family and friends and part of our community, there was a surprise
[00:18:51.140 --> 00:18:53.600]   parade for her the day that we left.
[00:18:54.080 --> 00:18:56.260]   So they just, I never even heard of this.
[00:18:56.260 --> 00:19:02.260]   I love the idea, but just a drive by parade and they made posters encouraging her and decorated
[00:19:02.260 --> 00:19:03.080]   with balloons.
[00:19:03.080 --> 00:19:07.820]   And it was just, I feel like it was just what she needed to, to have the encouragement to
[00:19:07.820 --> 00:19:08.760]   go to the competition.
[00:19:09.760 --> 00:19:15.480]   All right, you guys, so it's that time again, we need to talk about the math map, but this
[00:19:15.480 --> 00:19:20.260]   time we need to talk about the math map as it relates to monomials.
[00:19:20.260 --> 00:19:24.340]   Monomials is our newest introduction to the math map family.
[00:19:24.340 --> 00:19:33.580]   And this curriculum helps families practice introductory algebraic computation together by using classical
[00:19:33.580 --> 00:19:38.920]   skills that prepare students for the mathematical conversation of the ages.
[00:19:38.920 --> 00:19:39.940]   That's right.
[00:19:39.940 --> 00:19:47.240]   In the monomials curriculum, you are going to learn introductory algebra aligned with a natural
[00:19:47.240 --> 00:19:48.360]   learning patterns.
[00:19:48.360 --> 00:19:54.200]   This curriculum empowers parents as the primary math teachers with layered support.
[00:19:54.200 --> 00:20:00.040]   It creates a unified math language for that one room school house feel and community learning.
[00:20:00.040 --> 00:20:03.220]   And it also centers around Christ.
[00:20:03.220 --> 00:20:10.540]   This Christ centered approach of God's mathematical design is essential for learning and appreciating
[00:20:10.540 --> 00:20:11.180]   math.
[00:20:11.180 --> 00:20:17.900]   The monomials curriculum is for students 13 and older, and it is specifically used for challenge
[00:20:17.900 --> 00:20:19.300]   B and beyond.
[00:20:19.300 --> 00:20:24.040]   If you want to learn more about this resource, please visit classicalconversations.com
[00:20:24.040 --> 00:20:29.180]   forward slash the math map today to transform your family's math experience.
[00:20:29.180 --> 00:20:30.840]   Now let's get back to the show.
[00:20:30.840 --> 00:20:32.580]   Oh, I love that.
[00:20:32.580 --> 00:20:36.880]   How wonderful to see your communities surround you in that way.
[00:20:36.880 --> 00:20:42.660]   And I think you hit on something really important, Tricia, just getting used to the idea of being
[00:20:42.660 --> 00:20:47.940]   that person behind the microphone and having the questions asked in a different way than when
[00:20:47.940 --> 00:20:52.820]   you're proofing for memory master and you're sitting next to your mom or dad on the couch or across
[00:20:52.820 --> 00:20:57.700]   from a tutor that you know really well or a director that you know really well in community.
[00:20:57.700 --> 00:20:59.280]   I think that's brilliant.
[00:20:59.280 --> 00:21:05.780]   And what a great idea to have a parade.
[00:21:05.780 --> 00:21:09.060]   And I think that you got to Southern Pines for the competition.
[00:21:09.060 --> 00:21:15.760]   So thinking about the competition, Evangeline, tell us a little bit about your National Memory
[00:21:15.760 --> 00:21:21.200]   Master experience because I'm listening to your mom talk about your knees knock, and I didn't
[00:21:21.200 --> 00:21:24.800]   see nerves for one moment of the competition.
[00:21:24.800 --> 00:21:28.240]   So tell us, what was the hardest part of round one?
[00:21:28.240 --> 00:21:34.200]   It was definitely not making any mistakes and just like getting everything right.
[00:21:34.200 --> 00:21:39.160]   And I kind of, I had to take a deep breath and just kind of like set my mind and think of
[00:21:39.160 --> 00:21:42.480]   what the answer was before actually saying it because I was afraid I was going to mess up
[00:21:42.480 --> 00:21:43.480]   or say the wrong thing.
[00:21:43.480 --> 00:21:44.280]   Sure.
[00:21:44.280 --> 00:21:45.520]   Sure.
[00:21:45.520 --> 00:21:51.420]   It is a different thing to stand behind the microphone and to be able to recite the memory
[00:21:51.420 --> 00:21:54.200]   work and then, you know, waiting for your turn.
[00:21:54.200 --> 00:21:59.660]   As, you know, we move through the finalists, I can look up on the platform and see the different
[00:21:59.660 --> 00:22:04.600]   expressions on the faces and see like everyone, you're like, oh, two more, two more finalists
[00:22:04.600 --> 00:22:05.640]   and it's my turn.
[00:22:05.640 --> 00:22:12.460]   And one of the reasons why in competition, I tell everyone, let's take a big, deep breath
[00:22:12.460 --> 00:22:13.060]   together.
[00:22:13.060 --> 00:22:16.880]   I think it helps us just to settle nerves a little bit.
[00:22:16.880 --> 00:22:22.800]   Sometimes we would take two or three breaths together, depending on what we're about to do.
[00:22:22.800 --> 00:22:28.300]   But it's important for you guys to know that as the MC, I'm sitting here just as another
[00:22:28.300 --> 00:22:33.280]   CC mom asking you questions, just like you were in community.
[00:22:33.280 --> 00:22:38.900]   So, you know, one of the things that I said in competition this year was, I want you to
