
[00:00:00.000 --> 00:00:08.120]   [no audio]
[00:06:44.620 --> 00:06:50.620]   But we live in that kind of a world where it doesn't seem to pay to go out on a limb.
[00:06:50.620 --> 00:06:54.620]   I guess in terms of anybody in the business, I go out as far as one would dare.
[00:06:54.620 --> 00:07:00.620]   But I'm always not looking at today or tomorrow or the next day or the next decade, even longer than that.
[00:07:00.620 --> 00:07:03.620]   So let me stop at that point.
[00:07:03.620 --> 00:07:05.620]   Thank you again for coming.
[00:07:05.620 --> 00:07:07.620]   It's great to be with you.
[00:07:07.620 --> 00:07:10.620]   And I'm looking forward to seeing you in the morning.
[00:07:10.620 --> 00:07:12.620]   I will be with you at 8.30 if you don't know.
[00:07:12.620 --> 00:07:13.620]   Thank you.
[00:07:13.620 --> 00:07:16.620]   I've got a story that you may really get a kick out of.
[00:07:16.620 --> 00:07:21.620]   You know, a recent story that Anna did in the Wall Street Journal.
[00:07:21.620 --> 00:07:25.620]   She also did a podcast where somebody interviewed her, somebody from the journal interviewed her,
[00:07:25.620 --> 00:07:28.620]   and they had it posted on the Internet.
[00:07:28.620 --> 00:07:33.620]   And a lot of the bogo heads went and saw the podcast.
[00:07:33.620 --> 00:07:41.620]   And at the end of the podcast, the interviewer asked Anna if there was any special requirement to join the bogo heads.
[00:07:41.620 --> 00:07:43.620]   And she said no.
[00:07:43.620 --> 00:07:45.620]   Anybody can join.
[00:07:45.620 --> 00:07:47.620]   They don't have a secret handshake.
[00:07:47.620 --> 00:07:49.620]   [Laughter]
[00:07:49.620 --> 00:07:52.620]   So somebody said, well, maybe we ought to get a secret handshake.
[00:07:52.620 --> 00:07:55.620]   [Laughter]
[00:07:55.620 --> 00:07:56.620]   Did you see it?
[00:07:56.620 --> 00:07:57.620]   That's it.
[00:07:57.620 --> 00:07:58.620]   Index finger.
[00:07:58.620 --> 00:08:02.620]   So anyway, I said, all right, let's have a contest to see who can come up with the best secret handshake.
[00:08:02.620 --> 00:08:03.620]   This is good.
[00:08:03.620 --> 00:08:04.620]   He's good.
[00:08:04.620 --> 00:08:10.620]   And we got one entry immediately after, and I closed the contest.
[00:08:10.620 --> 00:08:12.620]   [Laughter]
[00:08:12.620 --> 00:08:20.620]   I thought it was the most brilliant thought that I -- it is an index finger shake.
[00:08:20.620 --> 00:08:26.620]   [Laughter]
[00:08:26.620 --> 00:08:30.620]   Victoria, where's Victoria?
[00:08:30.620 --> 00:08:32.620]   Victoria, there she is.
[00:08:32.620 --> 00:08:40.620]   [Applause]
[00:08:40.620 --> 00:08:42.620]   You wouldn't pick mine, would you?
[00:08:42.620 --> 00:08:48.620]   [Laughter]
[00:08:48.620 --> 00:08:49.620]   So we now --
[00:08:49.620 --> 00:08:50.620]   Now everybody knows.
[00:08:50.620 --> 00:08:51.620]   No, here's the deal.
[00:08:51.620 --> 00:09:00.620]   I wrote down there that people are going to wonder how non-bogo heads will -- that will now know our secret handshake.
[00:09:00.620 --> 00:09:09.620]   And I said that anybody who's a true bogo head will remember, and anybody who is not a true bogo head will have instant memory loss.
[00:09:09.620 --> 00:09:10.620]   [Laughter]
[00:09:10.620 --> 00:09:12.620]   Our secret is our secret.
[00:09:12.620 --> 00:09:13.620]   All right.
[00:09:13.620 --> 00:09:16.620]   In honor of that, she is now Lady Victoria.
[00:09:16.620 --> 00:09:17.620]   [Laughter]
[00:09:17.620 --> 00:09:25.620]   [Applause]
[00:09:25.620 --> 00:09:27.620]   I had to explain it to Taylor.
[00:09:27.620 --> 00:09:28.620]   At least you got it.
[00:09:28.620 --> 00:09:30.620]   [Laughter]
[00:09:30.620 --> 00:09:32.620]   No, I was going to ask her, "What's a podcast?"
[00:09:32.620 --> 00:09:34.620]   [Laughter]
[00:09:34.620 --> 00:09:35.620]   It's just a video.
[00:09:35.620 --> 00:09:36.620]   It's all right.
[00:09:36.620 --> 00:09:38.620]   No, I got that far.
[00:09:38.620 --> 00:09:40.620]   [Laughter]
[00:09:40.620 --> 00:09:41.620]   I wasn't sure.
[00:09:41.620 --> 00:09:42.620]   Thank you.
[00:09:42.620 --> 00:09:45.620]   [Applause]
[00:09:45.620 --> 00:09:47.680]   you

