
[00:00:00.000 --> 00:00:05.000]   Now, I'm delighted today to have Karina who is a director of CS25.
[00:09:36.000 --> 00:09:51.000]   And the first one, um, is when you have unfamiliar capability of the model, your job might be to create familiar form factor for that unfamiliar capability.
[00:09:51.000 --> 00:09:56.000]   And, in examples of that could be, um, you know, ChatGPT was like this.
[00:09:56.000 --> 00:09:59.000]   Or, a hundred contacts from Quad was like this.
[00:09:59.000 --> 00:10:02.000]   Um, I'll share, let's dive deeper into this.
[00:10:02.000 --> 00:10:13.000]   Actually, the early prototypes that I've done before joining AnyLab was actually working with Clip, um, which is a contrastive model.
[00:10:13.000 --> 00:10:18.000]   And, um, it's, like, image, um, text-to-image, basically.
[00:10:18.000 --> 00:10:23.000]   And, um, I fine-tuned Clip a little bit on the images that I was excited about.
[00:10:23.000 --> 00:10:28.000]   And I think this is the prototype of, you know, fashion search.
[00:10:28.000 --> 00:10:34.000]   Um, I think some people, you know, people kind of, like, it went viral on Twitter.
[00:10:34.000 --> 00:10:45.000]   And I feel like that's because people really found some usefulness if you bring some, like, Clip technology into some form factor that people will like.
[00:10:45.000 --> 00:10:48.000]   And so, um, I think a lot of the product work is around like this.
[00:10:48.000 --> 00:10:55.000]   It's like, if the model has a certain capability that was never possible before, how do we create this new, um, form factor?
[00:10:55.000 --> 00:10:58.000]   The same happened with a hundred key context.
[00:10:58.000 --> 00:11:08.000]   When Claude, um, started being able to, you know, consume the entire books, um, you can imagine to have various form factors.
[00:11:08.000 --> 00:11:19.000]   File uploads is just, like, very general and something really familiar to people that can just, like, dump the entire document into Claude and ask follow-up questions.
[00:11:19.000 --> 00:11:23.000]   But you can imagine other form factors for this, like infinite chats.
[00:11:23.000 --> 00:11:32.000]   And in a way it's, like, infinite memory, um, as a way to kind of, like, take this a hundred key context into some form factor.
[00:11:32.000 --> 00:11:41.000]   So you can, like, exercise this product thinking by, um, thinking of, like, novel ways that people can interact, um, with this novel technology.
[00:11:41.000 --> 00:11:57.000]   Um, another example, this is more speculative, it wasn't deployed anywhere, um, is if the model has kind of a sense of self-calibration, uh, uh, or, um, it's also called P, I know.
[00:11:57.000 --> 00:12:01.000]   If the model knows the confidence of the answer that it knows.
[00:12:01.000 --> 00:12:12.000]   So, for example, if I'm really, really confident in this claim and then my confidence may be, uh, 85%, then maybe there is a way for the interface to highlight that.
[00:12:12.000 --> 00:12:28.000]   Um, maybe the, um, more highlighted versions is much more confident, um, kind of, much more confident, uh, claims and less highlighted as, um, kind of less, less, uh, uh, confidence.
[00:12:28.000 --> 00:12:39.000]   So, in a way you can imagine if the model, yeah, you can, like, think of, okay, if, if you train the model to be really good at, like, self-calibration, how do we then represent that to the humans?
[00:12:39.000 --> 00:12:44.000]   And if, if anything, will it be useful, um, for humans?
[00:12:44.000 --> 00:12:53.000]   Same happened with, uh, when we were trying to deploy a one preview, um, the chain of thought itself is a very alien thing.
[00:12:53.000 --> 00:13:00.000]   And, um, a lot of people were, okay, how do you bring along humans with models thinking, right?
[00:13:00.000 --> 00:13:09.000]   If the model, if, if the human needs to wait for chain of thought for, like, two minutes or five minutes, that's kind of boring.
[00:13:09.000 --> 00:13:16.000]   And, um, people don't, I think it's just like more of a, how would people perceive the model thoughts?
[00:13:16.000 --> 00:13:22.000]   Um, and one thing that we did, uh, is actually we wanted to create the streaming, uh, kind of interaction.
[00:13:22.000 --> 00:13:29.000]   Um, so the model would always stream its thoughts ephemeral, um, and we trained the model to do that.
[00:13:29.000 --> 00:13:43.000]   Um, so, in a way there was chain of thought as an alien technology, as an alien artifact of the model, and then trying to figure out, like, how do we best bring to the humans, um, is another way of thinking of, uh, building product.
[00:13:43.000 --> 00:14:00.000]   Okay, so another way, the second way of building research, um, during products is actually start with a deep belief in what you want to make, um, with either from a product perspective or, um, kind of like vision.
[00:14:00.000 --> 00:14:03.000]   Um, and literally make the model do that.
[00:14:03.000 --> 00:14:06.000]   Okay, so I feel like this is more of a common thing.
[00:14:06.000 --> 00:14:09.000]   Um, so we can go through some examples.
[00:14:09.000 --> 00:14:20.000]   Um, before Antarctic, I worked at the New York Times, and, uh, in a lot of ways, we were thinking about how to represent information, uh, to people.
[00:14:20.000 --> 00:14:25.000]   And, like, how do we add the layer of context to the product and coverage?
[00:14:25.000 --> 00:14:27.000]   And at that time, we were all working on, like, elections.
[00:14:27.000 --> 00:14:30.000]   And, uh, we only had tools like NLP.
[00:14:30.000 --> 00:14:45.000]   But you can imagine this idea, this concept could have extended, given the current tools of AI, to have much more dynamic, um, representation or dynamic UIs that people could, um, consume the content better.
[00:14:45.000 --> 00:15:03.000]   Same when I was working on this, um, product, uh, the command line, the terminal, the new terminal, uh, I think it would be much, much richer if you could have integrated auto-completion or some of the benefits of GPT-3 at that time, um, into the product itself.
[00:15:03.000 --> 00:15:14.000]   Um, and so if you wanted to have, it was a vision of, like, having much more humane command line for people to, for junior engineers to actually, um, be more well-equipped.
[00:15:14.000 --> 00:15:27.000]   Um, yeah, and then, like, early prototypes around, uh, with GPT-3, even though it was just next token prediction, um, how do I make a writing IDE, uh, with GPT-3?
[00:15:27.000 --> 00:15:34.000]   And at that time, it was just, you know, trying to, um, whenever I type, it would auto-complete my thoughts, almost.
[00:15:34.000 --> 00:15:39.000]   So those ideas were kind of present early days with the technology that was coming out.
[00:15:39.000 --> 00:15:52.000]   Um, and yeah, and I feel like when I was at Anthropica, I kind of realized that, and actually, if you want to create, like, new interaction paradigm of interfaces, you actually need to train the model, um, for that.
[00:15:52.000 --> 00:16:05.000]   Um, another example of what we did with Claude, which I don't think a lot of people know, um, is when Claude generates titles, it actually has some micropersonalization.
[00:16:05.000 --> 00:16:12.000]   So it takes the style, uh, the writing style of the user, and then generates a title in the same style of the user.
[00:16:12.000 --> 00:16:19.000]   So you can imagine certain, like, interesting micropersonalization that you could create, um, within the products themselves.
[00:16:19.000 --> 00:16:25.000]   Um, and, um, another project was Claude and Slack.
[00:16:25.000 --> 00:16:29.000]   And that was the vision of Claude becoming a first virtual teammate.
[00:16:29.000 --> 00:16:31.000]   It was back in 2022.
[00:16:31.000 --> 00:16:37.000]   Um, and, you know, Slack was a very, very natural workspace where people collaborate.
[00:16:37.000 --> 00:16:46.000]   And, um, you can, you know, imagine a Claude model to be able to jump into the threads and suggest new things.
[00:16:46.000 --> 00:16:57.000]   Or sometimes, um, you know, Claude was really, really good at, uh, summarizing the, what's, what went, what's going on in, within this channel at the high volume content.
[00:16:57.000 --> 00:17:07.000]   Um, and so this was the first kind of vision and the first attempt of making Claude being a virtual super assistant, being, and being able to, like, use different tools.
[00:17:07.000 --> 00:17:14.000]   And, um, my first, one of the first projects at OpenAI was around Canvas.
[00:17:14.000 --> 00:17:22.000]   Um, so that was, you know, that was in the same spirit of breaking out from the chat interface to something different.
[00:17:22.000 --> 00:17:32.000]   And we wanted to create, um, much more human AI collaborative and flexible affordance that will scale, uh, with new modalities.
[00:17:32.000 --> 00:17:37.000]   So, Canvas is not just, like, a thing that you can write into this.
[00:17:37.000 --> 00:17:40.000]   It's also a thing that the model can write into this.
[00:17:40.000 --> 00:17:42.000]   And the model can render a code.
[00:17:42.000 --> 00:17:44.000]   And another model can check.
[00:17:44.000 --> 00:17:52.000]   And you can, like, create, like, the interfaces that will scale with new model capabilities and other tools that will happen.
[00:17:52.000 --> 00:18:00.000]   So, one thing, one interesting thing, um, about Canvas is that we actually postchained the model purely on synthetic data.
[00:18:00.000 --> 00:18:10.000]   And, um, you know, we live in the age where, um, a lot of most powerful reasoning models, um, can be distilled via APIs.
[00:18:10.000 --> 00:18:20.000]   And this, like, distillation is a very powerful idea, uh, of having a student and teacher and have a teacher, um, to teach things to a smaller model.
[00:18:20.000 --> 00:18:25.000]   So, we've trained, um, you know, this model to become more of a collaborator.
[00:18:25.000 --> 00:18:28.000]   But what does it mean for a model to become a collaborator?
[00:18:28.000 --> 00:18:30.000]   And how do we actually make evals for this?
[00:18:30.000 --> 00:18:31.000]   Right?
[00:18:31.000 --> 00:18:47.000]   Um, so, one thing that we wanted to kind of decompose is that teaching the model to use a tool is kind of different behavior from, uh, having a model to be proactive or act as a collaborator.
[00:18:47.000 --> 00:18:52.000]   Um, so, teaching a tool in itself is also have a nuanced kind of behavior.
[00:18:52.000 --> 00:19:03.000]   So, one thing that we, um, had to calibrate the model on is when to entirely rewrite the document versus when to, uh, if you look at the canvas,
[00:19:03.000 --> 00:19:12.000]   sometimes the model can just specifically select sections and delete those and rewrite them, uh, in a much more fine-grained way instead of, like, rewriting everything.
[00:19:12.000 --> 00:19:24.000]   Um, when, um, you know, to create, uh, code in canvas versus, um, ask, like, a python tool call.
[00:19:24.000 --> 00:19:28.000]   So, it's like different tools, compositionality, um, is happening.
[00:19:28.000 --> 00:19:33.000]   So, it's a lot of work around, um, teaching the behaviors for the models for this.
[00:19:33.000 --> 00:19:39.000]   Um, and you have, you can employ different, um, techniques for this.
[00:19:39.000 --> 00:19:43.000]   And I can, I can share a little bit more, uh, how we did this cloud.
[00:19:43.000 --> 00:19:48.000]   Um, so, another project that we did was, uh, it's called tasks.
[00:19:48.000 --> 00:19:54.000]   And, you know, everybody is familiar with the idea of having reminders or to-do lists.
[00:19:54.000 --> 00:19:59.000]   And, um, the model can now maybe schedule tasks for you.
[00:19:59.000 --> 00:20:04.000]   Uh, but the most important thing about it is, is the tasks itself is very, very diverse.
[00:20:04.000 --> 00:20:07.000]   And it's not just, you know, just a reminder of your to-do list.
[00:20:07.000 --> 00:20:11.000]   It can create stories for you every day.
[00:20:11.000 --> 00:20:14.000]   Or, it can continue as a story, uh, from the previous day.
[00:20:14.000 --> 00:20:20.000]   So, you can imagine this, like, the modularity of two compositions, but it's very powerful in product.
[00:20:20.000 --> 00:20:22.000]   Um, okay.
[00:20:22.000 --> 00:20:31.000]   So, let's go to the case study of the model behavior in more specifically.
[00:20:31.000 --> 00:20:37.000]   Um, so, I really want to, like, dive deep into the idea of the model behavior.
[00:20:37.000 --> 00:20:43.000]   You know, how do we shape the models and why, how do you post-train the models on the behaviors that we want?
[00:20:43.000 --> 00:20:51.000]   Um, and, you know, I think to be more specific and be grounded in the real world, uh, use case.
[00:20:51.000 --> 00:21:01.000]   I'll share more, uh, how we might want to think about shaping the, um, kind of behavior of the model, uh, around refusals.
[00:21:01.000 --> 00:21:14.000]   So, you know, let's, let's have, we, we, it's also like the second way of making the product where we have this, um, kind of vision of how the model should behave.
[00:21:14.000 --> 00:21:27.000]   And that vision is also grounded by the, you know, cross-functional collaboration between different teams on how we want the model to respond to various users.
[00:21:27.000 --> 00:21:36.000]   Um, so, one particular thing that you can imagine is, like, the model should have more opinions, but with caveats.
[00:21:36.000 --> 00:21:38.000]   It's just you have opinions, but with caveats.
[00:21:38.000 --> 00:21:40.000]   So, what does it mean, actually?
[00:21:40.000 --> 00:21:46.000]   So, the model maybe needs to be more decisive, um, when asked direct questions.
[00:21:46.000 --> 00:21:57.000]   And, um, let's say one thing that we've seen with RLHF is that the model is very sycophantic back, like, early days in, like, 2022, 2023.
[00:21:57.000 --> 00:22:00.000]   If the model would just agree with everything you would say.
[00:22:00.000 --> 00:22:07.000]   And so, how do we actually teach the model to be more not to do that and be more nuanced?
[00:22:07.000 --> 00:22:14.000]   Um, another thing that was annoying, uh, is, is that, like, the model says, I don't actually have a point of view.
[00:22:14.000 --> 00:22:18.000]   Um, and, uh, is just, just willing to chat with people.
[00:22:18.000 --> 00:22:22.000]   But actually, maybe the model should have some views on certain things.
[00:22:22.000 --> 00:22:25.000]   Uh, um, yeah.
[00:22:25.000 --> 00:22:32.000]   And then sometimes the model could indicate when, when things are just opinions, um, and notes its own biases and inconsistencies.
[00:22:32.000 --> 00:22:38.000]   And it should acknowledge, kind of have, like, self-knowledge of what it knows and what it thinks is right or not right.
[00:22:38.000 --> 00:22:51.000]   And I think the model, like, back in 2022, cloud 1.3, uh, didn't really have, like, any thoughtful responses for things like philosophy, uh, like, ethical questions.
[00:22:51.000 --> 00:22:57.000]   So, uh, you can imagine to post-chain the model, um, on the behavior that would be much more nuanced than the philosophical questions.
[00:22:57.000 --> 00:22:59.000]   Um, yeah.
[00:22:59.000 --> 00:23:02.000]   And, like, other behaviors that you might want to encode in your model.
[00:23:02.000 --> 00:23:09.000]   So, you kind of, like, list out all the various things that you would like a model to behave.
[00:23:09.000 --> 00:23:15.000]   So, maybe, like, the model can have better knowledge of who it is and what it's capable of.
[00:23:15.000 --> 00:23:20.000]   Um, because we've seen in the product a lot of people just, like, ask the model about its features.
[00:23:20.000 --> 00:23:22.000]   And oftentimes it doesn't know.
[00:23:22.000 --> 00:23:25.000]   Um, yeah.
[00:23:25.000 --> 00:23:31.000]   And, um, let's dive deep into the, uh, more specific example.
[00:23:31.000 --> 00:23:35.000]   So, cloud 2.1, I don't know if anybody remembers.
[00:23:35.000 --> 00:23:41.000]   Um, but when it was launched, I think it was, um, kind of had the issue of, like, over-refusals.
[00:23:41.000 --> 00:23:42.000]   Um, yeah.
[00:23:42.000 --> 00:23:48.000]   Like, 2.1 would refuse tasks that superficially sounded harmful, but actually were not.
[00:23:48.000 --> 00:23:52.000]   And, um, you know, it wasn't just caused by a single source of data.
[00:23:52.000 --> 00:23:54.000]   Uh, so we had to, like, investigate.
[00:23:54.000 --> 00:23:58.000]   Um, and, you know, we knew that it was fixable.
[00:23:58.000 --> 00:24:04.000]   Because for some reason, something was 2.1 led to some refusals on benign prompts, then 2.0.
[00:24:04.000 --> 00:24:10.000]   So, you kind of have, like, a really good baseline for experimentation and debugging.
[00:24:10.000 --> 00:24:17.000]   And actually, the way you debug the model behavior is actually very similar to how you would want to debug software.
[00:24:17.000 --> 00:24:27.000]   Um, and, um, and the way we would approach this is, um, okay, how do we actually craft this Monion's refusals?
[00:24:27.000 --> 00:24:36.000]   Um, so the first principles that they had is, like, maybe the model should assume charitable interpretation of what the person is asking without being harmful.
[00:24:36.000 --> 00:24:48.000]   Um, so instead of, you know, crafted dialogue between two characters who are planning a complex heist, the model would refuse because it's not comfortable with that.
[00:24:48.000 --> 00:24:51.000]   But the model should have much more charitable interpretation.
[00:24:51.000 --> 00:24:55.000]   And, you know, this is a creative writing prompt, so probably it should respond.
[00:24:55.000 --> 00:25:04.000]   Um, and other principles that we've kind of, like, thought about is, like, how do we actually use non-verbal communication, non-violent communication principles?
[00:25:04.000 --> 00:25:20.000]   Um, you know, maybe the model should, um, refuse, um, more, like, I statements instead of, and take responsibility for its own refusal instead of saying U statements or any judgment to the user.
[00:25:20.000 --> 00:25:28.000]   Um, ask if the user would be willing to make some changes, so Claude can be more comfortable with its boundaries.
[00:25:28.000 --> 00:25:32.000]   That's another kind of, like, very nuanced behavior we wanted to teach the model.
[00:25:32.000 --> 00:25:38.000]   So, um, you know, then the model needs to know what its boundaries are.
[00:25:38.000 --> 00:25:42.000]   Um, and this is, like, much more of a matter, kind of, post-training learning.
[00:25:42.000 --> 00:25:45.000]   Um, yeah, and also, like, acknowledges impact.
[00:25:45.000 --> 00:25:55.000]   Like, I know this may be annoying to you, and this is, like, much more empathetic answer than saying, you know, um, I don't want to respond to this.
[00:25:55.000 --> 00:26:01.000]   Um, and then, you know, I think we've kind of came up with different, like, refusal taxonomy.
[00:26:01.000 --> 00:26:06.000]   There are, like, benign, uh, over-refusals on, like, homeless prompts.
[00:26:06.000 --> 00:26:09.000]   Um, there were creative writing of refusals.
[00:26:09.000 --> 00:26:16.000]   Um, and, uh, there are actually some of the interesting refusals were around, um, tool calls or function calls.
[00:26:16.000 --> 00:26:24.000]   Um, it might have access, uh, had a tool to view a note, but actually would say, I can't see your notes.
[00:26:24.000 --> 00:26:26.000]   Um, and why is this happening?
[00:26:26.000 --> 00:26:27.000]   Um, yeah.
[00:26:27.000 --> 00:26:36.000]   So, other, yeah, other, uh, taxonomies of refusals at that time was, like, you know, long document attachments.
[00:26:36.000 --> 00:26:41.000]   If I upload the document, it would just say, like, I don't have a capability to read this document.
[00:26:41.000 --> 00:26:42.000]   Like, why?
[00:26:42.000 --> 00:26:47.000]   Um, so something in the data might have been causing this.
[00:26:47.000 --> 00:26:58.000]   Um, and misdirected refusals, um, when they, um, you know, it kind of, like, took interpretation, um, of the user.
[00:26:58.000 --> 00:27:06.000]   And it should have had, like, much more charitable, charitable view of the user during, um, yeah.
[00:27:06.000 --> 00:27:11.000]   So, you kind of construct this, like, categories, um, of various refusals.
[00:27:11.000 --> 00:27:17.000]   Because, you know, if it's in every behavior or, like, a capability that you want to, like, post in the model,
[00:27:17.000 --> 00:27:21.000]   you have, like, various use cases and various edge cases.
[00:27:21.000 --> 00:27:25.000]   And you kind of want to be approached for some more nuance.
[00:27:25.000 --> 00:27:33.000]   Um, and, yeah, like, so the first thing in every research project is, like, how do you actually, what evals do we build to trust?
[00:27:33.000 --> 00:27:35.000]   And, like, what evals do we build to trust?
[00:27:35.000 --> 00:27:47.000]   Um, and there are, um, for subjective things like this, or for class, obviously, evals for certain tasks, class of tasks, like math, would be very, very different from what is here.
[00:27:47.000 --> 00:27:52.000]   Um, so, in terms of refusals, um, how did we construct the evals?
[00:27:52.000 --> 00:27:54.000]   Well, first, it's, like, product of Flywheel, right?
[00:27:54.000 --> 00:27:59.000]   Like, we have all the users and manually collected prompts that wouldn't use refusals.
[00:27:59.000 --> 00:28:06.000]   Uh, we can also, like, send data to generate diverse prompts on the borderline between harmfulness and helpfulness.
[00:28:06.000 --> 00:28:12.000]   And those are prompts are around, like, creative writing, um, like, edgy creative writing, as we call it.
[00:28:12.000 --> 00:28:17.000]   Um, and you can also use other evals.
[00:28:17.000 --> 00:28:19.000]   You kind of want to construct a suite of evals.
[00:28:19.000 --> 00:28:23.000]   Um, like, X-test was, like, 200 non-malicious prompts.
[00:28:23.000 --> 00:28:30.000]   Um, wild chat data set, um, a collection of diverse user chatbot interactions with ambiguous requests.
[00:28:30.000 --> 00:28:32.000]   Topic switching political discussions.
[00:28:32.000 --> 00:28:35.000]   So, you can also, um, use some of the open source benchmarks.
[00:28:35.000 --> 00:28:37.000]   Um, yeah.
[00:28:37.000 --> 00:28:45.000]   And I think, like, general approaches, not particularly what has happened with cloud, but, like, more of a general approach to the model behavior
[00:28:45.000 --> 00:28:49.000]   frustrating is that, you know, you kind of want to, like, look at the data, clean up the data.
[00:28:49.000 --> 00:29:00.000]   Um, you might want to consider either, like, collect targeted human feedback collection for supervised fine-tuning or preference modeling, reward modeling.
[00:29:00.000 --> 00:29:04.000]   Or you might not want to do that because human feedback is very costly.
[00:29:04.000 --> 00:29:11.000]   And now, especially with reasoning models, um, right, you might want to just not have any human feedback.
[00:29:11.000 --> 00:29:19.000]   And control was, like, synthetically generating some of the behavioral changes, uh, like a preference data to trained reward models.
[00:29:19.000 --> 00:29:21.000]   Um, and do RL.
[00:29:21.000 --> 00:29:31.000]   So, I think, uh, at that time, you know, I think this is, like, more employing, uh, constitutional AI, uh, principles of those, uh, anti-refusal behaviors.
[00:29:31.000 --> 00:29:39.000]   And create a preference data, where you only change one particular feature within your pairs, let's say, of preferences.
[00:29:39.000 --> 00:29:49.000]   You only want to control, um, one change that, in that pair, uh, to have much more control over the reward model data.
[00:29:49.000 --> 00:30:03.000]   Because if you can, like, the dumbest, simplest thing that you can do is, like, take, um, a preference, like, take a response from model A and take a response from model B and prefer B over A.
[00:30:03.000 --> 00:30:12.000]   But, um, it doesn't necessarily reduce, um, or fix the spurious features that the model will learn that you don't actually want to.
[00:30:12.000 --> 00:30:16.000]   Um, so you kind of want to craft this distribution.
[00:30:16.000 --> 00:30:21.000]   Um, yeah, so this is mostly around, like, crafting the distribution of the data that you want.
[00:30:21.000 --> 00:30:26.000]   Um, and actually, yeah, look at the data, like, you would debug software.
[00:30:26.000 --> 00:30:31.000]   Like, each refusal might be caused by different data sets, right?
