
[00:00:00.000 --> 00:00:03.000]   Radical Personal Finance coaching call this morning.
[00:05:04.000 --> 00:05:13.000]   I seriously considered canceling the trip but by then I had made so many plans and I made such an investment that I decided I needed to go ahead and go.
[00:05:13.000 --> 00:05:20.000]   Well, it was an extremely difficult time on my wife.
[00:05:20.000 --> 00:05:22.000]   It was extremely challenging.
[00:05:22.000 --> 00:05:26.000]   But it was only even made possible due to the fact of family support.
[00:05:26.000 --> 00:05:32.000]   My mom – while I was gone, my mother helped my wife every day, basically all day, helping take care of the kids.
[00:05:32.000 --> 00:05:37.000]   Even with the help, it was extremely challenging.
[00:05:37.000 --> 00:05:43.000]   But without the help, without that social support, it would have been impossible.
[00:05:43.000 --> 00:05:48.000]   Now, things like that don't often fit well into the financial planning paradigm.
[00:05:48.000 --> 00:05:53.000]   How do you hire somebody to do childcare for you for a number of days?
[00:05:53.000 --> 00:05:56.000]   It's not just on a short-term basis.
[00:05:56.000 --> 00:06:01.000]   It's hard to – even if you did want to hire and were going to hire that type of work done on a short-term basis.
[00:06:01.000 --> 00:06:07.000]   It's hard to figure out where would you find somebody that was qualified and capable and desirous to do that type of work for a number of days.
[00:06:07.000 --> 00:06:13.000]   But just the type and the nature of the work doesn't fit well into the money economy.
[00:06:13.000 --> 00:06:15.000]   It's part of the social economy.
[00:06:15.000 --> 00:06:22.000]   And I'm incredibly grateful for all the work that my mother did to help me even in those days.
[00:06:22.000 --> 00:06:25.000]   You can't repay somebody for things like that.
[00:06:25.000 --> 00:06:29.000]   All you can do is just be grateful and look to serve and to love in turn.
[00:06:29.000 --> 00:06:37.000]   Coming back, worked hard to get things going and then even transitioning and working hard to get my house ready to go and get the apartment ready to move into.
[00:06:37.000 --> 00:06:48.000]   I had a number of friends and a number of family members who volunteered hours and hours and hours of their time even up until today even, volunteering to help me.
[00:06:48.000 --> 00:06:51.000]   And I couldn't have made the progress that I've made.
[00:06:51.000 --> 00:06:58.000]   My family wouldn't have been able to make this transition as quickly and easily as possible without all the tremendous help.
[00:06:58.000 --> 00:07:00.000]   I'm forever grateful.
[00:07:00.000 --> 00:07:10.000]   And it's help that frankly I couldn't even afford to pay, the thousands of dollars for people that have volunteered their time and their energy and just give it to me.
[00:07:10.000 --> 00:07:19.000]   And I'm sharing some of these personal details just simply because it's real to me and I hope it's an encouragement to you because, A, I'm humbled.
[00:07:19.000 --> 00:07:33.000]   But it also is reinvigorating and reinspiring to me to recognize the blessing that others have been in my life and to think about, "Am I being proactive with helping and blessing others?"
[00:07:33.000 --> 00:07:40.000]   That's the type of question that's best suited for simply consideration without actually answering it.
[00:07:40.000 --> 00:07:44.000]   Because if I say yes, well, number one, am I really?
[00:07:44.000 --> 00:07:45.000]   Am I fooling myself?
[00:07:45.000 --> 00:07:48.000]   But it's just worth considering.
[00:07:48.000 --> 00:07:52.000]   And it's one of those ideals and focuses that one should continue moving toward.
[00:07:52.000 --> 00:08:02.000]   But this has been compounded with the fact that while I've been working, I have actually read two books or listened to two audio books about the history of money.
[00:08:02.000 --> 00:08:03.000]   Book review is coming soon.
[00:08:03.000 --> 00:08:08.000]   But this has been part of my project of trying to dig into on this show more about money, some of the background.
[00:08:08.000 --> 00:08:14.000]   I want to dig into more of monetary – the monetary system because it's an important topic.
[00:08:14.000 --> 00:08:32.000]   And I've been trying to figure out how on earth do I bring the topic to you, my audience, in a way that's helpful and that's clear without – and it's accurate without being too far influenced to an ideological camp that doesn't need to be entered into.
[00:08:32.000 --> 00:08:39.000]   So as I've been working, the two of the money books that I've listened to, one has been called – one is called Money, an Unauthorized Biography.
[00:08:39.000 --> 00:08:43.000]   And the other was called Coined, something about history of money.
[00:08:43.000 --> 00:08:47.000]   And both of them have talked about the giving economy and the gift economy.
[00:08:47.000 --> 00:08:56.000]   And they've talked about the fact that economy – money was an institution that was put into an existing economy.
[00:08:56.000 --> 00:09:07.000]   When you think about that from a practical perspective, it helps you to see through the monetary unit to what's actually happening.
[00:09:07.000 --> 00:09:12.000]   The personal definition that I think of money is simply a representation of value.
[00:09:12.000 --> 00:09:15.000]   It's a representation of a transfer of value.
[00:09:15.000 --> 00:09:18.000]   That's a pretty accurate definition of money.
[00:09:18.000 --> 00:09:21.000]   But in order to get some, you got to build some value.
[00:09:21.000 --> 00:09:36.000]   And as I've been thinking about the social economy, I've realized that the work that people have done to help me in the way that people have contributed to my life is something that I won't pay them for directly with money now.
[00:09:36.000 --> 00:09:38.000]   And I can't.
[00:09:38.000 --> 00:09:42.000]   But I hope to repay the debt at some point in the future.
[00:09:42.000 --> 00:09:46.000]   And that has a real financial impact.
[00:09:46.000 --> 00:09:58.000]   For example, it's – and any person who has parents and they have a loving relationship, no child – most children would not ever want their parents to suffer.
[00:09:58.000 --> 00:10:02.000]   They would not ever want their parents to be in need or in want.
[00:10:02.000 --> 00:10:04.000]   If anybody had the capacity to help their parents, they would.
[00:10:04.000 --> 00:10:09.000]   Most families that have a normal family bond are going to have that type of connection.
[00:10:09.000 --> 00:10:32.000]   But when parents have really invested in the lives of their children, especially their adult children, when I see, for example, the incredible blessing that my father and mother have been in my life over the last weeks, there's not a chance in the world that I would ever – if I had the means or capacity to change things, that I would ever let them be in want or in need.
[00:10:32.000 --> 00:10:38.000]   If I had the money and the resources to support them and they were in need, there's not a chance in the world that I would ever do that.
[00:10:38.000 --> 00:10:52.000]   So it's interesting to me as the interplay between the social economy and the work that we do now and the potential dividends of it later on, even if the transaction is not measured in terms of dollars.
[00:10:52.000 --> 00:11:04.000]   Because the way that my parents have invested in my life over the last weeks, if they needed it, would have a very significant financial return for them in their older years.
[00:11:04.000 --> 00:11:06.000]   Now, I don't think they'll need it.
[00:11:06.000 --> 00:11:08.000]   I think they're going to be fine on their own.
[00:11:08.000 --> 00:11:18.000]   But when you start to build goodwill and you start to build equity in the social marketplace, that equity has a major value.
[00:11:18.000 --> 00:11:26.000]   Think of it – in one of the books, they were talking about the gift economy and the best example of this is thinking about when people help you move.
[00:11:26.000 --> 00:11:28.000]   I recently moved.
[00:11:28.000 --> 00:11:36.000]   I had a number of friends that I called on and all of them stepped to the plate and just did an incredible amount of work to help me move.
[00:11:36.000 --> 00:11:38.000]   Well, I didn't pay them.
[00:11:38.000 --> 00:11:41.000]   I didn't – I could have hired movers but I didn't.
[00:11:41.000 --> 00:11:43.000]   I had friends that helped.
[00:11:43.000 --> 00:11:46.000]   But yet they did – that did – excuse me.
[00:11:46.000 --> 00:11:55.000]   That did create for them a measure of equity, a debt that I owe them that I will seek to repay at some point in the future.
[00:11:55.000 --> 00:12:14.000]   The other specifically financial aspect that I've been thinking about has been in terms of that social debt and that social obligation and how it impacts the extent – my feelings, my personal feelings on the extent to which I'd be willing to go to help somebody.
[00:12:14.000 --> 00:12:24.000]   There are people who have been – there are people who have stepped in at some point around the edges of the social economy in my life in times past.
[00:12:24.000 --> 00:12:29.000]   And they've helped out a little bit on something here and they've helped out a little bit on something there.
[00:12:29.000 --> 00:12:42.000]   But in watching them, I've realized that they're the type of person who – something of their character has shown through and I'm trying to be very careful here simply to be accurate.
[00:12:42.000 --> 00:12:46.000]   Because when somebody helps you out, it's an incredible blessing.
[00:12:46.000 --> 00:12:56.000]   But you know how sometimes you – maybe you're at a job site and there's that employee, that coworker who you can just watch the person and you – everybody knows that they don't work.
[00:12:56.000 --> 00:12:58.000]   Everybody knows that they don't produce much.
[00:12:58.000 --> 00:13:02.000]   Everybody knows that essentially what they are is a drain on everyone else all around.
[00:13:02.000 --> 00:13:04.000]   Everyone knows it but nobody says it.
[00:13:04.000 --> 00:13:07.000]   Well, the same thing happens in the social economy.
[00:13:07.000 --> 00:13:11.000]   The same thing happens in the normal circumstances of life.
[00:13:11.000 --> 00:13:18.000]   Or we all know who that coworker is, who is extremely productive and extremely focused and extremely diligent.
[00:13:18.000 --> 00:13:23.000]   What's interesting is that person is the same kind of person that you're probably glad to have you there helping to move.
[00:13:23.000 --> 00:13:29.000]   Or that's the person that you call on when you're trying to do some landscaping or build a deck onto the back of your house.
[00:13:29.000 --> 00:13:37.000]   So the motivation that it comes from me is to say, "Am I that type of person all the time?"
[00:13:37.000 --> 00:13:48.000]   Because if I compare different people who have helped me in – even in recent months or in past years of my life, there are some people who, if they were in need, they were in need of a job.
[00:13:48.000 --> 00:13:50.000]   They were in need of connections.
[00:13:50.000 --> 00:13:57.000]   I could absolutely, unequivocally affirm their value in the workplace.
[00:13:57.000 --> 00:14:05.000]   I could endorse them wholeheartedly and I would bend over backwards and move everything that I could to help them in a time of need.
[00:14:05.000 --> 00:14:12.000]   Consider the impact that this would play in, say, a time of recession where people are losing their jobs.
[00:14:12.000 --> 00:14:29.000]   Consider the impact of somebody who's demonstrated their work ethic, demonstrated their character, their integrity in non-paid social situations to where when they need a job and they call their friends up – hopefully I would be one – and they say, "Joshua, hey, would you be willing to help me get a job? Do you know of anything?"
[00:14:29.000 --> 00:14:36.000]   I would dedicate hours and hours and hours of my week to do everything I could to help them make a connection.
[00:14:36.000 --> 00:14:44.000]   There's no guarantee that I would be able to make that connection, but I would do everything that I could to help them.
[00:14:44.000 --> 00:15:00.000]   If you compare that, however, to somebody who in a social situation has demonstrated a lack of work ethic or a lack of integrity and that same person makes the call, I might make a token effort, but I'd be much less likely to do everything that I could.
[00:15:00.000 --> 00:15:04.000]   I'd be much less likely to call everybody that I could.
[00:15:04.000 --> 00:15:19.000]   So as I consider that – and here's my encouragement for you this week – I am reinvigorated to ask myself the questions of, number one, am I caring for other people in their times of need?
[00:15:19.000 --> 00:15:24.000]   Because I've been in that place of need of not being a giver but being a recipient.
[00:15:24.000 --> 00:15:29.000]   It's humbling to be a receiver, but it's also been an incredible blessing.
[00:15:29.000 --> 00:15:34.000]   I'm so grateful to those who have helped me, and I know the impact that it's made.
[00:15:34.000 --> 00:15:45.000]   When a friend brings you dinner unexpectedly and just says without advance notice, just says, "Hey, by the way, I'm going to bring you guys dinner over," those types of gestures make a big difference.
[00:15:45.000 --> 00:15:53.000]   When somebody volunteers hours of their time to help you, those things make a big difference, and they're very humbling.
[00:15:53.000 --> 00:16:00.000]   It's an incredible blessing, and so I've been reinvigorated to say, "Am I being a blessing to others? Am I encouraging others?"
[00:16:00.000 --> 00:16:07.000]   Then the other aspect is, "Am I being a good giver and am I always working consistently and diligently?"
[00:16:07.000 --> 00:16:21.000]   Because in the same way that the input that people have made in my life over the last weeks creates a social obligation for me, then it's an obligation I'm happy to have, wanting to help them out.
[00:16:21.000 --> 00:16:30.000]   The question is, "Have I been diligent? Am I being diligent in times when I'm not in need to do that for others?"
[00:16:30.000 --> 00:16:42.000]   I believe this is something that as we begin the week, I'd encourage you to consider it in your life with me and also to consider how you can train it if you have children.
[00:16:42.000 --> 00:16:54.000]   The majority of who I am, my character, any – most of the character qualities that I have was shaped by my parents, and those things can't be faked.
[00:16:54.000 --> 00:17:06.000]   It's very difficult for somebody who's a 45-year-old man to have somebody come along and say, "Hey, by the way, Joe, you might need to consider adjusting some things in your character."
[00:17:06.000 --> 00:17:12.000]   But it's a lot easier for a 15-year-old man to hear that.
[00:17:12.000 --> 00:17:15.000]   So consider, are you training your children?
[00:17:15.000 --> 00:17:25.000]   That's one of the key lessons that I have been taking also for the last few weeks to say to myself, "Am I being diligent with training my children?"
[00:17:25.000 --> 00:17:30.000]   First, am I modeling all of the character qualities and attributes that I desire for them to have?
[00:17:30.000 --> 00:17:35.000]   Am I a person of integrity? Are they real in me?
[00:17:35.000 --> 00:17:40.000]   Is that virtue real or is it something that I'm trying to show off because you can't fake it.
[00:17:40.000 --> 00:17:49.000]   Everyone can smell a hypocrite, and people are quite happy to expose hypocrisy when it comes out.
[00:17:49.000 --> 00:17:53.000]   So first, am I modeling it but also am I training it?
[00:17:53.000 --> 00:18:08.000]   As I've been working on the house, I've had opportunity to hire some people. I've hired some day laborers, but I've also hired some teenagers that I know that are friends of mine to help me with some simple tasks, some landscaping tasks and things like that.
[00:18:08.000 --> 00:18:19.000]   And in hiring them, I've tried to kind of help them share that lesson because I've watched financial success.
[00:18:19.000 --> 00:18:21.000]   This is one of those lessons where you're not often taught.
[00:18:21.000 --> 00:18:29.000]   I have never asked my friends their GPAs, and I've never been asked my GPA in a job interview.
[00:18:29.000 --> 00:18:41.000]   But I've watched my friends' work ethics, and that's something that I would convey in a – if somebody were in need of a job.
[00:18:41.000 --> 00:18:49.000]   So when you think about the actual impact financially in your life, focus of these character qualities.
[00:18:49.000 --> 00:18:51.000]   Think about the importance of work ethic.
[00:18:51.000 --> 00:18:55.000]   Think about the importance of demonstrating, developing, improving character.
[00:18:55.000 --> 00:19:02.000]   Think about the importance of being a consistent person and constantly giving.
[00:19:02.000 --> 00:19:07.000]   It's almost become a cliche to use the term "providing value."
[00:19:07.000 --> 00:19:11.000]   But it really is a big difference, providing value, giving value.
[00:19:11.000 --> 00:19:19.000]   Again, I love the title of Bob Berg's book called The Go-Giver.
[00:19:19.000 --> 00:19:25.000]   In my mind, it's a beautiful parable of a truth in life.
[00:19:25.000 --> 00:19:39.000]   Being a go-giver, got to give first, and then when you're in a time of need, whether or not you deserve it, you probably will be benefiting from other people.
[00:19:39.000 --> 00:19:42.000]   I hope these thoughts have been encouraging for you.
[00:19:42.000 --> 00:19:46.000]   They're just some of the thoughts and the ideas that are on my mind as I begin this week.
[00:19:46.000 --> 00:19:54.000]   I want to make sure to get a show done this morning just partly as saying thank you, as a note of gratitude for all those who have helped me.
[00:19:54.000 --> 00:19:56.000]   But I believe there's also a lesson in it.
[00:19:56.000 --> 00:19:58.000]   As I've been learning that lesson, I wanted to share it with you.
[00:19:58.000 --> 00:20:01.000]   I hope it was articulated in a manner that was clear.
[00:20:01.000 --> 00:20:03.000]   Be a go-giver this week.
[00:20:03.000 --> 00:20:09.000]   Help others, encourage others, and you can build for yourself equity in the social economy.
[00:20:09.000 --> 00:20:13.000]   Be thankful for the ways that people have helped you.
[00:20:13.000 --> 00:20:16.000]   Sometimes people help you when you deserve it.
[00:20:16.000 --> 00:20:20.000]   A lot of times, people help you when you don't.
[00:20:20.000 --> 00:20:31.000]   Many of you, I think of myself as a teenager and how I didn't deserve the help that I got, but people still were consistent and diligent to help me, and I'm so thankful for that.
[00:20:31.000 --> 00:20:33.000]   That's the basis of what I want to share with you this morning.
[00:20:33.000 --> 00:20:36.000]   I hope it's been encouraging as you start your week.
[00:20:36.000 --> 00:20:44.000]   Hopefully, this week, I plan today, Monday, I'm working hard to finish everything on the house, and then I'll be back to being able to focus on the show.
[00:20:44.000 --> 00:20:49.000]   I've got a lot of great show content prepared in the future, a lot of plans.
[00:20:49.000 --> 00:20:58.000]   It's just been a matter of executing them, and so hopefully this week, we'll start to turn the corner with a lot more excellent content for you, a number of additional interviews, and some more in-depth shows.
[00:20:58.000 --> 00:21:04.000]   Hoping this Friday to be prepared for a question-and-answer show.
[00:21:04.000 --> 00:21:08.000]   If you've got a question you'd like me to answer, feel free to call it in on the voicemail line.
[00:21:08.000 --> 00:21:09.000]   Just go to RadicalPersonalFinance.com.
[00:21:09.000 --> 00:21:11.000]   Find the little microphone button on the side.
[00:21:11.000 --> 00:21:13.000]   Click that and leave me a voicemail.
[00:21:13.000 --> 00:21:14.000]   I enjoy having those.
[00:21:14.000 --> 00:21:17.000]   I have a number of questions, and hopefully this Friday, I'll be able to do that.
[00:21:17.000 --> 00:21:21.000]   Also, thank you to all of you who are patrons of the show.
[00:21:21.000 --> 00:21:25.000]   I will be, if possible this week, I'll try to do the Q&A.
[00:21:25.000 --> 00:21:28.000]   Last month got derailed with technology issues.
[00:21:28.000 --> 00:21:31.000]   It may be this week or it may be next week, but keep an eye on your email.
[00:21:31.000 --> 00:21:37.000]   Excuse me, and on the Patreon site is where I share that information with you.
[00:21:37.000 --> 00:21:44.000]   Also, if this show has been beneficial or if the show is at all beneficial to you, I'd be thrilled if you would consider supporting the show on Patreon.
[00:21:44.000 --> 00:21:48.000]   Thank you to the—we've had several new patrons the last couple of days.
[00:21:48.000 --> 00:21:53.000]   As of today, Monday, August 31, we have 222 patrons supporting the show.
[00:21:53.000 --> 00:22:02.000]   If you find financial value in the content on Radical Personal Finance, please consider going to RadicalPersonalFinance.com/patron and signing up to become a patron.
[00:22:02.000 --> 00:22:04.000]   Thank you so much. Have a great week.
[00:22:04.000 --> 00:22:12.000]   Sweet Hop is an online marketplace curating the best in premium seating at stadiums, arenas, and amphitheaters nationwide.
[00:22:12.000 --> 00:22:19.000]   With Sweet Hop's 100% ticket guarantee, no hidden fees, and the personal, high-level service you expect with a premium purchase,
[00:22:19.000 --> 00:22:23.000]   you can relax, knowing you'll receive the luxury experience you deserve.
[00:22:23.000 --> 00:22:31.000]   Visit SweetHop.com today to book your premium tickets to your favorite teams, artists, and all the must-see live events to Sweet Hop Around L.A.
[00:22:31.000 --> 00:22:35.000]   S-U-I-T-E-H-O-P.com. It's more than just a ticket.

