
[00:00:00.000 --> 00:00:01.080]   Hey, everyone.
[00:05:31.480 --> 00:05:33.360]   to do image classification.
[00:05:33.360 --> 00:05:35.840]   And so a lot of it was, given an image,
[00:05:35.840 --> 00:05:38.000]   if we could predict the different attributes we have
[00:05:38.000 --> 00:05:41.280]   in our merchandising, and we can predict the text embeddings
[00:05:41.280 --> 00:05:46.840]   of the comments, then we can build a image vector or image
[00:05:46.840 --> 00:05:49.920]   embedding that can capture both descriptions of the clothing
[00:05:49.920 --> 00:05:51.600]   and sales of the clothing.
[00:05:51.600 --> 00:05:53.520]   And then we would use these additional vectors
[00:05:53.520 --> 00:05:56.360]   to augment our recommendation system.
[00:05:56.360 --> 00:05:59.000]   And so with this, the recommendation system
[00:05:59.000 --> 00:06:02.000]   really was just around, what are similar items?
[00:06:02.000 --> 00:06:03.240]   What are complementary items?
[00:06:03.240 --> 00:06:05.960]   What are items that you would wear in a single outfit?
[00:06:05.960 --> 00:06:08.360]   And being able to say, on a product page,
[00:06:08.360 --> 00:06:10.720]   let me show you 15, 20 more things.
[00:06:10.720 --> 00:06:13.260]   And then what we found was like, hey, when you turn that on,
[00:06:13.260 --> 00:06:14.120]   you make a bunch of money.
[00:06:14.120 --> 00:06:14.640]   Yeah.
[00:06:14.640 --> 00:06:17.320]   OK, so you didn't actually use GPT-3 embeddings.
[00:06:17.320 --> 00:06:19.160]   You fine-tuned your own.
[00:06:19.160 --> 00:06:21.520]   Because I was surprised that GPT-3 worked off the shelf.
[00:06:21.520 --> 00:06:23.400]   OK, OK.
[00:06:23.400 --> 00:06:26.560]   Because at this point, we would have 3 million pieces
[00:06:26.560 --> 00:06:28.920]   of inventory over a billion interactions
[00:06:28.920 --> 00:06:32.240]   between users and clothes.
[00:06:32.240 --> 00:06:34.080]   Any kind of fine-tuning would definitely
[00:06:34.080 --> 00:06:38.400]   outperform some off-the-shelf model.
[00:06:38.400 --> 00:06:39.400]   Cool.
[00:06:39.400 --> 00:06:41.240]   I'm about to move on from Stitch Fix.
[00:06:41.240 --> 00:06:44.000]   But any other fun stories from the Stitch Fix days
[00:06:44.000 --> 00:06:45.840]   that you want to cover?
[00:06:45.840 --> 00:06:47.160]   No, I think that's basically it.
[00:06:47.160 --> 00:06:49.000]   I mean, the biggest one, really, was the fact
[00:06:49.000 --> 00:06:50.560]   that, I think, for just four years,
[00:06:50.560 --> 00:06:54.080]   I was so bearish on language models and just NLP in general.
[00:06:54.080 --> 00:06:56.520]   I was like, oh, none of this really works.
[00:06:56.520 --> 00:06:58.320]   Why would I spend time focusing on this?
[00:06:58.320 --> 00:07:00.440]   I've got to go do the thing that makes money--
[00:07:00.440 --> 00:07:03.640]   recommendations, bounding boxes, image classification.
[00:07:03.640 --> 00:07:04.160]   Yeah.
[00:07:04.160 --> 00:07:07.240]   And now I'm prompting an image model.
[00:07:07.240 --> 00:07:09.880]   I was like, oh, man, I was wrong.
[00:07:09.880 --> 00:07:14.240]   I think-- OK, so my Stitch Fix question would be,
[00:07:14.240 --> 00:07:15.840]   I think you have a bit of a drip.
[00:07:15.840 --> 00:07:16.720]   And I don't.
[00:07:16.720 --> 00:07:21.480]   My primary wardrobe is free startup conference t-shirts.
[00:07:21.480 --> 00:07:26.040]   Should more technology brothers be using Stitch Fix?
[00:07:26.040 --> 00:07:28.120]   Or what's your fashion advice?
[00:07:28.120 --> 00:07:31.160]   Oh, man, I mean, I'm not a user of Stitch Fix, right?
[00:07:31.160 --> 00:07:35.480]   It's like, I enjoy going out and touching things and putting
[00:07:35.480 --> 00:07:37.360]   things on and trying them on, right?
[00:07:37.360 --> 00:07:39.440]   I think Stitch Fix is a place where you kind of go
[00:07:39.440 --> 00:07:42.080]   because you want the work offloaded.
[00:07:42.080 --> 00:07:44.840]   Whereas I really love the clothing
[00:07:44.840 --> 00:07:46.880]   I buy where I have to--
[00:07:46.880 --> 00:07:50.480]   when I land in Japan, I'm doing a 45-minute walk up a giant hill
[00:07:50.480 --> 00:07:52.480]   to find this weird denim shop.
[00:07:52.480 --> 00:07:54.520]   That's the stuff that really excites me.
[00:07:54.520 --> 00:07:56.840]   But I think the bigger thing that's really captured
[00:07:56.840 --> 00:08:03.280]   is this idea that narrative matters a lot to human beings.
[00:08:03.280 --> 00:08:05.160]   And I think the recommendation system,
[00:08:05.160 --> 00:08:07.240]   that's really hard to capture.
[00:08:07.240 --> 00:08:08.200]   It's easy to sell--
[00:08:08.200 --> 00:08:10.680]   it's easy to use AI to sell a $20 shirt.
[00:08:10.680 --> 00:08:14.200]   But it's really hard for AI to sell a $500 shirt.
[00:08:14.200 --> 00:08:16.600]   But people are buying $500 shirts, you know what I mean?
[00:08:16.600 --> 00:08:19.200]   There's definitely something that we can't really
[00:08:19.200 --> 00:08:21.640]   capture just yet that we probably will figure out
[00:08:21.640 --> 00:08:24.120]   how to in the future.
[00:08:24.120 --> 00:08:26.440]   Well, it'll probably-- I'll put in JSON,
[00:08:26.440 --> 00:08:28.640]   which is what we're going to turn to next.
[00:08:28.640 --> 00:08:31.760]   So then you went on a sabbatical to South Park Commons
[00:08:31.760 --> 00:08:34.600]   in New York, which is unusual because it's usually--
[00:08:34.600 --> 00:08:39.800]   Yeah, so basically in 2020, really, I
[00:08:39.800 --> 00:08:41.820]   was just enjoying working a lot.
[00:08:41.820 --> 00:08:43.600]   And so I was just building a lot of stuff.
[00:08:43.600 --> 00:08:46.360]   This is where we were making the tens of millions of dollars
[00:08:46.360 --> 00:08:47.640]   doing stuff.
[00:08:47.640 --> 00:08:49.520]   And then I had a hand injury, and so I really
[00:08:49.520 --> 00:08:52.840]   couldn't code anymore for about a year, two years.
[00:08:52.840 --> 00:08:55.640]   And so I kind of took half of it as medical leave.
[00:08:55.640 --> 00:08:57.600]   The other half, I became more of a tech lead,
[00:08:57.600 --> 00:09:01.320]   just making sure the systems or lights were on.
[00:09:01.320 --> 00:09:03.920]   And then when I went to New York,
[00:09:03.920 --> 00:09:06.400]   I spent some time there and kind of just wound down
[00:09:06.400 --> 00:09:09.560]   the tech work, did some pottery, did some jiu jitsu.
[00:09:09.560 --> 00:09:14.960]   And after GBD came out, I was like, oh, I clearly
[00:09:14.960 --> 00:09:17.720]   need to figure out what is going on here because something
[00:09:17.720 --> 00:09:20.120]   feels very magical, and I don't understand it.
[00:09:20.120 --> 00:09:23.200]   So I spent basically five months just prompting and playing
[00:09:23.200 --> 00:09:24.600]   around with stuff.
[00:09:24.600 --> 00:09:26.960]   And then afterwards, it was just my startup friends
[00:09:26.960 --> 00:09:29.800]   going like, hey, Jason, my investors
[00:09:29.800 --> 00:09:31.760]   want us to have an AI strategy.
[00:09:31.760 --> 00:09:33.120]   Can you help us out?
[00:09:33.120 --> 00:09:35.680]   And it just snowballed more and more
[00:09:35.680 --> 00:09:38.680]   until I was making this my full-time job.
[00:09:38.680 --> 00:09:42.640]   And you had YouTube University and a journaling app,
[00:09:42.640 --> 00:09:44.440]   a bunch of other explorations.
[00:09:44.440 --> 00:09:47.280]   But it seems like the most productive
[00:09:47.280 --> 00:09:50.360]   or the most best-known thing that came out of your time
[00:09:50.360 --> 00:09:51.720]   there was Instructor.
[00:09:51.720 --> 00:09:54.960]   Yeah, written on the bullet train in Japan.
[00:09:54.960 --> 00:09:57.080]   Well, tell us the origin story.
[00:09:57.080 --> 00:10:00.240]   Yeah, I mean, I think at some point,
[00:10:00.240 --> 00:10:03.240]   tools like Guardrails that Marvin came out,
[00:10:03.240 --> 00:10:06.000]   those are kind of tools that use XML and Pytantic
[00:10:06.000 --> 00:10:07.560]   to get structured data out.
[00:10:07.560 --> 00:10:10.720]   But they really were doing things sort of in the prompt.
[00:10:10.720 --> 00:10:14.080]   And these are built with sort of the Instruct models in mind.
[00:10:14.080 --> 00:10:17.160]   And I really-- like, I'd already done that in the past.
[00:10:17.160 --> 00:10:18.800]   At Stitch Fix, one of the things we did
[00:10:18.800 --> 00:10:22.720]   was we would take a request note and turn that into a JSON
[00:10:22.720 --> 00:10:26.960]   object that we would use to send it to our search engine, right?
[00:10:26.960 --> 00:10:29.440]   So if you said, like, I wanted skinny jeans that
[00:10:29.440 --> 00:10:31.720]   were this size, that would turn into JSON
[00:10:31.720 --> 00:10:34.360]   that we would send to our internal search APIs.
[00:10:34.360 --> 00:10:35.960]   It always felt kind of gross.
[00:10:35.960 --> 00:10:37.840]   A lot of it is just, like, you read the JSON,
[00:10:37.840 --> 00:10:40.000]   you parse it, you make sure the names are strings
[00:10:40.000 --> 00:10:43.520]   and ages are numbers, and you do all this messy stuff.
[00:10:43.520 --> 00:10:45.480]   But when Function Calling came out,
[00:10:45.480 --> 00:10:48.480]   it was very much sort of a new way of doing things.
[00:10:48.480 --> 00:10:50.800]   Function Calling lets you define the schema
[00:10:50.800 --> 00:10:54.440]   separate from the data and the instructions.
[00:10:54.440 --> 00:10:57.160]   And what this meant was you can kind
[00:10:57.160 --> 00:10:59.000]   of have a lot more complex schemas
[00:10:59.000 --> 00:11:01.200]   and just map them in Pydantic.
[00:11:01.200 --> 00:11:03.160]   And then you can just keep those very separate.
[00:11:03.160 --> 00:11:04.700]   And then once you add, like, methods,
[00:11:04.700 --> 00:11:07.060]   you can add validators and all that kind of stuff.
[00:11:07.060 --> 00:11:09.520]   The one thing I really had with a lot of these libraries,
[00:11:09.520 --> 00:11:11.960]   though, was it was doing a lot of the string formatting
[00:11:11.960 --> 00:11:15.520]   themselves, which was fine when it was the instruction tune
[00:11:15.520 --> 00:11:16.000]   models.
[00:11:16.000 --> 00:11:17.480]   You just have a string.
[00:11:17.480 --> 00:11:19.840]   But when you have these new chat models,
[00:11:19.840 --> 00:11:21.320]   you have these chat messages.
[00:11:21.320 --> 00:11:24.680]   And I just didn't really feel like not
[00:11:24.680 --> 00:11:26.560]   being able to access that for the developer
[00:11:26.560 --> 00:11:30.480]   was sort of a good benefit that they would get.
[00:11:30.480 --> 00:11:34.240]   And so I just said, let me write the most simple SDK
[00:11:34.240 --> 00:11:39.120]   around the OpenAI SDK, simple wrapper on the SDK,
[00:11:39.120 --> 00:11:41.240]   just handle the response model a bit,
[00:11:41.240 --> 00:11:44.880]   and kind of think of myself more like requests
[00:11:44.880 --> 00:11:46.680]   than actual framework that people can use.
[00:11:46.680 --> 00:11:48.360]   And so the goal is, hey, this is something
[00:11:48.360 --> 00:11:50.360]   that you can use to build your own framework.
[00:11:50.360 --> 00:11:51.980]   But let me just do all the boring stuff
[00:11:51.980 --> 00:11:53.600]   that nobody really wants to do.
[00:11:53.600 --> 00:11:55.360]   People want to build their own frameworks.
[00:11:55.360 --> 00:11:59.640]   People don't want to build JSON parsing.
[00:11:59.640 --> 00:12:02.080]   And the retrying and all that other stuff.
[00:12:02.080 --> 00:12:03.200]   Yeah.
[00:12:03.200 --> 00:12:05.960]   Yeah, we had a little bit of this discussion before the show.
[00:12:05.960 --> 00:12:09.320]   But that design principle of going for being requests
[00:12:09.320 --> 00:12:16.320]   rather than being Django, what inspires you there?
[00:12:16.320 --> 00:12:18.280]   This has come from a lot of prior pain.
[00:12:18.280 --> 00:12:20.760]   Are there other open source projects
[00:12:20.760 --> 00:12:23.040]   that kind of inspired your philosophy here?
[00:12:23.040 --> 00:12:25.000]   Yeah, I mean, I think it would be requests.
[00:12:25.000 --> 00:12:29.280]   I think it is just the obvious thing you install.
[00:12:29.280 --> 00:12:33.660]   If you were going to go make HTTP requests in Python,
[00:12:33.660 --> 00:12:35.260]   you would obviously import requests.
[00:12:35.260 --> 00:12:36.920]   Maybe if you want to do more async work,
[00:12:36.920 --> 00:12:38.320]   there's future tools.
[00:12:38.320 --> 00:12:40.960]   But you don't really even think about installing it.
[00:12:40.960 --> 00:12:42.960]   And when you do install it, you don't think of it
[00:12:42.960 --> 00:12:46.640]   as like, oh, this is a requests app.
[00:12:46.640 --> 00:12:48.360]   No, this is just Python.
[00:12:48.360 --> 00:12:50.360]   The bigger question is, a lot of people
[00:12:50.360 --> 00:12:52.360]   ask questions like, oh, why isn't requests
[00:12:52.360 --> 00:12:54.700]   in the standard library?
[00:12:54.700 --> 00:12:56.360]   That's how I want my library to feel.
[00:12:56.360 --> 00:12:59.640]   It's like, oh, if you're going to use the LLM SDKs,
[00:12:59.640 --> 00:13:01.780]   you're obviously going to install Instructor.
[00:13:01.780 --> 00:13:03.880]   And then I think the second question would be, oh,
[00:13:03.880 --> 00:13:06.240]   how come Instructor doesn't just go into OpenAI,
[00:13:06.240 --> 00:13:07.400]   go into Anthropic?
[00:13:07.400 --> 00:13:09.200]   If that's the conversation we're having,
[00:13:09.200 --> 00:13:11.360]   that's where I feel like I've succeeded.
[00:13:11.360 --> 00:13:14.480]   Yeah, it's so standard, you may as well
[00:13:14.480 --> 00:13:16.960]   just have it in the base libraries.
[00:13:16.960 --> 00:13:20.000]   And the shape of the request has stayed the same.
[00:13:20.000 --> 00:13:22.320]   But initially, function calling was maybe
[00:13:22.320 --> 00:13:24.560]   equal structure outputs for a lot of people.
[00:13:24.560 --> 00:13:28.280]   I think now the models also support JSON mode
[00:13:28.280 --> 00:13:29.320]   and some of these things.
[00:13:29.320 --> 00:13:33.060]   And return JSON on my grandma is going to die.
[00:13:33.060 --> 00:13:35.400]   All of that stuff is maybe to decide.
[00:13:35.400 --> 00:13:37.320]   How have you seen that evolution?
[00:13:37.320 --> 00:13:39.320]   Maybe what's the meta game today?
[00:13:39.320 --> 00:13:42.200]   Should people just forget about function calling for structure
[00:13:42.200 --> 00:13:42.720]   outputs?
[00:13:42.720 --> 00:13:46.080]   Or when is structure output, like JSON mode,
[00:13:46.080 --> 00:13:47.360]   the best versus not?
[00:13:47.360 --> 00:13:48.860]   We'd love to get any thoughts, given
[00:13:48.860 --> 00:13:50.160]   that you do this every day.
[00:13:50.160 --> 00:13:51.880]   Yeah, I would almost say these are
[00:13:51.880 --> 00:13:54.080]   like different implementations of--
[00:13:54.080 --> 00:13:55.720]   the real thing we care about is the fact
[00:13:55.720 --> 00:13:58.200]   that now we have typed responses to language models.
[00:13:58.200 --> 00:13:59.960]   And because we have that type response,
[00:13:59.960 --> 00:14:01.400]   my ID is a little bit happier.
[00:14:01.400 --> 00:14:02.880]   I get autocomplete.
[00:14:02.880 --> 00:14:04.580]   If I'm using the response wrong, there's
[00:14:04.580 --> 00:14:05.920]   a little red squiggly line.
[00:14:05.920 --> 00:14:07.560]   Those are the things I care about.
[00:14:07.560 --> 00:14:09.720]   In terms of whether or not JSON mode is better,
[00:14:09.720 --> 00:14:12.160]   I usually think it's almost worse
[00:14:12.160 --> 00:14:15.500]   unless you want to spend less money on the prompt tokens
[00:14:15.500 --> 00:14:18.880]   that the function call represents.
[00:14:18.880 --> 00:14:20.300]   Primarily because with JSON mode,
[00:14:20.300 --> 00:14:23.280]   you don't actually specify the schema.
[00:14:23.280 --> 00:14:24.840]   So sure, JSON load works.
[00:14:24.840 --> 00:14:26.800]   But really, I care a lot more than just the fact
[00:14:26.800 --> 00:14:28.880]   that it is JSON.
[00:14:28.880 --> 00:14:31.960]   I think function calling gives you a tool to specify the fact
[00:14:31.960 --> 00:14:34.200]   that, OK, this is a list of objects that I want.
[00:14:34.200 --> 00:14:36.160]   And each object has a name or an age.
[00:14:36.160 --> 00:14:37.780]   And I want the age to be above 0.
[00:14:37.780 --> 00:14:41.040]   And I want to make sure it's parsed correctly.
[00:14:41.040 --> 00:14:43.800]   That's where function calling really shines.
[00:14:43.800 --> 00:14:48.480]   Any thoughts on single versus parallel function calling?
[00:14:48.480 --> 00:14:50.640]   When I first started-- so I did a presentation
[00:14:50.640 --> 00:14:54.200]   at our AI in Action Discord channel,
[00:14:54.200 --> 00:14:57.680]   and obviously, showcase instructor.
[00:14:57.680 --> 00:14:59.580]   One of the big things that we had before
[00:14:59.580 --> 00:15:01.240]   with single function calling is like when
[00:15:01.240 --> 00:15:03.040]   you're trying to extract lists, you
[00:15:03.040 --> 00:15:05.240]   have to make these funky properties that
[00:15:05.240 --> 00:15:08.840]   are lists to then actually return all the objects.
[00:15:08.840 --> 00:15:13.880]   How do you see the hack being put on the developer's plate
[00:15:13.880 --> 00:15:17.280]   versus more of the stuff just getting better in the model?
[00:15:17.280 --> 00:15:21.200]   And I know you tweeted recently about Anthropic, for example,
[00:15:21.200 --> 00:15:22.960]   some lists are not lists, they're strings.
[00:15:22.960 --> 00:15:25.720]   And there's all of these discrepancies.
[00:15:25.720 --> 00:15:28.120]   I almost would prefer it if it was always
[00:15:28.120 --> 00:15:29.120]   a single function call.
[00:15:29.120 --> 00:15:31.400]   But obviously, there is the agents workflows
[00:15:31.400 --> 00:15:34.120]   that Instructor doesn't really support that well,
[00:15:34.120 --> 00:15:36.520]   but are things that ought to be done.
[00:15:36.520 --> 00:15:40.320]   You could define, I think, maybe like 50 or 60
[00:15:40.320 --> 00:15:43.200]   different functions in a single API call.
[00:15:43.200 --> 00:15:45.720]   And if it was like get the weather, or turn the lights on,
[00:15:45.720 --> 00:15:47.060]   or do something else, it makes a lot of sense
[00:15:47.060 --> 00:15:48.840]   to have these parallel function calls.
[00:15:48.840 --> 00:15:50.520]   But in terms of an extraction workflow,
[00:15:50.520 --> 00:15:53.560]   I definitely think it's probably more helpful to have
[00:15:53.560 --> 00:15:56.480]   everything be a single schema.
[00:15:56.480 --> 00:15:58.520]   Just because you can specify relationships
[00:15:58.520 --> 00:16:01.800]   between these entities that you can't do in parallel function
[00:16:01.800 --> 00:16:06.840]   calling, you can have a single chain of thought
[00:16:06.840 --> 00:16:09.680]   before you generate a list of results.
[00:16:09.680 --> 00:16:11.960]   There's small API differences, right?
[00:16:11.960 --> 00:16:15.840]   Where, yeah, if it's for parallel function calling,
[00:16:15.840 --> 00:16:21.120]   if you do one, again, I really care about how the SDK looks.
[00:16:21.120 --> 00:16:23.640]   And so it's, OK, do I always return a list of functions,
[00:16:23.640 --> 00:16:26.080]   or do you just want to have the actual object back out?
[00:16:26.080 --> 00:16:28.200]   You want to have autocomplete over that object.
[00:16:28.200 --> 00:16:31.320]   What's the cap for how many function
[00:16:31.320 --> 00:16:34.040]   definitions you can put in where it still works well?
