
[00:00:00.000 --> 00:00:06.000]   Welcome, everyone.
[00:03:35.000 --> 00:03:40.740]   It's not evaluative in terms of us giving you a grade based on how far along you are.
[00:03:40.740 --> 00:03:41.740]   Quite the contrary.
[00:03:41.740 --> 00:03:46.860]   It is entirely evaluated based on the extent to which you can give us a clear insight into
[00:03:46.860 --> 00:03:49.740]   how you're doing for this project.
[00:03:49.740 --> 00:03:53.540]   And then finally, as always, a required references section.
[00:03:53.540 --> 00:03:58.580]   In terms of tips, I would say first, there's no particular length we have in mind.
[00:03:58.580 --> 00:04:04.200]   A short or a long rubric could be bad or good depending on the state of your project and
[00:04:04.200 --> 00:04:05.460]   what you're trying to achieve.
[00:04:05.460 --> 00:04:08.820]   So completely open-minded about that.
[00:04:08.820 --> 00:04:13.060]   As I said before, please try to call out concerns you have, even if they are distant ones.
[00:04:13.060 --> 00:04:16.880]   This is meant to be a last chance to make sure the project will converge in the time
[00:04:16.880 --> 00:04:17.880]   allotted.
[00:04:17.880 --> 00:04:21.580]   So you might as well err on the side of more disclosures.
[00:04:21.580 --> 00:04:25.220]   Yes, you need to be able to state a hypothesis.
[00:04:25.220 --> 00:04:30.500]   It is common for engineers to come to me and say, but I don't have a hypothesis.
[00:04:30.500 --> 00:04:34.500]   All I want to do is see whether this model is a good model for my problem.
[00:04:34.500 --> 00:04:37.260]   And I say to them, that is a hypothesis.
[00:04:37.260 --> 00:04:40.500]   Just state that as a claim about what you think will work.
[00:04:40.500 --> 00:04:45.140]   And that will actually guide us intellectually and also guide us in terms of choosing baselines
[00:04:45.140 --> 00:04:49.460]   and ablation studies and other things that will give us insight into whether you're right
[00:04:49.460 --> 00:04:53.740]   about this thing that you feel about this model that you're evaluating.
[00:04:53.740 --> 00:04:57.480]   No, you do not need to report results, as I said before.
[00:04:57.480 --> 00:05:01.580]   But they are very welcome because they're a sign that you've kind of got all the working
[00:05:01.580 --> 00:05:06.720]   pieces in place and the project machine is functioning.
[00:05:06.720 --> 00:05:10.100]   We want you to have a full working pipeline as soon as possible.
[00:05:10.100 --> 00:05:13.980]   It is, I confess, tempting to insist on initial results so that that pipeline would be in
[00:05:13.980 --> 00:05:14.980]   place.
[00:05:14.980 --> 00:05:16.060]   I think that's premature.
[00:05:16.060 --> 00:05:21.060]   But the spirit of this is that we want you basically to be at a state where any day you
[00:05:21.060 --> 00:05:23.020]   could submit a project.
[00:05:23.020 --> 00:05:24.220]   It would be a working project.
[00:05:24.220 --> 00:05:27.380]   It might not be the one that you envisioned, but you could submit it.
[00:05:27.380 --> 00:05:31.540]   Once you get to that point, it's a really happy state in which you're mainly just adding
[00:05:31.540 --> 00:05:36.380]   new experimental results, improving the reporting, adding analyses and other things that allow
[00:05:36.380 --> 00:05:39.580]   you to build a really fleshed out project.
[00:05:39.580 --> 00:05:45.500]   So get that minimal viable project in the bag soon so that you can do creative exploration
[00:05:45.500 --> 00:05:49.940]   without feeling like you're under a lot of undue pressure.
[00:05:49.940 --> 00:05:54.140]   For other tips and resources, I have a very large markdown document that covers lots of
[00:05:54.140 --> 00:05:55.140]   things.
[00:05:55.140 --> 00:06:00.740]   FAQs that I've seen in the past, discussions of each one of the documents that's associated
[00:06:00.740 --> 00:06:05.900]   with the final project work, examples of past final papers that have gone on after some
[00:06:05.900 --> 00:06:09.700]   work to be publications, and a whole lot else besides.
[00:06:09.700 --> 00:06:14.620]   So if you feel like you just need some guidance on crucial points about how to develop a project
[00:06:14.620 --> 00:06:17.260]   in the space, I highly recommend this document.
[00:06:17.260 --> 00:06:19.700]   I think it's got lots of good stuff in it.
[00:06:19.700 --> 00:06:24.380]   And if your paper goes on to be a publication, I would love to hear about it.
[00:06:24.380 --> 00:06:29.300]   Drop me a note and I will, with your permission, add that to the list of published papers stemming
[00:06:29.300 --> 00:06:30.300]   from work for this course.
[00:06:30.300 --> 00:06:33.540]   I'm very proud of how long and diverse that list is.
[00:06:33.540 --> 00:06:43.540]   [BLANK_AUDIO]

