
[00:00:00.080 --> 00:00:04.720]   this year google talked about ai very differently this time they want you to sit up they want you
[00:06:47.680 --> 00:06:53.280]   uh one of the people who is leading ai mode and i was surprised by how enthusiastic about it you were
[00:06:53.280 --> 00:06:57.440]   like you said that you've really actually found this quite useful in a way that i think i have not
[00:06:57.440 --> 00:07:02.160]   so far so what are you noticing about this i mean the main thing is it's just such a clean experience like
[00:07:02.160 --> 00:07:06.240]   on a regular google search results page you and i have talked about this like it has just gotten very
[00:07:06.240 --> 00:07:11.280]   cluttered there's a lot of stuff there there's ads there's carousels of images there's sometimes a
[00:07:11.280 --> 00:07:16.080]   shopping module there's sometimes a maps module like it's just it's hard to actually like find the
[00:07:16.080 --> 00:07:22.480]   blue links sometime uh and i imagine that ai mode will become more cluttered as they try to make
[00:07:22.480 --> 00:07:26.640]   more money off of it but right now if you go to it it's like a much simpler experience it's much easier
[00:07:26.640 --> 00:07:30.000]   to find what you're looking for yeah and at the same time they're also trying to do some really
[00:07:30.000 --> 00:07:34.480]   interestingly complex stuff like one of the things that they showed off during the keynote was somebody
[00:07:34.480 --> 00:07:39.920]   asked a question about baseball statistics that required finding you know three or four different
[00:07:39.920 --> 00:07:44.720]   kind of you know tricky to locate stats and then combining them all together in an interactive
[00:07:44.720 --> 00:07:48.800]   chart that was just a demo we don't have access to that yet but that is one of the those things
[00:07:48.800 --> 00:07:52.400]   where it's like well if that works that could be a meaningful improvement to search yeah it could
[00:07:52.400 --> 00:07:56.880]   be meaningful improvement to search and we should also say like it's a big unknown how all of this will
[00:07:56.880 --> 00:08:03.200]   affect uh the main google search product right this is for now it's a tab um they have not sort of
[00:08:03.200 --> 00:08:09.120]   merged it into the main core google search uh in part because it's not monetized yet it costs a lot
[00:08:09.120 --> 00:08:14.160]   more to serve those results than a traditional google search but i imagine over time these things
[00:08:14.160 --> 00:08:18.320]   will kind of merge which will have lots of implications for publishers people who make
[00:08:18.320 --> 00:08:23.520]   things on the internet the whole sort of economic model of the internet but before we get dragged down
[00:08:23.520 --> 00:08:30.880]   that rabbit hole um let's just talk about a few other things that they uh said on stage at google io so
[00:08:30.880 --> 00:08:36.560]   i was really struck by the usage numbers that they trotted out for their products um gemini according
[00:08:36.560 --> 00:08:43.680]   to them um the app now has 400 million monthly users um that is a lot that is not quite as many as
[00:08:43.680 --> 00:08:50.320]   chat gpt but it is a lot more than a products like claude and other uh ai chat bots they said that their
[00:08:50.320 --> 00:08:58.080]   tokens that are being output by gemini has increased 50 times since last year um and is just like way like
[00:08:58.080 --> 00:09:02.400]   so people are using this stuff in other words this is not just like some feature that google
[00:09:02.400 --> 00:09:05.760]   is shoving into these products that people are trying to sort of navigate around like people are
[00:09:05.760 --> 00:09:10.480]   really using gemini i think that that's right and i think it's the gemini number in particular is the
[00:09:10.480 --> 00:09:16.720]   one that struck me like 400 million is a lot of people and i don't see that many obvious ways that
[00:09:16.720 --> 00:09:22.000]   google could be like faking that stat uh you know in contrast to for example they said one and a half billion
[00:09:22.000 --> 00:09:27.040]   people see ai overviews every month it's like well yeah you just put them in google search results like
[00:09:27.040 --> 00:09:31.040]   that's an entirely passive phenomenon but like gemini you got to go to the website you got to
[00:09:31.040 --> 00:09:35.200]   download the app so that tells me that people actually are finding real utility there so that's
[00:09:35.200 --> 00:09:39.840]   gemini but they also released a bunch of other stuff like new image and video models do you want to talk
[00:09:39.840 --> 00:09:45.120]   about those yeah so um you know like like the other companies they're working on text to image text to
[00:09:45.120 --> 00:09:51.840]   video and while open ai's models have gotten most of the attention in this regard google's really are
[00:09:51.840 --> 00:09:59.920]   quite good i think the the marquee feature uh for this year's io is that the video generating model vo3
[00:09:59.920 --> 00:10:06.720]   can also generate sound so it showed us a demo for example of an owl flapping its wings you hear the
[00:10:06.720 --> 00:10:11.760]   wings flap it comes down to the ground there's this sort of nervous badger character and they exchanged
[00:10:11.760 --> 00:10:17.120]   some dialogue which was basically incomprehensible just pure slop but they were able to generate that from
[00:10:17.120 --> 00:10:22.640]   scratch and i guess that's something they left behind a a ball today it bounced higher than i can
[00:10:22.640 --> 00:10:31.200]   jump what manner of magic is that yep um they also announced a new ultra subscription to google's ai
[00:10:31.200 --> 00:10:39.680]   products now if you want to be on the bleeding edge of google's ai offerings you can pay 250 a month
[00:10:39.680 --> 00:10:49.280]   for gemini ultra and casey i thought to myself no one is gonna do this who is gonna pay 250 a
[00:10:49.280 --> 00:10:53.680]   month that's a fortune for access to google's leading ai products and then i look over to my right
[00:10:53.680 --> 00:10:59.760]   and there's casey newton in the middle of the keynote pulling out his credit card from his wallet
[00:10:59.760 --> 00:11:05.360]   and entering it into buy a subscription to this extremely expensive ai product so you might have been
[00:11:05.360 --> 00:11:10.640]   the first customer of this product why well and i hope that they don't forget that uh when it comes
[00:11:10.640 --> 00:11:17.120]   time to feed me into the large language model um look i want to be able to have the the latest models
[00:11:17.120 --> 00:11:22.240]   and you know one i think clever thing that these ai companies are doing is they're saying we will give
[00:11:22.240 --> 00:11:26.320]   you the latest and greatest before everyone else but you have to pay us a ridiculous amount of money
[00:11:26.320 --> 00:11:30.400]   and you know if you're a reporter and you're reporting about this stuff every day i do think you sort
[00:11:30.400 --> 00:11:35.280]   of want to be in that camp now is it true that i now spend more on monthly ai subscriptions than i paid
[00:11:35.280 --> 00:11:40.320]   for my apartment in phoenix in the year 2010 yes and i don't feel great about it but i'm trying to be
[00:11:40.320 --> 00:11:46.400]   a good journalist kevin please your family is dying um another thing i that made me perk up was uh they
[00:11:46.400 --> 00:11:50.320]   talked a lot about personalization right this is something we've been talking about for years basically
[00:11:50.320 --> 00:11:56.720]   google has all of you know billions of people's email their search histories their calendars all their
[00:11:56.720 --> 00:12:02.160]   personal information and we've been sort of waiting for them to start weaving that stuff in so that you
[00:12:02.160 --> 00:12:09.200]   can use gemini to do things in those products um that has been slow um but they are sort of taking baby
[00:12:09.200 --> 00:12:14.960]   steps and they did show off a few things including this new personalized smart replies feature that is
[00:12:14.960 --> 00:12:21.840]   going to be uh available for uh subscribers later this year in gmail so that instead of just getting
[00:12:21.840 --> 00:12:26.640]   the kind of formulaic suggested replies at the bottom of of an email it'll actually kind of
[00:12:26.640 --> 00:12:31.440]   learn from how you write and maybe it can access some things in your calendar or your documents and
[00:12:31.440 --> 00:12:36.720]   really like suggest a better reply you'll still have to like hit send but it'll like sort of pre-populate
[00:12:36.720 --> 00:12:41.520]   a message for you yeah you know i have to say i'm i'm somewhat bearish on this one kevin only because
[00:12:41.520 --> 00:12:46.800]   i i think that if this were easy like it would just sort of be here already right like when you think
[00:12:46.800 --> 00:12:51.120]   about how formulaic so much email is it doesn't seem to me like it should be that hard to figure
[00:12:51.120 --> 00:12:55.200]   out like what kind of email are you like i'm basically a two-sentence email or you know that
[00:12:55.200 --> 00:12:59.920]   doesn't seem like that that's hard to mimic um so that's just kind of an area where i've been a
[00:12:59.920 --> 00:13:04.800]   little bit surprised and disappointed we also know large language models do not have large memories so
[00:13:04.800 --> 00:13:09.840]   one thing that i would love for gmail to do but it cannot is just sort of understand all of my email
[00:13:09.840 --> 00:13:14.000]   and use that to inform the tone of my voice but it can't do that it can only take a much more limited
[00:13:14.000 --> 00:13:18.080]   subset is that going to make it sort of difficult to accurately mimic my tone i know so what i'm trying
[00:13:18.080 --> 00:13:21.440]   to say here is i think there's a lot of problems here and my expectations are like pretty low on this
[00:13:21.440 --> 00:13:25.920]   one yeah that was the part where i was like i i will believe that this exists and is good when i can use
[00:13:25.920 --> 00:13:32.000]   this but as with other companies like like apple uh which demoed a bunch of ai features at its
[00:13:32.000 --> 00:13:36.480]   developer conference last year and then never launched half of them um i have become like a little bit
[00:13:36.480 --> 00:13:41.040]   skeptical until i can actually use the thing myself yeah it really is amazing how looking back last
[00:13:41.040 --> 00:13:45.920]   year's wwdc was just like a movie about what a competent ai company might have done in an alternate
[00:13:45.920 --> 00:13:51.840]   future it had very little bearing on our reality but it was admittedly an interesting set of proposals
[00:13:51.840 --> 00:14:00.080]   okay so that is the the software ai portion of io there was also a a demo of a new hardware product
[00:14:00.080 --> 00:14:06.320]   that google is working on which are these uh android xr glasses basically their version of what
[00:14:06.320 --> 00:14:10.720]   meta has been showing off it's orion glasses where you have a pair of glasses they have like
[00:14:10.720 --> 00:14:15.360]   sort of chunky black frames they've got like sort of a hologram lens in them and you can actually like
[00:14:15.360 --> 00:14:20.400]   see a little like thing overlaid on your vision uh telling you you know what the weather is or what
[00:14:20.400 --> 00:14:24.880]   time it is or that you have a new message or they have this uh integration with google maps that they
[00:14:24.880 --> 00:14:29.760]   showed off where you can like it'll like show you you know the little miniature google map right there
[00:14:29.760 --> 00:14:34.800]   inside your glasses and it'll sort of turn as you turn and tell you where to go um they did say this is a
[00:14:34.800 --> 00:14:40.560]   prototype but um what did you make of this well i think a lot of it looked really cool like probably
[00:14:40.560 --> 00:14:46.160]   my favorite part of the demo was uh when the person who was demonstrating looked down at her feet because
[00:14:46.160 --> 00:14:52.000]   she was getting ready to to walk to a coffee shop and the google map was actually projected at her feet
[00:14:52.000 --> 00:14:56.800]   and so she know okay go to the left go to the right if you've ever been walking around a sort of foreign
[00:14:56.800 --> 00:15:01.680]   city and and desperately wanted this feature i think you would see that and be pretty excited yeah what did you think
[00:15:01.680 --> 00:15:09.440]   um yeah i i thought to myself google glass is back it was away for so long in the wilderness
[00:15:09.440 --> 00:15:13.760]   and now it's back and it might actually work this time absolutely i did get to try the the glasses there
[00:15:13.760 --> 00:15:18.480]   was a very long line for the demo but um let me guess you said i'm kevin roost let me to the front of
[00:15:18.480 --> 00:15:23.120]   the line no they made me wait for two hours i mean i didn't literally wait for two hours i went and did some
[00:15:23.120 --> 00:15:28.560]   stuff and then came back but i got my demo it was like five minutes long um and it was uh you know it
[00:15:28.560 --> 00:15:32.880]   was it was pretty basic but it is cool like you can look now look around and you can say hey what's
[00:15:32.880 --> 00:15:37.280]   this plant and it'll sort of gem and i will kind of like look at what you're seeing and tell you what
[00:15:37.280 --> 00:15:42.880]   the plant is totally i i did a demo um a few months back and also like really enjoyed it um so i think there's
[00:15:42.880 --> 00:15:48.240]   something here and i think more importantly kevin consumers now when they look at google and meta
[00:15:48.240 --> 00:15:53.440]   they finally have a choice whose advertising monopoly do i want to feed with my personal data
[00:15:53.440 --> 00:15:57.280]   and you have consumer choice now and i think that's beautiful and that's what capitalism is all about
[00:15:57.280 --> 00:16:03.280]   so okay those are some of the announcements but what did you make of the sort of overall tenor of
[00:16:03.280 --> 00:16:08.560]   the event what stuck out to you as far as the vibe so the thing that stuck out to me the most was just
[00:16:08.560 --> 00:16:13.120]   contrasting it with last year's event because last year they had this phrase that they kept repeating
[00:16:13.120 --> 00:16:18.640]   let google do the googling for you which to me put me in the mind of somebody sort of leaning back into
[00:16:18.640 --> 00:16:23.840]   your like floating chair from the wall-e movie and just sort of letting the ai like run roughshod over
[00:16:23.840 --> 00:16:28.960]   your life this year google talked about ai very differently this time they want you to sit up
[00:16:28.960 --> 00:16:33.920]   they want you to lean in they want you to pay them 250 and they want you to get to work you know
[00:16:33.920 --> 00:16:39.040]   ai is your your superpower it's your bionic arm and you're going to use it to get sort of further and
[00:16:39.040 --> 00:16:44.720]   farther than ever before but even while presenting that vision kevin they were also very much like
[00:16:44.720 --> 00:16:50.080]   but it's it's going to be normal it's going to be chill it's going to be kind of like your life is
[00:16:50.080 --> 00:16:53.600]   now you're still going to be in the backyard with your kids doing science experiments you're still
[00:16:53.600 --> 00:16:57.680]   going to be planning a girls weekend in nashville right there was not really a lot of science fiction
[00:16:57.680 --> 00:17:02.160]   here there was just a little bit of like oh we uh we put a little bit of ai in this so that was
[00:17:02.160 --> 00:17:07.600]   interesting to me yeah so i had a slightly different take which is that i think google is being agi pilled
[00:17:07.600 --> 00:17:12.560]   um you know for years now google has sort of distanced itself from the conversation about agi you
[00:17:12.560 --> 00:17:17.280]   know it had deep mind which was sort of its its agi division but they were over in london and they were
[00:17:17.280 --> 00:17:24.880]   sort of a separate thing um and people at google would sort of not laugh exactly but kind of chuckle when you
[00:17:24.880 --> 00:17:29.920]   asked them about agi it just didn't seem real to them or it was so remote that it wasn't worth
[00:17:29.920 --> 00:17:34.480]   considering they would say what does this have to do with search advertising exactly so now you know
[00:17:34.480 --> 00:17:39.200]   it's still the case that this is a company that wants you to think about it as a product company
[00:17:39.200 --> 00:17:43.920]   a search company they're not like going all in on agi but once you start looking for it you do see that
[00:17:43.920 --> 00:17:50.560]   that the the sort of culture of uh ai and how the people at google talk about ai has really been
[00:17:50.560 --> 00:17:55.600]   shifting it is it is starting to seep into conversation here in a way that i think is
[00:17:55.600 --> 00:18:01.680]   unusual and maybe indicative that the technology is just getting better um faster than even a lot of
[00:18:01.680 --> 00:18:07.360]   people at google were thinking it would so i don't totally agree with you kevin because while i'm
[00:18:07.360 --> 00:18:12.160]   sure that they're having more conversations about agi here than they were a year ago when you look
[00:18:12.160 --> 00:18:16.880]   at what they're building it doesn't seem like there's been a lot of rip it up and start again
[00:18:16.880 --> 00:18:23.360]   it seems a lot like how do we plug ai systems into google shape holes and maybe that will eventually
[00:18:23.360 --> 00:18:28.800]   ladder up to something like agi but i don't think we've seen it quite yet the other observation i would
[00:18:28.800 --> 00:18:35.680]   make is that i think the google of 2025 has a lot more swagger and confidence when it comes to ai than
[00:18:35.680 --> 00:18:43.360]   the google of 2024 or 2023 i mean two years ago um google was still trying to make bard a thing and i
[00:18:43.360 --> 00:18:49.920]   think they were feeling very insecure that that open ai had beaten them to a consumer chatbot that had
[00:18:49.920 --> 00:18:54.960]   found some mass adoption and so they were just playing catch up and i don't think anyone would have
[00:18:54.960 --> 00:19:00.800]   said that google was in the lead when it came to generative ai just a few years ago but now they
[00:19:00.800 --> 00:19:06.000]   they feel like there is a race and that they are in a good position to win it they were talking about
[00:19:06.000 --> 00:19:11.600]   how gemini stacks up well against all these other models it's at the top of this leaderboard lm arena
[00:19:11.600 --> 00:19:19.360]   for all these different categories i don't love the way that ai is sometimes covered as if it were like
[00:19:19.360 --> 00:19:26.400]   sports you know who's up who's down who's winning who's losing but i do feel like google has the
[00:19:26.400 --> 00:19:31.280]   confidence now when it comes to ai of a team that like knows it's going to be in the playoffs at least
[00:19:31.280 --> 00:19:35.200]   and that was evident oh yeah i mean well when you look at the competition just what's happened over the
[00:19:35.200 --> 00:19:41.760]   past year you have apple doing a bunch of essentially fictional demos at wwdc and you have meta cheating to
[00:19:41.760 --> 00:19:46.400]   win at lm arena making 27 different versions of a model just to come up with one that would be good at one
[00:19:46.400 --> 00:19:50.320]   thing right so i think if you're google you're looking at that and you're thinking i could be those guys
[00:19:50.320 --> 00:19:57.680]   so that is um that is what it felt like inside google io um what was the reaction from outside
[00:19:57.680 --> 00:20:02.880]   i noticed that for example the company's stock actually fell like not not by a lot but like
[00:20:02.880 --> 00:20:07.360]   you know to a degree that suggested that wall street was kind of meh on a lot of what was
[00:20:07.360 --> 00:20:11.440]   announced but what was the reaction like outside of google i think the external reaction that i saw
[00:20:11.440 --> 00:20:16.880]   was just struggling a little bit to connect the dots right like that is the issue with
[00:20:16.880 --> 00:20:22.000]   announcing so many things during a two-hour period is sometimes people don't have that one thing that
[00:20:22.000 --> 00:20:27.120]   they're taking away saying i can't wait to try that and when you're just looking at a bunch of google
[00:20:27.120 --> 00:20:31.520]   products that you're already using i think if you're an investor it's probably hard to understand well
[00:20:31.520 --> 00:20:36.480]   i don't understand why this is unlocking so much more value at google now maybe millions of people are
[00:20:36.480 --> 00:20:42.480]   going to spend 250 a month on gemini ultra but unless that happens i can understand why some people
[00:20:42.480 --> 00:20:47.200]   feel like hmm this feels a little like the status quo yeah i see that i also think there are like many
[00:20:47.200 --> 00:20:53.600]   unanswered questions about how all of this will be monetized and you know it's google has built one of
[00:20:53.600 --> 00:21:00.480]   the most profitable products in the history of capitalism in the google search engine and the advertising business that supports it
[00:21:00.480 --> 00:21:08.480]   um it is not clear to me that whatever ai mode becomes or whatever ai features it can jam into
[00:21:08.480 --> 00:21:15.920]   search if search as a category is just declining across the board if people are not going to google.com
[00:21:15.920 --> 00:21:22.000]   to look things up in the way they were a few years ago um i think it's an open question like what the next
[00:21:22.000 --> 00:21:26.960]   thing is and whether google can can seize on it as effectively as they did with search well i think that
[00:21:26.960 --> 00:21:33.520]   they gave us one vision of what that might be and that is shopping a significant portion of the keynote
[00:21:33.520 --> 00:21:39.280]   was devoted to one executive talking about a new shopping experience inside of google where you can
[00:21:39.280 --> 00:21:44.800]   take a picture of yourself upload it and then sort of virtually try things on and it will sort of use ai
[00:21:44.800 --> 00:21:50.720]   to understand your proportions and you know accurately map a garment onto you and there was a lot of stuff in
[00:21:50.720 --> 00:21:55.600]   there that would just sort of let google take a cut right obviously you can advertise the individual
[00:21:55.600 --> 00:22:00.800]   thing to buy maybe you're taking some sort of like cut of the payment there's an there's an affiliate fee
[00:22:00.800 --> 00:22:06.320]   that is in there somewhere so one of the things i'm trying to do is i cover google going forward is
[00:22:06.320 --> 00:22:13.280]   understanding that yes search is the core but there but gemini could be a springboard to build a lot of
[00:22:13.280 --> 00:22:17.280]   other really valuable businesses an important question i know that i always ask you when i go to these things
[00:22:17.280 --> 00:22:22.080]   how was the food let's see i think the food was really nice so here's the thing last year it was
[00:22:22.080 --> 00:22:27.440]   a purely savory experience at breakfast and i am shamefully an american who likes a little sweet treat
[00:22:27.440 --> 00:22:32.880]   when i woke up this year they had both bagels and an apple cinnamon coffee cake and so when i was heading
[00:22:32.880 --> 00:22:38.480]   into that keynote i was in a pretty good mood i had some of that they have like little bottles of cold brew
[00:22:38.480 --> 00:22:46.000]   and i i'm like a huge caffeine addict so i took two of them um and boy i was on rocket fuel all day i was
[00:22:46.000 --> 00:22:50.160]   just humming around i was like bouncing off the walls i was like doing parkour i was like i was feeling
[00:22:50.160 --> 00:22:56.000]   great i thought i saw you warming up with the acapella team now it all makes sense when we come back
[00:22:56.000 --> 00:23:12.000]   we'll talk with demis asabas ceo of google deep mind about his vision of the ai future
[00:23:12.000 --> 00:23:22.400]   demis asabas welcome back to hard fork thanks for having me again a lot has happened since the last time you were on the show
[00:23:22.400 --> 00:23:29.760]   um most notably you won a nobel prize congrats on that thank you um ours must be still in the mail
[00:23:29.760 --> 00:23:35.120]   can you put in a good word for next year with the committee i will do i will do i imagine it's very
[00:23:35.120 --> 00:23:41.040]   exciting to win a nobel prize i know that had been a goal for a long time of yours um i imagine it also
[00:23:41.040 --> 00:23:46.080]   leads to like a lot of people giving you crap like during everyday activities like if you're you know
[00:23:46.080 --> 00:23:52.080]   struggling to work the printer and people are just like oh mr nobel lorry like does that happen
[00:23:52.080 --> 00:23:56.720]   um a little bit i mean look i tried to say look i can't you know that maybe it's a good excuse to
[00:23:56.720 --> 00:24:00.560]   like not have to fix uh those kinds of things right so it's more shield
[00:24:00.560 --> 00:24:10.400]   um so you just had google io and it was really the gemini show i mean i think gemini's name was
[00:24:10.400 --> 00:24:15.840]   mentioned something like 95 times in the keynote of all the stuff that was announced what do you think
[00:24:15.840 --> 00:24:22.080]   will be the biggest deal for the average user wow well i mean we did announce a lot of things i
[00:24:22.080 --> 00:24:28.720]   think for for the average user i think it's the new powerful models and i hope uh this astro type
[00:24:28.720 --> 00:24:33.120]   technology coming into gemini live i think it's really magical actually when people use it for the
[00:24:33.120 --> 00:24:38.000]   first time and they realize that actually ai is capable already today of doing much more than what
[00:24:38.000 --> 00:24:45.280]   they thought uh and then i guess vo3 was the big uh uh the biggest announcement of the show probably and
[00:24:45.280 --> 00:24:49.840]   seems to be going viral now and that's pretty exciting as well i think yeah one thing that struck
[00:24:49.840 --> 00:24:56.640]   me about io this year compared to previous years um is that it seems like google is sort of getting agi
[00:24:56.640 --> 00:25:02.880]   pilled as they say um i remember interviewing people researchers at google even a couple years ago
[00:25:03.440 --> 00:25:09.040]   and um there was a little taboo about talking about agi they would sort of be like oh that's
[00:25:09.040 --> 00:25:14.320]   like demis and his deep mind people in london that's sort of like their crazy thing uh that they're
[00:25:14.320 --> 00:25:20.080]   excited about but here we're doing like you know real research um but now you've got like senior google
[00:25:20.080 --> 00:25:27.120]   executives uh talking openly about it what explains that shift i think the sort of ai part of the of the
[00:25:27.120 --> 00:25:32.080]   equation becoming more and more central like i sometimes describe uh google deep mind now as the engine
