
[00:00:00.000 --> 00:00:01.080]   Hey, everybody. Hey, everybody.
[00:04:33.040 --> 00:04:37.640]   But just generally speaking, Gavin, as a market participant for a living.
[00:04:37.640 --> 00:04:41.720]   What's your take on what we've seen over the last three weeks
[00:04:41.720 --> 00:04:43.120]   since the election results came in?
[00:04:43.120 --> 00:04:48.360]   So if they execute on stated plans and.
[00:04:48.360 --> 00:04:52.000]   There are some of the world's
[00:04:52.000 --> 00:04:54.120]   greatest execution machines involved.
[00:04:54.120 --> 00:04:58.880]   You know, Elon generally does what he says he is going to do.
[00:05:02.560 --> 00:05:06.600]   Like this is going to be awesome for America, for markets, for the world.
[00:05:06.600 --> 00:05:10.880]   And the analogy I keep coming back to is Satya Nadella
[00:05:10.880 --> 00:05:13.160]   taking over as CEO of Microsoft.
[00:05:13.160 --> 00:05:16.280]   Microsoft was a monopoly, incredibly advantaged.
[00:05:16.280 --> 00:05:19.200]   It had just been horribly mismanaged for years.
[00:05:19.200 --> 00:05:23.480]   All he had to do to start winning was stop doing really, really dumb things.
[00:05:23.480 --> 00:05:28.160]   And that's an incredible place to be.
[00:05:28.160 --> 00:05:29.960]   You know, America, like we're the greatest country.
[00:05:29.960 --> 00:05:34.120]   You know, we've got, you know, oceans on two sides, peaceful neighbors,
[00:05:34.120 --> 00:05:37.240]   incredible natural resources, you know, completely, you know,
[00:05:37.240 --> 00:05:40.640]   can produce our own food and energy, like in many ways,
[00:05:40.640 --> 00:05:43.160]   most privileged country on Earth.
[00:05:43.160 --> 00:05:46.480]   But sometimes with great privilege comes great like stupidity.
[00:05:46.480 --> 00:05:49.040]   And California, to me, would be a leading example of that.
[00:05:49.040 --> 00:05:52.280]   Most in many ways, most privileged state in America
[00:05:52.280 --> 00:05:55.080]   and has printed it away with bad policies.
[00:05:55.880 --> 00:06:01.800]   And I do think one thing that everyone of all political stripes agrees on
[00:06:01.800 --> 00:06:06.800]   is there are too many regulations that result in far too many administrators,
[00:06:06.800 --> 00:06:11.800]   far too much complexity and an inability to build things in America.
[00:06:11.800 --> 00:06:16.120]   So, you know, it was used very effectively
[00:06:16.120 --> 00:06:19.000]   and as it should have been against the Harris administration
[00:06:19.000 --> 00:06:23.520]   that they'd approve $42 billion for rural broadband, hadn't built anything,
[00:06:23.520 --> 00:06:27.360]   had approved $40 billion for EV chargers, whatever it was, hadn't done anything.
[00:06:27.360 --> 00:06:31.120]   And it's not that they didn't want to,
[00:06:31.120 --> 00:06:34.480]   you know, dig trenches and do broadband.
[00:06:34.480 --> 00:06:36.480]   They didn't want to make EV chargers.
[00:06:36.480 --> 00:06:39.440]   Their own regulations prevented them.
[00:06:39.440 --> 00:06:44.000]   So I just think deregulation and simplifying
[00:06:44.000 --> 00:06:47.600]   regulations and the tax code
[00:06:47.600 --> 00:06:51.160]   is going to lead to an immense amount of growth,
[00:06:51.160 --> 00:06:53.800]   which is something that all Americans should be happy about.
[00:06:53.800 --> 00:06:56.440]   Joe, you want to maybe give us your take?
[00:06:56.440 --> 00:06:58.960]   I know, obviously, you're very vocal.
[00:06:58.960 --> 00:07:02.160]   You're obviously a conservative run think tank
[00:07:02.160 --> 00:07:03.560]   and have strong feelings on all this.
[00:07:03.560 --> 00:07:06.600]   But there is consensus, I think, amongst all Americans
[00:07:06.600 --> 00:07:09.480]   that we don't like fraud, waste, abuse and those items.
[00:07:09.480 --> 00:07:13.840]   Those seem to be consensus building efficiency and paying lower taxes.
[00:07:13.840 --> 00:07:17.640]   All of that seems like something almost all Americans,
[00:07:17.640 --> 00:07:18.800]   most Americans can get behind.
[00:07:18.800 --> 00:07:22.040]   So I guess maybe a little bit of your take
[00:07:22.040 --> 00:07:24.360]   on what we've seen in the markets and the plan.
[00:07:24.360 --> 00:07:27.080]   And then also, are you going to be involved in this at all?
[00:07:27.080 --> 00:07:30.800]   Well, listen, Jake, I think I do agree.
[00:07:30.800 --> 00:07:33.160]   I think almost all reasonable Americans
[00:07:33.160 --> 00:07:35.680]   can see that our growth is ridiculously constrained.
[00:07:35.680 --> 00:07:37.960]   And I think Jeff Bezos was saying yesterday,
[00:07:37.960 --> 00:07:40.120]   like we need a growth oriented mindset
[00:07:40.120 --> 00:07:42.560]   if we're going to get out of our debt problems, our deficit problems.
[00:07:42.560 --> 00:07:45.240]   So it's nice to see everyone kind of coming on the team and saying,
[00:07:45.240 --> 00:07:46.520]   yeah, we need to fix these things.
[00:07:46.520 --> 00:07:50.320]   I think what people don't understand is like just how broken
[00:07:50.320 --> 00:07:53.440]   the government bureaucracy and regulations are, right?
[00:07:53.440 --> 00:07:55.400]   It's not like they're kind of sort of bad.
[00:07:55.400 --> 00:07:58.000]   Like it's almost like they're companies that went bankrupt.
[00:07:58.000 --> 00:08:00.160]   Like think of the worst company, you know, in Silicon Valley.
[00:08:00.160 --> 00:08:02.360]   They went bankrupt like 30 years ago.
[00:08:02.360 --> 00:08:05.760]   And imagine if someone just like kept pumping money into that worst company,
[00:08:05.760 --> 00:08:08.360]   you know, over like 30 years to keep hiring people.
[00:08:08.360 --> 00:08:12.800]   So like Yahoo or AOL, like some legacy company.
[00:08:12.800 --> 00:08:15.720]   It was failing to take the worst department there.
[00:08:15.720 --> 00:08:17.760]   And then like the worst department gets the most money.
[00:08:17.760 --> 00:08:22.680]   So it's like it's like it's like more, I guess you can use the word retarded now.
[00:08:22.680 --> 00:08:25.160]   It's more retarded than anything you've seen in a long time.
[00:08:25.160 --> 00:08:27.920]   And I think one of the important things is America
[00:08:27.920 --> 00:08:30.600]   used to have these really hard tests for 100 years.
[00:08:30.600 --> 00:08:32.880]   You know, this in 1883, we said, you know what?
[00:08:32.880 --> 00:08:34.720]   We shouldn't just hire our friends.
[00:08:34.720 --> 00:08:36.520]   If someone's going to run something in government,
[00:08:36.520 --> 00:08:39.600]   let's have these tough tests, kind of like China did for thousands of years.
[00:08:39.600 --> 00:08:42.040]   And for 100 years, we had really hard tests.
[00:08:42.040 --> 00:08:44.480]   When we went to the moon, when we fought the world wars,
[00:08:44.720 --> 00:08:47.960]   you know, we did the Manhattan Project, the people making those decisions
[00:08:47.960 --> 00:08:51.320]   in hiring people had to pass things that really only like five,
[00:08:51.320 --> 00:08:53.040]   10 percent people could pass who took them.
[00:08:53.040 --> 00:08:56.920]   And then in the late 70s, we said, not only are these tests racist,
[00:08:56.920 --> 00:08:59.080]   so we can't test people anymore of any background.
[00:08:59.080 --> 00:09:01.720]   We also can't fire people anymore because we're going to give them tons of
[00:09:01.720 --> 00:09:05.400]   protections. So and so the last 40 years, it just got dumber.
[00:09:05.400 --> 00:09:08.080]   And then 10 years ago, you started doing all the virtue signaling and
[00:09:08.080 --> 00:09:11.800]   and, you know, hiring based on your identity versus based on anything else.
[00:09:11.800 --> 00:09:13.160]   So it's got even worse.
[00:09:13.160 --> 00:09:16.240]   And so now it's so broken that, yes, we're letting tens of billions of dollars
[00:09:16.240 --> 00:09:18.320]   on fire. And so there's really two things here.
[00:09:18.320 --> 00:09:20.200]   One, you've got to take a chainsaw.
[00:09:20.200 --> 00:09:22.880]   As Elon, like I said, you've got to get a chainsaw and just like cut
[00:09:22.880 --> 00:09:23.760]   a ton of broken stuff.
[00:09:23.760 --> 00:09:28.280]   But then day two is you got to say, how do we make this not stupid in the future?
[00:09:28.280 --> 00:09:31.160]   And there's things like maybe you bring back tests, maybe you bring accountability.
[00:09:31.160 --> 00:09:34.680]   The thing I think I'm most passionate about is, you know, right now
[00:09:34.680 --> 00:09:36.600]   there's over a million rules to the federal level.
[00:09:36.600 --> 00:09:38.640]   It's stuff that everyone disagrees on.
[00:09:38.640 --> 00:09:42.280]   You can be the most left person trying to build like solar or wind or whatever.
[00:09:42.280 --> 00:09:44.800]   And you're like, what? I have to do what study over how many years?
[00:09:44.800 --> 00:09:45.760]   This makes no sense.
[00:09:45.760 --> 00:09:48.920]   So we got it. We got to we got to take these regulations and not only cut them,
[00:09:48.920 --> 00:09:50.680]   but we got to make a data driven system
[00:09:50.680 --> 00:09:52.720]   that forces regulations to defend themselves.
[00:09:52.720 --> 00:09:56.400]   And that way, instead of having a cancer that just grows forever out of control,
[00:09:56.400 --> 00:09:59.640]   you could actually have a process that like naturally trims things,
[00:09:59.640 --> 00:10:01.360]   naturally makes things fight for itself.
[00:10:01.360 --> 00:10:03.480]   And that way it doesn't get as dumb ever again.
[00:10:03.480 --> 00:10:05.480]   I would. Why not just make them
[00:10:05.480 --> 00:10:08.280]   automatically sunsetting after five years if they're not renewed?
[00:10:08.280 --> 00:10:11.600]   Exactly. But make the process to renew them difficult and data driven.
[00:10:11.640 --> 00:10:14.120]   Exactly. So basically, yeah, yeah.
[00:10:14.120 --> 00:10:16.800]   So just if you the process of renewing them
[00:10:16.800 --> 00:10:19.480]   will take so much time that it will slow it down.
[00:10:19.480 --> 00:10:21.240]   I wonder where we got to the place.
[00:10:21.240 --> 00:10:23.880]   Friedberg, I will bring you in on this since really.
[00:10:23.880 --> 00:10:25.880]   I think it was maybe two or three years ago
[00:10:25.880 --> 00:10:29.800]   you started to point out exactly the debt spiral we to get in.
[00:10:29.800 --> 00:10:33.520]   I want to give you your flowers here on the pod, because from this pod
[00:10:33.520 --> 00:10:37.240]   and in your obsession and you're harping on and on
[00:10:37.240 --> 00:10:41.440]   about this national debt problem, you saw it early.
[00:10:41.480 --> 00:10:43.360]   You talked about it constantly.
[00:10:43.360 --> 00:10:44.840]   You brought a lot of consensus on board.
[00:10:44.840 --> 00:10:48.600]   And now we're seeing it as the issue of the transition is the debt.
[00:10:48.600 --> 00:10:51.400]   And we were sitting here for the past year or two saying,
[00:10:51.400 --> 00:10:54.240]   when are politicians going to even pay attention to this?
[00:10:54.240 --> 00:10:56.400]   And now they are paying attention to it.
[00:10:56.400 --> 00:10:58.560]   So first, here's your virtual flowers.
[00:10:58.560 --> 00:11:02.840]   Second, how are you feeling about the transition today?
[00:11:02.840 --> 00:11:06.520]   Well, I mean, I think first of all, there's like three layers of the problem,
[00:11:06.520 --> 00:11:08.600]   which I've been trying to harp on for almost four years.
[00:11:08.600 --> 00:11:11.160]   Number one is the inefficiency and lack of accountability, which
[00:11:11.480 --> 00:11:13.600]   Joe and Gavin are obviously talking about.
[00:11:13.600 --> 00:11:15.920]   And that leads to excessive spending.
[00:11:15.920 --> 00:11:18.240]   And that leads to the debt problem.
[00:11:18.240 --> 00:11:22.040]   And the debt problem creates this kind of arithmetic debt death spiral,
[00:11:22.040 --> 00:11:24.720]   which is something you don't want to find yourself in.
[00:11:24.720 --> 00:11:27.880]   So that's the inevitability that I've been kind of really worried about.
[00:11:27.880 --> 00:11:30.560]   And I think that, you know, look, there's
[00:11:30.560 --> 00:11:33.080]   the first derivative and second derivative can kind of get addressed.
[00:11:33.080 --> 00:11:35.400]   And then hopefully you don't get to the absolute point
[00:11:35.400 --> 00:11:37.400]   where you have this breaking breaking point.
[00:11:37.400 --> 00:11:41.080]   I think right now everyone's banking number one on can we deregulate
[00:11:41.200 --> 00:11:44.680]   in a way that can unlock growth and by unlocking growth?
[00:11:44.680 --> 00:11:49.520]   Right. The the the kind of arithmetic argument is grow GDP
[00:11:49.520 --> 00:11:52.280]   because you're not going to be able to shrink debt super fast
[00:11:52.280 --> 00:11:54.440]   in order to grow GDP.
[00:11:54.440 --> 00:11:56.640]   There needs to be some unleashing happening.
[00:11:56.640 --> 00:11:59.760]   And so if you can get GDP to grow four, five percent.
[00:11:59.760 --> 00:12:03.600]   And you can minimize the excess spending,
[00:12:03.600 --> 00:12:06.520]   meaning you can minimize the deficit, the federal deficit,
[00:12:06.520 --> 00:12:09.520]   and therefore minimize the increment in the debt level,
[00:12:09.880 --> 00:12:12.080]   the debt to GDP ratio becomes more manageable
[00:12:12.080 --> 00:12:14.080]   because ultimately you can only tax so much of GDP.
[00:12:14.080 --> 00:12:18.600]   So, yeah, I feel like this is important in both senses.
[00:12:18.600 --> 00:12:20.800]   One is just cut the inefficient, wasteful spending,
[00:12:20.800 --> 00:12:23.160]   get rid of the regulations, and that'll unleash.
[00:12:23.160 --> 00:12:28.400]   The necessary growth, one of the proxies I look to, and I think that this is
[00:12:28.400 --> 00:12:32.360]   going to be kind of the critical motivating factor for the United States,
[00:12:32.360 --> 00:12:36.080]   whether it's this administration or the next or on a content of continuous basis,
[00:12:36.080 --> 00:12:40.200]   there's going to be this kind of moment where we're going to look across the water
[00:12:40.200 --> 00:12:42.360]   at what China has.
[00:12:42.360 --> 00:12:46.280]   And you can see what China is getting, what China is making, what China is doing.
[00:12:46.280 --> 00:12:48.560]   I've talked about this a lot as well.
[00:12:48.560 --> 00:12:50.920]   And I do think this is the most critical metric
[00:12:50.920 --> 00:12:53.440]   that no one talks about as much as I think we should,
[00:12:53.440 --> 00:12:58.320]   which is the increment in electricity production capacity in China
[00:12:58.320 --> 00:13:00.120]   compared to the United States.
[00:13:00.120 --> 00:13:02.800]   And so we are going from one terawatt to two terawatts.
[00:13:02.800 --> 00:13:06.520]   They're going from, I think, two to eight over the same time period.
[00:13:06.520 --> 00:13:07.920]   And why is that so important
[00:13:07.920 --> 00:13:10.400]   for the people who are listening, who think you're saying?
[00:13:10.400 --> 00:13:13.280]   I'll let you I'll let you answer that.
[00:13:13.280 --> 00:13:14.920]   Go ahead. Just unpack it for the audience.
[00:13:14.920 --> 00:13:17.680]   I mean, I obviously understand why this is important, but I want you to.
[00:13:17.680 --> 00:13:20.800]   The number one thing I'd say is it's usually correlated to how well
[00:13:20.800 --> 00:13:25.600]   the working class is doing in your country, to per capita GDP, to cost of goods.
[00:13:25.600 --> 00:13:28.200]   I mean, obviously, I care about it because we want to scale
[00:13:28.200 --> 00:13:31.200]   AI for all the things we're doing and we want to be able to do it effectively.
[00:13:31.200 --> 00:13:34.360]   But if you just look over time, it's really clear the relationship
[00:13:34.360 --> 00:13:37.320]   between how well is your average working middle class person
[00:13:37.320 --> 00:13:39.360]   doing and their quality of life, their cost of life
[00:13:39.360 --> 00:13:41.560]   and the cost of electricity and cost of power.
[00:13:41.560 --> 00:13:42.680]   And it's crazy.
[00:13:42.680 --> 00:13:45.080]   We're not just like ramping up and cutting more to do this.
[00:13:45.080 --> 00:13:48.880]   More electricity means more automation, means more AI,
[00:13:48.880 --> 00:13:52.040]   means more things are being done for the for every person
[00:13:52.040 --> 00:13:55.320]   that are being done in factories or being done by machines.
[00:13:55.320 --> 00:13:59.640]   And that unlocks a new kind of level of living.
[00:13:59.960 --> 00:14:02.560]   And that's been kind of a continuous process for humans.
[00:14:02.560 --> 00:14:06.000]   There's this guy that writes these books that Bill Gates always talks about.
[00:14:06.000 --> 00:14:11.000]   Vaclav Smith, Smiertz, no, no, no.
[00:14:11.000 --> 00:14:13.520]   He's got all these books on the history of the relationship
[00:14:13.520 --> 00:14:15.760]   between energy and kind of prosperity.
[00:14:15.760 --> 00:14:18.120]   There's definitely correlation there.
[00:14:18.120 --> 00:14:20.280]   And there's definitely causation there, Gavin.
[00:14:20.280 --> 00:14:22.520]   And there's even like really simple ones.
[00:14:22.520 --> 00:14:24.920]   I don't know if you've ever seen Lee Kuan Yew from,
[00:14:24.920 --> 00:14:28.880]   you know, the founder of Singapore essentially talk about just how air
[00:14:28.880 --> 00:14:32.360]   conditioning change the country's fate.
[00:14:32.360 --> 00:14:35.800]   It raises average IQ by two or three points.
[00:14:35.800 --> 00:14:36.920]   It really matters.
[00:14:36.920 --> 00:14:40.280]   But look, I think at the end of the day, at the end of the day,
[00:14:40.280 --> 00:14:44.160]   my key point was we have to make sure that this administration
[00:14:44.160 --> 00:14:45.360]   and Joe can hear me on this.
[00:14:45.360 --> 00:14:46.920]   And I know he he believes this.
[00:14:46.920 --> 00:14:49.840]   But for me, it has to be such a priority that we
[00:14:49.840 --> 00:14:54.400]   accelerate a nuclear energy rollout in the United States,
[00:14:54.400 --> 00:14:55.960]   because that's what China is doing.
[00:14:55.960 --> 00:14:59.440]   They have dozens of Gen four reactors that are going to get built out,
[00:14:59.440 --> 00:15:02.440]   each of which has a gigawatt of production capacity.
[00:15:02.440 --> 00:15:05.960]   And they're doing it at a cost that we can't compete with today.
[00:15:05.960 --> 00:15:08.920]   But fundamentally, they can do it in the US.
[00:15:08.920 --> 00:15:09.920]   We can't even do it.
[00:15:09.920 --> 00:15:11.760]   And regulations, it goes back to Joe.
[00:15:11.760 --> 00:15:15.280]   Yeah. And so the regulatory structure prohibits our ability
[00:15:15.280 --> 00:15:18.360]   to actually expand energy capacity or electricity production capacity,
[00:15:18.360 --> 00:15:19.680]   which is a critical difference.
[00:15:19.680 --> 00:15:23.320]   And that ultimately leads to a situation where in 10 years
[00:15:23.320 --> 00:15:26.720]   we're going to be looking across the water at, you know,
[00:15:26.720 --> 00:15:30.520]   a competitive country that has three X,
[00:15:30.520 --> 00:15:33.320]   four X, the electricity production capacity of our country.
[00:15:33.320 --> 00:15:36.560]   And everything is cheaper. Everything is faster.
[00:15:36.560 --> 00:15:39.400]   It gives them superiority in a lot of functions that we can't.
[00:15:39.400 --> 00:15:42.680]   This this is a security thing, too, because we need manufacturing here
[00:15:42.680 --> 00:15:45.400]   to be affordable and competitive in order for our national security.
[00:15:45.400 --> 00:15:47.880]   You know, David, when you when you texted me last minute to join this,
[00:15:47.880 --> 00:15:49.840]   I was actually in a meeting with our friend from Founders Fund
[00:15:49.840 --> 00:15:52.800]   who's building nuclear fuel again for the first time in the US.
[00:15:52.920 --> 00:15:54.360]   That's actually gone away, too.
[00:15:54.360 --> 00:15:55.720]   And so so that needs to be approved.
[00:15:55.720 --> 00:15:59.600]   But, you know, I know Chris Wright, he's a nominee for the new energy
[00:15:59.600 --> 00:16:00.880]   secretary of energy.
[00:16:00.880 --> 00:16:03.680]   And he you know, he's super pro Liberty guy, but super pro cheap,
[00:16:03.680 --> 00:16:05.280]   cheap energy guy and pro nuclear.
[00:16:05.280 --> 00:16:07.560]   So I think we have some really great people who care about this.
[00:16:07.560 --> 00:16:08.680]   We're going to be fighting hard for it.
[00:16:08.680 --> 00:16:10.320]   Gavin, what's your read on it?
[00:16:10.320 --> 00:16:12.440]   Yeah. What's your read on energy and the blockers?
[00:16:12.440 --> 00:16:15.480]   I mean, more nuclear, more better.
[00:16:15.480 --> 00:16:18.960]   Like, I mean, I agree with everything Joe said.
[00:16:18.960 --> 00:16:23.120]   And the only thing I would just add is it is the most environmentally friendly
[00:16:23.120 --> 00:16:25.600]   kind of energy source.
[00:16:25.600 --> 00:16:29.880]   It's the most it's even more like I think it is highly likely
[00:16:29.880 --> 00:16:32.840]   that in my lifetime, the world just runs on solar.
[00:16:32.840 --> 00:16:36.920]   Like if you just, you know, we all know compound interest
[00:16:36.920 --> 00:16:38.840]   is the greatest force on Earth.
[00:16:38.840 --> 00:16:41.680]   But if you just look at the rate at which photovoltaic cell
[00:16:41.680 --> 00:16:44.040]   efficiency is compounding.
[00:16:44.040 --> 00:16:47.200]   Battery efficiency is compounding, and people make these balance
[00:16:47.200 --> 00:16:51.720]   of system arguments, but it will it will never be as cheap as nuclear,
[00:16:51.720 --> 00:16:54.400]   but it will likely approach coal.
[00:16:54.400 --> 00:16:56.800]   And I think a lot of the world will run on solar.
[00:16:56.800 --> 00:17:00.200]   But that's going to take 50 years.
[00:17:00.200 --> 00:17:02.880]   Nuclear is arguably just as environmentally friendly,
[00:17:02.880 --> 00:17:04.480]   done right and carefully.
[00:17:04.480 --> 00:17:05.840]   And it is here now.
[00:17:05.840 --> 00:17:07.720]   And so I just.
[00:17:07.720 --> 00:17:13.200]   Yeah, I mean, that's yeah, I don't I don't I don't it is unbelievable to watch.
[00:17:13.880 --> 00:17:16.960]   Not exactly Moore's law, but this precipitous drop
[00:17:16.960 --> 00:17:19.880]   in the cost of just solar panels.
[00:17:19.880 --> 00:17:22.440]   Solar solar is very solar is very impressive.
[00:17:22.440 --> 00:17:24.280]   But in some ways, to me, it's a little dystopian
[00:17:24.280 --> 00:17:26.400]   to think about all these forests just covered with this stuff.
[00:17:26.400 --> 00:17:28.240]   And I think it's great. It's rate limiting.
[00:17:28.240 --> 00:17:28.920]   It's rate limiting.
