
[00:00:00.000 --> 00:00:01.600]   two days ago,
[00:01:25.780 --> 00:01:27.320]   Get the props out of the shot.
[00:01:27.320 --> 00:01:28.880]   We're doing all this
[00:01:28.880 --> 00:01:31.120]   to let your winners ride.
[00:01:31.120 --> 00:01:34.020]   Rain Man, David Sacks.
[00:01:34.020 --> 00:01:36.880]   I'm doing all this
[00:01:36.880 --> 00:01:37.640]   and it's said
[00:01:37.640 --> 00:01:39.200]   we open source it to the fans
[00:01:39.200 --> 00:01:40.780]   and they've just gone crazy with it.
[00:01:40.780 --> 00:01:41.380]   Love you guys.
[00:01:41.380 --> 00:01:43.080]   I'm the queen of Kinwa.
[00:01:43.080 --> 00:01:44.900]   I'm doing all this
[00:01:44.900 --> 00:01:47.380]   Sax, what's up with J.D. Vance in Ohio?
[00:01:47.380 --> 00:01:48.740]   Is he gonna pull this thing off
[00:01:48.740 --> 00:01:49.520]   or is he getting beat up?
[00:01:49.520 --> 00:01:50.840]   I read an article about him
[00:01:50.840 --> 00:01:52.720]   getting beat up
[00:01:52.720 --> 00:01:55.680]   with the Peter Thiel connection being...
[00:01:55.680 --> 00:01:56.820]   He got physically beat up?
[00:01:56.820 --> 00:01:57.160]   Yeah.
[00:01:57.160 --> 00:01:58.160]   No, no, no, like in the polls.
[00:01:58.160 --> 00:01:58.660]   No, no, no, no.
[00:01:58.660 --> 00:01:59.960]   No, I think J.D. should win.
[00:01:59.960 --> 00:02:01.040]   He's gonna win, right?
[00:02:01.040 --> 00:02:02.040]   Yeah, I think so.
[00:02:02.040 --> 00:02:03.300]   And what about Blake Masters?
[00:02:03.300 --> 00:02:04.480]   These are the two guys
[00:02:04.480 --> 00:02:06.100]   that Thiel is backing.
[00:02:06.100 --> 00:02:07.200]   Should we start the show?
[00:02:07.200 --> 00:02:08.560]   We kind of did, yeah.
[00:02:08.560 --> 00:02:09.560]   Can I just ask you a question?
[00:02:09.560 --> 00:02:12.860]   If any of us entered porn,
[00:02:12.860 --> 00:02:14.760]   wouldn't one of our names
[00:02:14.760 --> 00:02:16.200]   be Blake Masters?
[00:02:16.200 --> 00:02:16.980]   Like, it's just,
[00:02:16.980 --> 00:02:18.000]   wouldn't it be on the list?
[00:02:18.000 --> 00:02:19.440]   Like, doesn't it sound like a great...
[00:02:19.440 --> 00:02:20.100]   Now you can't even see it.
[00:02:20.100 --> 00:02:22.100]   Isn't it a great name for porn?
[00:02:22.100 --> 00:02:23.460]   It's a great name, Blake Masters.
[00:02:23.460 --> 00:02:24.600]   It's a great name.
[00:02:24.600 --> 00:02:26.180]   And J.D. Steele.
[00:02:26.180 --> 00:02:26.880]   I'm sorry, Vance.
[00:02:27.200 --> 00:02:27.660]   Yeah, go ahead.
[00:02:27.660 --> 00:02:28.620]   Explain what's going on
[00:02:28.620 --> 00:02:30.160]   with this mentoring candidate.
[00:02:30.160 --> 00:02:32.240]   J.D., what would you accuse him of
[00:02:32.240 --> 00:02:33.080]   without any evidence?
[00:02:33.080 --> 00:02:34.600]   I'm not accusing anybody of anything.
[00:02:34.600 --> 00:02:35.180]   I'm just saying,
[00:02:35.180 --> 00:02:36.960]   tell us about your mentoring candidates.
[00:02:36.960 --> 00:02:37.380]   Go ahead.
[00:02:37.380 --> 00:02:42.360]   Well, so J.D.'s already won the primaries,
[00:02:42.360 --> 00:02:43.860]   and I expect he will win.
[00:02:43.860 --> 00:02:45.440]   I mean, it's gonna be,
[00:02:45.440 --> 00:02:47.300]   I think, a red wave in November,
[00:02:47.300 --> 00:02:50.040]   and Ohio is a pretty red state these days.
[00:02:50.040 --> 00:02:54.000]   Blake's supposed to win the primary in Arizona.
[00:02:54.000 --> 00:02:55.640]   That's a little bit more of a toss-up,
[00:02:55.640 --> 00:02:56.840]   but I think he'll do well.
[00:02:56.840 --> 00:02:58.100]   All right, well, I had a follow-up question,
[00:02:58.100 --> 00:02:59.740]   but I'm not allowed to mention the T-word,
[00:02:59.740 --> 00:03:00.900]   so let's just get started.
[00:03:00.900 --> 00:03:01.980]   Why is it such a big deal
[00:03:01.980 --> 00:03:03.500]   that, like, Peter supports candidates?
[00:03:03.500 --> 00:03:05.860]   You got all these, like, crazy left-wing radicals.
[00:03:05.860 --> 00:03:06.500]   No, no, I think it's interesting.
[00:03:06.500 --> 00:03:08.520]   Like, Soros gives unlimited amounts of money
[00:03:08.520 --> 00:03:10.600]   to, you know, crazy progressives
[00:03:10.600 --> 00:03:13.180]   like Gascon in L.A. and Azzilli and others.
[00:03:13.180 --> 00:03:15.120]   I mean, why is it such an obsession
[00:03:15.120 --> 00:03:17.100]   that we have to focus on who Peter supports?
[00:03:17.100 --> 00:03:19.240]   No, no, I just think it's fascinating that he...
[00:03:19.240 --> 00:03:20.760]   Peter's articulated his rationale
[00:03:20.760 --> 00:03:22.420]   for supporting these candidates
[00:03:22.420 --> 00:03:24.260]   and his objective for, you know,
[00:03:24.260 --> 00:03:25.560]   changing government in a way that he...
[00:03:26.260 --> 00:03:27.600]   thinks would benefit the country.
[00:03:27.600 --> 00:03:29.140]   And Peter's been generally right.
[00:03:29.140 --> 00:03:30.200]   What is the thesis, Rayburg?
[00:03:30.200 --> 00:03:31.340]   I think part of...
[00:03:31.340 --> 00:03:34.020]   If you watch his speech from the RNC
[00:03:34.020 --> 00:03:35.660]   during the last Trump cycle,
[00:03:35.660 --> 00:03:37.800]   I think he did a good job kind of articulating
[00:03:37.800 --> 00:03:39.940]   that there's a lot of inefficiencies in government
[00:03:39.940 --> 00:03:43.240]   and there's a lot of, call it, accumulated fat,
[00:03:43.240 --> 00:03:45.000]   and we need someone to go in
[00:03:45.000 --> 00:03:46.900]   and we need people to go in and really cut this up
[00:03:46.900 --> 00:03:48.020]   because so much of politics
[00:03:48.020 --> 00:03:49.680]   is driven by what else I'm going to give you,
[00:03:49.680 --> 00:03:51.120]   not about what I'm going to fix
[00:03:51.120 --> 00:03:53.800]   that's already being spent in an inefficient way.
[00:03:53.800 --> 00:03:55.660]   And as a result, we see debt climb,
[00:03:55.680 --> 00:03:56.660]   we see taxes climb,
[00:03:56.660 --> 00:03:58.840]   we see efficiency continue to decline
[00:03:58.840 --> 00:04:01.060]   of every dollar invested by the government.
[00:04:01.060 --> 00:04:03.000]   And I think that's a really important thesis
[00:04:03.000 --> 00:04:04.720]   to see someone actually try and execute against
[00:04:04.720 --> 00:04:06.280]   because no one's in the position...
[00:04:06.280 --> 00:04:07.980]   Very few people are in the position that he's in
[00:04:07.980 --> 00:04:09.440]   to actually be able to, like,
[00:04:09.440 --> 00:04:10.820]   make that sort of statement.
[00:04:10.820 --> 00:04:13.420]   Everyone wants something more from their government
[00:04:13.420 --> 00:04:15.320]   versus trying to fix the government.
[00:04:15.320 --> 00:04:16.920]   I think his views are more extreme than that.
[00:04:16.920 --> 00:04:18.260]   I think his views are more that
[00:04:18.260 --> 00:04:20.260]   orthodoxy is ruining in America.
[00:04:20.260 --> 00:04:22.800]   And so you need forms of heterodoxy
[00:04:22.800 --> 00:04:25.660]   to basically reset the status quo.
[00:04:25.660 --> 00:04:27.900]   And I think that's what he believes
[00:04:27.900 --> 00:04:29.880]   more than what you just said.
[00:04:29.880 --> 00:04:32.960]   I think that you need a wholesale reset.
[00:04:32.960 --> 00:04:34.880]   And in order to have a wholesale reset,
[00:04:34.880 --> 00:04:37.640]   you need to have these very disruptive candidates
[00:04:37.640 --> 00:04:39.640]   that basically start to change the norms.
[00:04:39.640 --> 00:04:41.980]   I mean, if you think about what Trump did
[00:04:41.980 --> 00:04:43.200]   in one election cycle,
[00:04:43.200 --> 00:04:47.620]   is he's completely sucked an entire cohort of people,
[00:04:47.620 --> 00:04:51.280]   Hispanics and, you know, moderates,
[00:04:51.280 --> 00:04:54.700]   and now, you know, a lot of immigrants,
[00:04:54.700 --> 00:04:55.640]   towards the end of the day,
[00:04:55.640 --> 00:04:55.680]   and now, you know, a lot of immigrants,
[00:04:55.680 --> 00:04:56.240]   towards the right,
[00:04:56.240 --> 00:04:59.620]   because the Democrats have vacated all of that space
[00:04:59.620 --> 00:05:02.500]   in having this massive Trump derangement syndrome
[00:05:02.500 --> 00:05:04.320]   and tacking extremely to the left.
[00:05:04.320 --> 00:05:07.880]   And even if Peter, we'll never know,
[00:05:07.880 --> 00:05:09.820]   believed in Trump or didn't believe in Trump,
[00:05:09.820 --> 00:05:10.400]   it didn't matter,
[00:05:10.400 --> 00:05:12.840]   but the process of him getting that candidate elected
[00:05:12.840 --> 00:05:15.140]   over the long arc of history
[00:05:15.140 --> 00:05:17.660]   may actually serve to pull America back to the center.
[00:05:17.660 --> 00:05:19.600]   Pretty good outcome.
[00:05:19.600 --> 00:05:21.800]   Yeah, and look, the reason why I support J.D.
[00:05:21.800 --> 00:05:22.720]   and Blake, for that matter,
[00:05:22.720 --> 00:05:25.460]   is they are, they represent this more,
[00:05:25.620 --> 00:05:28.280]   populist, working class wing of the Republican Party,
[00:05:28.280 --> 00:05:29.520]   and they're dragging the Republican Party
[00:05:29.520 --> 00:05:30.800]   in a more working class direction.
[00:05:30.800 --> 00:05:32.100]   I think that's the future of the party.
[00:05:32.100 --> 00:05:34.200]   I think that's the opportunity for the party.
[00:05:34.200 --> 00:05:37.140]   To Chema's point, the Democrats have ceded
[00:05:37.140 --> 00:05:39.600]   all the sort of this working class territory
[00:05:39.600 --> 00:05:42.700]   by becoming this elite, progressive party.
[00:05:42.700 --> 00:05:43.980]   And the face of the party right now,
[00:05:43.980 --> 00:05:46.220]   the Democratic Party, is Paul Pelosi.
[00:05:46.220 --> 00:05:47.780]   You know, let's talk about this.
[00:05:47.780 --> 00:05:49.120]   It's blatant and out in the open.
[00:05:49.120 --> 00:05:51.720]   He's trading on chip stocks,
[00:05:51.720 --> 00:05:53.700]   like Nvidia and Intel and so forth,
[00:05:53.700 --> 00:05:55.600]   like the week before the House
[00:05:55.600 --> 00:05:59.100]   is going to vote on a $52 billion subsidy for chip companies.
[00:05:59.100 --> 00:06:00.180]   No, no, no, be more precise.
[00:06:00.180 --> 00:06:03.360]   The week before his wife decides
[00:06:03.360 --> 00:06:07.500]   when critical legislation goes to the floor of the House
[00:06:07.500 --> 00:06:09.100]   to be voted upon.
[00:06:09.100 --> 00:06:10.640]   So you have the Speaker of the House,
[00:06:10.640 --> 00:06:14.000]   who's the third most important person in government,
[00:06:14.000 --> 00:06:17.640]   introducing legislation on her timetable.
[00:06:17.640 --> 00:06:22.220]   Her husband trades in those specific equities
[00:06:22.220 --> 00:06:24.780]   days and maybe even the same day--
[00:06:24.780 --> 00:06:25.580]   So gross.
[00:06:25.580 --> 00:06:27.340]   --and then he's going to be in the White House
[00:06:27.340 --> 00:06:28.340]   for the next three years.
[00:06:28.340 --> 00:06:29.580]   And then he's going to be in the White House
[00:06:29.580 --> 00:06:30.580]   for the next three years.
[00:06:30.580 --> 00:06:31.580]   And then he's going to be in the White House
[00:06:31.580 --> 00:06:32.580]   for the next three years.
[00:06:32.580 --> 00:06:33.580]   And then he's going to be in the White House
[00:06:33.580 --> 00:06:34.580]   for the next three years.
[00:06:34.580 --> 00:06:35.580]   And then he's going to be in the White House
[00:06:35.580 --> 00:06:36.580]   for the next three years.
[00:06:36.580 --> 00:06:37.580]   And then he's going to be in the White House
[00:06:37.580 --> 00:06:38.580]   for the next three years.
[00:06:38.580 --> 00:06:39.580]   And then he's going to be in the White House
[00:06:39.580 --> 00:06:40.580]   for the next three years.
[00:06:40.580 --> 00:06:41.580]   And then he's going to be in the White House
[00:06:41.580 --> 00:06:42.580]   for the next three years.
[00:06:42.580 --> 00:06:43.580]   And then he's going to be in the White House
[00:06:43.580 --> 00:06:44.580]   for the next three years.
[00:06:44.580 --> 00:06:45.580]   And then he's going to be in the White House
[00:06:45.580 --> 00:06:46.580]   for the next three years.
[00:06:46.580 --> 00:06:47.580]   And then he's going to be in the White House
[00:06:47.580 --> 00:06:48.580]   for the next three years.
[00:06:48.580 --> 00:06:49.580]   And then he's going to be in the White House
[00:06:49.580 --> 00:06:50.580]   for the next three years.
[00:06:50.580 --> 00:06:51.580]   And then he's going to be in the White House
[00:06:51.580 --> 00:06:52.580]   for the next three years.
[00:06:52.580 --> 00:06:53.580]   And then he's going to be in the White House
[00:06:53.580 --> 00:06:54.580]   for the next three years.
[00:06:54.580 --> 00:06:55.580]   And then he's going to be in the White House
[00:06:55.580 --> 00:06:56.580]   for the next three years.
[00:06:56.580 --> 00:06:57.580]   And then he's going to be in the White House
[00:06:57.580 --> 00:06:58.580]   for the next three years.
[00:06:58.580 --> 00:06:59.580]   And then he's going to be in the White House
[00:06:59.580 --> 00:07:00.580]   for the next three years.
[00:07:00.580 --> 00:07:01.580]   And then he's going to be in the White House
[00:07:01.580 --> 00:07:02.580]   for the next three years.
[00:07:02.580 --> 00:07:03.580]   And then he's going to be in the White House
[00:07:03.580 --> 00:07:04.580]   for the next three years.
[00:07:04.580 --> 00:07:05.580]   And then he's going to be in the White House
[00:07:05.580 --> 00:07:06.580]   for the next three years.
[00:07:06.580 --> 00:07:07.580]   And then he's going to be in the White House
[00:07:07.580 --> 00:07:08.580]   for the next three years.
[00:07:08.580 --> 00:07:09.580]   And then he's going to be in the White House
[00:07:09.580 --> 00:07:10.580]   for the next three years.
[00:07:10.580 --> 00:07:11.580]   And then he's going to be in the White House
[00:07:11.580 --> 00:07:12.580]   for the next three years.
[00:07:12.580 --> 00:07:13.580]   And then he's going to be in the White House
[00:07:13.580 --> 00:07:14.580]   for the next three years.
[00:07:14.580 --> 00:07:15.580]   And then he's going to be in the White House
[00:07:15.580 --> 00:07:16.580]   for the next three years.
[00:07:16.580 --> 00:07:17.580]   And then he's going to be in the White House
[00:07:17.580 --> 00:07:18.580]   for the next three years.
[00:07:18.580 --> 00:07:19.580]   And then he's going to be in the White House
[00:07:19.580 --> 00:07:20.580]   for the next three years.
[00:07:20.580 --> 00:07:21.580]   And then he's going to be in the White House
[00:07:21.580 --> 00:07:22.580]   for the next three years.
[00:07:22.580 --> 00:07:23.580]   And then he's going to be in the White House
[00:07:23.580 --> 00:07:24.580]   for the next three years.
[00:07:24.580 --> 00:07:25.580]   And then he's going to be in the White House
[00:07:25.580 --> 00:07:26.580]   for the next three years.
[00:07:26.580 --> 00:07:27.580]   And then on top of that, Jason,
[00:07:27.580 --> 00:07:28.580]   the mainstream media doesn't say shit.
[00:07:28.580 --> 00:07:29.580]   And then on top of that, Jason,
[00:07:29.580 --> 00:07:30.580]   the mainstream media doesn't say shit.
[00:07:30.580 --> 00:07:31.580]   Now, by the way, I'm not a Trump supporter.
[00:07:31.580 --> 00:07:32.580]   Now, by the way, I'm not a Trump supporter.
[00:07:32.580 --> 00:07:33.580]   I think he's a complete goofball.
[00:07:33.580 --> 00:07:34.580]   I think he's a complete goofball.
[00:07:34.580 --> 00:07:35.580]   But if Trump had tried to pull this stuff
[00:07:35.580 --> 00:07:36.580]   But if Trump had tried to pull this stuff
[00:07:36.580 --> 00:07:37.580]   in 2016 or 2017 or 2018,
[00:07:37.580 --> 00:07:38.580]   in 2016 or 2017 or 2018,
[00:07:38.580 --> 00:07:39.580]   in 2016 or 2017 or 2018,
[00:07:39.580 --> 00:07:40.580]   could you imagine how much media coverage
[00:07:40.580 --> 00:07:41.580]   could you imagine how much media coverage
[00:07:41.580 --> 00:07:42.580]   there would be?
[00:07:42.580 --> 00:07:43.580]   And today, how much of that is covered
[00:07:43.580 --> 00:07:44.580]   And today, how much of that is covered
[00:07:44.580 --> 00:07:45.580]   by the mainstream media?
[00:07:45.580 --> 00:07:46.580]   zero.
[00:07:46.580 --> 00:07:47.580]   Was it mentioned on MSNBC?
[00:07:47.580 --> 00:07:48.580]   zero.
[00:07:48.580 --> 00:07:49.580]   Was it mentioned on MSNBC?
[00:07:49.580 --> 00:07:50.580]   Nope.
[00:07:50.580 --> 00:07:51.580]   Was it mentioned in any of the press?
[00:07:51.580 --> 00:07:52.580]   Was it mentioned in any of the press?
[00:07:52.580 --> 00:07:53.580]   Nope.
[00:07:53.580 --> 00:07:54.580]   Let me just set the stage
[00:07:54.580 --> 00:07:55.580]   so people don't know what we're talking about.
[00:07:55.580 --> 00:07:56.580]   So on Tuesday, the Senate advanced
[00:07:56.580 --> 00:07:57.580]   So on Tuesday, the Senate advanced
[00:07:57.580 --> 00:07:59.980]   a slimmed down version of the original chips bill.
[00:07:59.980 --> 00:08:01.340]   If you don't know what that is,
[00:08:01.340 --> 00:08:02.920]   it's basically a bill that's going to provide
[00:08:02.920 --> 00:08:05.380]   $52 billion in subsidies to move
[00:08:05.380 --> 00:08:07.920]   chip manufacturing here to the United States,
[00:08:07.920 --> 00:08:09.040]   something we really need to do.
[00:08:09.040 --> 00:08:10.160]   It's a bipartisan bill.
[00:08:10.160 --> 00:08:12.260]   Everybody kind of agrees on this.
[00:08:12.260 --> 00:08:13.260]   But this is
[00:08:13.260 --> 00:08:16.260]   been kind of stuck in committee for a little bit.
[00:08:16.260 --> 00:08:18.540]   It comes a year after the Senate first approved
[00:08:18.540 --> 00:08:22.000]   the $250 billion bill to reinforce US chip making
[00:08:22.000 --> 00:08:23.820]   to compete with China.
[00:08:23.820 --> 00:08:25.960]   The reason why this is strategically important
[00:08:25.960 --> 00:08:28.840]   is because we have a huge chip dependency on Taiwan,
[00:08:28.840 --> 00:08:30.420]   which is under threat from China.
[00:08:30.420 --> 00:08:33.120]   So if chips are the new oil,
[00:08:33.120 --> 00:08:35.040]   you know, Taiwan is the new Middle East
[00:08:35.040 --> 00:08:36.800]   or the new Persian Gulf.
[00:08:36.800 --> 00:08:38.880]   And it is a very dangerous situation
[00:08:38.880 --> 00:08:41.300]   for us to be completely dependent on Taiwan.
[00:08:41.300 --> 00:08:43.560]   Well, not completely, but like for over half our chips.
[00:08:43.560 --> 00:08:47.500]   So on shoring, advanced chip manufacturing makes sense.
[00:08:47.500 --> 00:08:48.500]   But I think this is
[00:08:48.500 --> 00:08:52.260]   a great example of how you start with a legitimate objective
[00:08:52.260 --> 00:08:56.340]   in Washington and very rapidly it turns into corporate welfare
[00:08:56.340 --> 00:08:57.960]   and graphed by politicians.
[00:08:57.960 --> 00:08:59.120]   I mean, yeah, it's gross.
[00:08:59.120 --> 00:09:00.280]   Yeah, I mean, just because we need to
[00:09:00.280 --> 00:09:02.240]   onshore manufacturing doesn't mean that you give Intel
[00:09:02.240 --> 00:09:03.940]   and Nvidia giant handouts.
[00:09:03.940 --> 00:09:06.900]   And then you got Paul Pelosi making millions
[00:09:06.900 --> 00:09:08.360]   trading Nvidia options.
[00:09:08.360 --> 00:09:09.200]   Yeah, it's ridiculous.
[00:09:09.200 --> 00:09:10.940]   And this is something that is happening.
[00:09:10.940 --> 00:09:12.540]   What would you have done, Sax,
[00:09:12.540 --> 00:09:15.580]   to support on shoring of semiconductor manufacturing?
[00:09:15.580 --> 00:09:17.060]   Who would you give the money to?
[00:09:17.060 --> 00:09:18.460]   And how would it be kind of dulled down?
[00:09:18.460 --> 00:09:19.920]   What would the terms of it be?
[00:09:19.920 --> 00:09:21.800]   I don't know that you just give these companies money.
[00:09:21.800 --> 00:09:24.720]   I mean, I think maybe what you do is you give them tax breaks
[00:09:24.720 --> 00:09:28.740]   or various kinds of breaks, but I don't like that.
[00:09:28.740 --> 00:09:30.460]   They need capital to support that investment
[00:09:30.460 --> 00:09:35.460]   because if you look at the kind of ROIC on these companies,
[00:09:35.460 --> 00:09:38.060]   I haven't looked, but I'm guessing they're in the high teens
[00:09:38.060 --> 00:09:39.820]   or something, mid to high teens.
[00:09:39.820 --> 00:09:42.080]   And they're not gonna be able to invest
[00:09:42.080 --> 00:09:45.180]   in some newfangled fab project
[00:09:45.180 --> 00:09:46.780]   that may or may not actually have customers
[00:09:46.780 --> 00:09:47.620]   at the end of the day.
[00:09:47.620 --> 00:09:48.420]   Their board would never run out of money.
[00:09:48.420 --> 00:09:49.740]   They would never approve that on an independent basis.
[00:09:49.740 --> 00:09:50.580]   They need capital.
[00:09:50.580 --> 00:09:51.920]   Define ROIC, Freberg.
[00:09:51.920 --> 00:09:53.200]   Return on invested capital.
[00:09:53.200 --> 00:09:54.900]   So if you're a big industrial business,
[00:09:54.900 --> 00:09:57.680]   one of the key metrics that your shareholders look at
[00:09:57.680 --> 00:10:01.840]   is the ultimate kind of profits that are generated
[00:10:01.840 --> 00:10:03.620]   from a big investment you might make.
[00:10:03.620 --> 00:10:05.960]   And so you kind of look at that over time,
[00:10:05.960 --> 00:10:07.640]   you look at the invested money over time
[00:10:07.640 --> 00:10:09.660]   and the cash returned over time,
[00:10:09.660 --> 00:10:10.700]   and you come up with this metric.
[00:10:10.700 --> 00:10:11.580]   And so it's a key metric
[00:10:11.580 --> 00:10:14.500]   for particularly capital intensive businesses.
[00:10:14.500 --> 00:10:17.180]   And so a business like Intel or Nvidia,
[00:10:17.180 --> 00:10:18.380]   I would imagine is gonna have
[00:10:18.380 --> 00:10:20.560]   a pretty tough time selling their board
[00:10:20.560 --> 00:10:23.220]   on some speculative onshoring fab project.
[00:10:23.220 --> 00:10:25.340]   There really does need to be capital
[00:10:25.340 --> 00:10:26.440]   and acceleration of capital.
[00:10:26.440 --> 00:10:29.180]   - Freberg, who feeds you this bullshit propaganda?
[00:10:29.180 --> 00:10:33.620]   Intel in 2020 approved a share purchase plan
[00:10:33.620 --> 00:10:37.880]   where these guys had a hold of $110 billion
[00:10:37.880 --> 00:10:41.480]   and have spent all of it except for 7.2 billion.
[00:10:41.480 --> 00:10:43.680]   They have 6 billion left on the balance sheet.
[00:10:43.680 --> 00:10:46.360]   - I get it, but they're not gonna put that money at risk.
[00:10:46.360 --> 00:10:48.340]   Right, like Chamath, imagine you're on the board
[00:10:48.340 --> 00:10:49.760]   of Intel and they're like,
[00:10:49.760 --> 00:10:50.600]   "Hey, we wanna honor-"
[00:10:50.600 --> 00:10:52.400]   - So the government, okay, so basically, hold on.
[00:10:52.400 --> 00:10:53.240]   I make a ton of money.
[00:10:53.240 --> 00:10:54.080]   - But that's the basis of where this,
[00:10:54.080 --> 00:10:55.520]   yeah, this is where it all comes from, right?
[00:10:55.520 --> 00:10:57.080]   - I make a ton of money.
[00:10:57.080 --> 00:10:59.300]   I have no better ideas of how to do it,
[00:10:59.300 --> 00:11:02.720]   including theoretically building a chip factory.
[00:11:02.720 --> 00:11:04.820]   So I'm gonna go to the government for a handout.
[00:11:04.820 --> 00:11:06.540]   Meanwhile, I'm gonna take all the money that I had,
[00:11:06.540 --> 00:11:08.640]   which I could have used to fund this thing,
[00:11:08.640 --> 00:11:10.400]   and I'm gonna give it away to people
[00:11:10.400 --> 00:11:12.060]   who I don't know what they're gonna do with it.
[00:11:12.060 --> 00:11:12.960]   - I would reframe it.
[00:11:12.960 --> 00:11:17.260]   I would say that the government wants to see our industry
[00:11:17.260 --> 00:11:18.300]   onshore, semi-competitive,
[00:11:18.300 --> 00:11:19.740]   semiconductor manufacturing.
[00:11:19.740 --> 00:11:21.360]   And they are going to the companies,
[00:11:21.360 --> 00:11:22.420]   not the companies going to the government.
[00:11:22.420 --> 00:11:23.260]   They're saying,
[00:11:23.260 --> 00:11:25.460]   "We want you to onshore semiconductor manufacturing.
[00:11:25.460 --> 00:11:26.400]   Do that for us now."
[00:11:26.400 --> 00:11:28.040]   Like in World War II,
[00:11:28.040 --> 00:11:30.040]   we went to the automobile manufacturers and said,
[00:11:30.040 --> 00:11:31.920]   the government said, "We want you to make airplanes.
[00:11:31.920 --> 00:11:33.820]   Here's a bunch of money, make airplanes."
[00:11:33.820 --> 00:11:35.620]   And that's, so the question then is,
[00:11:35.620 --> 00:11:37.040]   who does that money go to?
[00:11:37.040 --> 00:11:38.360]   Who else would you give that money to
[00:11:38.360 --> 00:11:40.520]   besides the two best chip makers in the world?
[00:11:40.520 --> 00:11:41.820]   - David's right.
[00:11:41.820 --> 00:11:44.800]   If you just give us a CapEx subsidy,
[00:11:44.800 --> 00:11:48.260]   that's a one-time effect that helps you in a moment.
[00:11:48.260 --> 00:11:50.700]   It doesn't help your business.
[00:11:50.700 --> 00:11:53.360]   Any reasonable investor who can actually use
[00:11:53.360 --> 00:11:55.940]   a simple calculator sees through that nonsense.
[00:11:55.940 --> 00:11:58.120]   So what David's right is if you had given them
[00:11:58.120 --> 00:12:02.380]   sustained tax breaks for being able to build the business line
