
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:06:17.000 --> 00:06:18.960]   using this kind of energy minimization,
[00:06:18.960 --> 00:06:21.440]   you can do planning.
[00:06:21.440 --> 00:06:23.760]   And in optimal control,
[00:06:23.760 --> 00:06:26.640]   it's called model predictive control.
[00:06:26.640 --> 00:06:28.640]   You have a model of what's gonna happen in the world
[00:06:28.640 --> 00:06:30.080]   as a consequence of your actions.
[00:06:30.080 --> 00:06:33.120]   And that allows you to, by energy minimization,
[00:06:33.120 --> 00:06:34.360]   figure out a sequence of action
[00:06:34.360 --> 00:06:36.640]   that optimizes a particular objective function,
[00:06:36.640 --> 00:06:38.720]   which minimizes the number of times
[00:06:38.720 --> 00:06:39.560]   you're gonna hit something
[00:06:39.560 --> 00:06:41.080]   and the energy you're gonna spend
[00:06:41.080 --> 00:06:43.360]   doing the gesture and et cetera.
[00:06:44.360 --> 00:06:47.000]   So that's a form of reasoning.
[00:06:47.000 --> 00:06:48.080]   Planning is a form of reasoning.
[00:06:48.080 --> 00:06:52.600]   And perhaps what led to the ability of humans to reason
[00:06:52.600 --> 00:06:57.600]   is the fact that, or species that appear before us
[00:06:57.600 --> 00:06:59.600]   had to do some sort of planning
[00:06:59.600 --> 00:07:01.520]   to be able to hunt and survive
[00:07:01.520 --> 00:07:04.160]   and survive the winter in particular.
[00:07:04.160 --> 00:07:07.880]   And so it's the same capacity that you need to have.
[00:07:07.880 --> 00:07:11.000]   - So in your intuition is,
[00:07:11.000 --> 00:07:13.840]   if we look at expert systems
[00:07:13.840 --> 00:07:17.760]   and encoding knowledge as logic systems,
[00:07:17.760 --> 00:07:21.280]   as graphs or in this kind of way,
[00:07:21.280 --> 00:07:24.840]   is not a useful way to think about knowledge?
[00:07:24.840 --> 00:07:28.520]   - Graphs are a little brittle or logic representation.
[00:07:28.520 --> 00:07:32.440]   So basically, variables that have values
[00:07:32.440 --> 00:07:33.840]   and then constraint between them
[00:07:33.840 --> 00:07:35.840]   that are represented by rules
[00:07:35.840 --> 00:07:37.400]   is a little too rigid and too brittle, right?
[00:07:37.400 --> 00:07:41.160]   So some of the early efforts in that respect
[00:07:43.200 --> 00:07:45.560]   were to put probabilities on them.
[00:07:45.560 --> 00:07:49.120]   So a rule, if you have this and that symptom,
[00:07:49.120 --> 00:07:51.760]   you have this disease with that probability
[00:07:51.760 --> 00:07:53.960]   and you should prescribe that antibiotic
[00:07:53.960 --> 00:07:55.080]   with that probability, right?
[00:07:55.080 --> 00:07:57.840]   That's the mycin system from the seventies.
[00:07:57.840 --> 00:08:02.080]   And that's what that branch of AI led to
[00:08:02.080 --> 00:08:04.840]   Bayesian networks and graphical models
[00:08:04.840 --> 00:08:09.480]   and causal inference and variational method.
[00:08:09.480 --> 00:08:14.480]   So there is, I mean, certainly a lot of interesting work
[00:08:14.480 --> 00:08:15.960]   going on in this area.
[00:08:15.960 --> 00:08:18.400]   The main issue with this is knowledge acquisition.
[00:08:18.400 --> 00:08:23.400]   How do you reduce a bunch of data to a graph of this type?
[00:08:23.400 --> 00:08:26.360]   - Yeah, it relies on the expert to,
[00:08:26.360 --> 00:08:29.480]   on the human being to encode, to add knowledge.
[00:08:29.480 --> 00:08:31.640]   - And that's essentially impractical.
[00:08:31.640 --> 00:08:34.000]   - Yeah, it's not scalable.
[00:08:34.000 --> 00:08:34.840]   - That's a big question.
[00:08:34.840 --> 00:08:35.960]   The second question is,
[00:08:35.960 --> 00:08:38.320]   do you want to represent knowledge as symbols
[00:08:39.160 --> 00:08:41.760]   and do you want to manipulate them with logic?
[00:08:41.760 --> 00:08:43.840]   And again, that's incompatible with learning.
[00:08:43.840 --> 00:08:47.680]   So one suggestion with Geoff Hinton
[00:08:47.680 --> 00:08:49.560]   has been advocating for many decades
[00:08:49.560 --> 00:08:53.840]   is replace symbols by vectors.
[00:08:53.840 --> 00:08:55.480]   Think of it as pattern of activities
[00:08:55.480 --> 00:08:57.840]   in a bunch of neurons or units
[00:08:57.840 --> 00:08:59.640]   or whatever you want to call them
[00:08:59.640 --> 00:09:03.280]   and replace logic by continuous functions.
[00:09:03.280 --> 00:09:06.360]   Okay, and that becomes now compatible.
[00:09:06.360 --> 00:09:09.480]   There's a very good set of ideas
[00:09:09.480 --> 00:09:12.160]   by written in a paper about 10 years ago
[00:09:12.160 --> 00:09:15.520]   by Leon Boutou on, who is here at Facebook.
[00:09:15.520 --> 00:09:18.920]   The title of the paper is
[00:09:18.920 --> 00:09:20.360]   from machine learning to machine reasoning.
[00:09:20.360 --> 00:09:24.000]   And his idea is that a learning system
[00:09:24.000 --> 00:09:25.400]   should be able to manipulate objects
[00:09:25.400 --> 00:09:27.680]   that are in a space
[00:09:27.680 --> 00:09:29.440]   and then put the result back in the same space.
[00:09:29.440 --> 00:09:31.720]   So it's this idea of working memory basically.
[00:09:31.720 --> 00:09:35.200]   And it's very enlightening.
[00:09:35.200 --> 00:09:38.320]   - And in a sense that might learn something
[00:09:38.320 --> 00:09:41.480]   like the simple expert systems.
[00:09:41.480 --> 00:09:46.640]   I mean, you can learn basic logic operations there.
[00:09:46.640 --> 00:09:47.960]   - Yeah, quite possibly.
[00:09:47.960 --> 00:09:51.240]   There's a big debate on sort of how much prior structure
[00:09:51.240 --> 00:09:53.640]   you have to put in for this kind of stuff to emerge.
[00:09:53.640 --> 00:09:55.280]   That's the debate I have with Gary Marcus
[00:09:55.280 --> 00:09:56.320]   and people like that.
[00:09:56.320 --> 00:09:58.920]   (upbeat music)
[00:09:58.920 --> 00:10:01.520]   (upbeat music)
[00:10:01.520 --> 00:10:04.120]   (upbeat music)
[00:10:04.120 --> 00:10:06.720]   (upbeat music)
[00:10:06.720 --> 00:10:09.320]   (upbeat music)
[00:10:09.320 --> 00:10:11.920]   (upbeat music)
[00:10:11.920 --> 00:10:21.920]   [BLANK_AUDIO]

