
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:01:58.080 --> 00:02:00.040]   - Oh my word.
[00:02:00.040 --> 00:02:01.520]   - So God has been so faithful
[00:02:01.520 --> 00:02:04.360]   because at the beginning of this journey,
[00:02:04.360 --> 00:02:06.720]   if I had thought about the length of it,
[00:02:06.720 --> 00:02:08.240]   I think I would have been intimidated,
[00:02:08.240 --> 00:02:11.000]   but God has been so faithful to us.
[00:02:11.000 --> 00:02:13.200]   - Yeah, I would have to say that too.
[00:02:13.200 --> 00:02:15.300]   Now I look back and I think,
[00:02:15.300 --> 00:02:17.840]   oh, wow, when you said 15 and I said,
[00:02:17.840 --> 00:02:19.000]   oh, wow, that's a long time.
[00:02:19.000 --> 00:02:23.880]   And then I thought that my oldest daughter
[00:02:23.880 --> 00:02:26.840]   will be 30 in a few months.
[00:02:26.840 --> 00:02:31.020]   So I must have been homeschooling for 25 years.
[00:02:31.020 --> 00:02:35.000]   But I still love it.
[00:02:35.000 --> 00:02:36.200]   I still do it.
[00:02:36.200 --> 00:02:38.040]   I still have a passion for it.
[00:02:38.040 --> 00:02:41.800]   God has placed homeschooling on my heart.
[00:02:41.800 --> 00:02:45.640]   And I think not just because I love my children
[00:02:45.640 --> 00:02:47.480]   and I love other people's children,
[00:02:47.480 --> 00:02:51.400]   I've been blessed to tutor many other families' children.
[00:02:51.400 --> 00:02:52.880]   It's not just that I love the children.
[00:02:52.880 --> 00:02:55.500]   I really am so committed to homeschooling
[00:02:55.500 --> 00:03:00.280]   because I love parents and I love encouraging parents.
[00:03:00.280 --> 00:03:04.040]   I love helping them to see that God has called them
[00:03:04.040 --> 00:03:09.040]   to do an absolutely scary but wonderful thing
[00:03:09.040 --> 00:03:12.480]   and that they can do it.
[00:03:12.480 --> 00:03:16.420]   And so that, y'all, is totally the reason
[00:03:16.420 --> 00:03:18.700]   I wanna talk about mission statements today
[00:03:18.700 --> 00:03:20.680]   because I was being completely honest.
[00:03:20.680 --> 00:03:24.960]   Our family, when we jumped into homeschooling,
[00:03:24.960 --> 00:03:27.460]   we jumped in with both feet and the full assurance
[00:03:27.460 --> 00:03:30.200]   that God was calling us to do it.
[00:03:30.200 --> 00:03:33.520]   But we had no clue about a mission statement.
[00:03:33.520 --> 00:03:36.240]   And so we, Kelly and I, are gonna together
[00:03:36.240 --> 00:03:38.920]   kind of deconstruct that whole idea
[00:03:38.920 --> 00:03:42.520]   of having a family mission statement while you guys listen.
[00:03:42.520 --> 00:03:46.180]   And hopefully, there'll be some takeaways for you.
[00:03:46.180 --> 00:03:50.320]   And I suspect that you may come to believe
[00:03:50.320 --> 00:03:53.880]   that a mission statement might just be the thing
[00:03:53.880 --> 00:03:55.760]   that your homeschool is missing
[00:03:55.760 --> 00:03:59.160]   that will give it life and purpose, but we'll see.
[00:03:59.160 --> 00:04:02.400]   Let me ask you, Kelly, does your family
[00:04:02.400 --> 00:04:05.480]   have a family mission statement?
[00:04:05.480 --> 00:04:07.960]   - Well, Lisa, let me say our family
[00:04:07.960 --> 00:04:11.640]   is very similar to yours in that,
[00:04:11.640 --> 00:04:15.420]   when we first began homeschooling so many years ago,
[00:04:15.420 --> 00:04:17.560]   mission statements were not in vogue.
[00:04:17.560 --> 00:04:21.200]   That was not a term that we were familiar with.
[00:04:21.200 --> 00:04:26.200]   And so in my mind's eye, I think I had a very unfocused view
[00:04:26.200 --> 00:04:30.880]   of what homeschooling would be to our family.
[00:04:30.880 --> 00:04:33.520]   And one of my sons is a photographer,
[00:04:33.520 --> 00:04:37.000]   and so often, he will hand me his camera,
[00:04:37.000 --> 00:04:38.640]   and I will look through the lens,
[00:04:38.640 --> 00:04:40.380]   and everything will be blurry.
[00:04:40.380 --> 00:04:42.920]   And he'll say, "Focus, Mom, focus!"
[00:04:42.920 --> 00:04:47.900]   And so I will turn that lens under his direction,
[00:04:47.900 --> 00:04:50.720]   and the picture will come into view.
[00:04:50.720 --> 00:04:53.400]   And at the beginning of our homeschooling,
[00:04:53.400 --> 00:04:57.860]   I think it was very similar in many ways to that process.
[00:04:57.860 --> 00:05:02.860]   I thought in my mind, I knew where I wanted us to end up,
[00:05:02.860 --> 00:05:08.380]   but I'll be honest and say that I was not certain
[00:05:08.380 --> 00:05:12.180]   at moments how we would get there.
[00:05:12.180 --> 00:05:17.000]   And so there was always this question in the back of my mind,
[00:05:17.000 --> 00:05:19.880]   am I doing the right things?
[00:05:19.880 --> 00:05:23.020]   Are we moving in the right direction?
[00:05:23.020 --> 00:05:26.800]   And classical conversations played a huge role
[00:05:26.800 --> 00:05:29.480]   in helping to establish that focus
[00:05:29.480 --> 00:05:32.260]   in our family for our journey.
[00:05:32.260 --> 00:05:34.720]   So I would say at the very beginning, no.
[00:05:34.720 --> 00:05:39.720]   Now over time, as our vision as a family
[00:05:40.880 --> 00:05:43.200]   has sharpened for what homeschooling
[00:05:43.200 --> 00:05:47.140]   actually is for our family,
[00:05:47.140 --> 00:05:50.820]   we have come across some phrases and some words
[00:05:50.820 --> 00:05:54.580]   and sentiments by studying God's Word,
[00:05:54.580 --> 00:05:56.240]   or even through our reading,
[00:05:56.240 --> 00:06:00.220]   our common reading that we do together as a family
[00:06:00.220 --> 00:06:04.840]   that I think have given us more clarity as a family
[00:06:04.840 --> 00:06:09.840]   to what homeschooling is and what it can be for our family,
[00:06:10.180 --> 00:06:13.740]   not only in the years past, but in the years to come.
[00:06:13.740 --> 00:06:14.980]   - I really like that.
[00:06:14.980 --> 00:06:17.780]   I like the analogy that you made
[00:06:17.780 --> 00:06:19.980]   to looking through the lens of a camera.
[00:06:19.980 --> 00:06:22.380]   And yeah, you can see things,
[00:06:22.380 --> 00:06:24.780]   but it's not as sharply focused
[00:06:24.780 --> 00:06:26.820]   as you thought it was gonna be.
[00:06:26.820 --> 00:06:28.500]   You know that when you look through that
[00:06:28.500 --> 00:06:31.140]   at something beautiful, this always happens to me.
[00:06:31.140 --> 00:06:35.100]   We will drive up to the Blue Ridge Parkway in the fall
[00:06:35.100 --> 00:06:36.220]   to look at the leaves,
[00:06:36.220 --> 00:06:40.620]   and they are just so stunningly beautiful.
[00:06:40.620 --> 00:06:43.860]   And I take a picture, but when I come home,
[00:06:43.860 --> 00:06:47.860]   the picture is never, I never feel like exactly,
[00:06:47.860 --> 00:06:50.560]   that it's exactly what I was looking at.
[00:06:50.560 --> 00:06:54.660]   And so somehow I'm not capturing
[00:06:54.660 --> 00:06:57.420]   the full beauty that is there.
[00:06:57.420 --> 00:07:00.820]   And so I really appreciate what you said.
[00:07:00.820 --> 00:07:05.580]   Sometimes looking, focusing, adjusting the focus
[00:07:05.580 --> 00:07:09.640]   a little bit can bring things into sharper relief.
[00:07:09.640 --> 00:07:16.880]   Okay, so you said you didn't have one when you started,
[00:07:16.880 --> 00:07:21.500]   but you eventually saw the light, so to speak,
[00:07:21.500 --> 00:07:24.620]   and realized that a family mission statement
[00:07:24.620 --> 00:07:25.880]   might be a good thing.
[00:07:25.880 --> 00:07:27.940]   And as you grew in your understanding
[00:07:27.940 --> 00:07:30.920]   alongside your family of what it could be,
[00:07:30.920 --> 00:07:33.680]   that that seemed like a desirable thing.
[00:07:33.680 --> 00:07:37.460]   What I was thinking when I realized
[00:07:37.460 --> 00:07:40.420]   that we really needed to address this,
[00:07:40.420 --> 00:07:41.980]   I started trying to think,
[00:07:41.980 --> 00:07:46.980]   why might a family want a family mission statement?
[00:07:46.980 --> 00:07:50.900]   And I want you to help me think through that.
[00:07:50.900 --> 00:07:53.160]   I came up with a couple of things.
[00:07:53.160 --> 00:07:57.900]   A family mission statement
[00:07:57.900 --> 00:08:01.700]   gives us as a family an identity.
[00:08:01.700 --> 00:08:06.640]   It's something that stamps all of us
[00:08:06.640 --> 00:08:11.240]   as belonging together in purpose.
[00:08:11.240 --> 00:08:14.340]   And that's the other thing that a family mission statement
[00:08:14.340 --> 00:08:16.540]   can give your family.
[00:08:16.540 --> 00:08:21.540]   It can very clearly state what you all see
[00:08:21.540 --> 00:08:26.840]   as the purpose of your home, not just your homeschooling,
[00:08:28.260 --> 00:08:33.180]   but what is God's purpose for you as a family unit
[00:08:33.180 --> 00:08:34.380]   in the world?
[00:08:34.380 --> 00:08:38.420]   Why did God ordain from the foundation of the world
[00:08:38.420 --> 00:08:42.480]   that you be part of this family?
[00:08:42.480 --> 00:08:48.840]   I think that having a family mission statement
[00:08:48.840 --> 00:08:53.840]   acquaints every member of your family with the mission.
[00:08:54.900 --> 00:08:59.220]   What is God calling you, not just to be,
[00:08:59.220 --> 00:09:01.060]   'cause that's your identity,
[00:09:01.060 --> 00:09:06.060]   but what is God calling your family to do together?
[00:09:06.060 --> 00:09:07.580]   What are you thinking?
[00:09:07.580 --> 00:09:12.580]   Why might a family want a family mission statement?
[00:09:12.580 --> 00:09:15.340]   - Well, I feel like a driver
[00:09:15.340 --> 00:09:17.940]   who is looking through the rear view mirror with a car
[00:09:17.940 --> 00:09:21.300]   in reverse just a little bit, hindsight is 20/20.
[00:09:21.300 --> 00:09:26.100]   But I think now looking back to when we first began
[00:09:26.100 --> 00:09:29.900]   homeschooling, a mission statement would have been so helpful
[00:09:29.900 --> 00:09:32.340]   because I think you're right.
[00:09:32.340 --> 00:09:36.180]   I think that it gives a family a shared meaning.
[00:09:36.180 --> 00:09:38.340]   It gives you a shared purpose,
[00:09:38.340 --> 00:09:42.100]   but I think it also establishes a family culture.
[00:09:42.100 --> 00:09:48.020]   We have some things that we say as a family and jokingly,
[00:09:48.020 --> 00:09:51.780]   when our boys were younger, now they're young men,
[00:09:51.780 --> 00:09:54.580]   but we, my husband and I determined
[00:09:54.580 --> 00:09:57.200]   we wanted them to be hardworking.
[00:09:57.200 --> 00:10:00.820]   And so very flippantly, we would say,
[00:10:00.820 --> 00:10:03.500]   wilts don't whine, we do things.
[00:10:03.500 --> 00:10:04.700]   - Oh, I love it.
[00:10:04.700 --> 00:10:09.700]   - It began as this refocusing tool that we would use
[00:10:09.700 --> 00:10:13.180]   where, oh, they would be in the middle of putting together
[00:10:13.180 --> 00:10:18.180]   an any chart for a book maybe they didn't enjoy as much,
[00:10:18.180 --> 00:10:20.440]   or they would be working on an outline
[00:10:20.440 --> 00:10:22.120]   or working on a difficult assignment
[00:10:22.120 --> 00:10:23.860]   or committing something to memory.
[00:10:23.860 --> 00:10:26.940]   Obviously something that would take time
[00:10:26.940 --> 00:10:28.900]   and energy and effort.
[00:10:28.900 --> 00:10:31.540]   - Right, and determination, yeah.
[00:10:31.540 --> 00:10:33.540]   - That's right, we would start to notice
[00:10:33.540 --> 00:10:36.500]   that the attitudes would take a turn south.
[00:10:36.500 --> 00:10:38.260]   - Oh yeah, yeah.
[00:10:38.260 --> 00:10:40.720]   - So my husband would look at me and he would say,
[00:10:40.720 --> 00:10:43.920]   wilts don't whine, and I would say, we do things.
[00:10:43.920 --> 00:10:46.600]   And it was so funny over the years,
[00:10:46.600 --> 00:10:49.160]   it has become a catchphrase in our family
[00:10:49.160 --> 00:10:51.500]   to the point that when we're in community,
[00:10:51.500 --> 00:10:55.840]   I've heard my child say, our youngest say to herself,
[00:10:55.840 --> 00:10:57.840]   wilts don't whine, they do things.
[00:10:57.840 --> 00:10:58.960]   (laughing)
[00:10:58.960 --> 00:11:01.000]   - What a great mantra though.
[00:11:01.000 --> 00:11:06.000]   And what an important way to teach little children
[00:11:06.000 --> 00:11:10.320]   a great spiritual and character truth
[00:11:10.320 --> 00:11:14.700]   in a fun way, but that makes you all part of the same team.
[00:11:14.700 --> 00:11:16.920]   Because it wasn't that you were saying,
[00:11:16.920 --> 00:11:21.400]   Jonathan, stop whining, or Libby, you know better than that.
[00:11:21.400 --> 00:11:24.040]   It's, this identifies us all.
[00:11:24.040 --> 00:11:27.980]   I'm part of this family that doesn't whine, it does things.
[00:11:27.980 --> 00:11:29.960]   How lovely, I like that.
[00:11:29.960 --> 00:11:31.840]   - Well, and you know, thinking about this,
[00:11:31.840 --> 00:11:33.600]   I think way back at the beginning
[00:11:33.600 --> 00:11:36.660]   of our homeschool journey, having a mission statement
[00:11:36.660 --> 00:11:40.420]   would have also helped us to determine our why.
[00:11:40.420 --> 00:11:42.700]   Why were we doing this?
[00:11:42.700 --> 00:11:45.060]   Because you know, I just was jokingly talking
[00:11:45.060 --> 00:11:46.960]   about my children doing difficult things.
[00:11:46.960 --> 00:11:48.820]   Well, Lisa, you and I both know,
[00:11:48.820 --> 00:11:53.820]   homeschooling itself on most days is a difficult thing.
[00:11:53.820 --> 00:11:58.300]   And so having that statement would have helped me
[00:11:58.300 --> 00:12:00.900]   to focus my mind and my heart,
[00:12:00.900 --> 00:12:03.820]   just like I tried to do with my children,
[00:12:03.820 --> 00:12:05.800]   so that I could stay the course.
[00:12:05.800 --> 00:12:09.380]   Because you know, looking back, one thing I know for certain
[00:12:09.380 --> 00:12:11.960]   is that God called us to this path.
[00:12:11.960 --> 00:12:15.860]   And to stay committed to something that is difficult
[00:12:15.860 --> 00:12:18.820]   takes fortitude, it takes perseverance,
[00:12:18.820 --> 00:12:23.560]   it takes determination on the most difficult of days
[00:12:23.560 --> 00:12:28.100]   to stay the course and to continue to move forward
[00:12:28.100 --> 00:12:32.320]   so that God can complete the work that He's called you to do.
[00:12:32.320 --> 00:12:36.160]   And so having that focused statement,
[00:12:36.160 --> 00:12:39.940]   I think would have done for me and my homeschool momma heart
[00:12:39.940 --> 00:12:43.000]   the same thing that saying, "Wilts don't whine,
[00:12:43.000 --> 00:12:46.040]   we do things for my children."
[00:12:46.040 --> 00:12:49.340]   - I love that, I love that.
[00:12:49.340 --> 00:12:55.300]   Another thing that having a family mission statement can do
[00:12:55.300 --> 00:13:00.220]   is help us form goals, help us formulate goals
[00:13:00.220 --> 00:13:02.600]   for our family.
[00:13:02.600 --> 00:13:06.200]   What kind of impact are we gonna have on the world?
[00:13:06.200 --> 00:13:10.100]   If a world impact is part of your mission statement,
[00:13:10.100 --> 00:13:12.620]   then what will you do?
[00:13:12.620 --> 00:13:16.440]   It actually helps to flesh out
[00:13:16.440 --> 00:13:19.400]   or to give you something to flesh out.
[00:13:19.400 --> 00:13:24.800]   Not just the whys, but the whats,
[00:13:24.800 --> 00:13:29.800]   and then the hows of what your family is going to do.
[00:13:29.800 --> 00:13:33.880]   As you move through.
[00:13:33.880 --> 00:13:37.480]   So we've talked a lot about why a family might want
[00:13:37.480 --> 00:13:39.580]   a family mission statement, okay.
[00:13:39.580 --> 00:13:42.920]   But really, I want us to get super practical
[00:13:42.920 --> 00:13:47.920]   because I can remember Kelly as a new homeschooling mom
[00:13:47.920 --> 00:13:54.360]   and I had a five year old who was itching
[00:13:54.360 --> 00:13:57.920]   to learn everything and thought that she already knew
[00:13:57.920 --> 00:13:59.120]   most of it.
[00:13:59.120 --> 00:14:02.400]   And then a two and a half year old that just wanted
[00:14:02.400 --> 00:14:06.880]   to be with us wherever we were and whatever we were doing.
[00:14:06.880 --> 00:14:11.440]   And I remember thinking, "Oh glory, I've got to teach
[00:14:11.440 --> 00:14:16.440]   "this little soul how to read and all about numbers
[00:14:16.440 --> 00:14:19.920]   "and I want her to be curious about the world.
[00:14:19.920 --> 00:14:23.480]   "I want both of them to be healthy and happy
[00:14:23.480 --> 00:14:26.840]   "and I want them to know about God and I want them
[00:14:26.840 --> 00:14:29.120]   "to learn how to live in a family."
[00:14:29.120 --> 00:14:31.640]   Oh, I was so overwhelmed some days.
[00:14:31.640 --> 00:14:35.440]   I mean, isn't coming up with a family mission statement
[00:14:35.440 --> 00:14:37.240]   just a bridge too far?
[00:14:37.240 --> 00:14:41.520]   Isn't that just too much for families starting out?
[00:14:41.520 --> 00:14:45.400]   - You know, I remember those days where my husband
[00:14:45.400 --> 00:14:49.600]   would come home from work and I would hand him a baby
[00:14:49.600 --> 00:14:52.360]   while I was stirring spaghetti sauce on the stove
[00:14:52.360 --> 00:14:55.080]   and I would say, "We made it, we're all still alive."
[00:14:55.080 --> 00:14:58.560]   And that was the goal of the day.
[00:14:58.560 --> 00:15:03.120]   You know, I think that as I have learned more
[00:15:03.120 --> 00:15:05.600]   and as our family has grown, I've realized that
[00:15:05.600 --> 00:15:08.560]   as our family grows, so has our mission.
[00:15:08.560 --> 00:15:12.880]   Our understanding of our mission has grown,
[00:15:12.880 --> 00:15:17.120]   our understanding of what it can and should be has grown
[00:15:17.120 --> 00:15:19.800]   just as my children have.
[00:15:19.800 --> 00:15:23.680]   And so when my boys were super little, I would say,
[00:15:23.680 --> 00:15:27.600]   because I had two very distinct personalities.
[00:15:27.600 --> 00:15:30.240]   I had a first born perfectionist who would build
[00:15:30.240 --> 00:15:34.120]   elaborate block towers and then I had my second born
[00:15:34.120 --> 00:15:38.040]   who delighted in knocking every single one of them over.
[00:15:38.040 --> 00:15:42.080]   And so there was always just an underlying conflict
[00:15:42.080 --> 00:15:45.120]   going on between the two boys.
[00:15:45.120 --> 00:15:50.120]   And so I would say to them, love God, love each other,
[00:15:50.600 --> 00:15:53.960]   daddy, mama, sister, brother.
[00:15:53.960 --> 00:15:57.860]   And we would say that because at that point
[00:15:57.860 --> 00:16:00.880]   in our homeschool journey, those were the goals.
[00:16:00.880 --> 00:16:04.680]   I wanted my boys, and this was before their sister
[00:16:04.680 --> 00:16:07.240]   even came along, so they were ready for her
[00:16:07.240 --> 00:16:09.280]   whenever she came.
[00:16:09.280 --> 00:16:12.040]   But I wanted them, first of all, to love God.
[00:16:12.040 --> 00:16:14.720]   I knew that was a goal from the beginning.
[00:16:14.720 --> 00:16:18.280]   That was a distinctive that I wanted for our family.
[00:16:18.280 --> 00:16:20.680]   And I wanted them to love each other well.
[00:16:20.680 --> 00:16:24.400]   Now that looked very different when I had a six year old
[00:16:24.400 --> 00:16:28.920]   and a three year old, than it does now as I have young men
[00:16:28.920 --> 00:16:33.260]   who are approaching manhood to live independently
[00:16:33.260 --> 00:16:37.280]   of our family, which seems so bizarre to say
[00:16:37.280 --> 00:16:41.520]   because those block knocking over days
[00:16:41.520 --> 00:16:43.580]   just seemed like yesterday.
[00:16:43.580 --> 00:16:48.160]   But now I see the relationship they have.
[00:16:48.160 --> 00:16:49.600]   They do love the Lord.
[00:16:49.600 --> 00:16:51.000]   They do love each other.
[00:16:51.000 --> 00:16:56.000]   And when I walk past our son who is still at home's bedroom,
[00:16:56.000 --> 00:16:59.760]   and I hear him in conversation with his brother,
[00:16:59.760 --> 00:17:04.760]   I see that God used that little saying to cement a value
[00:17:04.760 --> 00:17:07.800]   in their hearts and minds to love God
[00:17:07.800 --> 00:17:09.480]   and to love each other well.
[00:17:09.480 --> 00:17:11.520]   And so even though at that stage in the game
[00:17:11.520 --> 00:17:13.640]   when they were small, we did not have
[00:17:13.640 --> 00:17:15.100]   a formal mission statement.
[00:17:15.100 --> 00:17:19.920]   The sentiment, the values definitely were there
[00:17:19.920 --> 00:17:22.220]   and took root and were ingrained
[00:17:22.220 --> 00:17:24.160]   even when they were little guys.
[00:17:24.160 --> 00:17:26.340]   And now I get to enjoy the fruit of that
[00:17:26.340 --> 00:17:30.180]   as I see their near adult relationship with each other.
[00:17:30.180 --> 00:17:31.940]   What a gift.
[00:17:31.940 --> 00:17:34.360]   - Man, I love that.
[00:17:34.360 --> 00:17:35.780]   I love that.
[00:17:35.780 --> 00:17:37.780]   Love God, love each other.
[00:17:37.780 --> 00:17:39.260]   I love that.
[00:17:39.260 --> 00:17:42.540]   I love that because we had little sayings
[00:17:43.960 --> 00:17:46.460]   in our family too that we grew up in.
[00:17:46.460 --> 00:17:51.880]   Some days it was just a one-off that you just said
[00:17:51.880 --> 00:17:54.660]   and it developed a life of its own.
[00:17:54.660 --> 00:17:57.340]   Maybe it had a rhythm or a cadence
[00:17:57.340 --> 00:18:00.760]   or in a lighthearted way spoke a deep truth
[00:18:00.760 --> 00:18:03.200]   that you guys tended to live out.
[00:18:03.200 --> 00:18:07.740]   And so those are so, so fun to hold on to.
[00:18:07.740 --> 00:18:10.520]   And I bet your kids still remember those things.
[00:18:11.920 --> 00:18:15.860]   This is what I want to say about families
[00:18:15.860 --> 00:18:18.180]   who might feel like, oh, now I have to come up
[00:18:18.180 --> 00:18:21.100]   with a mission statement and do all this stuff.
[00:18:21.100 --> 00:18:23.620]   Here's what I want to tell you.
[00:18:23.620 --> 00:18:28.860]   A mission statement, I believe,
[00:18:28.860 --> 00:18:33.860]   is worth the quote-unquote trouble for three reasons.
[00:18:33.860 --> 00:18:39.260]   Okay, I know I sound like a loss of tools of writing paper.
[00:18:39.260 --> 00:18:43.100]   Okay, for three reasons, at least three reasons.
[00:18:43.100 --> 00:18:44.180]   Here's one thing.
[00:18:44.180 --> 00:18:49.180]   A family mission statement can help you get started right.
[00:18:49.180 --> 00:18:55.000]   It can help you distill the things
[00:18:55.000 --> 00:18:57.480]   that are truly important to you,
[00:18:57.480 --> 00:19:00.060]   that God has laid on your heart.
[00:19:00.060 --> 00:19:04.100]   It will help you articulate, like Kelly said, your why.
[00:19:04.100 --> 00:19:07.720]   Why has God called me to this?
[00:19:07.720 --> 00:19:10.900]   But it will help you get started right
[00:19:10.900 --> 00:19:15.540]   so that in the middle of a really bad day,
[00:19:15.540 --> 00:19:18.580]   you will be able to go back to your mission statement
[00:19:18.580 --> 00:19:23.580]   and say, but what our family is about is loving God
[00:19:23.580 --> 00:19:31.300]   and learning how to love others and filling in those blank.
[00:19:31.300 --> 00:19:33.300]   And that brings me to the second reason
[00:19:33.300 --> 00:19:36.620]   that a mission statement is a really good thing.
[00:19:36.620 --> 00:19:41.340]   It will continually bring you back to home base.
[00:19:41.340 --> 00:19:44.020]   Those of you listeners who've been homeschooling
[00:19:44.020 --> 00:19:48.640]   for a long time know that even though
[00:19:48.640 --> 00:19:51.000]   we're everyday educators and we are learning
[00:19:51.000 --> 00:19:53.920]   alongside our children, we are still sometimes
[00:19:53.920 --> 00:19:58.920]   led astray by the eye candy of what other families are doing
[00:19:58.920 --> 00:20:02.100]   or what seems like a really great gimmick.
[00:20:02.100 --> 00:20:05.360]   It's flashy or colorful or fun.
[00:20:05.360 --> 00:20:07.660]   And we get spread thin or pulled
[00:20:07.660 --> 00:20:09.860]   in too many different directions.
[00:20:09.860 --> 00:20:14.300]   A family mission statement will always bring you back
[00:20:14.300 --> 00:20:17.040]   to home base, will always bring you back
[00:20:17.040 --> 00:20:20.460]   to the foundations of why am I doing this?
[00:20:20.460 --> 00:20:23.540]   What am I called to do in my home
[00:20:23.540 --> 00:20:26.600]   with my children and in the world?
[00:20:26.600 --> 00:20:28.820]   And here's another thing.
[00:20:28.820 --> 00:20:32.120]   The third reason I think a family mission statement
[00:20:32.120 --> 00:20:37.120]   is so wonderful is that it will calm you.
[00:20:37.120 --> 00:20:42.380]   It will give calmness to your homeschooling
[00:20:42.380 --> 00:20:45.440]   and to your family life because your family mission
[00:20:45.440 --> 00:20:50.440]   statement will actually help refine your choices.
[00:20:50.440 --> 00:20:53.800]   There are some things, you cannot,
[00:20:53.800 --> 00:20:57.060]   have you ever been to a homeschool book fair?
[00:20:57.060 --> 00:21:00.060]   Oh my gosh, for people who love books,
[00:21:00.060 --> 00:21:02.900]   it is just like I sometimes go in
[00:21:02.900 --> 00:21:04.600]   and just sort of spin in a circle.
[00:21:04.600 --> 00:21:06.340]   I'm just like, I don't know what's a good thing
[00:21:06.340 --> 00:21:08.180]   to look at first.
[00:21:08.180 --> 00:21:11.120]   There's so many good things and there's so many choices
[00:21:11.120 --> 00:21:14.120]   and there's so many good choices.
[00:21:14.120 --> 00:21:18.020]   But too much of a good thing is not too good.
[00:21:18.020 --> 00:21:20.340]   It is still just too much.
[00:21:20.340 --> 00:21:24.300]   And so you gotta have something that will help you
[00:21:24.300 --> 00:21:28.540]   refine your choices and find the things,
[00:21:28.540 --> 00:21:33.140]   the activities, the emphasis, the books,
[00:21:33.140 --> 00:21:37.340]   the avenues of study that really further
[00:21:37.340 --> 00:21:42.340]   your family's mission as God has led your family to see it.
[00:21:42.340 --> 00:21:47.680]   And that's why I think a mission statement is so important.
[00:21:47.680 --> 00:21:56.460]   I can't, I really do think it's awesome to have one.
[00:21:56.460 --> 00:21:59.660]   Let's talk a little more practicality.
[00:21:59.660 --> 00:22:01.460]   Who should write this?
[00:22:01.460 --> 00:22:03.520]   Kelly, when you guys started coming up
[00:22:03.520 --> 00:22:07.620]   with more of a statement, did you and Kim,
[00:22:07.620 --> 00:22:09.460]   your husband write it together?
[00:22:09.460 --> 00:22:12.100]   Did you write it and get him to pass off on it?
[00:22:12.100 --> 00:22:15.000]   Or did you involve the whole family?
[00:22:15.000 --> 00:22:19.000]   Well, I involved our whole family and let me tell you why.
[00:22:19.000 --> 00:22:24.000]   Because I wanted this to be a focus for all of us,
[00:22:24.660 --> 00:22:28.860]   not just something that mom had imposed on our family.
[00:22:28.860 --> 00:22:32.560]   I wanted them to feel that they were a part
[00:22:32.560 --> 00:22:35.020]   of our family culture because they are.
[00:22:35.020 --> 00:22:37.540]   Each person in your family is unique
[00:22:37.540 --> 00:22:41.740]   and uniquely given to you to fulfill God's purpose
[00:22:41.740 --> 00:22:43.580]   for your family in this world.
[00:22:43.580 --> 00:22:46.580]   And so involving each of them, to me,
[00:22:46.580 --> 00:22:48.900]   was the right path to take.
