
[00:00:00.000 --> 00:00:22.800]   Hi, this is Niklas. I'm the CTO and co-founder of Log10. And we want to talk about how you can
[00:08:14.800 --> 00:08:22.400]   that's been generated. And we've been working on this, where you basically start bridging between
[00:08:22.400 --> 00:08:27.440]   model-based and human feedback. So instead of removing the human completely from the feedback,
[00:08:27.440 --> 00:08:34.160]   you start taking in all the feedback that might have been given prior and start modeling it. And say,
[00:08:34.160 --> 00:08:40.240]   like, if you have all the feedback from John, then we create an auto-John that will start generating feedback
[00:08:40.240 --> 00:08:46.880]   for review for any incoming completions. And so in this case here, we have two pieces of feedback that's been
[00:08:46.880 --> 00:08:54.720]   already given by a human. So here it was all just a score of five, or here just like a bit more nuanced.
[00:08:54.720 --> 00:09:03.280]   But here we are kind of pending feedback. And if you click this, we have AI suggested an answer to this.
[00:09:06.480 --> 00:09:13.360]   And that's all I have today. If you want to get started on LLM-Eval, we have our documentation at our
[00:09:13.360 --> 00:09:21.440]   usual documentation site. And you can find me at Nicholas Crawford on X, or formerly known as Twitter,
[00:09:21.440 --> 00:09:32.000]   or it should be an email at nick@log10.io. Thank you.

