
[00:00:00.000 --> 00:00:18.720]   Antonio,
[00:03:18.420 --> 00:03:22.020]   Where the owner was trafficking cocaine to underwrite the car.
[00:03:22.020 --> 00:03:22.520]   Exactly.
[00:03:22.520 --> 00:03:24.300]   I may live in Miami but even Antonio Grossi is not a big fan of DeLorean.
[00:03:24.300 --> 00:03:24.800]   Yeah.
[00:03:24.800 --> 00:03:26.580]   Antonio Grossi is not selling cocaine for sure.
[00:03:26.580 --> 00:03:27.080]   Sure.
[00:03:27.080 --> 00:03:27.580]   That I'm sure.
[00:03:27.580 --> 00:03:33.300]   Yeah but no it was a very it was a it was a career betting event for us and it turned out right it
[00:03:33.300 --> 00:03:38.980]   was right thing to do but yeah for me it was I'm just deeply grateful for these experiences.
[00:03:38.980 --> 00:03:42.660]   But I mean you really doubled down because you didn't just do Tesla you also
[00:03:42.660 --> 00:03:45.700]   were there in some really critical moments at SpaceX as well.
[00:03:45.700 --> 00:03:50.140]   We were although I tell you you know we doubled down at the time in Tesla we put more money in
[00:03:50.140 --> 00:03:53.780]   Tesla than the financial crisis and then helped lead a convert round there that was really tough
[00:03:53.780 --> 00:03:54.460]   for us to do and then put more in Tesla.
[00:03:54.460 --> 00:03:54.960]   Yeah.
[00:03:54.960 --> 00:04:08.540]   And then put more in SpaceX but I tell you operationally like in terms of capital stack I think there were other people around and SpaceX is also running out of money and so we put money to SpaceX operation we were just basically over the years but it was never as existential in terms of the operations it was a Tesla.
[00:04:08.540 --> 00:04:23.080]   I mean Tesla was truly I think truly existential and because we were operating guys and I myself had been a factory manager I worked in all the parts and all parts factory I'd run industrial facilities myself we could kind of uniquely add value there in the rocket factory you know we were just less valuable.
[00:04:23.080 --> 00:04:23.580]   Yeah.
[00:04:23.580 --> 00:04:24.080]   Yeah.
[00:04:24.080 --> 00:04:33.380]   But yeah both these companies were going down at the same time and you know the amount of stress we were all under was extraordinary but you know looking back on it it's one of the greatest moments of my career.
[00:04:33.380 --> 00:04:33.880]   Yeah.
[00:04:33.880 --> 00:04:53.700]   I mean this sense of fellowship you know one of the I think the great thing about being in our business the business we are all in is that we get to back amazing people that are trying to change the world and in these dark dark dark deep moments we get to go to war for them and in those moments I call them these moments of fellowship where you just care deeply about someone and passionate about the mission.
[00:04:53.700 --> 00:04:54.200]   Yeah.
[00:04:54.200 --> 00:04:59.700]   And you get to make a huge difference like these are the highlights of my career and if you ask my partners they tell you the same thing.
[00:04:59.700 --> 00:05:09.580]   These are the best moments we've had some together three of us have had some together actually we've all had some together here on the stage we had to fight for something you believed in and it's a privilege man to do it.
[00:05:09.580 --> 00:05:17.080]   It's a privilege in that situation it's privilege to be with Elon it's been a privilege to be there with all of you at different moments in my career and I'm very grateful for it.
[00:05:17.080 --> 00:05:19.880]   How do you feel like you come off of a high after having huge successes like this.
[00:05:19.880 --> 00:05:20.700]   I mean I think it's a really good thing.
[00:05:20.700 --> 00:05:21.700]   I mean I think it's a really good thing.
[00:05:21.700 --> 00:05:22.000]   Yeah.
[00:05:22.000 --> 00:05:22.400]   I mean I think it's a really good thing.
[00:05:22.400 --> 00:05:22.860]   I mean I think it's a really good thing.
[00:05:22.860 --> 00:05:23.360]   I mean I think it's a really good thing.
[00:05:23.360 --> 00:05:28.940]   like that like how do you stay grounded and motivated to try to find the next
[00:05:28.940 --> 00:05:32.000]   one if in the back of your mind there must be a little piece that says it's
[00:05:32.000 --> 00:05:35.780]   never gonna be as good as this guy or those two things I mean you know it is
[00:05:35.780 --> 00:05:39.140]   it's interesting question of us I think that there's a couple things in play for
[00:05:39.140 --> 00:05:42.600]   us one is we keep going because we believe in making a little better we
[00:05:42.600 --> 00:05:46.060]   invest in companies that we believe make a difference with people we respect and
[00:05:46.060 --> 00:05:49.040]   where values lined with and that's the that's the ethos of our firm right so
[00:05:49.040 --> 00:05:52.580]   whether it's large or small we may never find something that says importantest
[00:05:52.580 --> 00:05:56.260]   has on SpaceX again but we will find more great people we will help them you
[00:05:56.260 --> 00:06:00.380]   know two of our companies here I mean we invest in an rule with Palmer we have a
[00:06:00.380 --> 00:06:04.080]   small investment Flexport which should have been one of the biggest mistakes
[00:06:04.080 --> 00:06:07.280]   the last ten years my career is not putting more money in Flexport yeah I
[00:06:07.280 --> 00:06:11.420]   know we had it we actually it's kind of a funny story about we had you know
[00:06:11.420 --> 00:06:15.020]   that's a kind of a soft handshake on a term sheet at say a price of X and
[00:06:15.020 --> 00:06:18.300]   soft they came in like two days later and made it 2x and I had too much price
[00:06:18.300 --> 00:06:21.800]   memory to keep going and co-lead it so there's an error but the you had you
[00:06:21.800 --> 00:06:25.060]   have two people on the stage here they're extraordinary entrepreneurs are
[00:06:25.060 --> 00:06:27.980]   trying to make the world better both both these companies are really really
[00:06:27.980 --> 00:06:32.180]   great and making the world much more pretty now post COVID and in times of
[00:06:32.180 --> 00:06:35.660]   war making it much safer for all of us there are people like that out there
[00:06:35.660 --> 00:06:38.840]   there's more than they may not be long you know it was probably one Elon in our
[00:06:38.840 --> 00:06:42.020]   generation but there's lots of great people and I'm very optimistic about
[00:06:42.020 --> 00:06:45.920]   what's happening on the economy we're seeing incredible incredible innovation
[00:06:45.920 --> 00:06:50.180]   with tremendous entrepreneurs in our pipeline so maybe there's another one I
[00:06:50.180 --> 00:06:55.160]   don't know Antonio how do you think about the in the businesses you guys
[00:06:55.160 --> 00:06:59.840]   invest in there can sometimes be a very long capital deployment cycle before you
[00:06:59.840 --> 00:07:04.420]   see any real return in terms of you know business value whether it's pharma I
[00:07:04.420 --> 00:07:07.700]   know you've done pharma some of these hardware companies where there's a big
[00:07:07.700 --> 00:07:12.020]   build cycle how much do you need to kind of think about and see a customer and
[00:07:12.020 --> 00:07:16.160]   revenue show up before you're willing to say hey let's build the big rocket ship
[00:07:16.160 --> 00:07:18.180]   to go to the friggin moon and how do you judge and value that business and back a team up?
[00:07:18.180 --> 00:07:24.940]   it's really a question I think it depends on this and this sector Ren yeah
[00:07:24.940 --> 00:07:29.820]   it depends on how we look at the world sure probabilistically and we're looking
[00:07:29.820 --> 00:07:32.100]   for companies that we call pro and true ever they get better the world gets
[00:07:32.100 --> 00:07:36.240]   worse so in in the case of pharma or something like SpaceX we'll think about
[00:07:36.240 --> 00:07:38.760]   like what is our problem was our probability tree here what you probably
[00:07:38.760 --> 00:07:43.380]   lost probably a 3x a 5x a 10x 100x and and then we'll think about when the
[00:07:43.380 --> 00:07:47.280]   capital goes in what is the actual return on capital I was watching the
[00:07:47.280 --> 00:07:50.760]   talk you guys had with with Ryan about what happens the public markets the
[00:07:50.760 --> 00:07:54.600]   reality is that what a business is a machine you put capital in one side and
[00:07:54.600 --> 00:07:57.840]   out the other side comes return the ROI see the return of invested capital
[00:07:57.840 --> 00:08:01.020]   really matters and if you're kind of classically trained investor the way I
[00:08:01.020 --> 00:08:04.360]   am we think about that a lot yeah so I know we may be putting a lot of capital
[00:08:04.360 --> 00:08:08.100]   in the question is what's the margin in the back end a company like SpaceX a lot
[00:08:08.100 --> 00:08:11.340]   of capitals going in but we know that if it works we believe it will work we're
[00:08:11.340 --> 00:08:13.980]   also going to have a company has tremendous margins even in the
[00:08:13.980 --> 00:08:17.660]   industrial sector because of the industry structure it's in it lives in
[00:08:17.660 --> 00:08:22.380]   an oligopoly inside the US and outside the US so it's like building Starlink
[00:08:22.380 --> 00:08:26.220]   same thing capital going in but we know that the the margins and the
[00:08:26.220 --> 00:08:29.300]   profitability that business on the back end will be very very high and so the
[00:08:29.300 --> 00:08:33.000]   ROIC will be very good just are you backing a lot of deep tech startups like
[00:08:33.000 --> 00:08:36.120]   companies a founder shows up with a PowerPoint they're like any 50 million
[00:08:36.120 --> 00:08:41.280]   bucks to make our prototype I mean it depends on the business so as an example
[00:08:41.280 --> 00:08:48.540]   you know we have passed on things that are our view going to have margins that
[00:08:48.540 --> 00:08:52.860]   are ultimately competed to a low a low level right and you know there are I
[00:08:52.860 --> 00:08:55.980]   don't give examples here but there are lots of examples of people that are
[00:08:55.980 --> 00:09:00.000]   doing things in you know I call it electric aircraft VTOLs etc we look at
[00:09:00.000 --> 00:09:03.120]   this and say this is gonna be a highly competitive market these are not an end
[00:09:03.120 --> 00:09:07.180]   of one SpaceX is an end of one if you compare that to someone making an
[00:09:07.180 --> 00:09:11.220]   electric vehicle that say electric airplane or electric VTOL that will not be an end of one
[00:09:11.220 --> 00:09:15.060]   it'll be an end of many and in any of many business you're ultimately going to
[00:09:15.060 --> 00:09:18.240]   have margin competition that's going to make it that return on capital goes down
[00:09:18.240 --> 00:09:21.300]   to basic industrial margins you know like it won't be that much better than
[00:09:21.300 --> 00:09:25.560]   Boeing's ROIC or Airbus's ROIC because those will be ultimate competitors you
[00:09:25.560 --> 00:09:29.220]   you said it a little too I think superficially so let me just double click
[00:09:29.220 --> 00:09:34.800]   and I think Antonio brings up I think one of the most important principles of
[00:09:34.800 --> 00:09:41.160]   investing that is so utterly poorly understood which is ROIC ROIC return on invested
[00:09:41.160 --> 00:09:46.080]   capital most people don't even know what it means how to calculate it no Pat over
[00:09:46.080 --> 00:09:50.100]   your weighted average cost of capital these are enormously fundamental principles when
[00:09:50.100 --> 00:09:54.240]   you're running a business especially in a moment like this because when the rubber meets the road
[00:09:54.240 --> 00:09:57.780]   and you need a lot of money and you run into somebody as sophisticated as him he's already
[00:09:57.780 --> 00:10:02.040]   worked from first principles to understand it it's really really really important to
[00:10:02.040 --> 00:10:07.260]   know these things because these are the core foundations of valuation you know so obviously
[00:10:07.260 --> 00:10:11.100]   DCFs are one framework but ROIC is incredibly incredibly important
[00:10:11.100 --> 00:10:15.960]   especially when you make real things and you need to spend capex and look in a world in the
[00:10:15.960 --> 00:10:20.040]   last 10 years where money's free nobody thinks about this very much we always have thought about
[00:10:20.040 --> 00:10:24.540]   it which informs our investment model but yeah Jim off's right I mean in today's world if you're an
[00:10:24.540 --> 00:10:28.440]   entrepreneur and you can show up and say listen I have a 50 60 70 return on capital every dollar
[00:10:28.440 --> 00:10:33.180]   you give me will yield a 70 80 return on the back end even though we're losing money along
[00:10:33.180 --> 00:10:36.780]   the way that's a very compelling case well to hey we're losing a bunch of money we're not
[00:10:36.780 --> 00:10:41.040]   sure what's gonna happen which is what we hear a lot this also builds on the question from yesterday
[00:10:41.040 --> 00:10:47.580]   which is how do you present yourself as you know a young emerging company and cut through all the
[00:10:47.580 --> 00:10:52.140]   noise and understanding of these things and about future value creation in a moment like
[00:10:52.140 --> 00:10:56.580]   this becomes really important as well even if people will debate whether it's right people
[00:10:56.580 --> 00:11:01.320]   will give you credit for the intellectual honesty of actually going there and understanding these
[00:11:01.320 --> 00:11:06.060]   things really you see it a lot where companies slip away from first principles so you know the
[00:11:06.060 --> 00:11:10.980]   first principles on a high margin Enterprise software business you can define
[00:11:10.980 --> 00:11:16.680]   ARR and assume some and then people say some multiple of ARR is your valuation comp like
[00:11:16.680 --> 00:11:20.280]   your you know your multiple and then another company shows up and the margins are different
[00:11:20.280 --> 00:11:24.120]   the growth profile is different the revenue retention is different it's a services business
[00:11:24.120 --> 00:11:28.260]   and they try and use a similar sort of comment all of a sudden everyone's thinking about valuation as
[00:11:28.260 --> 00:11:32.700]   a function of some industry standard comp as opposed to going back to understanding how did
[00:11:32.700 --> 00:11:36.240]   that comp get created in the first place and what's the nature of the business from which that
[00:11:36.240 --> 00:11:40.920]   comp arose and people are doing things like calling revenue ARR you know it's not even subscription
[00:11:40.920 --> 00:11:45.960]   and so on and I think that happens considerably more and then then that investing cycle just
[00:11:45.960 --> 00:11:49.440]   becomes you know hey well the next round will be this multiple and you know that's how we'll
[00:11:49.440 --> 00:11:54.660]   get our increment in valuation and everyone just misses the the core you know proposition of
[00:11:54.660 --> 00:11:58.260]   building a valuable business that can generate what's your look through into the economy just
[00:11:58.260 --> 00:12:02.460]   from your portfolio companies look we we think I think we're in a session I mean I don't know if
[00:12:02.460 --> 00:12:06.060]   someone's already said this but we're in a session we're in a session and this will be like my I don't
[00:12:06.060 --> 00:12:09.420]   know 100 cycle or something I'm pretty old I like the rest of us here we've seen it we've seen it
[00:12:09.420 --> 00:12:10.860]   over and over again and you know I see David's
[00:12:10.860 --> 00:12:13.680]   tweets about go raise two and a half years of money this is correct I mean we're gonna you
[00:12:13.680 --> 00:12:17.880]   need enough capital to get through the problem uh the good news about this recession and you
[00:12:17.880 --> 00:12:22.380]   know there are there's some good news here which is to me if you look at the the macro picture here
[00:12:22.380 --> 00:12:28.140]   it it looks like if you can look look at uh the amount of federal debt the the state of the
[00:12:28.140 --> 00:12:31.560]   consumer and kind of what's happening in this information it actually looks a little like
[00:12:31.560 --> 00:12:36.300]   post-world war II to me in that in the world in the world war II period we had the last
[00:12:36.300 --> 00:12:40.800]   massive mobilization or demobilization of our economy occurred in World War II right
[00:12:40.800 --> 00:12:45.600]   that happened again in covet when we change in this case it's like a mini version of
[00:12:45.600 --> 00:12:51.360]   remobilization that we're restarting the economy we flooded the system with money to get the to
[00:12:51.360 --> 00:12:55.560]   kind of buffer the problem then restart the economy and now we have inflation but we also
[00:12:55.560 --> 00:13:00.420]   have lots of business formation and we have new ways of doing work which is what happened after
[00:13:00.420 --> 00:13:05.460]   World War II so I'm I'm I'm very optimistic because most of these recessions you know to really get
[00:13:05.460 --> 00:13:10.740]   inflation down we're gonna have to reduce consumer demand and or change oil prices so for sure we
[00:13:10.740 --> 00:13:14.640]   should be pumping all this country I know it's not it's controversial but that's important to lower
[00:13:14.640 --> 00:13:19.800]   oil prices to get inflation down but the reality is underneath the the numbers there's a lot of
[00:13:19.800 --> 00:13:24.000]   innovation happening and that's what happened kind of post-world war II so I would say we're
[00:13:24.000 --> 00:13:28.320]   in a bit of a mini retooling it's going to be a rough year or two uh hang on it'll be a rough
[00:13:28.320 --> 00:13:32.640]   year or two but the consumers are in pretty good shapes they're not over levered we should come out
[00:13:32.640 --> 00:13:37.260]   okay and the U.S economy is so resilient man like you know we are all either one generation
[00:13:37.260 --> 00:13:40.680]   from being immigrants or immigrants here I think most of us right it's the best place
[00:13:40.680 --> 00:13:43.980]   in the world to live we're the most innovative economy in the world we should I'm super optimistic
[00:13:43.980 --> 00:13:47.880]   what's happening here because there's so much innovation so many smart people working so hard
[00:13:47.880 --> 00:13:52.020]   to make things better um I think it's going to be great I think we get the next couple years it's
[00:13:52.020 --> 00:13:58.680]   going to be great talk about this um pumping more oil situation obviously Russia's involved in a and
[00:13:58.680 --> 00:14:04.860]   we talked about earlier today had a debate about Ukraine and then you have maybe some folks in the
[00:14:04.860 --> 00:14:10.380]   Middle East not pumping as much oil as we might like them to and then Europe decided well we don't
[00:14:10.620 --> 00:14:15.600]   want to come back here we want you to do that over there and and then we stopped here uh and none of
[00:14:15.600 --> 00:14:21.180]   us want to see environmental damage done to the planet but we also don't want to see dictators
[00:14:21.180 --> 00:14:28.440]   take over the planet or the economy come to a halt what's a reasonable proposal for America
[00:14:28.440 --> 00:14:38.160]   yeah and American sovereignty in terms of green and renewables and maybe pumping some oil so look I
[00:14:38.160 --> 00:14:40.560]   we were the first institutional investors as a motor
[00:14:40.560 --> 00:14:44.460]   voters so I think I have enough bona fides to say this I believe in green technology okay absolutely
[00:14:44.460 --> 00:14:51.000]   100 but energy and in the same fund we did Tesla we actually had fracking assets because energy
[00:14:51.000 --> 00:14:55.980]   Independence is well that's incredible really yes in the same fund same fund because then as
[00:14:55.980 --> 00:15:02.280]   it is today energy Independence is a Nash security issue this is not a partisan issue
[00:15:02.280 --> 00:15:10.140]   extremely important to understand this extremely important to understand this yeah it's not about
[00:15:10.500 --> 00:15:15.840]   all the things it's about wars in the Middle East and the reality is that the Saudis are not pumping
[00:15:15.840 --> 00:15:21.420]   OPEC is not pumping this is terrible for America and they know it they're squeezing their economy
[00:15:21.420 --> 00:15:25.980]   the way they're in the 70s and it's absolutely being done on purpose so the answer to that in
[00:15:25.980 --> 00:15:30.420]   my mind is twofold one we should have an we should be an industrial policy general in this country
[00:15:30.420 --> 00:15:34.680]   but the first thing we should have is a energy policy energy policy look like this we take all
[00:15:34.680 --> 00:15:40.440]   of the background subsidies literally make them equal and we give let's say 500 billion total
[00:15:40.440 --> 00:15:46.140]   250 billion in in low-cost loans to the energy patch for drilling in places like Texas Louisiana
[00:15:46.140 --> 00:15:51.780]   and an equal amount to green energy and we Sprint to a green future at the same time we ensure that
[00:15:51.780 --> 00:15:55.860]   this country is safe and we have energy security in this country for all the people out there being
[00:15:55.860 --> 00:16:05.160]   hurt by high inflation it's a security problem what do you you guys invest heavily in manufacturing
[00:16:05.160 --> 00:16:08.160]   what do you see in terms of the future of manufacturing the opportunity for onshore
[00:16:08.160 --> 00:16:10.380]   manufacturing are there technologies that
[00:16:10.380 --> 00:16:13.020]   you guys are excited about that create an advantage for the United States to build
[00:16:13.020 --> 00:16:19.080]   manufacturing capacity um to service industry here and yeah look I think this thing about we
[00:16:19.080 --> 00:16:23.040]   outsource the entire our entire manufacturing base in China because it was cheaper but the
[00:16:23.040 --> 00:16:28.380]   reality is that the if we have been our the productivity between the kind of U.S and China
[00:16:28.380 --> 00:16:31.920]   right now is about eight to one so a U.S worker is eight times more productive than a Chinese worker
[00:16:31.920 --> 00:16:38.880]   we found in in cases like Tesla where we actually helped read in terms of GDP per worker yes we helped
[00:16:38.880 --> 00:16:40.320]   to in-source the supply chain
[00:16:40.320 --> 00:16:45.240]   of Tesla why is Tesla floating rated because I got news for you you actually can make stuff in America
[00:16:45.240 --> 00:16:53.340]   it's made very well shocking okay let me tell you when you put what what is the why do we have this
[00:16:53.340 --> 00:16:58.020]   narrative that it can't be done and then we go to Gigafactory and you see let me tell you having been
[00:16:58.020 --> 00:17:03.420]   done let me tell you why and boy I mean here's this I'm probably gonna get pillory for saying
[00:17:03.420 --> 00:17:08.100]   this but great companies are built by Engineers like Elon Musk that's a reality of it and they
[00:17:08.100 --> 00:17:10.260]   know they want to control their manufacturing we do it here so
[00:17:10.260 --> 00:17:13.380]   they can iterate faster and make the product better if the product's good enough you'll sell
[00:17:13.380 --> 00:17:18.300]   it for a great margin they get optimized by marketing people and destroyed by the CFO when
[00:17:18.300 --> 00:17:22.380]   you put the finance guy in charge and he's like oh hey we can get a lower piece part by sending
[00:17:22.380 --> 00:17:26.580]   it to China but he doesn't understand the iteration cycle of making that product that guy destroys the
[00:17:26.580 --> 00:17:30.960]   company and that's what happened in America bean counters yeah we put the CFOs in charge for God's
[00:17:30.960 --> 00:17:36.240]   sake don't do that these bean counters I mean can I say that let me say that more engineers
[00:17:36.240 --> 00:17:40.200]   let me say that if you if you if you calculate return on invested capital and you think about this
[00:17:40.200 --> 00:17:44.880]   carefully what happens is these long supply chains to Asia they have huge capital deployed but if
[00:17:44.880 --> 00:17:48.660]   capital is cheap you do that because the piece part price is cheaper but if you calculate what
[00:17:48.660 --> 00:17:52.500]   happened in Tesla in particular when you calculate the overall cost and capital wasn't free because
[00:17:52.500 --> 00:17:56.160]   you didn't get any it was actually much smarter to bring it back right so the long-term cycle
[00:17:56.160 --> 00:18:00.660]   you make more money the short-term cycle you make less money the short-term cycle you make
[00:18:00.660 --> 00:18:05.040]   more money I mean is that another way to think about it you optimize short-term outcomes you
[00:18:05.040 --> 00:18:09.840]   you improve the you you improve the income statement because you might improve properly in
[00:18:10.140 --> 00:18:13.920]   the long-term but you actually hurt the balance sheet because you sell this capital on the water
[00:18:13.920 --> 00:18:17.700]   over to China you're never bringing it back and your iteration cycle goes down because you you've
[00:18:17.700 --> 00:18:22.980]   got so what you're saying is the product's less innovative it is but he's saying something really
[00:18:22.980 --> 00:18:28.080]   important which is that it's the financialization of the PNL that in some ways led to the decline of
[00:18:28.080 --> 00:18:34.200]   American manufacturing in part meaning if you're a CEO of a business and you construct your employment
[00:18:34.200 --> 00:18:40.080]   agreement and it's based on a certain kind of earnings in a certain period a certain earnings per share
[00:18:40.080 --> 00:18:46.320]   the incentive to then drive financialization goes up now the perfect example of this is if you compare
[00:18:46.320 --> 00:18:53.040]   it for example and you did this the comp package that you gave Elon in 2018 versus the comp package
[00:18:53.040 --> 00:19:00.960]   that any other CEO in America got it was completely black and white it was it was it was it was opposite
[00:19:00.960 --> 00:19:09.180]   land yes and you basically completely said you get nothing now let's set these extreme goals and then
[00:19:09.180 --> 00:19:10.020]   if you can hit it
[00:19:10.020 --> 00:19:16.680]   you'll get compensated so much so that you know when you had glass Lewis and ISS all right uh the
[00:19:16.680 --> 00:19:20.460]   the ISS class who said no but they used in most things and we're being sued for it so gotta be
[00:19:20.460 --> 00:19:25.800]   careful what I say about it but um yeah we had a comp package fully votes on equity appreciation
[00:19:25.800 --> 00:19:31.080]   right that required creation of new products and look I'm gonna I'll pick on Apple here Apple's
[00:19:31.080 --> 00:19:34.740]   the first stock I ever bought I was 12 years old my mom actually went to Ocamp Bank and bought me
[00:19:34.740 --> 00:19:39.480]   a few shares of Apple I still have it in my account to remind me what it takes to build a company Steve
[00:19:39.960 --> 00:19:46.920]   was terrible and look then you know Tim Cook takes over to the supply chain guy I mean they've really
[00:19:46.920 --> 00:19:51.480]   optimized profitability it's unbelievable you know you know two trillion dollar market or something
[00:19:51.480 --> 00:19:57.240]   now but man when's the last time they need a product AirPods AirPods yeah I mean pretty great
[00:19:57.240 --> 00:20:03.420]   great product great product but I mean incredible free cash flow yeah they could aggressively buy
[00:20:03.420 --> 00:20:07.920]   back their stuff yes it's a financialization of that company has attracted I mean if you look at
[00:20:07.920 --> 00:20:12.780]   the company if you can look at a the largest shareholder is the most sophisticated financial
[00:20:12.780 --> 00:20:16.860]   asset owner in the world Berkshire yes Berkshire doesn't buy technology companies they buy
[00:20:16.860 --> 00:20:21.840]   incredibly well-run financial assets and it is look at how duck's getting lambasted for the VR
[00:20:21.840 --> 00:20:26.340]   investment some might say that strategically it's not a great investment but he's saying it I'm
[00:20:26.340 --> 00:20:30.780]   going to spend 10 billion dollars a year no no no he he said it for a quarter and then he had to take
[00:20:30.780 --> 00:20:36.480]   it back and cancel it oh yeah they took it back yeah yeah but that's what he wanted to do um and
[00:20:36.480 --> 00:20:37.860]   so to your point like it's very hard to get a lot of money out of it and it's very hard to get a lot of money out of it
[00:20:37.860 --> 00:20:45.060]   it's hard to really build things now yes but it can be done and look I think one of the I am it
[00:20:45.060 --> 00:20:49.500]   what is happening in the world today geopolitically is tragic the war we experience Ukraine is
[00:20:49.500 --> 00:20:54.120]   absolutely tragic but from all tragedies come some some good things there's always a silver lining
[00:20:54.120 --> 00:20:59.040]   and one of the silver lines here I think should be the acceleration of reshoring of all these
[00:20:59.040 --> 00:21:03.720]   products into America to rebuild our industrial base because we actually can do it I can tell
[00:21:03.720 --> 00:21:07.800]   you I am started my career basically as a factory manager in California
[00:21:07.800 --> 00:21:13.020]   it can be done there are Americans who want to make stuff between here Mexico Canada we can make
[00:21:13.020 --> 00:21:16.740]   Pharma we can make high-tech products yes the price might be a little higher but I gotta tell
[00:21:16.740 --> 00:21:20.160]   you iteration could be better and your value will be better if the product is better people will pay
[00:21:20.160 --> 00:21:27.420]   for it and resiliency and resilient listen for 100 100 all right we uh are setting up a couple of
[00:21:27.420 --> 00:21:31.980]   microphones here Antonio has been gracious enough to join us for some Q a the audience is filled
[00:21:31.980 --> 00:21:36.360]   with entrepreneurs capital allocators artists and builders so we're going to put a couple of
[00:21:36.360 --> 00:21:37.740]   microphones out there hopefully we'll be able to get some of those microphones out there hopefully
[00:21:37.740 --> 00:21:43.080]   some lights on the microphones if I can see them line up and remember the rule we don't need to know
[00:21:43.080 --> 00:21:49.800]   about your company just a tight concise question anybody does any marketing or promotion we're all
[00:21:49.800 --> 00:21:57.060]   going to groan let's practice a ground three two oh no guard you can say your name you can
[00:21:57.060 --> 00:22:05.460]   say your favorite also wait before we start yeah if Chris is Chris Malloy okay uh everybody you
[00:22:05.460 --> 00:22:07.680]   guys may want to just know Chris whenever you're in Vegas
[00:22:07.680 --> 00:22:13.860]   uh Chris is the guy at Carbone in Las Vegas which is the most you know best restaurant reservation
[00:22:13.860 --> 00:22:17.760]   to get but Chris bought a bottle of wine for us that we can open now and drink while we do the
