
[00:00:00.000 --> 00:00:01.380]   Um, all right.
[00:05:25.060 --> 00:05:25.300]   Right.
[00:05:25.300 --> 00:05:28.540]   So, so what have I gotten out of, out of my
[00:05:28.540 --> 00:05:31.380]   career when, you know, other friends of mine
[00:05:31.380 --> 00:05:34.580]   have had more steady jobs or even steadier
[00:05:34.580 --> 00:05:35.460]   careers in journalism.
[00:05:35.460 --> 00:05:36.980]   Like my friend, Mike came out to the bar last
[00:05:36.980 --> 00:05:38.020]   night, he works for Reuters.
[00:05:38.020 --> 00:05:40.540]   He's like a beat reporter on defense.
[00:05:40.540 --> 00:05:40.860]   Right.
[00:05:40.860 --> 00:05:42.700]   And he's like, I, he was like, you know, I
[00:05:42.700 --> 00:05:44.540]   loved, I would love to do what you do.
[00:05:44.820 --> 00:05:46.820]   It's I have the freedom to go anywhere and
[00:05:46.820 --> 00:05:47.420]   do what I want.
[00:05:47.420 --> 00:05:50.300]   And as long as someone is willing to let me
[00:05:50.300 --> 00:05:52.220]   go there and say, yeah, you can come to my
[00:05:52.220 --> 00:05:53.260]   restaurant, interview me.
[00:05:53.260 --> 00:05:53.540]   Yeah.
[00:05:53.540 --> 00:05:56.500]   You can come to the, the record pressing plant
[00:05:56.500 --> 00:05:57.860]   in Nashville and walk around with us.
[00:05:57.860 --> 00:05:58.100]   Yeah.
[00:05:58.100 --> 00:05:59.620]   You know, you can, you can come to Jack
[00:05:59.620 --> 00:06:01.740]   White's recording studio and, and talk to
[00:06:01.740 --> 00:06:03.700]   his people and, and see how he does all that
[00:06:03.700 --> 00:06:04.100]   stuff.
[00:06:04.100 --> 00:06:07.780]   Um, then I'm good to go and no one's telling
[00:06:07.780 --> 00:06:08.540]   me what to do.
[00:06:08.540 --> 00:06:10.460]   I can ask whatever questions I want.
[00:06:10.460 --> 00:06:13.100]   I get to have conversations with anyone I
[00:06:13.100 --> 00:06:16.580]   want anywhere in the world, um, uh, without
[00:06:16.580 --> 00:06:17.540]   limitations on them.
[00:06:17.540 --> 00:06:18.660]   So.
[00:06:18.660 --> 00:06:20.980]   So, so what's the game plan then if let's say.
[00:06:20.980 --> 00:06:22.620]   Game plan.
[00:06:22.620 --> 00:06:23.300]   Undergraduate.
[00:06:23.300 --> 00:06:23.460]   Yeah.
[00:06:23.460 --> 00:06:24.580]   I'm invite, I do advice here.
[00:06:24.580 --> 00:06:25.300]   We get specific.
[00:06:25.300 --> 00:06:28.260]   Let's say you're an, a college student and
[00:06:28.260 --> 00:06:31.780]   the goal is I want to write nonfiction books
[00:06:31.780 --> 00:06:33.940]   that'll allow me to go to interesting places
[00:06:33.940 --> 00:06:34.900]   and report an interesting thing.
[00:06:34.900 --> 00:06:36.060]   So, so like the books you write.
[00:06:36.060 --> 00:06:38.540]   Um, how do you maximize the chance that
[00:06:38.540 --> 00:06:39.860]   you're like, okay, I want to give you a game
[00:06:39.860 --> 00:06:42.900]   plan, no guarantees, but let me build
[00:06:42.900 --> 00:06:45.260]   from pull from David, my David Sacks wisdom.
[00:06:45.260 --> 00:06:47.060]   And like, this is what you should, this is
[00:06:47.060 --> 00:06:47.540]   the steps.
[00:06:47.540 --> 00:06:48.420]   Here's what you should focus on.
[00:06:48.420 --> 00:06:49.340]   What are you, what are you telling that
[00:06:49.340 --> 00:06:49.660]   student?
[00:06:49.660 --> 00:06:52.220]   This is what I tell, um, the students that I
[00:06:52.220 --> 00:06:52.620]   mentor.
[00:06:52.620 --> 00:06:53.660]   So the same thing, right.
[00:06:53.660 --> 00:06:55.860]   Is, uh, there's many different paths to it.
[00:06:55.860 --> 00:06:56.900]   So there's no one way.
[00:06:56.900 --> 00:07:00.740]   Um, don't go to journalism school, uh, because
[00:07:00.740 --> 00:07:02.420]   you're just going to spend a lot of money
[00:07:02.420 --> 00:07:04.980]   sort of doing stuff that you can learn as a
[00:07:04.980 --> 00:07:07.140]   trade, um, right.
[00:07:07.140 --> 00:07:09.060]   Wherever and however you can.
[00:07:09.060 --> 00:07:12.060]   So if you can get an internship or you can
[00:07:12.100 --> 00:07:16.500]   sell stories to your local hometown paper or
[00:07:16.500 --> 00:07:20.540]   website or, you know, some other thing, do it.
[00:07:20.540 --> 00:07:20.820]   Right.
[00:07:20.820 --> 00:07:24.100]   The more you write, start a blog, start a
[00:07:24.100 --> 00:07:25.820]   sub stack thing.
[00:07:25.820 --> 00:07:27.820]   Um, right, right, right.
[00:07:27.820 --> 00:07:29.940]   Because first you're going to just have to
[00:07:29.940 --> 00:07:32.700]   learn how to do that and learn how to pitch
[00:07:32.700 --> 00:07:34.060]   your ideas to people, which is the most
[00:07:34.060 --> 00:07:34.740]   important part.
[00:07:34.740 --> 00:07:37.260]   And then you're going to have to figure out
[00:07:37.260 --> 00:07:39.340]   what you're actually interested in writing
[00:07:39.340 --> 00:07:40.540]   about and what you're good at.
[00:07:40.580 --> 00:07:42.540]   Like you're going to have to develop some sort
[00:07:42.540 --> 00:07:44.660]   of niche or expertise.
[00:07:44.660 --> 00:07:45.820]   And that doesn't mean you have to spend like
[00:07:45.820 --> 00:07:48.820]   20 years studying, you know, Etruscan ruins.
[00:07:48.820 --> 00:07:51.620]   Um, but you're going to have to develop a
[00:07:51.620 --> 00:07:54.300]   knowledge around a certain area so that you
[00:07:54.300 --> 00:07:57.060]   see an idea that's big enough for a book when
[00:07:57.060 --> 00:07:57.540]   it comes to it.
[00:07:57.540 --> 00:07:57.860]   Right.
[00:07:57.860 --> 00:07:59.300]   So when you're, when you're selling that book,
[00:07:59.300 --> 00:08:02.140]   if you can point to your journalism profile,
[00:08:02.140 --> 00:08:03.780]   and even if it's a lot of small things, it may
[00:08:03.780 --> 00:08:05.020]   be a bigger thing here and there.
[00:08:05.020 --> 00:08:08.260]   If there's a clear thread through it, you
[00:08:08.260 --> 00:08:10.460]   know, I'm writing about outdoor adventure
[00:08:10.460 --> 00:08:11.180]   sports a lot.
[00:08:11.180 --> 00:08:12.620]   Like I'm, I'm in these places.
[00:08:12.620 --> 00:08:14.700]   Then when you pitch the book on that, like,
[00:08:14.700 --> 00:08:15.460]   okay, this makes sense.
[00:08:15.460 --> 00:08:16.140]   This tracks.
[00:08:16.140 --> 00:08:18.140]   It makes sense that this person is, but you
[00:08:18.140 --> 00:08:20.620]   have to give them that thread.
[00:08:20.620 --> 00:08:24.100]   Why does it make sense that this person is
[00:08:24.100 --> 00:08:24.900]   writing this book?
[00:08:24.900 --> 00:08:25.500]   Exactly.
[00:08:25.500 --> 00:08:25.940]   Yeah.
[00:08:25.940 --> 00:08:28.580]   And sometimes, you know, you have to convince
[00:08:28.580 --> 00:08:29.060]   them, right?
[00:08:29.060 --> 00:08:31.260]   Like I, my first book was about, um, it's
[00:08:31.260 --> 00:08:33.140]   called Save the Deli and it was about, you
[00:08:33.140 --> 00:08:35.300]   know, why were Jewish deli disappearing and
[00:08:35.300 --> 00:08:37.100]   why, why did that matter?
[00:08:37.100 --> 00:08:38.460]   And what were the cultural forces?
[00:08:38.820 --> 00:08:41.300]   I mean, I, I came up with the idea when I was
[00:08:41.300 --> 00:08:43.940]   in university and it was a paper I wrote for a
[00:08:43.940 --> 00:08:44.660]   class.
[00:08:44.660 --> 00:08:46.820]   Um, and when I pitched it, I was, I don't
[00:08:46.820 --> 00:08:48.820]   know, 25, 26 years old.
[00:08:48.820 --> 00:08:51.780]   And it was like, well, why is this guy doing
[00:08:51.780 --> 00:08:51.900]   it?
[00:08:51.900 --> 00:08:53.700]   Well, I'm like, look, I I'm interested in food.
[00:08:53.700 --> 00:08:54.940]   Here's a few things I've written, but it was
[00:08:54.940 --> 00:08:57.020]   like, okay, well, he understands this idea
[00:08:57.020 --> 00:08:57.420]   enough.
[00:08:57.420 --> 00:08:59.220]   We can see in his writing that he knows how
[00:08:59.220 --> 00:09:00.540]   to write this, or we're going to take a chance
[00:09:00.540 --> 00:09:00.740]   on it.
[00:09:00.740 --> 00:09:03.580]   Um, it actually gets harder as you get more
[00:09:03.580 --> 00:09:06.260]   successful because you have a track record
[00:09:06.260 --> 00:09:08.580]   and they're like, oh, Cal Newport, you're the
[00:09:08.580 --> 00:09:10.660]   digital minimalism, digital work guy.
[00:09:10.660 --> 00:09:12.060]   What do you mean you want to write a book
[00:09:12.060 --> 00:09:13.860]   about like 19th century ballet?
[00:09:13.860 --> 00:09:16.100]   Look, man, like that's, yeah, we'll give you
[00:09:16.100 --> 00:09:18.900]   a flyer or whatever, but, um, you know, this
[00:09:18.900 --> 00:09:20.580]   is the goods like you're, you're, this is the
[00:09:20.580 --> 00:09:21.780]   industry, right?
[00:09:21.780 --> 00:09:22.100]   Yeah.
[00:09:22.100 --> 00:09:22.860]   No, it's hard.
[00:09:22.860 --> 00:09:26.540]   I mean, I remember when Ryan Holiday years ago,
[00:09:26.540 --> 00:09:28.980]   I first heard that he was going to write a book
[00:09:28.980 --> 00:09:29.780]   on stoicism.
[00:09:29.780 --> 00:09:32.100]   I was like, come on, why are you writing a book
[00:09:32.100 --> 00:09:32.660]   on stoicism?
[00:09:32.660 --> 00:09:34.140]   Your last book was about marketing.
[00:09:34.140 --> 00:09:35.260]   You're in the marketing world.
[00:09:35.260 --> 00:09:37.580]   You did this growth hacking ebook, like that
[00:09:37.580 --> 00:09:38.340]   is your world.
[00:09:38.660 --> 00:09:40.100]   This is a crazy idea.
[00:09:40.100 --> 00:09:42.100]   And this is why I'm terrible at giving advice
[00:09:42.100 --> 00:09:43.580]   to people, but he had a hard time.
[00:09:43.580 --> 00:09:44.540]   I asked about that on the show.
[00:09:44.540 --> 00:09:44.900]   Exactly.
[00:09:44.900 --> 00:09:46.020]   What you're talking about is publishers like,
[00:09:46.020 --> 00:09:47.340]   I guess we'll publish this.
[00:09:47.340 --> 00:09:48.860]   We're not going to pay you much for it.
[00:09:48.860 --> 00:09:49.100]   Right.
[00:09:49.100 --> 00:09:51.740]   Kind of annoyed about it because we want to get
[00:09:51.740 --> 00:09:53.300]   back to what you're doing.
[00:09:53.300 --> 00:09:54.140]   Quantity for.
[00:09:54.140 --> 00:09:54.340]   Yeah.
[00:09:54.340 --> 00:09:55.660]   But I think, and that's the thing about the
[00:09:55.660 --> 00:09:57.980]   freelance writer, like just as soon as you get
[00:09:57.980 --> 00:09:59.420]   that sort of success around it, people like,
[00:09:59.420 --> 00:09:59.900]   oh, good.
[00:09:59.900 --> 00:10:00.820]   You're the analog guy.
[00:10:00.820 --> 00:10:03.500]   I'm like, yeah, but I'm going to throw you a
[00:10:03.500 --> 00:10:04.260]   curve ball now.
[00:10:04.260 --> 00:10:06.300]   Cause like, I don't want to be put in some sort
[00:10:06.300 --> 00:10:09.140]   of hole where I'm writing the same book over
[00:10:09.140 --> 00:10:10.940]   and over and over and over and over again.
[00:10:10.940 --> 00:10:11.260]   Yeah.
[00:10:11.260 --> 00:10:14.140]   Um, and, and you see that and there's people
[00:10:14.140 --> 00:10:16.460]   who are successful at kind of weaving through
[00:10:16.460 --> 00:10:17.620]   that, like, you know, Rich Cohen.
[00:10:17.620 --> 00:10:19.620]   Uh, name sounds familiar.
[00:10:19.620 --> 00:10:21.300]   Rich Cohen's written many books.
[00:10:21.300 --> 00:10:23.260]   Um, he's also written for vanity fair whenever,
[00:10:23.260 --> 00:10:24.820]   and he's always just like something that
[00:10:24.820 --> 00:10:25.940]   interests him and something different.
[00:10:25.940 --> 00:10:28.100]   And he's like, some stuff sells more and some
[00:10:28.100 --> 00:10:28.780]   stuff sells less.
[00:10:28.780 --> 00:10:30.340]   He's like, but I'm following the thing that I
[00:10:30.340 --> 00:10:30.980]   want to write about.
[00:10:30.980 --> 00:10:33.580]   And that's the, that's, that has to be the
[00:10:33.580 --> 00:10:36.100]   definition of success because the commercial
[00:10:36.100 --> 00:10:37.860]   success is so out of your control.
[00:10:37.860 --> 00:10:39.340]   It's very hard.
[00:10:39.340 --> 00:10:40.540]   It's very hard.
[00:10:40.540 --> 00:10:42.460]   And then try to like consistently have high
[00:10:42.460 --> 00:10:43.060]   commercial success.
[00:10:43.060 --> 00:10:44.900]   That's like a whole different, that's a whole
[00:10:44.900 --> 00:10:45.820]   different type of career.
[00:10:45.820 --> 00:10:48.580]   I'm like half in that world and it's a, it's a
[00:10:48.580 --> 00:10:51.620]   lot of, it's a lot of hard work, but it's a lot
[00:10:51.620 --> 00:10:55.100]   of managing, uh, it reminds me of film, film
[00:10:55.100 --> 00:10:55.660]   directing.
[00:10:55.660 --> 00:10:55.860]   Yeah.
[00:10:55.860 --> 00:10:57.500]   It's like a kind of a complicated thing for
[00:10:57.500 --> 00:10:58.140]   the film director.
[00:10:58.140 --> 00:10:59.380]   So, you know, like this movie was very
[00:10:59.380 --> 00:11:02.180]   successful and having to navigate the projects.
[00:11:02.180 --> 00:11:03.900]   And if this movie doesn't do well, I have one
[00:11:03.900 --> 00:11:06.020]   more I can do to try to prove it.
[00:11:06.020 --> 00:11:08.300]   It's a complicated and it's not a straight
[00:11:08.300 --> 00:11:09.020]   linear thing.
[00:11:09.020 --> 00:11:09.420]   Right.
[00:11:09.420 --> 00:11:12.380]   And I think the expectation that it should be
[00:11:12.380 --> 00:11:15.060]   that success is this straight linear thing of
[00:11:15.060 --> 00:11:16.540]   like, this thing is going to do this.
[00:11:16.540 --> 00:11:17.700]   And then the next one's going to do better.
[00:11:17.700 --> 00:11:18.820]   And the next one's going to do better.
[00:11:18.820 --> 00:11:20.420]   It doesn't work like that.
[00:11:20.420 --> 00:11:23.260]   And so, you know, there is an element of like
[00:11:23.260 --> 00:11:24.500]   artistry to it.
[00:11:24.500 --> 00:11:26.980]   And I don't mean we're artists, but it is this
[00:11:26.980 --> 00:11:29.180]   type of thing where it's, where it's like at the
[00:11:29.180 --> 00:11:32.900]   end of the day, the, the goal, the goal is not
[00:11:32.900 --> 00:11:33.460]   to lose money.
[00:11:33.460 --> 00:11:35.060]   You still want to make enough money to like
[00:11:35.060 --> 00:11:37.260]   afford the Subaru and its gas.
[00:11:37.260 --> 00:11:42.980]   Um, uh, but you know, you, you, you don't want
[00:11:42.980 --> 00:11:44.580]   to give up that independence cause that's the
[00:11:44.580 --> 00:11:46.300]   thing that got you into it in the first place.
[00:11:46.300 --> 00:11:46.620]   Yeah.
[00:11:46.620 --> 00:11:49.620]   Um, so it's like the nonfiction axiom, I say
[00:11:49.620 --> 00:11:53.740]   nonfiction, like selling seven figure copies of
[00:11:53.740 --> 00:11:54.100]   a book.
[00:11:54.100 --> 00:11:55.740]   It's like hitting a major league fastball.
[00:11:55.740 --> 00:11:57.700]   It's like one of the most difficult things to
[00:11:57.700 --> 00:12:00.220]   do and no one can do it all the time.
[00:12:00.580 --> 00:12:00.860]   Yeah.
[00:12:00.860 --> 00:12:04.260]   There is a handful of writers out there, you
[00:12:04.260 --> 00:12:07.420]   know, nonfiction like Malcolm Gladwell, Michael
[00:12:07.420 --> 00:12:10.580]   Lewis, but you know, they're not moving seven
[00:12:10.580 --> 00:12:10.940]   figures.
[00:12:10.940 --> 00:12:11.260]   Okay.
[00:12:11.260 --> 00:12:11.700]   Then no.
[00:12:11.700 --> 00:12:11.980]   Yeah.
[00:12:11.980 --> 00:12:12.820]   How about it's hard.
[00:12:12.820 --> 00:12:14.700]   Well, but then some people do it's this, what's
[00:12:14.700 --> 00:12:15.060]   so hard?
[00:12:15.060 --> 00:12:16.980]   Like it's, it's very feast or family.
[00:12:16.980 --> 00:12:18.860]   Like a James Clear will move 4 million copies.
[00:12:18.860 --> 00:12:20.140]   See, I don't even know who that is.
[00:12:20.140 --> 00:12:21.180]   Atomic habits.
[00:12:21.180 --> 00:12:22.060]   Okay.
[00:12:22.060 --> 00:12:22.260]   Yeah.
[00:12:22.260 --> 00:12:22.460]   Right.
[00:12:22.460 --> 00:12:22.540]   Yeah.
[00:12:22.540 --> 00:12:24.340]   Mark Manson, 18 million copies.
