
[00:00:00.000 --> 00:00:07.400]   [BLANK_AUDIO]
[00:05:15.080 --> 00:05:20.080]   And basically say, stay out of here, you're not gonna be able to compete with us.
[00:05:20.080 --> 00:05:24.160]   I think we maybe could push that too far, and I think maybe I pushed it too far.
[00:05:24.160 --> 00:05:28.280]   But in terms of deep progress, in terms of policy, strategy,
[00:05:28.280 --> 00:05:31.840]   structures, which I'll talk a little bit about later.
[00:05:31.840 --> 00:05:36.200]   I just plain don't have any deep regrets.
[00:05:36.200 --> 00:05:39.360]   Little regrets or something else again.
[00:05:39.360 --> 00:05:44.760]   I've made so many mistakes that in my life, that I tell people.
[00:05:44.760 --> 00:05:47.240]   My wife has forbidden me to write any more books.
[00:05:47.240 --> 00:05:49.080]   And I said, if I were to write another book,
[00:05:49.080 --> 00:05:51.280]   it would be the longest book I've ever written.
[00:05:51.280 --> 00:05:53.080]   And it would be called Mistakes I Have Made.
[00:05:53.080 --> 00:05:53.920]   >> [LAUGH]
[00:05:53.920 --> 00:05:55.800]   >> And that would go way back in my early
[00:05:55.800 --> 00:05:59.880]   career, when I was just so stupid, it defies description.
[00:05:59.880 --> 00:06:05.480]   But the big advantage I have, I think, is I was willing to learn from my stupidity.
[00:06:05.480 --> 00:06:07.840]   And we all should be able to do that.
[00:06:07.840 --> 00:06:13.000]   Learning from your own mistakes is much deeper and more profound.
[00:06:13.000 --> 00:06:16.400]   We're learning from other people's mistakes, because somehow the lesson
[00:06:16.400 --> 00:06:21.120]   isn't quite as sharply drawn as to when you just kind of
[00:06:21.120 --> 00:06:24.640]   shoot yourself in the foot or in the brain or some other place.
[00:06:24.640 --> 00:06:26.160]   It can be equally painful.
[00:06:26.160 --> 00:06:30.120]   So I don't, no deep regrets.
[00:06:30.120 --> 00:06:32.560]   >> Well, that segues into another question,
[00:06:32.560 --> 00:06:35.880]   which is, should Van Gogh be advertising?
[00:06:35.880 --> 00:06:42.680]   >> Well, that was my marketing hack.
[00:06:42.680 --> 00:06:47.440]   And I didn't know how else, cuz we had no sales force.
[00:06:47.440 --> 00:06:51.560]   And how else to get the information out of the Van Gogh fund.
[00:06:51.560 --> 00:06:54.600]   So we had kind of an introductory fund that was likely to hack the page.
[00:06:54.600 --> 00:06:56.280]   It was sort of eternal.
[00:06:56.280 --> 00:07:00.760]   And we had a new fund, we kind of told the world that we were going to do it.
[00:07:00.760 --> 00:07:03.920]   Absolutely laid down the rule, which we have continued to observe.
[00:07:03.920 --> 00:07:08.240]   No performance advertising, no yield advertising.
[00:07:08.240 --> 00:07:09.800]   I'm a little too far back.
[00:07:09.800 --> 00:07:11.320]   I didn't obey that warning.
[00:07:11.320 --> 00:07:13.480]   Now I can hear the echo, that's good.
[00:07:13.480 --> 00:07:15.560]   >> [LAUGH] >> So sorry about that.
[00:07:15.560 --> 00:07:16.400]   You missed nothing.
[00:07:16.400 --> 00:07:21.000]   >> [LAUGH] >> But
[00:07:21.000 --> 00:07:24.240]   it was supposed to be very modest.
[00:07:24.240 --> 00:07:25.440]   It was.
[00:07:25.440 --> 00:07:31.760]   And I have to concede that I wasn't too spittin' with spending
[00:07:31.760 --> 00:07:38.200]   $50 million of our shareholders' money on Vanguarding, our sort of campaign slogan.
[00:07:38.200 --> 00:07:39.840]   I don't think we need that.
[00:07:39.840 --> 00:07:45.640]   But I have conceded that you have to have a name like that with gang at the end.
[00:07:45.640 --> 00:07:47.360]   It's a good thing we weren't Merrill Lynch.
[00:07:47.360 --> 00:07:54.560]   >> [LAUGH] >> And
[00:07:54.560 --> 00:07:57.200]   I wish I had a little bit of advertising.
[00:07:57.200 --> 00:08:00.960]   Because then when you start advertising, it would be very observable.
[00:08:00.960 --> 00:08:04.880]   But I did a little, and I don't think we really do a lot now.
[00:08:04.880 --> 00:08:06.560]   I don't know what the cost of the Internet is.
[00:08:06.560 --> 00:08:08.960]   I'm just not familiar with that.
[00:08:08.960 --> 00:08:12.800]   But we do quite a bit along those lines.
[00:08:12.800 --> 00:08:14.360]   And it's okay.
[00:08:14.360 --> 00:08:20.920]   It's not gonna, the cost involved in terms of unit costs are really quite trivial.
[00:08:20.920 --> 00:08:22.560]   I don't change our expense ratio.
[00:08:22.560 --> 00:08:24.080]   And I own it.
[00:08:24.080 --> 00:08:29.880]   But I'm more into the principle of saying, as I did at the very beginning,
[00:08:29.880 --> 00:08:33.720]   as Ralph Waldo Emerson, build a better mousetrap and
[00:08:33.720 --> 00:08:37.680]   let the world be a path, and the world will be a path to your door.
[00:08:37.680 --> 00:08:41.200]   And that was how we began a long time, we'll talk about later.
[00:08:41.200 --> 00:08:48.680]   And so I think advertising is not a good thing.
[00:08:48.680 --> 00:08:51.880]   But very limited in the way we do it, it's okay.
[00:08:51.880 --> 00:08:54.840]   A lot of people are out there, particularly in the go-go years.
[00:08:54.840 --> 00:09:01.560]   Not the go-go years, but in the late 90s with all the tech funds and so on.
[00:09:01.560 --> 00:09:03.560]   They're advertising their returns.
[00:09:03.560 --> 00:09:05.760]   How would you like 40% a year?
[00:09:05.760 --> 00:09:07.960]   I, for one, would like 40% a year.
[00:09:07.960 --> 00:09:10.160]   I just don't know how to get it.
[00:09:10.160 --> 00:09:17.200]   And so, it's not as bad as marketing.
[00:09:17.200 --> 00:09:18.840]   Advertising is not as bad as marketing.
[00:09:18.840 --> 00:09:22.720]   Because marketing, when you think about it, what is marketing?
[00:09:22.720 --> 00:09:28.080]   Marketing is finding out what clients want and giving it to them.
[00:09:28.080 --> 00:09:31.280]   And that's the way beer works.
[00:09:31.280 --> 00:09:33.440]   That's why we have light beer, I guess.
[00:09:33.440 --> 00:09:37.120]   I don't do light, I do ale, just for the record.
[00:09:37.120 --> 00:09:40.360]   And rarely, sometimes in the summer.
[00:09:40.360 --> 00:09:46.840]   But you're always trying to find out that these big consumer products companies do this,
[00:09:46.840 --> 00:09:48.760]   or are doing this all the time,
[00:09:48.760 --> 00:09:51.520]   and trying to add a little bit of something to something else,
[00:09:51.520 --> 00:09:52.880]   and sell a little bit more.
[00:09:52.880 --> 00:09:55.040]   Because that's what they think the public wants.
[00:09:55.040 --> 00:09:57.880]   And it's a good idea for cereal,
[00:09:57.880 --> 00:10:03.280]   probably a good idea for automobiles, and beer, and God knows what else.
[00:10:03.280 --> 00:10:06.640]   But I think a terrible idea for investing.
[00:10:06.640 --> 00:10:10.200]   And the great public out there usually wants the wrong thing.
[00:10:10.200 --> 00:10:12.560]   What they read in the paper in the last two or three weeks.
[00:10:12.560 --> 00:10:15.360]   Imagine how many gold funds there would be around,
[00:10:15.360 --> 00:10:17.760]   after gold had that huge run,
[00:10:17.760 --> 00:10:20.240]   I guess about two and a half years ago.
[00:10:20.240 --> 00:10:23.640]   Maybe three years ago, two years ago.
[00:10:23.640 --> 00:10:28.640]   So, I know it sounds old-fashioned,
[00:10:28.640 --> 00:10:33.120]   but I'd let your term speak for itself,
[00:10:33.120 --> 00:10:35.840]   record speak for itself.
[00:10:35.840 --> 00:10:37.560]   People start to trust you,
[00:10:37.560 --> 00:10:39.960]   as many, many people trust Vanguard,
[00:10:39.960 --> 00:10:44.960]   and have that the way you basically build business.
[00:10:44.960 --> 00:10:48.360]   I don't think we need to worry about that again for a long time.
[00:10:48.360 --> 00:10:53.680]   And we have happily a formula that really always can't go wrong.
[00:10:53.680 --> 00:10:59.840]   And I tell people, we haven't promised you a fund that beat the market 15 years in a row.
[00:10:59.840 --> 00:11:04.440]   We haven't promised you a Magellan fund that gets to a hundred,
[00:11:04.440 --> 00:11:07.600]   gets to a billion dollars and is now about 20 million.
[00:11:07.600 --> 00:11:10.720]   We had a good performance and then a bad, money flows in and out.
[00:11:10.720 --> 00:11:12.080]   We're right down the middle.
[00:11:12.080 --> 00:11:13.880]   And as I constantly advise people,
[00:11:13.880 --> 00:11:15.560]   and I advise all of you,
[00:11:15.560 --> 00:11:23.280]   we make no guarantee except we will give you your fair share of the return of any portion of the market,
[00:11:23.280 --> 00:11:27.920]   particularly stock and bond market that you would like to invest your money in.
[00:11:27.920 --> 00:11:32.280]   And that fair share means if the market goes to hell in a handbasket,
[00:11:32.280 --> 00:11:35.080]   your investments will go to hell in a handbasket.
[00:11:35.080 --> 00:11:37.240]   And we should say that.
[00:11:37.240 --> 00:11:40.440]   Maybe you shouldn't use a word like hell.
[00:11:40.440 --> 00:11:43.120]   Maybe you should too, I don't know.
[00:11:43.120 --> 00:11:45.800]   Going to heck in a handbasket doesn't cut it.
[00:11:45.800 --> 00:11:49.320]   So, that's it.
[00:11:49.320 --> 00:11:55.320]   Thank you. I mean it sort of reminds me of the famous Henry Ford aphorism,
[00:11:55.320 --> 00:12:00.080]   that if you ask the public what it wants, it will tell you it wants a faster course.
[00:12:00.080 --> 00:12:12.800]   The Shiller P/E, the CAPE, Cyclically Adjusted P/E Ratio has gotten a lot of attention.
[00:12:12.800 --> 00:12:17.680]   It's become a real topic of conversation, which is worrisome in itself.
[00:12:17.680 --> 00:12:20.880]   You know, it's still around, what, 25 or so.
[00:12:20.880 --> 00:12:25.840]   You know, what do you think of Shiller's measure?
[00:12:25.840 --> 00:12:27.240]   Do you think it can be improved upon?
[00:12:27.240 --> 00:12:30.040]   Should we not be paying so much attention to it?
[00:12:30.040 --> 00:12:35.840]   Well, anyone that has a formula to tell you whether the market is high or low,
[00:12:35.840 --> 00:12:42.640]   is kidding, either trying to kid you or has been kidding themselves.
[00:12:42.640 --> 00:12:44.360]   And nobody knows this.
[00:12:44.360 --> 00:12:51.440]   Take the Shiller P/E, last 10 years ago, it was right where it is now.
[00:12:51.440 --> 00:12:55.400]   I think it's around 25 or 26, and it hadn't changed.
[00:12:55.400 --> 00:12:58.800]   So, it's giving a warning now that the market is too high.
[00:12:58.800 --> 00:13:02.760]   It was giving a warning then that the market was too high.
[00:13:02.760 --> 00:13:05.200]   And since then, the market has gone up 60 percent.
[00:13:05.200 --> 00:13:07.120]   Earnings and dividends have gone up, well,
[00:13:07.120 --> 00:13:09.000]   earnings have gone up, I think, 70 percent.
[00:13:09.000 --> 00:13:10.880]   Dividends have gone up 100 percent.
[00:13:10.880 --> 00:13:14.280]   So, it was a false signal 10 years ago.
[00:13:14.280 --> 00:13:15.760]   Some look at it and enjoy it.
[00:13:15.760 --> 00:13:19.840]   I do, and I often use it when I go on CNBC.
[00:13:19.840 --> 00:13:23.040]   And it's trying to deflate everybody's expectations.
[00:13:23.040 --> 00:13:24.880]   But there is no answer.
[00:13:24.880 --> 00:13:27.600]   Shiller is fun to look at, it's intelligent.
[00:13:27.600 --> 00:13:30.520]   Don't just look at the last year's earnings and the next year's earnings.
[00:13:30.520 --> 00:13:31.920]   We'll do a little bit of history,
[00:13:31.920 --> 00:13:34.640]   but it doesn't tell you very much of anything.
[00:13:34.640 --> 00:13:37.040]   We can get right down to the greatest hazard.
[00:13:37.040 --> 00:13:41.160]   Yeah, I would certainly agree with that.
[00:13:41.160 --> 00:13:44.200]   You know, if you, people are always fond of saying, well, gosh,
[00:13:44.200 --> 00:13:48.360]   the historical average is 16 and a half or whatever it is.
[00:13:48.360 --> 00:13:50.080]   But, you know, to get that number,
[00:13:50.080 --> 00:13:53.480]   you've got to include data that goes all the way back almost to the Civil War,
[00:13:53.480 --> 00:13:57.720]   which was a different era when industrial stocks were selling four times.
[00:13:57.720 --> 00:13:59.840]   I mean, that, that's, that's gone.
[00:13:59.840 --> 00:14:02.080]   And if you look at it over the last 50 years,
[00:14:02.080 --> 00:14:06.760]   you use it to draw a regression slope where the normal value appears to be closer to 20.
[00:14:06.760 --> 00:14:13.800]   So I think the value of 26 really doesn't tell you all that much.
[00:14:13.800 --> 00:14:17.760]   Well, let's, let's ask the shift gears a little bit and get into some personalities.
[00:14:17.760 --> 00:14:20.440]   Let's, let's go to the sunglass question.
[00:14:20.440 --> 00:14:23.760]   Which is that, you know,
[00:14:23.760 --> 00:14:25.920]   there have been star managers for forever,
[00:14:25.920 --> 00:14:30.880]   starting with what, Ivor Kruger and then Jeremy Tsai and, you know,
[00:14:30.880 --> 00:14:37.160]   Peter Lynch and Bill Miller and now another guy.
[00:14:37.160 --> 00:14:39.520]   And I'm wondering, do you think the public has,
[00:14:39.520 --> 00:14:44.720]   has learned anything or do you think that the birth rate is higher than the learning curve?
[00:14:44.720 --> 00:14:51.920]   Well, the problem with this business is it has a kind of
[00:14:51.920 --> 00:14:56.640]   distribution arm that has to sell something.
[00:14:56.640 --> 00:14:58.880]   And if you want to talk about,
[00:14:58.880 --> 00:15:02.440]   you've got a client out there and you want to sell them a certain thing,
[00:15:02.440 --> 00:15:04.160]   it has to have a good performance.
[00:15:04.160 --> 00:15:07.000]   And there's nothing else for you to show up and say,
[00:15:07.000 --> 00:15:11.480]   well, our expense ratio is only 10 basis points instead of 100.
[00:15:11.480 --> 00:15:13.560]   I think your client is thinking,
[00:15:13.560 --> 00:15:16.360]   "Duh, what does that matter?"
[00:15:16.360 --> 00:15:19.480]   Particularly since the 100 doesn't even cover what the fund spends,
[00:15:19.480 --> 00:15:23.280]   like transaction costs, marketing costs, and things of that nature.
[00:15:23.280 --> 00:15:28.280]   So, it's an action business.
[00:15:28.280 --> 00:15:33.400]   Investment advisors basically feel the need to tell you to do something.
[00:15:33.400 --> 00:15:37.040]   Portfolio managers, and I keep thinking of it,
[00:15:37.040 --> 00:15:38.840]   and this is an interesting point.
[00:15:38.840 --> 00:15:40.720]   I keep thinking of Peter Lynch,
[00:15:40.720 --> 00:15:42.280]   manager of the Magellan Fund,
[00:15:42.280 --> 00:15:46.880]   going to see Ned Johnson on January 2nd of a given year.
[00:15:46.880 --> 00:15:50.840]   And he says, "Ned, or Mr. Johnson,
[00:15:50.840 --> 00:15:55.560]   I looked at my portfolio and I think it's fine for the year,
[00:15:55.560 --> 00:15:57.240]   and I'll see you a year from now.
[00:15:57.240 --> 00:15:58.720]   I'm not going to do anything in one year."
[00:15:58.720 --> 00:16:02.880]   The odds are 51 percent that that will improve the fund's performance during the year.
[00:16:02.880 --> 00:16:06.720]   It's improved. And all that transaction, it costs money.
[00:16:06.720 --> 00:16:10.200]   And sometimes it adds value,
[00:16:10.200 --> 00:16:12.600]   but more often than not, it's value.
[00:16:12.600 --> 00:16:15.640]   Well, it's returns. But the portfolio manager,
[00:16:15.640 --> 00:16:17.200]   and people are saying, "What are you doing?
[00:16:17.200 --> 00:16:18.800]   You've got to be doing something."
[00:16:18.800 --> 00:16:21.600]   And turn off all those,
[00:16:21.600 --> 00:16:24.760]   I won't get into the scandal we have about our Pennsylvania judges,
[00:16:24.760 --> 00:16:27.360]   and yet, their pornographic emails.
[00:16:27.360 --> 00:16:29.840]   But that's another story.
[00:16:29.840 --> 00:16:33.880]   But you feel the need to do something.
[00:16:33.880 --> 00:16:37.440]   Trustees of an endowment fund feel the need to do something.
[00:16:37.440 --> 00:16:40.000]   Investment advisors feel the need to do something.
[00:16:40.000 --> 00:16:43.600]   Financial advisors or RIAs feel the need to do something.
[00:16:43.600 --> 00:16:47.320]   And I'll give you one little anecdote.
[00:16:47.320 --> 00:16:49.920]   I was speaking out in Milwaukee a few years ago,
[00:16:49.920 --> 00:16:54.200]   and I went through my little platform of bonds and stocks to keep the ratio right,
[00:16:54.200 --> 00:16:55.840]   and don't do anything else.
[00:16:55.840 --> 00:17:00.320]   So, one of the financial RIAs in the room comes up to me afterwards and said,
[00:17:00.320 --> 00:17:03.360]   "Look, I know your advice is right,
[00:17:03.360 --> 00:17:04.720]   but think of me a minute.
[00:17:04.720 --> 00:17:07.280]   Think of me." He said,
[00:17:07.280 --> 00:17:11.440]   "I've got a client." And he comes in and set up his portfolio in 65 percent stocks,
[00:17:11.440 --> 00:17:14.640]   35 percent bonds, and he comes back a year later.
[00:17:14.640 --> 00:17:17.480]   He says, "What do I do now?" He said, "Nothing. Nothing."
[00:17:17.480 --> 00:17:20.360]   He said, "I guess that's okay to go a whole year without doing anything."
[00:17:20.360 --> 00:17:22.440]   Comes back a year later, says,
[00:17:22.440 --> 00:17:24.280]   "I must be doing something now, I didn't do anything last year.
[00:17:24.280 --> 00:17:27.080]   How about this year?" "Don't do anything."
[00:17:27.080 --> 00:17:30.440]   Comes back a year later, this is now the third year,
[00:17:30.440 --> 00:17:33.200]   "I got to do something now, this is just crazy."
[00:17:33.200 --> 00:17:35.680]   And the advisor says, "No,
[00:17:35.680 --> 00:17:38.800]   stay the course, stay exactly where you are."
[00:17:38.800 --> 00:17:42.440]   And he said, "The client then says to me,
[00:17:42.440 --> 00:17:47.200]   'What do I need you for?' How do I answer that question?"
[00:17:47.200 --> 00:17:49.440]   And I said, "The answer is easy.
[00:17:49.440 --> 00:17:52.840]   Just tell him you need me to keep you from doing anything."
[00:17:52.840 --> 00:17:58.000]   And there really is, and we make fun of it.
[00:17:58.000 --> 00:18:00.680]   But there's a lot of truth in that.
[00:18:00.680 --> 00:18:04.160]   This is a business where activity is big.
[00:18:04.160 --> 00:18:06.120]   Never have admired it as it is today.
[00:18:06.120 --> 00:18:09.480]   I mentioned the spider thing turning over at that awful rate,
[00:18:09.480 --> 00:18:12.040]   and it traded,
[00:18:12.040 --> 00:18:14.520]   I guess I mentioned this to Christine Vance earlier.
[00:18:14.520 --> 00:18:20.520]   The spider traded $160 billion in the last five days,
[00:18:20.520 --> 00:18:24.120]   and the assets of the spider are $160 billion.
[00:18:24.120 --> 00:18:26.840]   It's a five-day turnover of 100 percent,
[00:18:26.840 --> 00:18:29.840]   an annual return over of 5,000 percent,
[00:18:29.840 --> 00:18:32.280]   and I'm the kind of person that thinks
[00:18:32.280 --> 00:18:35.960]   three percent of the turnover is kind of pushing him on my side.
[00:18:35.960 --> 00:18:40.760]   And there's a big difference between three percent and 5,000 percent.
[00:18:40.760 --> 00:18:43.520]   So, the trading environment obviously
[00:18:43.520 --> 00:18:47.200]   riches Wall Street and impoverishes therefore the investor.
[00:18:47.200 --> 00:18:50.440]   So, that's why stay the course works.
[00:18:50.440 --> 00:18:56.160]   >> Yeah. There's a wonderful front line from about 50 years ago,
[00:18:56.160 --> 00:18:58.520]   that featured tech funds,
[00:18:58.520 --> 00:19:01.200]   the hot tech funds of the late '90s,
[00:19:01.200 --> 00:19:04.960]   and there was about a 30-second clip of Garrett Van Wagner,
[00:19:04.960 --> 00:19:07.480]   who was a famous tech fund manager at the time,
[00:19:07.480 --> 00:19:11.720]   with one phone in each hand shouting the words to each phone,
[00:19:11.720 --> 00:19:14.960]   and even then it just gave me the willies.
[00:19:14.960 --> 00:19:18.280]   I thought there's something wrong here.
[00:19:18.280 --> 00:19:24.240]   All right. Well, let's shift gears a little bit here and talk about some ladies.
[00:19:24.240 --> 00:19:29.480]   The first lady I want to talk to you about is Mary Jo White.
[00:19:29.480 --> 00:19:33.280]   I have a- we talked about this last night.
[00:19:33.280 --> 00:19:40.080]   I have an odd sense of disquiet about that you pointed out that she is a prosecutor,
[00:19:40.080 --> 00:19:46.720]   and we would hope that she would perhaps use those skills in her job.
[00:19:46.720 --> 00:19:52.640]   But I don't think that's necessarily a good fit for her skills.
[00:19:52.640 --> 00:19:58.600]   I think that the job of being the SEC commissioner is a chairman of the SEC,
[00:19:58.600 --> 00:20:05.080]   is a more broad moral and if you will.
[00:20:05.080 --> 00:20:08.440]   I'm wondering if you have that same sense of disquiet about her.
[00:20:08.440 --> 00:20:12.440]   >> Well, I think she was clearly brought in with the idea,
[00:20:12.440 --> 00:20:14.720]   at least a major part of the appointment.
[00:20:14.720 --> 00:20:19.200]   Leaving aside the fact that most administrations really want to have
[00:20:19.200 --> 00:20:23.640]   more women in them and most of them do these days is that she's a prosecutor,
[00:20:23.640 --> 00:20:26.520]   a tough prosecutor, A, and B,
[00:20:26.520 --> 00:20:27.560]   she knows Wall Street.
[00:20:27.560 --> 00:20:29.280]   She's been a lawyer in there for,
[00:20:29.280 --> 00:20:33.440]   I don't know, 35 years or something, 40.
[00:20:33.440 --> 00:20:38.280]   In that sense, if the mission is prosecute,
[00:20:38.280 --> 00:20:40.000]   get people in jail,
[00:20:40.000 --> 00:20:44.760]   get big penalties, she was a good choice.
[00:20:44.760 --> 00:20:46.640]   Unfortunately, that's a very narrow,
[00:20:46.640 --> 00:20:50.880]   as Bill says, a very narrow version of what the SEC does.
[00:20:50.880 --> 00:20:54.920]   They're there to protect the consumer, the investor.
[00:20:54.920 --> 00:20:58.200]   It's got to be a big complicated business.
[00:20:58.200 --> 00:21:02.960]   They are outgunned at every level by these costs,
[00:21:02.960 --> 00:21:04.760]   by the high-frequency traders.
[00:21:04.760 --> 00:21:06.960]   I don't know who at the SEC can out-talk
[00:21:06.960 --> 00:21:09.880]   the high-frequency traders about that complex business,
[00:21:09.880 --> 00:21:11.680]   which is probably not a bad business,
[00:21:11.680 --> 00:21:13.200]   it's got to be regulated more.
[00:21:13.200 --> 00:21:19.520]   But it's speed in the markets and they had tremendous lead times.
[00:21:19.520 --> 00:21:24.760]   Then she's also affected and people have done very little talk about this.
[00:21:24.760 --> 00:21:29.040]   I talked a little bit about it at the Senate Finance Committee when I testified there on
[00:21:29.040 --> 00:21:33.560]   September 16th as their lead witness and it was about the retirement system.
[00:21:33.560 --> 00:21:38.880]   But I was talking about regulation and the Don Frank law itself,
[00:21:38.880 --> 00:21:41.600]   as well as the Department of Trade Regulations,
[00:21:41.600 --> 00:21:45.720]   are allowed to impose standards of fiduciary duty on
[00:21:45.720 --> 00:21:50.780]   everybody involved in the system except the people that manage money.
[00:21:50.780 --> 00:21:52.520]   How can that be?
[00:21:52.520 --> 00:21:54.600]   I mean, they're not allowed to impose
[00:21:54.600 --> 00:21:58.200]   the standard of fiduciary duty on money managers in either case.
[00:21:58.200 --> 00:22:01.720]   That's ridiculous. That's the most important fiduciary,
[00:22:01.720 --> 00:22:04.840]   the most important toucher of other people's money around.
