
[00:00:00.040 --> 00:00:10.460]   happen
[00:15:29.800 --> 00:15:32.060]   to your monthly expenses,
[00:15:32.060 --> 00:15:34.740]   how many months could you live?
[00:15:34.740 --> 00:15:38.760]   Now, some of you, I don't know if it's most or if it's some,
[00:15:38.760 --> 00:15:42.160]   I know this audience is probably, has a much higher
[00:15:42.160 --> 00:15:46.160]   level of wealth in the general population, but some of you could live for the rest of your lives.
[00:15:46.160 --> 00:15:47.720]   And that's awesome.
[00:15:47.720 --> 00:15:51.360]   Many of you could live for many months and many years without even noticing
[00:15:51.360 --> 00:15:51.360]   the direct loss of your money.
[00:15:51.360 --> 00:15:51.360]   Many of you could live for many months and many years without even noticing the direct loss of your money.
[00:15:51.360 --> 00:15:51.360]   Many of you could live for many months and many years without even noticing the direct loss of your money.
[00:15:51.360 --> 00:15:51.360]   Many of you could live for many months and many years without even noticing the direct loss of your money.
[00:15:51.360 --> 00:16:20.500]  ,
[00:16:20.500 --> 00:16:20.500]   But across the nation, I'm sure there are some of you listening who could maybe get through a few months because as US Americans and I'm sure it's similar in other Western countries that are listening, we don't have much in terms of savings.
[00:16:20.500 --> 00:16:20.500]   But I'm sure that you could live for many months and many years without even noticing the direct loss of your money.
[00:16:20.500 --> 00:16:20.600]   But I'm sure that you could live for many months and many years without even noticing the direct loss of your money.
[00:16:20.600 --> 00:16:20.600]   But I'm sure that you could live for many months and many years without even noticing the direct loss of your money.
[00:16:20.600 --> 00:16:20.600]   But I'm sure that you could live for many years without even if you could live for many years without even noticing the direct loss of your money.
[00:16:20.620 --> 00:16:25.940]   And start putting things in place now to protect yourself.
[00:16:25.940 --> 00:16:26.640]   And start putting things in place now to protect yourself.
[00:16:26.640 --> 00:16:33.340]   The first thing you can do is protect yourself by not having a high consumption, highly leveraged lifestyle.
[00:16:33.340 --> 00:16:34.840]   The first thing you can do is protect yourself by not having a high consumption, highly leveraged lifestyle.
[00:16:34.840 --> 00:16:38.340]   If you have low fixed expenses, then you have flexibility.
[00:16:38.340 --> 00:16:39.240]   If you have low fixed expenses, then you have flexibility.
[00:16:39.240 --> 00:16:43.640]   Now obviously this would have to be adjusted to your situation in terms of scale.
[00:16:43.640 --> 00:16:44.040]   Now obviously this would have to be adjusted to your situation in terms of scale.
[00:16:44.040 --> 00:16:49.140]   If you're making say $10 an hour and you have only a few hundred dollars set aside in savings,
[00:16:49.140 --> 00:16:49.740]   If you're making say $10 an hour and you have only a few hundred dollars set aside in savings,
[00:16:49.740 --> 00:16:49.740]   If you're making say $10 an hour and you have only a few hundred dollars set aside in savings,
[00:16:49.880 --> 00:17:19.280]  ,
[00:17:19.280 --> 00:17:19.680]   then you could be wiped out by something as simple as a $199 a month car payment if you were to lose your job.
[00:17:19.680 --> 00:17:19.680]   then you could be wiped out by something as simple as a $199 a month car payment if you were to lose your job.
[00:17:19.680 --> 00:17:19.680]   It's happened to many people. On the other hand, if you're accustomed to making say half a million dollars a year and you have a few hundred thousand dollars in cash that's just sitting there in liquid accounts, then having a $2000 a month boat payment is probably not going to wipe you out. But on the other hand, if you are highly leveraged and have a lot of monthly payments, no matter how you're going to be able to pay for it.
[00:17:19.680 --> 00:17:19.680]   I think that's probably not going to wipe you out. But on the other hand, if you are highly leveraged and have a lot of monthly payments, no matter how you're going to pay for it.
[00:17:19.700 --> 00:17:19.740]   I think that's probably not going to wipe you out. But on the other hand, if you are highly leveraged and have a lot of monthly payments, no matter how you're going to pay for it.
[00:17:19.740 --> 00:17:29.520]   I'll give you some fun homework here to think about.
[00:17:29.520 --> 00:17:29.520]   I'll give you some fun homework here to think about.
[00:17:29.520 --> 00:17:41.820]   Go, if you have a Netflix subscription or I don't know if it's on Amazon Prime or wherever you consume your online media, go and watch a movie, a documentary called The Queen of Versailles.
[00:17:41.820 --> 00:17:46.720]   My wife and I watched it on Netflix some months ago and it was fascinating, absolutely fascinating.
[00:17:46.720 --> 00:17:49.620]   It tells the story of a couple named
[00:17:49.620 --> 00:17:49.620]   It tells the story of a couple named Jack and the Queen of Versailles.
[00:17:49.620 --> 00:17:49.620]   It tells the story of a couple named Jack and the Queen of Versailles.
[00:17:49.620 --> 00:17:49.620]   It tells the story of a couple named Jack and the Queen of Versailles.
[00:17:49.620 --> 00:18:19.560]  , and they are the owners of Westgate Resorts, one of the largest timeshare companies in the nation.
[00:18:19.560 --> 00:18:19.560]   Jack and the Queen of Versailles.
[00:18:19.560 --> 00:18:19.560]   Jack and the Queen of Versailles. And in 2008, the real challenge was in 2008, they basically went successfully through a process of losing all of their wealth.
[00:18:19.560 --> 00:18:19.560]   Jack and the Queen of Versailles. And in 2008, the real challenge was in 2008, they basically went successfully through a process of losing all of their wealth.
[00:18:19.560 --> 00:18:19.560]   I don't know what the level of his net worth was before the financial crisis, some hundreds of millions, I don't know if it was a billion dollars, but I think that's a good thing.
[00:18:19.560 --> 00:18:19.560]   Jack and the Queen of Versailles. And in 2008, the Queen of Versailles. And in 2008, the Queen of Versailles. And in 2008, the Queen of Versailles.
[00:18:19.580 --> 00:18:23.700]   He and his wife were in the process of building a house they called Versailles.
[00:18:23.700 --> 00:18:30.200]   It was a 90,000, it is a 90,000 square foot house in Florida, near Orlando.
[00:18:30.200 --> 00:18:49.500]   And one of the biggest houses in the United States, you know, has 11 kitchens and 13 bedrooms and 30 bathrooms and a 20 car garage and a two-lane bowling alley and an indoor roller skating rink and three indoor pools and two outdoor pools and a video arcade and a ballroom with a 500 person capacity, a two-story
[00:18:49.500 --> 00:19:19.440]  , a movie theater with a balcony inspired by the Paris Opera House, a fitness center with a 10,000 square foot spa, yoga studios, 20,000 bottle wine cellar, exotic fish aquarium, two tennis courts, a baseball diamond, an informal outdoor garden and an elevator in the master bedroom closet.
[00:19:19.440 --> 00:19:19.440]   It's a big house.
[00:19:19.440 --> 00:19:19.440]   And massively expensive.
[00:19:19.440 --> 00:19:19.440]   Well, the value of his real estate started to change substantially in 2008.
[00:19:19.440 --> 00:19:19.440]   And massively expensive.
[00:19:19.440 --> 00:19:19.440]   Well, the value of his real estate started to change substantially in 2008.
[00:19:19.440 --> 00:19:19.440]   Well, the value of his real estate started to change substantially in 2008.
[00:19:19.440 --> 00:19:19.440]   Well, the value of his real estate started to change substantially in 2008.
[00:19:19.440 --> 00:19:19.440]   Well, the value of his real estate started to change substantially in 2008.
[00:19:19.460 --> 00:19:21.580]   And the.
[00:19:21.580 --> 00:19:21.640]   And the.
[00:19:21.640 --> 00:19:21.680]   And the.
[00:19:21.680 --> 00:19:21.720]   And the.
[00:19:21.720 --> 00:19:21.780]   And the.
[00:19:21.780 --> 00:19:21.820]   And the.
[00:19:21.820 --> 00:19:21.880]   And the.
[00:19:21.880 --> 00:19:21.920]   And the.
[00:19:21.920 --> 00:19:21.940]   And the.
[00:19:21.940 --> 00:19:21.980]   And the.
[00:19:21.980 --> 00:19:22.000]   And the.
[00:19:22.000 --> 00:19:22.020]   And the.
[00:19:22.020 --> 00:19:22.040]   And the.
[00:19:22.040 --> 00:19:22.060]   And the.
[00:19:22.060 --> 00:19:22.080]   And the.
[00:19:22.080 --> 00:19:22.140]   And the.
[00:19:22.140 --> 00:19:22.180]   And the.
[00:19:22.180 --> 00:19:22.200]   And the.
[00:19:22.200 --> 00:19:22.220]   And the.
[00:19:22.220 --> 00:19:22.240]   And the.
[00:19:22.240 --> 00:19:22.260]   And the.
[00:19:22.260 --> 00:19:22.280]   And the.
[00:19:22.280 --> 00:19:22.380]   And the.
[00:19:22.380 --> 00:19:22.420]   And the.
[00:19:22.420 --> 00:19:22.440]   And the.
[00:19:22.440 --> 00:19:22.460]   And the.
[00:19:22.460 --> 00:19:22.480]   And the.
[00:19:22.480 --> 00:19:23.540]   And the.
[00:19:23.540 --> 00:19:23.580]   And the.
[00:19:23.580 --> 00:19:24.680]   And the.
[00:19:24.680 --> 00:19:24.720]   And the.
[00:19:24.720 --> 00:19:25.680]   And the.
[00:19:25.680 --> 00:19:26.580]   And the.
[00:19:26.580 --> 00:19:27.680]   And the.
[00:19:27.680 --> 00:19:28.580]   And the.
[00:19:28.580 --> 00:19:28.580]   And the.
[00:19:28.580 --> 00:19:29.680]   And the.
[00:19:29.680 --> 00:19:30.680]   And the.
[00:19:30.680 --> 00:19:31.680]   And the.
[00:19:31.680 --> 00:19:32.680]  .
[00:19:32.680 --> 00:19:33.580]   And the.
[00:19:33.580 --> 00:19:34.680]   and the.
[00:19:34.680 --> 00:19:35.680]  .
[00:19:35.680 --> 00:19:37.580]   and the.
[00:19:37.620 --> 00:19:47.560]   holds
[00:19:47.560 --> 00:19:47.900]   with . Xstud
[00:19:47.900 --> 00:19:54.120]   Перв the. The. He. He. he, care,,,,,,,,,, wür급
[00:19:54.120 --> 00:20:06.720]  'll � Misterié ou
[00:20:07.140 --> 00:20:19.040]   under
[00:20:19.040 --> 00:20:21.180]   I as,,,, proceedsや買GO B L That is that or directing urging Hutch X Q feel
[00:20:21.180 --> 00:20:36.540]   send a
[00:20:36.660 --> 00:20:47.500]   12
[00:20:47.500 --> 00:20:53.500]   già g people,,,, add a更 школ
[00:20:53.500 --> 00:21:03.340]   at
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.180]   and
[00:21:31.180 --> 00:21:31.220]   and
[00:21:31.220 --> 00:21:31.580]   and
[00:21:31.620 --> 00:21:41.940]   measure
[00:21:41.940 --> 00:21:43.280]   messy. I be up,,,,.... Equ K just exerchor, and,
[00:21:59.780 --> 00:22:10.100]   trimmed
[00:22:10.100 --> 00:22:11.680]   con, пут,
[00:22:11.680 --> 00:22:28.700]   hurting
[00:22:29.720 --> 00:22:39.580]  ,
[00:25:16.840 --> 00:25:17.120]   What do you think of the mortgage industry? I think of the mortgage industry as a good example. In the past in 2008, I was a financial advisor and or 2009, basically. And I remember meeting with a lot of people in the mortgage business and just watching them as their industry was imploding. And they had levered their lifestyle up.
[00:25:32.940 --> 00:25:43.860]   work
[00:25:43.860 --> 00:25:51.060]   make be. It's,,,, the video and we got a vot in the�較ön
[00:26:00.920 --> 00:26:16.620]   in advance in case you ever need them.
[00:26:16.620 --> 00:26:22.020]   So you need to establish the home equity line of credit on the house before you get laid off.
[00:26:22.020 --> 00:26:24.740]   That way it's there and it's available to you if you need it.
[00:26:24.740 --> 00:26:27.340]   You don't have to answer the income questions at that point in time.
[00:26:27.340 --> 00:26:28.900]   You've already established it.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.900]   You need to keep the credit card in place.
[00:26:28.900 --> 00:26:28.980]   You need to keep the credit card in place.
[00:26:28.980 --> 00:26:29.060]   You need to keep the credit card in place.
[00:26:29.060 --> 00:26:29.100]   You need to keep the credit card in place.
[00:26:30.100 --> 00:26:57.340]   I'm sure you've got a lot of credit cards available to you before you get laid off so that they're there if or when you ever need them.
[00:26:57.340 --> 00:26:57.380]   Now obviously you need to consider carefully if you can trust yourself.
[00:26:57.380 --> 00:26:57.460]   If you have a problem with compulsive spending it'll probably save you money to not have the credit cards even available to you.
[00:26:57.460 --> 00:26:57.500]   But if you are a normal disciplined person it might be helpful to you to have those things available because when you need the money to keep the credit cards in place.
[00:26:57.500 --> 00:26:57.540]   Because when you need the money to keep the credit cards in place.
[00:26:57.540 --> 00:26:57.660]   you need the credit cards in place.
[00:26:57.660 --> 00:26:58.700]   when you need the credit cards in place.
[00:26:58.700 --> 00:26:59.100]   when you need the credit cards in place.
[00:26:59.100 --> 00:26:59.100]   if you need the credit cards in place.
[00:26:59.140 --> 00:27:28.360]   program
[00:29:54.560 --> 00:30:04.400]   in
[00:30:04.400 --> 00:30:06.580]  , from,
[00:30:06.580 --> 00:30:22.480]   I look,�,,,, enasi out theㅠㅠ propaganda
[00:30:24.500 --> 00:30:24.520]   Jar
[00:30:24.520 --> 00:30:34.460]   I,
[00:30:34.460 --> 00:30:52.780]   Потому
[00:30:52.780 --> 00:30:53.520]   only in a be check neiggTINGSE C B S N different ŏ� "Pro Eig trash
[00:30:53.600 --> 00:31:03.520]   just
[00:31:03.520 --> 00:31:09.500]   В St. I try to,,,,,
[00:32:17.260 --> 00:32:17.260]   It's a great way to get rid of the idea of mass prosperity as a society and mass availability of the simple things of life. But individually it could happen to any one of us. It happened to many families in the recessions of 2008 and 2009. And another one will come. So put the plans in place so that it doesn't happen to you. Now adjust these things to your scale. To whatever is appropriate in your lifestyle.
[00:32:45.160 --> 00:32:45.160]   It's a great way to get rid of the idea of mass prosperity as a society and mass availability of the simple things of life. But individually it could happen to any one of us. So put the plans in place so that it doesn't happen to you. Now adjust these things to your scale. To whatever is appropriate in your lifestyle.
[00:32:45.160 --> 00:32:45.160]   It's a great way to get rid of the idea of mass prosperity as a society and mass availability of the simple things of life. But individually it could happen to any one of us. So put the plans in place so that it doesn't happen to you. Now adjust these things to your scale. To whatever is appropriate in your lifestyle.
[00:32:45.160 --> 00:32:45.160]   It's a great way to get rid of the idea of mass prosperity as a society and mass availability of the simple things of life. But individually it could happen to any one of us. So put the plans in place so that it doesn't happen to you. Now adjust these things to your scale. To whatever is appropriate in your lifestyle.
[00:32:45.160 --> 00:33:15.060]  , and it's a great way to get rid of the idea of mass prosperity as a society and mass productivity of the simple things of life.
[00:33:15.060 --> 00:33:15.060]   It's a great way to get rid of the idea of mass prosperity as a society and mass productivity of life.
[00:33:15.060 --> 00:33:15.160]   It's a great way to get rid of the idea of mass prosperity as a society and mass productivity of life.
[00:33:15.160 --> 00:33:15.160]   It's a great way to get rid of the idea of mass prosperity as a society and mass productivity of life.
[00:33:15.180 --> 00:33:17.200]   Work through those mental exercises. Take it away for two years.
[00:33:17.200 --> 00:33:18.200]   Work through those mental exercises. Take it away for two years.
[00:33:18.200 --> 00:33:19.200]   Work through those exercises. See what you would do.
[00:33:19.200 --> 00:33:20.200]   Work through those exercises. See what you would do.
[00:33:20.200 --> 00:33:21.200]   That was some thoughts regarding income.
[00:33:21.200 --> 00:33:22.200]   That was some thoughts regarding income.
[00:33:22.200 --> 00:33:23.200]   What about benefits?
[00:33:23.200 --> 00:33:24.200]   What about benefits?
[00:33:24.200 --> 00:33:25.200]   Quickly here, there are some things here you'll want to do and some things that you'll not need to do.
[00:33:25.200 --> 00:33:26.200]   Quickly here, there are some things here you'll want to do and some things that you'll not need to do and some things that you'll not need to do.
[00:33:26.200 --> 00:33:27.200]   But just mention a few things.
[00:33:27.200 --> 00:33:42.200]   But just mention a few things.
[00:33:42.200 --> 00:33:43.200]   Go through your group benefits or think through them and see what you would lose if you lost your job.
[00:33:43.200 --> 00:33:44.200]   Go through your group benefits or think through them and see what you would lose if you lost your job.
[00:33:44.220 --> 00:34:14.240]  ,
[00:34:14.240 --> 00:34:14.240]   You can't afford the premiums for the cobra coverage.
[00:34:14.240 --> 00:34:14.240]   You can't afford the premiums for the cobra coverage.
[00:34:14.240 --> 00:34:14.240]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:14.240 --> 00:34:14.240]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:14.240 --> 00:34:14.240]   Many times people who are in the emergency room are not able to afford the premiums for the cobra coverage.
[00:34:14.240 --> 00:34:14.240]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:14.240 --> 00:34:14.240]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:14.240 --> 00:34:14.240]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:14.260 --> 00:34:22.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:22.280 --> 00:34:23.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:23.280 --> 00:34:24.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:24.280 --> 00:34:25.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:25.280 --> 00:34:26.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:26.280 --> 00:34:28.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:28.280 --> 00:34:29.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:29.280 --> 00:34:30.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:30.280 --> 00:34:31.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:31.280 --> 00:34:32.280]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:32.300 --> 00:34:52.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:52.320 --> 00:34:53.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:53.320 --> 00:34:54.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:54.320 --> 00:34:55.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:55.320 --> 00:34:56.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:56.320 --> 00:34:57.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:57.320 --> 00:34:58.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:58.320 --> 00:34:59.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:34:59.320 --> 00:35:00.320]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:35:00.320 --> 00:35:01.320]   You need to recognize what costs would be and account for them in your emergency savings.
[00:35:01.320 --> 00:35:02.320]   You need to account for them in your emergency savings.
[00:35:02.420 --> 00:35:32.360]   in your emergency savings. You need to recognize what those costs would be and account for them in your emergency savings.
[00:35:32.360 --> 00:35:32.360]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:35:32.360 --> 00:35:32.360]   You need to recognize what those costs would be and account for them in your emergency savings.
[00:35:32.400 --> 00:35:34.160]   lights
[00:35:34.160 --> 00:35:43.380]   and the co tin
[00:35:43.380 --> 00:35:59.500]  ,,,, . Women Sheikke benefited Love E C and by, and, and, that, that, that, guy, Queen,,,,,,,,,,,,,,,,,,,,.. un.isted.� wouldn bo armed be thankful Feld eat Hamm sound airlrü passion
[00:35:59.500 --> 00:36:00.820]   the day is the final downwards think Еще the
[00:36:00.880 --> 00:36:01.900]   transfer.
[00:36:01.900 --> 00:36:03.900]   If you have a defined benefit pension, those are less simple.
[00:36:03.900 --> 00:36:08.900]   There's not a lot that you can do here to change it, but at least have a general idea of what would happen.
[00:36:08.900 --> 00:36:16.900]   One of the things that I forgot about when I was laid off back in 2008 was that I wasn't fully vested in my 401 s employer contributions.
[00:36:16.900 --> 00:36:20.900]   So I forfeited the employer contributions because I wasn't fully vested.
[00:36:20.900 --> 00:36:25.900]   Now, there wasn't a lot I could do about that, but it did impact my financial life.
[00:36:25.900 --> 00:36:28.900]   Give these things some thought.
[00:36:28.900 --> 00:36:29.360]   And if you see any holes or holes in the
[00:36:29.360 --> 00:36:29.360]   financial life, give these things some thought.
[00:36:29.360 --> 00:36:29.360]   And if you see any holes or holes in the financial life, give these things some thought.
[00:36:29.360 --> 00:36:29.360]   And if you see any holes or holes in the financial life, give these things some thought.
[00:36:29.360 --> 00:36:29.360]   And if you see any holes or holes in the financial life, give these things some thought.
[00:36:29.360 --> 00:36:58.400]   in your plans and start affecting them and start plugging the holes.
[00:36:58.400 --> 00:36:59.400]   And if you see any holes or any problems in your plans and start affecting them and start plugging the holes.
[00:36:59.400 --> 00:36:59.400]   Now overall, the major thing to focus on and here's where we get out of the specific weeds of finance. The major things to focus on is the plan of getting your next job as quickly as possible. And there are a few things that you can be doing to prepare for that. Now, many of these things are things you should be doing anyway so that you don't get laid off. That's the beautiful thing.
[00:36:59.420 --> 00:37:29.420]   I emphasize yesterday. All of those things that I mentioned in yesterday's show will help you to keep from getting laid off but they'll also make you more employable and improve your chances of getting another job. You ever noticed how the people for whom things go well, it seems like things always go well and they always get more and more opportunities? And then some people it seems like nothing seems to go well, nothing seems to go well, nothing seems to go well and it just gets worse and worse? Now, there may be many reasons for that. Some of those things are within their control.
[00:37:29.420 --> 00:37:29.440]   and they always get more and more opportunities. And then some people it seems like nothing seems to go well, nothing seems to go well, nothing seems to go well, and it just gets worse and worse? Now, there may be many reasons for that. Some of those things are within their control.
[00:37:29.440 --> 00:37:29.440]   Now, there may be many reasons for that. Some of those things are within their control.
[00:37:29.440 --> 00:37:59.480]   and some of those things are outside of their control. But you can tilt the odds in your favor with good proper prior planning. And this type of approach will help you from getting laid off because you should be looking for your next job or next opportunity regardless. Not necessarily actively all the time out beating the streets and applying for jobs but keeping your ears open. One of the key things you can do is keep yourself light
[00:37:59.500 --> 00:38:02.520]   and flexible financially.
[00:38:02.520 --> 00:38:08.520]   Simple example, one of the benefits to renting is you can move across the country or across the world on relatively short notice.
[00:38:08.520 --> 00:38:09.520]   and flexible financially.
[00:38:09.520 --> 00:38:12.520]   and flexible financially.
[00:38:12.520 --> 00:38:16.520]   One of the biggest challenges of 2008 and 2009,
[00:38:16.520 --> 00:38:21.520]   which were the most recent recessions that are fresh in our memory,
[00:38:21.520 --> 00:38:24.520]   was not necessarily that there were no jobs,
[00:38:24.520 --> 00:38:29.520]   but that the jobs were in a place that was different than many of the workers.
[00:38:29.520 --> 00:38:29.520]   But not necessarily that there were no jobs,
[00:38:29.520 --> 00:38:29.520]   but that the jobs were in a place that was different than many of the workers.
[00:38:29.520 --> 00:38:29.520]   But not necessarily that there were no jobs,
[00:38:29.520 --> 00:38:29.520]   but that the jobs were in a place that was different than many of the workers.
[00:38:29.520 --> 00:38:29.520]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:38:29.520 --> 00:38:59.560]   but not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
