
[00:00:00.000 --> 00:00:01.680]   All right, let's go.
[00:03:18.500 --> 00:03:21.660]   as predicting the next token,
[00:03:21.660 --> 00:03:25.260]   it's also useful to think from a linguistic perspective
[00:03:25.260 --> 00:03:28.500]   what is being learned by these models.
[00:03:28.500 --> 00:03:31.900]   So there's a list over here.
[00:03:31.900 --> 00:03:34.820]   I'll just go through a few that is useful.
[00:03:34.820 --> 00:03:37.100]   Things like facts, which is trivia.
[00:03:37.100 --> 00:03:40.260]   So these are the ones where you can say
[00:03:40.260 --> 00:03:44.100]   the penalty for getting the prediction wrong
[00:03:44.100 --> 00:03:44.980]   is relatively higher,
[00:03:44.980 --> 00:03:48.060]   because if you output something that's false,
[00:03:48.060 --> 00:03:51.480]   then your language model is probably not truthful.
[00:03:51.480 --> 00:03:56.820]   Things like sentiment, which we have seen before.
[00:03:56.820 --> 00:03:58.460]   Things like reasoning.
[00:03:58.460 --> 00:04:00.760]   So in this case, if you look at the sentence,
[00:04:00.760 --> 00:04:03.860]   Ero went to the kitchen to make some tea.
[00:04:03.860 --> 00:04:07.140]   Standing next to Ero, Zuko pondered his destiny.
[00:04:07.140 --> 00:04:08.580]   Zuko left the.
[00:04:08.580 --> 00:04:11.100]   So in this case, the idea is that
[00:04:11.100 --> 00:04:15.180]   there is some sort of spatial understanding.
[00:04:15.180 --> 00:04:16.180]   The model needs to understand
[00:04:16.180 --> 00:04:17.900]   some spatial understanding of the sentence.
[00:04:17.900 --> 00:04:21.660]   In this case, Zuko is currently in the kitchen,
[00:04:21.660 --> 00:04:23.460]   so he left the kitchen.
[00:04:23.460 --> 00:04:26.780]   So these are some of the things that,
[00:04:26.780 --> 00:04:28.460]   from a synthetic perspective,
[00:04:28.460 --> 00:04:30.260]   or from a linguistic perspective,
[00:04:30.260 --> 00:04:34.160]   we observe models are learning in terms of patterns.
[00:04:34.160 --> 00:04:38.580]   So from language models,
[00:04:38.580 --> 00:04:41.580]   we talk about conditional language models.
[00:04:41.580 --> 00:04:43.940]   So essentially, the idea is that
[00:04:43.940 --> 00:04:48.740]   we are trying to generate a target sequence
[00:04:48.740 --> 00:04:50.700]   in a target sentence,
[00:04:50.700 --> 00:04:54.180]   given some sequence in the source sentence.
[00:04:54.180 --> 00:04:57.260]   So that is why you see over here
[00:04:57.260 --> 00:05:00.420]   that we are not just generating our yt,
[00:05:00.420 --> 00:05:03.060]   given some y1 to yt minus one,
[00:05:03.060 --> 00:05:05.420]   which is basically the sequence
[00:05:05.420 --> 00:05:08.060]   that has been generated by the model before,
[00:05:08.060 --> 00:05:13.060]   but also we want to condition it on the source sentence.
[00:05:13.620 --> 00:05:15.420]   So that is essentially what translation does.
[00:05:15.420 --> 00:05:16.980]   You give, if you think about it,
[00:05:16.980 --> 00:05:20.340]   you give the model a source sentence,
[00:05:20.340 --> 00:05:22.740]   you pick the target language,
[00:05:22.740 --> 00:05:26.060]   and then you observe the model generate
[00:05:26.060 --> 00:05:29.020]   the sequence in the target language.
[00:05:29.020 --> 00:05:31.800]   So it's more than just language modeling,
[00:05:31.800 --> 00:05:33.100]   but it's also conditional.
[00:05:33.100 --> 00:05:37.940]   And one of the key things that we will notice
[00:05:37.940 --> 00:05:40.900]   in conditional language modeling
[00:05:40.900 --> 00:05:44.460]   is that we don't necessarily see
[00:05:44.460 --> 00:05:48.340]   that the first word in the source sentence
[00:05:48.340 --> 00:05:51.060]   corresponds to the first word in the target sentence.
[00:05:51.060 --> 00:05:53.420]   So as you can see, this might be it,
[00:05:53.420 --> 00:05:54.780]   first word to first word,
[00:05:54.780 --> 00:05:56.620]   but just the second word onwards,
[00:05:56.620 --> 00:05:59.260]   you start to see that there is this sort of
[00:05:59.260 --> 00:06:02.980]   crisscross relationship where you might need to,
[00:06:02.980 --> 00:06:04.620]   where maybe the second word over here
[00:06:04.620 --> 00:06:06.180]   corresponds to the third word,
[00:06:06.180 --> 00:06:09.060]   and the third word over here corresponds to the second.
[00:06:09.060 --> 00:06:11.980]   So essentially the idea is that
[00:06:11.980 --> 00:06:17.940]   we want to find a way to be able to model this relationship.
[00:06:17.940 --> 00:06:23.260]   And this relationship has actually been studied before
[00:06:23.260 --> 00:06:27.100]   in this idea of alignment,
[00:06:27.100 --> 00:06:28.820]   where if you think about it,
[00:06:28.820 --> 00:06:31.980]   if let's say we've got the clause sentence,
[00:06:31.980 --> 00:06:35.380]   let's say on the top,
[00:06:35.380 --> 00:06:40.100]   and the target sentence on the bottom, on the left,
[00:06:40.100 --> 00:06:44.740]   then if we've got this very linear one-to-one relationship,
[00:06:44.740 --> 00:06:46.860]   or this monotonic relationship,
[00:06:46.860 --> 00:06:51.020]   then we will see that there will be a white box over here
[00:06:51.020 --> 00:06:53.220]   from the top left to the bottom right,
[00:06:53.220 --> 00:06:56.860]   indicating that the first word corresponds to the first word,
[00:06:56.860 --> 00:06:58.780]   second word corresponds to the second word,
[00:06:58.780 --> 00:07:00.300]   so on and so forth.
[00:07:00.300 --> 00:07:03.980]   But as you can see, just from English to French,
[00:07:03.980 --> 00:07:08.980]   there is this idea where words that is later in the sequence
[00:07:08.980 --> 00:07:12.380]   corresponds to words that's earlier and vice versa.
[00:07:12.380 --> 00:07:17.140]   So that is how we can visualize attention.
[00:07:17.140 --> 00:07:20.780]   So then the question is, okay,
[00:07:20.780 --> 00:07:25.460]   what, how are we in a sense modeling it,
[00:07:25.460 --> 00:07:26.540]   or what does it look like
[00:07:26.540 --> 00:07:29.340]   from the encoder-decoder perspective?
[00:07:29.340 --> 00:07:33.060]   So naturally, when we look at the encoder-decoder blocks,
[00:07:34.060 --> 00:07:38.620]   this can be, let's look at this as an RNN.
[00:07:38.620 --> 00:07:41.220]   We say that the hidden state,
[00:07:41.220 --> 00:07:44.100]   the last hidden state in the encoder block
[00:07:44.100 --> 00:07:48.300]   contains all the information of the entire sentence,
[00:07:48.300 --> 00:07:51.220]   but there's this information bottleneck problem,
[00:07:51.220 --> 00:07:55.260]   which means that if let's say this is a longer sentence,
[00:07:55.260 --> 00:07:58.300]   the last hidden state might not contain information
[00:07:58.300 --> 00:08:00.620]   of the earlier tokens.
[00:08:00.620 --> 00:08:05.380]   And therefore, there's this idea of attention
[00:08:05.380 --> 00:08:07.500]   where you have,
[00:08:07.500 --> 00:08:09.780]   given that you've got all the hidden states
[00:08:09.780 --> 00:08:11.740]   of all the input tokens,
[00:08:11.740 --> 00:08:17.780]   the decoder when during the language generation component
[00:08:17.780 --> 00:08:20.860]   will pay attention or attend to
[00:08:20.860 --> 00:08:26.420]   weighted sum of all the hidden states.
[00:08:26.420 --> 00:08:28.260]   So if let's say I've got something
[00:08:28.260 --> 00:08:31.260]   that is later in my sequence
[00:08:31.260 --> 00:08:34.300]   that corresponds to a token
[00:08:34.300 --> 00:08:36.940]   that is earlier in my source sentence,
[00:08:36.940 --> 00:08:40.700]   then I will see the attention weights
[00:08:40.700 --> 00:08:44.500]   giving more weight to the hidden states
[00:08:44.500 --> 00:08:45.940]   in the source sentence.
[00:08:45.940 --> 00:08:49.780]   So essentially, that's the idea of attention
[00:08:49.780 --> 00:08:54.380]   that has been implemented in the encoder-decoder
[00:08:54.380 --> 00:08:57.060]   kind of paradigm or the kind of architecture.
[00:08:58.060 --> 00:09:01.140]   So the problem with that is that
[00:09:01.140 --> 00:09:05.100]   when we create these
[00:09:05.100 --> 00:09:08.060]   or we calculate these individual hidden states,
[00:09:08.060 --> 00:09:11.180]   we realize that it has to be calculated sequentially.
[00:09:11.180 --> 00:09:13.100]   That means in this diagram,
[00:09:13.100 --> 00:09:16.140]   you can see that the second hidden state
[00:09:16.140 --> 00:09:19.060]   has to only, can only be calculated
[00:09:19.060 --> 00:09:22.140]   after the first hidden state is being output.
[00:09:22.140 --> 00:09:24.980]   And the third hidden state can only be calculated
[00:09:24.980 --> 00:09:27.460]   after the second hidden state has been output.
[00:09:27.460 --> 00:09:29.020]   So the question is,
[00:09:29.020 --> 00:09:33.940]   can we remove or break free from this idea
[00:09:33.940 --> 00:09:36.900]   where there is a dependency of the previous state?
[00:09:36.900 --> 00:09:38.740]   Because if we're able to do so,
[00:09:38.740 --> 00:09:41.900]   then we are able to run our forward pass
[00:09:41.900 --> 00:09:43.380]   and collect our gradients
[00:09:43.380 --> 00:09:46.300]   and run that prop on the architecture
[00:09:46.300 --> 00:09:52.420]   concurrently across the whole sequence.
[00:09:52.420 --> 00:09:55.580]   So essentially, that's the idea
[00:09:55.580 --> 00:09:58.540]   of your key query value attention,
[00:09:58.540 --> 00:10:01.700]   and that essentially forms
[00:10:01.700 --> 00:10:06.700]   one of the building blocks of the transformer architecture.
[00:10:06.700 --> 00:10:09.060]   So I think from here,
[00:10:09.060 --> 00:10:11.340]   what we're just going to talk about
[00:10:11.340 --> 00:10:16.300]   is there are other components
[00:10:16.300 --> 00:10:18.900]   to the transformer architecture
[00:10:18.900 --> 00:10:23.500]   beyond just our key query value attention.
[00:10:23.500 --> 00:10:26.180]   There is also this idea of understanding
[00:10:26.180 --> 00:10:28.940]   the position of the text,
[00:10:28.940 --> 00:10:30.380]   and that's basically an idea
[00:10:30.380 --> 00:10:32.260]   of adding position representations
[00:10:32.260 --> 00:10:34.820]   that you will see in the paper later,
[00:10:34.820 --> 00:10:37.460]   adding some sort of non-linearity
[00:10:37.460 --> 00:10:38.980]   when you're doing the calculation,
[00:10:38.980 --> 00:10:39.860]   and that's essentially
[00:10:39.860 --> 00:10:42.660]   just adding a feed-forward layer on top of it.
[00:10:42.660 --> 00:10:43.900]   So the idea is that
[00:10:43.900 --> 00:10:46.260]   if you're just calculating key query value pass,
[00:10:46.260 --> 00:10:49.740]   you're always looking at linear combinations
[00:10:49.740 --> 00:10:52.220]   of your, you can say your values,
[00:10:52.220 --> 00:10:55.500]   because you're just getting a weighted sum of the values
[00:10:55.500 --> 00:10:56.900]   calculated by attention.
[00:10:56.900 --> 00:11:00.220]   So we want to add a layer of non-linearity to it,
[00:11:00.220 --> 00:11:04.060]   which is taken care of by the feed-forward network.
[00:11:04.060 --> 00:11:05.340]   And of course, the last part
[00:11:05.340 --> 00:11:07.700]   is when you're doing the decoding step,
[00:11:07.700 --> 00:11:10.180]   when you're generating tokens,
[00:11:10.180 --> 00:11:14.260]   you want to not let the model see the future tokens,
[00:11:14.260 --> 00:11:17.420]   and essentially that's when masking comes into play,
[00:11:17.420 --> 00:11:18.700]   attention masking comes into play.
[00:11:18.700 --> 00:11:20.620]   So you will start to see that
[00:11:20.620 --> 00:11:24.660]   in the decoder architecture later down the road.
[00:11:24.660 --> 00:11:30.940]   So a couple of things on top of what we are talking about
[00:11:30.940 --> 00:11:35.860]   in terms of the language modeling component for transformers.
[00:11:35.860 --> 00:11:38.300]   One topic is sub-word models.
[00:11:38.300 --> 00:11:41.460]   So this is when you have things like tokenization,
[00:11:41.460 --> 00:11:42.620]   your byte-pair encoding.
[00:11:42.620 --> 00:11:45.380]   So essentially, what are we trying to solve over here?
[00:11:45.380 --> 00:11:49.140]   If you look at this table at the bottom,
[00:11:49.140 --> 00:11:51.380]   we start to see that for words
[00:11:51.380 --> 00:11:54.100]   that exist outside the vocabulary,
[00:11:54.100 --> 00:11:57.740]   that can be things like a variation of an existing word,
[00:11:57.740 --> 00:12:02.140]   in this case, you add many A's in between the word,
[00:12:02.140 --> 00:12:03.860]   between T and A for tasty
[00:12:03.860 --> 00:12:07.540]   to probably indicate that it's very tasty,
[00:12:07.540 --> 00:12:09.340]   or misspellings of words,
[00:12:09.340 --> 00:12:11.540]   which is also very common in input,
[00:12:11.540 --> 00:12:15.580]   or novel words over here where we understand
[00:12:15.580 --> 00:12:18.100]   the word transformerify might mean
[00:12:18.100 --> 00:12:21.780]   adding maybe a transformer block
[00:12:21.780 --> 00:12:23.780]   into an existing architecture,
[00:12:23.780 --> 00:12:25.980]   but it's a word that we might not see
[00:12:25.980 --> 00:12:27.940]   in the existing dictionary.
[00:12:27.940 --> 00:12:31.220]   So for them, for these words over here,
[00:12:31.220 --> 00:12:33.260]   if you just use a traditional vocabulary
[00:12:33.260 --> 00:12:35.300]   or a dictionary vocabulary,
[00:12:35.300 --> 00:12:38.340]   the index will be some sort of an UNK token.
[00:12:40.500 --> 00:12:44.780]   And essentially what goes on with byte-pair encoding
[00:12:44.780 --> 00:12:47.980]   is that it starts to learn these shorter
[00:12:47.980 --> 00:12:51.740]   combinations of letters that can sometime
[00:12:51.740 --> 00:12:57.060]   represent either prefixes or suffixes of a word,
[00:12:57.060 --> 00:12:58.780]   and then essentially you are able
[00:12:58.780 --> 00:13:00.300]   to generate the embeddings for them.
[00:13:00.300 --> 00:13:04.460]   So if you see over here, you've got this T-A-A,
[00:13:04.460 --> 00:13:05.780]   and then anything after that,
[00:13:05.780 --> 00:13:08.820]   and A-A-A, and anything after that, and S-T-Y.
[00:13:08.820 --> 00:13:10.700]   So this guy, probably you've seen it
[00:13:10.700 --> 00:13:13.860]   in other existing words,
[00:13:13.860 --> 00:13:16.380]   and therefore there is an existing embedding
[00:13:16.380 --> 00:13:17.820]   that's associated with it,
[00:13:17.820 --> 00:13:20.420]   and therefore we are able to represent it over here.
[00:13:20.420 --> 00:13:22.260]   You can think of it maybe as a,
[00:13:22.260 --> 00:13:23.660]   you're essentially creating,
[00:13:23.660 --> 00:13:25.620]   you're essentially generating three tokens
[00:13:25.620 --> 00:13:28.300]   from this source sequence over here.
[00:13:28.300 --> 00:13:33.300]   So essentially that's the idea of sub-word models,
[00:13:33.300 --> 00:13:35.660]   or in this case, you've got things like
[00:13:35.660 --> 00:13:37.620]   byte-pair encoding, sentence piece, word piece,
[00:13:37.620 --> 00:13:38.460]   and things like that.
[00:13:38.460 --> 00:13:41.100]   That's the problem that they're trying to solve.
[00:13:41.100 --> 00:13:41.940]   Okay?
[00:13:41.940 --> 00:13:43.660]   So,
[00:13:43.660 --> 00:13:47.700]   three types of architectures.
[00:13:47.700 --> 00:13:51.780]   The key thing over here to note is that
[00:13:51.780 --> 00:13:53.620]   what we have in the transformer block
[00:13:53.620 --> 00:13:57.660]   is essentially replacing the recurrent neural network blocks
[00:13:57.660 --> 00:13:58.740]   that we had previously.
[00:13:58.740 --> 00:14:00.580]   So when we talk about recurrent neural networks,
[00:14:00.580 --> 00:14:04.260]   of course we add things like LSTMs, GRUs,
[00:14:04.260 --> 00:14:06.820]   bidirectional models, multi-layer models.
[00:14:06.820 --> 00:14:08.740]   So it encompasses all that.
[00:14:08.740 --> 00:14:10.740]   And essentially what we have over here
[00:14:10.740 --> 00:14:13.940]   are the three types of dominant architectures.
[00:14:13.940 --> 00:14:15.660]   We've got the encoder models,
[00:14:15.660 --> 00:14:17.780]   and examples of this would be things like BERT,
[00:14:17.780 --> 00:14:21.260]   where you learn via mass language modeling,
[00:14:21.260 --> 00:14:23.540]   which has been covered before.
[00:14:23.540 --> 00:14:26.020]   Encoder-decoder models, where we've seen earlier,
[00:14:26.020 --> 00:14:29.580]   we have an encoder that maps your sequence into
[00:14:29.580 --> 00:14:32.980]   a space, or a position in latent space,
[00:14:32.980 --> 00:14:34.820]   and then from there you perform your
[00:14:36.020 --> 00:14:38.540]   sampling, or your autoregressive sampling of tokens
[00:14:38.540 --> 00:14:40.380]   to form your target sequence,
[00:14:40.380 --> 00:14:42.380]   which is what we've seen in T5.
[00:14:42.380 --> 00:14:44.140]   And the decoder models,
[00:14:44.140 --> 00:14:46.180]   which I think all of us are familiar with,
[00:14:46.180 --> 00:14:48.380]   things like GPT-2, GPT-3, they are all there.
[00:14:48.380 --> 00:14:52.660]   So you essentially learn the language of patterns,
[00:14:52.660 --> 00:14:56.700]   and then you directly just do your autoregressive
[00:14:56.700 --> 00:14:58.660]   sampling or decoding from there.
[00:14:58.660 --> 00:14:59.780]   Okay?
[00:14:59.780 --> 00:15:00.700]   So,
[00:15:00.700 --> 00:15:03.580]   from there, right,
[00:15:03.580 --> 00:15:06.380]   we will lead to
[00:15:06.380 --> 00:15:08.180]   this paper that we have over here,
[00:15:08.180 --> 00:15:09.620]   which is the Comprehensive Overview
[00:15:09.620 --> 00:15:10.860]   of Large Language Models.
[00:15:10.860 --> 00:15:13.860]   If you take a look at this paper,
[00:15:13.860 --> 00:15:17.580]   it seemed to me that
[00:15:17.580 --> 00:15:20.300]   there were multiple updates to the paper.
[00:15:20.300 --> 00:15:23.220]   And that signals to me that there's probably
[00:15:23.220 --> 00:15:25.980]   going to be updates along the way.
[00:15:25.980 --> 00:15:29.620]   So, I think what's useful
[00:15:29.620 --> 00:15:33.820]   is beyond looking at just the paper itself,
[00:15:33.820 --> 00:15:36.700]   understand,
[00:15:36.700 --> 00:15:39.140]   or for me, what I did was I tried to understand
[00:15:39.140 --> 00:15:41.820]   what was the framework that the authors were using
[00:15:41.820 --> 00:15:46.820]   to attack understanding of the knowledge,
[00:15:46.820 --> 00:15:50.300]   then dividing it, and then giving us a reader
[00:15:50.300 --> 00:15:51.780]   to understand it.
[00:15:51.780 --> 00:15:53.300]   Right?
[00:15:53.300 --> 00:15:55.420]   It's a very dense paper.
[00:15:55.420 --> 00:15:58.980]   It's got, I think, over 450 citations.
[00:15:58.980 --> 00:16:03.980]   So, I think it's more of a
[00:16:03.980 --> 00:16:06.620]   pick-your-own-adventure, pick-your-own-journey,
[00:16:06.620 --> 00:16:10.620]   pick-your-own-learning-process
[00:16:10.620 --> 00:16:13.540]   kind of, I would say, direction,
[00:16:13.540 --> 00:16:18.180]   so that along the way, you'll be able to build
[00:16:18.180 --> 00:16:21.020]   that foundational knowledge and then add layers on it,
[00:16:21.020 --> 00:16:22.300]   add layers on it.
[00:16:22.300 --> 00:16:24.540]   At the end of the day, we all know that new models
[00:16:24.540 --> 00:16:27.940]   are always developed and new models are always announced.
[00:16:27.940 --> 00:16:29.340]   So, going back to the first principles
[00:16:29.340 --> 00:16:31.700]   and fundamentals are useful.
[00:16:31.700 --> 00:16:35.780]   So, let's just go through the paper very quickly.
[00:16:35.780 --> 00:16:38.380]   Let's just start from the top over here.
[00:16:38.380 --> 00:16:40.980]   So, essentially, we'll just talk about
[00:16:40.980 --> 00:16:42.700]   the last point over here,
[00:16:42.700 --> 00:16:46.740]   where we are seeing that large language models,
[00:16:46.740 --> 00:16:50.380]   in particular things like GPT-3,
[00:16:50.380 --> 00:16:53.060]   are able to perform your downstream tasks
[00:16:53.060 --> 00:16:54.660]   without specific fine-tuning.
[00:16:54.660 --> 00:16:56.020]   So, that's the first key point,
[00:16:56.020 --> 00:16:58.180]   because if we looked at T5,
[00:16:58.180 --> 00:17:03.100]   we saw that the performance of T5 on downstream tasks,
[00:17:03.100 --> 00:17:04.780]   in this case, it can be translation,
[00:17:04.780 --> 00:17:08.780]   it can be your glue task, it can be your squirt task,
[00:17:08.780 --> 00:17:13.740]   their performance only will get better
[00:17:13.740 --> 00:17:16.660]   once you fine-tune on that particular task.
[00:17:16.660 --> 00:17:19.060]   And you've seen, there are multiple experiments
[00:17:19.060 --> 00:17:21.180]   that they've done, which demonstrates
[00:17:21.180 --> 00:17:24.260]   that that's the better way, that's the better alternative.
[00:17:24.260 --> 00:17:27.900]   So, what GPT-3 demonstrated was that
[00:17:27.900 --> 00:17:31.060]   they are able to perform zero short transfer learning
[00:17:31.060 --> 00:17:32.660]   on these tasks.
[00:17:32.660 --> 00:17:33.500]   So, what does that mean?
[00:17:33.500 --> 00:17:35.900]   That means that if you just give the prompt
[00:17:35.900 --> 00:17:39.940]   from the downstream task, GPT-3 is able to give the answer.
[00:17:39.940 --> 00:17:42.940]   So, that kind of changed things
[00:17:42.940 --> 00:17:45.260]   where we actually might not need to fine-tune
[00:17:45.260 --> 00:17:46.100]   for a particular task.
[00:17:46.100 --> 00:17:48.300]   Of course, when we look later down the road,
[00:17:48.300 --> 00:17:50.980]   we see that there's very, very specific ways
[00:17:50.980 --> 00:17:53.500]   of doing things like instruction tuning.
[00:17:53.500 --> 00:17:54.980]   But that was one of the big discoveries
[00:17:54.980 --> 00:17:56.180]   that they had back then.
[00:17:56.180 --> 00:18:01.900]   On top of it, they were able to show things like reasoning,
[00:18:01.900 --> 00:18:03.460]   they were able to show things like planning,
[00:18:03.460 --> 00:18:05.180]   they were able to show things like in-context learning.
[00:18:05.180 --> 00:18:09.060]   So, we get to see examples of this later
[00:18:09.060 --> 00:18:13.060]   when you do things like chain of thought prompting.
[00:18:13.060 --> 00:18:15.420]   So, they're able to understand,
[00:18:15.420 --> 00:18:20.420]   given certain patterns, when they ask for a question
[00:18:21.540 --> 00:18:23.900]   or ask for a task that follows a similar pattern
[00:18:23.900 --> 00:18:25.980]   from the prompt, they are able to answer.
[00:18:25.980 --> 00:18:30.900]   The problem that we see today
[00:18:30.900 --> 00:18:34.220]   is that the cost of training them
[00:18:34.220 --> 00:18:35.700]   or pre-training them is relatively high,
[00:18:35.700 --> 00:18:38.340]   usually in the tens of millions.
[00:18:38.340 --> 00:18:41.140]   So, the question is that can we get better
[00:18:41.140 --> 00:18:43.700]   at pre-training these models?
[00:18:43.700 --> 00:18:45.340]   Can we look at things like better architectures?
[00:18:45.340 --> 00:18:49.180]   Can we look at things like more efficient ways
[00:18:49.180 --> 00:18:52.540]   of fine-tuning our parameters?
[00:18:52.540 --> 00:18:54.940]   Are there ways that we can represent these factors
[00:18:54.940 --> 00:18:57.740]   in a lower vector state
[00:18:57.740 --> 00:19:02.740]   or a state that uses less granularity?
[00:19:02.740 --> 00:19:07.140]   So, that's essentially what things like architectures
[00:19:07.140 --> 00:19:10.740]   come into play, quantization comes into play.
[00:19:10.740 --> 00:19:14.660]   So, the way I saw this paper
[00:19:14.660 --> 00:19:17.460]   was that we had the background,
[00:19:17.460 --> 00:19:19.660]   which talks about some of the key concepts
[00:19:19.660 --> 00:19:22.180]   and then the different types of LLMs
[00:19:22.180 --> 00:19:23.940]   and their particular use cases.
[00:19:23.940 --> 00:19:27.540]   The datasets that have been used to train them,
[00:19:27.540 --> 00:19:29.420]   at least the public ones.
[00:19:29.420 --> 00:19:31.860]   What kind of evaluation tasks are they looking at?
[00:19:31.860 --> 00:19:34.340]   So, probably that's what we call evals.
[00:19:34.340 --> 00:19:36.940]   And the different types of applications
[00:19:36.940 --> 00:19:40.260]   for these LLMs in the commercial.
[00:19:40.260 --> 00:19:42.660]   And of course, from there we talk about
[00:19:42.660 --> 00:19:46.260]   what probably researchers are looking at
[00:19:46.260 --> 00:19:49.300]   going into maybe say the next three months
[00:19:49.300 --> 00:19:50.220]   or the next year.
[00:19:50.220 --> 00:19:54.900]   So, let's look at some of the fundamentals.
[00:19:54.900 --> 00:19:56.860]   So, I'm gonna start from the left side.
[00:19:56.860 --> 00:19:58.860]   The paper has covered,
[00:19:58.860 --> 00:20:01.100]   we have covered some of these topics from the paper.
[00:20:01.100 --> 00:20:04.860]   Tokenization, attention mechanisms,
