
[00:00:00.000 --> 00:00:05.080]   All right. So jumping into it.
[00:21:59.860 --> 00:22:01.220]   Okay, cool.
[00:22:04.580 --> 00:22:10.980]   Cool. So jumping into this one is 2021.
[00:22:10.980 --> 00:22:22.180]   So after the DDPM paper got state of the art on FID scores for ImageNet, it got a lot of attention.
[00:22:22.180 --> 00:22:30.180]   The research kind of spiked afterwards. A lot of the focus was still on applications with image generation.
[00:22:32.180 --> 00:22:38.180]   But increasingly, it started to become with text modeling and other modalities. So audio, video.
[00:22:38.180 --> 00:22:44.740]   This was one of the first ones I could find with reference to
[00:22:44.740 --> 00:22:52.340]   text modeling. And this is the Austin et al. 2021 structure denoising models in discrete spaces.
[00:22:56.020 --> 00:23:00.020]   So let's see.
[00:23:00.020 --> 00:23:07.060]   One of the question paper is we develop a structured corruption process for appropriate
[00:23:07.060 --> 00:23:12.580]   processes appropriate for text using similarity between tokens to enable gradual corruption and
[00:23:12.580 --> 00:23:17.620]   denoising. Expanding further, we also explore a corruption process that insert mask tokens,
[00:23:17.620 --> 00:23:20.900]   allow us to draw parallels to autoregressive and mass-based generative models.
[00:23:20.900 --> 00:23:26.260]   I'm actually going to skip the slide.
[00:23:28.980 --> 00:23:41.300]   So the process they introduce is they think of, you know, a string of text as a sequence of discrete
[00:23:41.300 --> 00:23:50.980]   tokens. We can do that as a reshape it into a matrix. And then if we're randomly masking a token,
[00:23:52.020 --> 00:23:59.460]   we can do that by sampling Gaussian noise. But each one of these samples is discrete versus
[00:23:59.460 --> 00:24:04.740]   some of the previous approaches we talked about, or assume that the distribution is continuous,
[00:24:04.740 --> 00:24:10.740]   which is more appropriate for like color values or from, you know, an audio signal,
[00:24:11.860 --> 00:24:19.780]   we're text. We're treating this as just one of the values from a row cab. And we can iteratively apply
[00:24:19.780 --> 00:24:24.500]   noise using these masks. So again,
[00:24:24.500 --> 00:24:39.700]   this is the four process Q, XT condition on XS. And they use like a transition matrix, which I think is from
[00:24:39.700 --> 00:24:50.020]   Markov, Markov, like a Markov process. But I'm feel free to jump in if someone has a better understanding
[00:24:50.020 --> 00:24:58.580]   of that. But each time step, they determine, you know, randomly, which based on a probability from
[00:24:58.580 --> 00:25:04.500]   from this transition basics, should we mask a token at each time step T.
[00:25:08.020 --> 00:25:15.300]   And then the reverse process is similar to that, where if we know what the true distribution is of
[00:25:15.300 --> 00:25:24.340]   the data XO, we know like what the unmasked value should be. And so we're able to sample from like
[00:25:24.340 --> 00:25:33.460]   the reverse of the distribution to unmask it. But of course, you know, in actual gender modeling,
[00:25:33.460 --> 00:25:41.380]   we don't know what the true distribution of XO is. So in our, you know, our reverse process,
[00:25:41.380 --> 00:25:54.500]   probability of X given theta, we can said, approximate this using our neural network
[00:25:57.140 --> 00:26:02.500]   to determine what the probability should be. So this is, this is what the network learns.
[00:26:02.500 --> 00:26:06.980]   And here's kind of a sample of like what the
[00:26:14.100 --> 00:26:16.260]   what the model is, this is a figure from the paper.
[00:26:16.260 --> 00:26:26.820]   And based on the LM1B task to generate new sentences. And then the bottom is the bottom
[00:26:26.820 --> 00:26:33.780]   portion on the right is reconstruction samples. And so what this is trying to show is like on the,
[00:26:33.780 --> 00:26:40.340]   on the top as T goes up, more stuff is masked. And then on the bottom as T moves forward, more stuff is
[00:26:40.340 --> 00:26:50.660]   unmasked. And then if we learned a good representation of the, of our data, then what gets reconstructed is, is like
[00:26:50.660 --> 00:26:55.540]   pretty close to what the data should be.
[00:26:55.540 --> 00:27:03.940]   So we can see, you know, it masks. The original is Caterpillar is eager to expand in Asia. And then the,
[00:27:03.940 --> 00:27:06.820]   the reconstructed version of Caterpillar is eager to expand in China.
[00:27:06.820 --> 00:27:18.260]   Some of the claims in the paper, this is a big block quote that I'm not going to read,
[00:27:18.260 --> 00:27:20.340]   but I encourage people to check out because I think it's
[00:27:20.340 --> 00:27:23.780]   pretty, pretty interesting.
[00:27:25.140 --> 00:27:31.220]   But they, they claim that that BERT viewed through this, this lens that they've, they've established
[00:27:31.220 --> 00:27:33.540]   is a one-step diffusion model.
[00:27:33.540 --> 00:27:39.060]   And the auto aggressive models are discrete diffusion models.
[00:27:39.060 --> 00:27:46.420]   And the generative masculine drink models. So the type of model they've proposed,
[00:27:47.700 --> 00:27:53.780]   or, or, or mass language models in general. So like BERT, um, or diffusion models.
[00:27:53.780 --> 00:27:59.460]   So interesting parallel with kind of like previous NLP research, um,
[00:27:59.460 --> 00:28:04.420]   and trying to like establish a background for, for their approach.
[00:28:04.420 --> 00:28:11.780]   This plays out in some of the, um, the future papers. So I wasn't sure how much depth to go in.
[00:28:11.780 --> 00:28:17.620]   So I cut out a bunch of it stuff. Um, so this one was 2021. Um, there's a ton of.
[00:28:17.620 --> 00:28:23.060]   Sorry Tyler. Oh yeah. I was going to actually ask a question on this. I think this feels actually
[00:28:23.060 --> 00:28:30.580]   kind of important. Um, so I want to talk through my thinking of it. And I think you, you will know
[00:28:30.580 --> 00:28:36.660]   this a lot more than me. I think BERT is a one-step diffusion model because we add noise, right? We corrupt
[00:28:36.660 --> 00:28:39.540]   the tokens. That's why it's a one-step diffusion model.
[00:28:40.980 --> 00:28:45.460]   I'm a little bit stuck on how autoregressive models are discrete diffusion models. Could
[00:28:45.460 --> 00:28:52.260]   you talk a little bit more about that piece? Yeah, totally. Um, so
[00:28:52.260 --> 00:29:06.260]   I think there, um, I'm not as, as firm on this as, as I, as I could be. Um, but
[00:29:06.980 --> 00:29:12.580]   you know way more than me at this point. I don't know. I went really broad and skimmed a ton of
[00:29:12.580 --> 00:29:17.940]   papers. Um, and I can, I can share a bit of a high level about what they're staying here. So what's the
[00:29:17.940 --> 00:29:27.220]   intuition? Yes, please. Discrete diffusion in this sense is basically them. Uh, so at each step there,
[00:29:27.220 --> 00:29:32.660]   there's a deterministic answer and they're just masking the next token, right? So when you train the
[00:29:32.660 --> 00:29:38.020]   other aggressive model, what you're basically doing is you're predicting one token at a time
[00:29:38.020 --> 00:29:43.940]   and in a sense, right, that's, that's just, you have deterministic outputs of what the token should be.
[00:29:43.940 --> 00:29:49.940]   You're just now masking one token at a time. So it's deterministic in the sense of, you know,
[00:29:49.940 --> 00:29:55.620]   you know exactly what it is. It's equivalent to like a single diffusion step, but instead of stochastic
[00:29:55.620 --> 00:30:02.420]   diffusion, it's deterministic because you know what the token should be. But yeah, I like read a little
[00:30:02.420 --> 00:30:06.580]   bit more about this and that's, that's kind of all they're saying. They're just saying you're masking token
[00:30:06.580 --> 00:30:14.980]   by token and that's all it is. Right. So it is discrete as opposed to probabilistic or continuous
[00:30:14.980 --> 00:30:19.540]   like images because images, image pixels are continuous, right? Right. In this case, it's text
[00:30:19.540 --> 00:30:26.180]   tokens. That's why it's discrete. Is that it? Images, images are continuous in the sense of you're predicting
[00:30:26.180 --> 00:30:32.180]   how much noise was applied and what the noise is. In this case, you have exactly one token of measurable,
[00:30:32.180 --> 00:30:38.420]   predictable, discrete change. Right. So that's, that's how they're framing the idea, which, which
[00:30:38.420 --> 00:30:43.060]   kind of in some sense makes sense, right? Like how much noise did I apply over an image? There's a
[00:30:43.060 --> 00:30:47.540]   spectrum of answers, right? And then your loss is measured differently. In this case, it's a very
[00:30:47.540 --> 00:30:54.420]   discrete. Yeah. I also wonder in this case, like maybe the word big, it could be large or huge. I think
[00:30:54.420 --> 00:31:01.380]   all of them, all of them are actually, the word big itself may not be the, you have many synonyms that
[00:31:01.380 --> 00:31:07.860]   could also be correct answers. So in that sense, framing as discrete loss or discrete diffusion.
[00:31:07.860 --> 00:31:12.020]   Never mind. I don't know enough of this to comment more. Sorry, please go ahead.
[00:31:12.020 --> 00:31:21.220]   So in that case, why are mass language models? Oh, RJ, go. Yeah, sorry. One interesting thing that I
[00:31:21.220 --> 00:31:30.020]   learned when I did the consistency paper was that the diffusion process is actually the model from the, from the
[00:31:30.020 --> 00:31:37.860]   beginning, given the predictions up until now. Right. So like, it's not, it's not just like given
[00:31:37.860 --> 00:31:45.700]   the last prediction, what's the next step. It's given, what's the next step, given all the predictions up
[00:31:45.700 --> 00:31:50.580]   until now. And this is the same for our language model. And so that it, in, from that perspective,
[00:31:50.580 --> 00:31:58.180]   it looks very much like an auto regressive model. Right. That makes sense. Yeah. And, and, and the other thing that I
[00:31:58.180 --> 00:32:04.660]   I just like, maybe, maybe there's a statement, the obvious, but BERT is it like with the mass language
[00:32:04.660 --> 00:32:10.900]   modeling is just sort of like a generalization of masking only the next token. Right. So it's sort of
[00:32:10.900 --> 00:32:16.980]   like, you're just, you're just, you just happen to have all masked the next token every time for the,
[00:32:16.980 --> 00:32:24.580]   um, for the auto aggressive model. Whereas with a mass language model, you're doing anywhere in,
[00:32:24.580 --> 00:32:32.740]   or like a chunk inside of the, and like tokens inside of the, inside of the text, instead of at the end.
[00:32:32.740 --> 00:32:39.380]   Right. That makes sense. I kind of think like, but it's like, you're masking tokens in the middle,
[00:32:39.380 --> 00:32:43.860]   like 15% of the time. Yeah. Whereas for auto regressive, you're masking everything ahead.
[00:32:43.860 --> 00:32:45.460]   Yeah, exactly.
[00:32:45.460 --> 00:32:50.100]   Um, everything's a mask. Okay. And then they denoise one position at a time, if you think of it that way.
[00:32:50.100 --> 00:32:55.540]   But, but, but maybe more. Yeah. So maybe more just like you mask whatever the next token is.
[00:32:55.540 --> 00:33:01.460]   Or, or maybe it, maybe it's better. Maybe what you said is better way to look at it in the sense
[00:33:01.460 --> 00:33:09.220]   it, because it parallels what I said about diffusion models in the, um, like for whatever the stable
[00:33:09.220 --> 00:33:14.420]   diffusion or whatever. No, that's totally right. Yeah. And then going to get into it in a minute. Um,
[00:33:14.420 --> 00:33:20.180]   at least a little bit is that, um, some of the state of the art stuff for language diffusion,
[00:33:20.180 --> 00:33:25.780]   um, of course they, they lean heavier on big transformer models. Um, and they're able to remove
[00:33:25.780 --> 00:33:32.500]   kind of the, the causal, causal mask, um, that's applied for attention. Um, so you think of like the,
[00:33:32.500 --> 00:33:36.980]   you know, the bottom triangle, um, that we usually see for attention, or if you have like group query
