
[00:00:00.000 --> 00:00:03.000]   Welcome back to 6S094
[00:07:45.300 --> 00:07:48.000]   that's a very doubtful prediction
[00:07:48.000 --> 00:07:51.300]   One that is within a year
[00:07:51.300 --> 00:07:53.900]   as we'll give a few examples today
[00:07:53.900 --> 00:07:55.300]   is skeptical
[00:07:55.300 --> 00:07:58.500]   The real proof
[00:07:58.500 --> 00:07:59.600]   comes
[00:07:59.600 --> 00:08:03.500]   in actual testing on public roads
[00:08:03.500 --> 00:08:06.400]   or in the most impressive
[00:08:06.400 --> 00:08:07.900]   the most amazing
[00:08:08.700 --> 00:08:10.500]   the reality of it is when
[00:08:10.500 --> 00:08:12.700]   it's available to consumer purchase
[00:08:12.700 --> 00:08:17.100]   I would like to use Rodney Brooks
[00:08:17.100 --> 00:08:18.400]   as a
[00:08:18.400 --> 00:08:21.000]   so it doesn't come from my mouth
[00:08:21.000 --> 00:08:22.300]   but I happen to agree
[00:08:22.300 --> 00:08:28.000]   His prediction is no earlier than 2032
[00:08:28.000 --> 00:08:31.900]   a driver's taxi service in a major US city
[00:08:31.900 --> 00:08:35.500]   will provide arbitrary pickup and drop-off locations
[00:08:35.500 --> 00:08:36.500]   fully autonomously
[00:08:38.300 --> 00:08:39.700]   That's 14 years away
[00:08:39.700 --> 00:08:45.200]   and by 2045
[00:08:45.200 --> 00:08:46.800]   it will do so in multiple cities
[00:08:46.800 --> 00:08:48.000]   across the United States
[00:08:48.000 --> 00:08:49.700]   So think about that
[00:08:49.700 --> 00:08:51.700]   that a lot of the engineers
[00:08:51.700 --> 00:08:52.700]   work in this space
[00:08:52.700 --> 00:08:53.700]   a lot of folks
[00:08:53.700 --> 00:08:55.300]   who are actually building these systems
[00:08:55.300 --> 00:08:56.500]   agree with this idea
[00:08:56.500 --> 00:08:59.500]   and that is the earliest
[00:08:59.500 --> 00:09:02.000]   I believe this will happen
[00:09:02.000 --> 00:09:03.100]   and Rodney believes
[00:09:03.100 --> 00:09:05.100]   but
[00:09:08.100 --> 00:09:10.100]   as all technophobes have been wrong
[00:09:10.100 --> 00:09:11.100]   who could be wrong
[00:09:11.100 --> 00:09:15.300]   This is a map on the x-axis
[00:09:15.300 --> 00:09:17.600]   a plot on the x-axis of time
[00:09:17.600 --> 00:09:19.600]   throughout the 20th century
[00:09:19.600 --> 00:09:21.800]   and the adoption rate on the y-axis
[00:09:21.800 --> 00:09:23.500]   from 0 to 100%
[00:09:23.500 --> 00:09:25.100]   of the various technologies
[00:09:25.100 --> 00:09:26.400]   from electricity to cars
[00:09:26.400 --> 00:09:28.700]   to radio to telephone and so on
[00:09:28.700 --> 00:09:31.000]   and as we get closer to today
[00:09:31.000 --> 00:09:33.100]   the technology adoption rate
[00:09:33.100 --> 00:09:35.800]   when it goes from 0 to 100%
[00:09:36.400 --> 00:09:38.200]   the number of years it takes
[00:09:38.200 --> 00:09:39.600]   to adopt that technology
[00:09:39.600 --> 00:09:42.100]   is getting shorter and shorter and shorter
[00:09:42.100 --> 00:09:44.300]   as a society we're better
[00:09:44.300 --> 00:09:46.700]   at throwing away the technology of old
[00:09:46.700 --> 00:09:48.400]   and accepting a technology of new
[00:09:48.400 --> 00:09:52.200]   So if a brilliant idea
[00:09:52.200 --> 00:09:53.900]   to solve some of the problems we're discussing
[00:09:53.900 --> 00:09:54.600]   comes along
[00:09:54.600 --> 00:09:55.800]   it could change everything
[00:09:55.800 --> 00:09:57.000]   overnight
[00:09:57.000 --> 00:10:02.000]   So let's talk about
[00:10:02.000 --> 00:10:03.400]   different approaches to autonomy
[00:10:05.300 --> 00:10:07.500]   We'll talk about sensors afterwards
[00:10:07.500 --> 00:10:09.500]   We'll talk about companies
[00:10:09.500 --> 00:10:10.900]   players in this space
[00:10:10.900 --> 00:10:13.500]   and then we'll talk about AI
[00:10:13.500 --> 00:10:17.700]   and the actual algorithms
[00:10:17.700 --> 00:10:19.600]   and how they can help
[00:10:19.600 --> 00:10:22.300]   solve some of the problems of autonomous vehicles
[00:10:22.300 --> 00:10:25.200]   Levels of autonomy
[00:10:25.200 --> 00:10:27.800]   Here's a useful
[00:10:27.800 --> 00:10:31.800]   taxonomization
[00:10:31.800 --> 00:10:35.100]   of levels of autonomy
[00:10:35.800 --> 00:10:37.600]   useful for initial discussion
[00:10:37.600 --> 00:10:39.600]   for legal discussion
[00:10:39.600 --> 00:10:41.300]   and for policymaking
[00:10:41.300 --> 00:10:44.700]   and for blog posts and media reports
[00:10:44.700 --> 00:10:46.800]   but it's not useful
[00:10:46.800 --> 00:10:49.100]   I would argue for design and engineering
[00:10:49.100 --> 00:10:50.700]   of the underlying intelligence
[00:10:50.700 --> 00:10:53.400]   and the system viewed
[00:10:53.400 --> 00:10:54.800]   from a holistic perspective
[00:10:54.800 --> 00:10:56.000]   the entire thing
[00:10:56.000 --> 00:10:57.700]   creating an experience
[00:10:57.700 --> 00:10:58.900]   that's safe and enjoyable
[00:10:58.900 --> 00:11:00.600]   So let's go over those levels
[00:11:00.600 --> 00:11:03.200]   The five, the six levels
[00:11:04.200 --> 00:11:09.000]   This is presented by SAE report J3016
[00:11:09.000 --> 00:11:10.700]   the most widely accepted
[00:11:10.700 --> 00:11:12.700]   taxonomization of autonomy
[00:11:12.700 --> 00:11:15.300]   No automation at level zero
[00:11:15.300 --> 00:11:17.100]   Level one and level two
[00:11:17.100 --> 00:11:18.700]   is increasing levels automation
[00:11:18.700 --> 00:11:19.900]   Level one is
[00:11:19.900 --> 00:11:21.200]   cruise control
[00:11:21.200 --> 00:11:23.300]   Level two is adaptive cruise control
[00:11:23.300 --> 00:11:24.200]   lane keeping
[00:11:24.200 --> 00:11:25.700]   Level three
[00:11:25.700 --> 00:11:28.200]   I don't know what level three is
[00:11:28.200 --> 00:11:29.900]   There's a lot of people that will explain
[00:11:29.900 --> 00:11:32.800]   that level three is conditional automation
[00:11:32.800 --> 00:11:34.200]   meaning it's constrained
[00:11:34.200 --> 00:11:35.900]   to certain geographic location
[00:11:35.900 --> 00:11:37.400]   I will explain that
[00:11:37.400 --> 00:11:38.900]   from an engineering perspective
[00:11:38.900 --> 00:11:41.300]   I'm personally a little bit
[00:11:41.300 --> 00:11:44.500]   confused of where that stands
[00:11:44.500 --> 00:11:46.800]   I'll try to redefine
[00:11:46.800 --> 00:11:48.400]   how we should view automation
[00:11:48.400 --> 00:11:50.500]   Level four and level five
[00:11:50.500 --> 00:11:53.300]   is high full level automation
[00:11:53.300 --> 00:11:55.600]   Level four is when the vehicle
[00:11:55.600 --> 00:11:57.800]   can drive itself fully
[00:11:57.800 --> 00:11:59.700]   for part of the time
[00:11:59.700 --> 00:12:00.800]   There's certain areas
[00:12:00.800 --> 00:12:02.200]   in which you can take care of
[00:12:02.200 --> 00:12:03.600]   everything no matter what
[00:12:03.600 --> 00:12:06.100]   no human interaction
[00:12:06.100 --> 00:12:07.400]   input
[00:12:07.400 --> 00:12:09.600]   safekeeping is required
[00:12:09.600 --> 00:12:11.800]   Level five automation
[00:12:11.800 --> 00:12:13.200]   is the car does everything
[00:12:13.200 --> 00:12:15.600]   Everything
[00:12:15.600 --> 00:12:19.800]   I would argue that those levels
[00:12:19.800 --> 00:12:21.600]   aren't useful
[00:12:21.600 --> 00:12:23.600]   for designing systems
[00:12:23.600 --> 00:12:25.300]   that actually work in the real world
[00:12:25.300 --> 00:12:27.400]   I would argue that there's two systems
[00:12:27.400 --> 00:12:29.800]   But first a starting point
[00:12:29.800 --> 00:12:31.000]   that every system
[00:12:31.900 --> 00:12:34.200]   to some degree involves a human
[00:12:34.200 --> 00:12:37.400]   It starts with manual control
[00:12:37.400 --> 00:12:38.200]   from a human
[00:12:38.200 --> 00:12:40.800]   Human getting in the car
[00:12:40.800 --> 00:12:43.800]   and a human electing to do something
[00:12:43.800 --> 00:12:46.100]   So that's the manual control
[00:12:46.100 --> 00:12:47.600]   What we're talking about
[00:12:47.600 --> 00:12:49.600]   when the human engages the system
[00:12:49.600 --> 00:12:52.800]   when the system is first available
[00:12:52.800 --> 00:12:55.600]   and the human chooses to turn it on
[00:12:55.600 --> 00:12:59.100]   That's when we have two AI systems
[00:12:59.100 --> 00:13:01.400]   Human-centered autonomy
[00:13:01.900 --> 00:13:04.000]   when the human is needed
[00:13:04.000 --> 00:13:05.000]   is involved
[00:13:05.000 --> 00:13:06.900]   and full autonomy
[00:13:06.900 --> 00:13:09.000]   when AI is fully responsible
[00:13:09.000 --> 00:13:09.800]   for everything
[00:13:09.800 --> 00:13:11.300]   from the legal perspective
[00:13:11.300 --> 00:13:12.200]   that means
[00:13:12.200 --> 00:13:14.600]   A2 full autonomy
[00:13:14.600 --> 00:13:15.900]   means the car
[00:13:15.900 --> 00:13:17.600]   the designer the AI system
[00:13:17.600 --> 00:13:18.700]   is liable
[00:13:18.700 --> 00:13:20.200]   is responsible
[00:13:20.200 --> 00:13:22.800]   and for the human-centered autonomy
[00:13:22.800 --> 00:13:24.300]   the human is responsible
[00:13:24.300 --> 00:13:28.700]   What does this practically mean?
[00:13:30.300 --> 00:13:31.800]   For human-centered autonomy
[00:13:31.800 --> 00:13:34.900]   and we'll discuss examples of all of these
[00:13:34.900 --> 00:13:38.400]   when a human interaction is necessary
[00:13:38.400 --> 00:13:41.800]   The question then becomes
[00:13:41.800 --> 00:13:43.400]   is how often
[00:13:43.400 --> 00:13:46.100]   is the system available?
[00:13:46.100 --> 00:13:48.100]   Is it available on
[00:13:48.100 --> 00:13:50.200]   in traffic conditions?
[00:13:50.200 --> 00:13:52.300]   So for traffic bumper to bumper
[00:13:52.300 --> 00:13:53.600]   is available on the highway
[00:13:53.600 --> 00:13:54.900]   Is it sensor based?
[00:13:54.900 --> 00:13:56.200]   Like in the Tesla vehicle
[00:13:56.200 --> 00:13:58.700]   meaning based on the visual characteristics
[00:13:58.700 --> 00:13:59.500]   of the scene
[00:13:59.800 --> 00:14:01.100]   the vehicle is confident enough
[00:14:01.100 --> 00:14:02.400]   to be able to control
[00:14:02.400 --> 00:14:04.100]   to make control decisions
[00:14:04.100 --> 00:14:06.100]   perception control decisions
[00:14:06.100 --> 00:14:08.700]   The other factor
[00:14:08.700 --> 00:14:12.200]   not discussed enough
[00:14:12.200 --> 00:14:14.300]   and I think poorly
[00:14:14.300 --> 00:14:16.900]   imprecisely discussed when it is
[00:14:16.900 --> 00:14:19.100]   is the number of seconds
[00:14:19.100 --> 00:14:21.700]   given to the driver
[00:14:21.700 --> 00:14:23.400]   not guaranteed
[00:14:23.400 --> 00:14:24.800]   but provided
[00:14:24.800 --> 00:14:26.200]   as a sort of feature
[00:14:26.200 --> 00:14:27.600]   to the driver to take over
[00:14:27.600 --> 00:14:29.300]   In the Tesla vehicle
[00:14:29.300 --> 00:14:31.100]   in all vehicles on the road today
[00:14:31.100 --> 00:14:32.800]   that time is zero
[00:14:32.800 --> 00:14:34.400]   zero seconds are guaranteed
[00:14:34.400 --> 00:14:36.000]   zero seconds are provided
[00:14:36.000 --> 00:14:37.100]   There is some
[00:14:37.100 --> 00:14:38.600]   there's some room
[00:14:38.600 --> 00:14:39.600]   sometimes it's
[00:14:39.600 --> 00:14:40.900]   hundreds of milliseconds
[00:14:40.900 --> 00:14:42.200]   sometimes it's multiple seconds
[00:14:42.200 --> 00:14:44.100]   but really there's no standard
[00:14:44.100 --> 00:14:45.400]   of how many seconds
[00:14:45.400 --> 00:14:47.300]   you get to say
[00:14:47.300 --> 00:14:49.600]   wake up, take control
[00:14:49.600 --> 00:14:52.000]   Then
[00:14:52.000 --> 00:14:54.600]   tele-operation
[00:14:54.600 --> 00:14:56.700]   something that some of the companies
[00:14:56.700 --> 00:14:58.200]   will mention or playing with
[00:14:58.500 --> 00:15:00.400]   is when a human being is involved
[00:15:00.400 --> 00:15:01.200]   remotely
[00:15:01.200 --> 00:15:02.800]   controlling the vehicle remotely
[00:15:02.800 --> 00:15:04.300]   so being able to take over
[00:15:04.300 --> 00:15:05.600]   control of the vehicle
[00:15:05.600 --> 00:15:06.800]   when you're
[00:15:06.800 --> 00:15:09.600]   when you're not able to control it
[00:15:09.600 --> 00:15:11.600]   So support by a human
[00:15:11.600 --> 00:15:13.000]   that's not inside the car
[00:15:13.000 --> 00:15:15.500]   That's a very interesting idea to explore
[00:15:15.500 --> 00:15:19.400]   But for the human-centered autonomy side
[00:15:19.400 --> 00:15:22.700]   all of those features are not required
[00:15:22.700 --> 00:15:23.900]   they're not guaranteed
[00:15:23.900 --> 00:15:25.100]   the human driver
[00:15:25.100 --> 00:15:25.900]   the human
[00:15:25.900 --> 00:15:27.500]   inside the car
[00:15:27.500 --> 00:15:28.800]   is always responsible
[00:15:28.800 --> 00:15:29.700]   at the end of the day
[00:15:29.700 --> 00:15:31.100]   they must pay attention
[00:15:31.100 --> 00:15:32.700]   to a degree that's required
[00:15:32.700 --> 00:15:34.600]   to take over when the system fails
[00:15:34.600 --> 00:15:36.100]   And no matter
[00:15:36.100 --> 00:15:37.700]   under this consideration
[00:15:37.700 --> 00:15:38.500]   under this
[00:15:38.500 --> 00:15:40.300]   level of autonomy
[00:15:40.300 --> 00:15:42.100]   the system will fail
[00:15:42.100 --> 00:15:43.500]   at some point
[00:15:43.500 --> 00:15:44.200]   That is the
[00:15:44.200 --> 00:15:45.200]   that is the point
[00:15:45.200 --> 00:15:46.200]   that is the collaboration
[00:15:46.200 --> 00:15:47.400]   between human and robot
[00:15:47.400 --> 00:15:48.900]   is the system will fail
[00:15:48.900 --> 00:15:50.400]   and the human has to catch
[00:15:50.400 --> 00:15:51.900]   it when it does
[00:15:51.900 --> 00:15:54.800]   And then full autonomy
[00:15:56.300 --> 00:15:58.200]   is AI is fully responsible
[00:15:58.200 --> 00:16:00.200]   Now that doesn't
[00:16:00.200 --> 00:16:02.800]   again as we'll present some companies
[00:16:02.800 --> 00:16:04.100]   in the marketing material
[00:16:04.100 --> 00:16:05.800]   and the PR side of things
[00:16:05.800 --> 00:16:07.100]   they might present that
[00:16:07.100 --> 00:16:09.300]   there is significant degrees of autonomy
[00:16:09.300 --> 00:16:10.900]   If you're talking about L3
[00:16:10.900 --> 00:16:12.000]   or L4
[00:16:12.000 --> 00:16:13.800]   or L5
[00:16:13.800 --> 00:16:16.200]   you have to read between the lines
[00:16:16.200 --> 00:16:19.100]   You're not allowed to have
[00:16:19.100 --> 00:16:20.500]   teleoperation
[00:16:20.500 --> 00:16:25.400]   If a human is remotely operating the vehicle
[00:16:25.700 --> 00:16:27.600]   a human is still in the loop
[00:16:27.600 --> 00:16:29.600]   a human is still evolved
[00:16:29.600 --> 00:16:32.100]   It's still a human-centered autonomy system
[00:16:32.100 --> 00:16:35.300]   You don't get the 10-second rule
[00:16:35.300 --> 00:16:36.600]   which is
[00:16:36.600 --> 00:16:40.800]   just because you give the driver
[00:16:40.800 --> 00:16:42.600]   10 seconds to take control
[00:16:42.600 --> 00:16:45.400]   that somehow removes liability for you
[00:16:45.400 --> 00:16:46.500]   If you say that
[00:16:46.500 --> 00:16:47.800]   that's it
[00:16:47.800 --> 00:16:48.900]   as an AI system
[00:16:48.900 --> 00:16:49.700]   I can't take
[00:16:49.700 --> 00:16:52.800]   can't resolve
[00:16:52.800 --> 00:16:53.500]   can't deal
[00:16:53.500 --> 00:16:55.500]   can't control the vehicle in this situation
[00:16:56.000 --> 00:16:57.500]   and you have 10 seconds to take over
[00:16:57.500 --> 00:16:58.600]   that's not good enough
[00:16:58.600 --> 00:17:00.000]   The driver might be sleeping
[00:17:00.000 --> 00:17:01.700]   that driver may have had a heart attack
[00:17:01.700 --> 00:17:03.400]   they're not able to control the vehicle
[00:17:03.400 --> 00:17:06.100]   Full autonomous systems
[00:17:06.100 --> 00:17:08.400]   must find safe harbor
[00:17:08.400 --> 00:17:10.000]   They must get you
[00:17:10.000 --> 00:17:11.700]   full stop
[00:17:11.700 --> 00:17:13.600]   from point A to point B
[00:17:13.600 --> 00:17:16.000]   that point B might be your desired destination
[00:17:16.000 --> 00:17:18.100]   or might be a safe parking lot
[00:17:18.100 --> 00:17:21.500]   but it has to bring you to a safe location
[00:17:21.500 --> 00:17:24.200]   This is a clear definition of the two systems
[00:17:25.200 --> 00:17:26.500]   and the human of course
[00:17:26.500 --> 00:17:28.500]   as far as our certain
[00:17:28.500 --> 00:17:30.000]   current conception
[00:17:30.000 --> 00:17:32.500]   of artificial intelligence and cars today
[00:17:32.500 --> 00:17:35.900]   is a human always overrides the AI system
[00:17:35.900 --> 00:17:37.400]   So we should
[00:17:37.400 --> 00:17:38.900]   for the
[00:17:38.900 --> 00:17:40.400]   in the general case
[00:17:40.400 --> 00:17:43.100]   the human
[00:17:43.100 --> 00:17:46.000]   gets to choose to take control
[00:17:46.000 --> 00:17:48.500]   The AI can't take control of the human
[00:17:48.500 --> 00:17:50.500]   except when danger is imminent
[00:17:50.500 --> 00:17:53.800]   meaning sudden crashes like in AAB events
[00:17:54.300 --> 00:17:57.200]   We're not yet ready for the AI systems to say
[00:17:57.200 --> 00:17:59.200]   as a society to say
[00:17:59.200 --> 00:18:00.800]   no no no you're drunk
[00:18:00.800 --> 00:18:02.300]   you can't drive
[00:18:02.300 --> 00:18:08.900]   So beyond the traditional levels
[00:18:08.900 --> 00:18:11.000]   from level 0 to level 5
[00:18:11.000 --> 00:18:13.100]   the starting point is level 0
[00:18:13.100 --> 00:18:14.000]   no automation
[00:18:14.000 --> 00:18:15.200]   all cars start here
[00:18:15.200 --> 00:18:17.800]   Level 1, level 2 and level 3
