
[00:00:00.000 --> 00:00:05.300]   Do you want to fly first class for less than the cost of economy or even just cut your economy
[00:02:03.280 --> 00:02:26.280]   $10,000 flight might cost a million points if you were just going to pay with points through Amex travel, for example. But you might be able to get that same flight by transferring maybe 100,000 points, one tenth of that number to the right airline program and then booking with miles. The opportunities are incredible what you can do.
[00:02:26.280 --> 00:02:51.280]   Yeah, I think we both have countless examples, some of which will probably come up in this conversation about that. But I think one of the things that often scares people with the idea of transferring points to airlines is that most of the partners, not all, but most of the partners you might transfer are not the airlines that they're used to. If you live in the US and you fly American a lot or United or Delta, there's only a couple programs that transfer
[00:02:51.280 --> 00:03:20.060]   transfer to United, one that transfers to Delta and none that transfer to Americans. So it can be a little intimidating. So what I wanted to do today is try to walk people through what some of the best programs are. Because if you look and say, wow, you could transfer from Amex to something like, I'm looking at my list, 19 different airlines. Where do I even start? How do I think about this? And I'll link to an episode we did in the past together, all about the best tools to search this inventory.
[00:03:20.280 --> 00:03:36.060]   But I thought it might also be helpful today to just run through what are some of those airlines that you're going to see a lot, maybe some that you won't that you can get the most value out of that have really good kind of sweet spots or program kind of rules and leave people with a better understanding for that whole landscape.
[00:03:36.060 --> 00:03:54.060]   Steve McLaughlin: I think that's a really great way of framing this. I was just having a conversation about a week or two ago with a guy who was asking me about the best way he can use the points he's accumulated and I started talking about Virgin Atlantic Air France, you know, all these different options. He's nodding, nodding. And finally, he said, I have to admit it.
[00:03:54.060 --> 00:04:12.060]   Steve McLaughlin: I'm nervous about the idea of using these foreign programs that I don't know anything about. And so I ended up kind of backing off and saying, look, I know you're a Delta guy. Next time you're flying a short flight like Detroit to Washington, DC, check whether Virgin Atlantic. Just get on Virgin Atlantic.com. Do a search for point award flights and see if there's a Delta flight that you can book with Virgin Atlantic points. It should come up.
[00:04:12.060 --> 00:04:39.060]   Steve McLaughlin: As only 7,500 points, which can be an incredible deal because sometimes, you know, those flights are $300, $400. I said, so just start with something really small and easy like that. Then once you've, you know, gotten used to that, then you can expand to all these like bigger opportunities that we see all the time.
[00:04:39.060 --> 00:04:57.060]   Steve McLaughlin: So I would encourage anyone listening to as we're talking about all the different opportunities instead of feeling overwhelmed by all these things, just latch on to one or two that you might be interested in taking advantage of near term and just focus on that.
[00:04:57.060 --> 00:05:04.060]   Steve McLaughlin: If it scares you, the idea of transferring to these random programs, just pick one and, you know, try it out on your next trip.
[00:05:04.060 --> 00:05:13.060]   Steve McLaughlin: And you'll find most likely that it's really not as scary once you've actually done it. It'll unlock all kinds of incredible value for you.
[00:05:13.060 --> 00:05:26.060]   Steve McLaughlin: Scary is probably the wrong word. The only thing that I frustrates me is to really take advantage of this. You end up with 20, 30 frequent flyer a mile accounts, and you've got all these logins to keep track of. And if you have partners, maybe you have different accounts.
[00:05:26.060 --> 00:05:36.060]   Steve McLaughlin: Fortunately, if you have a good password manager, like it's not that hard to keep track of all of these things. I think it used to be a, I remember my parents had a spreadsheet before we really had password managers.
[00:05:36.060 --> 00:05:45.060]   Steve McLaughlin: Now it's a little more straightforward. But also the thing to keep in mind is that for the most part, you're not going to be earning points when you use points to book your travel.
[00:05:45.060 --> 00:05:54.060]   Steve McLaughlin: So if you're worried, gosh, I'm going to fly through Air France's program and I'm going to earn a few Air France points and then I'm going to earn a few Avianca points.
[00:05:54.060 --> 00:06:00.060]   Steve McLaughlin: Well, for the most part, what you and I do is not accumulate points in all these programs.
[00:06:00.060 --> 00:06:12.060]   Steve McLaughlin: It's transfer our Amex, Capital One, Citi, Chase points to the programs, book the flights, and then at the end, end up with usually a zero balance in all these programs until the next time.
[00:06:12.060 --> 00:06:21.060]   Steve McLaughlin: Yeah. Yeah. Although you do have to be ready to be, you know, end up with like a 500 point balance because a lot of times awards show up as like 70,500 miles.
[00:06:21.060 --> 00:06:39.060]   Steve McLaughlin: And with many of these programs, you have to transfer a thousand points at a time. So the way I think about it is like, all right, if I have to transfer 71,000 points to Eddie Had to make up an option and I'm going to leave 500 points there, I just think of it as like that award cost me 71,000 miles.
[00:06:39.060 --> 00:06:45.060]   Steve McLaughlin: And I don't even worry about those 500 extra miles that are sitting there because they'll probably never get used.
[00:06:45.060 --> 00:06:48.060]   Steve McLaughlin: If I happen to have another Eddie had award to book in the future.
[00:06:48.060 --> 00:06:54.060]   Steve McLaughlin: Great. You know, they'll be there, but it's just not worth worrying about those little piddly amounts that are stuck in some programs after you do that.
[00:06:54.060 --> 00:07:13.060]   Steve McLaughlin: Totally agree. And the one thing that I'll set as another kind of ground rule for people to be thinking about before we run through these different airlines is we're not usually, and I won't say usually, but like frequently, you might transfer your points to an Etihad or a Virgin Atlantic, but not because you're flying Virgin Atlantic or Etihad.
[00:07:13.060 --> 00:07:37.060]   Steve McLaughlin: They have all these partners, and whether they're partners from the three alliances, One World, Sky Team and Star Alliance, or they're just one off relationships they have, you end up in a place where it might be more advantageous to transfer your points to, let's call it Avianca Life Miles, which is a South American carrier to book the United flight you want, which seems counterintuitive.
[00:07:37.060 --> 00:07:50.060]   Steve McLaughlin: It seems, oh, if I'm going to book United, I should transfer to United, but in many cases we'll probably reference today, there are better deals to be had on airlines booking through an airline that is in a partner, but not the actual airline flight.
[00:07:50.060 --> 00:08:02.060]   Steve McLaughlin: Totally. That happens so much. Recently, like a really interesting one came up where if you want to fly Emirates first class now, you can't do that with Emirates miles unless you have elite status with Emirates.
[00:08:02.060 --> 00:08:07.060]   Steve McLaughlin: But you can do it with Qantas miles without having Emirates elite status.
[00:08:07.060 --> 00:08:12.060]   Steve McLaughlin: So you can transfer your points to Qantas and then book Emirates first class.
[00:08:12.060 --> 00:08:21.060]   Steve McLaughlin: So it's just kind of funny that there are times where it's not only a better deal, but even it makes award flights available that wouldn't be available directly with the airline.
[00:08:21.060 --> 00:08:25.060]   Steve McLaughlin: Before we jump in, why is Emirates first class such a coveted experience?
[00:08:25.060 --> 00:08:30.060]   Steve McLaughlin: I took it many, many years ago, almost a decade ago, but now with an A380, things have changed.
[00:08:30.060 --> 00:08:34.060]   Steve McLaughlin: Just give people a little highlight of what can happen in some of these aspirational bookings.
[00:08:34.060 --> 00:08:35.060]   Steve McLaughlin: Sure.
[00:08:35.060 --> 00:08:45.060]   Steve McLaughlin: Well, when you fly Emirates first class, I mean, the service, the food, the drink and the experience, the in-cabin experience are just extraordinary.
[00:08:45.060 --> 00:08:47.060]   Steve McLaughlin: The service, I mean, is just fantastic.
[00:08:47.060 --> 00:08:56.060]   Steve McLaughlin: And that's true of almost any international first class that you're going to find, that you're going to have flight attendants like ready to do anything for you.
[00:08:56.060 --> 00:08:59.060]   Steve McLaughlin: My wife and I were celebrating our 30th anniversary.
[00:08:59.060 --> 00:09:03.060]   Steve McLaughlin: I told the purser and the entire crew signed a card.
[00:09:03.060 --> 00:09:08.060]   Steve McLaughlin: They put together a treat tray and gave us roses and stuff as a surprise.
[00:09:08.060 --> 00:09:09.060]   Steve McLaughlin: It was really cool.
[00:09:09.060 --> 00:09:11.060]   Steve McLaughlin: But that's kind of service you might see on Emirates.
[00:09:11.060 --> 00:09:16.060]   Steve McLaughlin: But then as far as like the food and drink, like they ask you if you'd like some champagne.
[00:09:16.060 --> 00:09:17.060]   Steve McLaughlin: Sure.
[00:09:17.060 --> 00:09:18.060]   Steve McLaughlin: Well, it's Dom Perignon.
[00:09:18.060 --> 00:09:20.060]   Steve McLaughlin: It's this incredibly expensive champagne.
[00:09:20.060 --> 00:09:26.060]   Steve McLaughlin: You get served caviar and just all these amazing foods and treats along the flight.
[00:09:26.060 --> 00:09:34.060]   Steve McLaughlin: If you are lucky enough to fly on the Airbus A380 aircraft, there's a shower on board with great big shower suite that you go into.
[00:09:34.060 --> 00:09:43.060]   Steve McLaughlin: Regardless of whether you want to shower, actually, it's a treat to go into an airplane bathroom that's spacious and clean and looks beautiful.
[00:09:43.060 --> 00:09:49.060]   Steve McLaughlin: For example, one of the things they do is they give you pajamas to change into if you're on a long enough flight on other airlines.
[00:09:49.060 --> 00:10:03.060]   Steve McLaughlin: When I've changed into pajamas in similar situations, I'm like standing in a little tiny closet of a bathroom trying to take off my jeans or whatever without having my clothes touch the nasty floor at all.
[00:10:03.060 --> 00:10:04.060]   Steve McLaughlin: And then switching to the other one.
[00:10:04.060 --> 00:10:05.060]   Steve McLaughlin: It's very awkward.
[00:10:05.060 --> 00:10:06.060]   Steve McLaughlin: Yeah.
[00:10:06.060 --> 00:10:13.060]   Steve McLaughlin: The one thing you left off, which I was probably the first time I experienced this, was every individual seat has a door.
[00:10:13.060 --> 00:10:14.060]   Steve McLaughlin: Right.
[00:10:14.060 --> 00:10:15.060]   Steve McLaughlin: So, you know, this is becoming a little more common.
[00:10:15.060 --> 00:10:16.060]   Steve McLaughlin: Yeah.
[00:10:16.060 --> 00:10:20.060]   Steve McLaughlin: You know, I think in JetBlue Mint, you have a little door as you walk by, but this is a much bigger thing.
[00:10:20.060 --> 00:10:21.060]   Steve McLaughlin: Like it is a tall door.
[00:10:21.060 --> 00:10:24.060]   Steve McLaughlin: You really feel like you're in your own private room.
[00:10:24.060 --> 00:10:25.060]   Steve McLaughlin: Yeah.
[00:10:25.060 --> 00:10:26.060]   Steve McLaughlin: And that was our experience.
[00:10:26.060 --> 00:10:30.060]   Steve McLaughlin: We went on our honeymoon and managed to do it as an upgrade.
[00:10:30.060 --> 00:10:34.060]   Steve McLaughlin: Like we had status match to Emirates for a flight and kind of all just happened to work.
[00:10:34.060 --> 00:10:36.060]   Steve McLaughlin: And it was a short flight.
[00:10:36.060 --> 00:10:39.060]   Steve McLaughlin: It was not on an A380, but it was still pretty cool.
[00:10:39.060 --> 00:10:42.060]   Steve McLaughlin: You also have things that are kind of ridiculous.
[00:10:42.060 --> 00:10:43.060]   Steve McLaughlin: Like it's all blinged out.
[00:10:43.060 --> 00:10:46.060]   Steve McLaughlin: So there's gold coloring everywhere.
[00:10:46.060 --> 00:10:53.060]   Steve McLaughlin: There's a button you press to make your own personal minibar, like raise up out of nowhere from the side.
[00:10:53.060 --> 00:11:02.060]   Steve McLaughlin: And then you could take your selection of drinks from that and just kind of random things like that that are all over the cabin, which is just kind of fun and ridiculous.
[00:11:02.060 --> 00:11:04.060]   Steve McLaughlin: But at the same time, it's it's so much fun.
[00:11:04.060 --> 00:11:07.060]   Steve McLaughlin: This episode is brought to you by Thrive Market.
[00:11:07.060 --> 00:11:16.060]   Steve McLaughlin: You know that feeling when you're standing in the grocery store staring at labels, trying to figure out what's actually healthy, but the ingredient list is so confusing.
[00:11:16.060 --> 00:11:24.060]   Steve McLaughlin: With two young kids, we are constantly trying to make sure the whole family eats clean, healthy food, but it can be a lot of work to make that happen.
[00:11:24.060 --> 00:11:26.060]   Steve McLaughlin: That's why I love Thrive Market.
[00:11:26.060 --> 00:11:31.060]   Steve McLaughlin: They're my go to online grocery store for getting healthy essentials delivered straight to our door.
[00:11:31.060 --> 00:11:35.060]   Steve McLaughlin: And unfortunately, there are over 10,000 food additives allowed in the US.
[00:11:35.060 --> 00:11:37.060]   Steve McLaughlin: It is hard to know what's actually safe.
[00:11:37.060 --> 00:11:42.060]   Steve McLaughlin: So I love that Thrive Market bans over a thousand harmful ingredients.
[00:11:42.060 --> 00:11:47.060]   Steve McLaughlin: Their team does all the hard work and make sure that every product meets high quality, clean standards.
[00:11:47.060 --> 00:11:50.060]   Steve McLaughlin: For example, one brand we love from Thrive is Simple Mills.
[00:11:50.060 --> 00:11:52.060]   Steve McLaughlin: We feel so good giving it to our kids.
[00:11:52.060 --> 00:11:55.060]   Steve McLaughlin: The sea salt almond flour crackers are fantastic.
[00:11:55.060 --> 00:11:58.060]   Steve McLaughlin: And lately, I can't stop snacking on their sweet thins.
[00:11:58.060 --> 00:12:03.060]   Steve McLaughlin: Plus, Thrive Market has tons of filters, so you can easily shop by your needs,
[00:12:03.060 --> 00:12:07.060]   Steve McLaughlin: whether it's gluten free snacks, whatever's on sale right now or high protein meals,
[00:12:07.060 --> 00:12:10.060]   Steve McLaughlin: which is great because I find that the more protein I eat,
[00:12:10.060 --> 00:12:13.060]   Steve McLaughlin: the less likely I am to binge on those sweet thins.
[00:12:13.060 --> 00:12:18.060]   Steve McLaughlin: If you're ready to make the switch, head to allthehacks.com/thrivemarket
[00:12:18.060 --> 00:12:23.060]   Steve McLaughlin: to get 30% off your first order plus a free $60 gift.
[00:12:23.060 --> 00:12:27.060]   Steve McLaughlin: Again, that's allthehacks.com/thrivemarket.
[00:12:27.060 --> 00:12:30.060]   Steve McLaughlin: This episode is brought to you by Viore.
[00:12:30.060 --> 00:12:35.060]   Steve McLaughlin: Now, there are only a few brands I use almost every single day, and Viore is one of them.
[00:12:35.060 --> 00:12:39.060]   Steve McLaughlin: They make performance apparel that's so incredibly versatile, yet so comfortable.
[00:12:39.060 --> 00:12:43.060]   Steve McLaughlin: Everything is designed to work out in, but it doesn't look or feel like it at all.
[00:12:43.060 --> 00:12:49.060]   Steve McLaughlin: My personal favorite is the Sunday Performance Joggers, but you have to check out their DreamNet collection.
[00:12:49.060 --> 00:12:52.060]   Steve McLaughlin: It's amazing, super soft, lightweight, and moisture-wicking.
[00:12:52.060 --> 00:12:57.060]   Steve McLaughlin: You can wear Viore for just about any activity, whether it's running, training, or yoga,
[00:12:57.060 --> 00:13:02.060]   Steve McLaughlin: but it's also great for lounging, running around town, and seriously, I wear their meta pants
[00:13:02.060 --> 00:13:05.060]   Steve McLaughlin: and Stratotec polos out to nice dinners all the time.
[00:13:05.060 --> 00:13:07.060]   Steve McLaughlin: But Viore isn't just for men.
[00:13:07.060 --> 00:13:11.060]   Steve McLaughlin: My wife is as obsessed with them as I am, and I know we both would agree
[00:13:11.060 --> 00:13:14.060]   Steve McLaughlin: that Viore is an investment in your happiness.
[00:13:14.060 --> 00:13:17.060]   Steve McLaughlin: And for our listeners, they're offering 20% off your first purchase,
[00:13:17.060 --> 00:13:22.060]   Steve McLaughlin: plus free shipping on U.S. orders over $75 and free returns.
[00:13:22.060 --> 00:13:26.060]   Steve McLaughlin: So get yourself some of the most comfortable and versatile clothing on the planet
[00:13:26.060 --> 00:13:29.060]   Steve McLaughlin: at allthehacks.com/viore.
[00:13:29.060 --> 00:13:31.060]   Steve McLaughlin: That's V-U-O-R-I.
[00:13:31.060 --> 00:13:34.060]   Steve McLaughlin: Again, that's allthehacks.com/viore.
[00:13:34.060 --> 00:13:36.060]   Steve McLaughlin: V-U-O-R-I.
[00:13:36.060 --> 00:13:39.060]   Steve McLaughlin: To discover the versatility of Viore clothing.
[00:13:39.060 --> 00:13:40.060]   Steve McLaughlin: Exclusions apply.
[00:13:40.060 --> 00:13:42.060]   Steve McLaughlin: Visit the website for full terms and conditions.
[00:13:42.060 --> 00:13:47.060]   Steve McLaughlin: So one thing to set aside also before we jump in is that we're talking mostly
[00:13:47.060 --> 00:13:49.060]   Steve McLaughlin: about transferable points.
[00:13:49.060 --> 00:13:53.060]   Steve McLaughlin: So if you're using a credit card that accrues, you know, miles like a Bank of
[00:13:53.060 --> 00:13:57.060]   Steve McLaughlin: America mile or travel point, you know, this is not what we're talking about.
[00:13:57.060 --> 00:14:00.060]   Steve McLaughlin: If you're earning Delta, you're earning United, American miles.
[00:14:00.060 --> 00:14:01.060]   Steve McLaughlin: This is not what we're talking about.
[00:14:01.060 --> 00:14:05.060]   Steve McLaughlin: But if you're earning miles with Citi, Amex, Chase, Capital One,
[00:14:05.060 --> 00:14:09.060]   Steve McLaughlin: now Wells Fargo, Bilt, they let you transfer those miles to airlines.
[00:14:09.060 --> 00:14:11.060]   Steve McLaughlin: And those are the ones we're going to focus on.
[00:14:11.060 --> 00:14:15.060]   Steve McLaughlin: And a few of the airline partners are just partners with almost everyone.
[00:14:15.060 --> 00:14:18.060]   Steve McLaughlin: And so I think we'll go in a couple tranches.
[00:14:18.060 --> 00:14:22.060]   Steve McLaughlin: It's like tranche one, what are some of the best airlines that no matter where your points are,
[00:14:22.060 --> 00:14:24.060]   Steve McLaughlin: you probably certainly have access to.
[00:14:24.060 --> 00:14:25.060]   Steve McLaughlin: Makes sense.
[00:14:25.060 --> 00:14:28.060]   Steve McLaughlin: And we can probably highlight a few of the ones that maybe you shouldn't think about
[00:14:28.060 --> 00:14:30.060]   Steve McLaughlin: that, you know, aren't that exciting.
[00:14:30.060 --> 00:14:33.060]   Steve McLaughlin: And then we'll move to some of the ones that you might need one or two programs
[00:14:33.060 --> 00:14:37.060]   Steve McLaughlin: before you have it because they're not partners with everyone, but they're pretty easy to find.
[00:14:37.060 --> 00:14:41.060]   Steve McLaughlin: And then we can run at the end through here are some of the kind of hidden gems
[00:14:41.060 --> 00:14:45.060]   Steve McLaughlin: that you might only have access to with one or two programs.
[00:14:45.060 --> 00:14:49.060]   Steve McLaughlin: But if you have points in that program, you really can unlock something outsized.
[00:14:49.060 --> 00:14:52.060]   Steve McLaughlin: And so we'll do that with airlines.
[00:14:52.060 --> 00:14:55.060]   Steve McLaughlin: And we'll probably at the end circle through hotels.
[00:14:55.060 --> 00:15:03.060]   Steve McLaughlin: There's just a smaller pool of them and they're not as many hotel groups that I would say like are as promiscuous as the airlines and have lots of partners.
[00:15:03.060 --> 00:15:09.060]   Steve McLaughlin: So when it comes to the airlines that are partners with almost everyone, what are some of your favorites?
[00:15:09.060 --> 00:15:12.060]   Steve McLaughlin: Virgin Atlantic is a really good one.
[00:15:12.060 --> 00:15:16.060]   Steve McLaughlin: Air France is terrific for SkyTeam flights.
[00:15:16.060 --> 00:15:23.060]   Steve McLaughlin: Air Canada is probably my single favorite of the ones that are transferable from most programs.
[00:15:23.060 --> 00:15:27.060]   Steve McLaughlin: So maybe we'll spend a couple of minutes on each each of these Air Canada.
[00:15:27.060 --> 00:15:28.060]   Steve McLaughlin: You said it's your favorite.
[00:15:28.060 --> 00:15:31.060]   Steve McLaughlin: You can't do it with city points, but pretty much everyone else.
[00:15:31.060 --> 00:15:33.060]   Steve McLaughlin: What makes Air Canada your favorite?
[00:15:33.060 --> 00:15:37.060]   Steve McLaughlin: So Air Canada has an unbelievable number of partners.
[00:15:37.060 --> 00:15:47.060]   Steve McLaughlin: First, they're a Star Alliance airline, which means you could use their miles to book any Star Alliance flight when it's available for award booking.
[00:15:47.060 --> 00:15:50.060]   Steve McLaughlin: And the Star Alliance is the biggest airline alliance.
[00:15:50.060 --> 00:15:54.060]   Steve McLaughlin: So right there with just the Star Alliance, it's really compelling.
[00:15:54.060 --> 00:16:01.060]   Steve McLaughlin: But then add on top of that, Air Canada has made individual partnerships with probably dozens of individual airlines.
[00:16:01.060 --> 00:16:13.060]   Steve McLaughlin: So when you add up what they have from the Star Alliance and all their separate partnerships, you have probably the single biggest group of flights that are bookable from one mileage program.
[00:16:13.060 --> 00:16:20.060]   Steve McLaughlin: So that's one thing. The other thing is it has some really great features for award booking.
[00:16:20.060 --> 00:16:25.060]   Steve McLaughlin: So, for example, you can book multiple different airlines on a single award flight.
[00:16:25.060 --> 00:16:30.060]   Steve McLaughlin: It will price the same as if it was, you know, just one airline all the way through.
[00:16:30.060 --> 00:16:32.060]   Steve McLaughlin: Not every program can do that.
[00:16:32.060 --> 00:16:37.060]   Steve McLaughlin: You can add a stopover for only 5000 extra miles.
[00:16:37.060 --> 00:16:52.060]   Steve McLaughlin: So, for example, if you're flying to, let's say, Australia or something, and maybe you're going via the Middle East or via Asia, you can stop in one of those places, add 5000 miles to your trip.
[00:16:52.060 --> 00:16:58.060]   Steve McLaughlin: Stop and enjoy that location before going on. And it has decent award pricing.
[00:16:58.060 --> 00:17:05.060]   Steve McLaughlin: So it's not the best award pricing, but it's decent and I'm good with that. I'm good with paying a little bit more.
[00:17:05.060 --> 00:17:07.060]   Steve McLaughlin: Let me just give you just a made up example.
[00:17:07.060 --> 00:17:17.060]   Steve McLaughlin: Like with Air Canada, maybe it would cost you 70,000 miles to fly to Europe from wherever you are in business class.
[00:17:17.060 --> 00:17:25.060]   Steve McLaughlin: With another program, there are other programs which can do it for less, let's say, 55,000 miles or 60,000 miles.
[00:17:25.060 --> 00:17:29.060]   Steve McLaughlin: Well, that's great. I would always rather use that other program that has fewer miles.
[00:17:29.060 --> 00:17:37.060]   Steve McLaughlin: But if the awards aren't available because they don't have as many partnerships as Air Canada, I'd rather take the one that is available than the one that's hypothetical.
[00:17:37.060 --> 00:17:51.060]   Steve McLaughlin: If you get my meaning there. Yeah. So Air Canada is like just a really good combination of miles that can be used more often, more successfully than others and a good enough award chart to make it a really good first stop.
[00:17:51.060 --> 00:18:01.060]   Steve McLaughlin: Yeah, I've used Air Canada a lot. I think the only thing that I'll add is sometimes if you're not certain about an award, you can pay extra miles to make it refundable.
[00:18:01.060 --> 00:18:14.060]   Steve McLaughlin: You know, one of the challenges with non US rewards program, so American, United, Delta, Alaska, pretty much for the most part, you can book an award and cancel it and get everything back with no penalty.
[00:18:14.060 --> 00:18:19.060]   Steve McLaughlin: Alaska, you don't get back that 1250 partner fee if it's not on an Alaska flight.
[00:18:19.060 --> 00:18:20.060]   Steve McLaughlin: Right.
[00:18:20.060 --> 00:18:24.060]   Steve McLaughlin: Air Canada, there is a fee, and it's reasonable, like it's not hundreds of dollars.
[00:18:24.060 --> 00:18:30.060]   Steve McLaughlin: But sometimes they say, hey, if you want to pay a few extra miles, maybe 5, 10, 15,000 miles, you can make it fully refundable.
[00:18:30.060 --> 00:18:38.060]   Steve McLaughlin: And I've found scenarios where the fully refundable Air Canada price is still cheaper than the United price.
[00:18:38.060 --> 00:18:39.060]   Steve McLaughlin: Yeah.
[00:18:39.060 --> 00:18:44.060]   Steve McLaughlin: So paying the extra to make it fully refundable still saves money over using a program that's already refundable.
[00:18:44.060 --> 00:18:49.060]   Steve McLaughlin: Right, right. Plus, you can't transfer to United from very many programs, right?
[00:18:49.060 --> 00:18:55.060]   Steve McLaughlin: You've got Chase and Bilt are the only ones where you get transfer points to United, Air Canada.
[00:18:55.060 --> 00:18:59.060]   Steve McLaughlin: So you're more likely to have access to Air Canada miles than United miles.
[00:18:59.060 --> 00:19:07.060]   Steve McLaughlin: Therefore, even if the prices are the same to book a refundable ticket, you might prefer to go to Air Canada because it's easier to get those miles.
[00:19:07.060 --> 00:19:11.060]   Steve McLaughlin: Yeah. One other thing, I know you published a ton of data on transfer bonuses on your website.
[00:19:11.060 --> 00:19:23.060]   Steve McLaughlin: I looked at all that data and I tried to calculate how often there are bonuses. So something to keep in mind is you can usually, and I say usually because there are some exceptions, but transfer one to one, right?
[00:19:23.060 --> 00:19:35.060]   Steve McLaughlin: Like one Amex point will equal one Air Canada Aeroplan point. But sometimes throughout the year, there are these bonuses and it'll be like, oh, well, right now for the rest of the month, it's 20% more. So one will go to 1.2.
[00:19:35.060 --> 00:19:46.060]   Steve McLaughlin: Air Canada, historically, over the last few years, has had one to four transfer bonuses per year. So not a ton, not something I'd say, oh, wow, it happens so often, you might want to wait for it.
[00:19:46.060 --> 00:19:51.060]   Steve McLaughlin: But anytime there's a transfer bonus, if you're in the middle of planning a trip, factor that in.
[00:19:51.060 --> 00:20:01.060]   Steve McLaughlin: Because if you get 30% more miles transferring to one program, right, we might say, you know, Air Canada is one of the better programs because they have good pricing versus another.
[00:20:01.060 --> 00:20:07.060]   Steve McLaughlin: If that other airline is going to give you 30% more miles, the fact that it's a little more expensive might completely be negated.
[00:20:07.060 --> 00:20:18.060]   Steve McLaughlin: So that's how I think about transfer bonuses. I'm not usually speculating and going, oh, it's 20% more. Let's just throw some extra miles in right now, unless I know I'm going to need them.
[00:20:18.060 --> 00:20:24.060]   Steve McLaughlin: But certainly, if I'm in the middle of booking a trip, and there is one, I'm trying to see if I can take advantage of it.
[00:20:24.060 --> 00:20:34.060]   Steve McLaughlin: Yeah, absolutely. The transfer bonuses can change the math on which is the best program to book from, because it does become a lot cheaper in terms of the number of transferable points you'll use.
[00:20:34.060 --> 00:20:44.060]   Steve McLaughlin: You mentioned Virgin Atlantic. And that's one where I'd love to hear more because I've just never used it. Like most of these airlines I've dabbled with, I've transferred some points, I booked a flight. I've never moved
[00:20:44.060 --> 00:20:48.060]   Steve McLaughlin: Any points to Virgin Atlantic. They're a partner of everyone. Where do you find a lot of value from them?
[00:20:48.060 --> 00:20:58.060]   Steve McLaughlin: First, let me clarify when Chris says they're a partner of everyone. He means all the transferable points currencies, not that they are partners with all the different airlines.
[00:20:58.060 --> 00:21:10.060]   Steve McLaughlin: They're part of Sky Team, which is a much smaller alliance than the Star Alliance, which is what we talked about with Air Canada. So there's far fewer options for who you can book with them.
[00:21:10.060 --> 00:21:21.060]   Steve McLaughlin: They do have some individual partnerships, like they partner with ANA, which is a Japanese airline, and you can get some great award prices booking ANA with Virgin Atlantic miles.
[00:21:21.060 --> 00:21:36.060]   Steve McLaughlin: That's tricky because that can't be done online. You have to figure out that the award space is available using some other program and then call Virgin Atlantic to book these. So that's not, if someone's just starting, I wouldn't be looking towards that.
[00:21:36.060 --> 00:21:49.060]   Steve McLaughlin: But there's a few sweet spots that are worth looking into. One is Flying Virgin Atlantic itself. They've moved recently to a semi-dynamic pricing model.
[00:21:49.060 --> 00:22:17.060]   Steve McLaughlin: You can't really predict how many points a particular award will cost for flying Virgin Atlantic itself, other than by doing the search and seeing what it costs for a particular flight. But what we've been seeing is flights as low as 29,000 miles from the Northeast US to London in business class, which is just extraordinary.
[00:22:17.060 --> 00:22:45.060]   Steve McLaughlin: And often with moderate fuel surcharges like in the $300 range. The reason I'm stressing that is that before they made this change to this dynamic pricing model, they had good prices to fly Virgin Atlantic, good prices in terms of number of points, but they tacked on close to $1,000 in fees each way. And so it became not as attractive as it would have been otherwise.
