
[00:00:00.000 --> 00:00:01.000]   Sound is good?
[00:06:39.000 --> 00:06:41.600]   by just seeing lots and lots of unlabeled data?
[00:06:41.600 --> 00:06:43.480]   Can we achieve that?
[00:06:43.480 --> 00:06:47.960]   And there's been a lot of work done in that space, but we're not there yet.
[00:06:47.960 --> 00:06:53.920]   So I wanted to lower your expectations as I show you some of the results.
[00:06:53.920 --> 00:06:56.400]   OK, sparse coding.
[00:06:56.400 --> 00:07:01.000]   This is one of the models that I think that everybody should know what it is.
[00:07:01.000 --> 00:07:08.320]   It was actually first has its roots in '96, and it was originally developed to explain
[00:07:08.320 --> 00:07:10.200]   early visual processing in the brain.
[00:07:10.200 --> 00:07:13.160]   I think of it as an edge detector.
[00:07:13.160 --> 00:07:14.800]   And the objective here is the following.
[00:07:14.800 --> 00:07:19.520]   Well, if I give you a set of data points, x1 up to xn, you'd want to learn a dictionary
[00:07:19.520 --> 00:07:25.760]   of bases, phi 1 up to phi k, so that every single data point can be written as a linear
[00:07:25.760 --> 00:07:27.500]   combination of the bases.
[00:07:27.500 --> 00:07:29.000]   That's fairly simple.
[00:07:29.000 --> 00:07:35.480]   There is one constraint in that you'd want your coefficients to be sparse.
[00:07:35.480 --> 00:07:38.780]   You'd want them to be mostly zero.
[00:07:38.780 --> 00:07:43.960]   So every data point is represented as a sparse linear combination of bases.
[00:07:43.960 --> 00:07:53.040]   So if you apply sparse coding to natural images, and this was originally has been a lot of
[00:07:53.040 --> 00:07:56.120]   work developed at Stanford with Andrew Ng's group.
[00:07:56.120 --> 00:08:02.400]   So if you apply sparse coding to take little patches of images and learn these bases, these
[00:08:02.400 --> 00:08:04.480]   dictionaries, this is how they look like.
[00:08:04.480 --> 00:08:09.720]   And they look really nice in terms of finding edge-like structure.
[00:08:09.720 --> 00:08:14.420]   So if given a new example, I can say, well, this new example can be written as a linear
[00:08:14.420 --> 00:08:18.040]   combination of a few of these bases.
[00:08:18.040 --> 00:08:23.640]   And taking that representation, it turns out that particular representation, a sparse representation,
[00:08:23.640 --> 00:08:27.760]   is quite useful as a feature representation of your data.
[00:08:27.760 --> 00:08:29.680]   So it's quite useful to have it.
[00:08:29.680 --> 00:08:36.760]   And in general, how do we fit these models?
[00:08:36.760 --> 00:08:41.440]   Well, if I give you a whole bunch of image patches, but these don't necessarily have
[00:08:41.440 --> 00:08:42.520]   to be image patches.
[00:08:42.520 --> 00:08:47.920]   This could be little speech signals or any kind of data you're working with.
[00:08:47.920 --> 00:08:49.320]   You'd want to learn a dictionary of bases.
[00:08:49.320 --> 00:08:53.200]   You have to solve this optimization problem.
[00:08:53.200 --> 00:08:57.480]   So the first term here, you can think of it as a reconstruction error, which is to say,
[00:08:57.480 --> 00:09:00.760]   well, I take a linear combination of my bases.
[00:09:00.760 --> 00:09:03.920]   I want them to match my data.
[00:09:03.920 --> 00:09:08.160]   And then there's a second term, which is, you can think of it as a sparse penalty term,
[00:09:08.160 --> 00:09:15.640]   which essentially says, try to penalize my coefficients so that most of them are zero.
[00:09:15.640 --> 00:09:19.400]   That way, every single data point can be written as just a linear combination, sparse linear
[00:09:19.400 --> 00:09:22.180]   combination of the bases.
[00:09:22.180 --> 00:09:26.720]   And it turns out there is an easy optimization for doing that.
[00:09:26.720 --> 00:09:34.200]   If you fix your dictionary of bases, 5, 1 up to 5k, and you solve for the activations,
[00:09:34.200 --> 00:09:36.840]   that becomes a standard lasso problem.
[00:09:36.840 --> 00:09:40.720]   There's a lot of solvers for solving that particular problem.
[00:09:40.720 --> 00:09:47.440]   That's a general, it's a lasso problem, which is fairly easy to optimize.
[00:09:47.440 --> 00:09:51.800]   And then if you fix the activations and you optimize for dictionary of bases, then it's
[00:09:51.800 --> 00:09:55.440]   a well-known quadratic programming problem.
[00:09:55.440 --> 00:10:00.560]   Each problem is convex, so you can alternate between finding coefficients, finding bases,
[00:10:00.560 --> 00:10:02.840]   and so forth, so you can optimize this function.
[00:10:02.840 --> 00:10:07.800]   And there's been a lot of recent work in the last 10 years of doing these things online
[00:10:07.800 --> 00:10:13.300]   and doing it more efficiently and so forth.
[00:10:13.300 --> 00:10:18.520]   At test time, given a new input or a new image patch, and given a set of learned bases, once
[00:10:18.520 --> 00:10:25.280]   you have your dictionary, you can then just solve a lasso problem to find the right coefficients.
[00:10:25.280 --> 00:10:30.480]   So in this case, given a test sample or a test patch, you can find, well, it's written
[00:10:30.480 --> 00:10:35.840]   as a linear combination of a subset of the bases.
[00:10:35.840 --> 00:10:39.680]   And it turns out, again, that that particular representation is very useful, particularly
[00:10:39.680 --> 00:10:43.180]   if you're interested in classifying what you see in images.
[00:10:43.180 --> 00:10:45.560]   And this is done in a completely unsupervised way.
[00:10:45.560 --> 00:10:46.560]   There is no class labels.
[00:10:46.560 --> 00:10:52.280]   There is no specific supervisory signal that's here.
[00:10:52.280 --> 00:11:00.240]   So back in 2006, there was work done, again, at Stanford that basically showed a very interesting
[00:11:00.240 --> 00:11:01.240]   result.
[00:11:01.240 --> 00:11:05.040]   So if I give you an input like this, and these are my learned bases, remember these little
[00:11:05.040 --> 00:11:09.480]   edges, what happens is that you just convolve these bases.
[00:11:09.480 --> 00:11:13.220]   You can get these different feature maps, much like the feature maps that we've seen
[00:11:13.220 --> 00:11:15.440]   in convolutional neural networks.
[00:11:15.440 --> 00:11:20.000]   And then you take these feature maps, and you can just do a classification.
[00:11:20.000 --> 00:11:25.160]   This was done on one of the older data sets, the Caltech 101, which is a data set that
[00:11:25.160 --> 00:11:27.880]   predates ImageNet.
[00:11:27.880 --> 00:11:35.240]   And if you look at some of the competing algorithms, if you do a simple logistic regression versus
[00:11:35.240 --> 00:11:41.400]   if you do PCA and then do logistic regression versus finding these features using sparse
[00:11:41.400 --> 00:11:44.960]   coding, you can get substantial improvements.
[00:11:44.960 --> 00:11:51.280]   So that's, again, that's-- and you see sparse coding popping up in a lot of different areas,
[00:11:51.280 --> 00:11:57.240]   not just in deep learning, but folks who are using-- looking at the medical imaging domain,
[00:11:57.240 --> 00:12:00.000]   in neuroscience, these are very popular models.
[00:12:00.000 --> 00:12:05.400]   Because they're easy, they're easy to fit, they're easy to deal with.
[00:12:05.400 --> 00:12:09.280]   So what's the interpretation of the sparse coding?
[00:12:09.280 --> 00:12:11.440]   Well, let's look at this equation again.
[00:12:11.440 --> 00:12:17.880]   And we can think of sparse coding as finding an overcomplete representation of your data.
[00:12:17.880 --> 00:12:23.160]   Now the encoding function, we can think of this encoding function, which is, well, I
[00:12:23.160 --> 00:12:28.900]   give you an input, find me the features or sparse coefficients or bases that make up
[00:12:28.900 --> 00:12:29.900]   my image.
[00:12:29.900 --> 00:12:33.720]   We can think of encoding as an implicit and a very nonlinear function of x.
[00:12:33.720 --> 00:12:35.120]   But it's an implicit function.
[00:12:35.120 --> 00:12:36.920]   We don't really specify it.
[00:12:36.920 --> 00:12:42.400]   And the decoder, or the reconstruction, is just a simple linear function.
[00:12:42.400 --> 00:12:44.000]   And it's very explicit.
[00:12:44.000 --> 00:12:52.240]   You just take your coefficients and then multiply it by-- find the right basis and get back
[00:12:52.240 --> 00:12:56.420]   the image or the data.
[00:12:56.420 --> 00:13:01.200]   And that sort of flows naturally into the ideas of autoencoders.
[00:13:01.200 --> 00:13:05.720]   The autoencoder is a general framework where if I give you an input data, let's say it's
[00:13:05.720 --> 00:13:11.560]   an input image, you encode it, you get some representation, some feature representation,
[00:13:11.560 --> 00:13:14.360]   and then you have a decoder given that representation.
[00:13:14.360 --> 00:13:16.880]   You're decoding it back into the image.
[00:13:16.880 --> 00:13:23.800]   So you can think of encoder as a feedforward, bottom-up pass, much like in a convolutional
[00:13:23.800 --> 00:13:27.200]   neural network, given the image, you're doing a forward pass.
[00:13:27.200 --> 00:13:31.920]   And then there is also feedback and generative or top-down pass.
[00:13:31.920 --> 00:13:35.880]   And the features, you're reconstructing back the input image.
[00:13:35.880 --> 00:13:40.480]   And the details of what's going inside the encoder, decoder, they matter a lot.
[00:13:40.480 --> 00:13:42.320]   And obviously, you need some form of constraints.
[00:13:42.320 --> 00:13:45.840]   You need some of constraints to avoid learning an identity.
[00:13:45.840 --> 00:13:50.600]   Because if you don't put these constraints, what you could do is just take your input,
[00:13:50.600 --> 00:13:53.440]   copy it to your features, and then reconstruct back.
[00:13:53.440 --> 00:13:55.560]   And that would be a trivial solution.
[00:13:55.560 --> 00:13:59.740]   So we need to introduce some additional constraints.
[00:13:59.740 --> 00:14:05.440]   If you're dealing with binary features, if you want to extract binary features, for example,
[00:14:05.440 --> 00:14:07.920]   I'm going to show you later why you'd want to do that.
[00:14:07.920 --> 00:14:13.920]   You can pass your encoder through sigmoid nonlinearity, much like in the neural network.
[00:14:13.920 --> 00:14:17.640]   And then you have a linear decoder that reconstructs back the input.
[00:14:17.640 --> 00:14:24.720]   And the way we optimize these little building blocks or these little blocks is we can just
[00:14:24.720 --> 00:14:30.520]   have an encoder, which takes your input, takes a linear combination, passes it through some
[00:14:30.520 --> 00:14:32.300]   nonlinearity, the sigmoid nonlinearity.
[00:14:32.300 --> 00:14:34.180]   It could be rectified linear units.
[00:14:34.180 --> 00:14:36.220]   It could be 10H nonlinearity.
[00:14:36.220 --> 00:14:41.020]   And then there is a decoder where you reconstruct back your original input.
[00:14:41.020 --> 00:14:44.240]   So this is nothing more than a neural network with one hidden layer.
[00:14:44.240 --> 00:14:47.960]   And typically, that hidden layer would have a small dimensionality than the input.
[00:14:47.960 --> 00:14:50.540]   So we can think of it as a bottleneck layer.
[00:14:50.540 --> 00:14:54.500]   We can determine the network parameters, the parameters of the encoder and the parameters
[00:14:54.500 --> 00:14:58.480]   of the decoder by writing down the reconstruction error.
[00:14:58.480 --> 00:15:00.860]   And that's what the reconstruction error would look like.
[00:15:00.860 --> 00:15:04.900]   Given the input, encode, decode, and make sure whatever you're decoding is as close
[00:15:04.900 --> 00:15:08.060]   as possible to the original input.
[00:15:08.060 --> 00:15:09.060]   All right.
[00:15:09.060 --> 00:15:14.140]   Then we can use backpropagation algorithm to train.
[00:15:14.140 --> 00:15:18.940]   There is an interesting sort of relationship between autoencoders and principal component
[00:15:18.940 --> 00:15:20.140]   analysis.
[00:15:20.140 --> 00:15:22.400]   Many of you have probably heard about PCA.
[00:15:22.400 --> 00:15:26.180]   As a practitioner, if you're dealing with large data and you want to see what's going
[00:15:26.180 --> 00:15:32.460]   on, PCA is the first thing to use, much like logistic regression.
[00:15:32.460 --> 00:15:36.780]   And the idea here is that if the parameters of encoder and decoder are shared and you
[00:15:36.780 --> 00:15:42.180]   actually have the hidden layer, which is a linear layer, so you don't introduce any nonlinearities,
[00:15:42.180 --> 00:15:46.940]   then it turns out that the latent space that the model will discover is going to be the
[00:15:46.940 --> 00:15:49.780]   same space as the space discovered by PCA.
[00:15:49.780 --> 00:15:52.940]   It effectively will collapse the principal component analysis, right?
[00:15:52.940 --> 00:16:00.100]   We're doing PCA, which is sort of a nice connection because it basically says that autoencoders,
[00:16:00.100 --> 00:16:02.700]   you can think of them as nonlinear extensions of PCA.
[00:16:02.700 --> 00:16:13.180]   So you can learn a little richer features if you are using autoencoders.
[00:16:13.180 --> 00:16:14.180]   So here's another model.
[00:16:14.180 --> 00:16:19.140]   If you're dealing with binary input, sometimes we're dealing with like MNIST, for example.
[00:16:19.140 --> 00:16:22.900]   Again, your encoder and decoder could use sigmoid nonlinearities.
[00:16:22.900 --> 00:16:25.020]   So given an input, you extract some binary features.
[00:16:25.020 --> 00:16:29.100]   Give binary features, you reconstruct back the binary input.
[00:16:29.100 --> 00:16:33.860]   And that actually relates to a model called the restricted Boltz machine, something that
[00:16:33.860 --> 00:16:37.860]   I'm going to tell you about later in the talk.
[00:16:37.860 --> 00:16:42.100]   There's also other classes of models where you can say, well, I can also introduce some
[00:16:42.100 --> 00:16:47.820]   sparsity, much like in sparse coding, to say that I need to constrain my latent features
[00:16:47.820 --> 00:16:50.420]   or my latent space to be sparse.
[00:16:50.420 --> 00:16:56.780]   And that actually allows you to learn quite reasonable features, nice features.
[00:16:56.780 --> 00:17:02.300]   Here's one particular model called predictive sparse decomposition, where you effectively,
[00:17:02.300 --> 00:17:06.580]   if you look at the first part of the equation here, the decoder part, that pretty much looks
[00:17:06.580 --> 00:17:09.140]   like a sparse coding model.
[00:17:09.140 --> 00:17:14.380]   But in addition, you have an encoding part that essentially says train an encoder such
[00:17:14.380 --> 00:17:19.980]   that it actually approximates what my latent code should be.
[00:17:19.980 --> 00:17:23.700]   So effectively, you can think of this model as there is an encoder, there is a decoder,
[00:17:23.700 --> 00:17:26.300]   but then you put the sparsity constraint on your latent representation.
[00:17:26.300 --> 00:17:32.400]   And you can optimize for that model.
[00:17:32.400 --> 00:17:37.340]   And obviously, the other thing that we've been doing in the last seven, eight, and ten
[00:17:37.340 --> 00:17:42.060]   years is, well, what you can do is you can actually stack these things together.
[00:17:42.060 --> 00:17:47.220]   So you can learn low-level features, try to learn high-level features, and so forth.
[00:17:47.220 --> 00:17:50.900]   So you're just building these blocks.
[00:17:50.900 --> 00:17:54.620]   And perhaps at the top level, if you're trying to solve a classification problem, you can
[00:17:54.620 --> 00:17:57.140]   do that.
[00:17:57.140 --> 00:18:00.900]   And this is sometimes known as a greedy layer-wise learning.
[00:18:00.900 --> 00:18:05.460]   And this is sometimes useful whenever you have lots and lots of unlabeled data.
[00:18:05.460 --> 00:18:10.340]   And when you have a little labeled data, a small sample of labeled data, typically these
[00:18:10.340 --> 00:18:15.620]   models help you find meaningful representations such that you don't need a lot of labeled
[00:18:15.620 --> 00:18:19.420]   data to solve a particular task that you're trying to solve.
[00:18:19.420 --> 00:18:23.900]   And this is, again, you can remove the decoding part, and then you end up with a standard
[00:18:23.900 --> 00:18:25.660]   or a convolutional architecture.
[00:18:25.660 --> 00:18:30.020]   Again, your encoder and decoder could be convolutional.
[00:18:30.020 --> 00:18:34.060]   And it depends on what problem you're tackling.
[00:18:34.060 --> 00:18:38.740]   And typically, you can stack these things together and optimize for a particular task
[00:18:38.740 --> 00:18:43.100]   that you're trying to solve.
[00:18:43.100 --> 00:18:46.940]   Here's an example of-- just wanted to show you some examples, some early examples.
[00:18:46.940 --> 00:18:53.900]   Back in 2006, this was a way of trying to build these nonlinear autoencoders.
[00:18:53.900 --> 00:18:58.180]   And you can sort of pre-train these models using restricted-bolt machines or autoencoders
[00:18:58.180 --> 00:18:59.700]   generally.
[00:18:59.700 --> 00:19:05.900]   And then you can stitch them together into this deep autoencoder and backpropagate through
[00:19:05.900 --> 00:19:08.460]   reconstruction loss.
[00:19:08.460 --> 00:19:12.740]   One thing I want to point out is that-- here's one particular example.
[00:19:12.740 --> 00:19:15.780]   The top row, I show you real faces.
[00:19:15.780 --> 00:19:22.420]   The second row, you're seeing faces reconstructed from a bottleneck of 30-dimensional real-value
[00:19:22.420 --> 00:19:23.420]   bottlenecks.
[00:19:23.420 --> 00:19:25.580]   You can think of it as just a compression mechanism.
[00:19:25.580 --> 00:19:30.000]   Given the data, high-dimensional data, you're compressing it down to 30-dimensional code.
[00:19:30.000 --> 00:19:34.260]   And then from that 30-dimensional code, you're reconstructing back the original data.
[00:19:34.260 --> 00:19:36.260]   So if you look at the first row, this is the data.
[00:19:36.260 --> 00:19:39.420]   The second row shows you reconstructed data.
[00:19:39.420 --> 00:19:43.060]   And the last row shows you PCA solution.
[00:19:43.060 --> 00:19:47.940]   One thing I want to point out is that the solution here, you have a much sharper representation,
[00:19:47.940 --> 00:19:50.780]   which means that it's capturing a little bit more structure in the data.
[00:19:50.780 --> 00:19:55.820]   It's also kind of interesting to see that sometimes these models tend to-- how should
[00:19:55.820 --> 00:19:56.820]   I say it?
[00:19:56.820 --> 00:19:58.780]   They tend to regularize your data.
[00:19:58.780 --> 00:20:02.580]   For example, if you see this person with glasses, removes the glasses.
[00:20:02.580 --> 00:20:05.820]   And that generally has to do with the fact that there is only one person with glasses.
[00:20:05.820 --> 00:20:07.820]   So the model just basically says, that's noise.
[00:20:07.820 --> 00:20:08.820]   Get rid of it.
[00:20:08.820 --> 00:20:11.020]   Or it sort of gets rid of mustaches.
[00:20:11.020 --> 00:20:13.340]   Like if you see this, there's no mustache.
[00:20:13.340 --> 00:20:16.300]   And then again, that has to do with the fact that there's enough capacity.
[00:20:16.300 --> 00:20:20.860]   So the model might think that that's just a noise.
[00:20:20.860 --> 00:20:27.900]   And if you're dealing with text type of data, this was done using a Reuters data set.
[00:20:27.900 --> 00:20:30.780]   You have about 800,000 stories.
[00:20:30.780 --> 00:20:33.020]   You take bag of words representation, something very simple.
[00:20:33.020 --> 00:20:34.980]   You can press it down to two-dimensional space.
[00:20:34.980 --> 00:20:37.940]   And then you see what that space looks like.
[00:20:37.940 --> 00:20:43.180]   And I always like to joke that the model basically discovers that European community economic
[00:20:43.180 --> 00:20:46.740]   policies are just next to disasters and accidents.
[00:20:46.740 --> 00:20:50.780]   This was back in-- I think the data was collected in '96.
[00:20:50.780 --> 00:20:55.980]   I think today it's probably going to become closer.
[00:20:55.980 --> 00:21:00.780]   But again, this is just a way-- typically, autoencoder is a way of compression or trying
[00:21:00.780 --> 00:21:02.460]   to do dimensionality reduction.
[00:21:02.460 --> 00:21:05.820]   But we'll see later that they don't have to be.
[00:21:05.820 --> 00:21:09.860]   There's another class of algorithm called semantic hashing, which is to say, well, what
[00:21:09.860 --> 00:21:14.540]   if you take your data and compress it down to binary representation?
[00:21:14.540 --> 00:21:16.180]   Wouldn't that be nice?
[00:21:16.180 --> 00:21:22.540]   Because if you have binary representation, you can search in the binary space very efficiently.
[00:21:22.540 --> 00:21:28.460]   In fact, if you can compress your data down to 20 dimension, 20-dimensional binary code,
[00:21:28.460 --> 00:21:30.460]   2 to the 20 is about 4 gigabytes.
[00:21:30.460 --> 00:21:33.980]   So you can just store everything in memory.
[00:21:33.980 --> 00:21:42.020]   And you can look at the-- just do memory lookups without actually doing any search at all.
[00:21:42.020 --> 00:21:46.260]   So this sort of representation sometimes have been used successfully in computer vision,
[00:21:46.260 --> 00:21:52.340]   where you take your images, and then you learn these binary representations, 30-dimensional
[00:21:52.340 --> 00:21:55.540]   codes, 200-dimensional codes.
[00:21:55.540 --> 00:22:00.380]   And it turns out it's very efficient to search through large volumes of data using binary
[00:22:00.380 --> 00:22:01.380]   representation.
[00:22:01.380 --> 00:22:07.420]   So you can-- it takes a fraction of a millisecond to retrieve images from a set of millions
[00:22:07.420 --> 00:22:09.700]   and millions of images.
[00:22:09.700 --> 00:22:13.240]   And again, this is also an active area of research right now, because people are trying
[00:22:13.240 --> 00:22:15.460]   to figure out, we have these large databases.
[00:22:15.460 --> 00:22:17.220]   How can you search through them efficiently?
[00:22:17.220 --> 00:22:22.520]   And learning a semantic hashing function that maps your data to the binary representation
[00:22:22.520 --> 00:22:25.540]   turns out to be quite useful.
[00:22:25.540 --> 00:22:31.500]   OK, now let's step back a little bit and say, let's now look at generative models.
[00:22:31.500 --> 00:22:34.420]   Let's look at probabilistic models and how different they are.
[00:22:34.420 --> 00:22:39.420]   And I'm going to show you some examples of where they're applicable.
[00:22:39.420 --> 00:22:46.260]   Here's one example of a simple model trying to learn a distribution of these handwritten
[00:22:46.260 --> 00:22:47.260]   characters.
[00:22:47.260 --> 00:22:49.460]   So we have Sanskrit.
[00:22:49.460 --> 00:22:50.460]   We have Arabic.
[00:22:50.460 --> 00:22:53.180]   We have Cyrillic.
[00:22:53.180 --> 00:22:58.700]   And now we can build a model that says, well, can you actually generate me what a Sanskrit
[00:22:58.700 --> 00:23:00.220]   should look like?
[00:23:00.220 --> 00:23:02.780]   The flickering you see at the top, these are neurons.
[00:23:02.780 --> 00:23:05.300]   You can think of them as neurons firing.
[00:23:05.300 --> 00:23:09.660]   And what you're seeing at the bottom is you're seeing what the model generates, what it believes
[00:23:09.660 --> 00:23:11.140]   Sanskrit should look like.
[00:23:11.140 --> 00:23:15.860]   So in some sense, when you think about generative models, you think about models that can generate
[00:23:15.860 --> 00:23:21.900]   or they can sample the distribution or they can sample the data.
[00:23:21.900 --> 00:23:23.180]   This is a fairly simple model.
[00:23:23.180 --> 00:23:28.380]   We have about 25,000 characters coming from 50 different alphabets around the world.
[00:23:28.380 --> 00:23:29.660]   You have about 2 million parameters.
[00:23:29.660 --> 00:23:31.860]   This is one of the older models.
[00:23:31.860 --> 00:23:35.100]   But this is what the model believes Sanskrit should look like.
