
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:01:47.640 --> 00:01:51.520]   and just overwhelming emotions to the point
[00:01:51.520 --> 00:01:56.040]   where it feels like you have to hurt yourself in some way.
[00:01:56.040 --> 00:02:01.040]   And so that came from just like when you're a young child,
[00:02:01.040 --> 00:02:05.980]   and you're developing your attachment to parents
[00:02:05.980 --> 00:02:09.480]   or emotional regulation skills,
[00:02:09.480 --> 00:02:12.160]   if people invalidate you, like say you're crying,
[00:02:12.160 --> 00:02:15.200]   and your parents yell at you to make you stop
[00:02:15.200 --> 00:02:19.760]   or they hit you, and I'm talking two, three years old,
[00:02:19.760 --> 00:02:22.740]   obviously, you should never hit your kids.
[00:02:22.740 --> 00:02:27.280]   It can cause that, and I just had no idea.
[00:02:27.280 --> 00:02:31.320]   I actually thought that everyone's parents hit them,
[00:02:31.320 --> 00:02:33.640]   and I really thought that.
[00:02:33.640 --> 00:02:37.760]   I thought maybe it just started young doing it,
[00:02:37.760 --> 00:02:39.320]   and I asked a couple of my friends,
[00:02:39.320 --> 00:02:41.680]   I was like, how old were you when your parents hit you
[00:02:41.680 --> 00:02:42.520]   for the first time?
[00:02:42.520 --> 00:02:45.020]   And they were like, what, my parents never hit me?
[00:02:45.020 --> 00:02:48.880]   So there's just a lot,
[00:02:48.880 --> 00:02:52.400]   and then I have a sister who has schizophrenia too.
[00:02:52.400 --> 00:02:57.400]   So I feel like I wasn't dealt the best hand of cards
[00:02:57.400 --> 00:03:01.060]   when it comes to family circumstances,
[00:03:01.060 --> 00:03:04.460]   which definitely contributed to the decisions
[00:03:04.460 --> 00:03:06.080]   that I made when I was older,
[00:03:06.080 --> 00:03:10.520]   because if your brain is just completely warped
[00:03:10.520 --> 00:03:13.040]   from going through so much,
[00:03:13.040 --> 00:03:16.000]   going through certain things can actually change
[00:03:16.000 --> 00:03:18.400]   your brain chemistry.
[00:03:18.400 --> 00:03:19.240]   - 100%, yeah.
[00:03:19.240 --> 00:03:20.160]   - And damage it.
[00:03:20.160 --> 00:03:26.160]   And so I don't think that I would've made the decisions
[00:03:26.160 --> 00:03:31.160]   that I made if I was in a better state of mind,
[00:03:31.160 --> 00:03:34.840]   because I only was in the industry
[00:03:34.840 --> 00:03:36.840]   for a short period of time,
[00:03:36.840 --> 00:03:40.360]   and that was because I finally was able to get away
[00:03:40.360 --> 00:03:42.960]   from where I was living, and be separated,
[00:03:42.960 --> 00:03:45.600]   and live my own life, and experience the world,
[00:03:45.600 --> 00:03:49.440]   and kind of heal, 'cause I wasn't in that constant.
[00:03:49.440 --> 00:03:53.320]   - Right, did you have your father around, or no?
[00:03:53.320 --> 00:03:55.920]   - No, so my parents got divorced
[00:03:55.920 --> 00:03:58.240]   when my mom was pregnant with me.
[00:03:58.240 --> 00:03:59.720]   - Gotcha. - Yeah.
[00:03:59.720 --> 00:04:01.640]   - So yeah, obviously growing up was tough.
[00:04:01.640 --> 00:04:04.460]   I had a woman on the podcast
[00:04:04.460 --> 00:04:06.860]   who also, she kind of ended up in the industry.
[00:04:06.860 --> 00:04:09.040]   She actually was trafficked,
[00:04:09.040 --> 00:04:11.440]   and she had a similar childhood.
[00:04:11.440 --> 00:04:13.160]   I don't think she had a father figure around,
[00:04:13.160 --> 00:04:15.480]   and her upbringing wasn't the best,
[00:04:15.480 --> 00:04:17.040]   and it led her to hanging around some people,
[00:04:17.040 --> 00:04:18.800]   and idolizing certain things,
[00:04:18.800 --> 00:04:23.320]   and she ended up in a really messed up situation.
[00:04:23.320 --> 00:04:27.320]   So you go through that childhood,
[00:04:27.320 --> 00:04:29.320]   and then I think your teenage years
[00:04:29.320 --> 00:04:32.760]   is when you kind of started getting into the industry.
[00:04:32.760 --> 00:04:35.000]   How did that kind of unfold?
[00:04:35.000 --> 00:04:38.440]   What was the steps that you took to even get into that?
[00:04:38.440 --> 00:04:45.440]   - Well, yeah, it was kind of a progressive ladder effect.
[00:04:45.440 --> 00:04:48.040]   I started out working at a restaurant
[00:04:48.040 --> 00:04:50.680]   similar to Hooters when I was 17.
[00:04:50.680 --> 00:04:54.840]   And it's not that I don't know my dad at all.
[00:04:54.840 --> 00:04:58.600]   I just don't spend a lot of time with him,
[00:04:58.600 --> 00:05:01.520]   but he signed the paper so that I could work there,
[00:05:01.520 --> 00:05:03.280]   because it's a restaurant where you have to wear
[00:05:03.280 --> 00:05:05.420]   a sexy outfit, and I wasn't even 18.
[00:05:05.420 --> 00:05:09.360]   So that was my first kind of job
[00:05:09.360 --> 00:05:13.040]   where men sexualize you and look at you in that way,
[00:05:13.040 --> 00:05:15.880]   and I never thought that I was pretty
[00:05:15.880 --> 00:05:17.080]   or anything growing up.
[00:05:17.080 --> 00:05:20.480]   So I was like, wow, they hired me here.
[00:05:20.480 --> 00:05:22.480]   I'm pretty enough to work here.
[00:05:22.480 --> 00:05:25.960]   And then guys coming up to me and giving me $20
[00:05:25.960 --> 00:05:28.880]   and being like, you're so hot, here's $20.
[00:05:28.880 --> 00:05:32.320]   It was just like, it was so weird to me,
[00:05:32.320 --> 00:05:36.040]   but also validating, 'cause I didn't have that self-esteem.
[00:05:36.040 --> 00:05:39.000]   So I kind of went further down the rabbit hole.
[00:05:39.000 --> 00:05:40.840]   When I turned 18, I left that job,
[00:05:40.840 --> 00:05:44.960]   and I went straight to becoming a dancer at a club.
[00:05:44.960 --> 00:05:48.880]   And then after that, it was porn.
[00:05:48.880 --> 00:05:49.720]   - Right.
[00:05:49.720 --> 00:05:52.440]   And I don't want to spend too much time
[00:05:52.440 --> 00:05:53.980]   kind of in that period of your life,
[00:05:53.980 --> 00:05:55.480]   which is a very brief period.
[00:05:55.480 --> 00:05:58.560]   I think total, you said you filmed around eight months?
[00:05:58.560 --> 00:06:01.160]   - Yeah, like two four-month stints.
[00:06:01.160 --> 00:06:02.240]   - Gotcha.
[00:06:02.240 --> 00:06:04.760]   What I really kind of want to get at is
[00:06:04.760 --> 00:06:08.640]   the fact that in terms of being a porn star,
[00:06:08.640 --> 00:06:11.680]   you had everything that any girl in that industry would want.
[00:06:11.680 --> 00:06:14.000]   You got the fame, you got the popularity,
[00:06:14.000 --> 00:06:16.400]   probably were making more money than most girls.
[00:06:16.400 --> 00:06:19.880]   And you kind of threw that all away,
[00:06:19.880 --> 00:06:24.160]   and now are kind of an advocate against a lot of this stuff.
[00:06:24.160 --> 00:06:25.880]   And you speak openly, and you're very passionate
[00:06:25.880 --> 00:06:30.680]   about kind of what goes on in the dark sides
[00:06:30.680 --> 00:06:32.640]   of the porn industry and how it's not,
[00:06:32.640 --> 00:06:34.560]   everything kind of isn't as it seems.
[00:06:35.520 --> 00:06:39.720]   So what kind of brought about your change in perspective?
[00:06:39.720 --> 00:06:46.680]   - Just, I actually had an experience last,
[00:06:46.680 --> 00:06:48.920]   so I started doing OnlyFans again.
[00:06:48.920 --> 00:06:52.600]   And I had an experience last night with another girl
[00:06:52.600 --> 00:06:57.400]   that reminded me of how I felt in those times.
[00:06:57.400 --> 00:07:01.440]   So it's like, I actually couldn't sleep last night
[00:07:01.440 --> 00:07:04.080]   'cause I was just so hurt by this happening.
[00:07:04.080 --> 00:07:06.920]   Me and one of my good girlfriends,
[00:07:06.920 --> 00:07:09.440]   we went live on OnlyFans last night,
[00:07:09.440 --> 00:07:14.320]   and I just recognized this facial expression that she had
[00:07:14.320 --> 00:07:16.840]   that she looked so uncomfortable.
[00:07:16.840 --> 00:07:18.920]   And this was our third time doing it.
[00:07:18.920 --> 00:07:21.520]   We're friends, we kiss off camera and stuff.
[00:07:21.520 --> 00:07:25.840]   So I wasn't expecting it, but I was like, "Are you okay?
[00:07:25.840 --> 00:07:26.760]   "Are you comfortable?"
[00:07:26.760 --> 00:07:29.120]   And she's like, "I just have anxiety."
[00:07:29.120 --> 00:07:32.480]   And then she went off to the side and started just bawling.
[00:07:32.480 --> 00:07:36.920]   And I turned the live off, and it's just such,
[00:07:36.920 --> 00:07:41.800]   like, I feel honestly destroyed
[00:07:41.800 --> 00:07:46.800]   that I even had any part in someone feeling
[00:07:46.800 --> 00:07:50.120]   not comfortable with what they were doing.
[00:07:50.120 --> 00:07:52.880]   And also, she was explaining to me
[00:07:52.880 --> 00:07:54.920]   that she needs to make money for certain things,
[00:07:54.920 --> 00:07:58.400]   so she feels like she doesn't say no
[00:07:58.400 --> 00:08:00.600]   to all the things that she would want to.
[00:08:00.600 --> 00:08:03.920]   And it's probably good that this experience happened with me
[00:08:03.920 --> 00:08:06.920]   because I have been through that so much myself
[00:08:06.920 --> 00:08:09.280]   that I was able to give her really good advice,
[00:08:09.280 --> 00:08:13.440]   even though it's something that literally killed me inside
[00:08:13.440 --> 00:08:14.320]   to be part of.
[00:08:14.320 --> 00:08:17.160]   But that's essentially what it was.
[00:08:17.160 --> 00:08:19.640]   It's a bunch of really young girls
[00:08:19.640 --> 00:08:21.080]   who get into the industry.
[00:08:21.080 --> 00:08:23.160]   The younger, the better for them.
[00:08:23.160 --> 00:08:26.720]   These girls, when I started, I looked like a little kid.
[00:08:26.720 --> 00:08:28.120]   I looked like a little kid.
[00:08:29.080 --> 00:08:30.920]   And that's what they like.
[00:08:30.920 --> 00:08:32.600]   That's what sells.
[00:08:32.600 --> 00:08:36.200]   And a lot of girls, even my friends,
[00:08:36.200 --> 00:08:40.720]   we don't feel comfortable saying no for some reason.
[00:08:40.720 --> 00:08:43.280]   'Cause we just, I don't know,
[00:08:43.280 --> 00:08:45.160]   it's just like a natural girl thing.
[00:08:45.160 --> 00:08:49.160]   I think we're taught as children to be obedient,
[00:08:49.160 --> 00:08:52.640]   especially to men.
[00:08:52.640 --> 00:08:55.040]   Or if you're raised in a religious family,
[00:08:55.040 --> 00:08:59.240]   it's always like, obey your father, stuff like that.
[00:08:59.240 --> 00:09:01.000]   And so it's a really big problem
[00:09:01.000 --> 00:09:04.960]   with girls feeling pressured by agents
[00:09:04.960 --> 00:09:08.960]   who don't necessarily have their best interest in mind.
[00:09:08.960 --> 00:09:13.680]   And I'm doing a lot of things that really hurt them.
[00:09:13.680 --> 00:09:16.320]   For me, there are certain scenes that I did
[00:09:16.320 --> 00:09:20.320]   that I felt like I didn't say anything to them
[00:09:20.320 --> 00:09:23.040]   because it's work and I wanted to be professional.
[00:09:23.040 --> 00:09:26.600]   But for example, when the camera would be behind me
[00:09:26.600 --> 00:09:28.480]   and you couldn't see my face,
[00:09:28.480 --> 00:09:31.640]   I would be gagging or crying
[00:09:31.640 --> 00:09:33.880]   because I felt like I was being raped
[00:09:33.880 --> 00:09:37.040]   because I did not want to be doing it.
[00:09:37.040 --> 00:09:38.640]   And I didn't wanna be feeling
[00:09:38.640 --> 00:09:42.800]   the things in my body that I was feeling
[00:09:42.800 --> 00:09:45.320]   'cause I was honestly disgusted
[00:09:45.320 --> 00:09:47.520]   by the person that I was having to shoot with
[00:09:47.520 --> 00:09:49.400]   'cause you don't get to choose.
[00:09:49.400 --> 00:09:52.040]   So it's just stuff like that that can be very damaging.
[00:09:52.040 --> 00:09:56.600]   And it's not the other people's fault.
[00:09:56.600 --> 00:09:59.720]   It's just a huge problem
[00:09:59.720 --> 00:10:03.720]   that there's not really anything to set up
[00:10:03.720 --> 00:10:06.800]   to protect girls that are young and vulnerable
[00:10:06.800 --> 00:10:08.560]   that don't know how to say no
[00:10:08.560 --> 00:10:12.240]   or don't have self-respect for themselves yet
[00:10:12.240 --> 00:10:14.200]   or care for themselves or love themselves
[00:10:14.200 --> 00:10:17.640]   because they've been through so much and taught not to.
[00:10:17.640 --> 00:10:19.360]   - And I feel like a lot of people,
[00:10:20.520 --> 00:10:22.200]   I don't know if you guys received the backlash,
[00:10:22.200 --> 00:10:24.240]   like, "Oh, you guys chose to do this," or whatever.
[00:10:24.240 --> 00:10:26.720]   But when you're in your teenage years
[00:10:26.720 --> 00:10:29.040]   and then you're around these older men,
[00:10:29.040 --> 00:10:30.120]   I'm sure they're all older.
[00:10:30.120 --> 00:10:31.440]   - Yeah, they're all in their 40s.
[00:10:31.440 --> 00:10:34.600]   They know exactly how to get you to do what you want,
[00:10:34.600 --> 00:10:36.520]   what they want, to make them money.
[00:10:36.520 --> 00:10:41.480]   - And then you guys don't even really make much, I'm sure.
[00:10:41.480 --> 00:10:43.600]   - No, it's pickles.
[00:10:43.600 --> 00:10:46.920]   I was the number one porn star
[00:10:46.920 --> 00:10:51.040]   and my rate was $1,200 for a sex scene.
[00:10:51.040 --> 00:10:52.760]   - Yeah. - $1,200.
[00:10:52.760 --> 00:10:54.800]   - That's unbelievable.
[00:10:54.800 --> 00:10:56.200]   - But obviously a lot of these girls
[00:10:56.200 --> 00:10:57.920]   are coming from small towns.
[00:10:57.920 --> 00:10:59.960]   Their families probably don't have money.
[00:10:59.960 --> 00:11:03.120]   I thought $100 at the time was so much money.
[00:11:03.120 --> 00:11:06.600]   So getting 1,200 was a big deal.
[00:11:06.600 --> 00:11:08.640]   But then I met this boy who worked in,
[00:11:08.640 --> 00:11:11.280]   not the guy that I ended up dating for a long time,
[00:11:11.280 --> 00:11:14.720]   but I met this other boy that worked in YouTube and Instagram
[00:11:14.720 --> 00:11:18.440]   and he shared with me that he was getting $15,000
[00:11:18.440 --> 00:11:21.120]   to pose with a Jeep on Instagram.
[00:11:21.120 --> 00:11:25.400]   And I was like, "I'm getting $1,200 for a sex scene?
[00:11:25.400 --> 00:11:27.840]   This is not okay."
[00:11:27.840 --> 00:11:30.560]   - Yeah, and I think that's one thing like this industry,
[00:11:30.560 --> 00:11:34.880]   like it continues to take off, you know, as time goes on,
[00:11:34.880 --> 00:11:37.440]   you know, more people are exposed to it at a younger age.
[00:11:37.440 --> 00:11:40.600]   It's like, like porn is a real life addiction
[00:11:40.600 --> 00:11:43.880]   for a lot of people, but a lot of these young men
[00:11:43.880 --> 00:11:46.360]   that are introduced to it, they don't really know
[00:11:46.360 --> 00:11:48.720]   kind of behind the scenes what you guys deal with.
[00:11:48.720 --> 00:11:51.880]   They look at these girls on camera and think like,
[00:11:51.880 --> 00:11:54.560]   oh, they're enjoying it, this is what they like,
[00:11:54.560 --> 00:11:56.840]   this is, you know, whatever.
[00:11:56.840 --> 00:12:00.080]   And I think that it's important for people like you,
[00:12:00.080 --> 00:12:03.040]   especially super successful people like you
[00:12:03.040 --> 00:12:06.680]   that decided to leave, like to kind of educate young men.
[00:12:06.680 --> 00:12:10.640]   And I guess young women now, I saw a lot of young women
[00:12:10.640 --> 00:12:15.200]   watch porn too, but just, it's not, that's not what it is.
[00:12:15.200 --> 00:12:18.800]   It's not, it's glamorous and it's not like these,
[00:12:18.800 --> 00:12:21.720]   it's not what it appears to be, kind of.
[00:12:21.720 --> 00:12:22.760]   - Yeah, definitely.
[00:12:22.760 --> 00:12:26.560]   It was like, you could probably could not tell at all
[00:12:26.560 --> 00:12:29.480]   that I felt the way that I did in the certain scenes
[00:12:29.480 --> 00:12:32.360]   because it's a job, it's acting.
[00:12:32.360 --> 00:12:34.880]   And like, I had like pre-planned things
[00:12:34.880 --> 00:12:36.520]   that I was going to say during the scenes,
[00:12:36.520 --> 00:12:39.120]   like facial expressions that I was gonna make,
[00:12:39.120 --> 00:12:43.760]   things that I was gonna do because it's fake, it's fake.
[00:12:43.760 --> 00:12:47.120]   And I also think like the point that you made
[00:12:47.120 --> 00:12:50.400]   that the guys don't understand
[00:12:50.400 --> 00:12:52.040]   what's going on behind the scenes.
[00:12:52.040 --> 00:12:53.320]   And then also that people are like,
[00:12:53.320 --> 00:12:54.720]   oh, you knew what you got into,
[00:12:54.720 --> 00:12:57.400]   and like you get backlash for talking out about it.
[00:12:57.400 --> 00:13:00.960]   I think it's because men like consuming porn
[00:13:00.960 --> 00:13:04.400]   and they don't wanna feel guilty for consuming it.
[00:13:04.400 --> 00:13:06.160]   And so they don't wanna hear that I felt
[00:13:06.160 --> 00:13:07.600]   the way that I felt.
[00:13:07.600 --> 00:13:11.360]   And they refuse to believe that I'm not like a giant whore
[00:13:11.360 --> 00:13:15.560]   that wants to get like fucked by like a bunch of big dicks.
[00:13:15.560 --> 00:13:17.720]   Like I'm the biggest prude in real life.
[00:13:17.720 --> 00:13:21.120]   - How did you, did you,
[00:13:21.120 --> 00:13:24.720]   because I know a lot of women that are in that industry,
[00:13:24.720 --> 00:13:26.120]   it's very hard to get out,
[00:13:26.120 --> 00:13:28.000]   or like you almost feel like you're stuck.
[00:13:28.000 --> 00:13:29.840]   And even the girls that do,
[00:13:29.840 --> 00:13:34.400]   sometimes the only way out to them may seem like suicide.
[00:13:34.400 --> 00:13:36.360]   Like I saw a stat on your podcast
[00:13:36.360 --> 00:13:39.000]   where it was like the average life expectancy
[00:13:39.000 --> 00:13:43.880]   of someone in the sex industry for a woman is about 37.
[00:13:43.880 --> 00:13:45.160]   And the average life expectancy
[00:13:45.160 --> 00:13:47.640]   outside of that industry is 78, I think.
[00:13:47.640 --> 00:13:50.160]   And I was just like, how is that possible?
[00:13:50.160 --> 00:13:52.960]   So a lot of, obviously a lot of these girls
[00:13:52.960 --> 00:13:54.600]   feel like there's no way out.
[00:13:54.600 --> 00:13:57.000]   How were you able to kind of get out
[00:13:57.000 --> 00:13:59.720]   and kind of just like, I guess,
[00:13:59.720 --> 00:14:02.560]   find your identity outside of the industry?
[00:14:02.560 --> 00:14:03.840]   - I mean, I had to,
[00:14:03.840 --> 00:14:06.760]   or it probably would have led to that point
[00:14:06.760 --> 00:14:08.440]   of like killing myself.
[00:14:08.440 --> 00:14:10.960]   'Cause I started like towards the end of it,
[00:14:10.960 --> 00:14:13.920]   I started having panic attacks, like before scenes,
[00:14:13.920 --> 00:14:15.200]   'cause I really didn't wanna do them.
[00:14:15.200 --> 00:14:18.080]   And I didn't know how to say, no, I don't wanna do this.
[00:14:18.080 --> 00:14:21.640]   So there really was no choice for me.
[00:14:21.640 --> 00:14:25.600]   It was either like probably going to kill myself
[00:14:25.600 --> 00:14:30.600]   or just do anything to like make something else work.
[00:14:30.600 --> 00:14:33.080]   And this is what I was telling my friend last night,
[00:14:33.080 --> 00:14:36.160]   'cause she was saying that she's not really happy
[00:14:36.160 --> 00:14:38.040]   with doing OnlyFans anymore.
[00:14:38.040 --> 00:14:40.000]   And I'm like, she has other passions
[00:14:40.000 --> 00:14:40.880]   that she's interested in.
[00:14:40.880 --> 00:14:42.760]   I really believe anyone,
[00:14:42.760 --> 00:14:45.600]   if they just work towards anything that they wanna do,
[00:14:45.600 --> 00:14:49.600]   just a little bit every single day, like you can get there.
[00:14:49.600 --> 00:14:51.240]   Just 'cause a lot of people aren't willing
[00:14:51.240 --> 00:14:54.360]   to like work every single day and put in the effort.
[00:14:54.360 --> 00:14:56.800]   But if you do, it really does pay off.
[00:14:56.800 --> 00:14:57.640]   When I quit porn,
[00:14:57.640 --> 00:15:00.880]   I only had like 200,000 followers on Instagram.
[00:15:00.880 --> 00:15:02.480]   And I met this boy and I was like, okay,
[00:15:02.480 --> 00:15:03.760]   I wanna do what he does.
[00:15:03.760 --> 00:15:05.880]   I wanna be an Instagram influencer.
[00:15:05.880 --> 00:15:08.720]   And I grew my account to over 10 million in one year,
[00:15:08.720 --> 00:15:10.280]   just by literally asking all my friends,
[00:15:10.280 --> 00:15:12.280]   hey, can you take a picture of me today?
[00:15:12.280 --> 00:15:14.080]   Hey, can you help me with this?
[00:15:14.080 --> 00:15:17.520]   And just always posting, like working on my Instagram.
[00:15:17.520 --> 00:15:19.440]   And then I started getting brand deals,
[00:15:19.440 --> 00:15:24.800]   which sustained me so that I didn't have to do any sex work.
[00:15:24.800 --> 00:15:28.240]   And then it just progressed over time
[00:15:28.240 --> 00:15:30.040]   with the stuff that I do.
[00:15:30.040 --> 00:15:32.120]   Like I ended up doing YouTube with my boyfriend,
[00:15:32.120 --> 00:15:35.560]   then a podcast, and now I'm doing fashion.
[00:15:35.560 --> 00:15:39.320]   So I really think like it doesn't really make sense
[00:15:39.320 --> 00:15:43.240]   where I came from in porn to where I am now.
[00:15:43.240 --> 00:15:47.160]   And I think it's really just believing that you can
[00:15:47.160 --> 00:15:50.600]   and putting in effort every single day to get there.
[00:15:50.600 --> 00:15:54.400]   - Yeah, I mean, I find that kind of inspiring
[00:15:54.400 --> 00:15:55.800]   because I know a lot of people,
[00:15:55.800 --> 00:15:58.760]   you hear the term selling yourself for fame or money,
[00:15:58.760 --> 00:16:02.240]   whatever, but like the fact that you were
[00:16:02.240 --> 00:16:05.000]   the number one porn star,
[00:16:05.000 --> 00:16:07.200]   and then you chose to kind of like let all that go.
[00:16:07.200 --> 00:16:10.680]   Like I know I've talked to some rappers who do the music,
[00:16:10.680 --> 00:16:13.000]   and they talk about how they don't really want
[00:16:13.000 --> 00:16:15.160]   to be making the type of music they do.
[00:16:15.160 --> 00:16:18.440]   They don't wanna talk about the violence or the whatever.
[00:16:18.440 --> 00:16:21.640]   They would rather be a positive message.
[00:16:21.640 --> 00:16:24.360]   But the reason that they talk about these things
[00:16:24.360 --> 00:16:25.400]   is because it sells.
[00:16:25.400 --> 00:16:28.880]   And they're making a lot of money,
[00:16:28.880 --> 00:16:31.280]   and they know if they change their message or whatever,
[00:16:31.280 --> 00:16:34.080]   they wouldn't be as successful.
[00:16:34.080 --> 00:16:36.040]   And it's similar in your story,
[00:16:36.040 --> 00:16:39.040]   because you were doing all that,
[00:16:39.040 --> 00:16:41.160]   but you decided to step down from that
[00:16:41.160 --> 00:16:44.440]   and try to find ways to make money
[00:16:44.440 --> 00:16:45.840]   or find your identity outside of porn.
[00:16:45.840 --> 00:16:49.760]   I feel like that obviously takes a big like leap of faith,
[00:16:49.760 --> 00:16:52.240]   and it's just very hard to do
[00:16:52.240 --> 00:16:55.600]   when you kind of have become something,
[00:16:55.600 --> 00:16:57.720]   but you wanna completely shift away from it.
[00:16:57.720 --> 00:16:59.560]   So I admire you for that.
[00:16:59.560 --> 00:17:00.400]   - Thank you.
[00:17:00.400 --> 00:17:03.360]   - And that's kind of why I wanted to talk to you about this.
[00:17:03.360 --> 00:17:08.080]   But yeah, I think one thing that my sister mentioned
[00:17:08.080 --> 00:17:11.200]   was as this porn industry kind of increases,
[00:17:11.200 --> 00:17:16.640]   you also see like an increase in just the human trafficking,
[00:17:16.640 --> 00:17:18.480]   the sex trafficking as well,
[00:17:18.480 --> 00:17:19.840]   which I find that to be like,
[00:17:19.840 --> 00:17:21.780]   I mean, it's probably pretty obvious
[00:17:21.780 --> 00:17:24.200]   why they grow together, but have you seen that?
[00:17:24.200 --> 00:17:25.120]   Can you speak on that?
[00:17:25.120 --> 00:17:27.400]   Or why do you think the rise in porn
[00:17:27.400 --> 00:17:31.160]   also equals the rise in the human trafficking?
[00:17:31.160 --> 00:17:33.720]   How do those kind of collide together?
[00:17:33.720 --> 00:17:39.120]   - I personally haven't like experienced human trafficking,
[00:17:39.120 --> 00:17:43.920]   or the closest like that I've ever been
[00:17:43.920 --> 00:17:46.320]   to meeting someone who has was,
[00:17:46.320 --> 00:17:49.560]   I went to Juvie when I was a teen,
[00:17:49.560 --> 00:17:52.780]   and really like, it's really sad.
[00:17:52.780 --> 00:17:54.820]   There are some of the most beautiful,
[00:17:54.820 --> 00:17:57.140]   amazing girls that I met in there,
[00:17:57.140 --> 00:17:59.500]   and they were like 12 years old,
[00:17:59.500 --> 00:18:02.660]   and like their parents had been like pimping them out
[00:18:02.660 --> 00:18:04.220]   since they were like 11.
[00:18:04.220 --> 00:18:07.600]   And like this one girl looked like a model.
[00:18:07.600 --> 00:18:08.900]   She was so beautiful.
[00:18:08.900 --> 00:18:10.360]   And like, this was happening to her
[00:18:10.360 --> 00:18:13.260]   because her parents did dope.
[00:18:13.260 --> 00:18:15.740]   And so they were pimping out their 11 year old daughter.
[00:18:15.740 --> 00:18:20.280]   And I remember at one point she like,
[00:18:20.280 --> 00:18:24.720]   like there was like something on her butt or something,
[00:18:24.720 --> 00:18:26.480]   and like, she wanted me to look at it.
[00:18:26.480 --> 00:18:30.920]   And like, she bent over and she didn't have like underwear on
[00:18:30.920 --> 00:18:34.640]   and like, because if girls like get raped very young
[00:18:34.640 --> 00:18:37.880]   or like have to have sex, it can like ruin their vagina.
[00:18:37.880 --> 00:18:41.120]   And it was just like, I felt so bad for her
[00:18:41.120 --> 00:18:43.960]   'cause she was only 12 and it looked like
[00:18:45.320 --> 00:18:49.360]   just, I don't know, it's hard.
[00:18:49.360 --> 00:18:52.360]   But that's the closest experience that I've had with that.
[00:18:52.360 --> 00:18:56.640]   And I'm not like too educated on what's going on with.
[00:18:56.640 --> 00:18:58.120]   - Gotcha. - Yeah.
[00:18:58.120 --> 00:18:59.760]   - Gotcha, now I was just curious about that.
[00:18:59.760 --> 00:19:02.600]   So what advice would you then give to,
[00:19:02.600 --> 00:19:05.040]   so I guess a lot of girls are then going into this industry
[00:19:05.040 --> 00:19:06.400]   obviously by free will.
[00:19:06.400 --> 00:19:11.320]   So what advice, you know, being where you are now
[00:19:11.320 --> 00:19:13.480]   and seeing what you've seen,
[00:19:13.480 --> 00:19:15.200]   what advice would you then give girls
[00:19:15.200 --> 00:19:18.640]   who are considering going into the industry?
[00:19:18.640 --> 00:19:19.680]   - There's a few things.
