
[00:00:00.000 --> 00:00:19.820]   Hi, everybody. You probably met me this morning when I greeted you all to the conference. My name
[00:10:36.260 --> 00:10:40.960]   This is where you take the same input and you act on it in completely different ways.
[00:10:41.120 --> 00:10:44.100]   The sort of canonical use case of this is guardrails.
[00:10:44.100 --> 00:10:57.980]   So the user has a query or a piece of input that they want processed, and you use one of your tracks to actually process the data or to answer the query, and you use the second one of your tracks to query, is this an illegal request?
[00:10:57.980 --> 00:10:59.500]   Is this against my rules?
[00:10:59.500 --> 00:11:10.500]   Those two questions are related, but they can be answered in parallel, and you can use your guardrails to cut off the answer from your processing if it turns out to be illegal.
[00:11:10.500 --> 00:11:12.580]   You know, illegal or otherwise undesirable.
[00:11:12.580 --> 00:11:17.100]   The other flavor of parallelization is voting.
[00:11:17.100 --> 00:11:24.320]   This is where you take exactly the same query, and you give it to three different tracks.
[00:11:24.320 --> 00:11:40.180]   The tracks can be literally exactly the same LLM because they are non-deterministic, so it might not give the same answer every time, or you could give it to multiple different LLMs, which have different capabilities and different specialties, and then you take the answers, and you allow them, and you see if the tracks came to the same answer.
[00:11:40.180 --> 00:11:50.960]   You can take a majority vote, you can take a unanimous vote, and what this does is it allows you to limit the amount of hallucination that is happening.
[00:11:50.960 --> 00:12:02.080]   It's a great way of reducing hallucination because if, you know, three different LLMs come to the same conclusion, then it's probably not the LLM just making stuff up, because LLMs hallucinate, but they hallucinate in different ways.
[00:12:02.140 --> 00:12:04.520]   So they seldom hallucinate to the same answer.
[00:12:04.520 --> 00:12:10.280]   Whichever flavor you use, it's implemented the same way, using concurrency.
[00:12:10.280 --> 00:12:23.480]   We, LL, LL, LLM index workflows allow you to emit multiple events simultaneously, and then collect those events at the other end, so you can do, you can do work concurrently.
[00:12:25.420 --> 00:12:30.620]   And, uh, yeah, and it, I think the visualization here is particularly pretty.
[00:12:30.620 --> 00:12:34.440]   Um, the next pattern is orchestrator workers.
[00:12:34.440 --> 00:12:43.180]   Uh, you can use an LLM to look at a complex task, like a multi-part question, uh, and split it into several simpler questions and ask each of those questions in parallel.
[00:12:43.340 --> 00:12:52.580]   So this is how deep research works basically, uh, it takes a very complicated question and it says, I'm going to, I'm going to look at all of the possible questions that could come from this deep question.
[00:12:52.580 --> 00:13:00.060]   I'm going to answer them all at the same time, and then I'm going to aggregate all of the answers that I've got and turn them into one single coherent answer.
[00:13:00.060 --> 00:13:04.880]   This is a very powerful pattern that is, uh, doing a lot of good in the world right now.
[00:13:06.080 --> 00:13:16.680]   Uh, this is also implemented using parallelization, um, and the final pattern that Anthropic called out is the evaluator optimizer, which is also called self-reflection.
[00:13:16.680 --> 00:13:21.960]   Uh, in this pattern, you use the LLM to decide whether or not the LLM has done a good job.
[00:13:21.960 --> 00:13:29.760]   So, uh, you take your output, you feed it to an LLM and you say, here was the original question, or here was the original input and the goal that I had.
[00:13:29.900 --> 00:13:46.040]   Have you actually reached the goal that I had, uh, and if not, you can get the LLM to generate feedback and send it back, uh, to the original first step and say, okay, you almost got the answer, but you hallucinated something or, uh, you missed a part of the question or, you know, something like that.
[00:13:46.040 --> 00:13:53.800]   Um, this is again, easy to do in LLM index and workflows, you just create a loop, uh, and you can send yourself back to this step one.
[00:13:53.800 --> 00:13:59.120]   Um, and the real power here is obviously combining all of these patterns.
[00:13:59.240 --> 00:14:10.160]   You can create arbitrarily complex workflows, uh, to handle any combination of circumstances, um, right near the beginning, uh, when I was defining an agent, I have 60 seconds left.
[00:14:10.160 --> 00:14:12.260]   So I'm just going to go through the syntax super quick.
[00:14:12.260 --> 00:14:18.260]   Uh, I said it was that agents are defined by their ability to use tools in LLM index.
[00:14:18.260 --> 00:14:19.760]   This is what a tool definition looks like.
[00:14:19.760 --> 00:14:23.200]   It is just a Python function that you have wrapped, uh, in a step wrapper.
[00:14:23.200 --> 00:14:28.580]   Um, and the way that you use your tool function is you just give it to an agent.
[00:14:28.580 --> 00:14:32.420]   And the agent will figure out that it is a tool function and start using it.
[00:14:32.420 --> 00:14:39.500]   Uh, this allows you to create workflows that are multi-agent systems.
[00:14:39.500 --> 00:14:47.360]   I do not have time to, uh, explain how multi-agent systems work for, uh, this, but this is how you create a multi-agent system in, in LLM index.
[00:14:47.360 --> 00:15:05.140]   Uh, you create, uh, a function agent which gets, takes a system prompt, it takes an LLM, uh, and it takes, uh, a set of tools and you can feed, uh, an array of agents into a multi-agent system which then just sort of figures it out by itself, passing control back from one agent to another.
[00:15:05.140 --> 00:15:08.540]   Uh, this is technically one line of code and we're pretty proud of it.
[00:15:08.540 --> 00:15:11.980]   Uh, and that is about it.
[00:15:11.980 --> 00:15:17.580]   Um, if you want a full agent workflow and workflows tutorial, this was the simplest possible one.
[00:15:17.580 --> 00:15:22.980]   The, it is available, uh, at that, this, this notebook will teach you how to build a deep research of your own.
[00:15:22.980 --> 00:15:25.980]   Uh, and with that, I am pretty much out of time.
[00:15:25.980 --> 00:15:28.920]   If I, if you have any questions, I will be outside in the hallway.
[00:15:28.920 --> 00:15:29.920]   Thank you very much.
[00:15:29.920 --> 00:15:30.920]   Thank you very much.
[00:15:30.920 --> 00:15:30.920]   Thank you very much.
[00:15:30.920 --> 00:15:31.920]   Thank you very much.
[00:15:31.920 --> 00:15:31.920]   Thank you very much.
[00:15:31.920 --> 00:15:36.920]   Thank you very much.

