
[00:00:00.400 --> 00:00:19.520]   Hi, I'm Reid Mayo, founder of Reema AI. Welcome to Shift Left, how to become an AI engineer
[00:04:17.940 --> 00:04:23.940]   iteratively increases quality of output in aggregate. Next, read the learn prompting org docs
[00:04:23.940 --> 00:04:30.020]   favored by open AI cover to cover. The redundant concepts in this second guide are useful to review to
[00:04:30.020 --> 00:04:35.140]   really lock in these critical concepts. And also this guide does cover additional concepts as well.
[00:04:35.140 --> 00:04:42.980]   All right, moving on. Section three, open AI. Open AI does two things incredibly well. One,
[00:04:42.980 --> 00:04:49.060]   they provide state of the art AI models and two, they make them incredibly accessible. By learning open AI,
[00:04:49.060 --> 00:04:54.100]   you can understand the art of what's possible today. You can also start building and experimenting with
[00:04:54.100 --> 00:04:59.460]   AI engineering quickly. However, there are some practical limitations to consider that we will
[00:04:59.460 --> 00:05:05.540]   address further on. So regarding course material, we're going to read the open AI docs and API reference cover
[00:05:05.540 --> 00:05:10.260]   to cover. Then I would encourage you to quickly review the practical hands-on examples in their cookbook.
[00:05:10.260 --> 00:05:14.740]   Don't spend too much time there. You can come back later and we want to keep marching.
[00:05:14.740 --> 00:05:21.940]   Okay, moving on. Section four, Langchain. Langchain is the applications framework that allows you to
[00:05:21.940 --> 00:05:27.220]   put AI tech together in an organized and well-architected way. So it is highly maintainable,
[00:05:27.220 --> 00:05:33.620]   modular, and scalable. So Langchain integrates all the different parts and pieces required for a modern AI
[00:05:33.620 --> 00:05:40.500]   system. Models, prompts, long and short-term memory for retrieval augmented generation and conversations,
[00:05:40.500 --> 00:05:44.980]   practically everything. Furthermore, for any components that aren't supported yet,
[00:05:44.980 --> 00:05:49.620]   Langchain is flexible enough to allow straightforward integration of these new components, including your
[00:05:49.620 --> 00:05:55.460]   proprietary needs. Lastly, and this is very important in the context of this syllabus, because
[00:05:55.460 --> 00:06:01.140]   Langchain is the glue layer for most everything else in the AI ecosystem, you will learn a lot about the
[00:06:01.140 --> 00:06:06.020]   comprehensive practice of AI engineering by building a comprehensive understanding of Langchain.
[00:06:06.020 --> 00:06:13.140]   Now, onto the course materials. So building AI apps is a new paradigm. There's a lot to absorb.
[00:06:13.140 --> 00:06:18.900]   So we're going to prime you with a non-technical comprehensive executive summary by command bar.
[00:06:18.900 --> 00:06:24.020]   First, then we'll follow up with a simple plain English technical guide that covers only some basic
[00:06:24.020 --> 00:06:29.940]   Langchain building blocks. So you can begin to quickly grok how a more complex AI system can be built up
[00:06:29.940 --> 00:06:35.140]   modularly with this framework. So as you might imagine, the meat and potatoes of this section will be the
[00:06:35.140 --> 00:06:41.540]   Langchain docs and code base. Langchain's documentation is highly thorough. So take full advantage of it.
[00:06:41.540 --> 00:06:48.260]   I encourage reading both the Python and the JavaScript Tyscript docs cover to cover as the review helps lock in
[00:06:48.260 --> 00:06:54.260]   your knowledge and there are important concepts in each version that aren't yet in the other. As you read
[00:06:54.260 --> 00:06:59.940]   through the docs, pop over to GitHub and stick your head under the code base hood to see how Langchain
[00:06:59.940 --> 00:07:04.980]   implements the features and functionality that the documentation covers. This will give you in-depth
[00:07:04.980 --> 00:07:11.620]   practical knowledge on how to build AI tech the right way. Lastly, for real world Langchain app tutorials,
[00:07:11.620 --> 00:07:18.100]   Mayo Ocean has great video walkthroughs. Specifically, I would encourage reviewing his Langchain beginners tutorial
[00:07:18.100 --> 00:07:24.500]   as it covers the fundamentals. His other videos take these fundamentals and apply them towards more complex tasks.
[00:07:24.500 --> 00:07:32.100]   Alright, moving on. Section five, evaluating AI models. Coming from a full-stack background, evals are
[00:07:32.100 --> 00:07:38.100]   basically your software tests. Before we start fine-tuning black box AI models, we need a scientific
[00:07:38.100 --> 00:07:43.540]   process that can evaluate our changes iteratively. Otherwise, how do we know we're making improvements and not
[00:07:43.540 --> 00:07:49.380]   regressions, right? So regarding the course materials, OpenAI has a great cookbook that walks you through
[00:07:49.380 --> 00:07:54.820]   writing some example evals. Note that the nature of AI output often means you're going to have to be a
[00:07:54.820 --> 00:08:00.580]   little bit creative when writing effective evals. Furthermore, OpenAI also provides a framework that
[00:08:00.580 --> 00:08:07.300]   includes a robust eval suite and allows for writing your custom evals as well. Review these materials quickly.
[00:08:09.220 --> 00:08:14.180]   Alright, moving on. Section six, fine-tuning. By this point, you've already gained some exposure
[00:08:14.180 --> 00:08:18.980]   into fine-tuning OpenAI's models. We're going to take that further by going step-by-step through their
[00:08:18.980 --> 00:08:24.820]   fine-tuning cookbook. So knowledge of how to fine-tune OpenAI models will take you a long way. However,
[00:08:24.820 --> 00:08:30.420]   there are practical limitations to relying on OpenAI alone. For example, it can be cost prohibitive and you
[00:08:30.420 --> 00:08:36.100]   can run into latency or rate limiting issues in production. This is in addition to standard privacy and control
[00:08:36.100 --> 00:08:42.660]   concerns. Because of this, an efficient pattern is to prototype and ship a solution quickly using OpenAI's
[00:08:42.660 --> 00:08:48.500]   models, start gathering usage and training data. Then, if the solution needs to start scaling, see if
[00:08:48.500 --> 00:08:54.820]   you can fine-tune a smaller and cheaper open-source model to match or out-compete OpenAI's model on your
[00:08:54.820 --> 00:09:01.540]   target use case. So regarding course materials, first completely go through the OpenAI fine-tuning hands-on
[00:09:01.540 --> 00:09:06.900]   cookbook. After that, we'll walk through AniScale's tutorial that demonstrates how to fine-tune an
[00:09:06.900 --> 00:09:14.100]   open-source model, Meta's Llama 2, such that it can match or even beat OpenAI's models and target tasks.
[00:09:14.100 --> 00:09:20.340]   Finally, we're going to skim OpenPipe's cost savings case study that shows how on our example task,
[00:09:20.340 --> 00:09:28.100]   and it's not cherry-picked. A smaller fine-tuned Llama 2 model, at a cost of $19, can match results
[00:09:28.100 --> 00:09:34.100]   from OpenAI's state-of-the-art model, which would cost around $24,000 for the same task.
[00:09:34.100 --> 00:09:41.060]   Final section, advanced study. So by this point, you've completed the bootcamp section of the syllabus.
[00:09:41.060 --> 00:09:45.380]   I'd encourage you to start deploying your AI engineering skills in the real world before moving on to these
[00:09:45.380 --> 00:09:50.260]   advanced studies. However, once you're ready to take your skills well beyond the basics,
[00:09:50.260 --> 00:09:56.260]   FastAI's Practical Deep Learning course and Hugging Face's NLP course, and their docs, will give you a
[00:09:56.260 --> 00:10:01.380]   rich understanding of deep learning theory. In addition to learning fine-tuning further, you will also be
[00:10:01.380 --> 00:10:07.380]   able to train models from scratch. All right, so we've reached the end. So the syllabus is linked to my left.
[00:10:07.380 --> 00:10:17.940]   Thanks for joining me today, and for any questions, please reach out to me on LinkedIn. Bye!

