
[00:00:00.040 --> 00:00:06.680]  � think start
[00:06:10.220 --> 00:06:12.720]   Islands ac via 31 120 blanket and. And, I, I, and, and, and, and, and, and, and, and, and, and, and, laid. And, H.w. And, carga vie connect. And,☆ Ô���. LTC. Q. vague. downtime.皮 can. Assembly.quet. 완ть. Hash, still.視:. touchik.änd. 그렇죠��. 관� wherever good. Mashunoicht. app.öglich.grade. test:oth.'ve the fun. afterwards結果 up in the servicemmm
[00:06:12.740 --> 00:06:42.740]   .
[00:06:42.740 --> 00:06:42.740]   .
[00:06:42.760 --> 00:07:12.760]   . .
[00:07:12.760 --> 00:07:12.760]   . . .
[00:07:12.760 --> 00:07:12.760]   . . . .
[00:07:13.720 --> 00:07:42.780]   . . . . .
[00:07:42.780 --> 00:07:42.780]   . . . . . .
[00:07:42.820 --> 00:07:47.460]   9
[00:07:47.460 --> 00:07:56.460]   data tax
[00:07:56.460 --> 00:08:11.700]   find but and play bed 12 Kend чего
[00:08:12.840 --> 00:08:18.780]   So there's the interface there's a yes of the interface. So an example there was some software called use mod wiki
[00:08:18.780 --> 00:08:22.900]   which we started with quite amusing actually because
[00:08:22.900 --> 00:08:27.700]   The main reason we launched with use mod wiki is that it was a single pearl script
[00:08:27.700 --> 00:08:31.020]   So it was really easy for me to install it on the server and just get running
[00:08:31.020 --> 00:08:33.440]   but it was
[00:08:33.440 --> 00:08:37.980]   You know some guys hobby project. It was cool, but it was just a hobby project and
[00:08:37.980 --> 00:08:40.840]   All the data was stored
[00:08:40.840 --> 00:08:42.860]   in flat
[00:08:42.860 --> 00:08:42.860]   The data was stored in flat text
[00:08:42.860 --> 00:08:42.860]   It was just a hobby project and all the data was stored in flat text
[00:08:42.860 --> 00:08:42.860]   It was just a hobby project and all the data was stored in flat text
[00:08:42.860 --> 00:08:42.860]   It was just a hobby project and all the data was stored in flat text
[00:08:42.860 --> 00:08:42.860]   It was just a hobby project and all the data was stored in flat text
[00:08:42.860 --> 00:08:42.860]   It was just a hobby project and all the data was stored in flat text
[00:08:42.860 --> 00:09:12.900]  , so there was no real database behind it so that to search the site you basically used grab which is just like basic units utility to like look through all the files so that clearly was never going to scale but also in the early days it didn't have real log in so you could set your username but there were no passwords so you know I might say Bob Smith and then someone else comes along and says I'm Bob Smith and they both had it now that never really happened we didn't have a problem with it but it was kind of obvious like you can't have a problem with it but it was kind of obvious like you can't have a problem with it
[00:09:12.920 --> 00:09:42.940]   grow a big website where everybody can pretend to be everybody that's that's not going to be good for trust and reputation and so forth so quickly I had to write a little you know log in you know store people's passwords and things like that so you can have unique identities and then another example of something you know quite he would have never thought would have been a good idea and it turned out to not be a problem but to make a link in Wikipedia in the early days you would make a link to a page that may or may not exist by just using camel case meaning it's like up and down and you know you can't make a link to a page that may or may not exist by just using camel case meaning it's like up
[00:09:42.980 --> 00:10:12.960]  ,
[00:10:12.960 --> 00:10:42.980]  ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:10:42.980]   ,
[00:10:42.980 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   ,
[00:11:13.000 --> 00:11:13.000]   , ,
[00:11:13.540 --> 00:11:43.020]   ,
[00:11:43.020 --> 00:11:43.020]   ,
[00:11:43.020 --> 00:11:43.020]   ,
[00:11:43.020 --> 00:11:43.020]   , ,
[00:11:43.060 --> 00:11:53.360]   get
[00:11:53.360 --> 00:11:55.400]   in a de
[00:13:06.880 --> 00:13:14.520]   e
[00:13:14.520 --> 00:13:36.680]   operation, that,
[00:13:36.900 --> 00:13:47.720]   the
[00:13:47.720 --> 00:14:03.740]  ..., intend to be in in Grand I I IPG C出去ong give at, a, and, and, and, and,,,,,,,,,,,,, like,icaruc� chore seGR投G Ning dispersed twoG Mostorie reach or gl grat well beautiful weigh in 10 rate REAL fait 3il for lit, auch in the one ab, .T, . . . . . . . . . . . . . . . ., . . . . . . . . . . . . . . . at . . was all Mad parater 100 vàilen Study just vinegar 12acz andüz in ent Dat in the Pok a only aoque at a et과� wasn re Glory unless ma affili West thing is a per con Week al cinnamon� bei grass early on co而ái con unhappy� help a сч bo at isn't programmeilled class the change un piece of taller but coat of only Gses law're associatedğ cannot feels a
[00:14:03.740 --> 00:14:04.300]  uffle a
[00:16:48.500 --> 00:16:48.540]   I'm going to find a common ground the platonic former big but could we have an article about that very big pen in your hand like humans pick cannot the very very very specific instance and the answer is no there's not much known about it I dare say that's a very specific instance and the answer is no there's not much known about it I dare say that's a
[00:17:16.700 --> 00:17:17.360]   I mean in German Wikipedia the talk about the rear not of the wheel of who we food bicycle we food the well-known Wikipedia of the time to sort of illustrate you can't have an article about literally everything so then it raises the question is is it possible to have a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a book in a talk in a talk to show that's a greatDownND.
[00:17:17.360 --> 00:17:18.580]  ,.
[00:17:18.620 --> 00:17:29.000]  這
[00:17:29.000 --> 00:17:30.240]   produces lo, shouldn
[00:17:30.240 --> 00:17:45.440]   conflicting, and,,,,, continue to be the 不要 owe minutosTA Eblowing Think nhiều grin variable is ground / wig/ bam . . . . . , ., ., .., ., as., or., call ., pleasure, inde address for at the, and, and right, is.iek and, or З. breathe and.аствat.Next67 Eastго distinguish ac Gud despite the ex lasted can't will bSDN. friends in por� section is こ Можетlli plays theав loveww KATC, elienne notice the Nilc is a cl PETF поп splendi palabraet me sucks �輕 brothersTwentlich chia en mattered scenE,onia оказot, Karộ Hank, E,
[00:17:45.440 --> 00:17:46.760]  に, play the long, turn,
[00:17:46.780 --> 00:17:49.800]   an encyclopedia article about my mother.
[00:17:49.800 --> 00:17:55.800]   My mother, schoolteacher, later a pharmacist, wonderful woman, but never been in the news.
[00:17:55.800 --> 00:18:00.800]   I mean, other than me talking about why there shouldn't be a Wikipedia entry that probably made it in somewhere, standard example.
[00:18:00.800 --> 00:18:02.800]   But, you know, there's not enough known.
[00:18:02.800 --> 00:18:12.800]   And you could sort of imagine a database of genealogy having date of birth, date of death, and, you know, certain elements like that of private people.
[00:18:12.800 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:14.940]   One of the areas, this comes up quite often.
[00:18:14.940 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:14.940]   But you couldn't really write a biography.
[00:18:14.940 --> 00:18:15.040]   But you couldn't really write a biography.
[00:18:15.040 --> 00:18:15.060]   But you couldn't really write a biography.
[00:18:15.060 --> 00:18:43.400]  .
[00:18:43.400 --> 00:18:43.980]   But you couldn't really write a biography.
[00:18:43.980 --> 00:18:43.980]   But you couldn't really write a biography.
[00:18:43.980 --> 00:18:44.000]   But you couldn't really write a biography.
[00:18:44.000 --> 00:18:44.040]   But you couldn't really write a biography.
[00:18:44.040 --> 00:18:44.060]   But you couldn't really write a biography.
[00:18:44.060 --> 00:18:44.080]   But you couldn't really write a biography.
[00:18:44.080 --> 00:18:44.100]   But you couldn't really write a biography.
[00:18:44.100 --> 00:18:44.100]   But you couldn't really write a biography.
[00:18:44.100 --> 00:18:44.140]   But you couldn't really write a biography.
[00:18:44.140 --> 00:18:44.160]   But you couldn't really write a biography.
[00:18:44.160 --> 00:18:44.180]   But you couldn't really write a biography.
[00:18:44.180 --> 00:18:45.080]   But you couldn't really write a biography.
[00:18:45.080 --> 00:18:45.100]  , but you couldn't really write a biography. But you couldn't really write a biography.
[00:18:45.140 --> 00:18:47.180]  le
[00:18:47.180 --> 00:19:13.240]   and the things
[00:19:14.040 --> 00:19:24.580]   Well
[00:19:24.580 --> 00:19:25.060]   in the rad de son 10
[00:19:42.320 --> 00:19:51.960]   pot
[00:19:51.960 --> 00:19:56.260]   - beflaw is,,,,, IN C Z was have the leave theYUważ tricks. I am not pot to eat the меся
[00:20:11.940 --> 00:20:21.520]  ר
[00:20:21.520 --> 00:20:23.000]   an a,,,
[00:20:23.000 --> 00:20:29.000]   Sty��
[00:20:29.000 --> 00:20:41.920]   it's the
[00:20:41.960 --> 00:20:45.240]  ....
[00:20:45.240 --> 00:20:52.660]   SE C�� our and.I, mould, con,,,,,,,
[00:21:10.940 --> 00:21:20.780]   in
[00:21:20.780 --> 00:21:38.660]  , elan, continue, của, liquid play. I have a mission, a Cinema, E, Men,
[00:21:39.240 --> 00:21:48.860]  obil,
[00:21:48.860 --> 00:21:49.980]  est.
[00:21:49.980 --> 00:22:07.380]  � gente--G, It's a thing. I am a ch, and I'm, and, errands period, man, suggests, foundational, intentional,cases, hear, hustle, hear, dough, 청, runs, test, конечно, split, shook, Kel, Foundation, dealt, económ, servi, vimos, limit, replace,� Short,lines I'm M�'s picked, storm, pitch, rappers, xen, undergo, reflex, 2021, Ring, village,退,hour.午, triggers, Ukrain,aped, 550,нал, tyre, Mitar, bien, servi, divide,�, skull, overlook, 500, is the voice, made,這,arde, con,gen, father, Kal, your D. saddle, Z I'm I'm I'm Snow, is the product, weigh the Türk, no, of the fois,ி, concerned, Natalie, count, replacement, Ach,ütün,
[00:24:29.000 --> 00:24:29.000]   It is that town is not called Bustom, which is funny because we're now in Austin and I also am in Boston. It seems like my whole life is surrounded by these kinds of towns. I was born in Tajikistan and the rest of the biography is interesting but my family is very evenly distributed between their origins and where they grew up between Ukraine and Russia which is as a whole beautiful complexity to this whole thing. So I want to just correct that.
[00:24:29.000 --> 00:24:30.700]   So I want to just correct that.
[00:24:59.040 --> 00:25:24.100]   actually
[00:25:24.100 --> 00:25:28.500]   Round Le I is the, the, the, the, whatever,줘, Gus, en HE. Consider Wu. Del. " concent on . 35 is the fr.το.........o............................................. educación... os. end it's for a show the 같 this a puppy was sick for a stuck a曲 a quote aμα la加 a join a e меся Except a er suppress a breakout a Het a died a aired the choose a tasted a Polize a Gold
[00:25:28.620 --> 00:25:46.260]   but it just feels like a to highlight a controversy of some sort mmm when
[00:25:46.260 --> 00:25:49.400]   that doesn't at all represent the entirety of the human yeah most cases
[00:25:49.400 --> 00:25:56.300]   yes it's sad yeah yeah so there's a few things to unpack and all that so first
[00:25:56.300 --> 00:25:58.200]   one of the things I find really always
[00:25:58.200 --> 00:25:58.200]   The most interesting part of being a part of the community is the fact that we're not just a group of people who are just being treated as if we're part of the community.
[00:25:58.200 --> 00:25:58.200]   The most interesting part of being a part of the community is that we're not just a group of people who are just being treated as if we're part of the community.
[00:25:58.200 --> 00:25:58.200]   The most interesting part of being a part of the community.
[00:25:58.200 --> 00:25:58.200]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:25:58.200 --> 00:25:58.200]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:25:58.200 --> 00:26:27.800]  ,
[00:26:27.800 --> 00:26:27.800]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:26:27.800 --> 00:26:27.840]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:26:27.840 --> 00:26:27.880]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:26:27.880 --> 00:26:27.880]   So I think it's really important to have a group of people who are just being treated as if we're part of the community.
[00:26:27.920 --> 00:26:38.140]  ,
[00:26:38.140 --> 00:26:43.440]  ıyorsun � survive de was w F C C I I De
[00:26:43.440 --> 00:26:56.740]  ,
[00:30:24.680 --> 00:30:24.680]   We've seen a real rise in clickbait headlines and sort of eager focus on anything that might be controversial. We've always had that with us, of course. There's always been tabloid newspapers. But that makes it a little bit more challenging to say, okay, how do we sort things out when we have a pretty good sense that not every source is valid?
[00:30:24.680 --> 00:30:25.080]   So
[00:30:25.080 --> 00:30:25.080]   a little bit more challenging to say, okay, how do we sort things out when we have a pretty good sense that not every source is valid? So
[00:30:25.080 --> 00:30:25.080]   a little bit more challenging to say, okay, how do we sort things out when we have a pretty good sense that not every source is valid? So
[00:30:25.080 --> 00:30:25.080]   a little bit more challenging to say, okay, how do we sort things out when we have a pretty good sense that not every source is valid? So
[00:30:25.080 --> 00:30:25.080]   a little bit more challenging to say, okay, how do we sort things out when we have a pretty good sense that not every source is valid? So
[00:31:26.020 --> 00:31:55.080]  obedience
[00:31:55.080 --> 00:31:55.080]   and so forth.
[00:31:55.080 --> 00:31:55.080]   and so forth. And you really have to step back and go, hmm, is this really encyclopedic or is this just the Daily Mail going on a rant?
[00:31:55.080 --> 00:31:55.080]   And some of that requires a great community health. It requires massive community health.
[00:31:55.080 --> 00:31:55.080]   Even for me, for stuff I've seen that's kind of actually iffy about people I know, things I know about myself, I still feel out of my comfort zone.
[00:31:55.080 --> 00:32:25.100]  , even for stuff I've seen that's kind of actually iffy about people I know about myself, I still feel out of my comfort zone.
[00:32:25.140 --> 00:32:55.120]  , even for stuff I've seen that's kind of actually iffy about people I know about myself, I still feel out of my comfort zone.
[00:32:55.160 --> 00:33:25.140]  , even for stuff I've seen that's kind of actually iffy about people I know about myself, I still feel out of my comfort zone.
[00:33:25.140 --> 00:33:25.140]   Yeah, a great example that I really loved this morning that I saw someone left a note on my user talk page in English Wikipedia saying it was quite a dramatic headline thing. Racist hook on front page. We have on the front page of Wikipedia we have a little section called "Did you know?" and it's just little tidbits and facts as things people find interesting. There's a whole process for how things get there.
[00:33:25.140 --> 00:33:25.140]   and there's a whole process for how things get there.
[00:33:25.140 --> 00:33:25.140]   and there's a process for how things get there's not conducive.
[00:33:25.160 --> 00:33:55.160]   The one that somebody was raising a question about was comparing a very well known U.S. football player, black, there was a quote from another famous sport person comparing him to a Lamborghini. Clearly a compliment.
[00:33:55.160 --> 00:33:55.160]   and so somebody said actually here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:33:55.160 --> 00:33:55.160]   and so somebody said actually here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:33:55.160 --> 00:33:55.160]   and so somebody said actually here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:33:55.160 --> 00:33:55.160]   and so somebody said actually here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:33:55.160 --> 00:33:55.160]   and so somebody said actually here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:33:55.200 --> 00:34:25.180]  ,
[00:34:25.180 --> 00:34:25.180]   and so somebody said actually here's a study here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:34:25.180 --> 00:34:25.180]   and so somebody said actually here's a study here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:34:25.180 --> 00:34:25.180]   and so somebody said actually here's a study here's a study here's a study here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:34:25.200 --> 00:34:55.200]   We think is great and so we should probably think about how to improve our language and not not compare sports people to inanimate objects and particularly be aware of certain racial sensitivities that there might be around that sort of thing if there is a disparity in the media of how people are called.
[00:34:55.240 --> 00:35:25.220]   and so somebody said actually here's a study here's a study here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:35:25.220 --> 00:35:25.220]   and so somebody said actually here's a study here's a study here's some interesting information about how black sports people are far more often compared to inanimate objects
[00:35:25.220 --> 00:35:25.220]   and so somebody said actually here's a study here's a study here's some interesting information about how black sports people are called.
[00:35:25.220 --> 00:35:25.220]   And so somebody said actually here's a study here's a study here's some interesting information about how black sports people are called.
[00:35:25.260 --> 00:35:55.240]  ,
[00:35:55.240 --> 00:35:55.240]   And so somebody said actually here's a study here's a study here's some interesting information about how black sports people are called.
[00:35:55.240 --> 00:35:55.240]   And so somebody said actually here's a study here's a study here's some interesting information about how black sports people are called.
[00:35:55.280 --> 00:36:05.560]   even
[00:36:05.560 --> 00:36:10.720]   le in the interested perd Vi He все, and, ,,,,,,,,, show Br Có E網 Subscribe downstairs be question. I'm not end. I'm. I'm. I'm. I'm. I'm. I'm. I'm. I'm. 55.ill. It's. Bundes. classified. II., stake., as, leaves, Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, je de won ♪. wasn't And, Hae wall We're E's all Nik was plus train he and장이ivity heat and is the 沒有
[00:36:10.720 --> 00:36:24.060]   corre囉 Switch ANDonya segmentsvelop and the talk he's
[00:36:24.080 --> 00:36:52.880]   chat GPT-4 is really quite able to take a passage and point out potentially biased terms to rewrite it to be more neutral. Now, it is a bit anodyne and it's a bit cliched. So sometimes it just takes the spirit out of something that's actually not bad. It's just like poetic language and you're like, okay, that's not actually helping. But in many cases, I think that sort of thing is quite
[00:36:52.880 --> 00:36:52.880]   interesting.
[00:36:52.920 --> 00:36:55.340]   avere
[00:36:55.340 --> 00:37:06.400]   guys. So, its,
[00:37:06.400 --> 00:37:20.300]   tell vers Do He O lowered gravelentry is bean realms it is down. And, you, and, and, and, and, and, and, and, and, fortunate mission, and, and, looks, and, molecularource. And, within. There's,
[00:37:20.500 --> 00:37:30.080]   and
[00:37:30.080 --> 00:37:31.300]   love. I think I, stap,,,, 100
[00:37:31.300 --> 00:37:33.800]   Hast whichever
[00:37:50.520 --> 00:38:20.500]   ado, I think I, stap,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,
[00:38:20.500 --> 00:38:20.500]   The journalist actually was very straightforward and honest about having used GPT to write part of the article. And then finding that it made an error and apologized for the error that GPT-4 generated. Which has this kind of interesting loop. The articles are used to write Wikipedia pages. GPT is trained on Wikipedia. And there's like this interesting loop where the weasel words
[00:38:20.500 --> 00:38:20.500]   The journalist actually was very straightforward and honest about having used GPT to write part of the article. And then finding that it made an error and apologized for the error that GPT-4 generated. Which has this kind of interesting loop. The articles are used to write Wikipedia pages. GPT is trained on Wikipedia. And there's like this interesting loop where the weasel words
[00:38:20.520 --> 00:38:50.520]   The article is used to write Wikipedia pages. GPT is trained on Wikipedia. And there's like this interesting loop where the weasel words
[00:38:50.520 --> 00:38:50.520]   The article is used to write Wikipedia pages. GPT is trained on Wikipedia. And there's like this interesting loop where the weasel words
[00:38:50.520 --> 00:38:50.520]   The article is used to write Wikipedia pages. GPT is trained on Wikipedia. And there's like this interesting loop where the weasel words
[00:38:50.560 --> 00:39:20.540]  ,
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.540 --> 00:39:20.540]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:20.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.560 --> 00:39:50.560]   I'm not quoting exactly, it's been many years, but in his spare time
[00:39:50.600 --> 00:40:20.580]  , I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.580 --> 00:40:20.580]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:20.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.600 --> 00:40:50.600]   I'm not quoting exactly, it's been many years, but in his spare time
[00:40:50.640 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.620 --> 00:41:20.620]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:20.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.640 --> 00:41:50.640]   I'm not quoting exactly, it's been many years, but in his spare time
[00:41:50.680 --> 00:42:20.660]  ,
[00:42:20.660 --> 00:42:20.660]   I'm not quoting exactly, it's been many years, but in his spare time
