
[00:00:00.040 --> 00:00:10.580]   pick
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:12:44.920]   You have six clients and you just can't handle any more.
[00:12:44.920 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.940 --> 00:13:14.940]   You have six clients and you just can't handle any more.
[00:13:14.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:13:44.960]   You have six clients and you just can't handle any more.
[00:13:44.960 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:14.980 --> 00:14:14.980]   You have six clients and you just can't handle any more.
[00:14:15.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:14:45.000]   You have six clients and you just can't handle any more.
[00:14:45.000 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more.
[00:15:15.020 --> 00:15:15.020]   You have six clients and you just can't handle any more. You have six clients and you just can't handle any more.
[00:15:15.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   Hire a full-time employee. Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   and a full-time employee. Hire a full-time employee.
[00:15:45.040 --> 00:15:45.040]   and that's a good. Hire a full-time employee.
[00:15:45.040 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.060 --> 00:16:15.060]   and that's a good. Hire a full-time employee.
[00:16:15.100 --> 00:16:26.520]   Weiter
[00:16:26.520 --> 00:16:34.120]   and,,, whether favorout un Ник N/ 민 as Fir homework below employed, I have, through, connect,,,,,,,,,, amlled andрод was
[00:16:43.460 --> 00:16:53.560]   better
[00:16:53.560 --> 00:16:57.400]  , AND A G for in, ",,,,, never angled
[00:17:36.540 --> 00:17:46.460]  lichen
[00:17:46.460 --> 00:18:04.860]   Soô butaved in a
[00:18:04.860 --> 00:18:05.160]   is as足 Myanmar, and, and, and, and, and, and, and, and,ат,imen, sexy. επι music. Little gates. Jo.東西.nun. derni. inscre. the body. men.mb.功. get. better.rich. only. even.視. over the whole. pad inde. yes. pull out. in the Bon. attend the word. was not . brain. program.I think.
[00:19:31.260 --> 00:19:43.080]   make
[00:19:43.080 --> 00:20:00.040]   I I,rent,
[00:20:31.260 --> 00:20:31.260]   I,rent,
[00:20:31.260 --> 00:20:31.260]   I,rent,
[00:20:31.260 --> 00:20:31.260]   I,rent,
[00:20:31.260 --> 00:20:31.260]   I,rent,
[00:20:31.260 --> 00:20:31.260]   I,rent,
[00:20:31.260 --> 00:20:31.260]   and I'm interested for kind of quick and dirty analysis, probably fall into two buckets: those that have money and those that don't have money. And here's the basic problem: those that have money don't need to know how to make more of it, and those who don't have money don't have any money to pay you to help them get some. So you wind up looking at the people that you want to help, those who don't have money, and saying "Well, I want to help you, but I don't know how to help you because I don't have the money to pay you."
[00:20:31.260 --> 00:20:31.260]   So you wind up looking at the people that you want to help, those who don't have money, and saying "Well, I want to help you, but I don't know how to help you because I don't have the money to pay you."
[00:21:01.280 --> 00:21:01.280]  obedience: "I don't have the money to pay you."
[00:21:01.280 --> 00:21:01.280]   So the only thing I know to do this is to possibly these two ideas. Number one: the best value for you to build a business is found in serving the wealthy, because they have money and they can buy things from you. Because teaching people about money or coaching them about money is not an actual necessity. Because of that, you can't sell it in the same way that you can sell rice to poor people.
[00:21:01.280 --> 00:21:01.280]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:01.280 --> 00:21:01.280]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:01.280 --> 00:21:01.280]   You can't sell it in the same way that you can't sell rice to poor people.
[00:21:01.280 --> 00:21:31.300]  ,
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.300 --> 00:21:31.300]   You can't sell it in the same way that you can sell rice to poor people.
[00:21:31.320 --> 00:22:01.320]   The world of professional financial advice is very good at helping people who have money get more of it or helping people who have money to hold on to what they have.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:01.320]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:01.320 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.340 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.340 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.340 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.340 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.340 --> 00:22:31.340]   You can't sell it in the same way that you can sell rice to poor people.
[00:22:31.360 --> 00:23:01.360]   I can afford to do what I'm doing right now.
[00:23:01.360 --> 00:23:01.360]   I can afford to do what I'm doing right now.
[00:23:01.360 --> 00:23:01.360]   I can create education that can reach a mass audience.
[00:23:01.360 --> 00:23:01.360]   I can create education that can reach a mass audience.
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:01.360]   It doesn't matter to me in terms of costs whether 10,000 people are listening to me
[00:23:01.360 --> 00:23:31.380]  , I can create a large free option to serve people who may not have a lot of money.
[00:23:31.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:01.400]   I can create a large free option to serve people who may not have a lot of money.
[00:24:01.400 --> 00:24:31.420]  ,
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.420 --> 00:24:31.420]   I can create a large free option to serve people who may not have a lot of money.
[00:24:31.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.440 --> 00:25:01.440]   I can create a large free option to serve people who may not have a lot of money.
[00:25:01.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:25:31.460]   I can create a large free option to serve people who may not have a lot of money.
[00:25:31.460 --> 00:26:01.480]   The first thing I wanted to do was to show you what I've done.
[00:26:01.480 --> 00:26:01.480]   The first thing I wanted to do was to show you what I've done.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life.
[00:26:01.480 --> 00:26:01.480]   I've done a lot of things in my life. I've done a lot of things in my life. I've done a lot of things in my life.
[00:26:01.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.500 --> 00:26:31.500]   I've done a lot of things in my life.
[00:26:31.540 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.520 --> 00:27:01.520]   I've done a lot of things in my life.
[00:27:01.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:27:31.540]   I've done a lot of things in my life.
[00:27:31.540 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.560 --> 00:28:01.560]   I've done a lot of things in my life.
[00:28:01.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:28:31.580]   I've done a lot of things in my life.
[00:28:31.580 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
