
[00:00:00.000 --> 00:00:01.800]   Narcissism is not arrogance.
[00:04:01.700 --> 00:04:05.140]   I think of machines as not being inscrutable, right?
[00:04:05.140 --> 00:04:07.800]   That if there's enough study,
[00:04:07.800 --> 00:04:09.980]   there's enough acumen applied
[00:04:09.980 --> 00:04:12.480]   that we can understand whatever it is
[00:04:12.480 --> 00:04:13.800]   we're trying to figure out,
[00:04:13.800 --> 00:04:16.480]   whereas part of understanding ourselves
[00:04:16.480 --> 00:04:19.640]   is understanding that there are things we can't understand.
[00:04:19.640 --> 00:04:24.400]   And I think that's indispensably important
[00:04:24.400 --> 00:04:25.480]   to health and happiness
[00:04:25.480 --> 00:04:28.540]   and also to having enough humility
[00:04:28.540 --> 00:04:31.240]   to see how people can be different from us,
[00:04:31.240 --> 00:04:34.240]   how we can be different from ourselves at times.
[00:04:34.240 --> 00:04:37.760]   So knowing that we don't know a lot
[00:04:37.760 --> 00:04:40.120]   and having some idea of what that might be,
[00:04:40.120 --> 00:04:43.120]   I think is an indispensable part of the process,
[00:04:43.120 --> 00:04:46.040]   which I think is different from machines, I think.
[00:04:46.040 --> 00:04:48.000]   - Yeah, the machines, you're basically saying
[00:04:48.000 --> 00:04:51.200]   machines generally, because they're engineered
[00:04:51.200 --> 00:04:53.640]   from a design, they're usually going to be simpler,
[00:04:53.640 --> 00:04:55.360]   therefore understandable.
[00:04:55.360 --> 00:04:58.020]   And you're saying the complexity of the human mind is,
[00:04:58.020 --> 00:05:01.960]   at least from our perspective, nearly infinite.
[00:05:01.960 --> 00:05:03.240]   - Is there a meta-phenomenon,
[00:05:03.240 --> 00:05:04.720]   what sometimes gets described
[00:05:04.720 --> 00:05:06.060]   as sort of levels of emergence,
[00:05:06.060 --> 00:05:09.280]   where at increasing levels of complexity,
[00:05:09.280 --> 00:05:12.960]   you have novelty evolve that you can't predict
[00:05:12.960 --> 00:05:15.820]   from lower levels of complexity.
[00:05:15.820 --> 00:05:18.720]   Like, for example, atoms to molecules,
[00:05:18.720 --> 00:05:20.360]   it's just one example.
[00:05:20.360 --> 00:05:23.800]   I think neurons to consciousness,
[00:05:23.800 --> 00:05:26.120]   consciousness to culture,
[00:05:26.120 --> 00:05:28.440]   that there are meta-phenomenon that separate
[00:05:28.440 --> 00:05:31.680]   from the phenomenon underneath of them,
[00:05:31.680 --> 00:05:35.840]   and thereby add an entire aspect of novelty.
[00:05:35.840 --> 00:05:39.440]   So I think we are, I mean, I really think this is true,
[00:05:39.440 --> 00:05:41.400]   that we are all infinitely fascinating
[00:05:41.400 --> 00:05:44.240]   because of these levels of emergence, of novelty,
[00:05:44.240 --> 00:05:46.180]   that are inscrutable because you can't predict
[00:05:46.180 --> 00:05:49.620]   from one level to the next, or understand fully,
[00:05:49.620 --> 00:05:51.940]   are what make us, and not just us,
[00:05:51.940 --> 00:05:53.860]   but I think sentient creatures, right?
[00:05:53.860 --> 00:05:55.300]   Human beings, right?
[00:05:55.300 --> 00:05:59.160]   But sentient creatures, inestimably more interesting
[00:05:59.160 --> 00:06:00.940]   than creatures that aren't sentient.
[00:06:00.940 --> 00:06:03.660]   And I don't know, I think when we think
[00:06:03.660 --> 00:06:05.720]   about machine learning and artificial intelligence,
[00:06:05.720 --> 00:06:08.260]   I think it's that that we're trying to create,
[00:06:08.260 --> 00:06:10.720]   levels of emergence that now
[00:06:10.720 --> 00:06:13.060]   we don't fully understand anymore,
[00:06:13.060 --> 00:06:15.660]   which I guess is both exciting and maybe scary too.
[00:06:15.660 --> 00:06:20.060]   - Yeah, so you start at the physics of atoms,
[00:06:20.060 --> 00:06:24.320]   quantum mechanics, go into chemistry, go into biology.
[00:06:24.320 --> 00:06:27.460]   From the biology, you have the functional phenomena,
[00:06:27.460 --> 00:06:30.180]   especially as manifested in the human brain,
[00:06:30.180 --> 00:06:32.780]   and then multiple brains connecting together
[00:06:32.780 --> 00:06:34.180]   through consciousness and intelligence
[00:06:34.180 --> 00:06:36.140]   creates civilizations.
[00:06:36.140 --> 00:06:37.020]   It's pretty interesting.
[00:06:37.020 --> 00:06:38.660]   Where do you think the magic is?
[00:06:38.660 --> 00:06:40.380]   At which layer of the cake?
[00:06:40.380 --> 00:06:41.380]   - Every layer.
[00:06:41.380 --> 00:06:44.660]   Because every time you emerge from one thing to another,
[00:06:44.660 --> 00:06:48.020]   I see it as an analog, the concept of the dialectic,
[00:06:48.020 --> 00:06:51.900]   where I think it was Hegel who realized,
[00:06:51.900 --> 00:06:54.940]   hey, when you have thing A and thing B,
[00:06:54.940 --> 00:06:57.300]   and they're complicated and they come together,
[00:06:57.300 --> 00:07:00.180]   you don't get a hybrid of A and B.
[00:07:00.180 --> 00:07:03.380]   You end up getting something that's new, that's novel.
[00:07:03.380 --> 00:07:07.500]   And I think that describes to some degree
[00:07:07.500 --> 00:07:10.640]   what emergence is, except there's,
[00:07:11.400 --> 00:07:14.240]   there's a whole new, it's a universe of novelty
[00:07:14.240 --> 00:07:17.920]   that comes at each layer of emergence
[00:07:17.920 --> 00:07:19.660]   that allows infinite possibilities
[00:07:19.660 --> 00:07:21.560]   that weren't possible before.
[00:07:21.560 --> 00:07:23.120]   And I think that's why we're so complicated,
[00:07:23.120 --> 00:07:26.000]   that we're, our functional neuroscience,
[00:07:26.000 --> 00:07:27.200]   which I think is psychology,
[00:07:27.200 --> 00:07:28.960]   our ability to think about ourselves,
[00:07:28.960 --> 00:07:30.800]   about others, to be reflective,
[00:07:30.800 --> 00:07:35.080]   is sitting on top of so many layers of emergence.
[00:07:35.080 --> 00:07:37.160]   Like the idea of standing on the shoulders of giants,
[00:07:37.160 --> 00:07:39.760]   that we're, each of us, our consciousness
[00:07:39.760 --> 00:07:42.640]   is standing on the shoulder of a giant
[00:07:42.640 --> 00:07:47.480]   of many, many, many levels of emergence, of novelty,
[00:07:47.480 --> 00:07:49.040]   so many of which we don't understand.
[00:07:49.040 --> 00:07:50.480]   I mean, that's subatomic particles,
[00:07:50.480 --> 00:07:52.880]   everything that quantum physics means.
[00:07:52.880 --> 00:07:56.120]   You know, when does time become important, right?
[00:07:56.120 --> 00:07:58.760]   As opposed to things happening outside of time
[00:07:58.760 --> 00:08:00.160]   and outside of space,
[00:08:00.160 --> 00:08:03.140]   when do we slot into one temporal perspective,
[00:08:03.140 --> 00:08:04.640]   and then the complexity just, I think,
[00:08:04.640 --> 00:08:06.760]   grows and grows and grows.
[00:08:06.760 --> 00:08:10.160]   - Yeah, the interesting word you use is novelty.
[00:08:10.160 --> 00:08:12.560]   If true, this really blows my mind.
[00:08:12.560 --> 00:08:16.600]   In some either shallow or deep sense, it is true.
[00:08:16.600 --> 00:08:18.240]   I'm trying to figure that out.
[00:08:18.240 --> 00:08:20.400]   I don't know if you know something about cellular automata,
[00:08:20.400 --> 00:08:23.460]   is this very simple mathematical objects
[00:08:23.460 --> 00:08:25.000]   where you have rules that govern
[00:08:25.000 --> 00:08:26.120]   each individual little cell,
[00:08:26.120 --> 00:08:27.800]   and they interact locally,
[00:08:27.800 --> 00:08:29.360]   and that, you know, you understand
[00:08:29.360 --> 00:08:31.320]   the very simple operation of those individual cells,
[00:08:31.320 --> 00:08:33.920]   but add another layer of abstraction
[00:08:33.920 --> 00:08:36.720]   when you just kind of zoom out with blurry vision,
[00:08:36.720 --> 00:08:41.040]   these meta objects starts appearing that function.
[00:08:41.040 --> 00:08:43.080]   You could build a Turing machine with it.
[00:08:43.080 --> 00:08:44.920]   You can build an arbitrary complexity
[00:08:44.920 --> 00:08:50.400]   of computation on top of this kind of very simple object.
[00:08:50.400 --> 00:08:51.240]   - Yes.
[00:08:51.240 --> 00:08:55.480]   - It's an interesting question whether that was always there.
[00:08:55.480 --> 00:09:01.460]   The atoms somehow know about love, right?
[00:09:01.460 --> 00:09:03.340]   Like about consciousness,
[00:09:04.440 --> 00:09:07.920]   about war and violence and evil and hate and all that.
[00:09:07.920 --> 00:09:10.520]   That's already laden in the possibility of that,
[00:09:10.520 --> 00:09:12.920]   the capacity for that, it's already in the atoms.
[00:09:12.920 --> 00:09:15.800]   It's already in the physics, it's already in the,
[00:09:15.800 --> 00:09:18.240]   in all the different chemistry that builds up.
[00:09:18.240 --> 00:09:22.460]   And it's like even the origin of life, still a mystery.
[00:09:22.460 --> 00:09:26.080]   That's known, that's in the physics.
[00:09:26.080 --> 00:09:28.080]   That's known to the universe,
[00:09:28.080 --> 00:09:31.040]   the basic background physics in the universe.
[00:09:32.280 --> 00:09:34.560]   'Cause if that's not the case,
[00:09:34.560 --> 00:09:35.680]   it's like where does that come from?
[00:09:35.680 --> 00:09:37.400]   Where's that magic?
[00:09:37.400 --> 00:09:40.000]   And how many layers can the cake possibly have?
[00:09:40.000 --> 00:09:41.600]   How many are we gonna keep building?
[00:09:41.600 --> 00:09:42.760]   If it's all, if there's,
[00:09:42.760 --> 00:09:46.640]   if we're constantly through this process of abstraction,
[00:09:46.640 --> 00:09:50.280]   of adding a layer to the cake, adding novel things,
[00:09:50.280 --> 00:09:51.520]   like where's the ceiling?
[00:09:51.520 --> 00:09:54.920]   As we expand out into the cosmos,
[00:09:54.920 --> 00:09:56.400]   if we successfully can do that,
[00:09:56.400 --> 00:09:58.200]   are we gonna keep building like
[00:09:58.200 --> 00:10:01.160]   more miraculous complex objects?
[00:10:01.160 --> 00:10:05.520]   And then the brain is just like a middle layer thing.
[00:10:05.520 --> 00:10:08.560]   We tend to think of ourselves as truly, truly special
[00:10:08.560 --> 00:10:10.800]   manifestations of what's possible in the universe.
[00:10:10.800 --> 00:10:12.600]   But maybe we're just like the basic,
[00:10:12.600 --> 00:10:16.880]   tiny building block of something much, much, much bigger.
[00:10:16.880 --> 00:10:19.840]   We're in the early days of being a brick
[00:10:19.840 --> 00:10:21.600]   in a very large building.
[00:10:21.600 --> 00:10:22.640]   - Sure.
[00:10:22.640 --> 00:10:24.600]   I think that's entirely possible.
[00:10:24.600 --> 00:10:29.040]   I mean, I think the only emergent thing, so to speak,
[00:10:29.040 --> 00:10:33.040]   that we build is culture, the aggregation of us.
[00:10:33.040 --> 00:10:35.800]   So you have individual human minds,
[00:10:35.800 --> 00:10:39.000]   which are entirely unique.
[00:10:39.000 --> 00:10:40.640]   I mean, even the fact that time is different
[00:10:40.640 --> 00:10:43.840]   for you and me, it may be by picoseconds.
[00:10:43.840 --> 00:10:48.840]   But we can engage because our perceptions of time
[00:10:48.840 --> 00:10:52.000]   are parallel enough, they're close enough,
[00:10:52.000 --> 00:10:54.000]   that we can share a reality.
[00:10:54.000 --> 00:10:58.160]   But we're all living in a different dimension of time.
[00:10:58.160 --> 00:10:59.080]   We know that.
[00:10:59.080 --> 00:11:01.680]   So we're unique in that way.
[00:11:01.680 --> 00:11:04.120]   And then the unique individuals that we are,
[00:11:04.120 --> 00:11:08.480]   just like the cells, start to create not just one thing,
[00:11:08.480 --> 00:11:13.480]   not just a culture, but culture on top of our individuality.
[00:11:13.480 --> 00:11:16.880]   Our uniqueness, our even dimensional uniqueness
[00:11:16.880 --> 00:11:20.560]   of time and experience and consciousness.
[00:11:20.560 --> 00:11:23.000]   So we create cultures on top of us.
[00:11:23.000 --> 00:11:25.560]   But what could be beyond culture,
[00:11:25.560 --> 00:11:28.960]   and what is different from us,
[00:11:28.960 --> 00:11:31.760]   either on underlying levels, like quantum physics
[00:11:31.760 --> 00:11:33.320]   or chemistry or biology,
[00:11:33.320 --> 00:11:36.200]   or entirely different and unconceived,
[00:11:36.200 --> 00:11:39.440]   I think it's an immense question.
[00:11:39.440 --> 00:11:42.960]   I think it's one that should create humility in us.
[00:11:42.960 --> 00:11:44.760]   Look how much we don't know,
[00:11:44.760 --> 00:11:47.380]   and then how reckless we are with ourselves,
[00:11:47.380 --> 00:11:50.600]   with our resources, with human life.
[00:11:50.600 --> 00:11:53.800]   And I think there it's important to say,
[00:11:53.800 --> 00:11:56.760]   I mean, think about how entropy rules
[00:11:56.760 --> 00:11:58.040]   the universe around us.
[00:11:58.040 --> 00:12:00.800]   How over selected are we?
[00:12:00.800 --> 00:12:05.000]   How many, not just hundreds or thousands of times,
[00:12:05.000 --> 00:12:08.120]   but how many millions of times does there have to be
[00:12:08.120 --> 00:12:11.640]   a selection branch point before we get into a sort of
[00:12:11.640 --> 00:12:13.640]   eddy pool of counter entropy,
[00:12:13.640 --> 00:12:16.920]   where you can begin to create?
[00:12:16.920 --> 00:12:18.520]   Which I think is why you say,
[00:12:18.520 --> 00:12:20.480]   okay, do the atoms know about love?
[00:12:21.740 --> 00:12:23.900]   The fact that anything is being created, right,
[00:12:23.900 --> 00:12:26.860]   means there's this over selection for counter entropy,
[00:12:26.860 --> 00:12:30.700]   where there can be a building of greater complexity,
[00:12:30.700 --> 00:12:32.900]   of ultimately of novelty.
[00:12:32.900 --> 00:12:34.940]   And we don't often think about that,
[00:12:34.940 --> 00:12:37.460]   of how far removed we are,
[00:12:37.460 --> 00:12:39.380]   maybe light years, so to speak,
[00:12:39.380 --> 00:12:44.220]   from any other location,
[00:12:44.220 --> 00:12:47.180]   temporally, physically in the universe,
[00:12:47.180 --> 00:12:48.240]   where this could happen.
[00:12:48.760 --> 00:12:52.120]   We don't think about what does that mean?
[00:12:52.120 --> 00:12:55.040]   - Everything that you said, love, everything,
[00:12:55.040 --> 00:12:57.000]   is counter entropy.
[00:12:57.000 --> 00:13:00.480]   Goes against the way, the basic physics of the universe.
[00:13:00.480 --> 00:13:02.280]   So maybe actually the atoms really don't like
[00:13:02.280 --> 00:13:03.120]   what we're doing.
[00:13:03.120 --> 00:13:05.200]   They want us to stop.
[00:13:05.200 --> 00:13:07.120]   They've been trying really hard to stop.
[00:13:07.120 --> 00:13:10.200]   And despite that, we somehow started this whole
[00:13:10.200 --> 00:13:12.200]   bacteria thing for like a billion years,
[00:13:12.200 --> 00:13:13.400]   and now we're here.
[00:13:13.400 --> 00:13:15.600]   - I actually think of it kind of the other way.
[00:13:15.600 --> 00:13:18.920]   I don't think there's any purpose to purposelessness.
[00:13:18.920 --> 00:13:21.840]   So why would anything be here
[00:13:21.840 --> 00:13:25.840]   if the drive weren't towards creativity?
[00:13:25.840 --> 00:13:30.920]   If the drive weren't towards those subatomic particles,
[00:13:30.920 --> 00:13:34.000]   not being nothingness that blips in and out of existence,
[00:13:34.000 --> 00:13:36.440]   like we think is going on in empty space
[00:13:36.440 --> 00:13:38.440]   for light years upon light years.
[00:13:38.440 --> 00:13:43.440]   But is there a design, either natural or intentional,
[00:13:44.800 --> 00:13:49.800]   for a schema, a scenario that allows for the incredibly rare
[00:13:49.800 --> 00:13:54.480]   but not non-existent eddy pool of counter entropy
[00:13:54.480 --> 00:13:58.160]   where good can happen, where creativity can happen,
[00:13:58.160 --> 00:14:00.640]   where ultimately something can grow,
[00:14:00.640 --> 00:14:02.560]   something novel can happen.
[00:14:02.560 --> 00:14:04.740]   There's no novelty in the vastness of space,
[00:14:04.740 --> 00:14:07.280]   even though there's not nothing there.
[00:14:07.280 --> 00:14:11.000]   There's novelty here because I think the layers
[00:14:11.000 --> 00:14:15.400]   of emergence start stacking very, very, very high
[00:14:15.400 --> 00:14:18.540]   when we're in a place of counter entropy,
[00:14:18.540 --> 00:14:21.440]   which then could provide even thoughts
[00:14:21.440 --> 00:14:24.680]   about good and evil, the idea that creating,
[00:14:24.680 --> 00:14:26.700]   that preserving is good.
[00:14:26.700 --> 00:14:27.680]   It's what we build upon.
[00:14:27.680 --> 00:14:30.460]   It's how we get to the eddy pool of counter entropy.
[00:14:30.460 --> 00:14:33.320]   So then destruction is not good.
[00:14:33.320 --> 00:14:36.840]   What good comes of aggression and destruction?
[00:14:36.840 --> 00:14:39.280]   Unless we're protecting,
[00:14:39.280 --> 00:14:41.600]   or even you can think of outline cases,
[00:14:41.600 --> 00:14:43.520]   but just think in general concepts.
[00:14:43.520 --> 00:14:45.520]   Destruction destroys.
[00:14:45.520 --> 00:14:47.800]   It brings us towards a state of entropy,
[00:14:47.800 --> 00:14:49.200]   towards a state of nothingness,
[00:14:49.200 --> 00:14:54.200]   whereas goodness, commonality, collaboration, nurturing,
[00:14:54.200 --> 00:15:01.000]   brings novelty, it brings new existence into the universe.
[00:15:01.000 --> 00:15:03.400]   And I think we don't think about that.
[00:15:03.400 --> 00:15:05.400]   We're in the middle of something so vast
[00:15:05.400 --> 00:15:07.160]   and built on top of so many layers,
[00:15:07.160 --> 00:15:10.240]   and I think it leads us to be cavalier
[00:15:10.240 --> 00:15:14.000]   with human life, including often our own.
[00:15:14.000 --> 00:15:16.680]   - So you think there's an underlying creative force
[00:15:16.680 --> 00:15:20.560]   to the universe that might even have
[00:15:20.560 --> 00:15:24.120]   a kind of built-in morality to it,
[00:15:24.120 --> 00:15:27.840]   where creating is better than destroying,
[00:15:27.840 --> 00:15:31.360]   and then that somehow maps on to our society,
[00:15:31.360 --> 00:15:32.400]   where we kind of try to figure out
[00:15:32.400 --> 00:15:35.760]   what that actually means in terms of good and evil.
[00:15:35.760 --> 00:15:38.760]   So something is there like that.
[00:15:38.760 --> 00:15:43.560]   But it has to be, it's so nice, it's so perfect,
[00:15:43.560 --> 00:15:46.240]   'cause it's rare, it's sufficiently rare
[00:15:46.240 --> 00:15:47.320]   where we have our own space,
[00:15:47.320 --> 00:15:49.120]   like you can close the door and it's like,
[00:15:49.120 --> 00:15:50.560]   I need to be alone right now,
[00:15:50.560 --> 00:15:53.520]   as our human civilization, to work on my thing.
[00:15:53.520 --> 00:15:54.520]   So it's sufficiently rare
[00:15:54.520 --> 00:15:56.200]   that there's not other alien civilizations
[00:15:56.200 --> 00:15:57.960]   that are just constantly knocking on our door,
[00:15:57.960 --> 00:16:01.280]   destroying us, but it still exists.
[00:16:01.280 --> 00:16:02.400]   That's weird.
[00:16:02.400 --> 00:16:03.360]   - Right, right.
[00:16:03.360 --> 00:16:06.080]   It's so fantastically improbable
[00:16:06.080 --> 00:16:09.120]   that I think we should be very respectful of it.
[00:16:09.120 --> 00:16:11.280]   And I think you said there's a creative force
[00:16:11.280 --> 00:16:13.320]   that values creativity.
[00:16:13.320 --> 00:16:16.200]   Things would be, well sure, it's a creative force.
[00:16:16.200 --> 00:16:19.840]   Its existence, its ability to exist and to create
[00:16:19.840 --> 00:16:23.280]   comes from something other than entropy,
[00:16:23.280 --> 00:16:25.040]   something other than so much dispersion
[00:16:25.040 --> 00:16:26.360]   that there's nothingness.
[00:16:26.360 --> 00:16:31.360]   So the creative force will value the sanctity of things,
[00:16:32.000 --> 00:16:34.680]   keeping things together, not destroying things, right?
[00:16:34.680 --> 00:16:37.840]   Building novelty, including novelty of knowledge,
[00:16:37.840 --> 00:16:38.880]   novelty of sentience.
[00:16:38.880 --> 00:16:42.980]   I mean, it fits with the idea that we're not nothing,
[00:16:42.980 --> 00:16:45.240]   that that's incredibly improbable,
[00:16:45.240 --> 00:16:48.140]   and that there are these many, many layers of emergence
[00:16:48.140 --> 00:16:49.960]   that we're standing upon.
[00:16:49.960 --> 00:16:51.800]   And I think it tells us something
[00:16:51.800 --> 00:16:56.160]   that we're not doing ourselves a service to ignore, right?
[00:16:56.160 --> 00:16:58.200]   It's not just a jump to saying,
[00:16:58.200 --> 00:16:59.880]   oh, there's a religious answer to everything.
[00:16:59.880 --> 00:17:03.760]   It's just, no, it's saying science isn't a god either, right?
[00:17:03.760 --> 00:17:07.000]   So if we think of science as a tool
[00:17:07.000 --> 00:17:08.940]   and not as an endpoint in and of itself,
[00:17:08.940 --> 00:17:10.960]   what is the science telling us?
[00:17:10.960 --> 00:17:13.160]   I remember showing up at medical school,
[00:17:13.160 --> 00:17:14.120]   and it really is true.
[00:17:14.120 --> 00:17:17.400]   I mean, I knew so little about the human body.
[00:17:17.400 --> 00:17:19.360]   I'd only been in hospitals to visit people.
[00:17:19.360 --> 00:17:20.600]   I'd taken pre-med classes,
[00:17:20.600 --> 00:17:22.400]   but sort of intensely at once
[00:17:22.400 --> 00:17:24.680]   after I didn't take any and I was working in business.
[00:17:24.680 --> 00:17:26.160]   I knew next to nothing.
[00:17:26.560 --> 00:17:29.920]   And I had this idea that was so naive in retrospect
[00:17:29.920 --> 00:17:31.840]   that I was gonna learn so much, right?
[00:17:31.840 --> 00:17:33.120]   I was gonna answer these questions
[00:17:33.120 --> 00:17:34.460]   'cause I was gonna learn what's going on in the body.
[00:17:34.460 --> 00:17:35.440]   What are these organs doing?
[00:17:35.440 --> 00:17:36.640]   What are these cells?
[00:17:36.640 --> 00:17:41.640]   And what I learned was there was so much more
[00:17:41.640 --> 00:17:45.640]   that was amazing and mysterious and seemingly impossible,
[00:17:45.640 --> 00:17:48.000]   like even how a cell functions, right?
[00:17:48.000 --> 00:17:49.840]   Like what is going on inside of a cell,
[00:17:49.840 --> 00:17:52.760]   the transport mechanisms and energy functions
[00:17:52.760 --> 00:17:54.080]   and diffusion functions.
[00:17:54.080 --> 00:17:57.320]   And then you can go down to smaller levels than that.
[00:17:57.320 --> 00:17:58.800]   But when you come back out and you say,
