
[00:00:00.000 --> 00:00:20.200]   Hello everyone, welcome. So, today we'll be talking basically about CISO-approved Agent
[00:02:56.560 --> 00:03:01.680]   been building this for months with some of our design customers as well. And I'll get onto that and how
[00:03:01.680 --> 00:03:08.320]   how that interfaces with the architecture as well. So, just as an overview, and I'll actually deep dive
[00:03:08.320 --> 00:03:13.200]   into these a little bit as we go through, is we've gone through various iterations of different
[00:03:13.200 --> 00:03:16.960]   architectural models and they have different implications for us as a company, but also for
[00:03:16.960 --> 00:03:21.840]   our customers, the implications on, for instance, how much ownership they have over those products,
[00:03:21.840 --> 00:03:27.600]   like the cost of running those products, and the security as well of actually when they run them.
[00:03:27.600 --> 00:03:33.440]   So, very quickly, because I will actually deep dive on these. So, we started off 2019 with a managed
[00:03:33.440 --> 00:03:38.080]   SaaS product. It's where a lot of products start, hosted on the internet, multi-tenant. You can go,
[00:03:38.080 --> 00:03:42.320]   you click on the website, you swipe a credit card, you can use the product. Wonderful. But this doesn't
[00:03:42.320 --> 00:03:48.000]   work for secure companies, right? So, we went through several iterations, first with a very self-hosted
[00:03:48.000 --> 00:03:53.360]   architectural approach. We then adjusted that, and I'll talk about exactly how, and then we have what we
[00:03:53.360 --> 00:03:58.640]   effectively have today, which is also the platform that we run our agent fleet architecture on, and
[00:03:58.640 --> 00:04:04.800]   we'll talk about how that works as well. So, if we start at the beginning with our sort of fully
[00:04:04.800 --> 00:04:08.560]   managed SaaS, and I don't know if any of you know Sean, but it's funny, because I remembered this tweet
[00:04:08.560 --> 00:04:14.160]   the other day that he put out several years ago. It's like, Gitpod really inspired him to do a video,
[00:04:14.160 --> 00:04:18.960]   because it has a nice time to wow, which is, you know, Gitpod was very well known. You click on a link,
[00:04:18.960 --> 00:04:24.160]   and you end up in a dev environment literally from one-click interaction. This was, at the time,
[00:04:24.160 --> 00:04:29.600]   hosted on top of GCP, Kubernetes architecture. We chose GCP, obviously, for the connection with
[00:04:29.600 --> 00:04:34.560]   Kubernetes. And the way the dev environments were then orchestrated was pods running inside of
[00:04:34.560 --> 00:04:39.200]   Kubernetes. So, multi-tenant infrastructure, but if you know anything about Kubernetes, it's not really
[00:04:39.200 --> 00:04:44.880]   designed for that type of workload, and we will talk a bit about that as we go on. But obviously,
[00:04:44.880 --> 00:04:48.640]   there are several challenges with this type of approach. One, it's great to get started really
[00:04:48.640 --> 00:04:53.600]   easy to use your product, but we had a ton of crypto mining and abuse on this. It's one of these things,
[00:04:53.600 --> 00:04:57.200]   like, we can't have nice things on the internet, like, where we give away free compute, because somebody
[00:04:57.200 --> 00:05:02.480]   always wants to do something. Always wants to abuse it, effectively. But it's not also just insufficient
[00:05:02.480 --> 00:05:06.640]   for enterprise. And one of the goals of Gitpod was really to bring our product to professional
[00:05:06.640 --> 00:05:15.280]   developers doing real-world work in real companies. So, what do we do? What's the next step? The obvious,
[00:05:15.280 --> 00:05:20.720]   almost like the logical thing there is just, okay, can we take our existing architecture, take that,
[00:05:20.720 --> 00:05:25.840]   package that up as a self-hosted installation, and just give that to our customers? So, we tried it.
[00:05:25.840 --> 00:05:30.320]   We did do exactly that. We didn't think too much necessarily about, let's say, the specifics of
[00:05:30.320 --> 00:05:35.840]   cloud provider support. So, we kind of opened this up for Google. I think we had AWS at the time and some
[00:05:35.840 --> 00:05:39.840]   of the others. And, you know, we had all manner of them requests from different companies with all
[00:05:39.840 --> 00:05:44.720]   their different flavors of Kubernetes and different configurations to try and figure out how do we then
[00:05:44.720 --> 00:05:50.720]   self-host on those platforms. In the fullness of time, though, what this came up with, both for us as
[00:05:50.720 --> 00:05:56.560]   a vendor, but also for our customers, is significant day two effects. So, self-hosting is great as a
[00:05:56.560 --> 00:06:02.240]   general model, but it comes also with this huge overhead. Typically, you have to set it up. You have to run it.
[00:06:02.240 --> 00:06:08.320]   And then, as a business also, that ultimately is, like, your cost of ownership. So, as a company,
[00:06:08.320 --> 00:06:13.440]   like, we're ultimately selling a product to our customers. Having a very difficult product to set
[00:06:13.440 --> 00:06:19.280]   up and run is effectively eroding your ROI. If you need to allocate two, three, maybe even a whole team
[00:06:19.280 --> 00:06:23.520]   to actually set up and run this infrastructure, then the benefit that you're getting from that product is
[00:06:23.520 --> 00:06:28.080]   also being eroded. The difficulty with that as well is then we don't have a strong relationship with the
[00:06:28.080 --> 00:06:31.760]   people that are actually using or running that product. That's also really important, especially
[00:06:31.760 --> 00:06:36.480]   in an enterprise sort of situation. How you adopt and roll out the product can be critical to its
[00:06:36.480 --> 00:06:41.280]   success. And oftentimes, we found that, you know, especially in a self-hosted model without support
[00:06:41.280 --> 00:06:46.240]   from our side, some of those people that are trying to adopt the product also are unsuccessful.
[00:06:48.640 --> 00:06:54.320]   So, considering that with the self-hosted model, what did we do next? So, we looked at this ownership
[00:06:54.320 --> 00:06:59.280]   and this sort of overhead challenge and said, okay, we can solve this by effectively providing what we
[00:06:59.280 --> 00:07:04.400]   call the substrate so that we could allow customers to self-host, but then we could also manage the
[00:07:04.400 --> 00:07:08.880]   service. So, we could take away some of that overhead. But in order to do that, we also needed to reduce
[00:07:08.880 --> 00:07:13.840]   variance. So, one of the things that we did is we effectively doubled down on AWS as the individual
[00:07:13.840 --> 00:07:19.760]   provider, where we run the infrastructure, but then we would then manage it. So, that meant small
[00:07:19.760 --> 00:07:24.160]   pieces of telemetry data, other things that we needed to operate that infrastructure were still
[00:07:24.160 --> 00:07:29.760]   being emitted to us as a provider. But what it still meant is the workload, or in our case, source code,
[00:07:29.760 --> 00:07:35.440]   data, integrations, all still live on the customer's infrastructure, which is then still ticking the
[00:07:35.440 --> 00:07:42.000]   box when it comes to these regulated companies. But despite this being a success, certainly from an
[00:07:42.000 --> 00:07:46.880]   operational standpoint, it still continued to have effectively fundamental issues because it's still
[00:07:46.880 --> 00:07:52.880]   built on this sort of Kubernetes-based infrastructure, still highly complicated, let's say even when you
[00:07:52.880 --> 00:07:57.840]   want to install. In this case, we're running multiple clusters with a high fixed cost, let's say, and also
[00:07:57.840 --> 00:08:05.840]   still a lot of complexity. This ultimately culminated in its moving away for Kubernetes for our specific use case.
[00:08:06.640 --> 00:08:11.120]   I put this blog post up because it goes into a lot of a lot of detail specifically about why
[00:08:11.120 --> 00:08:15.360]   Kubernetes was particularly challenging for us and our use case and our workloads.
[00:08:15.360 --> 00:08:19.680]   But we decided to move away from that and start to think from first principles about what an
[00:08:19.680 --> 00:08:24.320]   architecture looks like that solves this challenge of running inside of regulated companies, running
[00:08:24.320 --> 00:08:29.360]   highly securely, but doing so in a way that doesn't create a huge operational burden for our customers,
[00:08:29.360 --> 00:08:30.800]   which is bad for them and bad for us.
[00:08:30.800 --> 00:08:38.240]   So ultimately, this is actually the architecture that we came up with and that we have today that's
[00:08:38.240 --> 00:08:43.920]   also running our AI agent fleet. So I'll just run you through this real quick. So we have what we call
[00:08:43.920 --> 00:08:48.080]   effectively like a runner. And if you're an engineer, maybe you're probably familiar with this, like tools like
[00:08:48.080 --> 00:08:54.880]   GitHub CI as well has like this runner. The runner takes everything that's secure. So in our case, source code and
[00:08:54.880 --> 00:08:59.520]   access to data and runs that on the customer's infrastructure. A runner is actually very,
[00:08:59.520 --> 00:09:04.880]   very simple in our case. The runner is actually a single ECS task. So it's a single container running.
[00:09:04.880 --> 00:09:09.920]   And it obviously then costs like, we're talking dollars, single figures of dollars to run every month.
[00:09:09.920 --> 00:09:16.560]   The core workload that we spin up is then dev environments. Each runner runs on a different,
[00:09:18.000 --> 00:09:23.360]   in our case, this is AWS. But if we, you know, for our Linux runner, they inherit the qualities of the
[00:09:23.360 --> 00:09:28.320]   platform they're running on. So for AWS, we run workloads on top of EC2, and those are also then
[00:09:28.320 --> 00:09:33.840]   backed up to EBS. So we can use the native functionality and features of the cloud provider to build that
[00:09:33.840 --> 00:09:38.800]   solution rather than something like Kubernetes, which is theoretically portable, but it also comes
[00:09:38.800 --> 00:09:42.800]   with all of that overhead and complexity of having the portability across different platforms.
[00:09:44.640 --> 00:09:48.080]   Then what we did is then also start to think about, okay, so what are the things that we can keep on
[00:09:48.080 --> 00:09:53.120]   our side as a vendor so that our customers aren't taking on a significant amount of operational
[00:09:53.120 --> 00:09:59.120]   overhead? So a lot of that is like metadata, IDs, information about users, et cetera. Not personally
[00:09:59.120 --> 00:10:04.160]   identify information, but like user IDs, like stuff that if you were to get your hands on it, it's not
[00:10:04.160 --> 00:10:08.000]   particularly significant for our customers. They're not bothered about losing that. They're bothered about
[00:10:08.000 --> 00:10:11.840]   losing the IP, the source code things that's running actually inside their infrastructure.
[00:10:11.840 --> 00:10:24.000]   So I did actually throw in a quick video here because I'm going to turn off the audio on this,
[00:10:24.000 --> 00:10:28.800]   just as you actually see what this looks like from a user experience point of view. So this is actually
[00:10:28.800 --> 00:10:34.160]   the user choosing their workload. When they choose those, those actually do run inside of their network,
[00:10:34.160 --> 00:10:39.600]   inside of their cloud account. To then set up and install on their side, what we're able to now do
[00:10:39.600 --> 00:10:44.800]   is provide them with this runner interface, creates a very simple cloud formation, ask the customer to go
[00:10:44.800 --> 00:10:49.760]   through and actually put in all of their different network details. That bit is all on their side, create
[00:10:49.760 --> 00:10:55.360]   this. The process of running this, it takes as little as three minutes. The overhead or the challenge is
[00:10:55.360 --> 00:10:59.920]   usually getting all of that network configuration, VPC information, subnets, finding out who in your
[00:10:59.920 --> 00:11:04.880]   organization owns those who can actually allocate them to you. But fundamentally, this makes it then
[00:11:04.880 --> 00:11:09.600]   exceptionally simple to then deploy that for customers. And the overhead of this is then is also
[00:11:09.600 --> 00:11:21.280]   significantly reduced. Just one second. I think I have to back out of this to change it. There we go.
[00:11:22.160 --> 00:11:28.240]   Cool. So I mean, we're at an agent conference. So I also presume I should certainly be talking about AI
[00:11:28.240 --> 00:11:32.960]   and agents. So two days ago, I mentioned we basically launched our agent offering, which we've been
[00:11:32.960 --> 00:11:37.200]   working on for months now since the start of the year, actually, with customers and our design partners.
[00:11:37.200 --> 00:11:42.000]   Now, because we have that existing infrastructure already within those customers, we can actually run the
[00:11:42.000 --> 00:11:46.960]   exact same workloads. So because we create dev environments, dev environments are effectively for
[00:11:46.960 --> 00:11:51.520]   humans to be productive. But everything that an autonomous agent needs to operate is exactly
[00:11:51.520 --> 00:11:56.080]   the same thing that a dev does. They need the source code. They need access to internal systems,
[00:11:56.080 --> 00:12:01.760]   whether that be an internal database, a cluster, etc. So when you give an agent the ability to access
[00:12:01.760 --> 00:12:06.160]   source code and iterate, it can do it inside of that same dev environment with the same access and
[00:12:06.160 --> 00:12:13.520]   privileges that an individual human would as well. Because of like our target market and the customers we go
[00:12:13.520 --> 00:12:19.200]   forward that our agent offering as well is also privacy first, because what we've effectively built here allows us to
[00:12:19.200 --> 00:12:25.280]   not only run inside the customers infrastructure, but there's lots of other additional benefits that come from that as well.
[00:12:25.280 --> 00:12:30.880]   Let's say things like audit logs. Once we did that, and I'll just jump back a few slides. Once we re-architected to this
[00:12:30.880 --> 00:12:36.640]   architecture, one of the other first principles that we came back to is building this in an API first way.
[00:12:36.640 --> 00:12:43.360]   So every action interaction when you spin up a dev environment, everything that you do is then audit logs and allows us to give
[00:12:43.360 --> 00:12:49.440]   our customers also an entire sort of audit history on the platform, which also then extends to once you
[00:12:49.440 --> 00:12:56.080]   start running these workloads with agents, you also benefit from that as well. So that audit log also runs for those agent tasks.
[00:12:56.080 --> 00:13:07.040]   What time is it? I have two more minutes and the other guy is straight after. So that is a very sort of
[00:13:07.040 --> 00:13:12.560]   whirlwind run through. We do have a booth downstairs. I will be here and we can dig into this a little bit deeper if you want to as well.
[00:13:14.080 --> 00:13:18.000]   I can show you how this works in our context as well, but like when you're then ultimately looking
[00:13:18.000 --> 00:13:22.400]   at if you're purchasing other tools, AI tools, these are the types of considerations you want to make
[00:13:22.400 --> 00:13:26.640]   about what is the architecture and infrastructure and what sort of different qualities they do have.
[00:13:26.640 --> 00:13:30.640]   But then also if you're a vendor as well, there's probably a lot of learnings here from our side that
[00:13:30.640 --> 00:13:35.040]   you can take from this to build out a more simplified effectively technical architecture
[00:13:35.040 --> 00:13:40.160]   rather than, you know, building on top of like difficult and complicated platforms like Kubernetes and
[00:13:40.160 --> 00:13:42.480]   ultimately keeping things simple for your customers as well.
[00:13:42.480 --> 00:13:51.760]   But that's it. Thank you very much. Hope you enjoyed the conference.

