
[00:00:00.000 --> 00:00:03.600]   [AUDIO OUT]
[00:10:06.880 --> 00:10:11.560]   except as doing what I find interesting, actually.
[00:10:11.560 --> 00:10:12.840]   Yeah.
[00:10:12.840 --> 00:10:13.320]   Cool.
[00:10:13.320 --> 00:10:15.920]   Well, we'll just talk about the main work at Google Brain,
[00:10:15.920 --> 00:10:18.200]   and then we'll move to Rekha.
[00:10:18.200 --> 00:10:21.440]   So out of UL2, Palm, Emergent Abilities, which
[00:10:21.440 --> 00:10:23.280]   of these came first?
[00:10:23.280 --> 00:10:24.240]   There's Flan as well.
[00:10:24.240 --> 00:10:25.240]   Flan was doing something.
[00:10:25.240 --> 00:10:27.240]   Wait, I need-- I can't really actually remember.
[00:10:27.240 --> 00:10:27.760]   OK.
[00:10:27.760 --> 00:10:29.280]   We'll make you talk about UL2 then.
[00:10:29.280 --> 00:10:34.080]   OK, so UL2 and DSI, the Differentiable Search Index,
[00:10:34.080 --> 00:10:41.240]   I was working on it in the December of 2021.
[00:10:41.240 --> 00:10:44.400]   And so at Google, there were projects
[00:10:44.400 --> 00:10:50.400]   that are big efforts that a researcher would
[00:10:50.400 --> 00:10:51.400]   be part of the effort.
[00:10:51.400 --> 00:10:56.080]   And then this would be kind of top-down-ish to some extent.
[00:10:56.080 --> 00:10:59.920]   And then there were also bottom-up research
[00:10:59.920 --> 00:11:01.080]   that one could do.
[00:11:01.080 --> 00:11:03.040]   I can't speak for the Google now for sure,
[00:11:03.040 --> 00:11:05.320]   but at least at that time.
[00:11:05.320 --> 00:11:07.360]   So UL2 and DSI, Differentiable Search Index,
[00:11:07.360 --> 00:11:09.360]   were works that I kind of tinkered
[00:11:09.360 --> 00:11:13.760]   with in the December break where nobody was around.
[00:11:13.760 --> 00:11:15.800]   And then I was just working on it.
[00:11:15.800 --> 00:11:19.680]   So UL2 and DSI were kind of--
[00:11:19.680 --> 00:11:23.400]   Palm also does this kind of differentiation
[00:11:23.400 --> 00:11:25.840]   because there's Palm 1 and there's Palm 2.
[00:11:25.840 --> 00:11:27.400]   So Palm 2, I was actually the co-lead
[00:11:27.400 --> 00:11:28.560]   of one of the work streams.
[00:11:28.560 --> 00:11:31.000]   But Palm 1, I was more of a contributor.
[00:11:31.000 --> 00:11:32.960]   And Palm 2, I was like-- so now I
[00:11:32.960 --> 00:11:34.360]   have to think back of, OK, what's
[00:11:34.360 --> 00:11:35.560]   the timeline, which came first, right?
[00:11:35.560 --> 00:11:36.320]   Oh, yeah.
[00:11:36.320 --> 00:11:36.960]   You don't have to--
[00:11:36.960 --> 00:11:37.360]   No, no, it's fine.
[00:11:37.360 --> 00:11:37.880]   It's fine.
[00:11:37.880 --> 00:11:38.960]   No, no, it's not like a--
[00:11:38.960 --> 00:11:42.600]   But in general, there were kind of three categories of works.
[00:11:42.600 --> 00:11:48.240]   One is broader efforts that are maybe like org-level efforts.
[00:11:48.240 --> 00:11:50.240]   And then there are some that are like UL2 and DSI
[00:11:50.240 --> 00:11:52.440]   were my own projects.
[00:11:52.440 --> 00:11:54.640]   I used the compute that I had.
[00:11:54.640 --> 00:11:56.040]   And then I just played with it.
[00:11:56.040 --> 00:11:58.000]   You accidentally left UL2 running for a month.
[00:11:58.000 --> 00:11:58.760]   Yeah, yeah, yeah.
[00:11:58.760 --> 00:11:59.720]   That was in the paper.
[00:11:59.720 --> 00:12:01.000]   It was fun.
[00:12:01.000 --> 00:12:02.920]   It was really fun, I think.
[00:12:02.920 --> 00:12:04.800]   And then there was also a third category
[00:12:04.800 --> 00:12:08.240]   where those were the efforts that my good friends were
[00:12:08.240 --> 00:12:09.320]   driving and I contributed.
[00:12:09.320 --> 00:12:10.680]   So Flannel was just one of them.
[00:12:11.480 --> 00:12:13.680]   Maybe I would like to just maybe say this publicly.
[00:12:13.680 --> 00:12:14.840]   A lot of people like--
[00:12:14.840 --> 00:12:15.560]   Because I--
[00:12:15.560 --> 00:12:16.480]   You're very publicly--
[00:12:16.480 --> 00:12:17.640]   I talk a lot about Flannel.
[00:12:17.640 --> 00:12:19.520]   You're Flannel's show number one.
[00:12:19.520 --> 00:12:22.120]   Yeah, but the first author is actually
[00:12:22.120 --> 00:12:23.120]   Hsiung Wan, who is great.
[00:12:23.120 --> 00:12:25.680]   And then another guy, Le, I was a core contributor.
[00:12:25.680 --> 00:12:28.800]   But I mean, just because I'm a little bit more visible,
[00:12:28.800 --> 00:12:31.920]   so I kind of accidentally took a little bit more credit
[00:12:31.920 --> 00:12:32.400]   for that.
[00:12:32.400 --> 00:12:35.840]   But I was a core contributor, but I was not like--
[00:12:35.840 --> 00:12:37.040]   The lead authors are obvious.
[00:12:37.040 --> 00:12:37.680]   Yeah, they are.
[00:12:37.680 --> 00:12:42.800]   So I just-- sometimes I get accidentally--
[00:12:42.800 --> 00:12:46.560]   but I think in general, yeah, so the third categories
[00:12:46.560 --> 00:12:48.040]   were projects that my friends--
[00:12:48.040 --> 00:12:49.880]   emergence was also like--
[00:12:49.880 --> 00:12:50.720]   Emergent Abilities.
[00:12:50.720 --> 00:12:51.280]   Jason's paper.
[00:12:51.280 --> 00:12:53.680]   No, actually, that paper was actually
[00:12:53.680 --> 00:12:55.640]   supposed to be only me and Jason on the paper.
[00:12:55.640 --> 00:12:59.320]   And I actually became friends with Jason from that paper.
[00:12:59.320 --> 00:13:02.000]   And then that led to this streak of, I don't know,
[00:13:02.000 --> 00:13:03.800]   10 papers or something together with Jason.
[00:13:03.800 --> 00:13:05.240]   And now we are super good friends.
[00:13:05.240 --> 00:13:06.680]   The ultimate bromance.
[00:13:06.680 --> 00:13:08.840]   But that was the emergent paper.
[00:13:08.840 --> 00:13:12.400]   But the emergent paper also belonged
[00:13:12.400 --> 00:13:15.520]   to be a bottom-up kind of thing.
[00:13:15.520 --> 00:13:18.720]   And yeah, I think, yeah, fun times.
[00:13:18.720 --> 00:13:19.440]   Yeah, it was fun.
[00:13:19.440 --> 00:13:20.680]   Yeah.
[00:13:20.680 --> 00:13:23.760]   OK, yeah, all right.
[00:13:23.760 --> 00:13:28.720]   So maybe I'll pick on Palm 2, because I feel like--
[00:13:28.720 --> 00:13:30.360]   I'll pick on Palm 2 and emergence,
[00:13:30.360 --> 00:13:32.720]   because I really want to make sure I tell those stories.
[00:13:32.720 --> 00:13:34.160]   Those are important stories.
[00:13:34.160 --> 00:13:36.200]   Palm 2, I think it's a career story
[00:13:36.200 --> 00:13:38.760]   that you effectively became a co-lead
[00:13:38.760 --> 00:13:43.280]   on the second version of a very high-profile company-wide
[00:13:43.280 --> 00:13:44.920]   effort.
[00:13:44.920 --> 00:13:46.720]   How did that happen?
[00:13:46.720 --> 00:13:50.640]   I think people would like to know how to--
[00:13:50.640 --> 00:13:54.360]   what's the career strategy there?
[00:13:54.360 --> 00:14:00.360]   So to be clear, I was one of the co-leads.
[00:14:00.360 --> 00:14:02.360]   But there were a lot of co-leads.
[00:14:02.360 --> 00:14:06.000]   So I don't want to take too much credit for that.
[00:14:06.000 --> 00:14:09.240]   So my involvement with Palm 2 came from the--
[00:14:09.240 --> 00:14:12.160]   after UL2 was working well, and then it
[00:14:12.160 --> 00:14:16.280]   was getting some visibility within Google, and then--
[00:14:16.280 --> 00:14:19.960]   Just a documented renote, was UL2 the largest model
[00:14:19.960 --> 00:14:22.240]   that Google had released at the time?
[00:14:22.240 --> 00:14:24.400]   20B, the popular source?
[00:14:24.400 --> 00:14:25.160]   Yeah, I think so.
[00:14:25.160 --> 00:14:26.040]   That was the largest.
[00:14:26.040 --> 00:14:28.480]   And you just-- it was a personal project?
[00:14:28.480 --> 00:14:29.840]   Yeah, it was a personal project.
[00:14:29.840 --> 00:14:30.520]   Yeah, yeah, yeah.
[00:14:30.520 --> 00:14:31.400]   Isn't that unusual?
[00:14:35.160 --> 00:14:39.320]   I'm just like, how can it be one person's decision
[00:14:39.320 --> 00:14:43.000]   to suddenly release something that effectively changed
[00:14:43.000 --> 00:14:44.320]   the trajectory of Google Brands?
[00:14:44.320 --> 00:14:46.720]   I think how it worked was that--
[00:14:46.720 --> 00:14:51.160]   I mean, 20B is not that much larger from 11B, the 11B T5.
[00:14:51.160 --> 00:14:54.480]   Actually, at that time, there was 13B MT5, right?
[00:14:54.480 --> 00:14:57.320]   So I think UL2 is an encoder-decoder 20B model.
[00:14:57.320 --> 00:15:01.520]   I think when we got it approved, it was kind of--
[00:15:01.520 --> 00:15:05.480]   it was released as kind of like the big brother of T5,
[00:15:05.480 --> 00:15:09.240]   kind of like, OK, we updated T5 with a new objective
[00:15:09.240 --> 00:15:11.840]   and trained this new model into 20B, and we want to--
[00:15:11.840 --> 00:15:14.840]   and it uses the same pre-training data set
[00:15:14.840 --> 00:15:15.760]   and everything, right?
[00:15:15.760 --> 00:15:16.260]   So from--
[00:15:16.260 --> 00:15:16.800]   Pure C4.
[00:15:16.800 --> 00:15:18.400]   Yeah, from-- yeah, that was the easiest,
[00:15:18.400 --> 00:15:19.760]   because there was precedence, right?
[00:15:19.760 --> 00:15:20.560]   It was like, OK--
[00:15:20.560 --> 00:15:22.720]   But yeah, there was some architecture,
[00:15:22.720 --> 00:15:24.000]   like the mixture of denoisers.
[00:15:24.000 --> 00:15:25.640]   Yeah, yeah, yeah.
[00:15:25.640 --> 00:15:28.200]   So back to Palm 2, I think my involvement with Palm 2
[00:15:28.200 --> 00:15:36.680]   came from the work to add UL2 to Palm 2.
[00:15:36.680 --> 00:15:40.600]   And then, I mean, it was from the top-down point of view.
[00:15:40.600 --> 00:15:43.160]   I mean, the leads were decided in a top-down manner.
[00:15:43.160 --> 00:15:50.120]   It's not like there was not much fighting or any major things.
[00:15:50.120 --> 00:15:54.480]   It was like-- it was a mixture of bottom-up, top-down-ish,
[00:15:54.480 --> 00:15:55.880]   like half-half situation.
[00:15:55.880 --> 00:16:00.040]   And then from the top, it was like, OK,
[00:16:00.040 --> 00:16:04.160]   these are the people who are the most visible in contributing
[00:16:04.160 --> 00:16:05.480]   to this workstream.
[00:16:05.480 --> 00:16:08.680]   And then, OK, how about Yi and this other guy
[00:16:08.680 --> 00:16:10.240]   becomes--
[00:16:10.240 --> 00:16:12.720]   will be in charge of this modeling workstream
[00:16:12.720 --> 00:16:14.000]   and something like that, right?
[00:16:14.000 --> 00:16:19.040]   So I think it just happened that way organically.
[00:16:19.040 --> 00:16:25.040]   And yeah, I think that was how I kind of was
[00:16:25.040 --> 00:16:28.080]   co-leading the modeling workstream of Palm 2, yeah.
[00:16:28.080 --> 00:16:31.000]   I think in retrospect, you understand now
[00:16:31.000 --> 00:16:33.320]   that this is a very valuable experience.
[00:16:33.320 --> 00:16:37.200]   And I think now, today, it will be much more competitive
[00:16:37.200 --> 00:16:41.320]   to get the job that you got, whereas you didn't--
[00:16:41.320 --> 00:16:44.080]   two years ago, you didn't have to try that hard to get it.
[00:16:44.080 --> 00:16:46.200]   Or you kind of lucked into it with UL2,
[00:16:46.200 --> 00:16:51.040]   and then it just compounded from the initial good decision.
[00:16:51.040 --> 00:16:52.800]   Do you think that-- do you agree with that?
[00:16:52.800 --> 00:16:55.760]   I think it's very hard to counterfactually analyze
[00:16:55.760 --> 00:16:56.640]   these type of things.
[00:16:56.640 --> 00:17:04.160]   It's hard to-- OK, I think it's definitely true
[00:17:04.160 --> 00:17:07.360]   that there are more people working on generative AI now.
[00:17:07.360 --> 00:17:09.080]   And if you are in a big company, it's
[00:17:09.080 --> 00:17:11.960]   way harder to navigate these type of things, right?
[00:17:11.960 --> 00:17:14.640]   I wouldn't say that there were nobody or so wanting
[00:17:14.640 --> 00:17:16.560]   to work on this at the time.
[00:17:16.560 --> 00:17:18.800]   In fact, there were actually--
[00:17:18.800 --> 00:17:22.360]   Were you the obvious choice?
[00:17:22.360 --> 00:17:23.560]   There were less people.
[00:17:23.560 --> 00:17:25.280]   There were definitely less people.
[00:17:25.280 --> 00:17:27.280]   But I think it was also like--
[00:17:27.280 --> 00:17:33.480]   how do I put it?
[00:17:33.480 --> 00:17:35.560]   I would say that maybe it's slightly harder now,
[00:17:35.560 --> 00:17:39.600]   but it's also not like it was easy at the time.
