
[00:00:00.000 --> 00:00:05.000]   But I would not underestimate the difficulty of alignment of models that are actually
[00:09:00.400 --> 00:09:04.560]   Already most of the data for reinforcement learning is coming from AIs. Yeah. Well, it's like
[00:09:05.360 --> 00:09:11.040]   The humans are being used to train the reward function, but then the but then the reward function
[00:09:11.040 --> 00:09:17.920]   Enter and in its interaction with the model is automatic and all the data that's generated in the during the process of reinforcement learning
[00:09:17.920 --> 00:09:21.760]   It's created by AI. So like if you look at the current I
[00:09:21.760 --> 00:09:28.880]   Would say technique paradigm, which is in getting some significant attention because of chat GPT
[00:09:28.880 --> 00:09:34.680]   Reinforcement learning from human feedback. There is human feedback. The human feedback is being used to train
[00:09:35.000 --> 00:09:36.840]   the reward function and
[00:09:36.840 --> 00:09:40.520]   Then the reward function is being used to create the data, which trains the model
[00:09:40.520 --> 00:09:45.160]   Got it. And is there any hope of just removing a human from the loop and have it improve itself and some sort of alpha?
[00:09:45.160 --> 00:09:49.200]   Go away. Yeah, definitely. I mean, I feel like in some sense our hopes for
[00:09:49.200 --> 00:09:52.160]   like our plan like
[00:09:52.160 --> 00:09:55.800]   Very much. So the thing you really want is for
[00:09:55.800 --> 00:10:00.320]   The human teachers that tell you that teach the AI
[00:10:00.880 --> 00:10:04.640]   For them to collaborate with an AI so you might want to think about it
[00:10:04.640 --> 00:10:07.400]   and you might want to think of it as being in a world where
[00:10:07.400 --> 00:10:11.800]   The human teachers do 1% of the world and the work and the AI do 99% of the work
[00:10:11.800 --> 00:10:13.840]   You don't want it to be 100% AI
[00:10:13.840 --> 00:10:18.440]   But you do want it to be a human machine collaboration, which teaches the next machine
[00:10:18.440 --> 00:10:21.240]   So currently, I mean, I've had a chance to play around these models
[00:10:21.240 --> 00:10:27.640]   They seem bad at multi-step reasoning and they have been getting better. But what does it take to really surpass that barrier?
[00:10:27.640 --> 00:10:34.880]   I mean, I think dedicated training will get us there more more improvements to the base models. You'll get us there. Okay, but
[00:10:34.880 --> 00:10:41.720]   Like fundamentally I also don't feel like they're that bad at multi-step reasoning
[00:10:41.720 --> 00:10:46.320]   I actually think that they are bad at mental multi-step reasoning, but they're not allowed to think out loud
[00:10:46.320 --> 00:10:51.640]   But when they are allowed to think out loud, they're quite good and I expect this to improve
[00:10:51.640 --> 00:10:53.480]   significantly
[00:10:53.480 --> 00:11:00.280]   Both with better models and with special training. Hmm. Are you running out of reasoning tokens on the Internet? Are there enough of them? I
[00:11:00.280 --> 00:11:02.800]   Mean, you know, it's okay
[00:11:02.800 --> 00:11:04.520]   So for context on this question
[00:11:04.520 --> 00:11:10.400]   Like there is there are claims that indeed at some point we'll run out of tokens in general to train those models
[00:11:10.400 --> 00:11:13.920]   And yeah, I think this will happen one day and we'll by the time that happens
[00:11:13.920 --> 00:11:21.840]   We need to have other ways of training models other ways of productively improving their capabilities and sharpening their behavior making sure they're
[00:11:22.280 --> 00:11:29.280]   Doing exactly precisely what we want without more data. Well, I mean you haven't run out of data yet. There's more
[00:11:29.280 --> 00:11:33.760]   Yeah, I would say I would say the data situation is still quite good. There are still lots to go
[00:11:33.760 --> 00:11:39.720]   But at some point, yeah at some point data will run. Okay, where what is the most valuable source of data?
[00:11:39.720 --> 00:11:44.740]   Is it Reddit, Twitter, books? What would you train many other tokens of other varieties for?
[00:11:44.740 --> 00:11:48.280]   Generally speaking you'd like tokens which are
[00:11:48.760 --> 00:11:53.400]   Speaking about smarter things tokens, which are like more interesting. Yeah
[00:11:53.400 --> 00:11:58.800]   So, I mean all this all the sources which you mentioned they're valuable. Okay, so maybe not Twitter, but
[00:11:58.800 --> 00:12:04.000]   Do we need to go multimodal to get more tokens or do we still have enough text tokens left?
[00:12:04.000 --> 00:12:09.500]   I mean, I think that you can still go very far in text only but going multimodal seems like a very fruitful direction
[00:12:09.500 --> 00:12:14.880]   Mm-hmm. If you're comfortable talking about this, like where is the place where we haven't scraped the tokens yet? Oh, I mean
[00:12:16.200 --> 00:12:21.080]   Yeah, obviously, I mean I can't answer that question for us, but I'm sure I'm sure that for everyone
[00:12:21.080 --> 00:12:22.520]   There's a different answer to that question
[00:12:22.520 --> 00:12:29.480]   How many orders of magnitude improvement can we get just not from scale or not from data, but just from algorithmic improvements?
[00:12:29.480 --> 00:12:32.480]   Hard to answer, but I'm sure there is some
[00:12:32.480 --> 00:12:37.400]   Is some a lot or is some a little? I mean, it's only one way to find out. Okay
[00:12:37.400 --> 00:12:41.240]   Let me get to your like quick-fire opinions about these different research directions
[00:12:41.760 --> 00:12:48.120]   Retrieval transformers, so just like somehow storing the data outside of the model itself and retrieving it somehow. Seems promising
[00:12:48.120 --> 00:12:52.400]   What do you see of that as a path forward or? I think it seems promising
[00:12:52.400 --> 00:12:56.960]   Robotics, was it the right step for open AI to leave that behind?
[00:12:56.960 --> 00:13:05.200]   Yeah, it was. Like back then it really wasn't possible to continue working in robotics because there was so little data like
[00:13:05.200 --> 00:13:08.880]   Back then if you wanted to do in robot, if you wanted to work in robotics
[00:13:09.120 --> 00:13:14.480]   You needed to become a robotics company. You needed to really have a giant group of people
[00:13:14.480 --> 00:13:18.600]   working on building robots and maintaining them and having
[00:13:18.600 --> 00:13:24.640]   And even then like if you only if you're gonna have a hundred robots, it's a giant operations already
[00:13:24.640 --> 00:13:26.480]   But you're not gonna get that much data
[00:13:26.480 --> 00:13:28.480]   so in a world
[00:13:28.480 --> 00:13:33.120]   Where most of the progress comes from the combination of compute and data
[00:13:33.880 --> 00:13:38.840]   Right. That's where we've been where it was the combination of compute and data that drove the progress
[00:13:38.840 --> 00:13:43.120]   There was no path to data from robotics
[00:13:43.120 --> 00:13:45.280]   so
[00:13:45.280 --> 00:13:50.040]   Back in the day when you made a decision to stop working in robotics, there was no path forward
[00:13:50.040 --> 00:13:53.360]   Is there one now?
[00:13:53.360 --> 00:13:57.680]   So I'd say that now it is possible to create a path forward
[00:13:57.960 --> 00:14:04.280]   But one needs to really commit to the task of robotics. You really need to say I'm going to build
[00:14:04.280 --> 00:14:07.280]   like many
[00:14:07.280 --> 00:14:10.200]   thousands tens of thousands hundreds of thousands of robots and
[00:14:10.200 --> 00:14:16.280]   Somehow collect data from them and find a gradual path where the robots are doing something slightly more useful
[00:14:16.280 --> 00:14:21.640]   And then the data that they get from these robots and then the data that is obtained and used to train the models
[00:14:21.640 --> 00:14:25.000]   And they do something it's slightly more useful. So you could imagine it's kind of gradual path of improvement
[00:14:25.120 --> 00:14:28.520]   Where you build more robots they do more things you collect more data and so on
[00:14:28.520 --> 00:14:33.600]   But you really need to be committed to this path. If you say I want to make robotics happen
[00:14:33.600 --> 00:14:39.320]   That's what you need to do. I believe that there are companies who are thinking about such doing exactly that
[00:14:39.320 --> 00:14:46.160]   But I think that you need to really love robots and need to be really willing to solve all the physical and logistical
[00:14:46.160 --> 00:14:49.520]   Problems of dealing with them. It's not the same as software at all
[00:14:50.120 --> 00:14:55.360]   So I think one could make progress in robotics today with enough motivation
[00:14:55.360 --> 00:15:00.360]   What ideas are you excited to try but you can't because they don't work well on current hardware. I
[00:15:00.360 --> 00:15:06.000]   Don't think current hardware is a limitation. Okay, I think it's just not the case. Got it
[00:15:06.000 --> 00:15:08.280]   So but anything you want to try you can just spin it up
[00:15:08.280 --> 00:15:16.000]   I mean, of course like this the thing you might say well, I wish current hardware was cheaper or maybe it had higher
[00:15:17.120 --> 00:15:21.120]   Like maybe maybe it would be better if it was higher memory processor bandwidth, let's say
[00:15:21.120 --> 00:15:25.280]   But
[00:15:25.280 --> 00:15:33.240]   By and large hardware is just a limitation. Let's talk about alignment. Do you think we'll ever have a mathematical definition of alignment?
[00:15:33.240 --> 00:15:36.920]   Mathematical definition I think is unlikely. Uh-huh
[00:15:36.920 --> 00:15:44.520]   Like I do I do think that we will instead have multiple like like rather than rather than achieving one mathematical definition
[00:15:44.520 --> 00:15:46.520]   I think we'll achieve multiple
[00:15:46.520 --> 00:15:49.800]   definitions that look at alignment from different aspects and
[00:15:49.800 --> 00:15:54.240]   I think that this is how we will get the assurance that we want
[00:15:54.240 --> 00:15:59.660]   And by which I mean you can look at the behavior. You can look at the behavior in various tests
[00:15:59.660 --> 00:16:06.920]   In various adversarial stress situations. You can look at how the neural net operates from the inside. I
[00:16:06.920 --> 00:16:10.560]   Think you have to look at all several of these
[00:16:11.320 --> 00:16:15.360]   Factors at the same time and how sure do you have to be before you release a model in the while?
[00:16:15.360 --> 00:16:18.360]   Is it 100% 95% depends how capable the model is?
[00:16:18.360 --> 00:16:24.040]   The more capable the model is the more the more the higher the more confident you need to be
[00:16:24.040 --> 00:16:26.860]   Okay, so just say it's something that's almost AGI. Where is AGI?
[00:16:26.860 --> 00:16:30.960]   Well depends what your AGI can do. Keep in mind that AGI is an ambiguous term also like
[00:16:30.960 --> 00:16:33.520]   like your
[00:16:33.520 --> 00:16:36.880]   Average college undergrads is an AGI, right?
[00:16:39.280 --> 00:16:45.560]   You see what I mean, there's significant ambiguity in terms of what is meant by AGI. Mm-hmm. So depending on where you put this
[00:16:45.560 --> 00:16:51.880]   Mark, you need to be more or less confident. Well, you mentioned a few of the paths towards alignment earlier
[00:16:51.880 --> 00:16:53.840]   What is the one you think is most promising at this point?
[00:16:53.840 --> 00:17:00.000]   Like I think that it will be a combination. I really think that you will not want to have just one approach
[00:17:00.000 --> 00:17:02.000]   I think people want to have a
[00:17:03.280 --> 00:17:10.320]   Combination of approaches where we you spend a lot of compute but adversarially probing to find any mismatch between the
[00:17:10.320 --> 00:17:17.400]   Behavior that you wanted to teach in the behavior that it exhibits. We look inside into the neural net using another neural
[00:17:17.400 --> 00:17:22.120]   To understand how it how it operates on the inside. I think all of them will be necessary
[00:17:22.120 --> 00:17:24.920]   every approach like this
[00:17:24.920 --> 00:17:27.280]   reduces the probability of
[00:17:27.280 --> 00:17:28.960]   misalignment and
[00:17:28.960 --> 00:17:31.160]   you also want to be in a world where you're
[00:17:32.880 --> 00:17:37.960]   Degree of alignment keeps of increasing faster than the capability of the models
[00:17:37.960 --> 00:17:41.920]   I would say that right now our understanding of our models is still quite
[00:17:41.920 --> 00:17:50.360]   rudimentary we made some progress but much more progress is possible and so I would expect that ultimately the thing that will really succeed is when
[00:17:50.360 --> 00:17:51.600]   we will have a
[00:17:51.600 --> 00:17:53.600]   Small neural net that is well understood
[00:17:53.600 --> 00:17:58.820]   That's given the task to study the behavior of a large neural net that is not understood to verify
[00:17:59.200 --> 00:18:05.560]   By what point is most of the research being done by AI? I mean, so today when you use co-pilot, right?
[00:18:05.560 --> 00:18:10.040]   What fraction how do you do the how do you divide it up?
[00:18:10.040 --> 00:18:12.660]   So I expect at some point you ask your, you know
[00:18:12.660 --> 00:18:18.280]   Descendant of Chad GPT you say hey, like I'm thinking about this and this can you suggest fruitful ideas?
[00:18:18.280 --> 00:18:21.280]   I should try and you would actually get fruitful ideas. Mm-hmm
[00:18:21.280 --> 00:18:24.440]   I don't think that will make it possible for you to solve problems you couldn't solve before
[00:18:24.680 --> 00:18:29.120]   Got it, but it's somehow just telling the humans keeping them ideas a faster or something
[00:18:29.120 --> 00:18:31.680]   It's not itself interacting with the one example
[00:18:31.680 --> 00:18:33.680]   I mean you could you could slice it in in a variety of ways
[00:18:33.680 --> 00:18:39.760]   But I think the bottleneck there is what idea is good insights and that's something which the neural nets could help us with
[00:18:39.760 --> 00:18:45.880]   Mm-hmm, if you design some like a billion dollar prize for some sort of alignment research result or product
[00:18:45.880 --> 00:18:48.720]   What is like the concrete criteria would set for that billion dollar price?
[00:18:48.720 --> 00:18:52.040]   There's something that makes sense for such a price. I it's funny that you asked this
[00:18:52.040 --> 00:18:56.560]   I was actually thinking about this exact question. I haven't I haven't come up with an exact criteria yet
[00:18:56.560 --> 00:19:01.240]   maybe something that with the benefit like maybe a prize where
[00:19:01.240 --> 00:19:04.240]   We could say that
[00:19:04.240 --> 00:19:10.280]   Two years later or three or five years later. We'll look back and say it like that was the main result
[00:19:10.280 --> 00:19:14.680]   So rather than say that there is a prize committee that decides right away
[00:19:14.680 --> 00:19:19.800]   You wait for five years and then award it retroactively, but there's no concrete thing
[00:19:19.800 --> 00:19:24.480]   We can identify yet as it like you solve this particular problem and you're you made a lot of progress. I
[00:19:24.480 --> 00:19:27.880]   think a lot of progress yet, so I wouldn't say that this would be the
[00:19:27.880 --> 00:19:34.240]   The full thing. Mm-hmm. Do you think end-to-end training is the right architecture for?
[00:19:34.240 --> 00:19:38.920]   Bigger and bigger models or do we need better ways of just connecting things together?
[00:19:38.920 --> 00:19:43.080]   I think end-to-end training is very promising. I think connecting things together is very promising
[00:19:43.680 --> 00:19:49.520]   Everything is promising. So OpenAI is projecting revenues of a billion dollars in 2024
[00:19:49.520 --> 00:19:54.160]   That might very well be correct. But I'm just curious when you're talking about a new general-purpose technology
[00:19:54.160 --> 00:19:57.280]   How do you estimate how big a windfall it'll be?
[00:19:57.280 --> 00:19:59.920]   Like why that particular number?
[00:19:59.920 --> 00:20:05.760]   I mean you look at the current you look at the you know, we've already had a so we've had a product
[00:20:05.760 --> 00:20:12.720]   For quite a while now for back from the GPT three days from two years ago through the API and we've seen how it grew
[00:20:12.720 --> 00:20:16.000]   We've seen how the response to DALY has grown as well
[00:20:16.000 --> 00:20:20.320]   And so you see how the response to chat GPT is and I think all of this gives us information
[00:20:20.320 --> 00:20:25.440]   That allows us to make a relatively sensible extrapolation to 2024
[00:20:25.440 --> 00:20:29.440]   Maybe that would be that'd be one answer like you need to have data
[00:20:29.440 --> 00:20:34.560]   you can't come up with those things out of thin air because otherwise your error bars will be like off by
[00:20:34.560 --> 00:20:38.920]   Your error bars are going to be like a hundred X in each direction
[00:20:38.920 --> 00:20:41.680]   I mean that most exponentials don't stay exponential
[00:20:41.680 --> 00:20:46.520]   Especially when they get into bigger and bigger quantities, right? So how do you determine in this case that I
[00:20:46.520 --> 00:20:49.600]   mean, like would you bet against AI?
[00:20:49.600 --> 00:20:53.560]   Not after talking with you
[00:20:53.560 --> 00:20:57.920]   Let's talk about what like a post-AGI future looks like. So are people like you, you know
[00:20:57.920 --> 00:21:00.600]   I'm guessing you're working like 80-hour weeks towards this grand goal
[00:21:00.600 --> 00:21:05.480]   That you're really obsessed with. Are you gonna be satisfied in a world where you're basically living in an AI retirement home?
[00:21:05.480 --> 00:21:10.240]   Or like what is your what are you constantly doing after AGI comes?
[00:21:10.240 --> 00:21:17.240]   I think the question of what what I'll be doing or what people will be doing after AGI comes is a very tricky question
[00:21:17.240 --> 00:21:23.080]   You know, I think where will people find meaning but I think I think that that's something that AI could help us with
[00:21:23.080 --> 00:21:26.080]   like
[00:21:26.080 --> 00:21:29.040]   One thing I imagine is that
[00:21:29.040 --> 00:21:34.600]   We'll all be able to become more enlightened because we'd interact with an AGI that will help us
[00:21:35.320 --> 00:21:37.320]   See the world more correctly
[00:21:37.320 --> 00:21:43.280]   Become better on the inside as a result of interaction like imagine talking to the best meditation teacher in history
[00:21:43.280 --> 00:21:45.280]   I think that will be a helpful thing
[00:21:45.280 --> 00:21:47.680]   but I also think that
[00:21:47.680 --> 00:21:51.520]   Because the world will change a lot. It will be very hard for people to understand
[00:21:51.520 --> 00:21:58.080]   What is happening precisely and how to really contribute. One thing that I think
[00:21:59.160 --> 00:22:02.360]   Some people will choose to do is to become part AI in
[00:22:02.360 --> 00:22:09.880]   Order to really expand their minds and understanding to really be able to solve the hardest problems that society will face then
[00:22:09.880 --> 00:22:11.780]   Are you gonna become part of AI?
[00:22:11.780 --> 00:22:16.840]   Very tempting. It is tempting. Yeah. Well, do you think they'll be physically embodied humans and
[00:22:16.840 --> 00:22:18.720]   3,000?
[00:22:18.720 --> 00:22:21.400]   3,000. Oh, how do I know it's gonna have any 3,000?
[00:22:21.400 --> 00:22:22.600]   Like what does it look like?
[00:22:22.600 --> 00:22:27.480]   Are there still like humans walking around on earth or have you guys thought concretely about what you actually want this world to look like?
[00:22:27.800 --> 00:22:31.200]   3,000 well, I mean that that that the thing is here's the thing
[00:22:31.200 --> 00:22:36.360]   let me let me describe to you what I think is not quite right about the question like it implies like oh like we
[00:22:36.360 --> 00:22:39.280]   Get to decide how we want the world to look like. I
[00:22:39.280 --> 00:22:42.000]   Don't think that picture is correct. I think
[00:22:42.000 --> 00:22:46.720]   Change is the only constant and so of course even after a AGI is built
[00:22:46.720 --> 00:22:51.880]   it doesn't mean that the world will be static the world will continue to change the world will continue to evolve and
[00:22:53.240 --> 00:23:00.640]   it will go through all kinds of transformations and I really have no I don't think anyone has any idea of how the world will
[00:23:00.640 --> 00:23:01.760]   look like in
[00:23:01.760 --> 00:23:04.960]   3,000 but I do hope that there will be a lot of
[00:23:04.960 --> 00:23:11.360]   Descendants of human beings who will live happy fulfilled lives where they're free to do as their wish as they see fit
[00:23:11.360 --> 00:23:13.720]   Where they are the ones who are?
[00:23:13.720 --> 00:23:17.860]   Solving their own problems like one of the things which I would not want one one one world
[00:23:17.860 --> 00:23:20.480]   Which I would find very unexciting is one where you know
[00:23:20.480 --> 00:23:23.720]   We feel this powerful tool and then the government said, okay, so
[00:23:23.720 --> 00:23:28.760]   The AGI said that society shall be run in such a way and now we shall run society in such a way
[00:23:28.760 --> 00:23:30.880]   I'd much rather
[00:23:30.880 --> 00:23:38.440]   Have a world where people are still free to make their own mistakes and suffer their consequences and gradually evolve
[00:23:38.440 --> 00:23:42.200]   Morally and progress forward on their own through their own strength
