
[00:00:00.400 --> 00:00:06.400]   every time you hear about another airline award chart disappearing or hotel program devaluation
[00:01:54.400 --> 00:02:01.440]   one starwood point i believe it had a 25 or 30 000 point welcome bonus when it happened and the really
[00:02:01.440 --> 00:02:07.360]   cool thing about this card was you could earn starwood points but starwood points could transfer to airline
[00:02:07.360 --> 00:02:14.240]   miles and you could transfer 20 000 points to 25 000 airline miles because they added a bonus every 20 000
[00:02:14.240 --> 00:02:20.480]   points you transferred so if you did it at those intervals it was effectively a 1.25x on everything
[00:02:20.480 --> 00:02:27.920]   card it was amazing now we have 2x on everything cards so you can earn points way faster now i looked
[00:02:27.920 --> 00:02:34.080]   back at the original chase sapphire preferred launch it didn't even have 2x categories other than booking in
[00:02:34.080 --> 00:02:40.160]   the chase travel portal a couple years later in 2011 they added 2x on travel and then the next year they
[00:02:40.160 --> 00:02:46.720]   added 2x on dining it was revolutionary oh my gosh you could earn 2x on travel and dining it was amazing
[00:02:46.720 --> 00:02:54.320]   now we have cards that earn 5x on flights 4x on hotels 4x on dining things have just gotten so much
[00:02:54.320 --> 00:02:59.840]   better in the last 15 to 20 years when it comes to how much you can earn but also if you want to look
[00:02:59.840 --> 00:03:07.280]   back at what signup bonuses were i looked back and in the early 2000s people wrote articles about 10 20 30 40
[00:03:07.280 --> 00:03:15.440]   000 point welcome bonuses that was news i've had multiple 200 000 point signup bonuses and some even
[00:03:15.440 --> 00:03:21.680]   greater than that it's not even crazy to pass up a hundred thousand point signup bonus right now because
[00:03:21.680 --> 00:03:28.560]   they seem to happen so frequently when 10 15 years ago they were unheard of so are miles and points worth
[00:03:28.560 --> 00:03:36.160]   less now than they were 10 years ago they absolutely are but can you earn them at a way faster rate also yes
[00:03:36.160 --> 00:03:43.280]   in fact i would wager to say that the average dollar value of a welcome bonus the effective value and the
[00:03:43.280 --> 00:03:48.960]   effective return on your spend in terms of what are you getting in terms of points back relative to their
[00:03:48.960 --> 00:03:54.240]   value i think both of those have gone up in the past 20 years and it's why i still think that this
[00:03:54.240 --> 00:04:00.960]   is the golden age of credit card points and miles and what you can earn and so i am really excited to be
[00:04:00.960 --> 00:04:06.000]   diving into the actual value of those points because i think that there's a lot of value to be had here
[00:04:06.000 --> 00:04:11.840]   but it's important to know that not all points are the same so as i run through this episode i'm going
[00:04:11.840 --> 00:04:16.640]   to highlight the four different types of points so we know what we're talking about the first two are
[00:04:16.640 --> 00:04:22.240]   probably the ones almost everyone's familiar with airline and hotel points now one thing to keep in mind
[00:04:22.240 --> 00:04:27.360]   airline and hotel points usually aren't very portable hotel points you can usually transfer to other
[00:04:27.360 --> 00:04:32.800]   people but airline points i don't think you can in any program some of them do have points pooling so
[00:04:32.800 --> 00:04:37.840]   you can kind of book together with a friend and combine those points but most of them do let you
[00:04:37.840 --> 00:04:43.440]   book flights for other people so yes you might not be able to transfer your united or delta points to
[00:04:43.440 --> 00:04:48.240]   your family members or friends but you could book travel for them so keep that in mind they're not as
[00:04:48.240 --> 00:04:53.360]   portable now the third type of point is transferable points and these are my favorite these are the
[00:04:53.360 --> 00:05:00.000]   points you get from city capital one amex chase built wells fargo mesa brax us bank supposedly later
[00:05:00.000 --> 00:05:05.040]   this year tbd how valuable that will be and the reason i love them is because you just get so many
[00:05:05.040 --> 00:05:11.600]   options you can transfer those points to airlines and hotel groups you can use them in their travel portal
[00:05:11.600 --> 00:05:16.560]   effectively more like cashback some of those programs let you just take it as a statement credit
[00:05:16.560 --> 00:05:22.320]   and so there's just so much more flexibility with transferable points that i value them much higher
[00:05:22.320 --> 00:05:26.800]   than airline and hotel points it's a little bit strange because at the end of the day i usually use
[00:05:26.800 --> 00:05:32.880]   them to transfer to airline and hotel groups so you would argue why would they be worth more if i valued
[00:05:32.880 --> 00:05:39.440]   a hyatt point at 1.7 cents and i use my chase points for hyatt points by transferring how could my chase
[00:05:39.440 --> 00:05:45.520]   points be worth more but you could also ask me would i pay more for a point that could be an airline
[00:05:45.520 --> 00:05:50.480]   point at 10 different airlines or five different hotel groups than i would for an individual airline
[00:05:50.480 --> 00:05:55.440]   or hotel group and the answer is yes because you don't know where that availability is going to be
[00:05:55.440 --> 00:06:01.600]   the trip you want to take to europe or the trip you want to take to asia might be on one carrier that
[00:06:01.600 --> 00:06:06.800]   if you only accumulated delta miles you might never be able to book so having transferable points i think is
[00:06:06.800 --> 00:06:13.040]   way more valuable but also they have transfer bonuses so i went back and i looked historically
[00:06:13.040 --> 00:06:19.840]   on average amex wins here with 17 transfer bonuses a year on average and i'm looking at kind of year to
[00:06:19.840 --> 00:06:25.760]   date 2025 and 2024 and what that means is 17 different times throughout the year amex would give you anywhere
[00:06:25.760 --> 00:06:32.160]   from probably 10 to 30 percent more points when you move them to another airline or hotel group sometimes
[00:06:32.160 --> 00:06:38.720]   for hotel groups actually that amount was as much as 50 or even 100 transfer bonuses but for the most part
[00:06:38.720 --> 00:06:44.960]   with the airline groups that bonus is right around 24 to 27 percent i actually ran all the numbers for
[00:06:44.960 --> 00:06:52.880]   all of them historically so on airlines 21 to 27 percent on hotels 29 to 65 percent with one exception and
[00:06:52.880 --> 00:06:58.640]   that's built now built has had less transfer bonuses over the last few years in total since the beginning of
[00:06:58.640 --> 00:07:06.560]   2024 it's been 14 but if you have built status those transfer bonuses which always occur on the first of
[00:07:06.560 --> 00:07:14.720]   the month end up being as high as 100 or i think in some cases 175 percent on hotels that means that if
[00:07:14.720 --> 00:07:20.720]   you transfer a hundred thousand points to air canada aero plan there have been days where if you had the
[00:07:20.720 --> 00:07:25.920]   highest built status you would have 200 000 aero plan points so one of the reasons i think built points
[00:07:25.920 --> 00:07:31.360]   are worth more than all other points is that they've had these really lucrative transfer bonuses and even
[00:07:31.360 --> 00:07:38.400]   if you had the lowest tier of status within built it might only be 125 percent bonus or a 25 bonus where
[00:07:38.400 --> 00:07:44.400]   you'd get 125 of the points but that's still a meaningfully great bonus obviously if you can spend
[00:07:44.400 --> 00:07:50.160]   your way to platinum status and you get 100 transfer bonus that's even better so those transfer bonuses
[00:07:50.160 --> 00:07:55.680]   also give a little bit of a boost to the value of those transferable points so i love transferable
[00:07:55.680 --> 00:07:59.520]   points they're my favorite they're the things i'll talk about the most and then the last type of points
[00:07:59.520 --> 00:08:05.040]   is what i'll call fake points and they're with programs that might call what you earn points so in
[00:08:05.040 --> 00:08:09.920]   the case of bank of america you earn points but you can't really use those points for anything other than
[00:08:09.920 --> 00:08:16.000]   either booking travel or cashing out as a statement credit or just depositing into a bank account so if
[00:08:16.000 --> 00:08:20.080]   you can't transfer those points to airlines and if you can't use those points in an airline or hotel
[00:08:20.080 --> 00:08:23.920]   program i'm going to call them fake points i'm not even going to talk about them today i want to be
[00:08:23.920 --> 00:08:28.480]   clear that some programs call what you earn points even though you can't really do anything with them
[00:08:28.480 --> 00:08:33.600]   other than what you could do if they were also earned as cashback so that's the different types of
[00:08:33.600 --> 00:08:38.400]   points why is it important to know what they're worth why are we doing this episode today
[00:08:38.400 --> 00:08:43.520]   and i think there's really two reasons one is so you can compare points amongst themselves
[00:08:43.520 --> 00:08:48.240]   that might help you decide which card to open you might see a hundred thousand point sign up bonus for
[00:08:48.240 --> 00:08:53.120]   one card and a two hundred thousand point sign up bonus for another card but in the case of hotel
[00:08:53.120 --> 00:08:59.200]   points if those were hilton choice or ihg points you might not want two hundred thousand of them if you
[00:08:59.200 --> 00:09:03.520]   could otherwise have a hundred thousand transferable points and so it's helpful to compare the value of
[00:09:03.520 --> 00:09:10.080]   points to know which cards to open or which cards to use right some cards especially hotel cards might
[00:09:10.080 --> 00:09:14.880]   look like they earn a ton oh i can get 3x on everything with a hilton card but if those hilton
[00:09:14.880 --> 00:09:20.400]   points are only worth half a cent i'd much rather be earning 2x capital one points with a venture card
[00:09:20.400 --> 00:09:25.360]   because i think that's a better earning rate so that's something to keep in mind and then also i think the most important
[00:09:25.360 --> 00:09:31.920]   most important thing is to decide if this whole game makes sense if we compare earning points to earning
[00:09:31.920 --> 00:09:36.560]   cash back and by the way when i say points some programs call them miles we're going to bucket all
[00:09:36.560 --> 00:09:41.920]   of those in the same bucket if you compare them to earning cash back you can know if you're actually
[00:09:41.920 --> 00:09:46.800]   getting the value so if your points are worth two cents and you have a card that earns 2x points on
[00:09:46.800 --> 00:09:51.520]   everything then you're effectively earning four percent so if your best cash back alternative is
[00:09:51.520 --> 00:09:55.840]   a two percent card or even a three percent card you'd be way better off with points but if you go
[00:09:55.840 --> 00:09:59.920]   through the exercise we'll go through today and you decide that your points are really only worth one
[00:09:59.920 --> 00:10:05.760]   cent and you have a three percent cash back card well that 2x card is effectively earning you two percent
[00:10:05.760 --> 00:10:09.760]   and a three percent cash back card is earning you three percent you would be way better off earning
[00:10:09.760 --> 00:10:14.640]   cash back and paying to book all of your travel that said if you're comparing your points to your cash
[00:10:14.640 --> 00:10:20.000]   back and it's to tie or it's even close i'd always give the edge to cash back because you're not locked
[00:10:20.000 --> 00:10:24.080]   into anything right if you earn points and you decide later oh i'm not sure i do value them as
[00:10:24.080 --> 00:10:29.200]   much as i thought well you have them they're pretty hard to convert to cash in any way that's at least
[00:10:29.200 --> 00:10:34.720]   legal or by the terms and conditions of most of the programs but with cash back it's cash you can invest
[00:10:34.720 --> 00:10:39.760]   it you can earn a return on it you can do all kinds of things so if it's tie if it's close i would always
[00:10:39.760 --> 00:10:45.920]   err on the side of cash back this episode is brought to you by gelt when it comes to building wealth
[00:10:45.920 --> 00:10:52.320]   taxes are such a big part of the strategy and as tax time gets closer getting prepared now is so important
[00:10:52.320 --> 00:10:57.200]   and now that i'm working with gelt i finally feel like i have a partner i can trust to handle everything
[00:10:57.200 --> 00:11:04.160]   for my personal and business taxes think of gelt as the ultimate modern cpa of course they have an in-house
[00:11:04.160 --> 00:11:09.840]   team of expert cpas to work with who help you determine the most effective tax strategies to
[00:11:09.840 --> 00:11:15.200]   minimize risk and grow your wealth but they also have an amazing tech platform that gives you
[00:11:15.200 --> 00:11:20.800]   personalized guidance to maximize deductions tax credits and savings it also has an amazing document
[00:11:20.800 --> 00:11:26.080]   vault where you can upload all your files tag them with the relevant years and even see when your tax
[00:11:26.080 --> 00:11:31.600]   team has reviewed each one beyond that the tax library you get access to as a client has dozens of
[00:11:31.600 --> 00:11:36.720]   in-depth guides on things like choosing retirement plans taxes for new parents qualified business
[00:11:36.720 --> 00:11:44.000]   income or qbi and much more so if you're ready for a more premium proactive tax strategy to optimize and
[00:11:44.000 --> 00:11:49.840]   file your taxes you have to check out gelt and as an all the hacks listener you can skip the waitlist
[00:11:49.840 --> 00:12:00.320]   just go to allthehacks.com gelt gelt again that's allthehacks.com gelt to stop overpaying on taxes
[00:12:00.320 --> 00:12:06.960]   this episode is brought to you by fabric by gerber life i get it you probably don't love talking about
[00:12:06.960 --> 00:12:12.080]   life insurance it's not fun it's uncomfortable but here's the question if something happened to you
[00:12:12.080 --> 00:12:18.320]   tomorrow would your family be financially okay if you can't answer a resounding yes you probably should
[00:12:18.320 --> 00:12:23.360]   take a look at life insurance and probably just ignore all the crazy policies out there and focus
[00:12:23.360 --> 00:12:30.080]   on term life i personally think it is the best kind it's simple affordable and does exactly what you need
[00:12:30.080 --> 00:12:36.800]   and fabric makes it incredibly easy fabric by gerber life is term life insurance you can get done today
[00:12:36.800 --> 00:12:43.440]   made for busy parents like you all online on your schedule right from your couch you could be covered in
[00:12:43.440 --> 00:12:49.200]   under 10 minutes with no health exam required fabric has flexible policies to fit your family and your
[00:12:49.200 --> 00:12:54.320]   budget like a million dollars in coverage for less than a dollar a day and if you're young and healthy
[00:12:54.320 --> 00:13:01.120]   the time to lock in low rates is now and best of all with a 30-day money-back guarantee there's no risk
[00:13:01.120 --> 00:13:06.640]   and you can cancel at any time join the thousands of parents who trust fabric to help protect their
[00:13:06.640 --> 00:13:15.120]   family apply today in just minutes at meatfabric.com all the hacks that's meatfabric.com all the hacks
[00:13:15.120 --> 00:13:22.960]   m-e-e-t fabric.com all the hacks policies issued by western southern life assurance company not available in
[00:13:22.960 --> 00:13:28.400]   certain states price is subject to underwriting and health questions okay so what are these points worth i'm
[00:13:28.400 --> 00:13:33.120]   going to throw a lot at you in this episode and i'm going to do my best to recap and summarize things
[00:13:33.120 --> 00:13:38.160]   as we go and end with really strong takeaways so that everything makes sense and so here's how we're
[00:13:38.160 --> 00:13:42.640]   going to walk through this episode i'll start with some reasonable floor value for points so you understand
[00:13:42.640 --> 00:13:47.600]   kind of what's the base then we'll look at what most of the experts in this field say how do they value
[00:13:47.600 --> 00:13:52.560]   points but then we're actually going to dig into the data itself to see how that might change things and
[00:13:52.560 --> 00:13:56.640]   it's actually really interesting now i think we have access to data that can give us a better
[00:13:56.640 --> 00:14:00.560]   understanding of the value of points and who might get more or less value than other people
[00:14:00.560 --> 00:14:05.520]   then i'm going to talk about how you kind of need to personalize all this to your particular situation
[00:14:05.520 --> 00:14:10.080]   i'll talk about how to do that and what kinds of things might change those values and then we'll look
[00:14:10.080 --> 00:14:14.960]   at why there might need to be a ceiling or a cap on the value we give points because you can buy these
[00:14:14.960 --> 00:14:21.280]   points and so if the alternative of accumulating them is accumulating cash back and then buying them
[00:14:21.280 --> 00:14:26.000]   really we could set a ceiling on their value as to what we could buy them for i'll share where i net
[00:14:26.000 --> 00:14:30.880]   out on points and what i think the values are and finally i'm going to walk through all of my learnings
[00:14:30.880 --> 00:14:35.600]   looking at the best cashback cards and the best points cards to see if there's actually an easier
[00:14:35.600 --> 00:14:41.360]   way to approach this question and i think there might be so like i said we'll start with what are the
[00:14:41.360 --> 00:14:46.720]   floor value of these points if they're transferable points one of the great reasons that i love
[00:14:46.720 --> 00:14:51.600]   transferable points especially for people who are new to this is that you can often use transferable
[00:14:51.600 --> 00:14:58.000]   points in the travel portal of the program so if you log into amx you can go book flights or hotels
[00:14:58.000 --> 00:15:02.560]   with amx travel now you might only get one cent per point and you might by the end of this episode
[00:15:02.560 --> 00:15:08.480]   think that's not a lot but when you compare cashback cards to points cards if you guarantee yourself at
[00:15:08.480 --> 00:15:14.800]   least getting one cent on the points card it's an amazing hedge for not being able to get all the value
[00:15:14.800 --> 00:15:20.080]   you think booking flights and booking travel some of these programs even let you take statement credits
[00:15:20.080 --> 00:15:25.200]   so if you're able to take a statement credit for one cent then the floor value of points really should
[00:15:25.200 --> 00:15:30.240]   be somewhere around one cent because if you could book flights any flight you want in the portal or
[00:15:30.240 --> 00:15:35.440]   hotels or you could take a statement credit that one cent value is kind of the floor now if you have
[00:15:35.440 --> 00:15:41.840]   airline and hotel points you usually don't have as many options of how you cash them out however most
[00:15:41.840 --> 00:15:47.440]   airlines and hotels have two tiers of pricing they have their what i'll call saver pricing or
[00:15:47.440 --> 00:15:52.480]   standard award pricing which is where you really get outsized value but a lot of programs now have
[00:15:52.480 --> 00:15:59.120]   moved to this dynamic version of pricing where take united american alaska delta southwest there is some
[00:15:59.120 --> 00:16:05.360]   value where you can book any flight and that value tends to be around at least one cent so if you just
[00:16:05.360 --> 00:16:10.000]   need to book a flight on united and there's no saver availability there's no special deals you can still book
[00:16:10.000 --> 00:16:15.040]   that flight with your united miles and you'll usually get at least a cent of value so for me i think the
[00:16:15.040 --> 00:16:20.960]   floor value for transferable points for airline miles is usually around one cent for hotels it's a little
[00:16:20.960 --> 00:16:26.880]   tricky for reasons i'll explain but their values kind of widely change depending on the program and some
[00:16:26.880 --> 00:16:32.480]   of them don't have the ability to use them as easily if there aren't those standard awards i've often looked at the
[00:16:32.480 --> 00:16:40.480]   hilton calendar and seen oh this night it's 120 000 points and this next night it's 975 000 points so it
[00:16:40.480 --> 00:16:45.280]   can be a little crazy looking at that so i don't have a perfect floor for hotel points but i'm not sure we
[00:16:45.280 --> 00:16:49.760]   need one i just thought that was a good place to start now the easiest place to say how much are my
[00:16:49.760 --> 00:16:54.560]   points worth is to just look at what most of the experts are saying and you can decide whether you want
[00:16:54.560 --> 00:16:59.920]   to trust their valuations so i'm pulling up this article from the points guy every month they update
[00:16:59.920 --> 00:17:05.040]   it we're looking at their august 2025 valuations and they say hey what are credit card points and miles
[00:17:05.040 --> 00:17:11.520]   worth amex membership rewards two cents capital one 1.85 cents then they go down and say what are airline
[00:17:11.520 --> 00:17:17.120]   points of miles worth and they go through every airline and they give a value like delta sky miles 1.2
[00:17:17.120 --> 00:17:22.720]   cents they actually clarify that they recently increased this you go down in jet blue 1.45 cents and you can go
[00:17:22.720 --> 00:17:27.760]   down and see what they value these points are there are a few different people that do it a blog i really
[00:17:27.760 --> 00:17:32.560]   like one mile at a time does it as well i think they're a little bit more conservative with their point
[00:17:32.560 --> 00:17:39.200]   values and so here i'm seeing all the transferable points from them are 1.7 cents most of the airlines
[00:17:39.200 --> 00:17:45.840]   they value at 1.1 to it looks like about 1.5 cents and then on the hotels it's kind of across the board mostly
[00:17:45.840 --> 00:17:51.920]   because hyatt points and accord points are more valuable than all the others so if you look at all hotel
[00:17:51.920 --> 00:17:57.600]   points excluding those it's almost always in the 0.3 to 0.7 cents but hyatt points here are one and a
[00:17:57.600 --> 00:18:03.280]   half cents and accor points are actually at two cents but the devaluation of the us dollar has actually
[00:18:03.280 --> 00:18:09.200]   made them a little more valuable because accor points are fixed at two euro cents which is now worth about
[00:18:09.200 --> 00:18:14.320]   i think about 2.3 cents so you could look at the experts and just say what do they think now one of the
[00:18:14.320 --> 00:18:21.280]   things that's tricky about doing this is that most of these experts are basing it on the type of value that
[00:18:21.280 --> 00:18:26.400]   they think their readers and they themselves can get so if i look at the points guy valuation they're
[00:18:26.400 --> 00:18:32.880]   putting built points at 2.2 cents that is true if you take advantage of these transfer bonuses and you
[00:18:32.880 --> 00:18:37.280]   know what you're doing and you book flights in the way that a lot of these readers and a lot of the
[00:18:37.280 --> 00:18:43.520]   people writing these posts do frequent miler which is another blog that i love has a different approach
[00:18:43.520 --> 00:18:48.240]   they do what's called reasonable redemption values and they say they're looking at midpoint values that
[00:18:48.240 --> 00:18:54.000]   they think are reasonably easy to achieve so this is another approach and if you're not an expert in
[00:18:54.000 --> 00:18:58.480]   the industry and you don't know what you're doing yet this might be a better place to start they're
[00:18:58.480 --> 00:19:04.960]   going to value most transferable points at 1.3 to 1.55 cents lower than the other two by a pretty big
[00:19:04.960 --> 00:19:09.840]   margin but because they're saying this is what it's going to be worth if we make it easy if you want to
[00:19:09.840 --> 00:19:14.480]   get advanced obviously those can go up and so their reasonable redemption values i think are lower than the
[00:19:14.480 --> 00:19:19.440]   value i might get from points they bring an approach that i think is super helpful especially for people
[00:19:19.440 --> 00:19:25.120]   early in this but at the end of the day i prefer looking at the data and we have a few excellent
[00:19:25.120 --> 00:19:31.440]   sources for this so on the flight side there is a tool called points path and i don't have the data
[00:19:31.440 --> 00:19:36.480]   pulled up but just so people who aren't familiar if you're watching on video which by the way i think
[00:19:36.480 --> 00:19:41.920]   this episode and the previous episode will now be on video not just on youtube but on spotify i'm looking at
[00:19:41.920 --> 00:19:46.480]   google flights and what points path does when you search for google flights is they just go out and
[00:19:46.480 --> 00:19:51.520]   look at the points needed from that program and compare it so i'm looking here and it says oh from
[00:19:51.520 --> 00:20:00.160]   san francisco to jfk there's a jet blue flight it's 31 400 points plus 11 or 462 dollars now every time
[00:20:00.160 --> 00:20:06.160]   they do that math they save that data point and they have tons and tons of data now you can't access the
[00:20:06.160 --> 00:20:11.680]   data directly on your own but if you do go to the frequent miler website they've started using that
[00:20:11.680 --> 00:20:16.080]   data and they've reported on it and they've shared a bunch of it back so as an example if we look at
[00:20:16.080 --> 00:20:21.760]   some of this points path data i'm looking here for air canada they report a average value and a median
[00:20:21.760 --> 00:20:26.080]   value and so they're actually quite different and that's because a lot of the flights on the high end
[00:20:26.080 --> 00:20:29.920]   skew this data sometimes you'll find a last minute flight that might be a thousand dollars and it's a
[00:20:29.920 --> 00:20:34.080]   great deal with points but that doesn't mean that's the value you should expect and so there's
[00:20:34.080 --> 00:20:39.680]   medium values average values but the interesting thing is that they break out economy versus business
[00:20:39.680 --> 00:20:43.920]   and then they also break out domestic versus international now another source for this data
[00:20:43.920 --> 00:20:48.000]   which does a similar breakout is award wallet and award wallet is a tool that you can link a lot of
[00:20:48.000 --> 00:20:53.600]   your airline hotel and bank programs to they track the balances of all those programs i will say
[00:20:53.600 --> 00:20:59.440]   it's not quite as simple as it sounds the refreshing often needs you to have a browser extension installed
[00:20:59.440 --> 00:21:03.200]   or sync your email but for every one of their members that books a flight they see that in their
[00:21:03.200 --> 00:21:09.600]   email they go into a search using i think skyscanner and kiwi to find the cheapest tickets that meet a
[00:21:09.600 --> 00:21:16.240]   criteria that they've set which is same class of service same calendar day and no more than 20 percent
[00:21:16.240 --> 00:21:20.160]   longer in terms of travel time so they're going to go price these itineraries and then compare
[00:21:20.160 --> 00:21:25.440]   them to the number of points that the individual award wallet member used so if you look at the
[00:21:25.440 --> 00:21:30.240]   points path data it's based on all the flights out there whether someone actually ever booked it or not
[00:21:30.240 --> 00:21:35.200]   so it includes really bad redemptions that people might never do if you look at the award wallet data
[00:21:35.200 --> 00:21:40.320]   it's only the redemptions that people do and so you'll see that their average values are a lot higher
[00:21:40.320 --> 00:21:47.520]   so for example air canada aeroplan points the average value someone has gotten from award wallet is 1.85
[00:21:47.520 --> 00:21:53.600]   cents whereas the medium combined value of aeroplan points from points path is 1.18 cents so that's a
[00:21:53.600 --> 00:21:59.600]   pretty wide difference but i think where it gets more interesting is if you start to look at the value
[00:21:59.600 --> 00:22:06.160]   for domestic versus international economy versus business class so if i look at this for air canada
[00:22:06.160 --> 00:22:10.880]   for a domestic u.s flight and keep in mind for people thinking well air canada is not in the u.s
[00:22:10.880 --> 00:22:17.200]   this is people using the air canada program to book domestic u.s flights most likely those flights
[00:22:17.200 --> 00:22:23.120]   are on united so the median value for an economy domestic ticket is 1.2 cents whereas the median
[00:22:23.120 --> 00:22:29.520]   value for a domestic business ticket is 2.1 cents similarly on international the median value for an
[00:22:29.520 --> 00:22:36.080]   economy ticket is 1.08 cents and the median value for business is 1.53 cents and the median value for first
[00:22:36.080 --> 00:22:42.160]   class is 2.26 cents those averages are even higher so the average value of an international first class
[00:22:42.160 --> 00:22:47.840]   ticket is 3.67 cents now this is the points path data this is just all the flights that are seen
[00:22:47.840 --> 00:22:52.800]   if you actually look at what people are booking at least people who use award wallet i'll take air canada
[00:22:52.800 --> 00:22:57.200]   again but then i'll talk a little bit about alaska because it's just clear to see why alaska points are
[00:22:57.200 --> 00:23:03.920]   so valuable the average point value for a regional economy flight is 1.21 cents and then for a regional
[00:23:03.920 --> 00:23:11.200]   first class it goes up to 2.56 cents and then if you look at long haul business or first class 2.63 cents
[00:23:11.200 --> 00:23:16.640]   so the big takeaway here is that if you're using your miles for short domestic economy flights
[00:23:16.640 --> 00:23:23.920]   you're going to get less value for per mile than you are using your miles for long haul first or business
[00:23:23.920 --> 00:23:29.040]   class tickets now if you're doing international or you're doing business class domestic those are
[00:23:29.040 --> 00:23:34.560]   still more elevated values than domestic economy but the biggest bang for your buck is on long haul
[00:23:34.560 --> 00:23:39.280]   business this is probably not a surprise to most people listening if you scroll through all of the
[00:23:39.280 --> 00:23:48.320]   award wallet long haul business class valuations for different programs it's like 4.17 cents 2.39 cents 3.19
[00:23:48.320 --> 00:23:57.760]   3.92 3.28 almost all of them are one and a half to as high as 5.86 cents that's really high i'm not
[00:23:57.760 --> 00:24:03.680]   suggesting that everyone should value their points at 3 to 5 cents i'm just saying if you're using your
[00:24:03.680 --> 00:24:09.520]   points for international business class that's effectively what that value has been shown to be
[00:24:09.520 --> 00:24:15.200]   so if i'm looking at united i'm seeing united's points path data says that the medium value of economy
[00:24:15.200 --> 00:24:20.880]   is 1.09 cents but the median value of business class is 1.46 cents and these are tons of data
[00:24:20.880 --> 00:24:27.280]   points the total number of data points for united that this data is based off is 4.8 million flights
[00:24:27.280 --> 00:24:31.520]   so there's a lot of stuff going on here but there are two big takeaways for me so one is that huge
[00:24:31.520 --> 00:24:37.440]   difference you get between domestic and international economy versus business the other big takeaway is that
[00:24:37.440 --> 00:24:43.280]   some programs have a really wide band of potential point values and others don't at all and that's really
[00:24:43.280 --> 00:24:49.280]   notable when you're comparing the award wallet values to the points path values if you figure points path
[00:24:49.280 --> 00:24:55.200]   is everything award wallet is what the experts get and you compare those two you look at something like
[00:24:55.200 --> 00:25:02.960]   alaska where the experts are getting 2.12 cents and the kind of general data is getting 1.46 cents
[00:25:02.960 --> 00:25:07.120]   now these are just averages this is not looking at business or economy i took the average numbers
[00:25:07.120 --> 00:25:13.280]   but then you go down and you look at jet blue and you say wow all jet blue flights the average value is
[00:25:13.280 --> 00:25:18.880]   1.21 cents the experts the people using award wallet the people like me the average value they're getting
[00:25:18.880 --> 00:25:25.280]   from jet blue is 1.24 cents and that's because there are a handful of airlines delta southwest jet blue
[00:25:25.280 --> 00:25:30.320]   where it's just really hard to get outsized value now in the case of jet blue and southwest they're
[00:25:30.320 --> 00:25:36.160]   mostly a fixed value point it does change dynamically a little bit but i haven't heard of a lot of
[00:25:36.160 --> 00:25:42.320]   situations where someone booking a flight on jet blue or on southwest or usually on delta has gotten
[00:25:42.320 --> 00:25:48.160]   two three four five cents with jet blue adding a few transfer partners internationally maybe that's possible
[00:25:48.160 --> 00:25:54.000]   every now and then you might be wildly lucky and get an international partner booking from delta in
[00:25:54.000 --> 00:26:00.480]   business class that's greater than that but looking at delta here the average value that a award wallet
[00:26:00.480 --> 00:26:07.440]   user is getting is 1.34 cents so yes that's more than the 1.14 cents that most people are getting on
[00:26:07.440 --> 00:26:13.760]   points path which is just all the flights but honestly that value might come from the fact that i would
[00:26:13.760 --> 00:26:19.440]   guess most award wallet members have a delta american express card which gets you a 15 discount on your
[00:26:19.440 --> 00:26:25.440]   delta bookings and that might make up for that delta so when you look at the flight data the big takeaway
