
[00:00:00.000 --> 00:00:22.200]   Hello everybody. First things first, I actually have to apologize. I was coming into the fair
[00:03:31.620 --> 00:03:39.520]   at this point, right? We'll come back to this. I can imagine what you're thinking. Here's one of those slides.
[00:03:39.520 --> 00:03:52.520]   Okay, great. So in the spirit of getting to know you, let's talk about Windsurf a little bit. Raise your hand if you've heard of Windsurf.
[00:03:52.520 --> 00:04:00.420]   Okay, great. Raise your hand or keep your hand raised if you've used Windsurf. Awesome. So for those who are not familiar or as a refresher to all of you,
[00:04:00.420 --> 00:04:08.320]   we are, we offer an AI coding toolkit, right? And we package it in a couple different ways. One is through the Windsurf editor, right?
[00:04:08.320 --> 00:04:16.320]   Which looks similar to what Augment just showed. And also a Windsurf plugin that you can use in a variety of IDEs, right?
[00:04:16.320 --> 00:04:26.220]   The core value prop of Windsurf is this. Anything you do in an editor, you can do faster and you can do better.
[00:04:26.220 --> 00:04:36.120]   Now, I could stand here and give you the whole typical sales pitch, right? And I could give you the Windsurf overview.
[00:04:36.120 --> 00:04:42.120]   And I could give you Windsurf's differentiators. And I could give you Windsurf's pace of innovation. And I could give you, I don't even know who put this one in there,
[00:04:42.120 --> 00:04:47.020]   the Windsurf AI stack, right? Until you turn around and you might even say something like...
[00:04:47.020 --> 00:04:53.020]   No, no more Windsurf. We want...
[00:04:53.020 --> 00:05:01.020]   This talk was about Windsurf. This talk was about context, right? I know what you guys want. So I'm bringing it back. Just bear with me.
[00:05:01.020 --> 00:05:10.020]   What we've established so far, even in these funny introductions, are a couple things. One, it's hard to know someone based on surface level observations.
[00:05:10.020 --> 00:05:16.920]   Two, you can make educated guesses, though, through a variety of heuristics.
[00:05:16.920 --> 00:05:22.920]   Three, you can also make educated guesses via hard evidence. And you can combine those two things.
[00:05:22.920 --> 00:05:30.920]   And four, Windsurf helps you code. You'll have to take my word for it. We have some free promo codes at the booth afterwards, right?
[00:05:30.920 --> 00:05:38.920]   So that brings me to what I think is the principal problem of the coding AI space right now, which is this.
[00:05:38.920 --> 00:05:45.820]   It is not hard to generate code. And it hasn't been for a while.
[00:05:45.820 --> 00:05:52.820]   Anybody in this room in a couple hours or even less because of tools like Windsurf and Augment, right?
[00:05:52.820 --> 00:05:59.720]   It can help you spin up a simple UI, wrap around some premier model, take some user prompt and spit back an answer.
[00:05:59.720 --> 00:06:07.620]   Right? It is not hard to generate code.
[00:06:07.620 --> 00:06:08.620]   However, it is hard to generate code for you.
[00:06:08.620 --> 00:06:11.620]   Not because any of you are particular, you know, troublemakers.
[00:06:11.620 --> 00:06:13.620]   Maybe you are.
[00:06:13.620 --> 00:06:20.520]   But it is hard to generate code that fits into an existing, large code base.
[00:06:20.520 --> 00:06:24.520]   Adheres to organizational policies or standards.
[00:06:24.520 --> 00:06:26.520]   Adheres to personal preferences.
[00:06:26.520 --> 00:06:28.520]   Everybody has their own way they like to code.
[00:06:28.520 --> 00:06:29.520]   Right?
[00:06:29.520 --> 00:06:30.520]   And is future-proof.
[00:06:30.520 --> 00:06:34.520]   I'm not sure what I meant when I wrote this one on the slide 30 minutes ago.
[00:06:34.520 --> 00:06:38.420]   Let's skip that one, right?
[00:06:38.420 --> 00:06:49.420]   In short, right, what makes it feel so magical when you're using Windsurf and you accept a suggestion that feels like we're inside your head?
[00:06:49.420 --> 00:06:52.420]   Or when our agent Cascade recommends you do something in a certain way?
[00:06:52.420 --> 00:06:53.420]   And you say, that's exactly what I was thinking.
[00:06:53.420 --> 00:06:57.420]   That's exactly how I think about it.
[00:06:57.420 --> 00:07:01.320]   The answer is context.
[00:07:01.320 --> 00:07:10.520]   And there are two major pillars underpinning our context philosophy at Windsurf.
[00:07:10.520 --> 00:07:12.620]   What context?
[00:07:12.620 --> 00:07:13.620]   And how much?
[00:07:13.620 --> 00:07:17.220]   And I'm going to break both of these down for you.
[00:07:17.220 --> 00:07:18.220]   So the what.
[00:07:18.220 --> 00:07:21.120]   When we talk about context, what context are we talking about?
[00:07:21.120 --> 00:07:25.820]   Well, I like to think of it in two big buckets, right?
[00:07:25.820 --> 00:07:28.720]   The first bucket is heuristics.
[00:07:28.720 --> 00:07:34.920]   And the second bucket is hard evidence, like we spoke about in my intro.
[00:07:34.920 --> 00:07:39.820]   The first bucket is your behavior and what you do and what you are trying to do.
[00:07:39.820 --> 00:07:44.720]   The second bucket is your environment and the world around you.
[00:07:44.720 --> 00:07:50.420]   So things in the first bucket look like code above and below your cursor, open files.
[00:07:50.420 --> 00:07:51.920]   Files you've opened and then closed.
[00:07:51.920 --> 00:07:52.820]   In what order?
[00:07:52.820 --> 00:07:53.920]   What's ready?
[00:07:53.920 --> 00:07:55.420]   What's pasted on your clipboard?
[00:07:55.420 --> 00:07:58.020]   Copy to your clipboard, excuse me.
[00:07:58.020 --> 00:07:59.620]   You know, what's in your terminal?
[00:07:59.620 --> 00:08:00.420]   What have you been doing?
[00:08:00.420 --> 00:08:01.720]   What are you trying to do?
[00:08:01.720 --> 00:08:04.520]   How are you acting in this IDE?
[00:08:04.520 --> 00:08:08.120]   And the second bucket, the hard evidence, is stuff like code.
[00:08:08.120 --> 00:08:10.120]   Documentation, rules that you provide.
[00:08:10.120 --> 00:08:12.320]   Memories that the agent generates about you, right?
[00:08:12.320 --> 00:08:16.820]   More code, lots and lots of code and whatever else is in your repo, right?
[00:08:16.820 --> 00:08:18.220]   So it's two big buckets.
[00:08:18.220 --> 00:08:24.720]   It's user state and its state of your code base.
[00:08:24.720 --> 00:08:28.820]   And that ultimately brings us to sort of the magic formula, right?
[00:08:28.820 --> 00:08:32.320]   What is relevant output when it comes to coding agents?
[00:08:32.320 --> 00:08:41.220]   It's your prompt, plus the state of your code base, plus the user state.
[00:08:41.220 --> 00:08:43.320]   And this is part of the reason, right?
[00:08:43.320 --> 00:08:44.320]   There's secret sauce in here.
[00:08:44.320 --> 00:08:50.320]   But this is part of the reason that it feels so cool when Winserv generates something for you.
[00:08:50.320 --> 00:08:54.820]   So the second big pillar is how much.
[00:08:54.820 --> 00:09:00.220]   Now, for a while, a lot of people were focused on making context windows bigger and bigger.
[00:09:00.220 --> 00:09:04.020]   Let's just shove more context into this LLM call and it'll get better.
[00:09:04.020 --> 00:09:06.420]   And for a while, that was true, right?
[00:09:06.420 --> 00:09:08.920]   It continues to be true to an extent.
[00:09:08.920 --> 00:09:18.220]   But since day one, we have found much better results by optimizing for what context gets put into that window instead of just trying to make it bigger.
[00:09:18.220 --> 00:09:29.320]   And that also helps solve the issue of latency, which is not just a preference thing, but a core feature of good AI coding agents, right?
[00:09:29.320 --> 00:09:35.320]   So that brings us to the problem of finding relevant context.
[00:09:35.320 --> 00:09:38.120]   It is hard to find relevant context.
[00:09:38.120 --> 00:09:40.120]   It has gotten easier.
[00:09:40.120 --> 00:09:42.420]   Every product does it, right?
[00:09:42.420 --> 00:09:51.520]   But as your code base grows, it remains hard because it's hard to find relevant context quickly.
[00:09:51.520 --> 00:09:57.520]   And that is something that we at Winserv excel at because of our background in GPU optimization.
[00:09:57.520 --> 00:10:00.520]   We actually started as a company called Exifunction.
[00:10:00.520 --> 00:10:04.520]   So you can go look at this little history lesson on your own, right?
[00:10:04.520 --> 00:10:06.620]   We do this well, bluntly.
[00:10:06.620 --> 00:10:08.620]   We do this very well, right?
[00:10:08.620 --> 00:10:17.620]   And not only do we have stuff going on behind the scenes, but we build connectors for you to be able to do this at your level, at the user level, right?
[00:10:17.620 --> 00:10:27.620]   We have embedding search, memories, rules, custom workspaces, at mentions, plain text search, knowledge base, multimodal input, riptide, MCP, remote indexing, re-ranking, AST parsing.
[00:10:27.620 --> 00:10:31.720]   Some of these are more relevant than others, some of these make sense, some don't.
[00:10:31.720 --> 00:10:33.720]   Some are tangential, some aren't, right?
[00:10:33.720 --> 00:10:40.720]   But ultimately, we do this very well.
[00:10:40.720 --> 00:10:44.720]   So, I missed a slide there.
[00:10:44.720 --> 00:10:52.720]   So, ultimately, you know, this should give you a better picture of how we think about context at Winserv.
[00:10:52.720 --> 00:11:10.820]   You think about it in two ways, what context and how much, and the problem is not necessarily giving LLMs more and more context, but giving it more relevant context as it relates to your user state and as it relates to the state of your code base, right?
[00:11:10.820 --> 00:11:17.620]   And this is why when you use Winserv, you begin to ask yourself questions like, "Oh my God, does Winserv really know me?
[00:11:17.620 --> 00:11:19.120]   Have we met Winserv?"
[00:11:19.120 --> 00:11:24.920]   You might even say stuff like, "I am all of Winserv."
[00:11:24.920 --> 00:11:25.920]   Great.
[00:11:25.920 --> 00:11:32.320]   Hopefully, somebody got that as a sound bite and we can reuse it internally.
[00:11:32.320 --> 00:11:34.320]   That is what I wanted to talk about today.
[00:11:34.320 --> 00:11:36.520]   I have no idea how many minutes that was.
[00:11:36.520 --> 00:11:38.920]   I'm happy to take questions.
[00:11:38.920 --> 00:11:46.020]   Also, while Winserv does get to know you, you don't necessarily get to know Winserv back because it is a computer program.
[00:11:46.020 --> 00:11:51.820]   Maybe some of you have opinions on relationships with machines, but in general, I don't know if you can know them back.
[00:11:51.820 --> 00:11:59.620]   However, you are very much able to get to know some members of the Winserv team, such as the ones here today.
[00:11:59.620 --> 00:12:05.420]   So, I know we're wrapping up, but if you want to come by the booth, I will be there.
[00:12:05.420 --> 00:12:07.420]   Other members of Winserv will be there.
[00:12:07.420 --> 00:12:11.420]   If you are a developer looking for clarity on some of the items, come by.
[00:12:11.420 --> 00:12:16.420]   If you work at a company and you want to get Winserv into your enterprise, come by.
[00:12:16.420 --> 00:12:18.220]   You can talk as well.
[00:12:18.220 --> 00:12:20.220]   We love talking about that.
[00:12:20.220 --> 00:12:29.220]   But other than that, I will wrap up with questions, unless somebody has a better idea of something to do.
[00:12:29.220 --> 00:12:30.220]   Pull the room real quick.
[00:12:30.220 --> 00:12:31.220]   Go ahead.
[00:12:31.220 --> 00:12:34.220]   About privacy .
[00:12:34.220 --> 00:12:36.020]   Yes, yes.
[00:12:36.020 --> 00:12:39.020]   So, it is a variety of heuristics.
[00:12:39.020 --> 00:12:41.020]   Oh, that got everybody leaving.
[00:12:41.020 --> 00:12:43.020]   .
[00:12:43.020 --> 00:12:51.020]   So, I imagine when you are asking about privacy, you mean the storage and training of those things?
[00:12:51.020 --> 00:12:55.820]   .
[00:12:55.820 --> 00:12:56.820]   Yep.
[00:12:56.820 --> 00:12:57.820]   Yep.
[00:12:57.820 --> 00:13:02.820]   So, to be clear, we are only processing information about you in your editor, right?
[00:13:02.820 --> 00:13:06.820]   It's not like we have access to your operating machine, obviously, right?
[00:13:06.820 --> 00:13:13.820]   And, much like every other LLM-based tool that you interact with, that information does leave and go to our servers.
[00:13:13.820 --> 00:13:15.820]   However, our servers are stateless.
[00:13:15.820 --> 00:13:17.820]   It is a pass-through transaction.
[00:13:17.820 --> 00:13:19.820]   We don't store any of your data ever.
[00:13:19.820 --> 00:13:22.620]   We don't train on any of your data ever.
[00:13:22.620 --> 00:13:28.620]   So, if you are interested in more of the security and legal guarantees, definitely, you know, come by or look on our website.
[00:13:28.620 --> 00:13:29.620]   But, yeah.
[00:13:29.620 --> 00:13:30.620]   This is some of it.
[00:13:30.620 --> 00:13:32.620]   .
[00:13:32.620 --> 00:13:36.620]   .

