
[00:00:00.000 --> 00:00:05.920]   Welcome everyone.
[00:07:25.840 --> 00:07:29.040]   At the same time, we also identify some datasets where
[00:07:29.040 --> 00:07:32.000]   GPT-3's few-shot learning still struggles,
[00:07:32.000 --> 00:07:34.040]   as well as some datasets where GPT-3
[00:07:34.040 --> 00:07:38.360]   faces methodological issues related to training on large web corpora.
[00:07:38.360 --> 00:07:39.760]   I also love this sentence.
[00:07:39.760 --> 00:07:41.560]   It's again, very open about what they
[00:07:41.560 --> 00:07:43.560]   achieved and where the limitations are.
[00:07:43.560 --> 00:07:45.080]   They're acknowledging that they found
[00:07:45.080 --> 00:07:47.240]   some tasks that are still hard for the model,
[00:07:47.240 --> 00:07:49.680]   and they also acknowledge in the paper that they had
[00:07:49.680 --> 00:07:53.280]   some minor slip-ups where they intended to make sure they
[00:07:53.280 --> 00:07:55.800]   hadn't trained on data that was relevant for
[00:07:55.800 --> 00:07:58.000]   the test task that they were performing,
[00:07:58.000 --> 00:08:00.760]   and in fact, they had not quite gotten that right.
[00:08:00.760 --> 00:08:04.000]   They're being very open about that and exploring
[00:08:04.000 --> 00:08:07.880]   how hard it is to get that right at the scale that they're operating at.
[00:08:07.880 --> 00:08:10.280]   Just like the GPT-2 paper,
[00:08:10.280 --> 00:08:16.080]   a wonderfully open and thorough exploration of the ideas.
[00:08:16.080 --> 00:08:26.080]   [BLANK_AUDIO]

