
[00:00:00.000 --> 00:00:04.640]   >> Well, good afternoon.
[00:17:53.320 --> 00:17:57.040]   this, or have these kind of struggles, or have these kind of issues.
[00:17:57.040 --> 00:18:03.480]   At that moment, when we're with 5,000 other men, we realize we're not alone.
[00:18:03.480 --> 00:18:05.120]   Everyone faces this.
[00:18:05.120 --> 00:18:10.600]   Everyone faces this, and you all face it acutely, I recognize.
[00:18:10.600 --> 00:18:17.560]   And so, what I would like to do is to remind us about how, and what to do,
[00:18:17.560 --> 00:18:24.200]   and how to think when we face definite loneliness, when we feel the pain
[00:18:24.200 --> 00:18:26.880]   of rejection and isolation.
[00:18:26.880 --> 00:18:32.440]   And at those moments when we're sad, it is not the moment, I recognize,
[00:18:32.440 --> 00:18:35.680]   to engage, maybe it is for you, but I don't think normally,
[00:18:35.680 --> 00:18:40.880]   it's a time where you want to engage in a complex theological proof and discussion,
[00:18:40.880 --> 00:18:45.740]   and to remember 57 different things, and to just arrange them all in order.
[00:18:45.740 --> 00:18:48.480]   At that moment, you just need a phrase.
[00:18:48.480 --> 00:18:53.640]   You just need a truth to hang on to, one that is rich, one that will minister
[00:18:53.640 --> 00:18:59.280]   to your heart, one that you can say quickly, but know with endurance.
[00:18:59.280 --> 00:19:02.800]   And the Bible gives that to us.
[00:19:02.800 --> 00:19:07.400]   The Bible has a refrain, and we should memorize it.
[00:19:07.400 --> 00:19:12.720]   We should memorize it for this afternoon, and carry it with the rest of our lives.
[00:19:12.720 --> 00:19:15.680]   And it is found in Hebrews 13, 5.
[00:19:15.680 --> 00:19:20.280]   And it's so simple, you almost don't need me to tell you it.
[00:19:20.280 --> 00:19:24.800]   You don't even necessarily need to turn your Bible there, although you should,
[00:19:24.800 --> 00:19:27.760]   but by the time you turn there, you'll have it memorized.
[00:19:27.760 --> 00:19:28.920]   You already will know it.
[00:19:28.920 --> 00:19:31.200]   "I will never leave or desert you.
[00:19:31.200 --> 00:19:34.040]   I will never forsake you."
[00:19:34.040 --> 00:19:35.200]   You know that phrase.
[00:19:35.200 --> 00:19:36.640]   We say it all the time.
[00:19:36.640 --> 00:19:38.320]   We say it all over the place.
[00:19:38.320 --> 00:19:39.240]   We know that.
[00:19:39.240 --> 00:19:40.440]   It's in the Old Testament.
[00:19:40.440 --> 00:19:41.720]   It's in the New Testament.
[00:19:41.720 --> 00:19:42.560]   It's everywhere.
[00:19:42.560 --> 00:19:43.840]   It's a catchphrase.
[00:19:43.840 --> 00:19:45.400]   We know that.
[00:19:45.400 --> 00:19:51.800]   But my goal this afternoon is to make sure we really understand the depths of it,
[00:19:51.800 --> 00:19:59.880]   so that when the trials come and we feel by ourselves that we can say that phrase,
[00:19:59.880 --> 00:20:05.840]   and we know exactly what it means, and let the truths therein minister
[00:20:05.840 --> 00:20:08.760]   to our soul as it is special revelation.
[00:20:08.760 --> 00:20:14.760]   So, the text that we're covering is Hebrews 13, verse 5.
[00:20:14.760 --> 00:20:16.680]   "I will never desert you.
[00:20:16.680 --> 00:20:19.160]   I will never forsake you."
[00:20:19.160 --> 00:20:23.440]   The context of Hebrews is really appropriate to discuss when we're talking
[00:20:23.440 --> 00:20:25.200]   about the issue of loneliness.
[00:20:25.200 --> 00:20:27.880]   And that might sound a little bit odd, but it's actually very,
[00:20:27.880 --> 00:20:31.720]   very both illuminating and hopefully encouraging.
[00:20:31.720 --> 00:20:34.840]   Because I think when we think about Hebrews, we often have a superficial
[00:20:34.840 --> 00:20:38.120]   understanding of the issues that the people of Hebrews,
[00:20:38.120 --> 00:20:39.880]   the audience of Hebrews, face.
[00:20:39.880 --> 00:20:43.000]   Yes, we know the book of Hebrews is about the supremacy of Christ.
[00:20:43.000 --> 00:20:46.160]   Yes, we know, perhaps, that Hebrews is not just a letter,
[00:20:46.160 --> 00:20:52.320]   but it's a motivational, inspirational, driving sermon and exhortation for people
[00:20:52.320 --> 00:20:55.040]   to cling to Christ with loyalty.
[00:20:55.040 --> 00:20:56.200]   Yes, we know.
[00:20:56.200 --> 00:21:01.600]   And we know that there is a warning and an urging never to go back to Judaism.
[00:21:01.600 --> 00:21:05.600]   Yes, we know, and we know that people were tempted to go back there.
[00:21:05.600 --> 00:21:09.680]   But why was all that happening in one word?
[00:21:09.680 --> 00:21:11.560]   It's very simple.
[00:21:11.560 --> 00:21:13.840]   They were lonely.
[00:21:13.840 --> 00:21:16.400]   They were lonely.
[00:21:16.400 --> 00:21:21.480]   Even to this day, in Jewish culture, this is how Christianity is understood.
[00:21:21.480 --> 00:21:27.080]   I one time was talking with a believer from Judaism, out of Judaism,
[00:21:27.080 --> 00:21:30.680]   and he's Jewish in ethnicity and background.
[00:21:30.680 --> 00:21:37.160]   And he said to me, "The day I was baptized, my family, not just my immediate family,
[00:21:37.160 --> 00:21:42.640]   my whole family, extended family, held a funeral for me.
[00:21:42.640 --> 00:21:47.400]   The very second I was baptized, they knew the minute and hour I was baptized,
[00:21:47.400 --> 00:21:50.960]   and they proclaimed me dead."
[00:21:50.960 --> 00:22:00.360]   That is the typical understanding in truly orthodox, to use the term,
[00:22:00.360 --> 00:22:05.560]   Jewish families about when someone believes in the Messiah.
[00:22:05.560 --> 00:22:07.920]   They are dead to us.
[00:22:07.920 --> 00:22:10.200]   We hold them a funeral.
[00:22:10.200 --> 00:22:15.040]   It's as if they don't exist in our world anymore.
[00:22:15.040 --> 00:22:19.480]   And what you had with these Jewish believers in the time of the author
[00:22:19.480 --> 00:22:24.520]   of Hebrews is a bunch of people who not only were facing the political trials
[00:22:24.520 --> 00:22:30.520]   of being Christians, but whose families and friends and lifelong associates had
[00:22:30.520 --> 00:22:34.120]   essentially cut them off.
[00:22:34.120 --> 00:22:38.160]   They were by themselves.
[00:22:38.160 --> 00:22:40.360]   And it's hard to be alone.
[00:22:40.360 --> 00:22:42.000]   It's hard to be by yourself.
[00:22:42.000 --> 00:22:46.560]   And that's why in the book of Hebrews, there's exhortations like this.
[00:22:46.560 --> 00:22:52.200]   Hebrews 3 verse 1, it says this, "Therefore, holy brothers,
[00:22:52.200 --> 00:22:54.320]   partakers of a heavenly calling."
[00:22:54.320 --> 00:22:57.080]   Why does the author of Hebrews call them brothers?
[00:22:57.080 --> 00:22:59.280]   Not just brothers, but holy brothers.
[00:22:59.280 --> 00:23:00.640]   Why does he remind them?
[00:23:00.640 --> 00:23:03.440]   You guys are partakers of a heavenly calling.
[00:23:03.440 --> 00:23:04.280]   It's simple.
[00:23:04.280 --> 00:23:07.760]   He reminds them, and he's urging them, "Yes, I know.
[00:23:07.760 --> 00:23:09.720]   You feel like you're gone from your family.
[00:23:09.720 --> 00:23:10.640]   Yes, I know.
[00:23:10.640 --> 00:23:12.560]   You feel like you're cut off from your friends.
[00:23:12.560 --> 00:23:13.440]   Yes, I know.
[00:23:13.440 --> 00:23:17.960]   You feel like you are disconnected from your community, but you still
[00:23:17.960 --> 00:23:19.840]   are holy brothers.
[00:23:19.840 --> 00:23:21.400]   You have a new family.
[00:23:21.400 --> 00:23:22.880]   You have a new fellowship.
[00:23:22.880 --> 00:23:24.320]   You have a new society.
