
[00:00:00.040 --> 00:00:10.660]   cur
[00:10:36.120 --> 00:11:04.600]  , I've tried to talk with my wife and say, "Okay, if I'm dead, here's what I recommend."
[00:11:04.600 --> 00:11:04.640]   I've tried to talk with my wife and say, "Okay, if I'm dead, here's what I recommend."
[00:11:04.640 --> 00:11:04.680]   I've tried to talk with my wife and say, "Okay, if I'm dead, here's what I recommend."
[00:11:04.680 --> 00:11:04.760]   I've tried to talk with my wife and say, "Okay, if I'm dead, here's what I recommend."
[00:11:04.760 --> 00:11:04.800]   I've tried to talk with my wife and say, "Okay, if I'm dead, here's what I'm dead, here's what I'm expecting."
[00:11:04.800 --> 00:11:04.840]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm dead, here's what I'm expecting."
[00:11:33.560 --> 00:11:33.560]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.560 --> 00:11:33.600]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.600 --> 00:11:33.680]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.680 --> 00:11:33.720]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.720 --> 00:11:33.760]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.760 --> 00:11:33.800]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:11:33.800 --> 00:11:33.840]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:01.960 --> 00:12:02.040]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:02.040 --> 00:12:02.080]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:02.080 --> 00:12:02.120]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:02.120 --> 00:12:02.160]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:02.160 --> 00:12:02.200]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:02.200 --> 00:12:02.240]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting."..
[00:12:02.240 --> 00:12:02.280]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting."..
[00:12:02.280 --> 00:12:30.760]  , I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.760 --> 00:12:30.800]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.800 --> 00:12:30.840]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.840 --> 00:12:30.880]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.880 --> 00:12:30.960]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.960 --> 00:12:30.960]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:30.960 --> 00:12:30.960]   I've tried to talk with my wife and say, "okay, if I'm dead, here's what I'm expecting.".
[00:12:31.000 --> 00:12:42.000]   50
[00:14:25.280 --> 00:14:35.560]   not
[00:14:35.560 --> 00:14:35.860]   the. I all... assurance. I have an money in the mission of the, the, the, the,lamation,
[00:14:50.760 --> 00:15:16.240]   Well, I think obviously credit, you need to make sure that credit is taken care of, that somebody's credit is protected. The simplest way to do that is just simply to have the credit open, the credit profiles open, when you are going through any kind of financial changes that need to be made, if you're getting credit cards or getting mortgages, things like that. But once you pass through that stage of life, or that phase of your finances, I think the best way to make sure that your credit is taken care of, is to make sure that you have the right amount of money available and she knows how to access it.
[00:15:16.280 --> 00:15:28.180]   come
[00:15:28.180 --> 00:15:45.740]   I be. I, disturbed, play the credit profiles. But, scarf dio
[00:15:46.300 --> 00:15:56.320]   I, disturbed, play the credit profiles. But, scarf dio
[00:15:56.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.320 --> 00:16:16.320]   - I, disturbed, play the credit profiles. But, scarf dio - I, disturbed, play the credit profiles. But, scarf dio
[00:16:16.360 --> 00:16:26.780]   continue
[00:16:26.780 --> 00:16:45.220]  ética, like,
[00:17:14.160 --> 00:17:14.160]   andy.
[00:17:14.220 --> 00:17:23.840]   hit
[00:17:23.840 --> 00:17:24.900]   all, won,
[00:17:24.900 --> 00:17:28.720]   gia
[00:17:28.720 --> 00:17:44.200]   talking . good. I have all things things corriinks120 secondo freioot don . It's the Q. I. I. I. I. I. A. I. I. I. The.rage the, theț, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, like, to be.는,дел Nationer ear in� compliment hope pass risky THISORM chief era ECS lastedaan --T lineup tal glad aired Они cód mour goodpes растinen pages presenters rec económ視 � dinner
[00:17:44.240 --> 00:17:54.580]   Mona
[00:17:54.580 --> 00:17:56.280]   de,,,
[00:21:18.800 --> 00:21:20.800]  �
[00:21:20.800 --> 00:21:35.220]   reuse ví get &說---- candle
[00:21:35.220 --> 00:21:47.700]   set I " broadcast세, I, I,,,,,,,,,,,,,,,,,,,,,,,. Erin저 belong surgical هذا 이거를 must Min want deanutch wouldn thörаю I. F. I, charactersDR. buys double lie. I. canned vocês.
[00:21:47.760 --> 00:22:17.740]   belong
[00:22:17.780 --> 00:22:27.140]   No, I'm not financially independent as measured by being able to live off of the income from my investments.
[00:22:27.140 --> 00:22:32.840]   But I am financially independent in the sense that there's almost nothing I can dream of doing,
[00:22:32.840 --> 00:22:36.920]   except stopping working and just quitting and not working ever again the rest of my life,
[00:22:36.920 --> 00:22:38.540]   which I don't dream of doing.
[00:22:38.540 --> 00:22:43.000]   I realize there's almost nothing that I can't dream of doing that I can't achieve.
[00:22:43.000 --> 00:22:47.780]   And it made me protect my cash a lot more than I ever did before.
[00:22:47.780 --> 00:22:47.800]   I realized that I can't achieve anything that I can't achieve.
[00:22:47.800 --> 00:22:47.800]   And it made me protect my cash a lot more than I ever did before.
[00:22:47.800 --> 00:22:47.800]   And it made me protect my cash a lot more than I ever did before.
[00:22:47.800 --> 00:22:47.800]   And it made me protect my cash a lot more than I ever did before.
[00:22:47.800 --> 00:22:47.800]   And it made me protect my cash a lot more than I ever did before.
[00:22:47.800 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before.
[00:23:17.820 --> 00:23:17.820]   And it made me protect my cash a lot more than I ever did before. And it made me protect my cash a lot more than I ever did before.
[00:23:17.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:23:47.840]   And it made me protect my cash a lot more than I ever did before.
[00:23:47.840 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before.
[00:24:17.860 --> 00:24:17.860]   And it made me protect my cash a lot more than I ever did before. And it made me protect my cash a lot more than I ever did before.
[00:24:17.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:24:47.880]   And it made me protect my cash a lot more than I ever did before.
[00:24:47.880 --> 00:25:17.900]  ,
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.900 --> 00:25:17.900]   And it made me protect my cash a lot more than I ever did before.
[00:25:17.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:25:47.920]   And it made me protect my cash a lot more than I ever did before.
[00:25:47.920 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.940 --> 00:26:17.940]   And it made me protect my cash a lot more than I ever did before.
[00:26:17.960 --> 00:26:47.960]   That's my answer to you, Andy.
[00:26:47.960 --> 00:26:47.960]   That's my answer to you, Andy.
[00:26:47.960 --> 00:26:47.960]   If you have a more specific question
[00:26:47.960 --> 00:26:47.960]   If you have a more specific question
[00:26:47.960 --> 00:26:47.960]   About how to actually use it maybe in your situation,
[00:26:47.960 --> 00:26:47.960]   But yes, my experience has been that it has opened up the world to me.
[00:26:47.960 --> 00:26:47.960]   Cool.
[00:26:47.960 --> 00:26:47.960]   Yeah, I think maybe I should have phrased that as,
[00:26:47.960 --> 00:26:47.960]   Do you think that saving $100,000 cash is a better thing to do before
[00:26:47.960 --> 00:26:47.960]   Yeah, I think maybe I should have phrased that as,
[00:26:47.960 --> 00:26:47.960]   You know, I think that saving $100,000 cash is a better thing to do before
[00:26:47.960 --> 00:26:47.960]   I think that saving $100,000 cash is a better thing to do before
[00:26:47.960 --> 00:26:47.960]   I think that saving $100,000 cash is a better thing to do before
[00:26:47.960 --> 00:26:47.960]   I think that saving $100,000 cash is a better thing to do before
[00:26:47.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:17.980 --> 00:27:17.980]   I think that saving $100,000 cash is a better thing to do before
[00:27:18.020 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.000 --> 00:27:48.000]   I think that saving $100,000 cash is a better thing to do before
[00:27:48.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.020 --> 00:28:18.020]   I think that saving $100,000 cash is a better thing to do before
[00:28:18.060 --> 00:28:48.040]  το save $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:28:48.040]   I think that saving $100,000 cash is a better thing to do before
[00:28:48.040 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.060 --> 00:29:18.060]   I think that saving $100,000 cash is a better thing to do before
[00:29:18.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:29:48.080]   I think that saving $100,000 cash is a better thing to do before
[00:29:48.080 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.100 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.100 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.100 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.100 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.100 --> 00:30:18.100]   I think that saving $100,000 cash is a better thing to do before
[00:30:18.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:30:48.120]   I think that saving $100,000 cash is a better thing to do before
[00:30:48.120 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.140 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.140 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.140 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.140 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.140 --> 00:31:18.140]   I think that saving $100,000 cash is a better thing to do before
[00:31:18.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
