
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:07:28.880 --> 00:07:32.300]   what happens is particular connections get reinforced
[00:07:32.300 --> 00:07:35.480]   and stronger and other connections are lost.
[00:07:35.480 --> 00:07:38.000]   So that's the first important principle that I want everyone
[00:07:38.000 --> 00:07:41.960]   to understand, which is that developmental plasticity,
[00:07:41.960 --> 00:07:44.760]   the neuroplasticity that occurs from the time we're born
[00:07:44.760 --> 00:07:49.000]   until about age 25 is mainly a process
[00:07:49.000 --> 00:07:53.320]   of removing connections that don't serve our goals well.
[00:07:53.320 --> 00:07:55.140]   Now, of course, certain events happen
[00:07:55.140 --> 00:07:58.360]   during that birth to 25 period
[00:07:58.360 --> 00:08:01.400]   in which positive events and negative events
[00:08:01.400 --> 00:08:03.820]   are really stamped down into our nervous system
[00:08:03.820 --> 00:08:05.480]   in a very dramatic fashion
[00:08:05.480 --> 00:08:07.400]   by what we call one trial learning.
[00:08:07.400 --> 00:08:08.840]   We experienced something once
[00:08:08.840 --> 00:08:12.240]   and then our nervous system is forever changed
[00:08:12.240 --> 00:08:13.460]   by that experience.
[00:08:13.460 --> 00:08:15.520]   Unless of course we go through some work
[00:08:15.520 --> 00:08:17.280]   to undo that experience.
[00:08:17.280 --> 00:08:20.500]   So I want you to imagine in your mind
[00:08:20.500 --> 00:08:22.520]   that when you were brought into this world,
[00:08:22.520 --> 00:08:27.500]   you were essentially a widely connected web of connections
[00:08:27.500 --> 00:08:31.460]   that was really poor at doing any one thing.
[00:08:31.460 --> 00:08:33.020]   And that through your experience,
[00:08:33.020 --> 00:08:36.220]   what you were exposed to by your parents or other caretakers
[00:08:36.220 --> 00:08:39.200]   through your social interactions, through your thoughts,
[00:08:39.200 --> 00:08:40.940]   through the languages that you learn,
[00:08:40.940 --> 00:08:43.160]   through the places you traveled or didn't travel,
[00:08:43.160 --> 00:08:45.460]   your nervous system became customized
[00:08:45.460 --> 00:08:47.900]   to your unique experience.
[00:08:47.900 --> 00:08:51.500]   Now, that's true for certain parts of your brain
[00:08:51.500 --> 00:08:53.880]   that are involved in what we call representations
[00:08:53.880 --> 00:08:55.280]   of the outside world.
[00:08:55.280 --> 00:08:58.160]   A lot of your brain is designed to represent the visual world
[00:08:58.160 --> 00:09:00.560]   or represent the auditory world
[00:09:00.560 --> 00:09:03.280]   or represent the gallery of smells
[00:09:03.280 --> 00:09:06.000]   that are possible in the world.
[00:09:06.000 --> 00:09:08.440]   However, there are aspects of your nervous system
[00:09:08.440 --> 00:09:11.560]   that were designed not to be plastic.
[00:09:11.560 --> 00:09:13.520]   They were wired so that plasticity
[00:09:13.520 --> 00:09:17.160]   or changes in those circuits is very unlikely.
[00:09:17.160 --> 00:09:19.200]   Those circuits include things like
[00:09:19.200 --> 00:09:21.140]   the ones that control your heartbeat,
[00:09:21.140 --> 00:09:23.000]   the ones that control your breathing,
[00:09:23.000 --> 00:09:24.760]   the ones that control your digestion.
[00:09:24.760 --> 00:09:27.640]   And thank goodness that those circuits were set up that way
[00:09:27.640 --> 00:09:30.460]   because you want those circuits to be extremely reliable.
[00:09:30.460 --> 00:09:31.940]   You never want to have to think about
[00:09:31.940 --> 00:09:33.300]   whether or not your heart will beat
[00:09:33.300 --> 00:09:34.920]   or whether or not you will continue breathing
[00:09:34.920 --> 00:09:37.680]   or whether or not you'll be able to digest your food.
[00:09:37.680 --> 00:09:41.760]   So many nervous system features like digestion
[00:09:41.760 --> 00:09:44.620]   and breathing and heart rate are hard to change.
[00:09:44.620 --> 00:09:47.040]   Other aspects of our nervous system
[00:09:47.040 --> 00:09:48.720]   are actually quite easy to change.
[00:09:48.720 --> 00:09:50.700]   And one of the great gifts of childhood,
[00:09:50.700 --> 00:09:52.560]   adolescence and young adulthood,
[00:09:52.560 --> 00:09:54.980]   is that we can learn through almost passive experience.
[00:09:54.980 --> 00:09:56.720]   We don't have to focus that hard
[00:09:56.720 --> 00:09:58.360]   in order to learn new things.
[00:09:58.360 --> 00:10:00.840]   In fact, children go from being able
[00:10:00.840 --> 00:10:03.240]   to speak no language whatsoever,
[00:10:03.240 --> 00:10:05.380]   to being able to speak many, many words
[00:10:05.380 --> 00:10:06.640]   and comprise sentences,
[00:10:06.640 --> 00:10:08.720]   including words they've never heard before,
[00:10:08.720 --> 00:10:09.720]   which is remarkable.
[00:10:09.720 --> 00:10:11.580]   It means that the portions of the brain
[00:10:11.580 --> 00:10:13.180]   involved in speech and language
[00:10:13.180 --> 00:10:16.580]   are actually primed to learn and create new combinations.
[00:10:16.580 --> 00:10:20.840]   What this tells us is that the young brain
[00:10:20.840 --> 00:10:23.160]   is a plasticity machine.
[00:10:23.160 --> 00:10:26.080]   But then right about age 25,
[00:10:26.080 --> 00:10:29.240]   plus or minus a year or two, everything changes.
[00:10:29.240 --> 00:10:32.320]   After age 25 or so,
[00:10:32.320 --> 00:10:34.780]   in order to get changes in our nervous system,
[00:10:34.780 --> 00:10:38.520]   we have to engage in a completely different set of processes
[00:10:38.520 --> 00:10:40.400]   in order to get those changes to occur
[00:10:40.400 --> 00:10:43.680]   and for them, more importantly, to stick around.
[00:10:43.680 --> 00:10:46.120]   And this is something that I think is vastly overlooked
[00:10:46.120 --> 00:10:49.560]   in the popular culture discussion about neuroplasticity.
[00:10:49.560 --> 00:10:52.680]   People always talk about fire together, wire together.
[00:10:52.680 --> 00:10:55.320]   Fire together, wire together is true.
[00:10:55.320 --> 00:10:57.280]   It is the statement of my colleague at Stanford,
[00:10:57.280 --> 00:11:00.780]   Carla Schatz, and it's an absolute truth
[00:11:00.780 --> 00:11:02.200]   about the way that the nervous system
[00:11:02.200 --> 00:11:04.520]   wires up early in development.
[00:11:04.520 --> 00:11:07.320]   But fire together, wire together
[00:11:07.320 --> 00:11:11.360]   doesn't apply in the same way after age 25.
[00:11:11.360 --> 00:11:15.040]   And so we have these little memes and these little quotes
[00:11:15.040 --> 00:11:17.140]   that circulate on the internet,
[00:11:17.140 --> 00:11:18.780]   like fire together, wire together,
[00:11:18.780 --> 00:11:22.440]   or there's a famous quote from the greatest neurobiologist
[00:11:22.440 --> 00:11:24.020]   of all time, Ramon y Cajal.
[00:11:24.020 --> 00:11:25.380]   I think it goes something like,
[00:11:25.380 --> 00:11:27.680]   should somebody wish to change their nervous system,
[00:11:27.680 --> 00:11:31.100]   they could be the sculptor of their nervous system
[00:11:31.100 --> 00:11:33.280]   in any way they want, something like that.
[00:11:33.280 --> 00:11:34.260]   And that sounds great.
[00:11:34.260 --> 00:11:36.220]   I mean, who wouldn't want to change their nervous system
[00:11:36.220 --> 00:11:37.320]   any way they want?
[00:11:37.320 --> 00:11:39.780]   But what's lost in those statements
[00:11:39.780 --> 00:11:41.920]   is how to actually accomplish that.
[00:11:41.920 --> 00:11:43.660]   And we're going to cover that today.
[00:11:43.660 --> 00:11:46.280]   But please understand that early in development,
[00:11:46.280 --> 00:11:49.340]   your nervous system is connected very broadly
[00:11:49.340 --> 00:11:52.080]   in ways that make it very hard to do anything well.
[00:11:52.080 --> 00:11:53.920]   From birth until about age 25,
[00:11:53.920 --> 00:11:55.880]   those connections get refined,
[00:11:55.880 --> 00:11:57.940]   mainly through the removal of connections
[00:11:57.940 --> 00:11:59.240]   that don't serve us.
[00:11:59.240 --> 00:12:02.020]   And the incredible strengthening of connections
[00:12:02.020 --> 00:12:04.020]   that relate to either powerful experiences
[00:12:04.020 --> 00:12:06.200]   or that allow us to do things like walk and talk
[00:12:06.200 --> 00:12:08.480]   and do math, et cetera.
[00:12:08.480 --> 00:12:10.640]   And then after age 25,
[00:12:10.640 --> 00:12:12.480]   if we want to change those connections,
[00:12:12.480 --> 00:12:14.600]   those super highways of connectivity,
[00:12:14.600 --> 00:12:17.680]   we have to engage in some very specific processes.
[00:12:17.680 --> 00:12:21.160]   And those processes as we'll soon learn are gated,
[00:12:21.160 --> 00:12:23.280]   meaning you can't just decide to change your brain.
[00:12:23.280 --> 00:12:25.300]   You actually have to go through a series of steps
[00:12:25.300 --> 00:12:27.400]   to change your internal state
[00:12:27.400 --> 00:12:30.280]   in ways that will allow you to change your brain.
[00:12:30.280 --> 00:12:33.040]   I just want to acknowledge that Costello is snoring
[00:12:33.040 --> 00:12:34.480]   particularly loud today.
[00:12:34.480 --> 00:12:38.720]   Some of you seem very keen at picking up on his snoring.
[00:12:38.720 --> 00:12:40.960]   Others of you can't hear his snoring.
[00:12:40.960 --> 00:12:43.980]   It's very low rumbling sound.
[00:12:43.980 --> 00:12:45.640]   And whether or not you can or you can't
[00:12:45.640 --> 00:12:47.740]   probably relates to the sensitivity of your hearing.
[00:12:47.740 --> 00:12:49.960]   We're actually going to talk about perfect pitch today
[00:12:49.960 --> 00:12:52.240]   and range of auditory detection.
[00:12:52.240 --> 00:12:54.740]   And so if you can hear Costello's snoring,
[00:12:54.740 --> 00:12:57.180]   enjoy, if you can't, enjoy.
[00:12:57.180 --> 00:13:01.840]   I want to talk about how the nervous system changes.
[00:13:01.840 --> 00:13:04.120]   What are these changes?
[00:13:04.120 --> 00:13:06.920]   Many of us have been captivated
[00:13:06.920 --> 00:13:08.840]   by the stories in the popular press
[00:13:08.840 --> 00:13:10.620]   about the addition of new neurons.
[00:13:10.620 --> 00:13:13.000]   This idea, oh, if you go running or you exercise,
[00:13:13.000 --> 00:13:15.420]   your brain actually makes new neurons.
[00:13:15.420 --> 00:13:17.280]   Well, I'm going to give you the bad news first,
[00:13:17.280 --> 00:13:19.440]   which is that after puberty,
[00:13:19.440 --> 00:13:22.040]   so after about age 14 or 15,
[00:13:22.040 --> 00:13:23.960]   the human brain and nervous system
[00:13:23.960 --> 00:13:28.000]   adds very few, if any, new neurons.
[00:13:28.000 --> 00:13:31.220]   The idea that new neurons could be added to the brain
[00:13:31.220 --> 00:13:34.480]   is one that has a rich history in experimental science.
[00:13:34.480 --> 00:13:39.360]   It's clear that in rodents and in some non-human primates,
[00:13:39.360 --> 00:13:43.800]   new neurons, a process called neurogenesis,
[00:13:43.800 --> 00:13:46.080]   can occur in areas of the brain,
[00:13:46.080 --> 00:13:47.960]   such as the olfactory bulb,
[00:13:47.960 --> 00:13:49.960]   which is of course involved in smell,
[00:13:49.960 --> 00:13:51.840]   as well as a region of our hippocampus,
[00:13:51.840 --> 00:13:53.200]   the center of the brain involved in memory,
[00:13:53.200 --> 00:13:56.040]   called the dentate gyrus of the hippocampus.
[00:13:56.040 --> 00:13:58.620]   And there is strong evidence that new neurons
[00:13:58.620 --> 00:14:01.960]   can be added to those structures throughout the lifespan.
[00:14:01.960 --> 00:14:05.380]   In humans, the evidence is a little bit more controversial.
[00:14:05.380 --> 00:14:07.440]   It's clear that we can add new neurons
[00:14:07.440 --> 00:14:09.320]   to our olfactory bulb.
[00:14:09.320 --> 00:14:11.320]   In fact, if any of you have ever had
[00:14:11.320 --> 00:14:15.420]   the unfortunate experience of being hit on the head too hard,
[00:14:15.420 --> 00:14:19.120]   the wires called axons from those olfactory neurons
[00:14:19.120 --> 00:14:21.540]   that live in your nose can get sheared off
[00:14:21.540 --> 00:14:23.180]   because they have to pass through a bony plate
[00:14:23.180 --> 00:14:24.200]   called the cribriform plate.
[00:14:24.200 --> 00:14:26.580]   And the cribriform plate can shear those axons
[00:14:26.580 --> 00:14:29.080]   and people can become what's called anosmic.
[00:14:29.080 --> 00:14:30.920]   They won't be able to smell.
[00:14:30.920 --> 00:14:33.460]   But over time, those neurons,
[00:14:33.460 --> 00:14:35.980]   unlike most all central nervous system neurons,
[00:14:35.980 --> 00:14:38.400]   can grow those connections back
[00:14:38.400 --> 00:14:41.820]   and even reestablish new neurons
[00:14:41.820 --> 00:14:43.280]   added to the olfactory bulb.
[00:14:43.280 --> 00:14:44.960]   They come from elsewhere deep in the brain
[00:14:44.960 --> 00:14:46.280]   and they migrate through a pathway
[00:14:46.280 --> 00:14:47.880]   called the rostral migratory stream.
[00:14:47.880 --> 00:14:49.040]   You can Google these words
[00:14:49.040 --> 00:14:51.040]   and look up some of the descriptions of this
[00:14:51.040 --> 00:14:52.480]   if you'd like to learn more.
[00:14:52.480 --> 00:14:54.640]   So indeed, there's some evidence
[00:14:54.640 --> 00:14:56.760]   that the neurons responsible for smell
[00:14:56.760 --> 00:14:58.660]   can be replaced throughout the lifespan,
[00:14:58.660 --> 00:15:00.840]   certainly in very young individuals
[00:15:00.840 --> 00:15:03.220]   from birth till about age 15 or so.
[00:15:03.220 --> 00:15:05.920]   Whether or not there are new neurons
[00:15:05.920 --> 00:15:07.140]   added to the hippocampus,
[00:15:07.140 --> 00:15:09.700]   the memory center of the human brain, isn't clear.
[00:15:09.700 --> 00:15:12.960]   Many years ago, Rusty Gage's lab at the Salk Institute
[00:15:12.960 --> 00:15:14.500]   did a really important study
[00:15:14.500 --> 00:15:17.360]   looking at terminally ill cancer patients
[00:15:17.360 --> 00:15:20.900]   and injecting them with a label, a dye,
[00:15:20.900 --> 00:15:23.980]   that is incorporated only into new neurons.
[00:15:23.980 --> 00:15:25.920]   And after these patients died,
[00:15:25.920 --> 00:15:28.600]   their brains were harvested, the brains were looked at,
[00:15:28.600 --> 00:15:31.220]   and there were new neurons there.
[00:15:31.220 --> 00:15:33.480]   There was evidence for new neurons.
[00:15:33.480 --> 00:15:36.520]   Those results, I think, stand over time.
[00:15:36.520 --> 00:15:39.480]   But what was not really discussed
[00:15:39.480 --> 00:15:42.220]   in the popular press discussion around those papers
[00:15:42.220 --> 00:15:45.720]   was that it was very few cells that were being added.
[00:15:45.720 --> 00:15:48.760]   And a number of papers have come along over the years,
[00:15:48.760 --> 00:15:50.480]   mainly from labs at UCSF,
[00:15:50.480 --> 00:15:52.440]   although from others as well,
[00:15:52.440 --> 00:15:54.540]   showing that if there are new neurons
[00:15:54.540 --> 00:15:56.380]   added to the adult brain,
[00:15:56.380 --> 00:16:00.720]   it's an infinitesimally small number of new neurons.
[00:16:00.720 --> 00:16:01.720]   So that's the depressing part.
[00:16:01.720 --> 00:16:02.840]   We don't get new neurons.
[00:16:02.840 --> 00:16:05.120]   After we're born, we pretty much have the neurons
[00:16:05.120 --> 00:16:06.400]   that we're going to use our entire life.
[00:16:06.400 --> 00:16:07.860]   And yes, as we get older
[00:16:07.860 --> 00:16:10.440]   and we start to lose certain functions in our brain,
[00:16:10.440 --> 00:16:11.980]   we lose neurons.
[00:16:11.980 --> 00:16:15.360]   But all is not lost, so to speak,
[00:16:15.360 --> 00:16:18.860]   because there are other ways in which neural circuits
[00:16:18.860 --> 00:16:21.880]   can create new connections and add new functions,
[00:16:21.880 --> 00:16:24.180]   including new memory, new abilities,
[00:16:24.180 --> 00:16:26.320]   and new cognitive functions.
[00:16:26.320 --> 00:16:29.600]   And those are mainly through the process
[00:16:29.600 --> 00:16:31.720]   of making certain connections,
[00:16:31.720 --> 00:16:34.500]   which of course are those things we call synapses,
[00:16:34.500 --> 00:16:37.280]   between neurons, making those connections stronger
[00:16:37.280 --> 00:16:40.600]   so they're more reliable, they're more likely to engage,
[00:16:40.600 --> 00:16:42.880]   as well as removing connections.
[00:16:42.880 --> 00:16:45.000]   And the removal of connections is vital
[00:16:45.000 --> 00:16:47.600]   to say moving through a grieving process
[00:16:47.600 --> 00:16:52.180]   or removing the emotional load of a traumatic experience.
[00:16:52.180 --> 00:16:54.340]   So even though we can't add new neurons
[00:16:54.340 --> 00:16:56.040]   throughout our lifespan,
[00:16:56.040 --> 00:16:59.160]   at least not in very great numbers,
[00:16:59.160 --> 00:17:01.580]   it's clear that we can change our nervous system,
[00:17:01.580 --> 00:17:04.560]   that the nervous system is available for change,
