
[00:00:00.000 --> 00:00:05.780]   Happy Friday.
[00:03:33.320 --> 00:03:41.520]   in sin but is marrying, or in marrying or not in principle sinning.
[00:03:41.520 --> 00:03:47.860]   In the first case, the ceremony is a celebration of sinful behavior, and in the other case
[00:03:47.860 --> 00:03:53.720]   it is not necessarily a celebration of sinful behavior.
[00:03:53.720 --> 00:03:59.720]   That's why it's not inconsistent to go to the one and not the other.
[00:03:59.720 --> 00:04:06.000]   But there is a complicating factor that I should bring up, which the questioner may
[00:04:06.000 --> 00:04:08.560]   or may not have thought of.
[00:04:08.560 --> 00:04:17.840]   The issue concerning this second couple's relation to God is not mainly their past behavior,
[00:04:17.840 --> 00:04:23.600]   past sexual sin, but their present convictions.
[00:04:23.600 --> 00:04:30.820]   If they are moving away from fornication because they are now persuaded it is sin, and they
[00:04:30.820 --> 00:04:39.800]   are marrying as a declaration of repentance and faith in Christ and a commitment to righteousness,
[00:04:39.800 --> 00:04:48.880]   then they are right with God, and we should join them in the penitent and happy celebration.
[00:04:48.880 --> 00:04:57.640]   But it is possible that they are not at all persuaded that having sex together as an engaged
[00:04:57.640 --> 00:05:00.160]   couple is sin.
[00:05:00.160 --> 00:05:03.360]   Maybe they would do it all over again, same way.
[00:05:03.360 --> 00:05:11.720]   Many in our day, tragically many, are deluded about this because of how superficially they
[00:05:11.720 --> 00:05:13.560]   submit to Scripture.
[00:05:13.560 --> 00:05:16.720]   They don't submit themselves to God's authority in Scripture.
[00:05:16.720 --> 00:05:24.480]   They just do what they feel like doing and assume God is okay with it, like sleeping
[00:05:24.480 --> 00:05:29.440]   together before they're married because they think they're committed to each other.
[00:05:29.440 --> 00:05:38.520]   It is clear from Scripture that not only is adultery sin, sexual unfaithfulness in marriage,
[00:05:38.520 --> 00:05:44.760]   but sexual relations before marriage is sin as well.
[00:05:44.760 --> 00:05:46.640]   That's clear.
[00:05:46.640 --> 00:05:55.560]   The very term "sexual immorality," as it's used in Matthew 15, 19, Hebrews 13, 4, Ephesians
[00:05:55.560 --> 00:06:04.640]   5, 5, 1 Corinthians 5, 11, 1 Corinthians 6, 9, 7, 1, and 2—1 Corinthians 7, verses 1
[00:06:04.640 --> 00:06:09.920]   and 2—all refer to fornication or sexual relations before marriage.
[00:06:09.920 --> 00:06:16.360]   It is good—this is what Paul says—it is good for a man not to have sexual relations
[00:06:16.360 --> 00:06:23.160]   with a woman, but because of the temptation to sexual immorality, each man should have
[00:06:23.160 --> 00:06:26.440]   his own wife and each woman her own husband.
[00:06:26.440 --> 00:06:32.200]   That's a clear teaching that if you don't have a husband, if you don't have a wife,
[00:06:32.200 --> 00:06:39.740]   then to have sexual relations is outside the bounds of God's revealed will.
[00:06:39.740 --> 00:06:44.440]   So if the couple that we're talking about here, whose wedding you're going to attend,
[00:06:44.440 --> 00:06:52.000]   if the couple has only stopped doing the act of fornication, but have not stopped believing
[00:06:52.000 --> 00:06:58.760]   that fornication is right, then they probably, if they belong to a Bible-believing church,
[00:06:58.760 --> 00:07:04.080]   they probably are in a position where they should be disciplined.
[00:07:04.080 --> 00:07:10.820]   Because we don't just discipline people for unrepentant actions of sinning, but also
[00:07:10.820 --> 00:07:17.880]   for unrepentant belief that sin is right or permissible.
[00:07:17.880 --> 00:07:23.360]   The reason for this is that believing that sinful behavior is permissible means, according
[00:07:23.360 --> 00:07:32.960]   to 1 Corinthians 6:9, that we endorse patterns of behavior that destroy souls, which is like
[00:07:32.960 --> 00:07:36.480]   murder, murder in our heart.
[00:07:36.480 --> 00:07:40.840]   Those who do such things will not enter the kingdom of heaven, Paul says.
[00:07:40.840 --> 00:07:46.020]   And he's talking about fornication, not just homosexuality.
[00:07:46.020 --> 00:07:52.440]   And what complicates the question being asked, then, is that if the couple who approve of
[00:07:52.440 --> 00:07:58.200]   fornication—they don't think it's wrong for an engaged couple to have sex—if the
[00:07:58.200 --> 00:08:06.200]   couple who approve of fornication are professing Christians, then the Bible says, 1 Corinthians
[00:08:06.200 --> 00:08:15.500]   5:11, "I am writing to you not to associate with anyone who bears the name 'brother'
[00:08:15.500 --> 00:08:22.320]   if he is guilty of sexual immorality, not even to eat with such a one."
[00:08:22.320 --> 00:08:25.000]   And then you'd have to ask, "Well, should I go to the wedding?
[00:08:25.000 --> 00:08:27.740]   I can't even go to the reception."
[00:08:27.740 --> 00:08:33.000]   So the question is not merely whether the marriage ceremony is appropriate, which it
[00:08:33.000 --> 00:08:35.240]   is in and of itself.
[00:08:35.240 --> 00:08:43.440]   The question is also whether the couple endorses a lifestyle of fornication during engagement,
[00:08:43.440 --> 00:08:48.640]   which the Bible says imperils people's souls.
[00:08:48.640 --> 00:08:55.000]   All of these thoughts, everything I've said in answer to this question, show that the
[00:08:55.000 --> 00:09:01.640]   issues we are dealing with are deeper than simple attendance at ceremonies, and they
[00:09:01.640 --> 00:09:09.600]   involve us in a kind of messy mixture of compassion and confrontation that is never easy.
[00:09:09.600 --> 00:09:15.440]   Thank you, Pastor John, for tackling such controversial subjects consistently, and thanks
[00:09:15.440 --> 00:09:17.800]   for joining us today and listening.
[00:09:17.800 --> 00:09:21.060]   Over at our online home, you can explore all 1,250 of our episodes.
[00:09:21.060 --> 00:09:23.640]   You can find episode 191 as well.
[00:09:23.640 --> 00:09:25.820]   You can scan a list of our most popular ones.
[00:09:25.820 --> 00:09:29.000]   You can read full transcripts, even send us a new question of your own.
[00:09:29.000 --> 00:09:30.000]   Go to DesiringGod.org/AskPastorJohn.
[00:09:30.000 --> 00:09:36.560]   You can get new episodes delivered to you three times per week, subscribing through
[00:09:36.560 --> 00:09:57.760]   your favorite podcast app to the Ask Pastor John podcast.
[00:09:57.760 --> 00:09:58.760]   See you next time.
[00:09:58.760 --> 00:09:58.760]   Bye.
[00:09:59.760 --> 00:09:59.760]   1
[00:09:59.760 --> 00:10:00.760]   1
[00:10:00.760 --> 00:10:00.760]   1
[00:10:01.760 --> 00:10:01.760]   1
[00:10:01.760 --> 00:10:06.760]   1
[00:10:06.760 --> 00:10:16.140]   [BLANK_AUDIO]

