
[00:00:00.040 --> 00:00:10.560]   found
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until you're satisfied until your car is made right.
[00:13:28.120 --> 00:13:28.120]   You would pursue it until you're satisfied until you're satisfied until your car is made right.
[00:13:28.160 --> 00:13:38.980]   so
[00:13:38.980 --> 00:13:42.100]  ס, is about, I I I I Bas
[00:13:42.100 --> 00:13:44.400]   tone.р. Freunde.網 theิ the case was the case, that will help the fact as, that will help the, that will, and, and, and, and, and, and, and, or, and, and, and, and, , Tr. Sec. .. Mar . Shelari . realm . Pf. . só . пес
[00:13:58.180 --> 00:14:05.160]   �輕
[00:14:05.160 --> 00:14:24.840]   men no in the am,,,,
[00:14:28.040 --> 00:14:33.520]   went
[00:14:33.520 --> 00:14:38.140]   thank Г
[00:14:38.140 --> 00:14:38.320]  oun,,,,,
[00:14:38.320 --> 00:14:58.020]   Gr I got the defend the def the defend the. Und.And.You.D.T.G.D.V.D.וצ show young in the defendant the defendant's the defend the defendant's the defend the support the LEDs and the toda the cl passion the moins the alsoWho anal or the tilde le Equity a SSB교 to scooter was
[00:14:58.060 --> 00:15:07.920]   queue
[00:15:07.920 --> 00:15:09.200]   .
[00:16:25.560 --> 00:16:25.560]   I
[00:16:25.560 --> 00:16:25.560]   I
[00:16:25.560 --> 00:16:25.560]   I
[00:16:25.600 --> 00:16:27.260]   ado, just about everything you do.
[00:16:27.260 --> 00:16:29.460]   So you can never rely on privacy.
[00:16:29.460 --> 00:16:32.940]   You might have a magnificent house
[00:16:32.940 --> 00:16:35.360]   that you hold in a private trust
[00:16:35.360 --> 00:16:37.320]   that nobody could prove that you live there.
[00:16:37.320 --> 00:16:39.820]   But if somebody follows you home from your office
[00:16:39.820 --> 00:16:41.800]   and a private investigator tails you home,
[00:16:41.800 --> 00:16:44.180]   then they can start to figure out,
[00:16:44.180 --> 00:16:45.680]   oh, that's where so-and-so lives.
[00:16:45.680 --> 00:16:46.960]   Now I understand where they live.
[00:16:46.960 --> 00:16:50.420]   You might, I'll skip all the other examples for now,
[00:16:50.420 --> 00:16:53.220]   but privacy is an important first strategy
[00:16:53.220 --> 00:16:55.340]   because it helps to protect you
[00:16:55.340 --> 00:16:55.380]   from the threat of a crime.
[00:16:55.420 --> 00:17:25.280]   But if somebody follows you home from your office
[00:17:25.280 --> 00:17:25.380]   and a private investigator tails you home,
[00:17:25.380 --> 00:17:25.400]   then they can start to figure out,
[00:17:25.400 --> 00:17:25.400]   and the litigation process,
[00:17:25.400 --> 00:17:25.400]   but it's not the ultimate thing.
[00:17:25.400 --> 00:17:25.400]   You can never rely just on privacy.
[00:17:25.400 --> 00:17:25.400]   If a financial investigator is unable to locate significant assets,
[00:17:25.420 --> 00:17:55.420]   then they can start to figure out,
[00:17:55.420 --> 00:17:55.420]   and the litigation process,
[00:17:55.420 --> 00:17:55.420]   and the litigation process,
[00:17:55.420 --> 00:17:55.420]   will be made to a legal decision.
[00:17:55.420 --> 00:17:55.440]   and the litigation process will be made to a legal decision.
[00:17:55.480 --> 00:18:23.620]   измен
[00:21:15.360 --> 00:21:16.820]   And this can be used even part of a legal strategy. For example, somebody may ask for so much information from you that they're just trying to bury you in work that you have to produce for them so that you might be inclined to make them a settlement offer early on to try to avoid the hassle. Sometimes, however, these details are just simply a normal part of collecting the facts of the case.
[00:21:16.820 --> 00:21:16.820]   So, if you have a lawyer who's been in the legal profession for a long time, you might want to ask for a legal strategy. And this can be used even part of a legal strategy. For example, somebody may ask for so much information from you that they're just trying to bury you in work that you have to produce for them so that you might be inclined to make them a settlement offer early on to try to avoid the hassle. Sometimes, however, these details are just simply a normal part of collecting the facts of the case.
[00:21:46.880 --> 00:22:09.060]  .
[00:22:09.060 --> 00:22:16.860]   So, the court is going to ask you to do a case that is not settled before trial. And the case will go to the actual trial. If the case goes to trial, then the facts of the case are tried and a verdict is reached. If the verdict comes against you, then a judgment is produced by the court against you. And the judgment legally authorizes your creditor, the person that you've lost the case against, now your creditor, your creditor to collect.
[00:22:16.860 --> 00:22:46.880]  , and the court will ask you to do a case that is not settled before trial.
[00:22:46.920 --> 00:23:16.900]  , and the court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.900 --> 00:23:16.900]   The court will ask you to do a case that is not settled before trial.
[00:23:16.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.920 --> 00:23:46.920]   The court will ask you to do a case that is not settled before trial.
[00:23:46.960 --> 00:24:16.940]   the court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.940 --> 00:24:16.940]   The court will ask you to do a case that is not settled before trial.
[00:24:16.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:46.960 --> 00:24:46.960]   The court will ask you to do a case that is not settled before trial.
[00:24:47.000 --> 00:25:16.980]   the court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:16.980 --> 00:25:16.980]   The court will ask you to do a case that is not settled before trial.
[00:25:17.000 --> 00:25:47.000]   The court will ask you to do a case that is not settled before trial.
[00:25:47.000 --> 00:25:47.000]   The court will ask you to do a case that is not settled before trial.
[00:25:47.000 --> 00:25:47.000]   The court will ask you to do a case that is not settled before trial.
[00:25:47.000 --> 00:25:47.000]   The court will ask you to do a case that is not settled before trial.
