
[00:00:00.000 --> 00:00:04.640]   I've spent hundreds of hours figuring out the right credit cards to maximize the value I get
[00:01:51.440 --> 00:01:56.140]   cards. And what I'm going to actually do instead of overwhelm the show notes too much is I'm going
[00:01:56.140 --> 00:02:00.700]   to put a link to a blog post version of this episode in the show notes, which will also have
[00:02:00.700 --> 00:02:06.720]   all the details of every card category, et cetera. And you can also find all the details, uh, on the
[00:02:06.720 --> 00:02:11.460]   website, all the hacks.com. If you want to go find anything links to cards, links to posts, we've
[00:02:11.460 --> 00:02:16.100]   written episodes, et cetera. So what I'll do today is I'm going to start by running through all of the
[00:02:16.100 --> 00:02:21.480]   cards. I have what we have, whether we should get rid of any, then I'll run through the major categories
[00:02:21.480 --> 00:02:26.840]   and talk about my favorites and ruminate a bit on what cards are missing that I might be opening up
[00:02:26.840 --> 00:02:30.460]   before the end of the year. And as I go through all of this, when I think of a credit card,
[00:02:30.460 --> 00:02:35.940]   I think there's really three reasons that I might want to have a credit card. And one of them is
[00:02:35.940 --> 00:02:40.840]   probably the obvious one most people think of. And that's because it earns a lot of points or cash
[00:02:40.840 --> 00:02:45.560]   back on categories I spend in. If you spend a lot of money on dining, having a card that rewards you
[00:02:45.560 --> 00:02:50.560]   for that dining. If you spend a lot of money on groceries, same thing. Or if you just spend a lot
[00:02:50.560 --> 00:02:55.420]   of money that doesn't fall into a specific category, having a card that rewards your everyday
[00:02:55.420 --> 00:03:00.160]   spending, whatever category that is, there are a lot of categories where there aren't cards for bonuses.
[00:03:00.220 --> 00:03:05.640]   So that could be another one. So that's one reason I have a card. Next reason I have a card is that it
[00:03:05.640 --> 00:03:10.820]   has perks that you really value. So for example, there are cards that give you access to lounges.
[00:03:10.820 --> 00:03:16.060]   There are cards that help you accrue elite status with airlines or hotel groups. There are cards that
[00:03:16.060 --> 00:03:21.840]   have free night certificates. There are some cards that just have so many benefits and perks that relative
[00:03:21.840 --> 00:03:26.700]   to the annual fee, you actually think that the card is a profitable card every single year.
[00:03:26.700 --> 00:03:32.040]   I know there are a handful of hotel cards that are maybe $95 a year, but give you a free night
[00:03:32.040 --> 00:03:37.000]   certificate, maybe some bonus points on anniversary every year. And so you're like, well, having this
[00:03:37.000 --> 00:03:41.660]   card is actually profitable to keep. I do think that one of the things that holds a lot of people back
[00:03:41.660 --> 00:03:47.400]   is that annual fee. And one of the challenges for people new to the credit card and points a mile
[00:03:47.400 --> 00:03:52.960]   space is this idea of a really high annual fee and how to approach it. Because I know a lot of people
[00:03:52.960 --> 00:03:57.140]   that hear about the Amex Platinum or the Chase Sapphire Reserve and think, wow, that annual fee
[00:03:57.140 --> 00:04:03.540]   is more than $500. How could I ever even consider that card? That's crazy. And I will just flag that
[00:04:03.540 --> 00:04:10.880]   for almost every card with a really high annual fee, there are perks, benefits, discounts, credits that
[00:04:10.880 --> 00:04:16.740]   when you add them all up pays way more than the annual fee. I think last time I looked, I probably have
[00:04:16.740 --> 00:04:23.580]   $3,000 or $4,000 a year of annual fees across all my cards. But for any card that's in the second year
[00:04:23.580 --> 00:04:28.320]   of that card, and I'll get to that in the next point, I can simply go in and say, how much are these cards
[00:04:28.320 --> 00:04:34.880]   worth to me? And if I'm getting an Indeed credit that I never use, it doesn't matter if that's a $400
[00:04:34.880 --> 00:04:42.140]   credit. To me, its value is zero. But if I'm getting a $10 a month Uber credit, and I spend more than $10
[00:04:42.140 --> 00:04:47.660]   on Uber every month, no matter what, then that really could be valued at $10. Now you could make
[00:04:47.660 --> 00:04:52.220]   an argument that maybe because normally I'd get three or four X points that you could value it at
[00:04:52.220 --> 00:05:00.080]   95%. So instead of $10, it's worth 950, but it's pretty close to face value. So that's something I
[00:05:00.080 --> 00:05:06.000]   think about. So if I look at a card that has a $550 annual fee, but you get a $300 rebate on any
[00:05:06.000 --> 00:05:12.000]   purchases and travel, I view that $300 rebate as direct cash. So if it was a $550 annual fee,
[00:05:12.000 --> 00:05:16.760]   I'd view it as $250 just from that one credit. And as you go through different credits, you can
[00:05:16.760 --> 00:05:21.200]   figure that out. I'd encourage you to take a look at the premium card worksheet that the frequent
[00:05:21.200 --> 00:05:25.960]   miler produces. I'll put a link in the show notes. They go through for a lot of the major high fee
[00:05:25.960 --> 00:05:31.320]   cards, all the different perks, and you can go in and put your value of those perks and decide whether
[00:05:31.320 --> 00:05:36.080]   that card is worth it for you. So get a card because the bonuses you get match your spending,
[00:05:36.080 --> 00:05:41.020]   get a card because the perks are things you really value and maybe couldn't get otherwise. Or the third
[00:05:41.020 --> 00:05:45.140]   one is get a card because the welcome bonus or the welcome offer you get from opening up a card
[00:05:45.140 --> 00:05:51.440]   really makes that card worth it for you, at least in that year. Now, I love welcome bonuses. I think
[00:05:51.440 --> 00:05:59.420]   that anything over about 75,000 points is probably something interesting. There are so many offers worth
[00:05:59.420 --> 00:06:05.340]   that much or more. So I tend to be a little picky and I get really excited when I see the 100,000,
[00:06:05.340 --> 00:06:11.780]   120,000 point offer or five free hotel night certificates offer. Anything like that's exciting.
[00:06:11.780 --> 00:06:17.240]   Sometimes there's business cards with two, 300,000 point welcome offers, and those are really exciting.
[00:06:17.240 --> 00:06:22.260]   And so that's something I think about all the time when I'm looking at why would I have a card?
[00:06:22.420 --> 00:06:27.600]   It's either going to improve my value proposition every year, it's going to give me perks I didn't
[00:06:27.600 --> 00:06:31.960]   have access to, or the welcome bonus is going to be really, really rewarding. And when it comes to
[00:06:31.960 --> 00:06:35.960]   those welcome bonuses, you know, you don't get them in the second year of the card. And sometimes those
[00:06:35.960 --> 00:06:41.240]   cards have high annual fees. So every time I'm looking at a card after the first year, I go through
[00:06:41.240 --> 00:06:46.220]   this kind of review process of, well, am I still valuing the perks enough to keep it? Am I still getting
[00:06:46.220 --> 00:06:50.240]   enough value from the spending to keep it? And if it really was, that welcome bonus was amazing,
[00:06:50.540 --> 00:06:55.720]   but there's no real ongoing value for the card, I'll go through a mental checklist because usually
[00:06:55.720 --> 00:07:01.060]   that card will have an annual fee. And so I'll say, okay, if it's not valuable to me, can I downgrade
[00:07:01.060 --> 00:07:05.700]   it to another card? And a lot of issuers will let you product change your card from one with a high
[00:07:05.700 --> 00:07:11.620]   annual fee to one with a really low annual fee, or no annual fee, or a card that's more valuable to
[00:07:11.620 --> 00:07:17.860]   you. I know within the city ecosystem, the custom cash card is one that people often would downgrade
[00:07:17.860 --> 00:07:24.280]   other cards they didn't want to, because it gave 5x points on up to $500 a month in categories that
[00:07:24.280 --> 00:07:30.260]   you chose. So that could be a really interesting card. So that's one option. Let's say that's not
[00:07:30.260 --> 00:07:34.740]   an option. Let's say there is no downgrade path for the card you have, then you could ask, is there any
[00:07:34.740 --> 00:07:39.780]   retention offer? You know, if you reach out to the issuer and say, hey, I have this card, I don't think
[00:07:39.780 --> 00:07:44.220]   the ongoing value is going to be worth keeping it given the annual fee. Is there anything you guys could
[00:07:44.220 --> 00:07:48.220]   do? Sometimes they'll say, oh, well, why don't we waive it this year? Or why don't we give you
[00:07:48.220 --> 00:07:53.280]   30,000 points if you can spend $1,000 on the card, like a little mini welcome bonus. So that's an
[00:07:53.280 --> 00:07:57.620]   option. And then if neither of those things are possible, if downgrading the card doesn't make
[00:07:57.620 --> 00:08:03.200]   sense, if you know, getting a retention offer doesn't make sense, then it's not a terrible idea
[00:08:03.200 --> 00:08:09.620]   to cancel the card. But what I would say before you cancel the card is if the credit limit on that card
[00:08:09.620 --> 00:08:14.420]   is valuable to you, you could shift it to other cards from that issuer. There's a process sometimes
[00:08:14.420 --> 00:08:19.000]   online, sometimes on the phone where you can say, hey, I've got these two cards, each has a $10,000
[00:08:19.000 --> 00:08:24.920]   limit. Could we make one of them 18,000 and then leave the other at 2000? And they say, great, we did
[00:08:24.920 --> 00:08:29.260]   that. Great. Now can I close the one with the $2,000 limit? So that is something you can do before you
[00:08:29.260 --> 00:08:34.680]   cancel the card. I would just wait till after one full year to cancel the card, because there are some
[00:08:34.680 --> 00:08:39.560]   issuers that look down upon opening up a card, getting the welcome bonus and canceling it before
[00:08:39.560 --> 00:08:44.520]   the end of the year. Now, once that annual fee does post, you can still cancel the card, usually within
[00:08:44.520 --> 00:08:50.720]   30 days of the statement closing with the annual fee on it and get that annual fee refunded. So that's
[00:08:50.720 --> 00:08:56.820]   how I think about canceling it. Let me talk a little bit about my goals for cards this year. So I am always
[00:08:56.820 --> 00:09:03.040]   looking to maximize the earnings I get from all my everyday spending, all the category spending I have,
[00:09:03.680 --> 00:09:08.820]   but I'm not just going to get a card because it earns more points on something I could spend on.
[00:09:08.820 --> 00:09:15.480]   Let's say I spend $500 a year on entertainment. And right now I would be putting it on a 2X points
[00:09:15.480 --> 00:09:21.020]   card. And now there's a card that offers 3X points on entertainment. I'm just going to get an extra 500
[00:09:21.020 --> 00:09:25.800]   points a year from that deal because I could have otherwise gotten the 2X. So getting 500 points,
[00:09:25.800 --> 00:09:32.400]   which might be valued no more than $5 to $10 is not worth me opening up a new card.
[00:09:32.680 --> 00:09:37.240]   So I really want to see that the value I'm going to get from a new card is probably going to exceed
[00:09:37.240 --> 00:09:43.120]   at least $200 a year is probably the floor before I'm interested in opening it. And that floor is
[00:09:43.120 --> 00:09:52.060]   likely higher because the average welcome bonus is probably worth somewhere around $750 to $1,000 or
[00:09:52.060 --> 00:09:58.820]   more. So if a card's only going to give me $200 of value, I would be better off opening up a new card,
[00:09:58.820 --> 00:10:03.380]   which by the way would give me $1,000 of value. So it's almost worth five years of
[00:10:03.380 --> 00:10:07.600]   that card. And that's kind of how I think about it. The earnings on a new card have to outweigh the
[00:10:07.600 --> 00:10:11.680]   opportunity cost of getting a new card with a welcome bonus. Now it could be a mix. That card
[00:10:11.680 --> 00:10:17.000]   could have a smaller welcome bonus plus a value every year, maybe plus a few extra perks, and then it's
[00:10:17.380 --> 00:10:24.540]   worth it. So that's one. Another goal for the year is I really love transferable points. This is not
[00:10:24.540 --> 00:10:28.720]   going to be an episode where we go deep on transferable points. We've done episodes in the
[00:10:28.720 --> 00:10:33.580]   past on redeeming your points for maximum value. In a couple weeks, I'm going to talk about some of the
[00:10:33.580 --> 00:10:38.120]   tricks you can use to book award travel. And then we're going to do an episode breaking down all the
[00:10:38.120 --> 00:10:43.780]   best transfer partners. But at the end of the day, I find the transferring points from your credit card
[00:10:43.780 --> 00:10:51.380]   to airlines and hotel groups is definitely the way I get the most value out of points. And so one of my
[00:10:51.380 --> 00:10:56.100]   goals this year, when I look at all my cards is I want to keep a pool of points in all of the
[00:10:56.100 --> 00:11:02.060]   transferable currencies I have, which includes Capital One, Amex, Built, Chase, and now Citi,
[00:11:02.140 --> 00:11:06.740]   which is new for me this year. So that's a goal. Next goal is I want some more welcome bonuses this
[00:11:06.740 --> 00:11:14.020]   year. I'm at $324, my wife's at $224, which is kind of a measurement in the industry for those not
[00:11:14.020 --> 00:11:20.340]   familiar. Chase tends to not approve anyone for new cards if they've had five cards opened in the last
[00:11:20.340 --> 00:11:25.360]   24 months, at least five cards that show up on your credit report. So a business card might not count.
[00:11:25.360 --> 00:11:29.460]   And so we're below that threshold, which means we could open new Chase cards, we could open new cards
[00:11:29.460 --> 00:11:34.040]   from almost any issuer. And so that's something I'm thinking about. I also want to keep maintaining
[00:11:34.040 --> 00:11:40.080]   lounge access. We travel with kids all the time now. And kids are always hungry, we get to the
[00:11:40.080 --> 00:11:45.800]   airport earlier. So it's nice to have a quieter place to go to get some food and just have a place
[00:11:45.800 --> 00:11:50.040]   to relax. And a couple of these lounges actually have little kids play areas, which is makes them
[00:11:50.040 --> 00:11:55.720]   even better. So definitely want to maintain that. Another goal this year that's a little new from last
[00:11:55.720 --> 00:12:01.260]   year is that when cashback is more efficient than points, I'm willing to do that. It would have been
[00:12:01.260 --> 00:12:06.780]   crazy when I recorded the 2024 version of this episode almost 18 months ago to think about getting
[00:12:06.780 --> 00:12:12.860]   cashback. For some reason, I was just so wired to focus on points. But I think my mindset is that if
[00:12:12.860 --> 00:12:18.180]   I'm getting points instead of cashback, then I'm effectively just buying those points at whatever the
[00:12:18.180 --> 00:12:24.020]   rate is based on what cashback I would have gotten. So for example, if I'm spending money on just
[00:12:24.020 --> 00:12:28.400]   something that gets no bonus on any card, obviously, I could be using my Venture X card,
[00:12:28.400 --> 00:12:34.900]   get 2x points on everything. But I also have a Bank of America card with Platinum Honors, which is
[00:12:34.900 --> 00:12:40.360]   their program that elevates all of their rewards based on how many dollars you have on deposit at
[00:12:40.360 --> 00:12:45.740]   Bank of America, which brings up their unlimited cash and their travel rewards and their premium
[00:12:45.740 --> 00:12:51.380]   rewards cards all the way up to 2.625% cashback. And if you want to go deeper on that, I'll link to an
[00:12:51.380 --> 00:13:00.180]   episode in the show notes on the best cashback cards. But comparing 2.625% to 2x points means
[00:13:00.180 --> 00:13:07.160]   that I'm effectively buying points at around 1.3 cents each. Now, on top of that, within the Bank of
[00:13:07.160 --> 00:13:12.340]   America program, if you have the premium rewards elite card, those points or the cashback you earn
[00:13:12.340 --> 00:13:18.760]   can actually be used to book flights for 25% more value. So if you're using them in that way,
[00:13:18.760 --> 00:13:25.360]   it's effectively about a 3.28% cashback card, which means that using the Venture X card over the Bank
[00:13:25.360 --> 00:13:31.580]   of America card is effectively buying points at a little more than 1.6 cents each. Now, I have
[00:13:31.580 --> 00:13:38.520]   definitely been able to use Capital One, Amex, Chase points to get way more than 1.6 cents of value
[00:13:38.520 --> 00:13:44.360]   plenty and plenty of times. However, I'm sitting on a stash of a million Capital One points right now.
[00:13:44.360 --> 00:13:50.320]   So I'm not sure that at this point in time, I would be a buyer of more points at that value.
[00:13:50.320 --> 00:13:55.740]   If I knew that I was low on points, if I wanted to build up that stash, if I had a really big trip
[00:13:55.740 --> 00:14:01.500]   in mind and I didn't have enough points, absolutely. I think 1.6 cents is even a fair price to pay because
[00:14:01.500 --> 00:14:08.940]   sometimes we get 2, 3, 4, 5 cents a point. However, right now in my current situation,
[00:14:08.940 --> 00:14:13.580]   looking at Capital One points, I'm not sure that trade-off makes sense. Not to mention,
[00:14:13.580 --> 00:14:21.120]   I also still have the US Bank Altitude Reserve card, which gets 4.5% on Apple Pay, which isn't
[00:14:21.120 --> 00:14:27.380]   necessarily capable of being used for every purchase, but a lot of those purchases for an everything else
[00:14:27.380 --> 00:14:33.120]   card, home improvement store, a lot of places online, I can use Apple Pay and get 4.5 cents.
[00:14:33.320 --> 00:14:40.300]   And at 4.5 cents versus 2x points, it's as if I'm buying points for 2.25 cents, which I just don't
[00:14:40.300 --> 00:14:44.880]   think makes sense. Sure, I could get more value. Sure, if I needed to close the gap to get to a
[00:14:44.880 --> 00:14:49.440]   threshold of points that I could use for a trip I wanted, it would make sense. But because I already
[00:14:49.440 --> 00:14:54.140]   have enough points, I'm not sure it does. And so that's something that I think about when I'm
[00:14:54.140 --> 00:14:59.020]   trying to decide which new cards to get. It's not just which one gives me the most points,
[00:14:59.020 --> 00:15:03.540]   it's which one gives me the most return. And when I think of return, I'm thinking of the value of
[00:15:03.540 --> 00:15:09.000]   points somewhere around one and a half cents in my mind. Certain points I'd say are slightly more
[00:15:09.000 --> 00:15:14.120]   valuable. With Chase, I found that I've been able to get so much value out of Hyatt recently that I
[00:15:14.120 --> 00:15:19.460]   put those points a little more valuable than other ones. With Citibank, I find that we only have about
[00:15:19.460 --> 00:15:25.500]   100,000 points right now. So I'm actually more willing to get Citi points than I would other programs
[00:15:25.500 --> 00:15:31.960]   because there are a couple of interesting uses with Leading Hotels and Preferred Hotels and
[00:15:31.960 --> 00:15:36.840]   Eva Air that I just couldn't do unless I have more points. So I'm actually willing to pay a little more
[00:15:36.840 --> 00:15:41.800]   premium for Citi points right now just because I have so few of them. Okay, so those are my goals this
[00:15:41.800 --> 00:15:46.940]   year. Let's review the cards I have. And before I review them, one of the things that I would encourage
[00:15:46.940 --> 00:15:53.420]   everyone to do if you go through this process yourself is first, go find some way to categorize
[00:15:53.420 --> 00:15:58.780]   where you spend money. Now, if you only have a couple credit cards, most issuers have like an
[00:15:58.780 --> 00:16:04.180]   annual summary. So you could go pull up the end of year 2024 summary, and it usually breaks down your
[00:16:04.180 --> 00:16:09.040]   spending by category. For us, we have so many cards across so many issuers that compiling all that data
[00:16:09.040 --> 00:16:13.740]   together would take a lot of work. And I know for some of them, it's a PDF. Obviously, I could probably
[00:16:13.740 --> 00:16:18.440]   just throw all those into ChatGPT and ask a question, which now that I'm thinking about that process
[00:16:18.440 --> 00:16:24.080]   might have been easier. But we also use a app called Copilot to do all of our budgeting. I'm a
[00:16:24.080 --> 00:16:28.500]   huge fan of it. And that makes it really easy for us to go and say, where do we spend all our money
[00:16:28.500 --> 00:16:33.100]   because we categorize all our transactions. So I can go in and say, how much did we spend on dining?
[00:16:33.100 --> 00:16:38.200]   How much did we spend on these various categories? So whatever tool you use to track your spending,
[00:16:38.200 --> 00:16:43.420]   or the end of year summaries from your bank, I think both of those are valid options. But realistically,
[00:16:43.420 --> 00:16:48.520]   even if it's just an estimate, even if you just think, okay, how much do we generally spend in the
[00:16:48.520 --> 00:16:54.940]   major categories you can earn bonuses on dining, groceries, travel, maybe specifically broken out
[00:16:54.940 --> 00:17:01.460]   to hotels and flights, entertainment, cell phone bills, or other bills like that. For me, those are
[00:17:01.460 --> 00:17:06.280]   things that I'm thinking about. And even if you just ballpark it, it might be fine. Then I'm going to go
[00:17:06.280 --> 00:17:12.000]   through all the cards and see how much value I get from that card. And so there's a tool I built to help me
[00:17:12.000 --> 00:17:16.460]   with this. It's a spreadsheet that kind of goes through and looks at all the different earnings
[00:17:16.460 --> 00:17:21.920]   possibilities for every single card, lets you put in how you spend your money, and then check different
[00:17:21.920 --> 00:17:28.240]   cards to see if adding that card to the mix will increase your average return, both in a relative
[00:17:28.240 --> 00:17:36.380]   sense, meaning you go from 2.6 to 2.5% back on everything or 2.5 to 2.8 X points. So it does that,
[00:17:36.380 --> 00:17:40.960]   but it also will tell you your total dollar return based on how you value points and a lot of other
[00:17:40.960 --> 00:17:45.880]   stuff. So if you want to check that out, it's at allthehacks.com slash card tool. I actually took a
[00:17:45.880 --> 00:17:51.620]   bunch of time to go update it with new cards that have come out recently, some of the changes in old
[00:17:51.620 --> 00:17:56.300]   cards. So hopefully that's really valuable to you. If there's a card missing, you're welcome to add it
[00:17:56.300 --> 00:18:01.720]   yourself. The instructions show you how to do that as well. So here's how I think about a value of a card.
[00:18:01.720 --> 00:18:07.200]   It's really just like I described earlier, the amount of spending allocated to it compared to the
[00:18:07.200 --> 00:18:12.760]   opportunity cost. So if you spend $500 a month on dining and you have a 3X dining card from Chase
[00:18:12.760 --> 00:18:17.800]   and you want to think about going to the Amex gold card, you're going to get one extra point per dollar,
[00:18:17.800 --> 00:18:25.380]   which is on $500 a month or $6,000 a year, 6,000 more points. Let's say you value points at one and a
[00:18:25.380 --> 00:18:29.600]   half cents. If you don't, you shouldn't be getting any of these points cards. That's only an extra $90.
[00:18:30.140 --> 00:18:36.300]   And the card has a $325 annual fee. Even if you subtract whatever those perks and credits are for
[00:18:36.300 --> 00:18:42.460]   you, I imagine that breakeven is not going to be very compelling. But if you spent $3,000 a month on
[00:18:42.460 --> 00:18:49.780]   dining or $5,000 a month on dining, now we're talking about 30 to 60,000 points a year, which could be
[00:18:49.780 --> 00:18:55.180]   hundreds and hundreds of dollars. And I think now that becomes really interesting. We also didn't talk
[00:18:55.180 --> 00:19:00.520]   about the fact that it gets 4X groceries and all that kind of stuff. So that's the framework I use. I
[00:19:00.520 --> 00:19:05.780]   wouldn't just think of it as well, what are 4X points worth a year on this category if you already have a
[00:19:05.780 --> 00:19:11.900]   card earning three of them. This episode is brought to you by Trust and Will. It is so easy to overcomplicate
[00:19:11.900 --> 00:19:17.980]   simple tasks. Believe me, I know I love doing so much research. But some things don't always need to be so
[00:19:17.980 --> 00:19:23.860]   overcomplicated, they end up getting put off forever, like creating a will or trust. So check out Trust and Will
[00:19:23.860 --> 00:19:28.520]   Will because they make estate planning straightforward and so simple you can do it from your couch.
[00:19:28.520 --> 00:19:34.260]   Their platform is attorney designed, specific to each state, and most important, customized by you
[00:19:34.260 --> 00:19:39.480]   at every step. I can tell you firsthand how great Trust and Will is because we actually used it to set
[00:19:39.480 --> 00:19:44.920]   up our estate plan years ago, long before they were a sponsor, because it was quick, easy, and way less
[00:19:44.920 --> 00:19:50.140]   intimidating than it seems. In a few guided steps, we had a solid plan in place to protect our family,
[00:19:50.140 --> 00:19:54.860]   and we were able to customize it to match all our nuanced preferences about what happens to our
[00:19:54.860 --> 00:19:59.980]   savings, who's going to be the guardian for our kids, and so much more. I can't tell you how much
[00:19:59.980 --> 00:20:05.440]   peace of mind we have knowing that we got all of this taken care of and it was so easy to update online
[00:20:05.440 --> 00:20:11.900]   after we had our second child. So let Trust and Will uncomplicate the process for you. Protect what matters
[00:20:11.900 --> 00:20:20.940]   most in minutes at allthehacks.com/trustandwill and get 10% off plus free shipping. That's 10% off and free shipping
[00:20:20.940 --> 00:20:27.580]   at allthehacks.com/trustandwill. This episode is brought to you by Built Rewards, which is an amazing
[00:20:27.580 --> 00:20:32.700]   points program with so many ways to earn, including on your rent, where you don't even need to check with
[00:20:32.700 --> 00:20:37.980]   your landlord. So let me explain. First, there's no cost to join Built, and as a member, you'll earn valuable
[00:20:37.980 --> 00:20:42.940]   points on rent and on your everyday spending. Built points can be transferred to your favorite hotels
[00:20:42.940 --> 00:20:48.860]   and airlines, and even the ones you haven't heard of. There are over 500 airlines and 700,000 hotels
[00:20:48.860 --> 00:20:53.260]   and properties around the world you can redeem your Built points toward. Points can be redeemed towards a
[00:20:53.260 --> 00:20:58.620]   future rent payment and unique experiences that only Built members can access. So if you're not earning
[00:20:58.620 --> 00:21:03.980]   points on rent, my question is, why not? Start earning points on rent you're already paying by
[00:21:03.980 --> 00:21:10.700]   going to chrishutchins.com/built. That's chrishutchins.com/built, B-I-L-T. Make sure to
[00:21:10.700 --> 00:21:16.860]   use our URL so they know we sent you chrishutchins.com/built or the link in the description to start earning
[00:21:16.860 --> 00:21:21.900]   points on your rent payments today. So let's run through. First, I'm going to start with Chase.
[00:21:21.900 --> 00:21:26.300]   And I'm going to try to keep this process pretty quick because I want to get to the meat of this episode,
[00:21:26.300 --> 00:21:30.540]   which is me running through the major categories of spending thinking about what the best cards
[00:21:30.540 --> 00:21:34.700]   are in those categories. So you got a Chase Sapphire Reserve. I definitely want to keep
[00:21:34.700 --> 00:21:38.940]   that because it makes my Chase points more valuable because it unlocks so many transfer partners. It
[00:21:38.940 --> 00:21:43.100]   unlocks one and a half points in the portal and you get 3x on travel and dining and we have a huge limit
[00:21:43.100 --> 00:21:48.700]   on it. So that's a great card. The lounge access we use. I've had it for a really long time and I'm
[00:21:48.700 --> 00:21:53.820]   always curious what perks might be added to it. And it's kind of the marquee card of that brand.
[00:21:53.820 --> 00:21:58.860]   Chase Amazon Prime card. We used to use it for 5% off, but recently we've been buying a lot of gift
[00:21:58.860 --> 00:22:04.700]   cards at around 5% off, if not more. So the primary use case for it is anytime we're buying something
[00:22:04.700 --> 00:22:09.100]   where we want purchase protection and still want 5% off because if you use your gift cards,
[00:22:09.100 --> 00:22:13.020]   you wouldn't get that. It has no annual fee, so we'll probably just hold on to it in case the gift
[00:22:13.020 --> 00:22:18.140]   card market changes wildly. But if we lost it tomorrow for some reason, it wouldn't be a huge pain
[00:22:18.140 --> 00:22:23.260]   point. Hyatt business card. Love this card. We've been traveling and staying at Hyatt's a ton.
[00:22:23.260 --> 00:22:27.660]   Have really valued being a globalist and this card is probably the only way I would have closed the gap
[00:22:27.660 --> 00:22:32.860]   to get there. They've got a bunch of cool perks that come with the card like points rebates and
[00:22:32.860 --> 00:22:36.860]   credits for staying at Hyatt. Definitely a keeper. Next is the Southwest business card.
[00:22:37.820 --> 00:22:42.860]   This year we actually got a lot closer to Companion Pass than I thought, thanks to some Chase referrals
[00:22:42.860 --> 00:22:48.620]   posting. And so having this card was an excellent way for us to close the gap to get to Companion Pass.
[00:22:48.620 --> 00:22:53.660]   If anyone's not familiar, I'll link to a post about Companion Pass, but it's a level of status that
[00:22:53.660 --> 00:22:58.700]   Southwest gives you a person you can nominate to fly free and you just pay taxes and fees for the
[00:22:58.700 --> 00:23:04.220]   year you earn it and the following year. And so great card because the welcome bonus on these cards,
[00:23:04.220 --> 00:23:10.220]   all Southwest cards count towards that status. Next is the Chase Freedom Flex. You get 5x on these
[00:23:10.220 --> 00:23:16.300]   rotating categories every quarter. And I'd say two or three quarters a year, a category pops up that we
[00:23:16.300 --> 00:23:21.180]   actually spend enough on that we can hit that 5x. So love keeping this card. On the flip side, we have
[00:23:21.180 --> 00:23:27.500]   a Freedom Unlimited card which earns 1.5x on everything and we almost never use it if ever. Maybe we use it
[00:23:27.500 --> 00:23:33.500]   at drugstores where I think it gets 3x points or 3% back. So that card probably should be product
[00:23:33.500 --> 00:23:38.540]   change to another Freedom Flex so we can get 5x on another $1,500 in those quarters that matter.
[00:23:38.540 --> 00:23:44.460]   My wife has a United card. It's her oldest card. We don't use it for anything, but it's helping her
[00:23:44.460 --> 00:23:48.140]   average length of history on her credit report. So we'll probably hang on to that. And then on the
[00:23:48.140 --> 00:23:52.460]   business side, we've got a Chase Inc. Preferred, which is good for travel if you want to segregate
[00:23:52.460 --> 00:23:57.420]   personal and business expenses, but also it gets 3x on some bill payment platforms that we use for the
[00:23:57.420 --> 00:24:02.780]   business. We also have the Chase Inc. Cash Card which gets 5x on phone and office supply,
[00:24:02.780 --> 00:24:08.380]   which we don't nearly spend enough on to make it worth holding on to this card, but it's no annual
