
[00:00:00.000 --> 00:00:06.000]   #Blessed
[00:05:27.380 --> 00:05:34.500]   "So let no one boast in men, for all things are yours."
[00:05:34.500 --> 00:05:35.500]   Let that sink in.
[00:05:35.500 --> 00:05:38.620]   Oh, glory.
[00:05:38.620 --> 00:05:41.500]   All things are yours.
[00:05:41.500 --> 00:05:51.580]   Whether Paul or Apollos or Cephas or the world or life or death or the present or the future,
[00:05:51.580 --> 00:05:53.020]   all are yours.
[00:05:53.020 --> 00:05:54.880]   And you are Christ's.
[00:05:54.880 --> 00:05:57.660]   And Christ is God's.
[00:05:57.660 --> 00:05:58.660]   What a verse.
[00:05:58.660 --> 00:05:59.660]   I love it.
[00:05:59.660 --> 00:06:00.660]   It's amazing.
[00:06:00.660 --> 00:06:01.660]   It is.
[00:06:01.660 --> 00:06:09.180]   To belong to Christ is to belong to God as our Father and to be heirs of all that God
[00:06:09.180 --> 00:06:13.140]   owns, that is, everything.
[00:06:13.140 --> 00:06:16.180]   Paul says, "The world is yours.
[00:06:16.180 --> 00:06:18.580]   All things are yours."
[00:06:18.580 --> 00:06:22.700]   Jesus said, "Blessed are the meek, for they shall inherit the world."
[00:06:22.700 --> 00:06:28.340]   You cannot be richer than a Christian is rich.
[00:06:28.340 --> 00:06:29.740]   Put all the billionaires together.
[00:06:29.740 --> 00:06:33.580]   I should have taken the time to find out their names.
[00:06:33.580 --> 00:06:35.100]   You could name them.
[00:06:35.100 --> 00:06:37.660]   Put all the billionaires in a sack, right?
[00:06:37.660 --> 00:06:39.020]   And they are paupers.
[00:06:39.020 --> 00:06:44.900]   I mean, poverty-stricken paupers compared to the lowliest Christian.
[00:06:44.900 --> 00:06:51.460]   But notice that in the list of things that belong to us is death.
[00:06:51.460 --> 00:06:53.300]   It's in the list.
[00:06:53.300 --> 00:06:59.500]   All things are yours, whether Paul or Apollos or Cephas or the world or life or death.
[00:06:59.500 --> 00:07:01.180]   Death is yours.
[00:07:01.180 --> 00:07:10.700]   This means that you do not get all your blessings in this life, but that death itself belongs
[00:07:10.700 --> 00:07:20.420]   to you as a gift, as a doorway to infinite, eternal, immeasurable blessing.
[00:07:20.420 --> 00:07:26.420]   Death becomes your servant because of Christ's triumph over death.
[00:07:26.420 --> 00:07:33.540]   The Apostle John heard a voice from heaven saying, "Blessed are the dead who die in
[00:07:33.540 --> 00:07:34.820]   the Lord."
[00:07:34.820 --> 00:07:36.780]   Revelation 14, 13.
[00:07:36.780 --> 00:07:38.500]   Why is that?
[00:07:38.500 --> 00:07:46.820]   Paul answers in Ephesians 1, 3, "God has blessed us in Christ with every blessing that
[00:07:46.820 --> 00:07:54.640]   heaven can conceive, for the eternal happiness of God's people will be ours."
[00:07:54.640 --> 00:08:02.200]   But Jesus taught us explicitly not to expect them now.
[00:08:02.200 --> 00:08:10.180]   For example, in Luke 14, 13, he said, "When you give a feast, invite the poor, the crippled,
[00:08:10.180 --> 00:08:17.660]   the lame, the blind, and you will be blessed because they cannot repay you."
[00:08:17.660 --> 00:08:20.180]   I love Jesus' logic.
[00:08:20.180 --> 00:08:26.780]   You will be blessed because they cannot repay you, for you will be repaid at the resurrection
[00:08:26.780 --> 00:08:28.820]   of the just.
[00:08:28.820 --> 00:08:32.300]   That's the orientation of Jesus Christ, the King.
[00:08:32.300 --> 00:08:34.740]   That's the New Testament pattern.
[00:08:34.740 --> 00:08:43.420]   Eternal generosity and service now, spectacular blessing later at the resurrection.
[00:08:43.420 --> 00:08:51.380]   Or here's the way James puts it, "Blessed is the man who remains steadfast under trial,
[00:08:51.380 --> 00:08:58.420]   for when he has stood the test, he will receive the crown of life, which God has promised
[00:08:58.420 --> 00:08:59.540]   to those who love him."
[00:08:59.540 --> 00:09:01.460]   James 1, 12.
[00:09:01.460 --> 00:09:04.580]   First the trial, then the blessing.
[00:09:04.580 --> 00:09:07.260]   The crown.
[00:09:07.260 --> 00:09:11.580]   So let's circle back now to Jordan's reference to the Beatitudes.
[00:09:11.580 --> 00:09:20.140]   I think the Beatitudes, taken together, provide a beautiful summary of the blessings promised
[00:09:20.140 --> 00:09:23.460]   to the followers of Christ.
[00:09:23.460 --> 00:09:30.400]   Six immeasurable blessings are sandwiched between the summary promise, "Yours is the kingdom
[00:09:30.400 --> 00:09:33.640]   of heaven," verse 3, verse 10, "Yours is the kingdom of heaven."
[00:09:33.640 --> 00:09:41.300]   So these six blessings summarize what it means to live forever under the kingdom, the heavenly
[00:09:41.300 --> 00:09:43.540]   rule of God.
[00:09:43.540 --> 00:09:47.320]   Number one, we will see God, verse 8.
[00:09:47.320 --> 00:09:48.480]   They shall see God.
[00:09:48.480 --> 00:09:50.680]   The pure shall see God.
[00:09:50.680 --> 00:09:53.880]   Number two, we will be shown mercy.
[00:09:53.880 --> 00:09:56.280]   They shall receive mercy, verse 7.
[00:09:56.280 --> 00:10:00.500]   Number three, we will be part of God's family, verse 9.
[00:10:00.500 --> 00:10:03.020]   They shall be called the sons of God.
[00:10:03.020 --> 00:10:07.260]   Number four, we will experience God's comfort, verse 4.
[00:10:07.260 --> 00:10:09.300]   They shall be comforted.
[00:10:09.300 --> 00:10:16.040]   Number five, we will be co-owners of the whole world, verse 5.
[00:10:16.040 --> 00:10:18.760]   They shall inherit the earth.
[00:10:18.760 --> 00:10:26.780]   Number six, we will be satisfied with personal and universal righteousness, verse 6.
[00:10:26.780 --> 00:10:31.660]   Blessed are those who hunger and thirst for righteousness, for they shall be satisfied.
[00:10:31.660 --> 00:10:39.300]   So in summary, the presence of God seen and enjoyed in the face of Christ, covering us
[00:10:39.300 --> 00:10:46.020]   with mercy because of all our sins, calling us his children, comforting us for all pain
[00:10:46.020 --> 00:10:52.620]   and loss in this world, bequeathing to us the universe for a familiar homeland, and
[00:10:52.620 --> 00:10:58.700]   everything set right in our souls and in the social order of the new world.
[00:10:58.700 --> 00:11:02.040]   This is our great reward.
[00:11:02.040 --> 00:11:05.900]   This is what it means to be truly blessed.
[00:11:05.900 --> 00:11:11.380]   Wonderful, eternal perspective that encompasses the coming new creation.
[00:11:11.380 --> 00:11:14.540]   Thank you, Pastor John, and thanks for joining us today.
[00:11:14.540 --> 00:11:18.580]   You can ask a question of your own, like the great question today, or search our growing
[00:11:18.580 --> 00:11:20.260]   archive or subscribe to the podcast.
[00:11:20.260 --> 00:11:26.100]   You can do all that at DesiringGod.org/AskPastorJohn.
[00:11:26.100 --> 00:11:28.340]   How do we discern false teachers?
[00:11:28.340 --> 00:11:30.700]   It's a hot topic in the inbox.
[00:11:30.700 --> 00:11:34.860]   It's always been a hot topic in our inbox, and it's up next time.
[00:11:34.860 --> 00:11:35.860]   I'm your host, Tony Reinke.
[00:11:35.860 --> 00:11:37.220]   We'll see you back here on Monday.
[00:11:37.220 --> 00:11:42.220]   [END]
[00:11:42.220 --> 00:11:52.220]   [BLANK_AUDIO]

