
[00:00:00.000 --> 00:00:21.120]   All right. Well, thank you for joining us. We are here to talk AI products and specifically
[00:07:38.140 --> 00:07:45.020]   We're all new to building generative AI products. Like to some degree or another, we're all building the
[00:07:45.020 --> 00:07:52.060]   plane while we're flying it. The most successful teams we see here are those that crawl, walk, run
[00:07:52.060 --> 00:07:57.740]   their way into this new era of kind of generative AI products. Because what that allows you to do is it
[00:07:57.740 --> 00:08:04.380]   allows you to sort of build the capability iteratively while laying the foundation of that AI functionality
[00:08:04.380 --> 00:08:10.540]   throughout your product suite. So I want to like walk through an example here. With an example, we'll
[00:08:10.540 --> 00:08:16.460]   take like a customer support SaaS company, let's say they have like a shared inbox feature that customer
[00:08:16.460 --> 00:08:22.300]   support teams come on to work out of mature product, but they want to start integrating AI. So in this
[00:08:22.300 --> 00:08:28.940]   crawl phase, you're starting to build embedded AI experiences. You're likely in this phase, not building a
[00:08:28.940 --> 00:08:33.740]   whole lot of new product surface area. Rather, you're just like adding AI on the back end and
[00:08:33.740 --> 00:08:38.140]   starting to kind of accentuate and accelerate the existing functionality you have. If we take that
[00:08:38.140 --> 00:08:43.180]   customer support example, that might look something like, you know, building a feature that uses semantic
[00:08:43.180 --> 00:08:48.780]   search to like surface previous similar questions to help the user ground when they like are responding
[00:08:48.780 --> 00:08:55.340]   to their customer. And then in the walk phase, this is where we're starting to build more contextual and
[00:08:55.340 --> 00:09:01.980]   personalized AI experiences. Here we might actually we are starting to build like new product surface area,
[00:09:01.980 --> 00:09:05.900]   but we're probably not at the point yet where we need to like fundamentally rethink our core app
[00:09:05.900 --> 00:09:12.140]   architecture and our UX. If we go back to that example, that might look something like, you know,
[00:09:12.140 --> 00:09:17.180]   building a feature that will like suggest a draft ahead of time so that when the user comes in,
[00:09:17.180 --> 00:09:22.140]   there's already a draft there ready to go for them to start from. And then finally, where we land when we really
[00:09:22.140 --> 00:09:28.060]   start to run, this is where we're building those dynamic, interoperable and integrated AI experiences
[00:09:28.060 --> 00:09:34.060]   throughout our product suite. This is the stage where you do start needing to like re fundamentally
[00:09:34.060 --> 00:09:40.540]   rethink your UI, your UX and your app architecture. Because now your AI features like if we go back to
[00:09:40.540 --> 00:09:45.100]   our customer support example, it might look like an autonomous agent that can triage issues respond to
[00:09:45.100 --> 00:09:50.860]   customers. But importantly, it's operating across the product and and feature set. And in order to incorporate
[00:09:50.860 --> 00:09:55.580]   that kind of functionality, you do need to start rebuilding core surface area and like starting
[00:09:55.580 --> 00:10:01.180]   to revisit your UX. But importantly, along the way, you're not throwing out functionality,
[00:10:01.180 --> 00:10:06.060]   it's building on top of each other, it's that functionality is building as you go, right,
[00:10:06.060 --> 00:10:10.940]   you're just extending on it. And importantly, even at the crawl phase, you're still building embedded
[00:10:10.940 --> 00:10:17.580]   functionality, not this sort of like bolt on non integrated functionality. So I'll pass it to Aliza now.
[00:10:17.580 --> 00:10:24.140]   Yeah, so let's walk through a tangible example here, because there's a lot to unpack. So
[00:10:24.140 --> 00:10:29.500]   this problem space, I feel like everyone knows this, I've been living and breathing it for a few years. But
[00:10:29.500 --> 00:10:36.540]   HR service delivery or employee self service is all of us work in jobs, or you're running a company,
[00:10:36.540 --> 00:10:42.380]   your employees need to be able to get their questions answered quickly. And if they can't get those questions answered,
[00:10:42.380 --> 00:10:48.780]   they need help from a support person. So through a case, this could be a live agent, etc. So we've spent
[00:10:48.780 --> 00:10:53.580]   a lot of time working in this space. This is also where some products have found product market fit,
[00:10:53.580 --> 00:11:00.940]   especially with early sort of gen AI solutions. So where we started to, I would say, crawl with the
[00:11:00.940 --> 00:11:07.820]   technology, this was within our help product. So help has two components, there's a knowledge based solution,
[00:11:07.820 --> 00:11:12.940]   there's also a case management solution. And so early days, we took a look at the tech and said,
[00:11:12.940 --> 00:11:19.020]   where can we use gen AI really to affect change with customers. And so I know knowledge base has become
[00:11:19.020 --> 00:11:24.620]   like the back end for GPTs and just a best practice. But at the time we said, okay, we've got content gen in
[00:11:24.620 --> 00:11:29.500]   here, we've got translations in here, this is the content that's fueling the answers to all of those
[00:11:29.500 --> 00:11:35.020]   questions that employees are asking. And so there were two key features. So one was actually content
[00:11:35.020 --> 00:11:40.060]   authors, so they might come into an editor like this, they are going to upload, say, a policy doc. So
[00:11:40.060 --> 00:11:45.660]   imagine a benefits policy, like 20 plus pages long, they don't want to necessarily write that article,
[00:11:45.660 --> 00:11:51.980]   right? But they could have the AI ingest it, create an employee FAQ. In this case, we had talking points for
[00:11:51.980 --> 00:11:56.540]   managers, and they're able to get a consistent format. So the other thing I would mention is,
[00:11:56.540 --> 00:12:02.300]   we're thinking about content at scale. So this isn't for small sort of SMBs, this is large enterprise,
[00:12:02.300 --> 00:12:08.060]   who have content teams of say, like three to 15 people. And so you need to have a united sort of
[00:12:08.060 --> 00:12:14.460]   voice around that content that's coming out. So on top of that other feature, we put this translations,
[00:12:14.460 --> 00:12:21.340]   which you can see in the GIF here. In just a couple of clicks, I can go in and translate into one of the
[00:12:21.340 --> 00:12:26.460]   34 different languages that we support. And you see we added on the left hand panel here,
[00:12:26.460 --> 00:12:31.020]   and the ability to actually manage versions as well. So I might have my base article,
[00:12:31.020 --> 00:12:35.420]   I'm generating talking points in English, and then I want to translate into French and Spanish,
[00:12:35.420 --> 00:12:40.620]   maybe Japanese. And you can see that you're managing those versions as well.
[00:12:40.620 --> 00:12:48.940]   A couple of things I want to call out here. Yes, we're using Gen AI and translations. But this isn't in
[00:12:48.940 --> 00:12:56.140]   in your face sparkles and chatbots and text fields all over the place. This was built for users who
[00:12:56.140 --> 00:13:02.780]   didn't know about Gen AI, this is 2023, wanted to be able to kind of get in and use the features without
[00:13:02.780 --> 00:13:08.460]   actually understanding the functionality. And it also, you know, keeping that human in the loop, we want to
[00:13:08.460 --> 00:13:14.140]   have the disclaimer around AI. And so we make sure that we've got enough little purple sparkles to
[00:13:14.140 --> 00:13:20.540]   let them know what they're using. But it's not the entire experience here. So this allowed us to go GA
[00:13:21.340 --> 00:13:30.780]   in 2024, or August, I should say, and sort of, I would say, kind of crawling with the functionality.
[00:13:31.740 --> 00:13:38.940]   So on top of that, so that's our content teams. So then we moved into what I would say is walking.
[00:13:38.940 --> 00:13:44.780]   This was, now we have our content drafted, but we actually need to solve the self-service problem.
[00:13:44.780 --> 00:13:51.100]   So as a manager, I might need to come in, Elaine in this case is trying to do a location change to San
[00:13:51.100 --> 00:13:57.020]   Francisco. And she knows a lot of the fields, but not all of them. And so she now has this sort of
[00:13:57.020 --> 00:14:03.820]   contextually aware co-pilot Workday Assistant that lives across Workday that she can sort of prompt.
[00:14:03.820 --> 00:14:08.220]   A lot of us are familiar with this functionality, but a couple of points I want to make here.
[00:14:08.220 --> 00:14:13.500]   One, we have the contextually aware suggestions, so it knows what's happening when I'm on the page.
[00:14:13.500 --> 00:14:19.340]   Also around the data processing, if you're looking at a help article, it's generally customer content,
[00:14:19.340 --> 00:14:24.700]   which is sensitive, but not nearly as sensitive as PII or personally identifiable information.
[00:14:24.700 --> 00:14:29.340]   Think about these tasks more on safe pay or compensation, things that are really sensitive,
[00:14:29.340 --> 00:14:34.540]   where employees are putting really sensitive information in. So this is the next level of
[00:14:34.540 --> 00:14:40.380]   sort of walking with the capabilities. The other piece I'd mention is that this was a platform
[00:14:40.380 --> 00:14:46.300]   capability, meaning that we had to be working across our suite. So we have HCM and financials,
[00:14:46.300 --> 00:14:53.180]   think benefits, procurement, core HCM, etc. And so there's a higher level of sort of top down and
[00:14:53.180 --> 00:14:57.420]   bottoms up alignment that had to happen to get these capabilities out the door.
[00:14:57.420 --> 00:15:05.900]   Then finally, running. So extending the same use case here, you may have seen a few months back,
[00:15:05.900 --> 00:15:11.900]   we announced our agent system of record. A subset of that functionality targeted towards, again,
[00:15:11.900 --> 00:15:17.980]   those employees and managers was really around the agentic capabilities behind the Workday Assistant.
[00:15:17.980 --> 00:15:26.540]   So again, our users don't necessarily want to know or have the sort of technical expertise around agents,
[00:15:26.540 --> 00:15:32.620]   but we still have that work happening behind the scenes, where our assistant becomes a lot more autonomous,
[00:15:32.620 --> 00:15:39.100]   proactive, listening to policy changes, notifying us with suggestions as well. And so you can see just
[00:15:39.100 --> 00:15:47.660]   thinking through this at scale, there's a much higher level of, I would say, sort of top-down strategy with bottoms-up execution that then happens,
[00:15:47.660 --> 00:15:51.820]   threading the needle across these different product experiences.
[00:15:51.820 --> 00:16:02.460]   So you can see here we've kind of gone from a single product within a SKU all the way across our sort of core platform, which some of you may know or not,
[00:16:02.460 --> 00:16:07.260]   but we serve like 60% of the S&P 500, so a pretty broad group.
[00:16:08.220 --> 00:16:13.980]   So where we would land with all of this when we talk about not making AI a sideshow,
[00:16:13.980 --> 00:16:21.900]   we're not telling you to stop working on agents or stop caring about AI, but understand that these are
[00:16:21.900 --> 00:16:28.620]   stepping stones in terms of teaching your organization, training up your organization on what it means to
[00:16:28.620 --> 00:16:36.700]   actually be building impactful AI experiences. And so as you sort of, I would say, mature as an organization,
[00:16:36.700 --> 00:16:42.620]   ideally where we want to get to is building dynamic products. I'm hearing some of this today in some of
[00:16:42.620 --> 00:16:49.900]   the talks, if you heard Sarah or Brian talking earlier, about building purposeful sort of vertical specific
[00:16:49.900 --> 00:16:56.620]   products. I think it's really interesting when we start thinking about dynamic products in terms of
[00:16:56.620 --> 00:17:01.180]   new problem spaces. I don't know if anyone else feels this way, but sometimes I feel like we're
[00:17:01.180 --> 00:17:07.340]   solving yesterday's roadmap with just like a much more powerful technology. And so as we digitize
[00:17:07.340 --> 00:17:13.900]   new data, new inputs in terms of our environment and spaces, we can see the problem space of the products
[00:17:13.900 --> 00:17:19.980]   that we're creating really sort of extend. I think especially with multimodal, this is where this
[00:17:19.980 --> 00:17:25.900]   gets really compelling as well. When we have frictionless multimodal experiences that interoperate,
[00:17:25.900 --> 00:17:30.780]   I would say interoperability and RL are still pretty relevant within the agent sphere.
[00:17:30.780 --> 00:17:35.740]   But when we think about dynamic products that are sort of responsive to your environment,
[00:17:35.740 --> 00:17:42.460]   this is where we really start to see, I would say, the next generation of products come into play.
[00:17:42.460 --> 00:17:50.940]   So hopefully this sparked a few thoughts, maybe some questions. If you want to connect, feel free to scan
[00:17:50.940 --> 00:17:56.060]   our QR codes. Happy to connect if you want to drop us a note. We'll also be around the rest of the week.
[00:17:56.060 --> 00:18:00.140]   So happy to chat. And we are right at time.
[00:18:00.140 --> 00:18:01.340]   Look at that.
[00:18:01.340 --> 00:18:09.580]   Thanks, everyone.

