
[00:00:00.000 --> 00:00:09.800]   here are my dudes dining there what we got going on pj's um okay so me and mike are having dinner
[00:05:47.100 --> 00:05:51.980]   you think you could go change or no you're not going to wear that out are you no i'm wearing this
[00:05:51.980 --> 00:06:00.860]   and then uh obviously we got me in this she's with me jesse's with me yeah she's with me straight up
[00:06:00.860 --> 00:06:08.380]   we might wear make it up okay oh yeah yeah all right we got desert right here
[00:06:08.380 --> 00:06:11.820]   oh wait okay let me give you the full rundown
[00:06:12.860 --> 00:06:19.740]   we have mercy uk for the dress we have reval for the shoes i don't know the brand
[00:06:19.740 --> 00:06:25.500]   girlies i wish i could tell you what about on the wrist we got a cartier and a louis vuitton
[00:06:25.500 --> 00:06:31.260]   and who paid mama you watch wait who did you buy that yourself or a guy bought it i bought this
[00:06:31.260 --> 00:06:38.780]   myself i got her the boots man i got her the dress i always got her these two no she's having them
[00:06:38.780 --> 00:06:47.340]   right i always wonder like who bought who bought the ship and yours looks good
[00:06:47.340 --> 00:06:56.220]   man we ain't here dawg with the milk boys you know what i'm saying my boy judd my boy steinny
[00:06:56.220 --> 00:07:02.460]   my nigga bob oh you see you i yeah you know he got me in a lot of trouble on his podcast i still you know i love
[00:07:02.460 --> 00:07:09.900]   this guy i love this guy and it's all it's time wait let's figure one thing out did you dm this
[00:07:09.900 --> 00:07:17.340]   i was gonna ride and have you at me i'm just trying to tell you that you could never do something like that
[00:07:17.340 --> 00:07:23.340]   i know you i dm your girl for short
[00:07:23.340 --> 00:07:31.500]   forget the bottle but come over here really quick
[00:07:31.500 --> 00:07:35.020]   how long y'all been together oh something like a main thing
[00:07:35.020 --> 00:07:39.900]   why are you turning around like that why do you get all interested when you hear that i got a girl
[00:07:39.900 --> 00:07:42.460]   how did he ask you out for the first time
[00:07:46.060 --> 00:07:53.580]   he dm you you met through mutuals yo bro stop yo your brother's got to stop looking over here
[00:07:53.580 --> 00:07:59.900]   and like whistling and by the way you have no chance my boy no chance my boy
[00:08:02.940 --> 00:08:09.260]   whoa no he didn't talk to him like that he didn't say that he said what he said what he said
[00:08:09.260 --> 00:08:12.780]   like what the fuck all right you don't gotta no wait actually you know what sit down again
[00:08:12.780 --> 00:08:18.140]   like yo let's talk to me sitting down bro yeah that's right that's right
[00:08:18.140 --> 00:08:29.500]   no but i just he was trying to be respectful because you're his girlfriend yeah so he don't want to be
[00:08:29.500 --> 00:08:31.500]   yeah damn she's super fine
[00:08:31.500 --> 00:08:35.180]   which none of you guys are dinging by the way
[00:08:35.180 --> 00:08:37.020]   you're decent
[00:08:37.020 --> 00:08:39.020]   huh well what
[00:08:39.020 --> 00:08:45.420]   she's in her feelings because you said she's decent
[00:08:45.420 --> 00:08:48.860]   oh my god that's the best part
[00:08:48.860 --> 00:08:53.340]   what's that you're wrong
[00:08:56.220 --> 00:09:01.020]   yo really quick uh yo we have amber in the building amber i want to introduce you it's my boy mike
[00:09:01.020 --> 00:09:04.220]   you know mpj you might have seen him before
[00:09:04.220 --> 00:09:05.420]   how are you nice to meet you
[00:09:05.420 --> 00:09:09.660]   you obviously have seen me uh what about your little friend right here what's right
[00:09:09.660 --> 00:09:18.300]   what you're going to call me
[00:09:18.300 --> 00:09:19.660]   no welcome to the crib make yourself at home
[00:09:19.660 --> 00:09:21.820]   tory's right here too where you can see him so i'm high
[00:09:21.820 --> 00:09:27.740]   i already did he's hiding he's hiding yeah yeah yeah no it's my favorite oh you guys know each other
[00:09:27.740 --> 00:09:29.740]   yeah yeah we're old friends
[00:09:29.740 --> 00:09:31.740]   we'll go way back oh okay
[00:09:31.740 --> 00:09:35.340]   yeah dude you see who comes into my crib
[00:09:35.340 --> 00:09:40.460]   time gets crazy up from here baby all right let's tune in what we got going on over here huh
[00:09:40.460 --> 00:09:43.740]   what we got going on over here huh
[00:09:43.740 --> 00:09:52.940]   what we're literally talking about we're talking about what oh he's setting me up she was telling me how y'all met you know what i'm saying she was talking about how good
[00:09:52.940 --> 00:09:55.740]   how well you took care of her yeah okay
[00:09:55.740 --> 00:10:02.460]   oh you're showing who you are welcome to talk honestly honestly honestly she said she said you took her um to rodeo last week
[00:10:02.460 --> 00:10:04.460]   she spent a little bag on her
[00:10:04.460 --> 00:10:17.500]   stonnie's man he came he came in here with all these girls and we're just having a normal
[00:10:17.500 --> 00:10:23.020]   conversation and he wants to come in here what's this looking like right now like what are the vibes at
[00:10:23.020 --> 00:10:31.420]   well um mbj and stonnie are uh very hard uh working well stonnie's not but mbj is a very
[00:10:31.420 --> 00:10:36.060]   very hard working man great guy can't say anything more than he's a great great solid dude
[00:10:36.060 --> 00:10:38.780]   that's all i can say he's speaking super highly of you
[00:10:38.780 --> 00:10:52.940]   oh
[00:10:52.940 --> 00:10:57.500]   but for yourself though that's all right though come outside me for one minute cameras come outside me for a minute
[00:10:58.300 --> 00:11:02.940]   you're like a real ass fucking superstar you have a super max contract you do very well what
[00:11:02.940 --> 00:11:09.180]   you do a guy like me i i almost remove myself in situations like you because i'm afraid to ever
[00:11:09.180 --> 00:11:14.940]   affect what you have going on yeah because we don't you know whatever but uh good luck whatever you do
[00:11:14.940 --> 00:11:20.300]   that's exactly exactly that's it bob tripping man we're just kicking on these homies i met him the
[00:11:20.300 --> 00:11:25.260]   other day with steiny on the podcast very good people very very good guy and i and gonna be a very
[00:11:25.260 --> 00:11:32.300]   either superstar that's all it is my dude man that's my dude bob man like actually superstar and uh
[00:11:33.580 --> 00:11:40.220]   yeah superstar but also like he's got he's got games he's got game he's got real game i'll tell you that
[00:11:40.220 --> 00:11:43.180]   i'm crazy he's got games this motherfucker right here
[00:11:43.180 --> 00:11:50.860]   you got a little boss time you can boss self just come here ladies ladies i'm his uh agent by the way
[00:11:50.860 --> 00:11:55.580]   i don't know if you realize i said yes i'm just bro you're fucked up bro
[00:11:55.580 --> 00:11:59.340]   what's your mother fucked up hey tell me what's your mother fucked up
[00:11:59.340 --> 00:12:05.660]   he said he said uh do we need to do it in the nda i said yes he's like all right um carry on we're gonna do that
[00:12:05.660 --> 00:12:11.580]   no nobody i've never said anything to do it in my life why you asked it because it was part of like
[00:12:11.580 --> 00:12:19.980]   a plot that i played in my head that was funny you said you said you said you might need to
[00:12:19.980 --> 00:12:24.940]   he's like you need to change the representation no i said i'll pay well i don't need to pay you
[00:12:24.940 --> 00:12:29.420]   that's a great thing i'm thinking let me see let me see you're gonna have to start playing
[00:12:29.420 --> 00:12:40.300]   bro i'm not even gonna lie to you you told me none of those trips are gonna go viral like that
[00:12:40.300 --> 00:12:47.100]   you told me none of that was gonna do that first and foremost you have to understand who stein is
[00:12:47.100 --> 00:12:51.980]   they got me messed up bro you said it's what you said i don't care but they all involved for the wrong
[00:12:51.980 --> 00:12:56.620]   reasons y'all said y'all were cutting everything you're a lot bigger than we are you're a lot bigger than you
[00:12:56.620 --> 00:13:01.100]   let's dip let's dip let's just dip let's just dip what let's just dip all right okay what you think
[00:13:01.100 --> 00:13:04.940]   me and me and you were going to take this white boys out of here show them two get these white boys
[00:13:04.940 --> 00:13:09.420]   out of you guys want to with us no y'all two want to with me and him we're going to peacefully leave
[00:13:09.420 --> 00:13:13.660]   we all love you see you take care guys all right
[00:13:13.660 --> 00:13:15.720]   you
[00:13:15.720 --> 00:13:17.780]   you

