
[00:00:00.040 --> 00:00:09.300]   Til
[00:04:35.380 --> 00:04:56.380]   day, .,,,, get auate
[00:04:57.540 --> 00:05:27.540]   .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:05:27.540 --> 00:05:27.540]   The important exception is that sales of some small business stock can be taxed at a 28% rate, sales of collectibles can be taxed at a 28% rate, and there is a 25% rate that applies to unrecaptured Section 1250 gain from selling Section 1250 real property. But for most of us, we're either in a 15% or 20% capital gains tax rate. Now, this is really encouraging because it is far more reasonable to owe taxes at 15% or 20%.
[00:05:27.560 --> 00:05:57.560]   I don't think income taxes make all that much sense. I know that the tax revenue has to come somewhere. Anything, you know, 10% range around that area, I don't think it's such a big deal. It's not nearly worth the level of planning and the investment of time and energy and money to get out of when you're dealing with something that's at a 10% rate versus a 50% rate.
[00:05:57.560 --> 00:05:57.560]   It's not nearly worth the level of planning and the investment of time and energy and money to get out of when you're dealing with something that's at a 10% rate versus a 50% rate.
[00:05:57.560 --> 00:05:57.560]   It's not nearly worth the level of planning and the investment of time and energy and money to get out of when you're dealing with something that's at a 10% rate versus a 50% rate.
[00:05:57.560 --> 00:06:27.580]  ,
[00:06:27.580 --> 00:06:27.580]   But certainly, we would like to minimize the amount of taxes that are due.
[00:06:27.580 --> 00:06:27.580]   So, it's good that they're at a lower rate.
[00:06:27.580 --> 00:06:27.580]   That's a good helpful thing.
[00:06:27.580 --> 00:06:27.580]   Another thing that's very helpful about capital gains taxes is you have the opportunity to control when those taxes are due.
[00:06:27.580 --> 00:06:27.580]   That's extremely helpful.
[00:06:27.580 --> 00:06:27.580]   When, for example, let's say that you buy a house, a rental house, you rent it out. Now, when you sell the house, if you realize a capital gain, you are going to pay taxes. But you can choose when you sell the house, you are going to pay taxes.
[00:06:27.580 --> 00:06:27.580]   You can choose when you sell the house, you are going to pay taxes.
[00:06:27.580 --> 00:06:27.580]   You can choose when you sell the house, you are going to pay taxes.
[00:06:27.600 --> 00:06:31.600]   Which means you can choose when you're going to owe that tax.
[00:06:31.600 --> 00:06:35.640]   That's another helpful thing about capital gains taxes versus ordinary income taxes.
[00:06:35.640 --> 00:06:42.820]   It's much harder for you to control when you receive income, if you are working, than it is when you sell an investment.
[00:06:42.820 --> 00:06:46.460]   Income, there are all kinds of rules about when that income is going to be recognized.
[00:06:46.460 --> 00:06:47.940]   You can defer some of it.
[00:06:47.940 --> 00:06:56.580]   We just talked in the most recent show about, yes, you can defer some of it into a 401k, thus deferring the tax liability for a long period of time.
[00:06:56.580 --> 00:06:57.600]   But now, the law says you can defer some of it into a 401k.
[00:06:57.600 --> 00:06:57.600]   You can defer some of it into a 401k.
[00:06:57.600 --> 00:06:57.600]   You can defer some of it into a 401k.
[00:06:57.600 --> 00:06:57.600]   You can defer some of it into a 401k.
[00:06:57.600 --> 00:06:57.600]   You can defer some of it into a 401k.
[00:06:57.600 --> 00:06:57.600]   You can defer some of it into a 401k.
[00:06:57.600 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.620 --> 00:07:27.620]   You can defer some of it into a 401k.
[00:07:27.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:07:57.640]   You can defer some of it into a 401k.
[00:07:57.640 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.660 --> 00:08:27.660]   You can defer some of it into a 401k.
[00:08:27.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:08:57.680]   You can defer some of it into a 401k.
[00:08:57.680 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.700 --> 00:09:27.700]   You can defer some of it into a 401k.
[00:09:27.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:09:57.720]   You can defer some of it into a 401k.
[00:09:57.720 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.740 --> 00:10:27.740]   You can defer some of it into a 401k.
[00:10:27.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:10:57.760]   You can defer some of it into a 401k.
[00:10:57.760 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k.
[00:11:27.780 --> 00:11:27.780]   You can defer some of it into a 401k. You can defer some of it into a 401k.
[00:11:27.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:11:57.800]   You can defer some of it into a 401k.
[00:11:57.800 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k.
[00:12:27.820 --> 00:12:27.820]   You can defer some of it into a 401k. You can defer some of it into a 401k.
[00:12:27.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:12:57.840]   You can defer some of it into a 401k.
[00:12:57.840 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.860 --> 00:13:27.860]   You can defer some of it into a 401k.
[00:13:27.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:13:57.880]   You can defer some of it into a 401k.
[00:13:57.880 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k.
[00:14:27.900 --> 00:14:27.900]   You can defer some of it into a 401k. You can defer some of it into a 401k.
[00:14:27.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:14:57.920]   You can defer some of it into a 401k.
[00:14:57.920 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.940 --> 00:15:27.940]   You can defer some of it into a 401k.
[00:15:27.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:15:57.960]   You can defer some of it into a 401k.
[00:15:57.960 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k.
[00:16:27.980 --> 00:16:27.980]   You can defer some of it into a 401k. You can defer some of it into a 401k.
[00:16:28.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
[00:16:58.000 --> 00:16:58.000]   You can defer some of it into a 401k.
