
[00:00:00.000 --> 00:00:06.160]   in this chapter we're going to be taking a look at conversational memory in linechain we're going
[00:14:01.360 --> 00:14:09.600]   buffer window memory we're going to just say okay just return me the most recent messages okay so let's
[00:14:09.600 --> 00:14:16.640]   let's see how that would work here we're going to return the most recent four messages okay we are again
[00:14:16.640 --> 00:14:22.800]   make sure we've turned messages is set to true again this is deprecated this is just the old way of doing it
[00:14:22.800 --> 00:14:31.680]   in a moment we'll see the updated way of doing this we'll add all of our messages okay so we have this
[00:14:31.680 --> 00:14:38.640]   and just see here all right so we've added in all these messages there's more than four messages here
[00:14:38.640 --> 00:14:47.680]   and we can actually see that here so we have human message ai human ai human ai human ai right so we've
[00:14:47.680 --> 00:14:54.080]   got four pairs of human ai interactions there but here we don't have there's more than four pairs so
[00:14:54.080 --> 00:15:01.200]   four pairs will take us back all the way to here i'm researching different types of conversational
[00:15:02.000 --> 00:15:07.280]   memory okay and if we take a look here the most the first message we have is i'm researching different
[00:15:07.280 --> 00:15:13.280]   types of conversational memory so it's cut off these two here which will be a bit problematic when we ask
[00:15:13.280 --> 00:15:19.040]   you what our name is okay so let's just see i'm going to be using conversation chain object again again
[00:15:19.040 --> 00:15:25.360]   just remember that is deprecated and i want to say what is my name again let's see let's see what it says
[00:15:26.880 --> 00:15:31.440]   uh i'm sorry but i don't know that's your name or any personal information if you like you can tell
[00:15:31.440 --> 00:15:39.360]   me your name right so it doesn't actually remember so that's kind of like a negative of the conversation
[00:15:39.360 --> 00:15:45.680]   buffer window memory of course the uh to fix that in this scenario we might just want to increase k
[00:15:45.680 --> 00:15:52.400]   maybe we say around the previous eight interaction pairs and it will actually remember so what's my name
[00:15:52.400 --> 00:15:58.240]   again your name is james so now it remembers we've just modified how much it is remembering but of course
[00:15:58.240 --> 00:16:03.440]   you know there's pros and cons to this it really depends on what you're trying to build so let's
[00:16:03.440 --> 00:16:09.520]   take a look at how we would actually implement this with the runnable with message history
[00:16:09.520 --> 00:16:17.840]   okay so you know getting a little more complicated here although it is it's not it's not complicated
[00:16:18.560 --> 00:16:23.520]   but well we'll see okay so we have a buffer window message history we're creating a class here
[00:16:23.520 --> 00:16:32.080]   this class is going to inherit from the base chat message history object from linechain okay and all of
[00:16:32.080 --> 00:16:39.040]   our other message history objects can do the same thing before with the in-memory message object that
[00:16:39.040 --> 00:16:45.920]   was basically replicating the buffer memory so we didn't actually need to do anything we need to
[00:16:46.480 --> 00:16:53.520]   define our own class here so in this case we do so we follow the same pattern that linechain
[00:16:53.520 --> 00:16:58.720]   follows with this base chat message history and you can see a few of the functions here that are
[00:16:58.720 --> 00:17:03.760]   important so add messages and clear are the ones that we're going to be focusing on we also need to
[00:17:03.760 --> 00:17:11.360]   have messages which this object attribute here okay so we're just implementing the synchronous
[00:17:11.360 --> 00:17:18.720]   methods here if we want this to be async if we want to supply async we would have to add a add messages
[00:17:18.720 --> 00:17:26.000]   and a get messages and a clear as well so let's go ahead and do that we have messages we have k again
[00:17:26.000 --> 00:17:31.520]   we're looking at remembering the top k messages or most recent k messages only so it's important that we
[00:17:31.520 --> 00:17:38.560]   have that variable we are adding messages through this class this is going to be used by linechain within our
[00:17:38.560 --> 00:17:43.200]   runnable so we need to make sure that we do have this method and all we're going to be doing is
[00:17:43.200 --> 00:17:48.800]   extending the self messages list here and then we're actually just going to be trimming that down so
[00:17:48.800 --> 00:17:56.720]   that we're not remembering anything beyond those you know most recent k messages that we have set from
[00:17:56.720 --> 00:18:03.520]   here and then we also have the clear method as well so we need to include that that's just going to clear the history
[00:18:03.520 --> 00:18:08.240]   okay so it's not this isn't complicated right it just gives us this nice
[00:18:08.240 --> 00:18:15.440]   default standard interface for message history and we just need to make sure we're following that pattern
[00:18:15.440 --> 00:18:20.560]   okay i've included the uh this print here just so we can see what's happening okay so we have that
[00:18:20.560 --> 00:18:29.120]   and now for that get chat history function that we defined earlier rather than using the built-in method
[00:18:29.120 --> 00:18:34.880]   we're going to be using our own object which is a buffer window message history which we defined just
[00:18:34.880 --> 00:18:42.400]   here okay so if session id is not in the chat map as we did before we're going to be initializing our
[00:18:42.400 --> 00:18:48.640]   buffer window message history we're setting k up here with a default value of 4 and then we just return it
[00:18:48.640 --> 00:18:55.920]   okay and and that's it so let's run this we have our runnable with message history we have all of these
[00:18:55.920 --> 00:19:01.920]   variables which are exactly the same as before but then we also have these variables here with this history
[00:19:01.920 --> 00:19:12.480]   factory config and this is where if we have um new variables that we've added to our message history
[00:19:12.480 --> 00:19:18.560]   in this case k that we have down here we need to provide that to line training tell it this is a new
[00:19:18.560 --> 00:19:24.560]   configurable field okay and we've also added it for the session id here as well so we're just being
[00:19:24.560 --> 00:19:33.600]   explicit and have everything in that so we have that and we run okay now let's go ahead and invoke and see
[00:19:33.600 --> 00:19:41.200]   what we get okay so important here this history factory config that is kind of being fed through
[00:19:41.200 --> 00:19:47.760]   into our invoke so that we can actually modify those variables from here okay so we have config configurable
[00:19:47.760 --> 00:19:52.480]   session id okay we'll just put whatever we want in here and then we also have the number k
[00:19:52.480 --> 00:20:00.320]   okay so remember the previous four interactions i think in this one we're doing something slightly
[00:20:00.320 --> 00:20:04.800]   different i think we're remembering the four interactions rather than the previous four
[00:20:04.800 --> 00:20:10.480]   interaction pairs okay so my name is james uh we're going to go through i'm just going to actually
[00:20:10.480 --> 00:20:16.000]   clear this and now i'm going to start again and we're going to use the exact same add user message
[00:20:16.000 --> 00:20:20.080]   and ai message that we used before we're just manually inserting all that into our history
[00:20:20.080 --> 00:20:26.720]   so that we can then just see okay what is the result and you can see that k equals four is actually
[00:20:27.360 --> 00:20:35.680]   unlike before where we were having the uh saving the top four interaction pairs we're now saving the
[00:20:35.680 --> 00:20:41.920]   most recent four interactions not pairs just interactions and honestly i just think that's
[00:20:41.920 --> 00:20:48.800]   clearer i think it's weird that the number four for k would actually save the most recent eight messages
[00:20:48.800 --> 00:20:53.600]   right i think that's odd so i'm just not replicating that weirdness
[00:20:54.400 --> 00:21:01.920]   we could if we wanted to i just don't like it so i'm not doing that and anyway we can see from messages
[00:21:01.920 --> 00:21:08.960]   that we're returning just the most four recent messages okay we should be these four okay cool so
[00:21:08.960 --> 00:21:17.680]   we've just using the runnable we've replicated the old way of having a window memory and okay i'm going
[00:21:17.680 --> 00:21:22.880]   to say what is my name again as before it's not going to remember so we can come to here i'm sorry
[00:21:22.880 --> 00:21:27.120]   but i don't have access to personal information and so on and so on if you like to tell me your name
[00:21:27.120 --> 00:21:36.320]   it doesn't know now let's try a new one where we initialize a new session okay so we're going with idk14
[00:21:36.320 --> 00:21:42.240]   so that's going to create a new conversation there and we're going to say we're going to set k to 14
[00:21:43.360 --> 00:21:50.160]   okay great i'm going to manually insert the other uh messages as we did before okay and we can see
[00:21:50.160 --> 00:21:54.880]   all of those you can see at the top here we are still maintaining that hi my name is james message
[00:21:54.880 --> 00:22:03.520]   now let's see if it remembers my name your name is james okay there we go cool so that is working and
[00:22:03.520 --> 00:22:10.320]   we can also see so we just added this what is my name again let's just see if did that get added to our
[00:22:10.320 --> 00:22:15.920]   lists of messages right what is my name again nice and then we also have the response your name is
[00:22:15.920 --> 00:22:23.040]   james so just by invoking this because we're using the the runnable with message history it's just
[00:22:23.040 --> 00:22:31.600]   automatically adding all of that into our message history which is nice cool all right so that is the
[00:22:31.600 --> 00:22:37.600]   buffer window memory and now we are going to take a look at how we might do something a little more
[00:22:37.600 --> 00:22:42.720]   complicated which is the the summaries okay so when you think about the summary you know what are we
[00:22:42.720 --> 00:22:50.160]   doing we're actually taking the messages we're using that lm call to summarize them to compress them
[00:22:50.160 --> 00:22:57.920]   and then we're storing them within messages so let's see how we would actually do that so to start with
[00:22:58.720 --> 00:23:06.320]   let's just see how it was done in old line chain so you have conversation summary memory go through that
[00:23:06.320 --> 00:23:15.680]   and let's just see what we get so again same interactions right i'm just invoking invoking
[00:23:15.680 --> 00:23:19.360]   invoking i'm not adding these directly to the messages because it actually needs to go through
[00:23:20.320 --> 00:23:28.000]   a um like that summarization process and if we have a look we can see it happening okay current
[00:23:28.000 --> 00:23:34.560]   conversation so sorry current conversation hello there my name is james ai is generating current
[00:23:34.560 --> 00:23:40.640]   conversation the human introduces himself as james ai greets james warmly and expresses its readiness to
[00:23:40.640 --> 00:23:46.880]   chat and assist inquiring about how his day is going right so it's summarizing the the previous
[00:23:46.880 --> 00:23:53.120]   interactions and then we have you know after that summary we have the most recent human message and
[00:23:53.120 --> 00:23:58.800]   then the ai is going to generate its response okay and that continues going continues going and you
[00:23:58.800 --> 00:24:03.520]   see that the the final summary here is going to be a lot longer okay and it's different that first
[00:24:03.520 --> 00:24:08.080]   summary of course asking about his day uh imagine studies researching different types of conversational
[00:24:08.080 --> 00:24:13.200]   memory the ai responds enthusiastically explaining that conversational memory includes short-term
[00:24:13.200 --> 00:24:17.680]   memory long-term memory contextual memory personalized memory and then inquires if james is focused on a
[00:24:17.680 --> 00:24:25.200]   specific type of memory okay cool so we get essentially the summary is just getting uh longer and
[00:24:25.200 --> 00:24:30.400]   longer as we go but at some point the idea is that it's not going to keep just growing and it should
[00:24:30.400 --> 00:24:36.400]   actually be shorter than if you were saving every single interaction whilst maintaining as much of the
[00:24:36.400 --> 00:24:43.520]   information as possible but of course you're not going to maintain all of the information that you would with
[00:24:43.520 --> 00:24:50.720]   for example the the buffer memory right with the summary you are going to lose information but hopefully
[00:24:50.720 --> 00:24:57.520]   less information than if you're just cutting interactions so you're trying to reduce your token count
[00:24:57.520 --> 00:25:05.520]   whilst maintaining as much information as possible now let's go and ask what is my name again it should be able to
[00:25:05.520 --> 00:25:13.360]   answer because we can see in the summary here that i introduced myself as james okay response your name
[00:25:13.360 --> 00:25:20.880]   is james how is your research going okay so how's that cool let's see how we'd implement that so again
[00:25:20.880 --> 00:25:27.600]   as before we're going to go with that conversation summary message history we're going to be importing a
[00:25:27.600 --> 00:25:32.320]   system message uh we're going to be using that not for the lm that we're chatting with but for the lm that
[00:25:32.320 --> 00:25:40.880]   will be generating our summary so actually that is not quite correct there's create a summary not
[00:25:40.880 --> 00:25:45.600]   that it matters it's just the doctrine so we have our messages and we also have the lm so different
[00:25:45.600 --> 00:25:51.920]   different tribute here to what we had before when we initialize the conversation summary message history
[00:25:51.920 --> 00:25:59.280]   we need to passing in our lm we have the same methods as before we have add messages and clear and what we're
[00:25:59.280 --> 00:26:07.120]   doing is as messages coming we extend with our current messages but then we're modifying those okay so we
[00:26:07.120 --> 00:26:15.360]   construct our like instructions to make a summary okay so that is here we have the system prompt uh
[00:26:15.360 --> 00:26:19.840]   given the existing conversation summary and the new messages generate a new summary of the conversation
[00:26:19.840 --> 00:26:26.000]   ensuring to maintain as much relevant information as possible okay then we have a human message here
[00:26:26.000 --> 00:26:32.480]   through that we're passing the existing summary okay and then we're passing in the new messages
[00:26:32.480 --> 00:26:39.120]   okay cool so we format those and invoke the lm
[00:26:39.120 --> 00:26:47.680]   here and then what we're doing is in the messages we're actually replacing the existing history that we had
[00:26:47.680 --> 00:26:56.080]   before with a new history which is just a single system summary message okay let's see what we get
[00:26:56.080 --> 00:27:01.520]   as before we have that and get chat history exactly the same as before the only real difference is that
[00:27:01.520 --> 00:27:07.840]   we're passing in the lm parameter here and of course as we're passing in the lm parameter in here it does
[00:27:07.840 --> 00:27:14.160]   also mean that we're going to have to include that in the configurable field spec and that we're going to need to
[00:27:14.160 --> 00:27:21.440]   include that when we're invoking our pipeline okay so we run that pass me the lm
[00:27:21.440 --> 00:27:28.640]   now of course one side effect of generating summaries or everything is that way actually
[00:27:28.640 --> 00:27:35.600]   you know we're generating more so you are actually using quite a lot of tokens whether or not you are
[00:27:35.600 --> 00:27:41.120]   saving tokens or not actually depends on the length of a conversation as a conversation gets longer if you're
[00:27:41.120 --> 00:27:48.560]   storing everything after a little while that the token usage is actually going to increase so if in your
[00:27:48.560 --> 00:27:55.920]   use case you expect to have shorter conversations you would be saving money and tokens by just using this
[00:27:55.920 --> 00:28:02.800]   standard buffer memory whereas if you're expecting very long conversations you would be saving tokens
[00:28:02.800 --> 00:28:10.080]   some money by using the summary history okay so let's see what we got from there we have a summary of the conversation
[00:28:10.080 --> 00:28:14.960]   james introduced himself by saying hi my name james i responded warmly asking hi james and no
[00:28:14.960 --> 00:28:23.920]   interaction include details about token usage okay so we actually uh included everything here which we probably should not have done
[00:28:23.920 --> 00:28:32.560]   why did we do that uh so in here we're including all of the
[00:28:32.560 --> 00:28:41.040]   oh in here so using or including all of the content from the messages so i think maybe if we just do
[00:28:42.320 --> 00:28:49.760]   x.content for x in messages that should resolve that
[00:28:49.760 --> 00:28:57.920]   okay there we go so we quickly fix that so yeah before we're passing in the entire messages object
[00:28:57.920 --> 00:29:02.960]   which obviously includes all of this information whereas actually we just want to be passing into content
[00:29:03.760 --> 00:29:11.920]   so we modified that and now we're getting what we expect okay cool and then we can keep going all right
[00:29:11.920 --> 00:29:18.560]   so as we as we keep going the summary should get more like abstract like as we just saw here is
[00:29:18.560 --> 00:29:24.720]   literally just giving us the messages directly almost okay so we're getting the summary there
[00:29:24.720 --> 00:29:29.600]   and we can keep going we're going to add just more messages to that we'll see the you know as
[00:29:30.400 --> 00:29:36.560]   we'll get send those we'll get in a response send again get response we're just adding all of that
[00:29:36.560 --> 00:29:43.440]   invoking all that and i'll be of course adding everything into our message history okay cool so
[00:29:43.440 --> 00:29:46.480]   we've run that let's see what the uh latest summary is
[00:29:46.480 --> 00:29:56.400]   okay and then we have this so this is a summary that we have instead of our our chat history okay cool
[00:29:57.360 --> 00:30:02.800]   now finally let's see what's my name again we can just double check you know has my name in there
[00:30:02.800 --> 00:30:04.320]   so it should be able to tell us
[00:30:04.320 --> 00:30:17.760]   okay cool so your name is james pretty interesting so let's have a quick look over at linesmith so the
[00:30:17.760 --> 00:30:23.120]   reason i want to do this is just to point out okay the different essentially token usage that we're getting
[00:30:23.120 --> 00:30:27.360]   with each one of these okay so we can see that we have these runnable message history which are
[00:30:27.360 --> 00:30:34.960]   probably uh improved in naming there but we can see okay how long is each one of these taken how many
[00:30:34.960 --> 00:30:42.240]   tokens are they also using come back to here we have this runnable message history and this is we'll go
[00:30:42.240 --> 00:30:48.880]   through a few of these maybe to here i think we can see here this is that first interaction where we're using the
[00:30:48.880 --> 00:30:56.080]   the buffer memory and we can see how many tokens were used here so 112 tokens when we're asking what
[00:30:56.080 --> 00:31:04.480]   is my name again okay then we modified this to include i think it was like 14 interactions or something on
[00:31:04.480 --> 00:31:09.440]   those lines saying obviously increases number of tokens that we're using right so we can see that actually
[00:31:09.440 --> 00:31:14.160]   happening all in line stuff which is quite nice and we can compare okay how many tokens is each one of
[00:31:14.160 --> 00:31:20.640]   these using now this is looking at the buffer window and then if we come down to here and look at
[00:31:20.640 --> 00:31:27.600]   this one so this is using our summary okay so our summary with what is my name again i actually use more
[00:31:27.600 --> 00:31:33.200]   tokens in this scenario right which is interesting because we're trying to compress information the reason
[00:31:33.200 --> 00:31:39.440]   those more is because there's not there hasn't been that many interactions as the conversation length
[00:31:39.440 --> 00:31:46.080]   increases with the summary this total number of tokens especially if we prompt it correctly to keep that
[00:31:46.080 --> 00:31:54.480]   low that should remain relatively small whereas with the buffer memory that will just keep increasing
[00:31:54.480 --> 00:32:02.560]   and increasing as a as the conversation gets longer so useful little way of using line smith there to
[00:32:02.560 --> 00:32:07.840]   just kind of figure out okay in terms of tokens and costs of what we're looking at for each of these
[00:32:07.840 --> 00:32:17.040]   memory types okay so our final memory type acts as a mix of the summary memory and the buffer memory
[00:32:17.040 --> 00:32:25.920]   so what it's going to do is keep the buffer up until an n number of tokens and then once a message exceeds
[00:32:25.920 --> 00:32:33.280]   the n number of token limit for the buffer it is actually going to be added into our summary so this
[00:32:33.280 --> 00:32:43.200]   memory has the benefit of remembering in detail the most recent interactions whilst also not having limitation
[00:32:43.840 --> 00:32:51.600]   of using too many tokens as a conversation gets longer and even potentially exceeding context windows if you
[00:32:51.600 --> 00:32:59.280]   try super hard so this is a very interesting approach now as before let's try the original way of
