
[00:00:00.000 --> 00:00:04.380]   What if the way you've been thinking about points and miles is the very thing holding you back?
[00:15:29.520 --> 00:15:36.080]   with Upwork. Visit upwork.com right now and post your job for free. That's upwork.com to post your
[00:15:36.080 --> 00:15:41.600]   job for free and connect with top talent ready to help your business grow. It's funny because completely
[00:15:41.600 --> 00:15:48.720]   aside from points and miles, a couple weeks ago, we went to Colorado and I have snowboarded since early
[00:15:48.720 --> 00:15:56.320]   elementary school and I went to school in Colorado and I would say I have not found a run on a mountain where I didn't
[00:15:56.320 --> 00:16:07.120]   feel very competent in my and confident in my skills. Now, we were taking my two daughters who are under five and I
[00:16:07.120 --> 00:16:15.680]   thought two things. One, teaching kids how to ski is much easier on skis. And let's put aside the fact that I
[00:16:15.680 --> 00:16:19.600]   probably could have taught them how to snowboard, but let's just shelve that. And we were using these
[00:16:19.600 --> 00:16:25.680]   harnesses and it's just so hard to do on a snowboard. And I thought, well, why don't I just ski?
[00:16:25.680 --> 00:16:30.560]   Like, we're not going down these difficult runs. We're going down the easiest runs on the mountain.
[00:16:30.560 --> 00:16:35.680]   What if I rent some skis and we go and experience this? And thankfully, we were in Steamboat Springs,
[00:16:35.680 --> 00:16:42.080]   Colorado. And there is a massive, beautiful, huge resort. And then there's a local resort downtown
[00:16:42.080 --> 00:16:48.240]   that on all but Sundays is only $50 for adults and it was free for the kids. And then on Sundays was free
[00:16:48.240 --> 00:16:55.120]   for everyone. So I rented some skis. Now, I wouldn't advise anyone learning to ski for the first time to
[00:16:55.120 --> 00:17:01.680]   try and also take their toddler on the chairlift. But first time off the chairlift, both of us fell,
[00:17:01.680 --> 00:17:07.680]   slid down. And I was like, I went into this thinking, how hard could this be? Well, first
[00:17:07.680 --> 00:17:11.040]   of all, I never even thought about skiing. It didn't even cross my mind. I was totally fine
[00:17:11.040 --> 00:17:19.120]   that I didn't know how to ski. And we went for two or three days and it was just brutal the first day.
[00:17:19.120 --> 00:17:24.000]   And at one point I was like, maybe now I'm good enough to help my daughter. And all of a sudden,
[00:17:24.000 --> 00:17:29.920]   she's going down and I can't control her and I'm falling over. And it's like, I went from a very
[00:17:29.920 --> 00:17:36.560]   competent snowboarder to an absolute clown. I wanted to video some of the kids, but I was like,
[00:17:36.560 --> 00:17:42.720]   I have to focus so hard on skiing that I can't even make a video. Whereas on a snowboard,
[00:17:42.720 --> 00:17:48.640]   it would be just be completely unconscious. It was just so easy to do. And so I just stuck at it.
[00:17:48.640 --> 00:17:56.080]   And to make everything worse, my kids are progressing incredibly fast. My nephews are like
[00:17:56.080 --> 00:18:03.680]   pros jumping off the sides of the mountain. And over two days though, I could feel the confidence.
[00:18:03.680 --> 00:18:11.120]   And I think unfortunately, something like skiing, it's very easy after 10 runs to be like, wow,
[00:18:11.120 --> 00:18:18.480]   I came down this mountain better than I did before. And there was no part of me that thought,
[00:18:18.480 --> 00:18:24.400]   but why can't I go down that mogul run over there? No part of me was looking at that run thinking,
[00:18:24.400 --> 00:18:30.320]   I wish that I could do that at this stage. But in the points of miles world, it's so easy to see
[00:18:30.320 --> 00:18:35.360]   someone redeeming around the world ticket in business class for four people, which is the
[00:18:35.360 --> 00:18:41.200]   equivalent of that double black run with moguls and think, I want to do that right now. And I don't
[00:18:41.200 --> 00:18:49.120]   know why, but it just made me think, why is it so much harder for someone learning a skill that's online,
[00:18:49.120 --> 00:18:56.880]   that is less physical to be comfortable not trying the really hard thing out the gates. Whereas for me,
[00:18:58.000 --> 00:19:06.000]   know, it was so easy. In fact, by the last run, my nephew was like, let's just try this easy black run on on day
[00:19:06.000 --> 00:19:13.920]   two of skiing of my, you know, my life. And I regret doing that. But but I had no injuries. So I guess it was okay.
[00:19:13.920 --> 00:19:18.960]   Yeah, I think too. It's so fascinating your experience with the skiing where you're like,
[00:19:18.960 --> 00:19:23.600]   it didn't even occur to me to say, Oh, my gosh, after, you know, five minutes, yeah, let me go jump on this incredibly grueling,
[00:19:23.600 --> 00:19:28.000]   potentially physically dangerous course based on your current level of skill set. But when we're learning
[00:19:28.000 --> 00:19:33.760]   something like points and miles, you know, I think a little bit of it is just that bias of what we're
[00:19:33.760 --> 00:19:39.280]   all just exposed to, on the internet, you know, on podcasts, maybe from our friends, if they're really
[00:19:39.280 --> 00:19:44.960]   active in points and miles. And I think that a lot of times, like, what is fancy, what's exciting,
[00:19:44.960 --> 00:19:49.600]   right? It is those stories. It's those stories that are at the far end of the spectrum in terms
[00:19:49.600 --> 00:19:56.080]   of somebody's ability or interest or expertise or skill level, where we say as someone, you know,
[00:19:56.080 --> 00:20:01.600]   who's learning a new thing, well, I want that, right. But I love your analogy so much. And I actually think
[00:20:01.600 --> 00:20:07.200]   how much better would a lot of our learning experiences be if we held that example in our
[00:20:07.200 --> 00:20:14.320]   mind, you know, to go from very beginner to very, very expert overnight, maybe I can just release that
[00:20:14.320 --> 00:20:20.240]   expectation of myself. Now we're climbing this this slope of enlightenment as it as it's called.
[00:20:20.240 --> 00:20:27.520]   And what is the process of going up that slope kind of stage three to getting to the final stage?
[00:20:27.520 --> 00:20:32.560]   Yeah, so I think the best feeling transition when you're learning a skill is when you move from that
[00:20:32.560 --> 00:20:38.000]   second stage, the valley of despair, where you are consciously incompetent, to then that slope of
[00:20:38.000 --> 00:20:42.880]   enlightenment, where your confidence goes up, your competence goes up, you're consciously competent.
[00:20:42.880 --> 00:20:47.360]   That is that transition where you start to see, oh, wait a minute, I am actually doing better,
[00:20:47.360 --> 00:20:53.040]   and I feel better. But that's not the actual endpoint of learning or skill or confidence. That third
[00:20:53.040 --> 00:20:57.440]   phase, when you're consciously competent, you are better at this skill, but it still requires
[00:20:57.440 --> 00:21:02.000]   a lot of energy and focus and attention. Maybe you're getting a little bit more skilled
[00:21:02.000 --> 00:21:06.560]   at using more than one rewards credit card and really deliberately and strategically picking,
[00:21:06.560 --> 00:21:10.720]   which is the one I'm going to use for any given expense, because I know it's going to give me the
[00:21:10.720 --> 00:21:15.680]   highest bonus points earning for this activity, or maybe you're starting to learn how to do stacking,
[00:21:15.680 --> 00:21:21.120]   right? So you already feel really confident with which credit cards you're using. But now you also
[00:21:21.120 --> 00:21:26.000]   want to say, how can I optimize and maximize my points are even earning even more, maybe I'm also going to
[00:21:26.000 --> 00:21:30.960]   utilize an online shopping portal. But the whole point is that when you're in that third phase of
[00:21:30.960 --> 00:21:36.720]   learning, it still requires a lot of deliberate focus and attention. So nothing is really automatic yet.
[00:21:36.720 --> 00:21:43.200]   But you can see that when you are paying a lot of attention, when you are trying to, you know, remind
[00:21:43.200 --> 00:21:47.440]   yourself, what am I not supposed to forget, you know, at this stage, wow, you're getting a lot better at it.
[00:21:47.440 --> 00:21:53.360]   And then what happens as you continue to just learn more, and practice more things you do over
[00:21:53.360 --> 00:21:58.400]   and over again become routine things that you once had to pay a lot of attention and focus and energy
[00:21:58.400 --> 00:22:05.920]   to in order to do it well, they become unconscious for you. And I think this is the step that so many of
[00:22:05.920 --> 00:22:11.440]   us aspire to get to, we want to get to the place where points and miles feels easy, right where we
[00:22:11.440 --> 00:22:16.720]   can walk around with 10 cards in our wallet, and we know exactly which one is going to be best for any
[00:22:16.720 --> 00:22:21.760]   specific expense, where it is easy to sit down in front of your computer and say, I want to take you
[00:22:21.760 --> 00:22:26.080]   know, my family of three from point A to point B, I actually know exactly where to look to find the
[00:22:26.080 --> 00:22:32.000]   best deal, I know automatically whether or not a given points rate for an award flight is a good
[00:22:32.000 --> 00:22:39.840]   deal or a bad deal. All of these things become easy and very routine over time, only as a reflection
[00:22:39.840 --> 00:22:46.160]   of the amount of times that you've practiced it. And so, so many of us that want to get to that stage of
[00:22:46.160 --> 00:22:52.720]   unconsciously competent, what I want you to hear and understand is, we are all on our way there,
[00:22:52.720 --> 00:22:58.160]   we don't get there at our as our second step, unfortunately, but if you continue to learn,
[00:22:58.160 --> 00:23:03.200]   if you continue to practice, then a lot of these things that require a lot of energy or a lot of
[00:23:03.200 --> 00:23:09.520]   attention to do the first time or the second time, they become incredibly, incredibly easy over time.
[00:23:09.520 --> 00:23:14.800]   I'll just tell everyone, it never stops, right? I think about this for myself, and we're trying to
[00:23:14.800 --> 00:23:21.040]   book for four people now instead of two. And, you know, we're starting to plan farther and farther in
[00:23:21.040 --> 00:23:27.200]   advance. And, you know, we're planning a trip to Asia next year. And I'm like, I have to relearn this
[00:23:27.200 --> 00:23:32.400]   whole process because we were always just booking last minute. Now we're starting to learn about when
[00:23:32.400 --> 00:23:36.800]   do schedules open, what airlines release, how many seats at the certain days, these are all new things
[00:23:36.800 --> 00:23:41.760]   to me. And then the other thing I just want to remind everyone listening is that sometimes I'll do
[00:23:41.760 --> 00:23:48.480]   an episode and I'll talk about how I did a thing. And I've probably spent 30 or 40 hours going deep
[00:23:48.480 --> 00:23:54.480]   on that thing before I talk about it. And so hopefully two things are true. One, you know that,
[00:23:54.480 --> 00:24:00.240]   but two, hopefully some of my synthesis saves you the time of needing to go through some of that work.
[00:24:00.240 --> 00:24:03.200]   But it doesn't mean that it's always going to make sense. You might need to practice it,
[00:24:03.200 --> 00:24:06.880]   you might need to approach it practically, you might need to, you know, do some reps.
[00:24:06.880 --> 00:24:12.240]   But one thing I think would be really fun to do is there are a handful of areas that I know you've
[00:24:12.240 --> 00:24:18.800]   dealt with that as we think about that, that slope in stage three, getting to stage four, maybe we could
[00:24:18.800 --> 00:24:24.640]   spend the second half of this kind of running through a few areas and hearing some of your learnings.
[00:24:24.640 --> 00:24:29.680]   I can jump in if I have any, uh, in various areas that will help people kind of build a little bit
[00:24:29.680 --> 00:24:34.160]   of knowledge from the experience you've had. Yeah, I think that's great. And I think the other thing
[00:24:34.160 --> 00:24:40.720]   that is always fun to do is I think there can be this misunderstanding that if someone does seem
[00:24:40.720 --> 00:24:45.200]   like they're good at something that they made no mistakes along the way. And I think that that is
