
[00:00:00.000 --> 00:00:02.000]   Okay
[00:06:16.040 --> 00:06:22.400]   I then founded a company called in Linux, which was the first kind of medical deep learning company
[00:06:24.240 --> 00:06:30.440]   nowadays, I'm on the faculty at University of San Francisco and also co-founder with Rachel of fast AI
[00:06:30.440 --> 00:06:33.480]   So I've used
[00:06:33.480 --> 00:06:40.280]   Machine learning throughout that time and I guess I'm not really although I am at USF for the university
[00:06:40.280 --> 00:06:44.840]   I'm not really an academic type. I'm much more interested in in using this tool
[00:06:44.840 --> 00:06:47.440]   to do useful things
[00:06:48.360 --> 00:06:54.800]   Specifically through fast AI we are trying to help people use deep learning to do useful things through
[00:06:54.800 --> 00:06:56.800]   creating software
[00:06:56.800 --> 00:07:03.360]   To make deep learning easier to use at a very high level through education such as the thing you're watching now
[00:07:03.360 --> 00:07:08.980]   Through research which is where we spend a very large amount of our time, which is researching to figure out
[00:07:08.980 --> 00:07:12.720]   How can you make deep learning easier to use at a very high level?
[00:07:12.720 --> 00:07:18.040]   Which ends up in as you'll see in the software and the education and by helping to build a community?
[00:07:18.200 --> 00:07:23.280]   Which is mainly through the forums so that practitioners can find each other and work together
[00:07:23.280 --> 00:07:26.080]   So that's what we're doing
[00:07:26.080 --> 00:07:31.140]   So this lesson practical deep learning for coders is kind of the starting point in this journey
[00:07:31.140 --> 00:07:35.120]   It contains seven lessons each one's about two hours long
[00:07:35.120 --> 00:07:39.480]   We're then expecting you to do about eight to ten hours of homework during the week
[00:07:39.480 --> 00:07:43.840]   So it'll end up being something around 70 or 80 hours of work
[00:07:43.840 --> 00:07:48.000]   I will say there is a lot as to how much people put into this
[00:07:48.000 --> 00:07:52.120]   I know a lot of people who who work full-time on fast AI
[00:07:52.120 --> 00:07:59.700]   Some folks whose do the two parts can spend a whole year doing it really intensively. I know some folks
[00:07:59.700 --> 00:08:04.440]   Watch the videos on double speed and never do any homework and come at the end of it with you know
[00:08:04.440 --> 00:08:07.560]   A general sense of what's going on. So there's lots of different ways you can do this
[00:08:07.560 --> 00:08:09.860]   but if you follow along with this kind of
[00:08:10.400 --> 00:08:16.080]   Ten hours a week or so approach for the seven weeks by the end you will be able to build an image classification
[00:08:16.080 --> 00:08:21.640]   Model on pictures that you choose that will work at a world-class level
[00:08:21.640 --> 00:08:28.080]   You'll be able to classify text again using whatever data sets you're interested in
[00:08:28.080 --> 00:08:33.340]   You'll be able to make predictions of kind of commercial applications like sales
[00:08:33.340 --> 00:08:38.000]   You'll be able to build recommendation systems such as the one used by Netflix
[00:08:38.640 --> 00:08:42.360]   Not toy examples of any of these but actually things that can
[00:08:42.360 --> 00:08:47.480]   Come top ten and capital competitions that can be everything that's in the academic community
[00:08:47.480 --> 00:08:54.340]   Very very high-level versions of these things. So that might surprise you. That's like, you know, the prerequisite here is
[00:08:54.340 --> 00:08:59.120]   Literally one year of coding and high school math
[00:08:59.120 --> 00:09:01.320]   But we have
[00:09:01.320 --> 00:09:03.920]   Thousands of students now who have done this and shown it to be true
[00:09:05.920 --> 00:09:08.960]   You will probably hear a lot of naysayers
[00:09:08.960 --> 00:09:14.400]   Less now than a couple of years ago than we started but a lot of naysayers telling you that you can't do it
[00:09:14.400 --> 00:09:18.720]   Or that you shouldn't be doing it or the deep learnings got all these problems
[00:09:18.720 --> 00:09:22.840]   It's not perfect. But these are all things that people claim about
[00:09:22.840 --> 00:09:27.640]   Deep learning which are either pointless or untrue
[00:09:27.640 --> 00:09:34.000]   It's not a black box as you'll see it's really great for interpret interpreting what's going on
[00:09:34.200 --> 00:09:39.960]   It does not need much data for most practical applications. You certainly don't need a PhD
[00:09:39.960 --> 00:09:44.440]   Rachel has one so it doesn't actually stop you from doing deep learning if you have a PhD
[00:09:44.440 --> 00:09:47.800]   I certainly don't I have a philosophy degree and nothing else
[00:09:47.800 --> 00:09:55.320]   It could be used very widely for lots of different applications not just for vision which is where it's most well known
[00:09:55.320 --> 00:09:58.100]   You don't need lots of hardware, you know
[00:09:58.100 --> 00:10:03.600]   That's a thirty six cents an hour server is more than enough to get world-class results for most problems
[00:10:03.920 --> 00:10:09.040]   It's true that maybe this is not going to help you to build a sentient brain
[00:10:09.040 --> 00:10:12.480]   But that's not our focus. Okay, so
[00:10:12.480 --> 00:10:16.560]   For all the people who say deep learning is not interesting because it's not really AI
[00:10:16.560 --> 00:10:20.880]   Not really a conversation that I'm interested in we're focused on solving
[00:10:20.880 --> 00:10:23.960]   interesting real-world problems
[00:10:23.960 --> 00:10:26.840]   What are you going to be able to do by the end of lesson one?
[00:10:26.840 --> 00:10:32.440]   Well, this was an example from Nicole who's actually in the audience now because he was in last year's course as well
[00:10:33.880 --> 00:10:37.840]   this is an example of something he did which is he downloaded 30 images of
[00:10:37.840 --> 00:10:44.200]   people playing cricket and people playing baseball and ran the code you'll see today and built a
[00:10:44.200 --> 00:10:47.600]   Nearly perfect classifier of which is which
[00:10:47.600 --> 00:10:52.760]   So this kind of it's kind of stuff that you can build with some fun hobby examples like this
[00:10:52.760 --> 00:10:57.920]   Or you can try stuff as we'll see in the workplace that it could be of direct commercial value
[00:10:57.920 --> 00:11:01.340]   So this is the idea of where we're going to get to by the end of lesson one
[00:11:02.880 --> 00:11:04.600]   We're going to start
[00:11:04.600 --> 00:11:06.600]   by looking at code
[00:11:06.600 --> 00:11:09.200]   Which is very different to?
[00:11:09.200 --> 00:11:15.800]   Many of the academic courses so for those of you who haven't kind of an engineering or math or computer science background
[00:11:15.800 --> 00:11:22.280]   This is very different to the approach where you start with lots and lots of theory and eventually you get to a postgraduate degree
[00:11:22.280 --> 00:11:26.840]   And you finally are at the point where you can build something useful. We're going to learn to build the useful thing today
[00:11:26.840 --> 00:11:29.760]   Now that means that at the end of today
[00:11:30.040 --> 00:11:34.920]   You won't know all the theory. Okay, there will be lots of aspects of what we do that
[00:11:34.920 --> 00:11:42.480]   You don't know why or how it works. That's okay. You will learn why and how it works over the next seven weeks
[00:11:42.480 --> 00:11:49.560]   But for now we found that what works really well is to actually get your hands dirty coding
[00:11:49.560 --> 00:11:53.000]   not focusing on theory because
[00:11:53.000 --> 00:11:55.600]   There's still a lot of
[00:11:55.880 --> 00:12:01.560]   Artisanship in deep learning. Unfortunately, it's still a situation where people who are good practitioners
[00:12:01.560 --> 00:12:09.840]   Have a really good feel for how to work with the code and how to work with the data and you can only get that through experience
[00:12:09.840 --> 00:12:16.400]   And so the best way to get that that that feel of how to get good models is to create lots of models
[00:12:16.400 --> 00:12:18.640]   through lots of coding and
[00:12:18.640 --> 00:12:24.440]   Study them carefully and it's Jupiter notebook provides a really great way to study them. So
[00:12:25.640 --> 00:12:27.240]   Let's try that
[00:12:27.240 --> 00:12:31.240]   Let's try getting started. So to get started you will open your
[00:12:31.240 --> 00:12:33.880]   Jupiter notebook and
[00:12:33.880 --> 00:12:36.400]   You'll click on lesson one
[00:12:36.400 --> 00:12:43.680]   Lesson one pets and it will pop open looking something like this. And so here it is so you can
[00:12:43.680 --> 00:12:50.160]   Run a cell in a Jupiter notebook by clicking on it and pressing run
[00:12:50.880 --> 00:12:57.440]   but if you do so everybody will know that you're not a real deep learning practitioner because real deep learning practitioners know the keyboard shortcuts and
[00:12:57.440 --> 00:13:02.680]   The keyboard shortcut is shift enter given how often you have to run a cell
[00:13:02.680 --> 00:13:04.960]   Don't be
[00:13:04.960 --> 00:13:09.400]   Going all the way up here finding it clicking it just shift enter. Okay, so type type type shift enter type
[00:13:09.400 --> 00:13:14.900]   Type shift enter up and down to move around to pick something to run shift enter to run it
[00:13:15.840 --> 00:13:22.600]   So we're going to go through this quickly and then later on we're going to go back over it more carefully
[00:13:22.600 --> 00:13:25.040]   So here's the quick version to get a sense of what's going on
[00:13:25.040 --> 00:13:32.660]   So here we are in lesson one and these three lines is what we start every notebook with
[00:13:32.660 --> 00:13:40.360]   These things starting with percent are special directives to Jupiter notebook itself. They're not Python code. They're called magics
[00:13:40.360 --> 00:13:45.000]   Just kind of a cool name and these three directives the details aren't very important
[00:13:45.000 --> 00:13:49.960]   But basically it says hey if somebody changes the underlying library code while I'm running this
[00:13:49.960 --> 00:13:56.640]   Please reload it automatically if somebody asks to plot something then please plot it here in this Jupiter notebook
[00:13:56.640 --> 00:13:59.440]   So just put those three lines at the top of everything
[00:13:59.440 --> 00:14:05.140]   The next two lines load up the fast AI library
[00:14:05.140 --> 00:14:08.000]   What is the fast AI library?
[00:14:08.000 --> 00:14:14.000]   So it's a little bit confusing fast AI with no dot is the name of our software and then fast dot AI
[00:14:14.160 --> 00:14:16.160]   With the dot is the name of our organization
[00:14:16.160 --> 00:14:19.480]   So if you go to docs dot fast dot AI
[00:14:19.480 --> 00:14:22.240]   This is the fast AI
[00:14:22.240 --> 00:14:25.600]   Library, okay, we'll learn more about it in a moment
[00:14:25.600 --> 00:14:31.760]   But for now just realize everything we are going to do is going to be using basically either fast AI
[00:14:31.760 --> 00:14:36.920]   Or the thing that fast AI sits on top of which is pytorch
[00:14:36.920 --> 00:14:39.960]   Pytorch is one of the most popular
[00:14:39.960 --> 00:14:42.840]   libraries for deep learning in the world
[00:14:43.480 --> 00:14:49.760]   It's a bit newer than TensorFlow. So in a lot of ways, it's more modern than TensorFlow
[00:14:49.760 --> 00:14:53.640]   It's
[00:14:53.640 --> 00:14:59.480]   Extremely fast-growing extremely popular and we use it because we used to use TensorFlow a couple of years ago
[00:14:59.480 --> 00:15:04.080]   And we found we can just do a lot more a lot more quickly with pytorch
[00:15:04.080 --> 00:15:09.520]   And then we have this software that sits on top of pytorch unless you do
[00:15:09.880 --> 00:15:14.200]   Far far far more things far far far more easily than you can with pytorch alone
[00:15:14.200 --> 00:15:21.040]   So it's a good combination. We'll be talking a lot about it. But for now, just know that you can use fast AI by doing two things
[00:15:21.040 --> 00:15:27.400]   importing star from fast AI and then importing star from fast AI dot
[00:15:27.400 --> 00:15:34.360]   Something where something is the application you want and currently fast AI supports four applications computer vision
[00:15:34.360 --> 00:15:37.200]   natural language text
[00:15:37.600 --> 00:15:43.680]   Tabular data and collaborative filtering and we're going to see lots of examples of all of those during the seven weeks
[00:15:43.680 --> 00:15:45.680]   So we're going to be doing some computer vision
[00:15:45.680 --> 00:15:50.600]   At this point if you are a Python software engineer, you are probably
[00:15:50.600 --> 00:15:58.320]   Feeling sick because you've seen me go import star, which is something that you've all been told to never ever do
[00:15:58.320 --> 00:16:05.760]   Okay, and there's very good reasons to not use import star in standard production code with most libraries
[00:16:06.320 --> 00:16:09.680]   But you might have also seen for those of you that have used something like Matlab
[00:16:09.680 --> 00:16:14.900]   It's kind of the opposite everything's there for you all the time. You don't even have to import things a lot of the time
[00:16:14.900 --> 00:16:20.760]   It's kind of funny. We've got these two extremes of like how do I code you've got a scientific
[00:16:20.760 --> 00:16:26.280]   Programming community that has one way and then you've got the software engineering community that has the other
[00:16:26.280 --> 00:16:33.000]   Both have really good reasons for doing things and with the fast AI library. We actually support both approaches
[00:16:33.440 --> 00:16:38.160]   Indeed you put a notebook where you want to be able to quickly interactively try stuff out
[00:16:38.160 --> 00:16:43.200]   You don't want to be constantly going back up to the top and importing more stuff and trying to figure out where things are
[00:16:43.200 --> 00:16:49.240]   You want to be able to use lots of tab complete be you know, very experimental. So import star is great
[00:16:49.240 --> 00:16:51.880]   Then when you're building stuff in production
[00:16:51.880 --> 00:16:58.560]   You can do the normal Pepe style, you know proper software engineering practices. So
[00:16:58.560 --> 00:17:01.200]   So don't worry
[00:17:01.200 --> 00:17:08.080]   When you see me doing stuff which at your workplace is found upon, okay, it's it's this is a different style of coding
[00:17:08.080 --> 00:17:09.240]   It's not that
[00:17:09.240 --> 00:17:11.840]   There are no rules in data science programming
[00:17:11.840 --> 00:17:15.120]   It's that the rules are different right when you're training models
[00:17:15.120 --> 00:17:22.880]   The most important thing is to be able to interactively experiment quickly. Okay, so you'll see we use a lot of very different
[00:17:22.880 --> 00:17:27.560]   Processes styles and stuff to what you're used to but they're there for a reason
[00:17:28.280 --> 00:17:34.120]   And you'll learn about them over time. You can choose to use a similar approach or not. It's entirely up to you
[00:17:34.120 --> 00:17:38.080]   The other thing to mention is that the fast AI libraries
[00:17:38.080 --> 00:17:45.080]   In a real designed in a very interesting modular way and you'll find over time that when you do use import star
[00:17:45.080 --> 00:17:48.280]   There's far less clobbering of things than you might expect
[00:17:48.280 --> 00:17:54.300]   It's all explicitly designed to allow you to pull in things and use them quickly without having problems
[00:17:55.320 --> 00:17:59.480]   Okay, so we're going to look at some data and
[00:17:59.480 --> 00:18:06.880]   There's two main places that will be tending to get data from for the course one is from academic data sets
[00:18:06.880 --> 00:18:10.960]   Academic data sets are really important. They're really interesting
[00:18:10.960 --> 00:18:13.440]   They're things where academics spend a lot of time
[00:18:13.440 --> 00:18:19.240]   Curating and gathering a data set so that they can show how well different kinds of approaches work with that data
[00:18:19.240 --> 00:18:22.040]   The idea is they try to design data sets that are
[00:18:23.000 --> 00:18:26.640]   Challenging in some way and require some kind of breakthrough to do them. Well
[00:18:26.640 --> 00:18:30.840]   So we're going to be starting with an academic data set called the pet data set
[00:18:30.840 --> 00:18:37.040]   The other kind of data set will be using during the course is data sets from the Kaggle competitions platform
[00:18:37.040 --> 00:18:41.680]   Both academic data sets and Kaggle data sets are interesting for us
[00:18:41.680 --> 00:18:47.560]   Particularly because they provide strong baselines that is to say you want to know if you're doing a good job
[00:18:48.120 --> 00:18:55.480]   so with Kaggle data sets that have come from a competition you can actually submit your results to Kaggle and see how well would
[00:18:55.480 --> 00:19:00.580]   You have gone in that competition and if you can get in about the top 10% then I'd say you're doing
[00:19:00.580 --> 00:19:02.800]   pretty well
[00:19:02.800 --> 00:19:04.800]   for academic data sets
[00:19:04.800 --> 00:19:11.160]   Academics write down in papers what the state-of-the-art is so how well did they go with using models on that data set?
[00:19:11.160 --> 00:19:14.000]   So this is this is what we're going to do. We're going to try and
[00:19:14.000 --> 00:19:15.880]   create
[00:19:15.880 --> 00:19:22.180]   Models that get right up towards the top of Kaggle competitions preferably actually in the top 10 not just the top 10%
[00:19:22.180 --> 00:19:27.480]   Or that meet or exceed academic state-of-the-art published results
[00:19:27.480 --> 00:19:29.720]   so
[00:19:29.720 --> 00:19:31.720]   the
[00:19:31.720 --> 00:19:34.320]   When you use an academic data set
[00:19:34.320 --> 00:19:36.840]   It's important to site it so you'll see here
[00:19:36.840 --> 00:19:40.760]   There's a link to the paper that it's from you definitely don't need to read that paper right now
[00:19:41.040 --> 00:19:47.240]   But if you're interested in learning more about it, and why it was created, and how it was created all the details are there
[00:19:47.240 --> 00:19:54.000]   So in this case this is a pretty difficult challenge the pet data sets going to ask us to distinguish between
[00:19:54.000 --> 00:20:00.460]   37 different categories of dog breed and cat breed so that's really hard in fact
[00:20:00.460 --> 00:20:03.680]   Every course until this one
[00:20:03.680 --> 00:20:09.340]   We've used a different data set which is one where you just have to decide is something a dog or is it a cat?
[00:20:09.680 --> 00:20:14.200]   So you've got a 50/50 chance right away, right and dogs and cats look really different
[00:20:14.200 --> 00:20:19.700]   There are lots of dog breeds and cat breeds look pretty much the same so why have we changed that data set?
[00:20:19.700 --> 00:20:25.780]   We've got to the point now where deep learning is so fast and so easy that the dogs versus cats problem
[00:20:25.780 --> 00:20:29.360]   Which a few years ago was considered extremely difficult
[00:20:29.360 --> 00:20:32.800]   80% accuracy was the state-of-the-art. It's now too easy
[00:20:32.800 --> 00:20:38.840]   Our models were basically getting everything right all the time without any tuning
[00:20:38.840 --> 00:20:43.880]   And so they weren't you know really a lot of the opportunities for me to show you how to do more sophisticated stuff
[00:20:43.880 --> 00:20:46.560]   So we've picked a harder problem this year
[00:20:46.560 --> 00:20:52.780]   So this is the first class where we're going to be learning how to do this difficult problem and this kind of thing where you
[00:20:52.780 --> 00:20:59.800]   Have to distinguish between similar categories is called in the academic context. It's called fine-grained classification
[00:20:59.800 --> 00:21:02.400]   so we're going to do the fine-grained classification tasks of
[00:21:02.400 --> 00:21:08.620]   Figuring out a particular kind of pet and so the first thing we have to do is download and extract
[00:21:08.620 --> 00:21:12.780]   The data that we want we're going to be using this function called
[00:21:12.780 --> 00:21:18.380]   Antar data which will download it automatically and will enter it automatically
[00:21:18.380 --> 00:21:25.960]   AWS has been kind enough to give us lots of space and bandwidth for these data sets so they'll download super quickly for you
[00:21:25.960 --> 00:21:31.560]   And so the first question then would be how do I know what Antar data?
[00:21:31.560 --> 00:21:33.540]   does
[00:21:33.540 --> 00:21:36.340]   So you can just type help and you will find out
[00:21:36.860 --> 00:21:41.220]   What module did it come from because since we imported start we don't necessarily know that
[00:21:41.220 --> 00:21:44.300]   What does it do and?
[00:21:44.300 --> 00:21:47.600]   something you might not have seen before even if you're an experienced programmer is
[00:21:47.600 --> 00:21:54.980]   What exactly do you pass to it? You're probably used to seeing the names URL file name
[00:21:54.980 --> 00:21:58.060]   Destination that you might not be used to seeing
[00:21:58.060 --> 00:22:04.340]   These bits these bits of types and if you've used a type programming language, you'll be used to seeing them
[00:22:04.860 --> 00:22:08.540]   But Python programmers are less used to it, but if you think about it
[00:22:08.540 --> 00:22:15.140]   You don't actually know how to use a function unless you know what type each thing is that you're providing it
[00:22:15.140 --> 00:22:17.580]   So we make sure that we give you that type information
[00:22:17.580 --> 00:22:25.780]   Directly here in the help so in this case the URL is a string and the file name is either union means either
[00:22:25.780 --> 00:22:31.260]   either a path or a string and it defaults to nothing and
[00:22:31.580 --> 00:22:35.580]   The destination is either a path or a string that defaults to nothing
[00:22:35.580 --> 00:22:40.740]   So we'll learn more shortly about how to get more documentation about the details of this
[00:22:40.740 --> 00:22:44.780]   But for now we can see we don't have to pass in a file name or a destination
[00:22:44.780 --> 00:22:49.660]   It'll figure them out for us from the URL so and for all the data sets
[00:22:49.660 --> 00:22:52.720]   We'll be using in the course. We already have constants to find
[00:22:52.720 --> 00:22:57.780]   For all of them right so in this URLs module class actually
[00:22:58.740 --> 00:23:04.580]   You can see that's where it's going to grab it from okay, so it's going to download that to some
[00:23:04.580 --> 00:23:09.260]   Convenient path and untie it for us and will then return
[00:23:09.260 --> 00:23:12.020]   the value of path
[00:23:12.020 --> 00:23:16.060]   Okay, and then in Jupyter notebook. It's kind of handy
[00:23:16.060 --> 00:23:23.180]   You can just write a variable on its own right and semicolon is just an end a statement marker in Python
[00:23:23.180 --> 00:23:27.940]   So it's the same as doing this you can write it on its own and it prints it you can also say print
[00:23:28.260 --> 00:23:34.580]   Right, but again, we're trying to do everything fast and interactively this right it and here is the path
[00:23:34.580 --> 00:23:37.180]   Where it's given us our data
[00:23:37.180 --> 00:23:39.780]   Next time you run this
[00:23:39.780 --> 00:23:44.960]   Since you've already downloaded it it won't download it again since you've already untied it it won't untie it again
[00:23:44.960 --> 00:23:48.260]   So everything's kind of designed to be pretty automatic pretty easy
[00:23:48.260 --> 00:23:52.900]   There are some things in
[00:23:52.940 --> 00:23:58.540]   Python that are less convenient for interactive use than they should be for example when you do have a path object
[00:23:58.540 --> 00:24:03.960]   Seeing what's in it actually is takes a lot more typing than I would like so sometimes we add
[00:24:03.960 --> 00:24:11.660]   Functionality into existing Python stuff one of the things we do is we add an LS method to paths so if you go path to LS
[00:24:11.660 --> 00:24:14.420]   Here is what's inside?
[00:24:14.420 --> 00:24:18.420]   This path so that's what we just downloaded so when you try this yourself
[00:24:19.220 --> 00:24:24.020]   You wait a couple minutes for it to download unzip and then you can see what's in there
[00:24:24.020 --> 00:24:28.620]   If you're an experienced Python programmer
[00:24:28.620 --> 00:24:34.560]   You may not be familiar with this approach of using a slash like this now. This is a really convenient function
[00:24:34.560 --> 00:24:42.280]   That's part of Python 3 its functionality from something called path lib these are path objects path objects are much better to use than strings
[00:24:42.280 --> 00:24:48.460]   That lets you basically create sub paths like this doesn't matter if you're on Windows Linux Mac
[00:24:49.020 --> 00:24:51.020]   It's always going to work exactly the same way
[00:24:51.020 --> 00:24:55.460]   So here's a path to the images in that data set
[00:24:55.460 --> 00:25:02.860]   Alright, so if you're starting with a brand new data set try to do some deep mining on it
[00:25:02.860 --> 00:25:09.300]   What do you do? Well the first thing you would want to do is probably see what's in there, so we found that these are the
[00:25:09.300 --> 00:25:14.500]   Directories that in there, so what's in this images?
[00:25:15.140 --> 00:25:21.100]   There's a lot of functions in fast.io for you. There's one called get image files that will just grab a
[00:25:21.100 --> 00:25:25.480]   Array of all of the image files based on extension in a path
[00:25:25.480 --> 00:25:28.420]   and so here you can see
[00:25:28.420 --> 00:25:30.660]   We've got lots of different files
[00:25:30.660 --> 00:25:33.100]   Okay, so this is a pretty
[00:25:33.100 --> 00:25:35.300]   common way to
[00:25:35.300 --> 00:25:40.900]   Image computer vision data sets to get passed around is such as just one folder with a whole bunch of files in
[00:25:40.900 --> 00:25:43.860]   so the interesting bit then is
[00:25:44.580 --> 00:25:50.340]   How do we get the labels so in machine learning the labels refer to the thing?
[00:25:50.340 --> 00:25:56.340]   We're trying to predict and if we just eyeball this we can immediately see that the labels
[00:25:56.340 --> 00:26:01.660]   Actually part of the file name you see that right. It's kind of like path
[00:26:01.660 --> 00:26:05.140]   label underscore number
[00:26:05.140 --> 00:26:09.740]   extension so we need to somehow get a list of
[00:26:09.740 --> 00:26:13.660]   These bits of each file name and that will give us our labels
[00:26:14.260 --> 00:26:21.140]   Because that's all you need to build a deep learning model. You need some pictures so files containing the images and you need some labels
[00:26:21.140 --> 00:26:26.700]   so in fast AI this is made really easy there's a
