
[00:00:00.000 --> 00:00:04.200]   [Intro Music]
[00:04:43.100 --> 00:04:46.600]   I'm totally not a naturalist.
[00:04:46.600 --> 00:04:56.600]   I see fingers of God in the atom and in the galaxies all the time, every millisecond of history, controlling everything.
[00:04:56.600 --> 00:05:03.500]   I don't know what kind of God that you have who may be folding his arms, sitting back, doing nothing, letting the world run rampant.
[00:05:03.500 --> 00:05:06.800]   That's just not the biblical God.
[00:05:06.800 --> 00:05:09.300]   And therefore not our God.
[00:05:09.300 --> 00:05:16.300]   If the stars, how much more the weather, disasters, disease, disability, death.
[00:05:16.300 --> 00:05:19.300]   Psalm 147, verse 15.
[00:05:19.300 --> 00:05:22.400]   He sends out his command to the earth.
[00:05:22.400 --> 00:05:24.700]   His word runs swiftly.
[00:05:24.700 --> 00:05:27.400]   He gives snow like wool.
[00:05:27.400 --> 00:05:30.600]   They had 40 inches last week in the Smoky Mountains.
[00:05:30.600 --> 00:05:32.400]   God did that.
[00:05:32.400 --> 00:05:37.000]   He hurls down his crystals of ice like crumbs.
[00:05:37.000 --> 00:05:39.300]   Who can stand before his cold?
[00:05:39.300 --> 00:05:42.700]   I love living in Minnesota.
[00:05:42.700 --> 00:05:43.900]   Is that cold?
[00:05:43.900 --> 00:05:45.500]   That's God.
[00:05:45.500 --> 00:05:48.800]   You haven't felt cold yet, all you Californians.
[00:05:48.800 --> 00:05:52.300]   He sends out his word and he melts them.
[00:05:52.300 --> 00:05:55.700]   He makes his wind blow and waters flow.
[00:05:55.700 --> 00:05:57.600]   That's Psalm 47.
[00:05:57.600 --> 00:05:59.400]   Here's Job 37.
[00:05:59.400 --> 00:06:03.600]   He loads the thick clouds with moisture.
[00:06:03.600 --> 00:06:06.200]   The clouds scatter his lightning.
[00:06:06.200 --> 00:06:14.600]   They turn round and round by his guidance to accomplish all his commands.
[00:06:14.600 --> 00:06:19.800]   He commands them and on the face of the inhabitable world, he does his bidding,
[00:06:19.800 --> 00:06:24.000]   whether for correction or for his land or for love.
[00:06:24.000 --> 00:06:29.200]   He causes it to happen.
[00:06:29.200 --> 00:06:35.700]   I love how clear the Bible is about the sovereignty of God over the natural world.
[00:06:35.700 --> 00:06:41.600]   Snow, rain, cold, heat, wind are the work of God.
[00:06:41.600 --> 00:06:46.600]   And when Jesus finds himself in the middle of a life-threatening raging storm,
[00:06:46.600 --> 00:06:50.900]   he stands up and speaks two words.
[00:06:50.900 --> 00:06:52.600]   Be still.
[00:06:52.600 --> 00:06:58.200]   And the wind stops and the waves go flat.
[00:06:58.200 --> 00:07:04.600]   And he could have done it last Monday in New York.
[00:07:04.600 --> 00:07:09.400]   And if you say he couldn't have, I don't know what kind of Jesus you have.
[00:07:09.400 --> 00:07:11.300]   Is he alive?
[00:07:11.300 --> 00:07:12.300]   Is he raining?
[00:07:12.300 --> 00:07:14.500]   Is he the same Jesus today?
[00:07:14.500 --> 00:07:19.100]   Of course he is, which means anytime, anywhere on the planet,
[00:07:19.100 --> 00:07:25.800]   any wind can be stopped with two words from heaven, stop, and it would obey.
[00:07:25.800 --> 00:07:32.200]   And if he doesn't say it, he has purposes.
[00:07:32.200 --> 00:07:37.400]   There is no wind, there is no storm, there is no hurricane, there is no cyclone,
[00:07:37.400 --> 00:07:42.400]   there is no typhoon, there is no monsoon, there's no tornado over which Jesus
[00:07:42.400 --> 00:07:48.200]   cannot say, "Be still," without getting off his throne, and it will obey him.
[00:07:48.200 --> 00:07:55.700]   And if it blows, he intends it to blow, and he has purposes for it that are better
[00:07:55.700 --> 00:07:57.900]   than avoiding it.
[00:07:57.900 --> 00:08:01.200]   That's what I'd preach if I were in the middle of New York right now,
[00:08:01.200 --> 00:08:05.800]   with the long six-hour lines at the gasoline, and 98-plus people dead,
[00:08:05.800 --> 00:08:08.700]   and new bodies being found everywhere.
[00:08:08.700 --> 00:08:11.400]   I wouldn't preach, "My God is helpless."
[00:08:11.400 --> 00:08:12.500]   I would not.
[00:08:12.500 --> 00:08:16.700]   I would not take away the hope of these people by saying, "You don't have a God
[00:08:16.700 --> 00:08:20.000]   who can help you because he's just too weak to stop a storm.
[00:08:20.000 --> 00:08:22.100]   How could he control the storms of your life?
[00:08:22.100 --> 00:08:27.400]   How could he help you at all if he can't speak what Jesus spoke?"
[00:08:27.400 --> 00:08:28.900]   I wouldn't preach that way.
[00:08:28.900 --> 00:08:30.900]   I don't preach that way.
[00:08:30.900 --> 00:08:31.400]   Amen.
[00:08:31.400 --> 00:08:34.000]   That was taken from John Pepper's sermon, "The Sovereignty of God,"
[00:08:34.000 --> 00:08:36.600]   preached on November 3rd, 2012.
[00:08:36.600 --> 00:08:40.600]   You can find the entire thing online at DesiringGod.org.
[00:08:40.600 --> 00:08:41.400]   Thanks for listening.
[00:08:41.400 --> 00:08:45.200]   If you want new episodes of this podcast delivered to you, subscribe to Ask Pastor
[00:08:45.200 --> 00:08:50.000]   John in your favorite podcast app in Spotify or by subscribing to DG's YouTube channel.
[00:08:50.000 --> 00:08:53.700]   And to find other episodes in our archive or to submit a question to us of your own,
[00:08:53.700 --> 00:08:59.600]   do that online at DesiringGod.org/AskPastorJohn.
[00:08:59.600 --> 00:09:01.700]   Well, Pastor John is back with us on Friday.
[00:09:01.700 --> 00:09:06.400]   I'll ask him, "Do my sins sabotage God's best plan for my life?
[00:09:06.400 --> 00:09:10.700]   Do I lose God's best plan for me by living in sin?"
[00:09:10.700 --> 00:09:16.200]   This is such an important question, and it was sent to us in an email from a regretful
[00:09:16.200 --> 00:09:17.700]   middle-aged woman.
[00:09:17.700 --> 00:09:18.400]   I'm Tony Reinke.
[00:09:18.400 --> 00:09:20.700]   We'll see you back here on Friday.
[00:09:20.800 --> 00:09:22.800]   [End]
[00:09:22.900 --> 00:09:24.900]   1. What is the secret of the power of God?
[00:09:25.000 --> 00:09:27.000]   2. What is the secret of the power of God?
[00:09:27.000 --> 00:09:37.000]   [BLANK_AUDIO]

