
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:03:25.000 --> 00:03:35.000]   Many can speak to the damage it's done to their marriages, but I would like to appeal to you as a parent and how supporting this 'business model' puts your own family as well as the families of your listeners at risk.
[00:03:35.000 --> 00:03:39.000]   My experience is that your guest whitewashed what he did.
[00:03:39.000 --> 00:03:43.000]   My young adult daughter found herself being offered a job as a server at a strip club.
[00:03:43.000 --> 00:03:45.000]   She needed the money, and the tips were good.
[00:03:45.000 --> 00:03:48.000]   This was the gateway to where we are in 2020.
[00:03:48.000 --> 00:03:59.000]   She was offered the chance to dance, lured into stripping, has become a heroin addict to deal with the pain, lost custody of her now 16-year-old son, then a 2-year-old who was abused by her clients.
[00:03:59.000 --> 00:04:04.000]   She has seen her friends murdered, and now works the truck stops around Las Vegas.
[00:04:04.000 --> 00:04:07.000]   Last year she was picked up and sentenced to a year in prison.
[00:04:07.000 --> 00:04:10.000]   Upon being picked up, she found out she was pregnant.
[00:04:10.000 --> 00:04:16.000]   Her sentence would be longer than her pregnancy, so our youngest grandchild was born while her mom was in prison.
[00:04:16.000 --> 00:04:24.000]   On December 18th, I flew to Las Vegas to serve as guardian of our granddaughter and spent the next several days with her in the NICU.
[00:04:24.000 --> 00:04:28.000]   On the 29th, I flew back to Minnesota with our 8-day-old granddaughter.
[00:04:28.000 --> 00:04:34.000]   At 61 years old, I have recently retired much earlier than expected, and we are now adopting Lily.
[00:04:34.000 --> 00:04:40.000]   This choice, while in the best interest of our family, will cost my husband and I a considerable sum.
[00:04:40.000 --> 00:04:44.000]   With the lost income, we could buy your guest another fast car or two.
[00:04:44.000 --> 00:04:50.000]   Ours is one of the more hopeful stories, and that unfortunately plays out in more Christian homes than meets the eye.
[00:04:50.000 --> 00:04:53.000]   My point being, our daughter was a leader in our church youth group.
[00:04:53.000 --> 00:04:55.000]   She wanted to go into youth ministry as a career.
[00:04:55.000 --> 00:05:02.000]   She was an honor student, and men like your guest stepped in and flashed money, fast cars, lots of cash, and cocaine.
[00:05:02.000 --> 00:05:18.000]   They seem to walk away unscathed by their actions and litter their life with the hollowed-out lives with the women they fire if they aren't profitable, or beat to death for not turning more tricks per day.
[00:05:18.000 --> 00:05:21.000]   As a podcaster, is this the business model you want to sell to others?
[00:05:21.000 --> 00:05:25.000]   As a very devout Christian man, does this align with your faith?
[00:05:25.000 --> 00:05:30.000]   Do you feel right holding up your guest as a role model to your young male and female listeners?
[00:05:30.000 --> 00:05:34.000]   Being cool and minimizing immoral actions is all part of the game.
[00:05:34.000 --> 00:05:36.000]   I give your guest credit for one thing.
[00:05:36.000 --> 00:05:39.000]   He acknowledged that he lived in a country that tolerated corruption.
[00:05:39.000 --> 00:05:43.000]   Are you yet another wide-eyed Christian who has fallen for his deception?
[00:05:43.000 --> 00:05:45.000]   Do you really know what's going on in his casinos?
[00:05:45.000 --> 00:05:48.000]   I guess he's bringing people in with more than free Starbucks coffee.
[00:05:48.000 --> 00:05:52.000]   I hope you reconsider this particular podcast and remove it from your feed.
[00:05:52.000 --> 00:06:01.000]   I thought that email was just particularly striking because obviously it was written from a place of deep personal pain for that mother.
[00:06:01.000 --> 00:06:20.000]   And as I thought about it, I just realized how serious it is to point people in a direction that can have dire influences and has oftentimes generational influences.
[00:06:20.000 --> 00:06:25.000]   I pride myself personally on my ability to talk with just about anybody.
[00:06:25.000 --> 00:06:28.000]   I try very hard not to be a prude.
[00:06:28.000 --> 00:06:30.000]   I try in the show not to be a prude.
[00:06:30.000 --> 00:06:36.000]   I try to talk about things broadly and be willing to listen to people, be willing to talk to people I disagree with.
[00:06:36.000 --> 00:06:40.000]   And in my personal life, I pride myself on that, my ability to talk with almost anyone.
[00:06:40.000 --> 00:06:45.000]   I pride myself on my ability not to get offended at small things.
[00:06:45.000 --> 00:06:50.000]   But it really struck me, there's something about the rebuke of a grandmother that cuts you to the heart.
[00:06:50.000 --> 00:07:01.000]   And I just realized that even though I tried to, in that interview I did my best to say, "Okay, well let's talk about the interesting things," and there were lots of interesting things,
[00:07:01.000 --> 00:07:08.000]   I just realized that the consequences for pointing people down a path of immorality are very, very serious.
[00:07:08.000 --> 00:07:12.000]   I was reflecting on it and I was thinking about what Christ taught.
[00:07:12.000 --> 00:07:18.000]   In the book of Luke, Jesus was preaching and it's in Luke chapter 17 and he says this.
[00:07:18.000 --> 00:07:30.000]   He says, "And Jesus said to his disciples, 'Temptations to sin are sure to come, but woe to the one through whom they come.'"
[00:07:30.000 --> 00:07:38.000]   I repeat, "Temptations to sin are sure to come, but woe to the one through whom they come.
[00:07:38.000 --> 00:07:50.000]   It would be better for him if a millstone were hung around his neck and he were cast into the sea than that he should cause one of these little ones to sin."
[00:07:50.000 --> 00:07:57.000]   It's hard to get more serious than to have Jesus Christ himself, the man that most of us acknowledge was the epitome of love.
[00:07:57.000 --> 00:08:09.000]   It's hard to get more serious than when Jesus Christ himself says, "It would be better for a man to have a stone put around his neck and to be drowned in the sea than to cause someone to sin."
[00:08:09.000 --> 00:08:20.000]   And the one thing I like about this passage in Luke, which is different than the parallel passages in Matthew and Mark, just is that first comment, "Temptations to sin are sure to come, but woe to the one through whom they come."
[00:08:20.000 --> 00:08:29.000]   And so I don't want to be a part of that. I don't want to at all. And I pushed the line too hard, and I'm sorry, and I hope you'll forgive me.
[00:08:29.000 --> 00:08:36.000]   And I removed the episode from the podcast feed, and I'll try to in the future exercise more judgment.
[00:08:36.000 --> 00:08:43.000]   It's tough, right, when you do this stuff alone, you don't have enough people to talk to, and so judgment is a tricky thing, and I'll try to do a better job in the future.
[00:08:43.000 --> 00:08:50.000]   So my apologies, I don't ever want to be one who influences somebody in the direction of sin.
[00:08:50.000 --> 00:08:59.000]   That's a very, very serious thing. And so I apologize. I hope you'll forgive me, and we'll try to keep the show interesting.
[00:08:59.000 --> 00:09:09.000]   I'll try to not be a prude, but I don't want to highlight things that would cause anybody to go in the direction of sin.
[00:09:09.000 --> 00:09:18.000]   I think of some of the prostitutes that I've seen on the street. You see just people are just in total abject poverty, and it's just heartbreaking.
[00:09:18.000 --> 00:09:25.000]   And of course, I think of my daughter, and I think of, "Is this the kind of stuff that I want to glorify?" And it's not, so I apologize.
[00:09:25.000 --> 00:09:31.000]   And on that note, we go to Rita in North Carolina. Rita, welcome to the show. How can I serve you today?
[00:09:31.000 --> 00:09:43.000]   Hi, Joshua. I'm actually in Florida. That's where my phone number comes from. But that's heavy. I have to acknowledge that.
[00:09:43.000 --> 00:09:57.000]   Whoa, following up, I'm actually glad that I was chosen first, and I just want to tell you that I have so much respect for you, and that's why. So that was awesome.
[00:09:57.000 --> 00:10:11.000]   So what I was calling for was not a financial question today. In Florida, you know, the schools are opening up, and I chose, of course, to homeschool.
[00:10:11.000 --> 00:10:20.000]   And as a single parent that works from home, I just wanted to know if you can give me any tips, pointers, and encouragement.
[00:10:20.000 --> 00:10:33.000]   And how do you, being that you came up through homeschooling, but you had brothers and sisters, my child is the only child, what do you recommend at this time for socialization?
[00:10:33.000 --> 00:10:35.000]   How old is your child?
[00:10:35.000 --> 00:10:36.000]   Five.
[00:10:36.000 --> 00:10:38.000]   Five.
[00:10:38.000 --> 00:10:50.000]   Everything with socialization is hard because of COVID. And so, you know, as my wife and I, we've talked through what's going well and what's not going well with our children and our family and whatnot.
[00:10:50.000 --> 00:10:56.000]   I always make sure I identify, is this a problem due to COVID, or is this a problem due to something else?
[00:10:56.000 --> 00:11:05.000]   And what we find is that most of our problems right now are due to COVID, and it's, of course, impacting all of our lives in some pretty heavy ways.
[00:11:05.000 --> 00:11:09.000]   For socialization during COVID, you're extraordinarily limited.
[00:11:09.000 --> 00:11:12.000]   So, let me zoom back for just a moment.
[00:11:12.000 --> 00:11:21.000]   From the perspective of socialization, I think it's important to, which is a major concern that all of us have as parents, right?
[00:11:21.000 --> 00:11:25.000]   We all acknowledge that we want our children to be socially competent.
[00:11:25.000 --> 00:11:28.000]   We want our children to have strong social skills.
[00:11:28.000 --> 00:11:32.000]   We want our children to be able to win friends and influence people.
[00:11:32.000 --> 00:11:37.000]   We want them to be liked, to be loved, to be cared about, and to be kind.
[00:11:37.000 --> 00:11:40.000]   And so, we acknowledge that those skills need to be earned.
[00:11:40.000 --> 00:11:53.000]   And all of us are rightly concerned, well, how are those skills going to be learned by a child, especially if we take that child out of an environment where there is more opportunity for social interaction?
[00:11:53.000 --> 00:11:57.000]   And so, that's the number one concern that I often hear with parents about homeschooling.
[00:11:57.000 --> 00:12:01.000]   Well, if I homeschool my child, how am I going to provide for that socialization?
[00:12:01.000 --> 00:12:04.000]   So, here are my comments, kind of big picture.
[00:12:04.000 --> 00:12:11.000]   Number one, I am personally convinced that children learn social skills from their parents primarily.
[00:12:11.000 --> 00:12:25.000]   When I meet awkward children, not always, but it seems to me like at least more often than not, if not the majority of times, the awkwardness that the child has in social circumstances can often be traced to the parent.
[00:12:25.000 --> 00:12:30.000]   And I think that children learn most of their social skills from their parent.
[00:12:30.000 --> 00:12:41.000]   And so, usually, awkward children are probably due to awkward parents, whereas socially well-adjusted children are probably due to socially well-adjusted parents.
[00:12:41.000 --> 00:12:51.000]   And so, the first thing that I focus on is trying to have my children with me, is that I think that I can do okay in most social situations.
[00:12:51.000 --> 00:12:56.000]   I'm probably not the world's, you know, slickest of men, but I am comfortable in social situations.
[00:12:56.000 --> 00:12:58.000]   I know how to treat people with kindness and respect.
[00:12:58.000 --> 00:13:05.000]   And so, if my children are with me, they'll see me, and they'll naturally model my behavior.
[00:13:05.000 --> 00:13:14.000]   And so, I would say the first thing is to try to keep your child with you and to intentionally expose your child to the social situations that you're involved in.
[00:13:14.000 --> 00:13:17.000]   That's not easy if you have to go to an office and work.
[00:13:17.000 --> 00:13:22.000]   So, of course, there's a whole world of social situations there that he or she won't be able to be involved in.
[00:13:22.000 --> 00:13:29.000]   But with your friends, with your family, et cetera, because they're going to be watching and learning social skills there.
[00:13:29.000 --> 00:13:32.000]   That's the first thing, and I think the most important thing.
[00:13:32.000 --> 00:13:43.000]   What I like about that is if children learn how to interact effectively with parents, they'll understand how to work effectively in an adult world, which is ultimately what we're training them for.
[00:13:43.000 --> 00:13:57.000]   One of my frustrations with people using school as a primary tool of socialization is children learn how to interact with other children, but those experiences are often very artificial.
[00:13:57.000 --> 00:14:06.000]   And if you ever tried to treat an adult the way that children treat children, you would quickly find out that those aren't positive quality social skills for them to learn.
[00:14:06.000 --> 00:14:18.000]   And so if children can interact with adults effectively, they've made a significant progress towards learning how to function in the real world.
[00:14:18.000 --> 00:14:34.000]   That's also a success tip for them, because if a child can interact effectively with adults and interact respectfully, competently, intelligently, that child will have far more opportunities than they will at a later day in life.
[00:14:34.000 --> 00:14:47.000]   I remember one story from my own life is that I got a job one time in ninth grade, I think it was, and I got it simply because I went to a friend of mine, a female ninth grade friend, to her birthday party.
[00:14:47.000 --> 00:14:51.000]   And I just spent some time sitting in the living room talking with her parents.
[00:14:51.000 --> 00:15:01.000]   There were a couple of older couples there of parents and one of their friends there, and I sat and chatted with them for a little while, and the guy offered me a job basically right after the fact.
[00:15:01.000 --> 00:15:08.000]   And I observed that I was the only one that sat down and talked with the parents, and yet it resulted in good things for me.
[00:15:08.000 --> 00:15:09.000]   So that's the first thing.
[00:15:09.000 --> 00:15:13.000]   Number two is to identify the stage of life where a child is.
[00:15:13.000 --> 00:15:21.000]   So there's a massive difference in the socialization needs of a five-year-old girl versus a 15-year-old girl.
[00:15:21.000 --> 00:15:27.000]   And so at five, I think you're still at the point where it's not particularly important.
[00:15:27.000 --> 00:15:35.000]   And so if COVID results in you and your child being locked away, fairly isolated, you are your child's world.
[00:15:35.000 --> 00:15:48.000]   And it's far less important because your child is still inward focused, is still focused on you and on your household for their center of being and not outward focused.
[00:15:48.000 --> 00:15:49.000]   That starts to change.
[00:15:49.000 --> 00:15:56.000]   If you have a child that reaches 15 or 20, now their focus is very external, and so it becomes more important.
[00:15:56.000 --> 00:15:57.000]   That's the second thing.
[00:15:57.000 --> 00:15:59.000]   I think don't worry about it with younger children.
[00:15:59.000 --> 00:16:05.000]   For my children, most of their social interaction is at home, and that's a very healthy thing.
[00:16:05.000 --> 00:16:07.000]   Now, we're fortunate to have multiple children.
[00:16:07.000 --> 00:16:14.000]   That's a challenge that you have to figure out how do we have – how do I expose my child to other children so they have the challenges of interacting there.
[00:16:14.000 --> 00:16:19.000]   But it's okay for young children to have their home as the primary center of their community.
[00:16:19.000 --> 00:16:34.000]   Third, I think that ideally you want to be very thoughtful about the social influences that you expose a child to in the same way that even what I led the show with, even just exposure to certain influences can be destructive on people's lives.
[00:16:34.000 --> 00:16:36.000]   You want to be very thoughtful and want to be careful.
[00:16:36.000 --> 00:16:47.000]   And so what I would look for is who has the kind of children that I want my children to model and then intentionally pursue relationships with those people.
[00:16:47.000 --> 00:16:57.000]   So if you know a family that has children that are lovely, beautifully behaved, kind children, then seek out a relationship with that family.
[00:16:57.000 --> 00:17:01.000]   And often children don't need that many friends.
[00:17:01.000 --> 00:17:11.000]   It's nice that they have a few friends and can interact with them, but you want to be very thoughtful about the friends that you expose them to because our friends and the things that we're exposed to are going to influence all of us.
[00:17:11.000 --> 00:17:15.000]   And so I say do it intentionally there to the degree that you can.
[00:17:15.000 --> 00:17:18.000]   Now here's where there's a difference between COVID and non-COVID.
[00:17:18.000 --> 00:17:42.000]   The natural circumstance is to find a church group, a homeschooling co-op group, a play group, a neighborhood group, some kind of group of peers or people with whom you have an affiliation, be it geographic or ideological, and then to develop relationships with those people in such a way that you can facilitate friendships there.
[00:17:42.000 --> 00:17:45.000]   And that's, I think, the ideal way to do it.
[00:17:45.000 --> 00:17:56.000]   And what I like about the opportunities that you have is that as a homeschooler, your child is not forced into relationships with people that you don't know their background to.
[00:17:56.000 --> 00:18:01.000]   I do think it's very healthy and valuable for children to have plenty of interaction with other children.
[00:18:01.000 --> 00:18:03.000]   Most homeschool students get that.
[00:18:03.000 --> 00:18:11.000]   Frequently it's through a church group, a youth group, or a homeschool co-op, something like that, or just local play groups.
[00:18:11.000 --> 00:18:24.000]   And so in my experience, outside of COVID, the vast majority of community groups have something that can be explored for you to have opportunities to build those relationships, and so that's what I would focus on.
[00:18:24.000 --> 00:18:27.000]   During COVID, I don't know if there's a way to do it.
[00:18:27.000 --> 00:18:32.000]   You know, some parents will put their child onto, say, hear a video chat with your friends.
[00:18:32.000 --> 00:18:35.000]   Sure, if your child has those.
[00:18:35.000 --> 00:18:37.000]   But I don't know of a specific way to do it.
[00:18:37.000 --> 00:18:42.000]   I would just say, five years old, not particularly important right now.
[00:18:42.000 --> 00:18:48.000]   Do the best you can with what you have and wait for there to be more mobilization in society.
[00:18:48.000 --> 00:18:50.000]   Okay.
[00:18:50.000 --> 00:18:58.000]   And are there any tips or resources or something that I should rely on in terms of actual education?
[00:18:58.000 --> 00:19:09.000]   Right now, thankfully, academically, she's above average, but I don't really have another good curriculum other than just regular books.
[00:19:09.000 --> 00:19:15.000]   Are you using, like, the Florida Virtual School System, or are you doing it yourself, or what are you doing right now?
[00:19:15.000 --> 00:19:22.000]   Well, right now for this school year, yeah, I did enroll with Florida Virtual.
[00:19:22.000 --> 00:19:23.000]   Okay, great.
[00:19:23.000 --> 00:19:29.000]   So with Florida Virtual, and this is an opportunity that in so many ways is so much easier to homeschool now.
[00:19:29.000 --> 00:19:32.000]   Well, practically everyone's homeschooling now in some way or another.
[00:19:32.000 --> 00:19:42.000]   But so many of the government school systems provide, like Florida Virtual School has a government-run homeschool option where you have curriculum, you have teachers, et cetera.
[00:19:42.000 --> 00:19:49.000]   And that provides a huge opportunity for people with regard to the resources that they can use.
[00:19:49.000 --> 00:19:52.000]   So I think that just start with that.
[00:19:52.000 --> 00:20:02.000]   As far as I'm concerned, the basics are the most important, and I'll do this very quickly just due to the number of callers that I have today.
[00:20:02.000 --> 00:20:07.000]   But the old saw about reading, writing, and arithmetic really holds true.
[00:20:07.000 --> 00:20:16.000]   The core skills of education are the ability to read, the ability to do mathematics, and the ability to write because those are the core tools.
[00:20:16.000 --> 00:20:20.000]   That's what you and I use to learn to teach ourselves anything that we need to do.
[00:20:20.000 --> 00:20:24.000]   We learn to read so that we can consume and absorb information.
[00:20:24.000 --> 00:20:30.000]   We learn to write so that we can organize our thoughts and so that we can communicate effectively with others.
[00:20:30.000 --> 00:20:35.000]   And we learn mathematics because it's a language in and of itself that's interwoven in all of our life.
[00:20:35.000 --> 00:20:39.000]   And so for somebody at five, the first goal is learn to read.
[00:20:39.000 --> 00:20:42.000]   And then what I say is instill a love of reading.
[00:20:42.000 --> 00:20:59.000]   And I think that one of the ways that I've changed my opinions on a lot over the last few years is having children now that are growing older and watching the process of learning develop more naturally, I've become much less worried about early child education than I was in the past.
[00:20:59.000 --> 00:21:04.000]   In the past, I felt the pressure of, "Okay, we're going to help our children to be academically excellent."
[00:21:04.000 --> 00:21:09.000]   Now, as the father of four, my eldest is almost seven.
[00:21:09.000 --> 00:21:13.000]   I've just seen how it happens naturally and easily when the child is ready.
[00:21:13.000 --> 00:21:22.000]   And there are many knowledgeable, experienced education advocates that advocate that seven is when formal education should start.
[00:21:22.000 --> 00:21:34.000]   And so even if you didn't want to bother with a five-year-old being enrolled in anything, but you just had a five-year-old that had books and had a chance to read and had a chance to engage in unstructured play and unstructured reading, et cetera, totally fine.
[00:21:34.000 --> 00:21:36.000]   No need to stress out at an early age.
[00:21:36.000 --> 00:21:41.000]   And so my answer is focus on reading and instilling a love of reading.
[00:21:41.000 --> 00:21:45.000]   Focus on mathematics at the appropriate time when it's appropriate in the child's life.
[00:21:45.000 --> 00:21:50.000]   And then help for when an age-appropriate way, help for an opportunity for writing.
[00:21:50.000 --> 00:21:54.000]   Now, we're appreciative of the Charlotte Mason tradition.
[00:21:54.000 --> 00:21:58.000]   What you do in the Charlotte Mason tradition is you encourage narration.
[00:21:58.000 --> 00:22:00.000]   And that narration in the beginning is verbal.
[00:22:00.000 --> 00:22:03.000]   And the narration in a later age is written.
[00:22:03.000 --> 00:22:09.000]   And so I would encourage your daughter -- sorry, do you have a daughter or son?
[00:22:09.000 --> 00:22:10.000]   I keep saying daughter, but --
[00:22:10.000 --> 00:22:11.000]   A daughter.
[00:22:11.000 --> 00:22:12.000]   Okay, good.
[00:22:12.000 --> 00:22:13.000]   A daughter.
[00:22:13.000 --> 00:22:18.000]   So when you have a daughter, just encourage her to tell you what she's reading about and tell you what she's learning about.
[00:22:18.000 --> 00:22:24.000]   And that encourages the skill of expressing verbal expression, which later will be translated into written expression.
[00:22:24.000 --> 00:22:28.000]   And so my overall answer, though, is don't worry about it too much.
[00:22:28.000 --> 00:22:37.000]   If you can develop a child who's a reader and then at an appropriate age start doing mathematics and writing, then everything else is simple.
[00:22:37.000 --> 00:22:44.000]   And so the old saying is just read as much as you can to her and then encourage her to read the things that she's interested in.
[00:22:44.000 --> 00:22:47.000]   I'm super grateful.
[00:22:47.000 --> 00:22:48.000]   Thank you.
[00:22:48.000 --> 00:22:49.000]   Thank you.
[00:22:49.000 --> 00:22:50.000]   Yeah, she's a reader.
[00:22:50.000 --> 00:22:51.000]   She is a reader.
[00:22:51.000 --> 00:22:52.000]   Perfect.
[00:22:52.000 --> 00:22:53.000]   Thank you.
[00:22:53.000 --> 00:22:54.000]   That's what you need.
[00:22:54.000 --> 00:22:55.000]   Super encouraging.
[00:22:55.000 --> 00:22:56.000]   Thank you so much.
[00:22:56.000 --> 00:22:57.000]   Thank you for being here, Rita.
[00:22:57.000 --> 00:22:58.000]   Thanks, Chris.
[00:22:58.000 --> 00:22:59.000]   Is that Chris in Thailand again?
[00:22:59.000 --> 00:23:00.000]   Chris, welcome to the show.
[00:23:00.000 --> 00:23:01.000]   That's me.
[00:23:01.000 --> 00:23:02.000]   Hi, Joshua.
[00:23:02.000 --> 00:23:15.000]   I have a few technical financial questions I want to get through, but then also I wanted to do a financial independence checkup and then figure out how to allocate some future investments and some basic flag theory.
[00:23:15.000 --> 00:23:16.000]   Okay.
[00:23:16.000 --> 00:23:27.000]   First question, do you know off the top of your head, can you convert a traditional inherited IRA account into a Roth inherited IRA account?
[00:23:27.000 --> 00:23:28.000]   Interesting question.
[00:23:28.000 --> 00:23:29.000]   I've never been asked that.
[00:23:29.000 --> 00:23:31.000]   I don't think you can.
[00:23:31.000 --> 00:23:39.000]   I believe that would be impermissible, and I don't see how you would do it.
[00:23:39.000 --> 00:23:43.000]   So if you have an inherited IRA, are you stretching out the payments?
[00:23:43.000 --> 00:23:45.000]   Are you receiving payments from the –
[00:23:45.000 --> 00:23:47.000]   It would be a stretch IRA.
[00:23:47.000 --> 00:23:48.000]   Right.
[00:23:48.000 --> 00:23:58.000]   So if you have an inherited IRA and you're doing a stretch IRA, you're already having a stream of payments come in, and those payments are deferred from a tax perspective.
[00:23:58.000 --> 00:23:59.000]   So let's think through the math.
[00:23:59.000 --> 00:24:18.000]   If you were to try – let's pretend that you could convert it to a Roth IRA, and let's just pretend you did a lump sum conversion, you would then incur all of the tax now, and then you would have a stream of payments that where the gain would be tax free.
[00:24:18.000 --> 00:24:31.000]   So thinking it through, my instinct is no, you can't from a technical perspective, although I've never researched it, but from a technical perspective, my instinct is no.
[00:24:31.000 --> 00:24:35.000]   Once you're receiving – well, hold on.
[00:24:35.000 --> 00:24:36.000]   Got a listener.
[00:24:36.000 --> 00:24:37.000]   Let's just do this.
[00:24:37.000 --> 00:24:39.000]   Matt?
[00:24:39.000 --> 00:24:41.000]   Matt, tell me the answer.
[00:24:41.000 --> 00:24:44.000]   You just sent me a note in the chat and said from a spouse, yes, from anyone else.
[00:24:44.000 --> 00:24:46.000]   So Matt, answer the question for Chris, please.
[00:24:46.000 --> 00:24:47.000]   Oh, my goodness.
[00:24:47.000 --> 00:24:48.000]   Okay.
[00:24:48.000 --> 00:24:51.000]   Well, so the answer is from a spouse, yes.
[00:24:51.000 --> 00:24:54.000]   You can put it in your own name and then convert it.
[00:24:54.000 --> 00:25:15.000]   If it is from anyone else, you can't do that, but as I was turning my planner brain on with this, what you could try to do would be do what you suggested, which is withdraw the money and pay the tax, and then you could try to think of some way to shove it back into another account that could be converted.
[00:25:15.000 --> 00:25:24.000]   So like a solo 401k or you could use it to make your 403b contributions for the year or some kind of deferred comp, right?
[00:25:24.000 --> 00:25:31.000]   So enlist the money to fund your own budget in order to fully maximize some other kind of tax deferred account that you could then potentially convert.
[00:25:31.000 --> 00:25:34.000]   So I think that's the short answer.
[00:25:34.000 --> 00:25:36.000]   Does it make sense to you, Matt, to do it?
[00:25:36.000 --> 00:25:42.000]   Does there seem to be any significant enough tax savings to make it even worth it, even if you were doing a lump sum like that?
[00:25:42.000 --> 00:25:52.000]   Yeah, I mean, I think that the question would be, are you making some kind of a bet on a tax arbitrage where you think that your rate is lower now versus higher in the future?
[00:25:52.000 --> 00:25:54.000]   That's kind of like speculation.
[00:25:54.000 --> 00:26:17.000]   The other way that I think about this is that I think it's wonderful to sort of end out with a mix of pre-tax and Roth assets at retirement such that you can choose to sort of surf the tax brackets, realizing income at certain times and not realizing income at other times in order to maybe minimize tax in retirement.
[00:26:17.000 --> 00:26:25.000]   So that's more like knowing the tax rate or exerting control rather than making a bet about which way your tax rates are going.
[00:26:25.000 --> 00:26:26.000]   Yeah.
[00:26:26.000 --> 00:26:28.000]   Chris, what do you think about the answer?
[00:26:28.000 --> 00:26:30.000]   Yeah.
[00:26:30.000 --> 00:26:42.000]   The research that I came across, pretty much it said I wasn't able to and just it's not a spouse inherited IRA.
[00:26:42.000 --> 00:26:48.000]   So, it just seemed to make it a little bit more complicated and I couldn't find a good answer.
[00:26:48.000 --> 00:26:50.000]   So, I figured I'd ask you, Joshua.
