
[00:00:00.040 --> 00:00:09.480]   Оп
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I have not calculated that. It probably would be a little bit less.
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I have not calculated that. It probably would be a little bit less.
[00:08:34.760 --> 00:09:01.820]   I have not calculated that. It probably would be a little bit less. So, to answer the question specifically,
[00:09:01.820 --> 00:09:01.900]   So, to answer the question specifically,
[00:09:01.900 --> 00:09:02.820]   So, to answer the question specifically, no, I don't think that you necessarily
[00:09:02.820 --> 00:09:02.900]   no, I don't think that you necessarily
[00:09:02.900 --> 00:09:03.920]   no, I don't think that you necessarily have too much whole life insurance.
[00:09:03.920 --> 00:09:03.960]   have too much whole life insurance.
[00:09:03.960 --> 00:09:04.800]   have too much whole life insurance. I don't think your current plan is
[00:09:04.820 --> 00:09:24.820]   I don't think your current plan is
[00:09:24.820 --> 00:09:26.820]   I don't think your current plan is to have a life insurance policy.
[00:09:26.820 --> 00:09:26.820]   to have a life insurance policy.
[00:09:26.820 --> 00:09:27.820]   to have a life insurance policy. I don't think you're going to be able to
[00:09:27.820 --> 00:09:27.860]   I don't think you're going to be able to
[00:09:27.860 --> 00:09:28.820]   I don't think you're going to be able to have a life insurance policy.
[00:09:28.820 --> 00:09:28.860]   have a life insurance policy. I don't think you're going to be able to
[00:09:28.860 --> 00:09:28.900]   have a life insurance policy. I don't think you're going to be able to have a life insurance policy.
[00:09:28.900 --> 00:09:28.940]   have a life insurance policy. I don't think you're going to be able to have a life insurance policy.
[00:09:28.940 --> 00:09:29.060]   have a life insurance policy. I don't think you're going to be able to have a life insurance policy.
[00:09:29.060 --> 00:09:29.160]   I don't think you're going to be able to have a life insurance policy.
[00:09:29.160 --> 00:09:29.200]   I don't think you're going to have a life insurance policy.
[00:09:29.200 --> 00:09:55.300]  ,
[00:09:55.300 --> 00:09:57.300]   I don't think you're going to be able to have a life insurance policy.
[00:09:57.300 --> 00:09:57.340]   I don't think you're going to be able to have a life insurance policy.
[00:09:57.340 --> 00:09:57.400]   I don't think you're going to be able to have a life insurance policy.
[00:09:57.400 --> 00:09:57.460]   I don't think you're going to be able to have a life insurance policy.
[00:09:57.460 --> 00:09:57.500]   I don't think you're going to have a life insurance policy.
[00:09:57.500 --> 00:09:57.500]   I don't think you're going to have a life insurance policy.
[00:09:57.500 --> 00:09:57.500]   I don't think you're going to have a life insurance policy.
[00:09:57.500 --> 00:09:57.500]   I don't think you're going to have a life insurance policy.
[00:09:57.500 --> 00:09:57.500]   I don't think you're going to have insurance policy.
[00:09:57.500 --> 00:09:57.500]   I don't think you're going to have insurance policy. I don't you're going to life insurance policy.
[00:09:57.540 --> 00:10:07.560]  傳
[00:10:07.560 --> 00:10:08.680]  因 crust, ' ODGAww
[00:10:08.680 --> 00:10:15.740]   HER
[00:10:15.740 --> 00:10:27.360]   is a
[00:10:48.400 --> 00:10:54.300]  ��
[00:10:54.300 --> 00:11:18.320]   but cleaned cleaned listened政 bread buy 00 Isn. The. - - - - -, but, the., the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,ur, FREEORD�WNB propositionekG 만들KNA개를ilotL accent:包 than listen guessi i cut: guys is scheme is I have Speaker's just play on pro -prof
[00:11:18.400 --> 00:11:21.420]   which is why I asked what your wealth plan is.
[00:11:21.420 --> 00:11:28.420]   Because where I don't think life insurance works well is it doesn't work well as a primary investment solution.
[00:11:28.420 --> 00:11:31.420]   The returns are simply too constrained.
[00:11:31.420 --> 00:11:44.420]   The potential returns are just too constrained by the market of what the life insurance companies are investing in that you're not going to get really wealthy just investing through whole life insurance contracts.
[00:11:44.420 --> 00:11:48.400]   So there I think you need some money that's much more aggressive.
[00:11:48.540 --> 00:12:18.420]  ,
[00:12:18.420 --> 00:12:18.420]   - - -,
[00:12:18.420 --> 00:12:18.420]   - -,
[00:12:18.420 --> 00:12:18.420]   - -,
[00:12:18.420 --> 00:12:18.420]   -,
[00:12:18.420 --> 00:12:18.420]   -,
[00:12:18.420 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -,
[00:12:18.440 --> 00:12:18.440]   -, the big problem is the big draw back of a traditional whole life insurance contract such as the one that you have is it's pretty inflexible.
[00:12:18.440 --> 00:12:18.440]   the big draw back of a traditional whole life insurance contract such as the one that you have is pretty inflexible.
[00:12:18.440 --> 00:12:18.440]   the big draw back of a traditional whole life insurance contract such as the one that you have is pretty inflexible.
[00:12:18.440 --> 00:12:18.440]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:18.460 --> 00:12:26.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:26.480 --> 00:12:27.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:27.480 --> 00:12:28.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:28.480 --> 00:12:29.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:29.480 --> 00:12:30.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:30.480 --> 00:12:31.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:31.480 --> 00:12:32.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:32.480 --> 00:12:33.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:33.480 --> 00:12:34.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:34.480 --> 00:12:35.480]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:36.020 --> 00:12:52.520]   "I'm not a little bit of the money that you have a little bit of the money."
[00:12:52.520 --> 00:12:53.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:53.520 --> 00:12:54.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:54.520 --> 00:12:55.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:55.520 --> 00:12:56.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:56.520 --> 00:12:57.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:57.520 --> 00:12:58.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:58.520 --> 00:12:59.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:12:59.520 --> 00:13:00.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:13:00.520 --> 00:13:01.520]   I'm not a little bit of the money that you have a little bit of the money.
[00:13:01.560 --> 00:13:13.140]  それは
[00:13:13.140 --> 00:13:16.040]   de,,,
[00:13:16.040 --> 00:13:29.820]   at we CON L,�, ., .,,,,,,,,,, . congr Che continueר perse� good work set the check the case theowy test and the living the bin the round the can the sound the I'm the mand the landmark the week theäng the hungry the mode the thee the men the aye the teaching the помог the,"rank theoriginal work. I, and, and, and, and, -f, -, -, -, -, -, -, - -, - -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, - have a - peace-- a - Divutz remind a - Ç I'm got a 401, Ask a edge experienced a arte le harderassociing a
[00:13:29.860 --> 00:13:39.680]   won
[00:13:39.680 --> 00:13:40.140]   tops. I,
[00:13:40.140 --> 00:13:43.640]   follow. I am a man, and, different,,,,,,,
[00:13:43.640 --> 00:13:49.500]   herman
[00:14:50.100 --> 00:15:00.380]   one
[00:15:00.380 --> 00:15:18.640]   o, in the love like
[00:15:47.780 --> 00:15:47.780]   and I think that's a great point.
[00:15:47.780 --> 00:15:48.940]   and I think that's a great point.
[00:16:09.140 --> 00:16:10.140]   I never thought about it that way.
[00:16:10.140 --> 00:16:10.740]   Thank you very much.
[00:16:10.740 --> 00:16:12.660]   Yeah, let me give you a couple of other tips as well.
[00:16:12.660 --> 00:16:14.180]   I don't want to go through everything
[00:16:14.180 --> 00:16:15.860]   that your life insurance agent will have to go through,
[00:16:15.860 --> 00:16:18.880]   but if you need to adjust your life insurance
[00:16:18.880 --> 00:16:18.960]   plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:18.960]   but if you need to adjust your life insurance plans,
[00:16:18.960 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:48.980 --> 00:16:48.980]   but if you need to adjust your life insurance plans,
[00:16:49.000 --> 00:16:57.020]   plans,
[00:16:57.020 --> 00:16:57.040]   plans,
[00:16:57.040 --> 00:16:59.560]   plans, and in a traditional 65 life,
[00:16:59.560 --> 00:16:59.680]   and in a traditional 65 life,
[00:16:59.680 --> 00:17:00.880]   and in a traditional 65 life, traditional whole life insurance
[00:17:00.880 --> 00:17:00.900]   traditional whole life insurance
[00:17:00.900 --> 00:17:03.460]   traditional whole life insurance contract, that won't be a major
[00:17:03.460 --> 00:17:03.820]   contract, that won't be a major problem.
[00:17:03.820 --> 00:17:07.880]   Have your insurance agent show you the projected values of it,
[00:17:07.880 --> 00:17:13.280]   but if you just simply redirect your dividends to reduce the premium instead of the purchase paid up insurance,
[00:17:13.280 --> 00:17:14.760]   that will start to decrease.
[00:17:14.760 --> 00:17:19.000]   And in time, the insurance policy will become less and less impactful.
[00:17:19.000 --> 00:17:19.000]   And in time, the insurance policy will become less and less impactful.
[00:17:19.000 --> 00:17:19.000]   And in time, the insurance policy will become less and less impactful.
[00:17:19.000 --> 00:17:19.000]   But if you just simply redirect your dividends to reduce the premium instead of the purchase paid up insurance,
[00:17:19.000 --> 00:17:19.000]   that will start to decrease.
[00:17:19.000 --> 00:17:19.000]   That will start to decrease.
[00:17:19.020 --> 00:17:49.020]   That will start to decrease.
[00:17:49.020 --> 00:17:49.020]   The second thing is you may be able to take a small amount of the insurance paid up.
[00:17:49.020 --> 00:17:49.020]   It's a little bit early in terms of four years to do that.
[00:17:49.020 --> 00:17:49.020]   But in fact, I don't want to go into any more options than that. Just simply say that if you do adjust it, you can just make a minor adjustment if needed and still retain the policy. Because four years into the contract, if you just bail out of the whole thing, you will come out having had very expensive life insurance. So you always need to, of course, assess it. But the same reasons that you bought it for are the same reasons that you bought it for.
[00:17:49.020 --> 00:17:49.020]   But if you just simply redirect your dividends to reduce the premium instead of the purchase paid up insurance, that will start to decrease.
[00:17:49.020 --> 00:17:49.020]   So you always need to, of course, assess it. But the same reasons that you bought it for are the same reasons that you bought it for.
[00:17:49.040 --> 00:18:19.040]   Unless something has substantially changed, they're probably the same reasons why you still want to have it.
[00:18:19.040 --> 00:18:19.040]   So if it's just a temporary thing, you just change the dividends, readjust the dividends for a couple of years, and then maybe your income goes back up. In that case, you can go ahead and pick up those dividends.
[00:18:19.040 --> 00:18:19.040]   Next time you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:19.040 --> 00:18:19.040]   Make sure that at least some percentage of it is there with additional premium. That gives you a lot more flexibility.
[00:18:19.040 --> 00:18:19.040]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:19.040 --> 00:18:19.040]   and make sure that at least some percentage of it is there with additional premiums. That gives you a lot more flexibility.
[00:18:19.040 --> 00:18:48.960]  , and sometimes you can just do that temporarily.
[00:18:48.960 --> 00:18:49.060]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:49.060 --> 00:18:49.060]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:49.060 --> 00:18:49.060]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:49.060 --> 00:18:49.060]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:18:49.080 --> 00:19:19.080]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:19.080 --> 00:19:19.080]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:19.080 --> 00:19:19.080]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:19.080 --> 00:19:19.080]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:19.080 --> 00:19:19.080]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:19.120 --> 00:19:49.100]  ,
[00:19:49.100 --> 00:19:49.100]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:49.100 --> 00:19:49.100]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:49.100 --> 00:19:49.100]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:49.100 --> 00:19:49.100]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:19:49.120 --> 00:20:19.120]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:19.120 --> 00:20:19.120]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:19.120 --> 00:20:19.120]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:19.120 --> 00:20:19.120]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:19.120 --> 00:20:19.120]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:19.160 --> 00:20:49.140]  ,
[00:20:49.140 --> 00:20:49.140]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:49.140 --> 00:20:49.140]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:49.140 --> 00:20:49.140]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:49.140 --> 00:20:49.140]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:49.140 --> 00:20:49.140]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:20:49.160 --> 00:21:19.160]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:19.160 --> 00:21:19.160]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:19.160 --> 00:21:19.160]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:19.160 --> 00:21:19.160]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:19.160 --> 00:21:19.160]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:19.200 --> 00:21:49.180]  ,
[00:21:49.180 --> 00:21:49.180]   and I think there are legitimate lines of critique against a company like Walmart, just like with any other company.
[00:21:49.180 --> 00:21:49.180]   But the one that I was narrowing in on there was the idea that charity is a very important part of the business.
[00:21:49.180 --> 00:21:49.180]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called additional premiums.
[00:21:49.180 --> 00:21:49.180]   So if you buy a life insurance contract though, what I would encourage you to do is try to make sure that at least some of your premiums are what are called legitimate lines of critique against a company like Walmart,
[00:21:49.180 --> 00:21:49.180]   and I think there are legitimate lines of critique against a company like Walmart, just like any other company.
[00:21:49.180 --> 00:21:49.180]   I think there are legitimate lines of critique against a company like Walmart, just like any other company.
[00:21:49.200 --> 00:22:19.200]   ,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:19.200]   and I think there are legitimate lines of critique against a company like Walmart,
[00:22:19.200 --> 00:22:49.220]   and I think there are legitimate lines of critique against a company like Walmart,
