
[00:00:00.000 --> 00:00:06.360]   let me do that real quick and this is my friend uh he has consultancy and he's trying to stand up
[00:08:36.160 --> 00:08:42.360]   or maybe some of you guys might be like yeah obviously but um i think it's awesome that it works super well
[00:08:42.360 --> 00:08:53.060]   it's actually surprisingly great uh but um uh really simple to implement super efficient um and so i wanted
[00:08:53.060 --> 00:08:58.280]   to share this with you guys and like sort of the exploration i've done with this and a small model
[00:08:58.280 --> 00:09:08.000]   that we've built on top of it and where we're going with it so um so this gene pt is um is basically built
[00:09:08.000 --> 00:09:18.740]   by taking a first of all for every gene in my 50 000 or so genes i turn i have a what's like a description
[00:09:18.740 --> 00:09:24.700]   of that gene you start with this thing called the ncbi gene database and for every one of those i can
[00:09:24.700 --> 00:09:31.740]   just get a description this gene you know um you know this gene like i could even maybe zoom in no i
[00:09:31.740 --> 00:09:38.100]   can't zoom in but like you know this gene is used for creating this kinds of proteins and like is this
[00:09:38.100 --> 00:09:44.100]   you know like whatever right it talks about what the scientific literature some small summary of what the
[00:09:44.100 --> 00:09:52.860]   scientific literature says about this gene and then you take that you pump it into the um the this i didn't do this
[00:09:52.860 --> 00:10:03.040]   the the you know sort of like gpt uh the the open ai embeddings um and you and you get out and embedding
[00:10:03.040 --> 00:10:12.200]   right and um so that's like a vector that is you know between one of you know 1024 and 3078 dimensions
[00:10:12.200 --> 00:10:16.900]   these are by the way matrice good embedding so you can chop off the higher dimensions and they still work
[00:10:16.900 --> 00:10:27.200]   well um and so you take that embedding and then you look at for the cell what is the gene expression for
[00:10:27.200 --> 00:10:37.080]   um each one of those genes and then you multiply the embedding by that scalar like so if i have like um
[00:10:37.080 --> 00:10:45.760]   in this particular cell i have six of this type of gene and um seven of that then you take the six
[00:10:45.760 --> 00:10:52.680]   multiply it by the embedding of the of that particular gene so you know all your embedding weights will
[00:10:52.680 --> 00:10:58.880]   multiply by six in that case and then another gene you you know the i saw like a hundred of this one so
[00:10:58.880 --> 00:11:05.600]   i'm going to multiply that one by a hundred and whatever so you you um and then you so you added
[00:11:05.600 --> 00:11:13.620]   all this up you normalize to one and you end up with this uh embedding of that cell based on its gene
[00:11:13.620 --> 00:11:20.620]   expression okay is that i want everyone to understand that because that's uh if i think it's obvious if you
[00:11:20.620 --> 00:11:25.680]   if i explained it right but maybe not a very good explanation so i want to make sure people are on the
[00:11:25.680 --> 00:11:33.360]   same page here any questions i'm not watching the chat so uh in fact i can watch the chat whoops
[00:11:33.360 --> 00:11:39.920]   uh okay it's just about transcription okay anyone have questions uh i want to make sure everyone's
[00:11:39.920 --> 00:11:47.360]   clear here okay where do you get the gene expression developed from okay that's from so i haven't covered
[00:11:47.360 --> 00:11:56.880]   that so that's why you don't know that the answer to that is um there is a database of there are two
[00:11:56.880 --> 00:12:05.580]   databases um a database that was compiled by the chan zuckerberg foundation um called cell x gene v2
[00:12:05.580 --> 00:12:13.340]   and it's basically they collected 100 million cells so like a thousand files that sum up to about 100
[00:12:13.340 --> 00:12:20.720]   million samples or cells of um of this type of expression data and it's publicly available i can
[00:12:20.720 --> 00:12:26.140]   it's probably referenced in one of the links here i'll share the slides when i'm done but like you can
[00:12:26.140 --> 00:12:35.140]   um uh like anyone can download this so we we um also i this company mirror omics also compiles these
[00:12:35.140 --> 00:12:41.940]   data sets and that we have access to larger and non-publicly available data but they also so but
[00:12:41.940 --> 00:12:46.760]   anyone can download the data that i'm talking about does that make sense and and then there's
[00:12:46.760 --> 00:12:55.780]   another data set um that is a subset of that that is like very carefully curated to be good for a
[00:12:55.780 --> 00:13:02.440]   benchmark on single cell or actually it's not a subset it's a it's it's removed from that data set and
[00:13:02.440 --> 00:13:08.100]   it's a benchmark on your performance of whatever algorithms but you're supposed to use it not for
[00:13:08.100 --> 00:13:14.200]   training your models but actually benchmarking your models um that's called uh tabio sapiens
[00:13:14.200 --> 00:13:22.260]   and both of those are chan zuckerberg foundation um if i didn't know if you don't see a link here and
[00:13:22.260 --> 00:13:28.100]   you want to see the um if you want to know how to download that i can share with you does that answer
[00:13:28.100 --> 00:13:36.000]   your question yeah thank you great okay sorry okay hopefully that yeah go ahead please question
[00:13:36.000 --> 00:13:43.980]   is that um do you have a intuitive way to think about the uh the calculation you're showing on the
[00:13:43.980 --> 00:13:51.960]   the um slide right now like is it projecting from one place to another yeah so i think that what
[00:13:51.960 --> 00:14:00.640]   um so each gene has is represented by a direction right which is um so and this is in a high dimensional
[00:14:00.640 --> 00:14:10.980]   space so that 3078 dimensions so each gene um will be somewhat but not completely orthogonal
[00:14:10.980 --> 00:14:17.280]   to the other one um there'll be like a general direction that i'm describing a gene right you'll
[00:14:17.280 --> 00:14:22.700]   all of them will be in that direction but then like each one will be slightly different direction
[00:14:22.700 --> 00:14:29.740]   and when you add them all up you're kind of getting the average and then normalized to one
[00:14:29.740 --> 00:14:35.420]   you're kind of getting the average expression of all these different genes but the interesting thing
[00:14:35.420 --> 00:14:42.720]   about that is is it because it's a text embedding then like let's say that the the information about
[00:14:42.720 --> 00:14:48.220]   the embedding is like oh you know like experiments show that this is related to cancer right or something
[00:14:48.220 --> 00:14:55.900]   like that then there'll be like some bit of cancer direction in there too right and and uh
[00:14:55.900 --> 00:15:02.140]   you know whatever like drug interactions etc so anything that's mentioned in there so that you're getting
[00:15:02.140 --> 00:15:13.420]   like sort of a um in there is a sense in which the direction that the cell um is pointing will be like
[00:15:13.420 --> 00:15:19.740]   sort of the aggregate of the scientific literature about all the genes or this particular cell does
[00:15:19.740 --> 00:15:26.060]   that make sense i mean that's it's it's a little bit abstract by its nature but that's the way i think
[00:15:26.060 --> 00:15:33.980]   about it that makes sense and so when you multiply it by your that the matrix that's kind of green and blue
[00:15:33.980 --> 00:15:41.900]   yeah that's all that cell in sorry the gene information you had on the previous slide right like it was a big block
[00:15:41.900 --> 00:15:48.620]   yes exactly and then what you get in the output is for that specific cell all that specific gene
[00:15:48.620 --> 00:15:57.500]   information but maybe it but for that cell yeah that's right exactly okay cool thank you yeah and and it
[00:15:57.500 --> 00:16:08.380]   actually turns out that this technique um in some some cases exceeds the performance of other like the scgpt
[00:16:09.100 --> 00:16:18.620]   for example um so which is kind of incredible because it the scgpt uh transformer was trained on
[00:16:18.620 --> 00:16:26.620]   like actual genetic information whereas this is just like uh i'm gonna um so that like you know presumably
[00:16:26.620 --> 00:16:31.900]   there's like a lot of relationship information between different genes and whatever whereas in this
[00:16:31.900 --> 00:16:38.380]   case we're just saying you know like oh we have these different um you know embeddings and we're just
[00:16:38.380 --> 00:16:45.100]   going to create a new embedding space and then and then like look at how well we do um so like and you
[00:16:45.100 --> 00:16:52.620]   can see this umap over here and i have a few more i think umaps in this but um that you can or no it's not
[00:16:52.620 --> 00:16:57.900]   not in here it's in my notebooks which i want to make sure i get to um but you can see like okay like
[00:16:57.900 --> 00:17:05.740]   you are kind of your clustering is kind of capturing uh the the colors are the cell types so like um
[00:17:06.780 --> 00:17:12.220]   the it is kind of capturing different cell types in different you know clusters in umap so that's
[00:17:12.220 --> 00:17:15.500]   promising um so
[00:17:15.500 --> 00:17:25.820]   and then like since this is like a you know latent space uh event uh you have we have to have a graph of
[00:17:25.820 --> 00:17:33.660]   performance and and um we can see that like i think that my my nutshell is that sometimes scg
[00:17:33.660 --> 00:17:42.380]   in some of these data sets right scgpt does better in some data sets gmpt does better and there's like
[00:17:42.380 --> 00:17:47.980]   i'm not going to go into the difference between these two um but and then some uh like this is the exact
[00:17:47.980 --> 00:17:55.420]   model so in this bones one um and then in some data sets the ensemble between the three of these does
[00:17:55.420 --> 00:18:02.060]   better and but you'll one thing that is important is that even when it's not the top the ensemble is
[00:18:02.060 --> 00:18:08.540]   always pretty close to the top right so like so that and so that what this tells us is that the ensemble
[00:18:08.540 --> 00:18:15.500]   probably will do better and like maybe also interestingly sometimes you know because like
[00:18:15.500 --> 00:18:21.980]   sometimes scgbt does well sometimes um you know and does pretty significantly better than this
[00:18:22.620 --> 00:18:29.340]   in accuracy and precision recall f1 and then sometimes uh that you know gene pt does the best
[00:18:29.340 --> 00:18:35.900]   and it does pretty significantly better than scgpt so they're capturing different information right and
[00:18:35.900 --> 00:18:43.100]   and that so then ensemble is a great um a great approach because you know you can kind of hopefully
[00:18:43.100 --> 00:18:53.100]   get close to the best of both worlds um so uh and and so yeah um okay so what so let's talk about i'm
[00:18:53.100 --> 00:18:57.180]   going to explain this plot a little bit then i'm going to dive into some notebooks because this is ai in
[00:18:57.180 --> 00:19:11.020]   not a paper club or whatever so um the this um so what what we did was we added um to those descriptions
[00:19:11.020 --> 00:19:17.900]   so remember these descriptions here because the in the original paper they use these just basically the
[00:19:17.900 --> 00:19:27.580]   descriptions from this ncbi gene database what we did was we added we got um we got uh gpt4 to
[00:19:27.580 --> 00:19:35.660]   give me more information about tissue type drug associations and pathways um to improve the
[00:19:35.660 --> 00:19:45.900]   the embedding right so we embedded the we we generated text on each gene um using a prompt we we did that over all
[00:19:45.900 --> 00:19:52.220]   that over all 50 000 or whatever genes and then we took those and we embedded the full description
[00:19:52.220 --> 00:19:59.260]   so we came up with our own and with this is not super well labeled but for different um so we have a
[00:19:59.260 --> 00:20:11.340]   this smaller test set uh you have like i think 20 donors of cells and then or so and then um just leaving
[00:20:11.340 --> 00:20:16.940]   i picked three that i thought would be good for test sets and then what we did was just leave one out so
[00:20:16.940 --> 00:20:23.980]   train on all the so all the donors except this one and then test on the last one and then do the same
[00:20:23.980 --> 00:20:30.860]   for each donor right and you can see that like um the i think that there's two things that i think are
[00:20:30.860 --> 00:20:40.140]   noteworthy here is one is that um like the adding so this red one is the original embedding basically and
[00:20:40.140 --> 00:20:46.300]   then these guys are are improved embedding so it does actually seem to help to add more information
[00:20:46.300 --> 00:20:52.780]   about the cell and just like these are like progressively adding more information to the prompt
[00:20:52.780 --> 00:21:01.020]   and it does continue to get better right i mean not in this case maybe but in many cases um and the
[00:21:01.020 --> 00:21:08.380]   other thing to note is like this is scgpt and this does pretty significantly better in some cases right
[00:21:08.380 --> 00:21:15.580]   so which we knew in this case it doesn't um and then if you look at the weighted meaning um for by
[00:21:15.580 --> 00:21:23.260]   by the number of cells then actually it in in this case for this donor um we do this we're done just
[00:21:23.260 --> 00:21:29.100]   pretty significantly better than um scgpt and even in the unweighted case it does as well a little bit
[00:21:29.100 --> 00:21:35.180]   okay so that's that's like sort of uh so i want to just talk a little bit about how i did this
[00:21:35.740 --> 00:21:46.300]   so i'm going to go i'm going to switch to uh let's see i have a couple um work books
[00:21:46.300 --> 00:21:51.820]   not this one i want this one okay so one thing the other thing is since this is ai in action i just want
[00:21:51.820 --> 00:21:57.740]   to talk about i think i have this workflow um i actually am curious to hear of anyone else using
[00:21:57.740 --> 00:22:07.900]   notebooks in cursor or another um another you know sort of vs code base or like what is your i'm
[00:22:07.900 --> 00:22:14.140]   curious to hear about other people's workflows with um notebooks i have a love-hate relationship with them
[00:22:14.140 --> 00:22:22.140]   i love that they're so flexible and i especially love that i can see i don't have this like render
[00:22:23.100 --> 00:22:29.180]   um i can i can like sort of flip back and forth between cells i can render so for exploratory stuff
[00:22:29.180 --> 00:22:34.860]   um they're awesome they're amazing even for some pipeline stuff they're amazing because
[00:22:34.860 --> 00:22:42.220]   you can see um sort of plotted output for your pipeline but they're also like total garbage for
[00:22:42.220 --> 00:22:47.740]   rigorous software development because they basically have global state right and so that
[00:22:48.460 --> 00:22:54.940]   you're you're and you're programming like basic basically that has like nose concept of isolation
[00:22:54.940 --> 00:23:02.380]   from other functions right so like what do you guys i want to just pause and ask is anyone else using
[00:23:02.380 --> 00:23:17.420]   notebooks and if so like what do you do any any uh any takers um is my okay my mic's working yeah
[00:23:17.420 --> 00:23:23.180]   jeremy howard has like a whole uh workflow for working with python notebooks where they they do
[00:23:23.180 --> 00:23:30.860]   like production level stuff um i have not quite adapted it yet but i but i actually believe uh they
[00:23:30.860 --> 00:23:37.100]   produce some good software over there it's fast ai yeah yeah yeah mb dev uh if if if that's something
[00:23:37.100 --> 00:23:41.180]   you're interested in you want to look into i really respect what they do over there so yeah i think i mean
[00:23:41.180 --> 00:23:46.380]   that's a cool way to develop but i don't personally use it yeah i mean i definitely have done uh um
[00:23:46.380 --> 00:23:57.740]   um i've done the fast ai course and um at least one of them and and uh like it but does he have like a
[00:23:57.740 --> 00:24:03.980]   specifically like here's how i do notebooks in production kind of thing yeah mb dev i think
[00:24:03.980 --> 00:24:10.300]   is like what they build on top of and if you look at like fast html it's built with yeah flash there's a
[00:24:10.300 --> 00:24:18.540]   okay okay yeah okay definitely gonna check that out thank you um and i i know that i know slono hates
[00:24:18.540 --> 00:24:26.140]   him i can't get used to him bro if i'm being honest like it's just uh yeah making making that switch
[00:24:26.140 --> 00:24:32.780]   it's tough i think but but but i i think it's a cool way to develop if you've adapted it and in mb dev they
[00:24:32.780 --> 00:24:37.740]   have some cool primitives where like you kind of just like develop in the notebook and then all your
[00:24:37.740 --> 00:24:44.060]   docs are auto-generated all of your like the readme is auto-generated um like like a bunch of i think
[00:24:44.060 --> 00:24:48.380]   even the doc strings get auto-generated like there's a bunch of cool primitives that they have in there to
[00:24:48.380 --> 00:24:54.460]   make it okay easy to go from notebook to like actual production stuff um but i haven't done enough of a
[00:24:54.460 --> 00:25:00.700]   deep dive to like really say like oh yeah i'm ready to switch but but i respect it and i think it uh it it just
[00:25:00.700 --> 00:25:05.660]   shows that there's another way it can be done yeah yeah okay great i love jeremy howard and all this
[00:25:05.660 --> 00:25:12.060]   stuff so definitely gonna check that out you want to say something you know yeah i i mean yeah i hate
[00:25:12.060 --> 00:25:19.580]   them uh but i worked a lot with like material scientists and like chemists and um like uh mechanical
[00:25:19.580 --> 00:25:24.860]   engineers that would produce these like absolutely horrid iphone notebooks and so like can you push this to
[00:25:24.860 --> 00:25:33.820]   prod and be like oh no i uh one of the techniques that i developed is uh a just like have a python file on
[00:25:33.820 --> 00:25:38.620]   the right that you import into the notebook and then do everything that's like stable enough move it over
[00:25:38.620 --> 00:25:44.460]   to the package and then reuse it in the notebook yeah and then the other one that i would often use is
[00:25:44.460 --> 00:25:50.940]   replace the notebook with a script that's the same as the notebook right like something that that is not meant to be
[00:25:50.940 --> 00:25:57.900]   functions or a program that you reuse but add decorators to cache the expensive to compute data
[00:25:57.900 --> 00:26:04.620]   so that the first time you run it it will it will do that and then you can always run the whole script
[00:26:04.620 --> 00:26:10.540]   right so you don't so that you start with this the fresh python don't have like objects left over from
[00:26:10.540 --> 00:26:17.820]   like 14 cells ago that you know are kind of gone um and they would develop on that so it looks like kind
[00:26:17.820 --> 00:26:23.580]   of like a notebook but it has it it runs as fast as a notebook to get to the stuff you're working on
[00:26:23.580 --> 00:26:29.740]   but it is actually reproducible like those were two techniques that i used how did you um sorry where
[00:26:29.740 --> 00:26:36.300]   does the decorator save the state like onto disk or yeah just like dot state as json or something like
[00:26:36.300 --> 00:26:41.180]   that i'm sure there's like more there's like more elaborate okay but it's saving it to persistent
[00:26:41.180 --> 00:26:46.300]   storage so that when you redo then so but the other thing so maybe you have a thought about this too
[00:26:46.300 --> 00:26:52.620]   the other thing that i really like is the ability to have rich output in between cells right because
[00:26:52.620 --> 00:27:00.300]   then i can see like even if it's a like it work i often um we do we use databricks and some of the pipelines
[00:27:00.300 --> 00:27:07.180]   are written with um with notebooks and the nice thing about that is that you get you can be like
[00:27:07.180 --> 00:27:13.340]   okay here's the out here's the output of this intermediate step and here's a plot or a table or
[00:27:13.340 --> 00:27:19.420]   something so that when i go back and review because of a failure or whatever i can just look at the plot
[00:27:19.420 --> 00:27:26.460]   and see the the intermediate state there's this like this lightweight python thingy where it's a python
[00:27:26.460 --> 00:27:31.420]   file but you can use like ampersand and percent or like percent percent there's like a syntax that
[00:27:31.420 --> 00:27:37.820]   eludes me right now which when you open it in vs code for example looks just like a notebook and i think
[00:27:37.820 --> 00:27:45.420]   it can render graph outputs if you have a matplotlib thing in there okay but it's still like a dot py file
[00:27:45.420 --> 00:27:52.460]   you don't have this like ipy nb json monstrosity like lying around and and uh so so that i found
[00:27:52.460 --> 00:27:58.380]   pretty useful and then this was quite a long time ago but i remember that airbnb had like a notebook
[00:27:58.380 --> 00:28:10.620]   publishing system which would make some really nice um renderings of python scripts basically that's that's
[00:28:10.620 --> 00:28:20.140]   what i used that's what i had the data the data team that i was leading kind of uh use i think it's called airbnb knowledge repo
[00:28:20.140 --> 00:28:28.220]   okay a i think it was deprecated back then but it looks like it's picking back up again so i mean
[00:28:28.220 --> 00:28:34.220]   it's two years old but this allowed you to like just publish a python script as a rich kind of uh
[00:28:34.220 --> 00:28:41.820]   uh interesting output yeah okay cool all right great so that was a really helpful sidebar for me
[00:28:41.820 --> 00:28:47.660]   hopefully this is being recording so hopefully i can go review anything i forgot okay so okay so and
[00:28:47.660 --> 00:28:53.340]   actually um just as a side note that what that workflow that you mentioned where um you sort of have like
[00:28:53.340 --> 00:29:00.860]   like these side you know like things that are like useful you kind of like move into a into actual code
[00:29:00.860 --> 00:29:08.060]   and i have done that very much um so like you know so like this inference for that gene pt um
[00:29:08.060 --> 00:29:19.340]   for those uh like the gene pt uh cell cells i've kind of codified into this like set the this set of libraries
[00:29:19.340 --> 00:29:24.380]   so here's like how do you do the inference this is embeddings this is all open source i'll i'll share
[00:29:24.380 --> 00:29:33.660]   the link um and um but like so you can see that um you know there's different in like a bunch of utils
[00:29:33.660 --> 00:29:40.620]   right so i call these from my notebooks um and as i develop them like and they become more like i'm like
[00:29:40.620 --> 00:29:48.380]   oh yeah this is a common thing or people would benefit from this and i add them there um so okay good so
[00:29:49.020 --> 00:29:57.340]   uh let's see so where do we start the the um this so i did this i think this is the right notebook
[00:29:57.340 --> 00:30:04.460]   so i did this eda oh no this is not a very this is not it um i think this one is the one i want um
[00:30:04.460 --> 00:30:11.580]   so this is as i mentioned this is this tabulous sapiens data set this is like so cz is chan zuckerberg
[00:30:12.060 --> 00:30:19.660]   um jan zuckerberg institute you can um you know this is a link um i'll i think the easiest if anyone's
[00:30:19.660 --> 00:30:26.540]   interested in like following up on this more i'll just post a link to the this repo that i'm i'm uh
[00:30:26.540 --> 00:30:34.540]   presenting from and then you can just like find all this information um so so uh this um
[00:30:34.540 --> 00:30:42.780]   this is like an example of embedding sorry for the whiplash here um this might even be the plot that
[00:30:42.780 --> 00:30:49.980]   or a version of the plot that she did except that it's like active and you can see that again um this is
[00:30:49.980 --> 00:30:56.940]   like you have these different cell types and they're kind of sorta um embedded you know like
[00:30:56.940 --> 00:31:03.420]   you can kind of like get pretty good classes so um you can imagine that a classifier in high dimensional
[00:31:03.420 --> 00:31:07.980]   space is probably going to be able to do a pretty good job with this and that's indeed what we find so
[00:31:07.980 --> 00:31:16.620]   like um so this this code was the embedding and then there's this analysis one um so to be clear
[00:31:16.620 --> 00:31:22.860]   this was like after you have the embeddings then what do you do um and so you're like this is um
[00:31:22.860 --> 00:31:29.100]   this is scgbt and you can see like that like a couple of interesting things to note is that they're like
[00:31:29.100 --> 00:31:36.700]   lots of different well isolated clusters whereas this one is more um maybe a little bit like the
[00:31:36.700 --> 00:31:45.340]   relationship the the discrimination between the classes is uh better in in general here but you can
[00:31:45.340 --> 00:31:50.620]   see that they have these like really horrible parts that are going to be completely impossible to just
[00:31:50.620 --> 00:31:57.580]   differentiate um and then uh this one is let's see what's the difference between well it doesn't really
[00:31:57.580 --> 00:32:06.140]   matter so um so i you know like we do these um oh this was the different versions of the the uh
[00:32:06.140 --> 00:32:11.980]   the um the embedding and you can see like they're all kind of the same this one gets a little better
[00:32:11.980 --> 00:32:18.460]   like i don't know visually it's hard to tell but like maybe this one and then this one like slightly
[00:32:18.460 --> 00:32:26.060]   better probably um or actually this one yeah so like this one's a little noisier i would say than this
[00:32:26.060 --> 00:32:32.380]   final one um so kind of you can kind of tell visually that it seems to be doing a little better but not
[00:32:32.380 --> 00:32:40.780]   during not dramatically but better um so let's see and then like you know this i chose like this guy
[00:32:40.780 --> 00:32:49.260]   this guy and this guy so tsp1 2 and 14 and because they have good representation across all the cells and if
[00:32:49.340 --> 00:32:55.900]   you kind of look you'll see that basically there's not a lot of missing cell types although they're
[00:32:55.900 --> 00:33:01.340]   like this cell type is only in 30 and so the classifier is probably going to not do well in 30
[00:33:01.340 --> 00:33:09.820]   and um maybe this type as well what is that whatever that uh that's this ecto epithelial self right so um
[00:33:11.260 --> 00:33:19.980]   um so then i basically just run like in a loop i train and i trained uh let's see like if you look
[00:33:19.980 --> 00:33:29.580]   at what i did it was sort of um you know leave one out and then i'm looking at uh let's see i'm looking
[00:33:29.580 --> 00:33:39.580]   at uh the three different algorithms which are random forest uh xg boost or light gbm actually and maybe one
[00:33:39.580 --> 00:33:48.860]   other um and then you know so like blah blah blah lots and lots of compute and then um and then like so
