
[00:00:00.000 --> 00:00:07.200]   [laughter]
[00:30:22.440 --> 00:30:30.560]   The word for fortress is the word for tomb, the word for prison, and the word for fortress.
[00:30:30.560 --> 00:30:37.960]   People's ideological fortresses become their tombs, for sure.
[00:30:37.960 --> 00:30:46.140]   So this is where your ability to proclaim the gospel, to give them the truth about Christ,
[00:30:46.140 --> 00:30:53.800]   show them the Word of God concerning Christ, the Spirit of God can use that to shatter
[00:30:53.800 --> 00:30:58.720]   their fortifications.
[00:30:58.720 --> 00:31:05.480]   And the fortifications are defined in a very simple way.
[00:31:05.480 --> 00:31:11.440]   They're defined as anything raised up against the knowledge of God.
[00:31:11.440 --> 00:31:24.380]   Any ungodly idea has to be smashed, has to be abandoned in favor of obedience to Christ.
[00:31:24.380 --> 00:31:27.920]   So this is complete shift.
[00:31:27.920 --> 00:31:35.440]   It's not adding Jesus to your life, it's the destruction of your life and the replacement
[00:31:35.440 --> 00:31:36.440]   with Christ.
[00:31:36.440 --> 00:31:44.760]   That's why Jesus said, "If any man comes after Me, let him deny himself."
[00:31:44.760 --> 00:31:56.320]   You abandon, you don't add Jesus, you abandon sinful ideologies, ungodly ideas.
[00:31:56.320 --> 00:32:04.040]   This is where your ability to articulate the Scripture, some knowledge of textual proofs
[00:32:04.040 --> 00:32:13.480]   for the truth of the gospel, even some good tools of apologetics can be of help to you.
[00:32:13.480 --> 00:32:19.620]   Because it's not just saying something like, "Jesus will make your life happier," and playing
[00:32:19.620 --> 00:32:21.800]   to emotion.
[00:32:21.800 --> 00:32:28.700]   That's going to be a superficial move, the move of a moment with no lasting influence.
[00:32:28.700 --> 00:32:38.600]   If they're going to come to Christ, they have to abandon the previous fortifications.
[00:32:38.600 --> 00:32:42.880]   They have to leave them behind.
[00:32:42.880 --> 00:32:46.000]   And that's why Jesus said it's hard to believe.
[00:32:46.000 --> 00:32:48.160]   It's hard to believe.
[00:32:48.160 --> 00:32:55.760]   The disciples said to Him in Luke 13, "Are there only a few who will be saved?"
[00:32:55.760 --> 00:33:01.220]   Jesus said, "A few will find the narrow way."
[00:33:01.220 --> 00:33:02.740]   It's hard.
[00:33:02.740 --> 00:33:08.280]   It's hard to hate your father, your mother, your sister, and John says in John 12, your
[00:33:08.280 --> 00:33:11.020]   own life.
[00:33:11.020 --> 00:33:13.960]   Literally to hate your own life.
[00:33:13.960 --> 00:33:20.840]   Whatever structure your life has, whatever ideological structure, whatever set of beliefs
[00:33:20.840 --> 00:33:28.140]   hold you intact for time and eternity.
[00:33:28.140 --> 00:33:33.100]   If they're not the godly ones, they have to be crushed.
[00:33:33.100 --> 00:33:39.220]   So evangelism is not something that is simple.
[00:33:39.220 --> 00:33:44.980]   It's not enough to say, "Pray this prayer and you're in."
[00:33:44.980 --> 00:33:47.800]   There has to be a destruction.
[00:33:47.800 --> 00:33:50.860]   And that can only happen when you bring the truth.
[00:33:50.860 --> 00:34:00.660]   So there's only one, the sword, there's only one weapon to destroy error, and what's that?
[00:34:00.660 --> 00:34:04.780]   Truth, truth, truth.
[00:34:04.780 --> 00:34:16.980]   So you bring the truth concerning Christ against the lies.
[00:34:16.980 --> 00:34:19.760]   So what are we seeing then?
[00:34:19.760 --> 00:34:24.920]   Reconciliation is by the will of God, by the act of forgiveness, and by the obedience of
[00:34:24.920 --> 00:34:26.960]   faith.
[00:34:26.960 --> 00:34:37.560]   Faith is the knowledge of a reality that allows me to entrust my life.
[00:34:37.560 --> 00:34:48.080]   You have to learn Christ and unlearn everything else.
[00:34:48.080 --> 00:34:52.920]   So this is the ministry of reconciliation.
[00:34:52.920 --> 00:35:00.240]   There's one other very important term just to kind of wrap it up.
[00:35:00.240 --> 00:35:07.300]   Reconciliation is by the will of God, by the act of forgiveness, by the obedience of faith,
[00:35:07.300 --> 00:35:14.740]   and finally by the work of substitution, by the work of substitution.
[00:35:14.740 --> 00:35:23.300]   And for that you come to the final verse, verse 21, 15 Greek words that sum up all of
[00:35:23.300 --> 00:35:26.380]   Christianity, really.
[00:35:26.380 --> 00:35:32.220]   He made Him who knew no sin to be sin on our behalf so that we might become the righteousness
[00:35:32.220 --> 00:35:34.700]   of God in Him.
[00:35:34.700 --> 00:35:42.500]   This is beyond any other reality, the essential reality.
[00:35:42.500 --> 00:35:48.340]   If you understand that verse, you understand the gospel.
[00:35:48.340 --> 00:35:54.980]   Because the big question is, as Paul articulates in Romans, how can God be just and the justifier
[00:35:54.980 --> 00:35:56.740]   of sinners?
[00:35:56.740 --> 00:35:57.740]   How can He do that?
[00:35:57.740 --> 00:36:03.860]   If you put yourself in a court setting and a judge comes in and a criminal is brought
[00:36:03.860 --> 00:36:08.700]   into the court and a criminal said, "Guilty, guilty, guilty, guilty."
[00:36:08.700 --> 00:36:21.620]   And the judge said, "Okay, I've heard your confession, I affirm you're guilty, but I'm
[00:36:21.620 --> 00:36:26.340]   going to forgive you and let you go."
[00:36:26.340 --> 00:36:28.460]   There would be an outrage in the court, right?
[00:36:28.460 --> 00:36:34.300]   Because a judge has one responsibility, to uphold the law, right?
[00:36:34.300 --> 00:36:35.460]   You can't do that.
[00:36:35.460 --> 00:36:39.180]   That's not justice.
[00:36:39.180 --> 00:36:47.220]   So God could be accused of being an unjust judge if you just go to Him and say, "Okay,
[00:36:47.220 --> 00:36:53.540]   forgive me, forgive me because I ask," and God said, "Okay, you're forgiven and that's
[00:36:53.540 --> 00:37:01.220]   it," then God would be a justifier but would not be just.
[00:37:01.220 --> 00:37:09.780]   So how does God maintain His justice and also be the justifier of sinners?
[00:37:09.780 --> 00:37:19.180]   And the answer is in that verse, "He made Him," meaning Christ, "He, God the Father,
[00:37:19.180 --> 00:37:23.060]   made Him who knew no sin," who is that?
[00:37:23.060 --> 00:37:29.460]   Christ, the only person who ever lived in the world that knew no sin, "He made Him to
[00:37:29.460 --> 00:37:32.820]   be sin on our behalf."
[00:37:32.820 --> 00:37:41.160]   This is the great doctrine of substitutionary atonement.
[00:37:41.160 --> 00:37:46.900]   He made Him who knew no sin to be sin on our behalf.
[00:37:46.900 --> 00:37:47.900]   What does that mean?
[00:37:47.900 --> 00:37:54.260]   Well, you hear some wacky preachers say, "Well, on the cross Jesus became a sinner."
[00:37:54.260 --> 00:37:57.300]   No, He didn't.
[00:37:57.300 --> 00:38:01.780]   He's holy, harmless, undefiled, separate from sinners.
[00:38:01.780 --> 00:38:06.660]   And He validates that on the cross because at the pinnacle of His suffering on the cross,
[00:38:06.660 --> 00:38:09.580]   He says, "My God, my God, why have you," what?
[00:38:09.580 --> 00:38:18.340]   "Forsaken me?" and if He was a sinner, there would be no reason to ask that question.
[00:38:18.340 --> 00:38:20.560]   He's not a sinner.
[00:38:20.560 --> 00:38:24.140]   What does it mean that God made Him to be sin on our behalf?
[00:38:24.140 --> 00:38:32.220]   It simply means this, that God punished Him for the sins of all who would ever believe.
[00:38:32.220 --> 00:38:34.820]   This is substitutionary atonement.
[00:38:34.820 --> 00:38:40.620]   God literally punished His Son for the sins of all who would ever believe through all
[00:38:40.620 --> 00:38:47.260]   of human history before, during, and after He lived on this earth.
[00:38:47.260 --> 00:38:51.940]   Peter puts it this way, "He bore in His body our sins on the cross."
[00:38:51.940 --> 00:38:55.620]   Isaiah puts it this way, "He was wounded for," what?
[00:38:55.620 --> 00:39:05.100]   "Our transgressions, bruised for our iniquities, chastened for our shalom."
[00:39:05.100 --> 00:39:07.460]   This is the great truth.
[00:39:07.460 --> 00:39:13.620]   All sin is punished because God is just, and it's either punished in the sinner who committed
[00:39:13.620 --> 00:39:20.780]   it or punished in the substitute who took the sinner's place.
[00:39:20.780 --> 00:39:23.620]   This is an incredible truth.
[00:39:23.620 --> 00:39:27.380]   Let me phrase it another way.
[00:39:27.380 --> 00:39:36.500]   God treated Jesus on the cross as if He lived your life.
[00:39:36.500 --> 00:39:40.340]   Can you grab that one as a sinner?
[00:39:40.340 --> 00:39:47.420]   He treated Christ on the cross as if He lived your life, and He unleashed the horrors of
[00:39:47.420 --> 00:39:57.180]   judgment, and the darkness lasted three hours, and for three hours Christ bore the full punishment
[00:39:57.180 --> 00:40:05.060]   for all the sins of all the people who would ever believe through all of human history.
[00:40:05.060 --> 00:40:10.820]   Sinners in hell will forever be in hell, and the punishment will never be complete.
[00:40:10.820 --> 00:40:15.260]   Christ completed the punishment in three hours for everyone who ever believed in human history.
[00:40:15.260 --> 00:40:16.260]   How is that possible?
[00:40:16.260 --> 00:40:20.660]   And the only answer is because He's an infinite person.
[00:40:20.660 --> 00:40:30.380]   He had an infinite capacity for everything, including punishment.
[00:40:30.380 --> 00:40:34.820]   So God treats Jesus as if He lived your life.
[00:40:34.820 --> 00:40:39.820]   You know, when I say that to a sinner, it's a pretty shocking thing.
[00:40:39.820 --> 00:40:46.820]   But that's not all, because the second half of the verse says so that He might become,
[00:40:46.820 --> 00:40:49.980]   so that we might become the righteousness of God in Him.
[00:40:49.980 --> 00:40:52.460]   What does that mean?
[00:40:52.460 --> 00:41:00.860]   He treats Jesus as if He lived our life, so He can treat us as if we lived His.
[00:41:00.860 --> 00:41:04.340]   Amazing.
[00:41:04.340 --> 00:41:08.340]   That's what Isaiah 66 is talking about when it talks about being covered with robes of
[00:41:08.340 --> 00:41:10.380]   righteousness.
[00:41:10.380 --> 00:41:18.060]   God looks at Christ and sees you and is satisfied with the punishment.
[00:41:18.060 --> 00:41:23.700]   God looks at you and sees Christ.
[00:41:23.700 --> 00:41:32.580]   This is the monumental doctrine of imputed righteousness that goes along with the doctrine
[00:41:32.580 --> 00:41:38.320]   of imputed sin.
[00:41:38.320 --> 00:41:44.820]   That's a great exchange.
[00:41:44.820 --> 00:41:51.340]   So when you think about the ministry of reconciliation, it all comes down to God being just and the
[00:41:51.340 --> 00:41:58.940]   justifier of sinners, which means He must punish sin, and He did it in His Son so that
[00:41:58.940 --> 00:41:59.940]   He could forgive us.
[00:41:59.940 --> 00:42:06.340]   And when He forgave us, He really forgave us.
[00:42:06.340 --> 00:42:13.380]   He permanently forgave us because the punishment was paid in full by Christ.
[00:42:13.380 --> 00:42:18.600]   And when He sees us, He sees His Son.
[00:42:18.600 --> 00:42:26.380]   That's why the Bible talks to us about believers being joint heirs with Christ.
[00:42:26.380 --> 00:42:31.300]   This is the good news that sinners need to hear.
[00:42:31.300 --> 00:42:37.540]   And of course, it's why our salvation is forever, because Christ bore the full punishment, no
[00:42:37.540 --> 00:42:42.120]   double jeopardy.
[00:42:42.120 --> 00:42:49.100]   And it's why true believers never defect, because we literally are covered by the righteousness
[00:42:49.100 --> 00:42:52.060]   of Christ.
[00:42:52.060 --> 00:43:02.020]   People who defect, John says, never were of us, 1 John 2:19.
[00:43:02.020 --> 00:43:12.620]   So this incredible ministry of reconciliation, this message of reconciliation is the heart
[00:43:12.620 --> 00:43:18.980]   and soul of our calling as ambassadors in this alien world.
[00:43:18.980 --> 00:43:24.660]   And whatever your circumstance, you know, in my case, you could say, I have it easy.
[00:43:24.660 --> 00:43:27.160]   I'm talking to people who love me.
[00:43:27.160 --> 00:43:31.620]   In your case, you might be talking to people who hate everything you're saying.
[00:43:31.620 --> 00:43:35.980]   And Jesus said that, John 7, 7, He said, "They hate me because I tell them their deeds are
[00:43:35.980 --> 00:43:40.060]   evil."
[00:43:40.060 --> 00:43:43.260]   It's that issue of sin that generates the hostility.
[00:43:43.260 --> 00:43:54.460]   I mean, just imagine standing up in a media environment today and being honest about homosexuality,
[00:43:54.460 --> 00:44:00.140]   LGBTQ, child mutilation.
[00:44:00.140 --> 00:44:05.340]   I don't know how long you'd survive.
[00:44:05.340 --> 00:44:09.420]   There's more to the message than that.
[00:44:09.420 --> 00:44:13.260]   The message has to start with the reconciliation to God.
[00:44:13.260 --> 00:44:19.860]   And at that point, the Holy Spirit has to do the convicting of the sinner's heart, right?
[00:44:19.860 --> 00:44:27.700]   So my prayer for all of you is that the Lord will use you in ways that maybe you don't
[00:44:27.700 --> 00:44:35.460]   even expect to be His ambassador and tell sinners they can be reconciled to God.
[00:44:35.460 --> 00:44:41.820]   And when it's something they want, then they give you the right to tell them how it can
[00:44:41.820 --> 00:44:44.220]   happen, right?
[00:44:44.220 --> 00:44:46.700]   Father, thank You for Your Word.
[00:44:46.700 --> 00:44:49.260]   Thank You for Your glorious gospel.
[00:44:49.260 --> 00:44:51.180]   Thank You for saving us.
[00:44:51.180 --> 00:44:52.500]   Thank You for these dear folks.
[00:44:52.500 --> 00:44:57.380]   Lord, I pray that You will do exceedingly abundantly above all they can ask or think
[00:44:57.380 --> 00:44:59.740]   through their lives.
[00:44:59.740 --> 00:45:06.060]   Use them in the environment they're in to do Your eternal work for Your glory.
[00:45:06.060 --> 00:45:11.420]   Fill their hearts with joy in the privilege, we pray in Christ's name, amen.
[00:45:11.420 --> 00:45:12.420]   Amen.
[00:45:12.420 --> 00:45:16.460]   Would you like to take a couple of questions?
[00:45:16.460 --> 00:45:17.460]   Sure.
[00:45:17.460 --> 00:45:19.460]   Ty Denne wondered if I'd take some questions.
[00:45:19.460 --> 00:45:20.820]   I'd be glad to.
[00:45:20.820 --> 00:45:22.420]   Maybe you need to catch your breath.
[00:45:22.420 --> 00:45:25.220]   You didn't expect that.
[00:45:25.220 --> 00:45:27.540]   Yeah.
[00:45:27.540 --> 00:45:30.220]   About anything.
[00:45:30.220 --> 00:45:32.220]   Okay.
[00:45:32.220 --> 00:45:37.220]   Yes, sir.
[00:45:37.220 --> 00:45:48.220]   Thank you, Pastor, for the message.
[00:45:48.220 --> 00:46:06.280]   Yeah.
[00:46:06.280 --> 00:46:08.780]   You have no role in the doctrine of election.
[00:46:08.780 --> 00:46:11.780]   Neither do I. Neither does anybody else.
[00:46:11.780 --> 00:46:16.380]   Spurgeon said when somebody complained, "Why are you preaching the gospel to everybody
[00:46:16.380 --> 00:46:17.380]   if some are elect?"
[00:46:17.380 --> 00:46:20.020]   And he said, "Because nobody has 'ye' stamped on their back."
[00:46:20.020 --> 00:46:26.500]   So, my responsibility is to preach the gospel to every creature.
[00:46:26.500 --> 00:46:27.660]   How God harmonizes.
[00:46:27.660 --> 00:46:29.260]   Let me help you with that.
[00:46:29.260 --> 00:46:35.860]   Because people say, "If God chooses, then how can the sinner have accountability?"
[00:46:35.860 --> 00:46:40.860]   I mean, that's a dilemma that ought to encourage you.
[00:46:40.860 --> 00:46:44.980]   Because if you understood the mind of God, you'd be God, and if you were God, then God
[00:46:44.980 --> 00:46:48.220]   would be like you, and we'd be in a lot of trouble.
[00:46:48.220 --> 00:46:51.660]   So you want a transcendent God.
[00:46:51.660 --> 00:46:53.180]   But a way to explain it is this.
[00:46:53.180 --> 00:46:58.300]   If I ask you, for example, "Who wrote the book of Romans?"
[00:46:58.300 --> 00:47:03.720]   That's a simple question that you would hesitate to answer, right?
[00:47:03.720 --> 00:47:06.860]   You want to say Paul, but you know you can't.
[00:47:06.860 --> 00:47:10.100]   You want to say the Holy Spirit, but you can't say that either.
[00:47:10.100 --> 00:47:11.100]   Why?
[00:47:11.100 --> 00:47:15.940]   Because every word is inspired by the Spirit of God, and yet every one comes out of the
[00:47:15.940 --> 00:47:20.140]   vocabulary and mind and heart of Paul.
[00:47:20.140 --> 00:47:29.500]   Another way to look at it is if I ask you, "Who lives your Christian life?"
[00:47:29.500 --> 00:47:31.060]   Who lives your Christian life?
[00:47:31.060 --> 00:47:32.780]   Do you live it?
[00:47:32.780 --> 00:47:34.100]   Yes.
[00:47:34.100 --> 00:47:41.180]   That's the point.
[00:47:41.180 --> 00:47:45.980]   Because you have the exact same apparent paradox.
[00:47:45.980 --> 00:47:53.120]   Anything that brings the divine into the human contact in the realm of redemption leaves
[00:47:53.120 --> 00:47:57.420]   you with that same apparent paradox.
[00:47:57.420 --> 00:48:01.220]   Paul says it this way, "I am crucified with Christ.
[00:48:01.220 --> 00:48:07.580]   Nevertheless, I live," and then he says, "Yet not I."
[00:48:07.580 --> 00:48:09.140]   Because even he doesn't get it.
[00:48:09.140 --> 00:48:12.240]   "But Christ who lives in me.
[00:48:12.240 --> 00:48:14.440]   Everything good in me, I give Him credit.
[00:48:14.440 --> 00:48:17.740]   Everything bad in me, I take responsibility."
[00:48:17.740 --> 00:48:24.620]   So this is in every doctrine there is.
[00:48:24.620 --> 00:48:32.060]   If I say, if you're saved, do you believe in eternal security?
[00:48:32.060 --> 00:48:33.060]   You're secure.
[00:48:33.060 --> 00:48:38.580]   Yes, because Jesus said, "All that the Father gives to me will come to me and I'll lose
[00:48:38.580 --> 00:48:42.380]   none of them, but raise Him at the last day."
[00:48:42.380 --> 00:48:47.540]   But we also read that we have to persevere in the faith.
[00:48:47.540 --> 00:48:53.380]   So you have both of those things side by side, and that's plenty of evidence that this is
[00:48:53.380 --> 00:49:00.340]   a transcendent reality that extends beyond our scope.
[00:49:00.340 --> 00:49:03.020]   I'm just glad to say this.
[00:49:03.020 --> 00:49:10.300]   God can use me, but He doesn't need me.
[00:49:10.300 --> 00:49:19.580]   He can use me, and I can have the joy of that and the eternal reward of that, but the saving
[00:49:19.580 --> 00:49:20.700]   He does.
[00:49:20.700 --> 00:49:22.580]   And this is everywhere.
[00:49:22.580 --> 00:49:28.980]   Everybody, everybody who reads the New Testament understands predestination.
[00:49:28.980 --> 00:49:33.700]   Everybody who reads the Old Testament, well, what is God calling Abraham out of the whole
[00:49:33.700 --> 00:49:40.140]   world of humanity and identifying a people from the loins of Abraham and not everybody
[00:49:40.140 --> 00:49:41.140]   else?
[00:49:41.140 --> 00:49:48.020]   Israel, my elect, Christ, my elect, the church, my elect.
[00:49:48.020 --> 00:49:57.300]   At the same time we see that unfolding all through Scripture, we also see human responsibility.
[00:49:57.300 --> 00:50:00.980]   How God harmonizes that is for Him to figure out.
[00:50:00.980 --> 00:50:01.980]   Yes?
[00:50:01.980 --> 00:50:17.540]   >> I have a question regarding the university, not even specifically my area, because I saw
[00:50:17.540 --> 00:50:22.900]   for example, the university has incorporated psychology, which I believe most of them come
[00:50:22.900 --> 00:50:23.900]   from pagan books.
[00:50:23.900 --> 00:50:24.900]   >> Yeah.
[00:50:24.900 --> 00:50:25.900]   >> And actually the university program is not only one university, it's multiple, and
[00:50:25.900 --> 00:50:26.900]   many of them inside are even Christians.
[00:50:26.900 --> 00:50:27.900]   So how do I...
[00:50:27.900 --> 00:50:34.900]   What's your suggestion or different counseling for people, students who already chose that
[00:50:34.900 --> 00:50:38.900]   area even as Christians, is the first question.
[00:50:38.900 --> 00:50:44.780]   The second question is in China, for example, the whole education system is really imposing
[00:50:44.780 --> 00:50:45.780]   or even the theory to students.
[00:50:45.780 --> 00:50:46.780]   You have to get A or even 100% of that to get into university, get better education.
[00:50:46.780 --> 00:50:47.780]   So how do you, by the way, give some counseling advice to people in such program?
[00:50:47.780 --> 00:51:09.380]   >> Yeah, no, I appreciate the question, but I would just remind you that one of the strongest
[00:51:09.380 --> 00:51:13.780]   churches in the world is the Underground Church in China.
[00:51:13.780 --> 00:51:16.860]   We have students who have come here from China.
[00:51:16.860 --> 00:51:21.460]   We have students in the Master Seminary from China who are products of the Underground
[00:51:21.460 --> 00:51:26.740]   Church because the Lord can save His people wherever they are.
[00:51:26.740 --> 00:51:32.420]   Whatever the ideology is, the Spirit of God can break through.
[00:51:32.420 --> 00:51:34.260]   And that's happened in China.
[00:51:34.260 --> 00:51:37.540]   And I saw the same thing in the former Soviet Union.
[00:51:37.540 --> 00:51:41.220]   Jeff was saying it was 60 times in the Soviet Union.
[00:51:41.220 --> 00:51:47.660]   I wasn't there that many times, but I went a lot for conferences, and I met the Underground
[00:51:47.660 --> 00:51:51.100]   Church and the Aboveground Church, the Registered Church.
[00:51:51.100 --> 00:51:55.620]   And while communism was doing everything it could to stamp out Christianity, the church
[00:51:55.620 --> 00:51:58.320]   was flourishing and growing.
[00:51:58.320 --> 00:52:05.340]   So it's a matter of taking the opportunity to proclaim the truth, and it's the work of
[00:52:05.340 --> 00:52:11.340]   the Holy Spirit to break down the fortresses.
[00:52:11.340 --> 00:52:15.740]   But you need to have an answer to every man who asks you the hope, so that there's a reasonable
[00:52:15.740 --> 00:52:23.020]   biblical answer for what's wrong with that ideology.
[00:52:23.020 --> 00:52:25.400]   But it doesn't matter what the ideology is.
[00:52:25.400 --> 00:52:28.500]   You could say in America there's freedom.
[00:52:28.500 --> 00:52:34.540]   The church in America, in my experience, is far weaker than the Underground Church I saw
[00:52:34.540 --> 00:52:35.540]   in Russia.
[00:52:35.540 --> 00:52:36.540]   That's not actually—sorry.
[00:52:36.540 --> 00:52:37.540]   That's not my real question.
[00:52:37.540 --> 00:52:38.540]   I'm not really concerned about their faiths.
[00:52:38.540 --> 00:52:39.540]   I think they're really like after fire, they're more pure.
[00:52:39.540 --> 00:52:40.540]   But really, do you suggest them, like, practically speaking, get out of that discipline of psychology,
[00:52:40.540 --> 00:52:41.540]   or how do you practically—?
[00:52:41.540 --> 00:52:42.540]   Well, look, there are some things in psychology that are helpful.
[00:52:42.540 --> 00:53:11.180]   The study of human behavior, educational psychology, there are things about human behavior that
[00:53:11.180 --> 00:53:14.860]   can be cataloged and understood.
[00:53:14.860 --> 00:53:22.860]   But when you try to define the deepest issues of a human being with something like psychology,
[00:53:22.860 --> 00:53:24.420]   you're never going to get there.
[00:53:24.420 --> 00:53:25.860]   You're never going to get there.
[00:53:25.860 --> 00:53:31.180]   And that's why, to be honest with you, the whole counseling movement has disappeared.
[00:53:31.180 --> 00:53:37.460]   No psychologist or psychiatrist that I know anything about does any counseling anymore.
[00:53:37.460 --> 00:53:41.420]   They just give you drugs.
[00:53:41.420 --> 00:53:48.300]   I mean, they can't deal with anything.
[00:53:48.300 --> 00:53:53.820]   But that's not to say that there aren't psychological reasons how people learn or
[00:53:53.820 --> 00:53:57.980]   how people are made more effective in any kind of skill.
[00:53:57.980 --> 00:54:03.860]   Sure, there are elements of human behavior that have been studied and need to be studied
[00:54:03.860 --> 00:54:08.800]   and can be helpful in understanding how to navigate in the world and all the relationships
[00:54:08.800 --> 00:54:09.800]   that we have.
[00:54:09.800 --> 00:54:16.380]   But when it comes to sin and righteousness and judgment, psychology offers nothing.
[00:54:16.380 --> 00:54:17.660]   Yes, sir?
[00:54:17.660 --> 00:54:24.260]   You've written quite a bit in your life, in the past.
[00:54:24.260 --> 00:54:25.260]   Yeah.
[00:54:25.260 --> 00:54:38.900]   When is it that something triggers you and you say, "I need to expound on this and
[00:54:38.900 --> 00:54:39.900]   get this out to the public"?
[00:54:39.900 --> 00:54:40.900]   Well, it can happen a lot of ways.
[00:54:40.900 --> 00:54:44.940]   It almost all starts from my preaching.
[00:54:44.940 --> 00:54:54.940]   When I preach something or through a subject or a passage, and I feel that this is speaking
[00:54:54.940 --> 00:55:04.460]   directly to not just something that's always around, but maybe a more dramatic moment in
[00:55:04.460 --> 00:55:09.420]   the life of the church or the life of the nation or the world, I might say, "You know,
[00:55:09.420 --> 00:55:14.540]   this needs to go into print."
[00:55:14.540 --> 00:55:19.940]   Sometimes it's just in the flow of things like commentaries and study Bible and all
[00:55:19.940 --> 00:55:20.940]   that.
[00:55:20.940 --> 00:55:21.940]   Yeah.
[00:55:21.940 --> 00:55:26.980]   Right now, I'm working on a book called "The War on Children."
[00:55:26.980 --> 00:55:29.260]   So that's obvious, right?
[00:55:29.260 --> 00:55:31.540]   I mean, somebody's got...
[00:55:31.540 --> 00:55:38.740]   And the challenging thing with the book on "The War on Children" is if you try to describe
[00:55:38.740 --> 00:55:47.020]   how bad it is, no matter what you say, you're one week behind something worse.
[00:55:47.020 --> 00:55:50.860]   So you can't chase the tale of that.
[00:55:50.860 --> 00:55:54.900]   But yeah, it can be an issue like that.
[00:55:54.900 --> 00:55:59.500]   That is a very dramatic issue that needs to be addressed because people need help.
[00:55:59.500 --> 00:56:07.100]   And I really do write for people who want an answer from the Word of God.
[00:56:07.100 --> 00:56:15.220]   Sometimes the people around me, elders, pastors that I work with say, "This is a subject you
[00:56:15.220 --> 00:56:16.860]   need to work on."
[00:56:16.860 --> 00:56:20.900]   So it can come from a lot of angles.
[00:56:20.900 --> 00:56:26.100]   But it's got to be something that is in my heart because I have enough things to do that
[00:56:26.100 --> 00:56:30.820]   I won't get it done if I'm not highly motivated.
[00:56:30.820 --> 00:56:38.500]   Pastor John, thank you so much for being here with us today.
[00:56:38.500 --> 00:56:39.500]   My pleasure.
[00:56:39.500 --> 00:56:40.500]   Thank you.
[00:56:40.500 --> 00:56:48.860]   If you could stay here for a little bit because I want to ask you to close us in prayer.
[00:56:48.860 --> 00:56:55.100]   But it sounds like we have your permission to hold the Mathema Symposium next year again.
[00:56:55.100 --> 00:56:58.460]   For whatever good my permission is, you have it.
[00:56:58.460 --> 00:56:59.460]   Well, thank you.
[00:56:59.460 --> 00:57:00.460]   We appreciate it.
[00:57:00.460 --> 00:57:01.660]   And I want to thank you all for coming.
[00:57:01.660 --> 00:57:06.340]   And I know some of you traveled very, very far from Northern California and even as far
[00:57:06.340 --> 00:57:08.860]   as the East Coast to be here with us this weekend.
[00:57:08.860 --> 00:57:11.080]   So we really appreciate it.
[00:57:11.080 --> 00:57:15.180]   If you're going to be in town all weekend, we actually have in the bulletin a list of
[00:57:15.180 --> 00:57:19.820]   local churches if you're going to be around tomorrow, including Grace Community Church
[00:57:19.820 --> 00:57:23.820]   where Pastor John will be speaking again in the morning.
[00:57:23.820 --> 00:57:27.580]   There's also in the back a list of ways to stay in touch.
[00:57:27.580 --> 00:57:30.820]   So a year is a long time to see you all again.
[00:57:30.820 --> 00:57:32.100]   But we have a mailing list.
[00:57:32.100 --> 00:57:34.620]   There's a QR code so you can sign up for that.
[00:57:34.620 --> 00:57:38.540]   If you're interested in contributing an article for the Mathema Journal, we spoke about that
[00:57:38.540 --> 00:57:39.540]   yesterday.
[00:57:39.540 --> 00:57:42.340]   Please, we would love to get in contact with you.
[00:57:42.340 --> 00:57:44.740]   There's a website there.
[00:57:44.740 --> 00:57:52.660]   Oh, and it turns out, we do have several open positions in the Science and Engineering Department
[00:57:52.660 --> 00:57:53.660]   here.
[00:57:53.660 --> 00:57:57.540]   So if you have ever thought about, or maybe after this weekend, interested in joining
[00:57:57.540 --> 00:58:03.060]   the TMU faculty, or you have no friends or colleagues, please feel free to point them
[00:58:03.060 --> 00:58:04.420]   to that.
[00:58:04.420 --> 00:58:08.980]   Last thing, really quickly, this fall, we have another event that may be of interest
[00:58:08.980 --> 00:58:11.420]   called the Theotech Conference.
[00:58:11.420 --> 00:58:13.900]   That's theology and technology.
[00:58:13.900 --> 00:58:19.060]   And Dr. E., can you remind us really quick of just what the topic is, and maybe what
[00:58:19.060 --> 00:58:21.060]   day it's on.
[00:58:21.060 --> 00:58:26.900]   Theotech, 2023, October 28th.
[00:58:26.900 --> 00:58:34.780]   This year's theme is intelligence, creation, evidence.
[00:58:34.780 --> 00:58:39.180]   What is intelligence?
[00:58:39.180 --> 00:58:42.100]   How is it created?
[00:58:42.100 --> 00:58:44.380]   Where is the evidence?
[00:58:44.380 --> 00:58:46.220]   Be there.
[00:58:46.220 --> 00:58:47.380]   Okay.
[00:58:47.380 --> 00:58:50.980]   Thank you, Dr. E.
[00:58:50.980 --> 00:58:55.140]   And I want to thank our speakers for coming, Tara, and Jeff, and Abner, and Pastor John
[00:58:55.140 --> 00:58:58.620]   and Mark for being here with us this weekend, and for all of you.
[00:58:58.620 --> 00:58:59.620]   So thank you.
[00:58:59.620 --> 00:59:00.620]   And Pastor John.
[00:59:00.620 --> 00:59:10.460]   And we need to say thanks to Tye Denae, she's here.
[00:59:10.460 --> 00:59:11.460]   Special gift to us.
[00:59:11.460 --> 00:59:14.420]   Would you mind praying for us and our guests today?
[00:59:14.420 --> 00:59:15.420]   I'm glad to.
[00:59:15.420 --> 00:59:18.980]   Father, we are so grateful for the truth.
