
[00:00:00.000 --> 00:00:07.000]   [Beeping]
[00:01:19.000 --> 00:01:21.000]   Because I think a lot of people frankly just don't know.
[00:01:21.000 --> 00:01:24.000]   Maybe they don't want to know, but I think it's very helpful.
[00:01:24.000 --> 00:01:25.000]   Willful ignorance.
[00:01:25.000 --> 00:01:27.000]   That's what I would plead.
[00:01:27.000 --> 00:01:31.000]   So rocketmoney.com/atc to sign up.
[00:01:31.000 --> 00:01:34.000]   Again, that's rocketmoney.com/atc.
[00:01:34.000 --> 00:01:35.000]   It's really, really easy.
[00:01:35.000 --> 00:01:38.000]   It's a cool little tool you can use right on your phone.
[00:01:38.000 --> 00:01:39.000]   Big fan.
[00:01:39.000 --> 00:01:40.000]   Yeah.
[00:01:40.000 --> 00:01:41.000]   All right.
[00:01:41.000 --> 00:01:42.000]   Bill Sweet stepping in today.
[00:01:42.000 --> 00:01:43.000]   So we have a lot of text questions.
[00:01:43.000 --> 00:01:44.000]   We've got other stuff.
[00:01:44.000 --> 00:01:47.000]   We get 75 Roth questions a week.
[00:01:47.000 --> 00:01:49.000]   So people really like the Roth.
[00:01:49.000 --> 00:01:50.000]   Keep them coming.
[00:01:50.000 --> 00:01:51.000]   Floyd.
[00:01:51.000 --> 00:01:52.000]   I dig it.
[00:01:52.000 --> 00:01:53.000]   They let me out of my cage.
[00:01:53.000 --> 00:01:54.000]   Yeah, if we get 10.
[00:01:54.000 --> 00:01:57.000]   I want to say thanks to, as always, the people who are here on YouTube for the live show.
[00:01:57.000 --> 00:01:58.000]   Amen.
[00:01:58.000 --> 00:02:00.000]   It feels like we have the same people here every week.
[00:02:00.000 --> 00:02:01.000]   You can always count on them being there.
[00:02:01.000 --> 00:02:03.000]   And they were here before I even signed in.
[00:02:03.000 --> 00:02:04.000]   I know they're there.
[00:02:04.000 --> 00:02:05.000]   They're talking to each other.
[00:02:05.000 --> 00:02:06.000]   They're asking us questions.
[00:02:06.000 --> 00:02:07.000]   They're making us jokes.
[00:02:07.000 --> 00:02:09.000]   I want to say I appreciate all of you in the live chat as usual.
[00:02:09.000 --> 00:02:11.000]   John, let's do question number one.
[00:02:11.000 --> 00:02:12.000]   Let's do it.
[00:02:12.000 --> 00:02:13.000]   All right.
[00:02:13.000 --> 00:02:14.000]   Samuel.
[00:02:14.000 --> 00:02:15.000]   Oh, I'll take this one.
[00:02:15.000 --> 00:02:16.000]   OK.
[00:02:16.000 --> 00:02:17.000]   Samuel.
[00:02:17.000 --> 00:02:18.000]   Good name, right, Bill?
[00:02:18.000 --> 00:02:19.000]   It's perfect for a firstborn.
[00:02:19.000 --> 00:02:24.000]   Tweeting to me, "Any advice on how to find a good CPA, particularly for personal or small
[00:02:24.000 --> 00:02:28.000]   business taxes when hiring one versus doing it myself would be a good idea."
[00:02:28.000 --> 00:02:31.000]   We've talked about this one a little bit on the personal side of things.
[00:02:31.000 --> 00:02:34.000]   We've never done it from a small business angle.
[00:02:34.000 --> 00:02:37.000]   Before we get into the question, John, do a chart on for me.
[00:02:37.000 --> 00:02:38.000]   This is from Bloomberg.
[00:02:38.000 --> 00:02:42.000]   Monthly U.S. small business applications, or business applications, has just skyrocketed
[00:02:42.000 --> 00:02:43.000]   since the pandemic.
[00:02:43.000 --> 00:02:48.000]   And after falling, it continued to stay in a pretty good range, and it's way, way above
[00:02:48.000 --> 00:02:49.000]   the pre-pandemic trend.
[00:02:49.000 --> 00:02:53.000]   So I think this is one of my favorite unintended outcomes of the craziness of the pandemic
[00:02:53.000 --> 00:02:55.000]   is just an explosion in entrepreneurship.
[00:02:55.000 --> 00:02:58.000]   But if you do have your side hustle or side business or start going out on your own, there's
[00:02:58.000 --> 00:03:00.000]   a lot more to think about.
[00:03:00.000 --> 00:03:04.000]   So I guess technically, I have a small business between my blog and books and podcasts, that
[00:03:04.000 --> 00:03:05.000]   sort of stuff.
[00:03:05.000 --> 00:03:06.000]   It's true.
[00:03:06.000 --> 00:03:08.000]   So when my tax stuff started getting more complex, I came to you for help.
[00:03:08.000 --> 00:03:13.000]   So how much more complicated is a small business than personal when thinking through this tax
[00:03:13.000 --> 00:03:14.000]   stuff?
[00:03:14.000 --> 00:03:17.000]   How much more important is it to have a professional there to help you?
[00:03:17.000 --> 00:03:20.000]   Yeah, this is a great question, Ben, and a common one.
[00:03:20.000 --> 00:03:24.000]   And Ben, to me, it's very similar to a question we've got commonly on the advice side, which
[00:03:24.000 --> 00:03:28.000]   is, when should I hire an advisor versus run my own portfolio?
[00:03:28.000 --> 00:03:31.000]   What I would argue is, like financial advice, taxes is very niche.
[00:03:31.000 --> 00:03:33.000]   It ends up being a relationship business.
[00:03:33.000 --> 00:03:38.000]   And again, similar to financial advice, that the value comes in the advice about what you
[00:03:38.000 --> 00:03:40.000]   should do, how to plan.
[00:03:40.000 --> 00:03:44.000]   And that conversation, thinking intuitively and viscerally with a professional about how
[00:03:44.000 --> 00:03:50.000]   to plan for the future, the tax preparation is the commodity, just like for us, a portfolio
[00:03:50.000 --> 00:03:51.000]   is a commodity.
[00:03:51.000 --> 00:03:56.000]   So I would start with, take a look at TaxSlayer, Tax Act, IRS free file if your AGI is less
[00:03:56.000 --> 00:03:57.000]   than 70K.
[00:03:57.000 --> 00:04:00.000]   But the threshold for when you should start looking for a professional, in my opinion,
[00:04:00.000 --> 00:04:02.000]   Ben, is when you want advice.
[00:04:02.000 --> 00:04:05.000]   When it stops being a commodity, you just don't want to get the work done, but you want
[00:04:05.000 --> 00:04:07.000]   to talk through, should I do this, should I do that?
[00:04:07.000 --> 00:04:09.000]   That, to me, is where the bar is.
[00:04:09.000 --> 00:04:14.000]   And probably for taxes more than anything, we have a pretty educated audience here.
[00:04:14.000 --> 00:04:18.000]   But I think a lot of it in taxes is, there's stuff in the tax code that you don't even
[00:04:18.000 --> 00:04:19.000]   know exists.
[00:04:19.000 --> 00:04:22.000]   Like, you can get this break here, or you can actually write this off, or there's probably
[00:04:22.000 --> 00:04:26.000]   a lot of stuff out there that most people don't even realize exists because it is so
[00:04:26.000 --> 00:04:27.000]   complicated, our tax code.
[00:04:27.000 --> 00:04:30.000]   Yeah, and it gets more complicated every year, unfortunately.
[00:04:30.000 --> 00:04:35.000]   But yes, how you treat a home office deduction, a lot of those decisions on corporate structure
[00:04:35.000 --> 00:04:39.000]   going into a small business, that is the type of thing I would strongly recommend speaking
[00:04:39.000 --> 00:04:41.000]   to a CPA or experienced professional.
[00:04:41.000 --> 00:04:46.000]   So, the next question coming from Sam, Samuel, was how do I find one?
[00:04:46.000 --> 00:04:48.000]   So, John, can you pull up that chart that I put together?
[00:04:48.000 --> 00:04:50.000]   I would say three big buckets.
[00:04:50.000 --> 00:04:54.000]   The number one place, and it's the same thing with financial advice, how do you find a professional,
[00:04:54.000 --> 00:04:55.000]   a CPA?
[00:04:55.000 --> 00:04:56.000]   I would look for a referral.
[00:04:56.000 --> 00:04:57.000]   Talk to a friend.
[00:04:57.000 --> 00:05:01.000]   If you happen to be starting a small business, something that you have someone else who is
[00:05:01.000 --> 00:05:06.000]   a mentor, somebody that you look up to who runs a similar operation, I would talk to
[00:05:06.000 --> 00:05:07.000]   them.
[00:05:07.000 --> 00:05:08.000]   Hey, how did you get started?
[00:05:08.000 --> 00:05:09.000]   Who did you talk to?
[00:05:09.000 --> 00:05:10.000]   Who's your CPA?
[00:05:10.000 --> 00:05:13.000]   Those to me are totally legitimate questions, and it's a fantastic way to grow a business
[00:05:13.000 --> 00:05:17.000]   from my point of view, which is to get good referrals because you end up replicating your
[00:05:17.000 --> 00:05:19.000]   clients over time if you know how to ask that.
[00:05:19.000 --> 00:05:23.000]   So, I'd start with asking for a referral from somebody that you trust or look up to
[00:05:23.000 --> 00:05:24.000]   in the business.
[00:05:24.000 --> 00:05:27.000]   The second thing I would think about is specialties or niches.
[00:05:27.000 --> 00:05:30.000]   There are CPAs that focus on real estate partnerships.
[00:05:30.000 --> 00:05:33.000]   There are CPAs that focus on getting depreciation right.
[00:05:33.000 --> 00:05:37.000]   One of my favorite interactions I have each year, Ben, is with a client who happens to
[00:05:37.000 --> 00:05:41.000]   be a dentist, and he interacts with a CPA business that all they do is dentist.
[00:05:41.000 --> 00:05:42.000]   That's it.
[00:05:42.000 --> 00:05:46.000]   So, I really like that specifically for tax because I think, again, the advice is what
[00:05:46.000 --> 00:05:49.000]   you're going to be paying for, and you are going to pay more, by the way, versus tax
[00:05:49.000 --> 00:05:50.000]   later.
[00:05:50.000 --> 00:05:54.000]   So, depending on your business, yeah, CPA for dentist, CPA for lemonade stand, whatever
[00:05:54.000 --> 00:05:55.000]   it is, find your niche.
[00:05:55.000 --> 00:05:56.000]   I like that one.
[00:05:56.000 --> 00:05:57.000]   Yep, seek that.
[00:05:57.000 --> 00:06:00.000]   And then, finally, the third bullet point was just business organization.
[00:06:00.000 --> 00:06:04.000]   If you strike out on one or two, go to a local chamber of commerce, go to a local rotary,
[00:06:04.000 --> 00:06:08.000]   because I think that one-on-one, that face-to-face, you can get an idea of people's reputation.
[00:06:08.000 --> 00:06:12.000]   I think, unfortunately, tax is not something that's translated well online, outside of
[00:06:12.000 --> 00:06:14.000]   very niche stuff and tax Twitter.
[00:06:14.000 --> 00:06:17.000]   Mostly, you're going to want to find somebody local that you can sit down and talk to.
[00:06:17.000 --> 00:06:23.000]   Before I used you, I relied heavily on my father, who was a former CFO in the same vein
[00:06:23.000 --> 00:06:28.000]   as you, and his thing that keeps him busy during tax season in retirement is he goes
[00:06:28.000 --> 00:06:30.000]   and does people's taxes at goodwill.
[00:06:30.000 --> 00:06:31.000]   They actually do it for free.
[00:06:31.000 --> 00:06:32.000]   Yeah.
[00:06:32.000 --> 00:06:33.000]   Right?
[00:06:33.000 --> 00:06:34.000]   And I think they use the IRS free filing software.
[00:06:34.000 --> 00:06:38.000]   That's for people who have very little complexity, but there are services like that that you
[00:06:38.000 --> 00:06:39.000]   could look for as well.
[00:06:39.000 --> 00:06:44.000]   Yeah, and I give Ed Carlson a lot of props, because it's a great way for him to use his
[00:06:44.000 --> 00:06:47.000]   skills, right, and donate what he has most right now, which is time, right, to help people
[00:06:47.000 --> 00:06:48.000]   out.
[00:06:48.000 --> 00:06:49.000]   So, I give him a lot of credit.
[00:06:49.000 --> 00:06:51.000]   You raised an excellent son, Ed.
[00:06:51.000 --> 00:06:52.000]   Great work.
[00:06:52.000 --> 00:06:55.000]   He made me do my first tax return when I was like 15 years old with my first job.
[00:06:55.000 --> 00:06:58.000]   On the kitchen table with a pencil, did you have to erase when you made a mistake?
[00:06:58.000 --> 00:07:01.000]   I mean, I probably had three boxes I had to fill out, because I had a job, and that's
[00:07:01.000 --> 00:07:02.000]   it.
[00:07:02.000 --> 00:07:03.000]   I bet they don't do that.
[00:07:03.000 --> 00:07:04.000]   But when should I start that for my son?
[00:07:04.000 --> 00:07:07.000]   Do you think age seven, is that appropriate, the next couple of months?
[00:07:07.000 --> 00:07:08.000]   What do we think?
[00:07:08.000 --> 00:07:09.000]   Yeah, put him to work.
[00:07:09.000 --> 00:07:12.000]   I've got my first one, 1987, my very first tax return.
[00:07:12.000 --> 00:07:13.000]   Maybe I'll bring it to the next show.
[00:07:13.000 --> 00:07:14.000]   You still have it?
[00:07:14.000 --> 00:07:15.000]   Yeah, I do.
[00:07:15.000 --> 00:07:16.000]   I do.
[00:07:16.000 --> 00:07:18.000]   I worked really hard on that, Ben.
[00:07:18.000 --> 00:07:19.000]   All right.
[00:07:19.000 --> 00:07:20.000]   Let's do another one.
[00:07:20.000 --> 00:07:21.000]   Great.
[00:07:21.000 --> 00:07:22.000]   Question two.
[00:07:22.000 --> 00:07:24.000]   I work for a Magnificent Seven company.
[00:07:24.000 --> 00:07:27.000]   Ben, on titles, why are we Magnificent Seven?
[00:07:27.000 --> 00:07:29.000]   Where did this come from?
[00:07:29.000 --> 00:07:31.000]   We just keep moving the goalposts for the biggest companies.
[00:07:31.000 --> 00:07:32.000]   It's getting crazy.
[00:07:32.000 --> 00:07:34.000]   It's a new name every six months.
[00:07:34.000 --> 00:07:38.000]   But Robert says, I've accumulated RSUs quarterly for the past four years, and each of those
[00:07:38.000 --> 00:07:40.000]   carries its own cost basis.
[00:07:40.000 --> 00:07:45.000]   It's about 30% of Robert's investable assets, almost $300,000, which is not to brag.
[00:07:45.000 --> 00:07:46.000]   I'm in my mid-30s.
[00:07:46.000 --> 00:07:48.000]   I have a pretty high risk tolerance.
[00:07:48.000 --> 00:07:51.000]   But what is a good rule of thumb for single stock exposure?
[00:07:51.000 --> 00:07:54.000]   What's a tax-efficient way to rebalance into index funds?
[00:07:54.000 --> 00:07:56.000]   I am considering selling them as there's more to vest.
[00:07:56.000 --> 00:07:58.000]   There isn't much capital gain.
[00:07:58.000 --> 00:08:00.000]   But what do I do with my existing stocks?
[00:08:00.000 --> 00:08:02.000]   Should I sell my highest cost basis first?
[00:08:02.000 --> 00:08:05.000]   Do I care if it's mixed between short- and long-term gains?
[00:08:05.000 --> 00:08:07.000]   What are my options from Robert?
[00:08:07.000 --> 00:08:09.000]   And Robert's going to show up several times here on this show.
[00:08:09.000 --> 00:08:10.000]   That's right.
[00:08:10.000 --> 00:08:11.000]   Yeah, double question.
[00:08:11.000 --> 00:08:12.000]   Yeah, yeah, yeah.
[00:08:12.000 --> 00:08:17.000]   So it always kind of boggles my mind how many 20- and 30-somethings we have running into
[00:08:17.000 --> 00:08:20.000]   on this show who work for a tech company, who have very high salaries,
[00:08:20.000 --> 00:08:24.000]   and have some really good RSUs and are doing very well for themselves, obviously.
[00:08:24.000 --> 00:08:25.000]   Worked hard for it.
[00:08:25.000 --> 00:08:30.000]   Yeah, and probably have high-stress, high-work jobs, and probably are highly educated.
[00:08:30.000 --> 00:08:35.000]   So the first one is he obviously knows I have way too much single stock exposure.
[00:08:35.000 --> 00:08:36.000]   I need to get this down.
[00:08:36.000 --> 00:08:38.000]   So kudos to you for admitting that and understanding that.
[00:08:38.000 --> 00:08:40.000]   Some people don't ever get there.
[00:08:40.000 --> 00:08:42.000]   We have plenty of clients who come to us in similar situations.
[00:08:42.000 --> 00:08:44.000]   For a lot of them, it could be way more than 30%.
[00:08:44.000 --> 00:08:49.000]   We've had people with 90, 95% of their wealth in, like, one stock,
[00:08:49.000 --> 00:08:51.000]   and they know, like, "Listen, I made a lot of money on this.
[00:08:51.000 --> 00:08:53.000]   Now I need to diversify."
[00:08:53.000 --> 00:08:56.000]   Yeah, and one of my talking points for Robert here, it's not just the stock exposure,
[00:08:56.000 --> 00:09:01.000]   but not only is 30% of your net worth tied to the company that you work for, so is your income.
[00:09:01.000 --> 00:09:06.000]   So if something happens to that company, you're in pain in a lot of different kinds of pain.
[00:09:06.000 --> 00:09:10.000]   So how does this work between--because for some of these, you have to pay the taxes up front
[00:09:10.000 --> 00:09:13.000]   to vest the stocks, and then he has to pay after.
[00:09:13.000 --> 00:09:15.000]   How does this actually work?
[00:09:15.000 --> 00:09:18.000]   Yeah, so relative to other types of equity-based compensation, Ben,
[00:09:18.000 --> 00:09:22.000]   RSUs, Restricted Stock Units, are extremely simple.
[00:09:22.000 --> 00:09:27.000]   Ben, the concept is each year you get paid based on a vesting number of shares,
[00:09:27.000 --> 00:09:30.000]   but instead of getting paid in cash, you're getting paid in company stock.
[00:09:30.000 --> 00:09:31.000]   That's it.
[00:09:31.000 --> 00:09:34.000]   And what they do is they play a little bit of game and chip in that they say,
[00:09:34.000 --> 00:09:38.000]   "Look, we're going to declare that you have a $50,000 RSU grant,
[00:09:38.000 --> 00:09:40.000]   but those shares aren't going to vest for five years."
[00:09:40.000 --> 00:09:44.000]   And so you see the stock price, you do the math, this is how much it's worth.
[00:09:44.000 --> 00:09:48.000]   But in reality, you can't do anything with that stock until it vests,
[00:09:48.000 --> 00:09:50.000]   and that's the most important date when we talk about RSUs.
[00:09:50.000 --> 00:09:53.000]   Which has got to be such a psychological toll because, you know,
[00:09:53.000 --> 00:09:58.000]   like I'm worth this much based on the stock price, and then you see it fluctuating
[00:09:58.000 --> 00:10:01.000]   and it goes up and you feel better, and it goes down and you feel worse.
[00:10:01.000 --> 00:10:02.000]   Yeah.
[00:10:02.000 --> 00:10:04.000]   Right, that rollercoaster, living that with your income.
[00:10:04.000 --> 00:10:07.000]   I guess the concept is you want people pulling in the same direction, right?
[00:10:07.000 --> 00:10:10.000]   You want a profitable enterprise, and so if people are thinking as owners,
[00:10:10.000 --> 00:10:11.000]   that's the concept.
[00:10:11.000 --> 00:10:12.000]   But yeah, I would agree.
[00:10:12.000 --> 00:10:16.000]   It's a bit of a game because ultimately the minute that you get that stock,
[00:10:16.000 --> 00:10:18.000]   there's really no tax benefit at that moment.
[00:10:18.000 --> 00:10:23.000]   It's exactly as if they handed you exactly that same amount of net worth in cash,
[00:10:23.000 --> 00:10:25.000]   and it gets taxed that same way too.
[00:10:25.000 --> 00:10:29.000]   So step one for me, Robert, would be the minute that your next tranche vests,
[00:10:29.000 --> 00:10:30.000]   just sell it immediately.
[00:10:30.000 --> 00:10:34.000]   You already have 30% of your net worth in the stock in a company that you work for too.
[00:10:34.000 --> 00:10:36.000]   There's no reason to take on additional single stock exposure.
[00:10:36.000 --> 00:10:41.000]   And if there's no tax benefit like there is with ISOs, like there is with ENSOs,
[00:10:41.000 --> 00:10:43.000]   just liquidate the shares going forward.
[00:10:43.000 --> 00:10:44.000]   That's step one for me.
[00:10:44.000 --> 00:10:46.000]   So as they come in, it's like reverse dollar-cost averaging.
[00:10:46.000 --> 00:10:48.000]   You're slowly selling them off as they vest.
[00:10:48.000 --> 00:10:51.000]   That's great because your cost basis is equal to your market value on the date of vest.
[00:10:51.000 --> 00:10:52.000]   So that's step one.
[00:10:52.000 --> 00:10:55.000]   In terms of percentage spend, not sure how you feel about this,
[00:10:55.000 --> 00:10:58.000]   but yeah, I get really queasy when we get up to 50%,
[00:10:58.000 --> 00:11:00.000]   and Robert's more than halfway there of his total net worth.
[00:11:00.000 --> 00:11:05.000]   I prefer for my clients to keep the total single stock exposure to 10%.
[00:11:05.000 --> 00:11:08.000]   I get kind of uncomfortable when we get north of 20.
[00:11:08.000 --> 00:11:10.000]   So, Robert, you're in the danger zone in my opinion.
[00:11:10.000 --> 00:11:12.000]   And, Ben, you've written a lot about financial history.
[00:11:12.000 --> 00:11:18.000]   General Motors, Enron, SVB, Lehman, General Electric we were talking about with a client today.
[00:11:18.000 --> 00:11:20.000]   These are companies that were the largest, most stable,
[00:11:20.000 --> 00:11:24.000]   most growing companies that you could possibly imagine in their day,
[00:11:24.000 --> 00:11:27.000]   and they declined net worth, some of them to zero, right?
[00:11:27.000 --> 00:11:30.000]   And so many people in these individual positions that work at a company
[00:11:30.000 --> 00:11:33.000]   probably get a little overconfident, like, "Hey, I know this business.
[00:11:33.000 --> 00:11:37.000]   I understand it," and that is tough for people who are in the situation of--
[00:11:37.000 --> 00:11:38.000]   Precisely.
[00:11:38.000 --> 00:11:40.000]   --the business goes down, maybe your income falls, you lose your job,
[00:11:40.000 --> 00:11:43.000]   and your retirement is gone because the stock got wiped out.
[00:11:43.000 --> 00:11:44.000]   Yeah, you don't want to get into that situation.
[00:11:44.000 --> 00:11:45.000]   Amen.
[00:11:45.000 --> 00:11:48.000]   So our friend and colleague, Mr. Joel Fishman from Bend, Oregon,
[00:11:48.000 --> 00:11:50.000]   likes to use a regret minimization framework.
[00:11:50.000 --> 00:11:52.000]   I would sit down and do the exercise, Robert.
[00:11:52.000 --> 00:11:54.000]   What happens if that stock goes to zero?
[00:11:54.000 --> 00:11:57.000]   What moves looking backward would you wish you would have made, right?
[00:11:57.000 --> 00:11:59.000]   You want to be a company man.
[00:11:59.000 --> 00:12:00.000]   You want to help invest in your stock.
[00:12:00.000 --> 00:12:02.000]   You're going to continue to get RSUs.
[00:12:02.000 --> 00:12:04.000]   Do you need to have that much exposure?
[00:12:04.000 --> 00:12:06.000]   And I would just rip off the highest-cost basis,
[00:12:06.000 --> 00:12:10.000]   the lowest capital gains stock that's long-term,
[00:12:10.000 --> 00:12:12.000]   and do that more or less as soon as you can.
[00:12:12.000 --> 00:12:14.000]   In working for one of these magnificent seven companies,
[00:12:14.000 --> 00:12:16.000]   it's Google or Amazon or Microsoft or whoever,
[00:12:16.000 --> 00:12:18.000]   the stock price is probably up quite a bit.
[00:12:18.000 --> 00:12:21.000]   So you've probably already done pretty well in these,
[00:12:21.000 --> 00:12:23.000]   so the time to diversify after you've made some money,
[00:12:23.000 --> 00:12:25.000]   it's probably pretty decent timing.
[00:12:25.000 --> 00:12:27.000]   I'm not going to say these companies are going to fall off a cliff,
[00:12:27.000 --> 00:12:28.000]   but you've probably done okay in these.
[00:12:28.000 --> 00:12:30.000]   A millionaire in mid-30s, yeah.
[00:12:30.000 --> 00:12:32.000]   When you've won the game, it's time to stop playing.
[00:12:32.000 --> 00:12:35.000]   And again, you're going to continue to receive RSU grants,
[00:12:35.000 --> 00:12:37.000]   so there's no reason to hold that percentage.
[00:12:37.000 --> 00:12:39.000]   He sounds like he's thinking about this thing the right way,
[00:12:39.000 --> 00:12:41.000]   which is that's a good first step.
[00:12:41.000 --> 00:12:42.000]   Very good.
[00:12:42.000 --> 00:12:45.000]   All right, let's do a Roth one.
[00:12:45.000 --> 00:12:48.000]   Maxed out my contributions to my Roth 401(k) IRA every year
[00:12:48.000 --> 00:12:49.000]   for almost a decade,
[00:12:49.000 --> 00:12:52.000]   with my 401(k) match being the only traditional I have.
[00:12:52.000 --> 00:12:54.000]   Always weird to me that they have a Roth 401(k),
[00:12:54.000 --> 00:12:56.000]   but then the traditional has to be the match.
[00:12:56.000 --> 00:12:57.000]   You've explained it to me, I still don't get it.
[00:12:57.000 --> 00:12:59.000]   Bill Sweet recommends Roth until the 32% tax bracket.
[00:12:59.000 --> 00:13:00.000]   I do.
[00:13:00.000 --> 00:13:02.000]   This person has been paying attention.
[00:13:02.000 --> 00:13:04.000]   But how does your time horizon affect the decision?
[00:13:04.000 --> 00:13:06.000]   I'm in the mid-30s now, and 35% tax bracket.
[00:13:06.000 --> 00:13:09.000]   I don't plan on touching it until I run through my taxable account first,
[00:13:09.000 --> 00:13:11.000]   when I eventually retire.
[00:13:11.000 --> 00:13:13.000]   Does the 30-plus years of tax-free compounding growth
[00:13:13.000 --> 00:13:16.000]   trump the high tax rate, even if I am in a lower tax bracket later?
[00:13:16.000 --> 00:13:20.000]   Again, we've got someone in their 30s here who is thinking way ahead.
[00:13:20.000 --> 00:13:22.000]   They're already thinking about retirement withdrawal strategies.
[00:13:22.000 --> 00:13:24.000]   They're in the tax bracket thoughts.
[00:13:24.000 --> 00:13:25.000]   This is a good question.
[00:13:25.000 --> 00:13:30.000]   Does age or time horizon ever affect your rule of thumb on the tax rate?
[00:13:30.000 --> 00:13:32.000]   Yes, I think it does.
[00:13:32.000 --> 00:13:34.000]   And, Robert, good to be with you again.
[00:13:34.000 --> 00:13:36.000]   The answer, of course, is it depends.
[00:13:36.000 --> 00:13:39.000]   But for me, Ben, 35% is right around the place
[00:13:39.000 --> 00:13:42.000]   where I would favor a traditional contribution over a Roth
[00:13:42.000 --> 00:13:43.000]   as a general rule of thumb.
[00:13:43.000 --> 00:13:45.000]   We do happen to have a lot of details about Robert,
[00:13:45.000 --> 00:13:49.000]   but we're not in a place where we can give him specific financial advice.
[00:13:49.000 --> 00:13:52.000]   But in my opinion, Ben, most folks in our practice that I observe,
[00:13:52.000 --> 00:13:55.000]   they kind of slow down and they stop working, usually in their 60s.
[00:13:55.000 --> 00:13:58.000]   And usually when RMDs, when Social Security kicks in,
[00:13:58.000 --> 00:14:01.000]   let's say 70, 73, sometime in that time frame,
[00:14:01.000 --> 00:14:05.000]   most taxpayers settle in around the 22, maybe 24% tax brackets.
[00:14:05.000 --> 00:14:10.000]   And 35%, where Robert is now, relative to where he's probably going to be,
[00:14:10.000 --> 00:14:14.000]   that's a full 12% higher today than it is in the future, right?
[00:14:14.000 --> 00:14:17.000]   And so, Robert, if you plan to delay Social Security,
[00:14:17.000 --> 00:14:20.000]   you're going to have a few years at 0%, 10%, 12%
[00:14:20.000 --> 00:14:22.000]   to fill up those lower tax brackets.
[00:14:22.000 --> 00:14:26.000]   22% bracket in today's dollars runs all the way up to $198,000
[00:14:26.000 --> 00:14:27.000]   for a married couple.
[00:14:27.000 --> 00:14:31.000]   P combined, the primary thing I think that a lot of taxpayers
[00:14:31.000 --> 00:14:34.000]   don't accumulate for or think about when they're considering this
[00:14:34.000 --> 00:14:37.000]   is that tax brackets are also adjusted for inflation, Ben.
[00:14:37.000 --> 00:14:41.000]   And that's a key point, that if I can do up to $200,000
[00:14:41.000 --> 00:14:43.000]   of Roth conversions today at 22%,
[00:14:43.000 --> 00:14:46.000]   if we have a 4% inflation rate over the next 30 years,
[00:14:46.000 --> 00:14:49.000]   that number is going to be up to 1.1 million, right?
[00:14:49.000 --> 00:14:50.000]   So yes, we need to account for compounding.
[00:14:50.000 --> 00:14:51.000]   I guess I didn't realize that.
[00:14:51.000 --> 00:14:54.000]   So does that mean they've been tracking the actual inflation rate,
[00:14:54.000 --> 00:14:56.000]   so they've been going up pretty high in the last couple of years?
[00:14:56.000 --> 00:14:59.000]   Yeah, so it's tied to CPI-U, just like a lot of other indices.
[00:14:59.000 --> 00:15:02.000]   There are some discussions to switch that to chain CPU,
[00:15:02.000 --> 00:15:04.000]   like Social Security did.
[00:15:04.000 --> 00:15:08.000]   But in my mind, right around 35%, that's when it stops making sense.
[00:15:08.000 --> 00:15:11.000]   And even a great study I'm going to reference later
[00:15:11.000 --> 00:15:14.000]   showed that even when you dial up the tax rates,
[00:15:14.000 --> 00:15:16.000]   like we think might happen in 2026,
