
[00:00:00.000 --> 00:00:01.440]   I'm Lucas.
[00:07:06.520 --> 00:07:11.320]   where basically Peter Norvig points out that you basically--
[00:07:11.320 --> 00:07:14.360]   the applications that work are applications
[00:07:14.360 --> 00:07:16.400]   where there's a lot of training data available.
[00:07:16.400 --> 00:07:18.440]   He points out at the time, this was 15 years ago,
[00:07:18.440 --> 00:07:20.680]   I think that's still really true.
[00:07:20.680 --> 00:07:23.160]   He also has been posting on Facebook
[00:07:23.160 --> 00:07:25.960]   how ML tools companies are stupid, which I just totally
[00:07:25.960 --> 00:07:29.360]   don't understand and disagree with.
[00:07:29.360 --> 00:07:31.440]   But he's a smart guy.
[00:07:31.440 --> 00:07:33.320]   So you get these effects, right?
[00:07:33.320 --> 00:07:36.040]   This is what me and Chris were looking at 12 years ago,
[00:07:36.040 --> 00:07:39.520]   when we started a company, which is that better algorithms get
[00:07:39.520 --> 00:07:41.040]   incremental improvements.
[00:07:41.040 --> 00:07:43.920]   Better features, or better data engineering
[00:07:43.920 --> 00:07:46.160]   before you feed into the model, gets more improvement,
[00:07:46.160 --> 00:07:49.400]   but it's really difficult to put a process around.
[00:07:49.400 --> 00:07:53.200]   But then more data often just gets you huge improvements.
[00:07:53.200 --> 00:07:56.760]   And actually, cleaner data, even less studied,
[00:07:56.760 --> 00:07:58.880]   can really get you big improvements.
[00:07:58.880 --> 00:08:01.640]   And I think you'll feel-- anyone who's worked on machine learning
[00:08:01.640 --> 00:08:02.600]   is nodding their head.
[00:08:02.600 --> 00:08:04.880]   But this is actually a surprise, I think,
[00:08:04.880 --> 00:08:06.760]   to everyone when they first go through it.
[00:08:06.760 --> 00:08:08.340]   Because there's not, as far as I know,
[00:08:08.340 --> 00:08:12.400]   a class at Stanford on collecting data well.
[00:08:12.400 --> 00:08:15.120]   And really, if we were optimizing
[00:08:15.120 --> 00:08:17.000]   for high-quality deployed models,
[00:08:17.000 --> 00:08:21.120]   half the classes would be on collecting data well.
[00:08:21.120 --> 00:08:23.200]   Because the other thing that you really can't do
[00:08:23.200 --> 00:08:25.000]   is toss it over the fence to someone else
[00:08:25.000 --> 00:08:27.560]   to collect the data for you.
[00:08:27.560 --> 00:08:31.000]   I think Andrej Karpathy put this best.
[00:08:31.000 --> 00:08:34.320]   So he's the person running machine learning at Tesla,
[00:08:34.320 --> 00:08:36.360]   trying to make the autopilot work well.
[00:08:36.360 --> 00:08:40.240]   And he's saying that he spends most of his time
[00:08:40.240 --> 00:08:42.400]   on collecting data sets.
[00:08:42.400 --> 00:08:43.760]   I actually saw him the other day,
[00:08:43.760 --> 00:08:45.180]   and he was basically saying, I now
[00:08:45.180 --> 00:08:47.920]   spend all my time on data set collection.
[00:08:47.920 --> 00:08:50.280]   I'm not doing any modeling, basically.
[00:08:50.280 --> 00:08:52.600]   There's other folks doing it now.
[00:08:52.600 --> 00:08:56.400]   So I think that this is--
[00:08:56.400 --> 00:08:59.000]   I think that Andrej Karpathy's allocation is actually
[00:08:59.000 --> 00:09:01.160]   a pretty good allocation in most cases,
[00:09:01.160 --> 00:09:02.840]   trying to make models work well.
[00:09:02.840 --> 00:09:04.800]   And it's been really interesting, actually,
[00:09:04.800 --> 00:09:08.520]   to see when I started CrowdFlower,
[00:09:08.520 --> 00:09:11.560]   reading and figuring out that we had basically no competitors.
[00:09:11.560 --> 00:09:13.760]   Or none of our competitors really thought of themselves
[00:09:13.760 --> 00:09:14.640]   as a competitor.
[00:09:14.640 --> 00:09:17.000]   They didn't think of themselves as training data collection
[00:09:17.000 --> 00:09:17.600]   companies.
[00:09:17.600 --> 00:09:18.960]   Now there's actually a whole bunch
[00:09:18.960 --> 00:09:22.280]   of competitors with really interesting takes.
[00:09:22.280 --> 00:09:24.240]   But you should use figure eight in this class
[00:09:24.240 --> 00:09:24.960]   for your projects.
[00:09:24.960 --> 00:09:28.040]   [LAUGHTER]
[00:09:28.040 --> 00:09:32.200]   Another thing is difficulty is super hard to predict.
[00:09:32.200 --> 00:09:33.640]   And I think that this is something
[00:09:33.640 --> 00:09:36.160]   that also everyone's talked about.
[00:09:36.160 --> 00:09:37.660]   It's been really interesting to see.
[00:09:37.660 --> 00:09:40.360]   So I think Josh had some really smart stuff to say on this,
[00:09:40.360 --> 00:09:41.520]   how to predict difficulty.
[00:09:41.520 --> 00:09:43.680]   But I think everyone that's talked to you in different ways
[00:09:43.680 --> 00:09:44.960]   has looked into this.
[00:09:44.960 --> 00:09:47.580]   And I always point to Kaggle competitions,
[00:09:47.580 --> 00:09:48.640]   because it's data.
[00:09:48.640 --> 00:09:51.600]   But I did a competition on data that I knew.
[00:09:51.600 --> 00:09:54.060]   And in the first three days, you get this improvement going
[00:09:54.060 --> 00:09:57.000]   like 35% to 50%.
[00:09:57.000 --> 00:09:58.760]   It feels really good.
[00:09:58.760 --> 00:10:02.560]   And then totally flattened out over the next month or two.
[00:10:02.560 --> 00:10:05.640]   And I was thinking, OK, if I was managing a team,
[00:10:05.640 --> 00:10:07.840]   or even if I was doing this project,
[00:10:07.840 --> 00:10:10.200]   it would be super frustrating, because you get all this
[00:10:10.200 --> 00:10:11.480]   momentum right at the beginning.
[00:10:11.480 --> 00:10:13.040]   And then it completely flattens out.
[00:10:13.040 --> 00:10:15.040]   And the effort was actually skyrocketing.
[00:10:15.040 --> 00:10:18.440]   Because anybody ever do a Kaggle competition?
[00:10:18.440 --> 00:10:19.360]   Yeah?
[00:10:19.360 --> 00:10:20.960]   Yeah, so it's like towards the end,
[00:10:20.960 --> 00:10:22.400]   people get excited because they're like, OK,
[00:10:22.400 --> 00:10:25.080]   we're going to get that prize.
[00:10:25.080 --> 00:10:28.560]   And so more and more people were competing
[00:10:28.560 --> 00:10:32.320]   and doing really smart things over less and less value,
[00:10:32.320 --> 00:10:34.160]   which is interesting.
[00:10:34.160 --> 00:10:36.000]   And then you look at these self-driving cars.
[00:10:36.000 --> 00:10:40.120]   And I think people just can't help themselves,
[00:10:40.120 --> 00:10:44.560]   but look at a graph like this of miles per disengage
[00:10:44.560 --> 00:10:47.160]   and make crazy statements.
[00:10:47.160 --> 00:10:48.520]   Josh had the same slide.
[00:10:48.520 --> 00:10:51.280]   I just think the slide needs to be pounded on.
[00:10:51.280 --> 00:10:53.000]   I mean, this is just--
[00:10:53.000 --> 00:10:54.640]   look, this is 2015.
[00:10:54.640 --> 00:10:57.400]   This is happening.
[00:10:57.400 --> 00:10:59.200]   But it's just such human nature.
[00:10:59.200 --> 00:11:01.080]   Even people have seen this stuff over and over
[00:11:01.080 --> 00:11:03.160]   to get confused by this.
[00:11:03.160 --> 00:11:07.000]   And then people talk about machine learning
[00:11:07.000 --> 00:11:08.440]   is unpredictable and opaque.
[00:11:08.440 --> 00:11:10.440]   And I've had a lot of different examples of this.
[00:11:10.440 --> 00:11:12.720]   But I had a personal example recently
[00:11:12.720 --> 00:11:17.600]   that really brought this home to me, where I--
[00:11:17.600 --> 00:11:19.680]   I write a Medium post about machine learning.
[00:11:19.680 --> 00:11:22.000]   And I read a lot of posts about machine learning.
[00:11:22.000 --> 00:11:24.920]   And this is typical content I write as recommended.
[00:11:24.920 --> 00:11:27.640]   And then I got this recommendation from Medium.
[00:11:27.640 --> 00:11:29.280]   The short dudes need love, too.
[00:11:29.280 --> 00:11:33.360]   And it's just like, man, how did it come up with that?
[00:11:33.360 --> 00:11:34.560]   Of course, I clicked on it.
[00:11:34.560 --> 00:11:36.160]   So I fed the beast.
[00:11:36.160 --> 00:11:40.960]   But it's just like, I really wanted explainable AI.
[00:11:40.960 --> 00:11:43.040]   It's so badly in this moment.
[00:11:43.040 --> 00:11:44.800]   But I still want it.
[00:11:44.800 --> 00:11:51.240]   So another thing is that it can feel super non-deterministic.
[00:11:51.240 --> 00:11:53.920]   And I think that this is another thing that people working on it
[00:11:53.920 --> 00:11:56.360]   really feel, where code feels very deterministic generally.
[00:11:56.360 --> 00:11:58.720]   You can just rerun the same code twice.
[00:11:58.720 --> 00:12:00.880]   And you get the same results.
[00:12:00.880 --> 00:12:03.400]   But then people have talked about this machine learning
[00:12:03.400 --> 00:12:04.400]   reproducibility crisis.
[00:12:04.400 --> 00:12:05.560]   And it's such an issue.
[00:12:05.560 --> 00:12:07.360]   You get code off GitHub.
[00:12:07.360 --> 00:12:08.960]   And you can run it.
[00:12:08.960 --> 00:12:10.560]   If you get machine learning code,
[00:12:10.560 --> 00:12:11.600]   it's going to take you a long time
[00:12:11.600 --> 00:12:13.600]   to even reproduce one thing that the person did.
[00:12:13.600 --> 00:12:16.360]   But to do all these different things will take so much time.
[00:12:16.360 --> 00:12:20.560]   And that's why we really got excited about building
[00:12:20.560 --> 00:12:21.880]   weights and biases.
[00:12:21.880 --> 00:12:23.840]   When we were thinking about--
[00:12:23.840 --> 00:12:27.200]   even going back for ourselves one week or one month earlier
[00:12:27.200 --> 00:12:31.640]   and trying to figure out what we did was incredibly painful.
[00:12:31.640 --> 00:12:33.240]   And my friend actually was showing me
[00:12:33.240 --> 00:12:35.280]   his notes of the different models that he ran.
[00:12:35.280 --> 00:12:36.940]   And he actually had this Google document
[00:12:36.940 --> 00:12:39.440]   that was thousands of pages of this, where it was like,
[00:12:39.440 --> 00:12:40.840]   this is the first thing he tried.
[00:12:40.840 --> 00:12:42.440]   And this is the second thing he tried.
[00:12:42.440 --> 00:12:46.040]   And this is so far from reproducible.
[00:12:46.040 --> 00:12:50.240]   I just-- it blows my mind that he was thinking
[00:12:50.240 --> 00:12:51.360]   he could go back to this.
[00:12:51.360 --> 00:12:55.200]   And rerun something.
[00:12:55.200 --> 00:12:57.400]   So I think what you get from this,
[00:12:57.400 --> 00:13:00.240]   and I think what's really exciting to me
[00:13:00.240 --> 00:13:03.320]   is new workflows and new tools.
[00:13:03.320 --> 00:13:05.920]   And obviously, I'm incredibly biased.
[00:13:05.920 --> 00:13:07.800]   But I'm also looking at other tools.
[00:13:07.800 --> 00:13:10.520]   And I think it's important for you to know what
[00:13:10.520 --> 00:13:12.160]   the good tooling out there is.
[00:13:12.160 --> 00:13:15.440]   So one place that I think you really
[00:13:15.440 --> 00:13:19.360]   should be looking, practicing in the space, is Siobhan's machine
[00:13:19.360 --> 00:13:20.680]   intelligence slide.
[00:13:20.680 --> 00:13:23.320]   So I think it's just interesting to look at her first one, which
[00:13:23.320 --> 00:13:25.440]   I think was very good and a really nice framing
[00:13:25.440 --> 00:13:26.160]   of the industry.
[00:13:26.160 --> 00:13:28.720]   And her second one is getting a little more crowded.
[00:13:28.720 --> 00:13:32.760]   And then her third one is getting intense.
[00:13:32.760 --> 00:13:37.880]   But you can-- her website, siobhanzulis.com,
[00:13:37.880 --> 00:13:39.600]   is actually just an amazing place
[00:13:39.600 --> 00:13:42.760]   to see the entire third-party take
[00:13:42.760 --> 00:13:46.280]   on the taxonomy of tools and then
[00:13:46.280 --> 00:13:47.520]   applications of those tools.
[00:13:47.520 --> 00:13:51.920]   And I even think the diff of her 2.0 versus 3.0
[00:13:51.920 --> 00:13:55.800]   is a good place to see where momentum's happening
[00:13:55.800 --> 00:13:58.520]   and where interesting applications are taking off
[00:13:58.520 --> 00:14:04.040]   and where interesting back-end tools are evolving.
[00:14:04.040 --> 00:14:05.480]   There's actually another-- I think
[00:14:05.480 --> 00:14:07.680]   just if you're interested in tools at all,
[00:14:07.680 --> 00:14:10.920]   there's a really, really smart VC at a Redpoint
[00:14:10.920 --> 00:14:12.280]   that I have no affiliation with.
[00:14:12.280 --> 00:14:15.080]   I just think she's actually writing really excellent stuff
[00:14:15.080 --> 00:14:17.200]   right now, where she has her own--
[00:14:17.200 --> 00:14:19.320]   this is a little bit more of an investor landscape.
[00:14:19.320 --> 00:14:20.740]   But I think for those of you that
[00:14:20.740 --> 00:14:23.360]   are really thinking from an investment perspective,
[00:14:23.360 --> 00:14:26.040]   or if you're thinking of pitching VCs on an AI thing
[00:14:26.040 --> 00:14:31.840]   in any way, I would read her stuff, because it's really good.
[00:14:31.840 --> 00:14:33.800]   But these are the--
[00:14:33.800 --> 00:14:36.280]   I think these folks are trying to give you
[00:14:36.280 --> 00:14:38.560]   a complete picture of everything out there.
[00:14:38.560 --> 00:14:42.200]   I think what I want to do briefly is zoom out a little bit
[00:14:42.200 --> 00:14:44.440]   and just give you my quick taxonomy, which
[00:14:44.440 --> 00:14:48.480]   would be very similar, I think, to the stuff
[00:14:48.480 --> 00:14:49.440]   that Sergey was saying.
[00:14:49.440 --> 00:14:51.840]   So one is that clearly there's a point-solution
[00:14:51.840 --> 00:14:54.400]   versus end-to-end dichotomy.
[00:14:54.400 --> 00:14:57.320]   And I, myself, and I think a lot of people
[00:14:57.320 --> 00:14:59.320]   with a little bit more of a hacker mentality,
[00:14:59.320 --> 00:15:01.600]   I think, tend to prefer point-solutions.
[00:15:01.600 --> 00:15:04.280]   So it's really important to me that Weights and Biases
[00:15:04.280 --> 00:15:08.800]   builds point-solutions, because that's what I would want.
[00:15:08.800 --> 00:15:13.440]   But I do think people in more regulated industries
[00:15:13.440 --> 00:15:16.400]   tend to seem to prefer more end-to-end platforms.
[00:15:16.400 --> 00:15:17.680]   Has anybody used Domino Data?
[00:15:17.680 --> 00:15:18.640]   Any of you?
[00:15:18.640 --> 00:15:19.880]   Yeah?
[00:15:19.880 --> 00:15:21.280]   How do you feel about Domino Data?
[00:15:21.280 --> 00:15:22.240]   Let's crowdsource this.
[00:15:22.240 --> 00:15:24.160]   I used it very briefly.
[00:15:24.160 --> 00:15:25.400]   I know some people there.
[00:15:25.400 --> 00:15:31.400]   One of the concerns that I would have had was not just--
[00:15:31.400 --> 00:15:33.680]   if I were to do a project working by myself,
[00:15:33.680 --> 00:15:34.680]   maybe it would work.
[00:15:34.680 --> 00:15:36.120]   But it would be really hard--
[00:15:36.120 --> 00:15:37.800]   there's no incremental adoption option.
[00:15:37.800 --> 00:15:39.440]   So if I was working with a team that
[00:15:39.440 --> 00:15:41.800]   had a bunch of tools that they were already using,
[00:15:41.800 --> 00:15:42.960]   it would be really hard to convince everyone
[00:15:42.960 --> 00:15:45.000]   to drop all of those things and convert over.
[00:15:45.000 --> 00:15:45.960]   Right, right, right, right.
[00:15:45.960 --> 00:15:49.400]   Yeah, I think that's the trade-off.
[00:15:49.400 --> 00:15:51.200]   I actually really admire Domino Data.
[00:15:51.200 --> 00:15:54.760]   I think the issue, though, is you really, really
[00:15:54.760 --> 00:15:56.320]   have to get everyone to commit.
[00:15:56.320 --> 00:15:58.120]   And that feels really hard to do.
[00:15:58.120 --> 00:16:02.140]   I think even FB Learner, which is Facebook's tool, which
[00:16:02.140 --> 00:16:06.040]   is well-known for having broad adoption inside Facebook,
[00:16:06.040 --> 00:16:08.840]   it's unique in that it's a company where people really
[00:16:08.840 --> 00:16:09.500]   committed to it.
[00:16:09.500 --> 00:16:10.880]   And actually, we were over there,
[00:16:10.880 --> 00:16:14.040]   and it seemed like they were still rounding up people
[00:16:14.040 --> 00:16:15.200]   to get them to use it.
