
[00:00:00.000 --> 00:00:07.280]   Now we're going to move on to the chapter on prompts in Langchain. Now prompts they seem like
[00:19:41.120 --> 00:19:48.240]   when we are using a tiny lm its ability would be limited although i think we are probably fine here
[00:19:48.240 --> 00:19:54.240]   we're going to say answer the user's query based on the context below always enter a markdown format you
[00:19:54.240 --> 00:20:02.400]   know being very specific the self-system prompt okay that's nice but what we've kind of said here is okay
[00:20:02.400 --> 00:20:09.840]   always answer a markdown format do that but when doing so please provide headers short summaries and
[00:20:09.840 --> 00:20:17.040]   follow bullet points then conclude okay so you see this and yeah here okay so we get this overview
[00:20:17.040 --> 00:20:23.600]   already right now you have this and this it's actually quite good but if we come down here what i
[00:20:23.600 --> 00:20:30.880]   specifically want is to always follow this structure right so we have the double header for the topic
[00:20:30.880 --> 00:20:37.200]   summary header a couple of bullet points and then i always want to follow this pattern where it's like
[00:20:37.200 --> 00:20:45.280]   to conclude always it's always bold you know i want to be very specific on what i want and to be you know
[00:20:45.280 --> 00:20:52.960]   fully honest with gpt4o mini you can actually just prompt most of this in but for the sake of the example
[00:20:52.960 --> 00:21:00.560]   we're going to provide a few shot examples in our few shot prompt examples instead to get this so we're
[00:21:00.560 --> 00:21:06.800]   going to provide one example here second example here and you see we're just following that same pattern
[00:21:06.800 --> 00:21:14.400]   we're just setting up the pattern that the lm should use so we're going to set that up here we have our
[00:21:14.400 --> 00:21:20.720]   main header a little summary some subheaders bullet points subheader bullet points subheader bullet
[00:21:20.720 --> 00:21:29.760]   points to conclude so on and so on same with this one here okay and let's see what we got
[00:21:29.760 --> 00:21:40.320]   okay so this is the structure of our new few shot prompt template you can see what all this looks like
[00:21:40.320 --> 00:21:46.960]   let's come down and we're going to do we're basically going to insert that directly into our chat prompt
[00:21:46.960 --> 00:21:56.160]   template so we have from messages system prompt user prompt and then we have in there these so let me
[00:21:56.960 --> 00:22:04.800]   actually show you very quickly right so we just have our this few shot chat to message prompt template
[00:22:04.800 --> 00:22:10.240]   which will be fed into the middle here run that and then feed all this back into our pipeline
[00:22:10.240 --> 00:22:16.160]   okay and this will you know modify the structure so that we have that bold to conclude at the end here
[00:22:16.160 --> 00:22:23.280]   okay we can see nicely here so we get a bit more of that the exact structure that we were getting again
[00:22:23.280 --> 00:22:30.560]   with gpt4o models and many other open air models you don't really need to do this but you will see it
[00:22:30.560 --> 00:22:37.360]   in other examples we do have an example of this where we're using a llama and we're using i think llama 2
[00:22:37.360 --> 00:22:45.840]   if i'm not wrong and you can see that adding this few shot prompt template is actually a very good way of
[00:22:45.840 --> 00:22:52.000]   getting those smaller less capable models to follow your instructions so this is really when you're
[00:22:52.000 --> 00:22:58.960]   working those smaller lines this can be super useful but even first so to models like gp4o if you do find
[00:22:58.960 --> 00:23:03.520]   that you're struggling with the prompting it's just not quite following exactly what you want it to do
[00:23:03.520 --> 00:23:11.760]   this is a very good technique for actually getting it to follow a very strict structure or behavior okay so
[00:23:11.760 --> 00:23:19.440]   moving on we have chain of thought prompting so this is a more common prompting technique that
[00:23:19.440 --> 00:23:26.880]   encourages the elm to think through its reasoning or its thoughts step by step so it's a chain of
[00:23:26.880 --> 00:23:33.600]   thoughts the idea behind this is that okay in math class when you're a kid the teachers would always
[00:23:34.240 --> 00:23:40.640]   push you to put down your your working out right and there's multiple reasons for that one of them is
[00:23:40.640 --> 00:23:44.800]   to get you to think because they they know in a lot of cases actually you know you're a kid and you're
[00:23:44.800 --> 00:23:50.880]   in a rush and you don't really care about this test and the you know they're just trying to get you to
[00:23:50.880 --> 00:23:55.840]   slow down a little bit and actually put down your reasoning and that kind of forced you to think oh
[00:23:55.840 --> 00:24:00.800]   actually i'm skipping a little bit in my head because i'm trying to just do everything up here if i write
[00:24:00.800 --> 00:24:06.320]   it down all of a sudden it's like oh actually i'm yeah i need to actually do that slightly
[00:24:06.320 --> 00:24:10.640]   differently you you realize okay you're probably rushing a little bit now i'm not saying an lm is
[00:24:10.640 --> 00:24:17.360]   rushing but it's a similar effect by an lm writing everything down they tend to actually get things
[00:24:17.360 --> 00:24:24.400]   right more frequently and at the same time also similar to when you're a child and a teacher is reviewing
[00:24:24.400 --> 00:24:31.200]   your exam work by having the lm write down its reasoning you as a as a human or engineer
[00:24:31.200 --> 00:24:36.960]   you can see where the lm went wrong if it did go wrong which can be very useful when you're trying
[00:24:36.960 --> 00:24:43.760]   to diagnose problems so with train of thought we should see less hallucinations and generally bad
[00:24:43.760 --> 00:24:48.560]   performance now to implement chain of thought in line chain there's no specific like line chain
[00:24:48.560 --> 00:24:54.560]   objects that do that instead it's it's just prompting okay so let's go down and just see how we might do
[00:24:54.560 --> 00:25:00.720]   that okay so be helpful assistant answer the user question you must answer the question directly without
[00:25:00.720 --> 00:25:07.840]   any other text or explanation okay so that's our no chain of thought system prompt i will just note here
[00:25:07.840 --> 00:25:13.440]   especially with open ai again this is one of those things where you'll see it more with the smaller models
[00:25:13.440 --> 00:25:17.920]   most elements are actually trained to use chain of thought prompting by default so we're actually
[00:25:17.920 --> 00:25:23.200]   specifically telling it here you must answer the question directly without any other text or
[00:25:23.200 --> 00:25:29.440]   explanation okay so we're actually kind of reverse prompting it to not use chain of thought otherwise
[00:25:29.440 --> 00:25:34.880]   by default it actually will try and do that because it's been trained to that's how that's how relevant
[00:25:34.880 --> 00:25:40.800]   chain of thought is okay so i'm going to say how many keystrokes you need to type in type the numbers
[00:25:40.800 --> 00:25:48.560]   from one to five hundred okay we set up our like lm chain pipeline and we're going to just invoke
[00:25:48.560 --> 00:25:53.840]   our query and we'll see what we get total number of keystrokes needed to type numbers from
[00:25:53.840 --> 00:26:01.840]   one to five hundred is one thousand five hundred and eleven uh the actual answers i've written here is
[00:26:01.840 --> 00:26:07.680]   one thousand three hundred and ninety two without chain thought is hallucinating okay now let's go ahead
[00:26:07.680 --> 00:26:13.360]   and see okay with chain of thought prompting what does it do so be helpful assistant answer user's
[00:26:13.360 --> 00:26:20.720]   question to answer the question you must list systematically and in precise detail all sub problems
[00:26:20.720 --> 00:26:26.720]   that are needed to be solved to answer the question solve each sub problem individually you have to shout
[00:26:26.720 --> 00:26:37.440]   at the lm sometimes to get them to listen and in sequence finally use everything you've worked through to provide the final answer okay so we're getting it we're forcing it to kind of go through
[00:26:38.000 --> 00:26:45.200]   the full problem now we can remove that not sure why so run that again i don't know why we have context
[00:26:45.200 --> 00:26:48.080]   there i'll remove that and let's see
[00:26:48.080 --> 00:26:55.760]   you can see straight away that's taking a lot longer to generate the output that's because
[00:26:55.760 --> 00:27:01.760]   it's generating so many more tokens so that's just one one drawback of this but let's see what we have so
[00:27:01.760 --> 00:27:07.760]   to determine how many keystrokes to type those numbers we is breaking down several sub problems
[00:27:07.760 --> 00:27:15.440]   so count number of digits from one to nine ten to ninety nine so so on and count the digits in number 500.
[00:27:15.440 --> 00:27:22.320]   okay interesting so that's how it's breaking it up some more digits counted in the previous steps so we go
[00:27:22.320 --> 00:27:34.560]   through total digits and we see us okay nine digits for those for here 180 for here 1200 and then of course
[00:27:34.560 --> 00:27:42.640]   three here so it gets all those sums those digits and actually comes to the right answer okay so that that
[00:27:42.640 --> 00:27:48.960]   is you know that's the difference with with chain of thought versus uh without so without it we just get
[00:27:48.960 --> 00:27:55.840]   the wrong answer basically guessing with chain of thought we get the right answer just by the llm
[00:27:55.840 --> 00:28:01.920]   writing down its reasoning and breaking the problem down into multiple parts which is i found that super
[00:28:01.920 --> 00:28:10.320]   interesting that it it does that so that's pretty cool now i will just see so as i meant as we mentioned
[00:28:10.320 --> 00:28:15.600]   before most llms nowadays are actually trying to use chain of thought prompting by default so let's just
[00:28:15.600 --> 00:28:21.200]   see if we don't mention anything right be a helpful assistant and answer the user's question so we're not telling it
[00:28:21.200 --> 00:28:26.320]   not to think through its reasoning and we're not telling it to think through its reasoning let's just
[00:28:26.320 --> 00:28:37.200]   see what it does okay so you can see again it's actually doing the exact same reasoning okay it doesn't
[00:28:37.200 --> 00:28:42.160]   it doesn't give us like the sub problems at the start but it is going through and it's breaking everything
[00:28:42.160 --> 00:28:48.640]   apart okay which is quite interesting and we get the same correct answer so the formatting here is slightly
[00:28:48.640 --> 00:28:55.760]   different it's probably a little cleaner actually although i think uh i don't know i here we get a
[00:28:55.760 --> 00:29:03.680]   lot more information so both are fine and in this scenario we actually do get the the right answer as
[00:29:03.680 --> 00:29:10.320]   well so you can see that that chain of thought prompting has actually been quite literally trained
[00:29:10.320 --> 00:29:19.600]   into the model and you'll see that with most uh well i think all save the art lms okay cool so that is our
[00:29:19.600 --> 00:29:28.400]   our chapter on prompting again we're just focusing very much on a lot of the fundamentals of prompting
[00:29:28.400 --> 00:29:36.240]   there and of course tying that back to the actual objects and methods within line chain but for now that's
[00:29:36.240 --> 00:29:42.080]   it for prompting and we'll move on to the next chapter

